t=,0, id=,B00, PRDE,actvstrat=,-0.113329, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.468208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.675496, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.636041, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.432099, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.937884, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.006096, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.894496, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.684446, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.734968, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.012341, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.545719, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.741809, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.837231, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.883893, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.667824, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.948971, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.076698, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.345086, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.125332, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.105917, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.689956, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.900509, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.355994, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.113329, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.741809, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.113329, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.468208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.675496, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.636041, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.432099, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.937884, actvprof=,0.033888, id=,B06, PRDE,actvstrat=,-0.006096, actvprof=,0.015555, id=,B07, PRDE,actvstrat=,0.894496, actvprof=,0.529716, id=,B08, PRDE,actvstrat=,0.684446, actvprof=,0.883879, id=,B09, PRDE,actvstrat=,0.734968, actvprof=,1.715536, id=,B10, PRDE,actvstrat=,-0.012341, actvprof=,1.521094, id=,B11, PRDE,actvstrat=,0.545719, actvprof=,3.570236, id=,S00, PRDE,actvstrat=,-0.741809, actvprof=,5.555491, id=,S01, PRDE,actvstrat=,-0.837231, actvprof=,2.238030, id=,S02, PRDE,actvstrat=,-0.883893, actvprof=,1.306929, id=,S03, PRDE,actvstrat=,-0.667824, actvprof=,2.212752, id=,S04, PRDE,actvstrat=,0.948971, actvprof=,6.412704, id=,S05, PRDE,actvstrat=,-0.076698, actvprof=,1.515816, id=,S06, PRDE,actvstrat=,0.345086, actvprof=,1.397206, id=,S07, PRDE,actvstrat=,-0.125332, actvprof=,0.271664, id=,S08, PRDE,actvstrat=,-0.105917, actvprof=,0.076944, id=,S09, PRDE,actvstrat=,0.689956, actvprof=,0.127776, id=,S10, PRDE,actvstrat=,0.900509, actvprof=,0.047499, id=,S11, PRDE,actvstrat=,-0.355994, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.570236, best_B_strat=,0.545719, best_S_id=,S04, best_S_prof=,6.412704, best_S_strat=,0.948971, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.662463, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.457437, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.881994, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.801382, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.916101, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.198753, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.265770, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.310041, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.134317, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.672119, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.064974, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.473864, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.319504, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.599723, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.174464, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.841102, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.605787, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.628087, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.848603, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.699945, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.050655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.506307, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.104471, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.807152, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.662463, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.319504, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.662463, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.457437, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.881994, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.801382, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.916101, actvprof=,0.131387, id=,B05, PRDE,actvstrat=,0.198753, actvprof=,0.062222, id=,B06, PRDE,actvstrat=,-0.265770, actvprof=,0.129998, id=,B07, PRDE,actvstrat=,-0.310041, actvprof=,0.486939, id=,B08, PRDE,actvstrat=,0.134317, actvprof=,1.552204, id=,B09, PRDE,actvstrat=,-0.672119, actvprof=,2.036088, id=,B10, PRDE,actvstrat=,0.064974, actvprof=,3.877177, id=,B11, PRDE,actvstrat=,-0.473864, actvprof=,4.231340, id=,S00, PRDE,actvstrat=,-0.319504, actvprof=,4.115786, id=,S01, PRDE,actvstrat=,0.599723, actvprof=,7.448803, id=,S02, PRDE,actvstrat=,-0.174464, actvprof=,1.965811, id=,S03, PRDE,actvstrat=,-0.841102, actvprof=,0.443050, id=,S04, PRDE,actvstrat=,0.605787, actvprof=,2.674969, id=,S05, PRDE,actvstrat=,-0.628087, actvprof=,0.262775, id=,S06, PRDE,actvstrat=,-0.848603, actvprof=,0.045833, id=,S07, PRDE,actvstrat=,0.699945, actvprof=,0.445828, id=,S08, PRDE,actvstrat=,-0.050655, actvprof=,0.021389, id=,S09, PRDE,actvstrat=,-0.506307, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,-0.104471, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.807152, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.231340, best_B_strat=,-0.473864, best_S_id=,S01, best_S_prof=,7.448803, best_S_strat=,0.599723, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.662463, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.906030, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.148165, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.380578, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.734457, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.555232, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.880620, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.635582, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.484904, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.672119, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.064974, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.194483, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.698654, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.178589, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.965152, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.667824, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.180112, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.600630, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.345086, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.699945, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.958961, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.976204, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.533825, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.327631, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.662463, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.698654, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.662463, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.906030, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.148165, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.380578, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.734457, actvprof=,0.034167, id=,B05, PRDE,actvstrat=,0.555232, actvprof=,0.134444, id=,B06, PRDE,actvstrat=,-0.880620, actvprof=,0.676667, id=,B07, PRDE,actvstrat=,0.635582, actvprof=,0.974167, id=,B08, PRDE,actvstrat=,0.484904, actvprof=,1.736667, id=,B09, PRDE,actvstrat=,-0.672119, actvprof=,1.673889, id=,B10, PRDE,actvstrat=,0.064974, actvprof=,3.221111, id=,B11, PRDE,actvstrat=,-0.194483, actvprof=,4.258611, id=,S00, PRDE,actvstrat=,0.698654, actvprof=,10.780833, id=,S01, PRDE,actvstrat=,0.178589, actvprof=,5.980000, id=,S02, PRDE,actvstrat=,-0.965152, actvprof=,1.735833, id=,S03, PRDE,actvstrat=,-0.667824, actvprof=,1.050833, id=,S04, PRDE,actvstrat=,0.180112, actvprof=,1.766944, id=,S05, PRDE,actvstrat=,-0.600630, actvprof=,0.294444, id=,S06, PRDE,actvstrat=,0.345086, actvprof=,0.461667, id=,S07, PRDE,actvstrat=,0.699945, actvprof=,0.279722, id=,S08, PRDE,actvstrat=,-0.958961, actvprof=,0.061667, id=,S09, PRDE,actvstrat=,0.976204, actvprof=,0.056667, id=,S10, PRDE,actvstrat=,-0.533825, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.327631, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.258611, best_B_strat=,-0.194483, best_S_id=,S00, best_S_prof=,10.780833, best_S_strat=,0.698654, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.552280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.026098, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.683550, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.101042, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.505175, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.921493, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.279395, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.473100, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.205589, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.610327, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.488790, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.692028, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.606273, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.200319, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.896237, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.109832, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.610327, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.552280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.026098, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.683550, actvprof=,0.063612, id=,B04, PRDE,actvstrat=,0.101042, actvprof=,0.101946, id=,B05, PRDE,actvstrat=,0.505175, actvprof=,0.453339, id=,B06, PRDE,actvstrat=,-0.921493, actvprof=,1.071401, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.529173, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.023067, id=,B09, PRDE,actvstrat=,0.279395, actvprof=,2.889756, id=,B10, PRDE,actvstrat=,0.473100, actvprof=,4.471163, id=,B11, PRDE,actvstrat=,0.205589, actvprof=,5.827290, id=,S00, PRDE,actvstrat=,-0.610327, actvprof=,4.704499, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.190951, id=,S02, PRDE,actvstrat=,0.488790, actvprof=,6.860913, id=,S03, PRDE,actvstrat=,0.692028, actvprof=,5.425618, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.731999, id=,S05, PRDE,actvstrat=,-0.606273, actvprof=,0.390560, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.122247, id=,S07, PRDE,actvstrat=,0.200319, actvprof=,0.154446, id=,S08, PRDE,actvstrat=,0.896237, actvprof=,0.151113, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.017222, id=,S10, PRDE,actvstrat=,0.109832, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.827290, best_B_strat=,0.205589, best_S_id=,S01, best_S_prof=,10.190951, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.552280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.026098, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.683550, actvprof=,0.055139, id=,B04, PRDE,actvstrat=,0.101042, actvprof=,0.089167, id=,B05, PRDE,actvstrat=,0.505175, actvprof=,0.402502, id=,B06, PRDE,actvstrat=,-0.921493, actvprof=,1.066117, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.536531, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.020978, id=,B09, PRDE,actvstrat=,0.279395, actvprof=,2.762794, id=,B10, PRDE,actvstrat=,0.473100, actvprof=,4.430303, id=,B11, PRDE,actvstrat=,0.205589, actvprof=,5.843645, id=,S00, PRDE,actvstrat=,-0.610327, actvprof=,4.885028, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.242698, id=,S02, PRDE,actvstrat=,0.488790, actvprof=,6.552538, id=,S03, PRDE,actvstrat=,0.692028, actvprof=,5.669199, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.612666, id=,S05, PRDE,actvstrat=,-0.606273, actvprof=,0.362363, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.174179, id=,S07, PRDE,actvstrat=,0.200319, actvprof=,0.145001, id=,S08, PRDE,actvstrat=,0.896237, actvprof=,0.168195, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.017083, id=,S10, PRDE,actvstrat=,0.109832, actvprof=,0.001528, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.843645, best_B_strat=,0.205589, best_S_id=,S01, best_S_prof=,10.242698, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.535843, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.552280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.940830, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.924017, actvprof=,0.016667, id=,B04, PRDE,actvstrat=,0.916101, actvprof=,0.162502, id=,B05, PRDE,actvstrat=,0.198753, actvprof=,0.148057, id=,B06, PRDE,actvstrat=,-0.265770, actvprof=,0.298059, id=,B07, PRDE,actvstrat=,0.370522, actvprof=,1.233903, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.284182, id=,B09, PRDE,actvstrat=,0.279395, actvprof=,3.077536, id=,B10, PRDE,actvstrat=,-0.046245, actvprof=,3.751710, id=,B11, PRDE,actvstrat=,-0.216274, actvprof=,4.944779, id=,S00, PRDE,actvstrat=,0.447577, actvprof=,9.021216, id=,S01, PRDE,actvstrat=,-0.884222, actvprof=,1.181125, id=,S02, PRDE,actvstrat=,0.488790, actvprof=,5.501730, id=,S03, PRDE,actvstrat=,0.813809, actvprof=,5.440896, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.884767, id=,S05, PRDE,actvstrat=,-0.606273, actvprof=,0.386116, id=,S06, PRDE,actvstrat=,-0.948336, actvprof=,0.315559, id=,S07, PRDE,actvstrat=,0.784011, actvprof=,0.498617, id=,S08, PRDE,actvstrat=,0.896237, actvprof=,0.171946, id=,S09, PRDE,actvstrat=,-0.959074, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.265919, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.807152, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.944779, best_B_strat=,-0.216274, best_S_id=,S00, best_S_prof=,9.021216, best_S_strat=,0.447577, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.535843, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.552280, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.940830, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,0.924017, actvprof=,0.018472, id=,B04, PRDE,actvstrat=,0.916101, actvprof=,0.174168, id=,B05, PRDE,actvstrat=,0.198753, actvprof=,0.159029, id=,B06, PRDE,actvstrat=,-0.265770, actvprof=,0.306252, id=,B07, PRDE,actvstrat=,0.370522, actvprof=,1.247229, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.234313, id=,B09, PRDE,actvstrat=,0.279395, actvprof=,3.007934, id=,B10, PRDE,actvstrat=,-0.046245, actvprof=,3.663632, id=,B11, PRDE,actvstrat=,-0.216274, actvprof=,5.040585, id=,S00, PRDE,actvstrat=,0.447577, actvprof=,8.996302, id=,S01, PRDE,actvstrat=,-0.884222, actvprof=,1.179868, id=,S02, PRDE,actvstrat=,0.488790, actvprof=,5.630310, id=,S03, PRDE,actvstrat=,0.813809, actvprof=,5.507810, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.930995, id=,S05, PRDE,actvstrat=,-0.606273, actvprof=,0.346252, id=,S06, PRDE,actvstrat=,-0.948336, actvprof=,0.273057, id=,S07, PRDE,actvstrat=,0.784011, actvprof=,0.513197, id=,S08, PRDE,actvstrat=,0.896237, actvprof=,0.175973, id=,S09, PRDE,actvstrat=,-0.959074, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.265919, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.807152, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.040585, best_B_strat=,-0.216274, best_S_id=,S00, best_S_prof=,8.996302, best_S_strat=,0.447577, 
