t=,0, id=,B00, PRDE,actvstrat=,0.723143, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.916345, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.637303, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.648679, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.968067, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.682540, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.689613, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.648686, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.900646, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.493853, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.758928, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.443667, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.410193, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.075167, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.550595, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.960732, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.833981, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.352726, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.537876, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.686031, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.902649, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.641215, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.984438, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.128940, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.723143, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.410193, 
t=,3600, id=,B00, PRDE,actvstrat=,0.723143, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.916345, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.637303, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.648679, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.968067, actvprof=,0.033611, id=,B05, PRDE,actvstrat=,0.682540, actvprof=,0.126387, id=,B06, PRDE,actvstrat=,0.689613, actvprof=,0.440550, id=,B07, PRDE,actvstrat=,-0.648686, actvprof=,0.437495, id=,B08, PRDE,actvstrat=,0.900646, actvprof=,1.811090, id=,B09, PRDE,actvstrat=,-0.493853, actvprof=,1.565815, id=,B10, PRDE,actvstrat=,-0.758928, actvprof=,2.123587, id=,B11, PRDE,actvstrat=,-0.443667, actvprof=,3.839678, id=,S00, PRDE,actvstrat=,-0.410193, actvprof=,4.733834, id=,S01, PRDE,actvstrat=,-0.075167, actvprof=,4.711612, id=,S02, PRDE,actvstrat=,0.550595, actvprof=,6.024097, id=,S03, PRDE,actvstrat=,-0.960732, actvprof=,0.822213, id=,S04, PRDE,actvstrat=,-0.833981, actvprof=,0.260830, id=,S05, PRDE,actvstrat=,0.352726, actvprof=,1.232208, id=,S06, PRDE,actvstrat=,0.537876, actvprof=,0.597215, id=,S07, PRDE,actvstrat=,0.686031, actvprof=,0.273052, id=,S08, PRDE,actvstrat=,-0.902649, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.641215, actvprof=,0.004444, id=,S10, PRDE,actvstrat=,0.984438, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,-0.128940, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.839678, best_B_strat=,-0.443667, best_S_id=,S02, best_S_prof=,6.024097, best_S_strat=,0.550595, 
t=,7200, id=,B00, PRDE,actvstrat=,0.483803, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.490241, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.759584, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.459925, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.759443, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.295868, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.722004, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.196304, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.814583, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.200614, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.500816, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.656184, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.241374, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.773397, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.825391, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.839885, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.806981, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.603176, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.651518, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.764731, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.763505, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.570577, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.317629, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.565569, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.483803, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.241374, 
t=,10800, id=,B00, PRDE,actvstrat=,0.483803, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.490241, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.759584, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.459925, actvprof=,0.012778, id=,B04, PRDE,actvstrat=,0.759443, actvprof=,0.067777, id=,B05, PRDE,actvstrat=,-0.295868, actvprof=,0.055277, id=,B06, PRDE,actvstrat=,0.722004, actvprof=,0.669714, id=,B07, PRDE,actvstrat=,-0.196304, actvprof=,0.385551, id=,B08, PRDE,actvstrat=,-0.814583, actvprof=,1.244430, id=,B09, PRDE,actvstrat=,-0.200614, actvprof=,2.071087, id=,B10, PRDE,actvstrat=,0.500816, actvprof=,4.310506, id=,B11, PRDE,actvstrat=,-0.656184, actvprof=,4.633002, id=,S00, PRDE,actvstrat=,-0.241374, actvprof=,4.246618, id=,S01, PRDE,actvstrat=,0.773397, actvprof=,8.292682, id=,S02, PRDE,actvstrat=,-0.825391, actvprof=,0.933045, id=,S03, PRDE,actvstrat=,-0.839885, actvprof=,0.506383, id=,S04, PRDE,actvstrat=,-0.806981, actvprof=,0.265275, id=,S05, PRDE,actvstrat=,0.603176, actvprof=,1.532482, id=,S06, PRDE,actvstrat=,0.651518, actvprof=,0.834990, id=,S07, PRDE,actvstrat=,0.764731, actvprof=,0.447773, id=,S08, PRDE,actvstrat=,-0.763505, actvprof=,0.005555, id=,S09, PRDE,actvstrat=,0.570577, actvprof=,0.010555, id=,S10, PRDE,actvstrat=,-0.317629, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.565569, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.633002, best_B_strat=,-0.656184, best_S_id=,S01, best_S_prof=,8.292682, best_S_strat=,0.773397, 
t=,14400, id=,B00, PRDE,actvstrat=,0.230678, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.967378, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.641848, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.459925, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.937982, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.682540, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.614562, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.793946, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.814583, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.900137, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.283184, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.538324, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.443266, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.802278, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.694651, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.499482, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.314220, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.492989, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.651518, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.391148, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.763505, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.866043, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.236587, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.838428, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.230678, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.443266, 
t=,18000, id=,B00, PRDE,actvstrat=,0.230678, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.967378, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.641848, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.459925, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.937982, actvprof=,0.023889, id=,B05, PRDE,actvstrat=,0.682540, actvprof=,0.051111, id=,B06, PRDE,actvstrat=,0.614562, actvprof=,0.282778, id=,B07, PRDE,actvstrat=,0.793946, actvprof=,0.885556, id=,B08, PRDE,actvstrat=,-0.814583, actvprof=,0.835000, id=,B09, PRDE,actvstrat=,0.900137, actvprof=,2.117222, id=,B10, PRDE,actvstrat=,-0.283184, actvprof=,1.909167, id=,B11, PRDE,actvstrat=,0.538324, actvprof=,5.010278, id=,S00, PRDE,actvstrat=,0.443266, actvprof=,10.518333, id=,S01, PRDE,actvstrat=,-0.802278, actvprof=,2.774444, id=,S02, PRDE,actvstrat=,-0.694651, actvprof=,2.923056, id=,S03, PRDE,actvstrat=,0.499482, actvprof=,5.600278, id=,S04, PRDE,actvstrat=,-0.314220, actvprof=,1.499167, id=,S05, PRDE,actvstrat=,-0.492989, actvprof=,0.606944, id=,S06, PRDE,actvstrat=,0.651518, actvprof=,1.803333, id=,S07, PRDE,actvstrat=,-0.391148, actvprof=,0.106944, id=,S08, PRDE,actvstrat=,-0.763505, actvprof=,0.008889, id=,S09, PRDE,actvstrat=,0.866043, actvprof=,0.161667, id=,S10, PRDE,actvstrat=,0.236587, actvprof=,0.006111, id=,S11, PRDE,actvstrat=,0.838428, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.010278, best_B_strat=,0.538324, best_S_id=,S00, best_S_prof=,10.518333, best_S_strat=,0.443266, 
t=,21600, id=,B00, PRDE,actvstrat=,0.230678, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.967378, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.641848, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.459925, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.937982, actvprof=,0.026250, id=,B05, PRDE,actvstrat=,0.682540, actvprof=,0.059306, id=,B06, PRDE,actvstrat=,0.614562, actvprof=,0.269029, id=,B07, PRDE,actvstrat=,0.793946, actvprof=,0.880283, id=,B08, PRDE,actvstrat=,-0.814583, actvprof=,0.881672, id=,B09, PRDE,actvstrat=,0.900137, actvprof=,2.183207, id=,B10, PRDE,actvstrat=,-0.283184, actvprof=,1.960567, id=,B11, PRDE,actvstrat=,0.538324, actvprof=,4.840028, id=,S00, PRDE,actvstrat=,0.443266, actvprof=,10.833813, id=,S01, PRDE,actvstrat=,-0.802278, actvprof=,2.892378, id=,S02, PRDE,actvstrat=,-0.694651, actvprof=,2.900295, id=,S03, PRDE,actvstrat=,0.499482, actvprof=,5.599338, id=,S04, PRDE,actvstrat=,-0.314220, actvprof=,1.349452, id=,S05, PRDE,actvstrat=,-0.492989, actvprof=,0.606392, id=,S06, PRDE,actvstrat=,0.651518, actvprof=,1.915983, id=,S07, PRDE,actvstrat=,-0.391148, actvprof=,0.116806, id=,S08, PRDE,actvstrat=,-0.763505, actvprof=,0.004444, id=,S09, PRDE,actvstrat=,0.866043, actvprof=,0.189307, id=,S10, PRDE,actvstrat=,0.236587, actvprof=,0.009583, id=,S11, PRDE,actvstrat=,0.838428, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.840028, best_B_strat=,0.538324, best_S_id=,S00, best_S_prof=,10.833813, best_S_strat=,0.443266, 
t=,25200, id=,B00, PRDE,actvstrat=,0.169448, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.561071, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.327276, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.020278, id=,B04, PRDE,actvstrat=,-0.651165, actvprof=,0.058334, id=,B05, PRDE,actvstrat=,-0.379988, actvprof=,0.155280, id=,B06, PRDE,actvstrat=,-0.110859, actvprof=,0.531673, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.036123, id=,B08, PRDE,actvstrat=,-0.093577, actvprof=,1.832799, id=,B09, PRDE,actvstrat=,-0.312643, actvprof=,2.818644, id=,B10, PRDE,actvstrat=,0.358291, actvprof=,5.655621, id=,B11, PRDE,actvstrat=,0.077734, actvprof=,6.983414, id=,S00, PRDE,actvstrat=,0.304974, actvprof=,7.467309, id=,S01, PRDE,actvstrat=,-0.415144, actvprof=,2.878644, id=,S02, PRDE,actvstrat=,0.660873, actvprof=,5.692010, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.877001, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.422262, id=,S05, PRDE,actvstrat=,0.371143, actvprof=,0.900566, id=,S06, PRDE,actvstrat=,0.517872, actvprof=,0.405282, id=,S07, PRDE,actvstrat=,-0.589696, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.118612, id=,S09, PRDE,actvstrat=,0.271764, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,-0.785135, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.353180, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.983414, best_B_strat=,0.077734, best_S_id=,S00, best_S_prof=,7.467309, best_S_strat=,0.304974, 
t=,28800, id=,B00, PRDE,actvstrat=,0.169448, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.561071, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.327276, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.030695, id=,B04, PRDE,actvstrat=,-0.651165, actvprof=,0.048611, id=,B05, PRDE,actvstrat=,-0.379988, actvprof=,0.152640, id=,B06, PRDE,actvstrat=,-0.110859, actvprof=,0.508197, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.030562, id=,B08, PRDE,actvstrat=,-0.093577, actvprof=,1.861400, id=,B09, PRDE,actvstrat=,-0.312643, actvprof=,2.775849, id=,B10, PRDE,actvstrat=,0.358291, actvprof=,5.529893, id=,B11, PRDE,actvstrat=,0.077734, actvprof=,6.931429, id=,S00, PRDE,actvstrat=,0.304974, actvprof=,7.341292, id=,S01, PRDE,actvstrat=,-0.415144, actvprof=,2.817100, id=,S02, PRDE,actvstrat=,0.660873, actvprof=,5.718366, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,4.790305, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.560993, id=,S05, PRDE,actvstrat=,0.371143, actvprof=,0.940978, id=,S06, PRDE,actvstrat=,0.517872, actvprof=,0.363058, id=,S07, PRDE,actvstrat=,-0.589696, actvprof=,0.004306, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.108334, id=,S09, PRDE,actvstrat=,0.271764, actvprof=,0.001667, id=,S10, PRDE,actvstrat=,-0.785135, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.353180, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.931429, best_B_strat=,0.077734, best_S_id=,S00, best_S_prof=,7.341292, best_S_strat=,0.304974, 
t=,32400, id=,B00, PRDE,actvstrat=,0.169448, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.467609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.759584, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.914827, actvprof=,0.022501, id=,B04, PRDE,actvstrat=,0.759443, actvprof=,0.050835, id=,B05, PRDE,actvstrat=,-0.379988, actvprof=,0.023889, id=,B06, PRDE,actvstrat=,0.722004, actvprof=,0.500567, id=,B07, PRDE,actvstrat=,0.877932, actvprof=,1.103637, id=,B08, PRDE,actvstrat=,0.410469, actvprof=,1.331142, id=,B09, PRDE,actvstrat=,-0.016177, actvprof=,1.879488, id=,B10, PRDE,actvstrat=,0.358291, actvprof=,3.644251, id=,B11, PRDE,actvstrat=,0.077734, actvprof=,4.676775, id=,S00, PRDE,actvstrat=,0.304974, actvprof=,9.495498, id=,S01, PRDE,actvstrat=,-0.163467, actvprof=,5.022616, id=,S02, PRDE,actvstrat=,-0.515803, actvprof=,2.672562, id=,S03, PRDE,actvstrat=,0.495240, actvprof=,4.684831, id=,S04, PRDE,actvstrat=,-0.493632, actvprof=,0.857242, id=,S05, PRDE,actvstrat=,0.371143, actvprof=,1.850598, id=,S06, PRDE,actvstrat=,0.651518, actvprof=,1.239473, id=,S07, PRDE,actvstrat=,-0.391148, actvprof=,0.068613, id=,S08, PRDE,actvstrat=,0.840356, actvprof=,0.342508, id=,S09, PRDE,actvstrat=,0.866043, actvprof=,0.095836, id=,S10, PRDE,actvstrat=,-0.638578, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.353180, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.676775, best_B_strat=,0.077734, best_S_id=,S00, best_S_prof=,9.495498, best_S_strat=,0.304974, 
t=,36000, id=,B00, PRDE,actvstrat=,0.169448, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.467609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.759584, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.914827, actvprof=,0.017778, id=,B04, PRDE,actvstrat=,0.759443, actvprof=,0.057084, id=,B05, PRDE,actvstrat=,-0.379988, actvprof=,0.024306, id=,B06, PRDE,actvstrat=,0.722004, actvprof=,0.499867, id=,B07, PRDE,actvstrat=,0.877932, actvprof=,1.105707, id=,B08, PRDE,actvstrat=,0.410469, actvprof=,1.422378, id=,B09, PRDE,actvstrat=,-0.016177, actvprof=,1.946550, id=,B10, PRDE,actvstrat=,0.358291, actvprof=,3.576569, id=,B11, PRDE,actvstrat=,0.077734, actvprof=,4.682138, id=,S00, PRDE,actvstrat=,0.304974, actvprof=,9.460665, id=,S01, PRDE,actvstrat=,-0.163467, actvprof=,4.933529, id=,S02, PRDE,actvstrat=,-0.515803, actvprof=,2.571419, id=,S03, PRDE,actvstrat=,0.495240, actvprof=,4.693110, id=,S04, PRDE,actvstrat=,-0.493632, actvprof=,0.868760, id=,S05, PRDE,actvstrat=,0.371143, actvprof=,1.759465, id=,S06, PRDE,actvstrat=,0.651518, actvprof=,1.229736, id=,S07, PRDE,actvstrat=,-0.391148, actvprof=,0.065973, id=,S08, PRDE,actvstrat=,0.840356, actvprof=,0.373477, id=,S09, PRDE,actvstrat=,0.866043, actvprof=,0.097362, id=,S10, PRDE,actvstrat=,-0.638578, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.353180, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.682138, best_B_strat=,0.077734, best_S_id=,S00, best_S_prof=,9.460665, best_S_strat=,0.304974, 
