t=,0, id=,B00, PRDE,actvstrat=,0.845791, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.233604, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.290971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.101972, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.383993, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.631164, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.148635, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.737219, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.297523, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.024857, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.417873, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.537741, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.722071, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.326682, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.613784, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.308944, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.118998, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.824030, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.445143, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.953307, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.383077, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.749573, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.012193, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.975935, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.845791, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.722071, 
t=,3600, id=,B00, PRDE,actvstrat=,0.845791, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.233604, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.290971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.101972, actvprof=,0.025277, id=,B04, PRDE,actvstrat=,-0.383993, actvprof=,0.065555, id=,B05, PRDE,actvstrat=,0.631164, actvprof=,0.511939, id=,B06, PRDE,actvstrat=,0.148635, actvprof=,0.683325, id=,B07, PRDE,actvstrat=,-0.737219, actvprof=,1.200819, id=,B08, PRDE,actvstrat=,-0.297523, actvprof=,1.558038, id=,B09, PRDE,actvstrat=,0.024857, actvprof=,3.001076, id=,B10, PRDE,actvstrat=,-0.417873, actvprof=,3.984954, id=,B11, PRDE,actvstrat=,0.537741, actvprof=,6.237428, id=,S00, PRDE,actvstrat=,0.722071, actvprof=,10.211826, id=,S01, PRDE,actvstrat=,0.326682, actvprof=,6.388537, id=,S02, PRDE,actvstrat=,-0.613784, actvprof=,2.498304, id=,S03, PRDE,actvstrat=,-0.308944, actvprof=,1.863034, id=,S04, PRDE,actvstrat=,0.118998, actvprof=,1.896089, id=,S05, PRDE,actvstrat=,-0.824030, actvprof=,0.334441, id=,S06, PRDE,actvstrat=,0.445143, actvprof=,0.714158, id=,S07, PRDE,actvstrat=,-0.953307, actvprof=,0.520827, id=,S08, PRDE,actvstrat=,-0.383077, actvprof=,0.027500, id=,S09, PRDE,actvstrat=,-0.749573, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,0.012193, actvprof=,0.006111, id=,S11, PRDE,actvstrat=,-0.975935, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.237428, best_B_strat=,0.537741, best_S_id=,S00, best_S_prof=,10.211826, best_S_strat=,0.722071, 
t=,7200, id=,B00, PRDE,actvstrat=,0.180954, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.036235, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.765602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.007228, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.609289, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.744310, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.439073, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.303120, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.958265, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.073529, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.080193, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.095790, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.838284, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.189425, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.352877, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.004532, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.050525, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.591344, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.320982, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.891989, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.676470, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.371894, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.089422, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.783105, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.180954, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.838284, 
t=,10800, id=,B00, PRDE,actvstrat=,0.180954, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.036235, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.765602, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.007228, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,-0.609289, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.744310, actvprof=,0.261664, id=,B06, PRDE,actvstrat=,-0.439073, actvprof=,0.221942, id=,B07, PRDE,actvstrat=,-0.303120, actvprof=,0.538605, id=,B08, PRDE,actvstrat=,-0.958265, actvprof=,1.724424, id=,B09, PRDE,actvstrat=,-0.073529, actvprof=,2.367473, id=,B10, PRDE,actvstrat=,0.080193, actvprof=,3.742734, id=,B11, PRDE,actvstrat=,0.095790, actvprof=,4.969109, id=,S00, PRDE,actvstrat=,-0.838284, actvprof=,2.724413, id=,S01, PRDE,actvstrat=,0.189425, actvprof=,6.700478, id=,S02, PRDE,actvstrat=,-0.352877, actvprof=,2.788023, id=,S03, PRDE,actvstrat=,0.004532, actvprof=,2.999410, id=,S04, PRDE,actvstrat=,0.050525, actvprof=,1.870534, id=,S05, PRDE,actvstrat=,0.591344, actvprof=,2.186364, id=,S06, PRDE,actvstrat=,-0.320982, actvprof=,0.263330, id=,S07, PRDE,actvstrat=,-0.891989, actvprof=,0.114721, id=,S08, PRDE,actvstrat=,-0.676470, actvprof=,0.020000, id=,S09, PRDE,actvstrat=,-0.371894, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.089422, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,0.783105, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.969109, best_B_strat=,0.095790, best_S_id=,S01, best_S_prof=,6.700478, best_S_strat=,0.189425, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.773469, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.036235, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.534239, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.101972, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.065373, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.850009, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.267986, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.186280, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.179499, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.860730, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.314380, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.849823, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.821996, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.188511, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.963426, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.004532, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.846751, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.754027, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.445143, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.716872, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.676470, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.572151, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.012193, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.445866, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.773469, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.821996, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.773469, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.036235, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.534239, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.101972, actvprof=,0.020833, id=,B04, PRDE,actvstrat=,0.065373, actvprof=,0.136944, id=,B05, PRDE,actvstrat=,0.850009, actvprof=,0.951111, id=,B06, PRDE,actvstrat=,-0.267986, actvprof=,0.806944, id=,B07, PRDE,actvstrat=,-0.186280, actvprof=,1.556111, id=,B08, PRDE,actvstrat=,0.179499, actvprof=,2.743056, id=,B09, PRDE,actvstrat=,-0.860730, actvprof=,4.317778, id=,B10, PRDE,actvstrat=,0.314380, actvprof=,5.814167, id=,B11, PRDE,actvstrat=,0.849823, actvprof=,6.750000, id=,S00, PRDE,actvstrat=,0.821996, actvprof=,9.634444, id=,S01, PRDE,actvstrat=,-0.188511, actvprof=,3.137500, id=,S02, PRDE,actvstrat=,0.963426, actvprof=,5.699444, id=,S03, PRDE,actvstrat=,0.004532, actvprof=,2.506111, id=,S04, PRDE,actvstrat=,0.846751, actvprof=,3.913333, id=,S05, PRDE,actvstrat=,-0.754027, actvprof=,0.286111, id=,S06, PRDE,actvstrat=,0.445143, actvprof=,0.875000, id=,S07, PRDE,actvstrat=,0.716872, actvprof=,0.865278, id=,S08, PRDE,actvstrat=,-0.676470, actvprof=,0.016944, id=,S09, PRDE,actvstrat=,0.572151, actvprof=,0.088611, id=,S10, PRDE,actvstrat=,0.012193, actvprof=,0.009444, id=,S11, PRDE,actvstrat=,0.445866, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.750000, best_B_strat=,0.849823, best_S_id=,S00, best_S_prof=,9.634444, best_S_strat=,0.821996, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.773469, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.036235, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.534239, actvprof=,0.002639, id=,B03, PRDE,actvstrat=,-0.101972, actvprof=,0.026667, id=,B04, PRDE,actvstrat=,0.065373, actvprof=,0.129029, id=,B05, PRDE,actvstrat=,0.850009, actvprof=,0.989728, id=,B06, PRDE,actvstrat=,-0.267986, actvprof=,0.805005, id=,B07, PRDE,actvstrat=,-0.186280, actvprof=,1.506536, id=,B08, PRDE,actvstrat=,0.179499, actvprof=,2.720294, id=,B09, PRDE,actvstrat=,-0.860730, actvprof=,4.287803, id=,B10, PRDE,actvstrat=,0.314380, actvprof=,5.716978, id=,B11, PRDE,actvstrat=,0.849823, actvprof=,6.778234, id=,S00, PRDE,actvstrat=,0.821996, actvprof=,9.878113, id=,S01, PRDE,actvstrat=,-0.188511, actvprof=,3.066268, id=,S02, PRDE,actvstrat=,0.963426, actvprof=,5.850173, id=,S03, PRDE,actvstrat=,0.004532, actvprof=,2.387930, id=,S04, PRDE,actvstrat=,0.846751, actvprof=,3.860300, id=,S05, PRDE,actvstrat=,-0.754027, actvprof=,0.263474, id=,S06, PRDE,actvstrat=,0.445143, actvprof=,0.895144, id=,S07, PRDE,actvstrat=,0.716872, actvprof=,0.811810, id=,S08, PRDE,actvstrat=,-0.676470, actvprof=,0.026806, id=,S09, PRDE,actvstrat=,0.572151, actvprof=,0.089167, id=,S10, PRDE,actvstrat=,0.012193, actvprof=,0.006389, id=,S11, PRDE,actvstrat=,0.445866, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.778234, best_B_strat=,0.849823, best_S_id=,S00, best_S_prof=,9.878113, best_S_strat=,0.821996, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.280726, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.042350, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.474973, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,0.360679, actvprof=,0.020834, id=,B05, PRDE,actvstrat=,0.943017, actvprof=,0.240558, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.763898, id=,B07, PRDE,actvstrat=,0.155953, actvprof=,0.826676, id=,B08, PRDE,actvstrat=,0.112059, actvprof=,1.613352, id=,B09, PRDE,actvstrat=,0.393595, actvprof=,3.634764, id=,B10, PRDE,actvstrat=,0.509747, actvprof=,4.709499, id=,B11, PRDE,actvstrat=,-0.853288, actvprof=,4.807833, id=,S00, PRDE,actvstrat=,-0.453099, actvprof=,4.062825, id=,S01, PRDE,actvstrat=,0.548728, actvprof=,7.787590, id=,S02, PRDE,actvstrat=,0.250559, actvprof=,4.800611, id=,S03, PRDE,actvstrat=,0.283473, actvprof=,3.097258, id=,S04, PRDE,actvstrat=,0.129427, actvprof=,1.659464, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.971967, id=,S06, PRDE,actvstrat=,0.439491, actvprof=,0.546117, id=,S07, PRDE,actvstrat=,-0.953677, actvprof=,0.173058, id=,S08, PRDE,actvstrat=,0.483553, actvprof=,0.052778, id=,S09, PRDE,actvstrat=,-0.310433, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.560744, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.660180, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.807833, best_B_strat=,-0.853288, best_S_id=,S01, best_S_prof=,7.787590, best_S_strat=,0.548728, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.280726, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.042350, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.474973, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,0.360679, actvprof=,0.019028, id=,B05, PRDE,actvstrat=,0.943017, actvprof=,0.230418, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.768338, id=,B07, PRDE,actvstrat=,0.155953, actvprof=,0.842922, id=,B08, PRDE,actvstrat=,0.112059, actvprof=,1.682926, id=,B09, PRDE,actvstrat=,0.393595, actvprof=,3.473631, id=,B10, PRDE,actvstrat=,0.509747, actvprof=,4.656971, id=,B11, PRDE,actvstrat=,-0.853288, actvprof=,4.922390, id=,S00, PRDE,actvstrat=,-0.453099, actvprof=,3.995579, id=,S01, PRDE,actvstrat=,0.548728, actvprof=,7.924768, id=,S02, PRDE,actvstrat=,0.250559, actvprof=,4.587527, id=,S03, PRDE,actvstrat=,0.283473, actvprof=,3.116546, id=,S04, PRDE,actvstrat=,0.129427, actvprof=,1.684176, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.049317, id=,S06, PRDE,actvstrat=,0.439491, actvprof=,0.505975, id=,S07, PRDE,actvstrat=,-0.953677, actvprof=,0.190418, id=,S08, PRDE,actvstrat=,0.483553, actvprof=,0.078750, id=,S09, PRDE,actvstrat=,-0.310433, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.560744, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.660180, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.922390, best_B_strat=,-0.853288, best_S_id=,S01, best_S_prof=,7.924768, best_S_strat=,0.548728, 
t=,32400, id=,B00, PRDE,actvstrat=,0.858802, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.028480, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.290971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.763304, actvprof=,0.016945, id=,B04, PRDE,actvstrat=,-0.318299, actvprof=,0.027500, id=,B05, PRDE,actvstrat=,0.850009, actvprof=,0.335004, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.948900, id=,B07, PRDE,actvstrat=,0.155953, actvprof=,1.041123, id=,B08, PRDE,actvstrat=,-0.402080, actvprof=,1.464461, id=,B09, PRDE,actvstrat=,0.203343, actvprof=,3.141425, id=,B10, PRDE,actvstrat=,0.855142, actvprof=,5.677566, id=,B11, PRDE,actvstrat=,-0.815388, actvprof=,4.661165, id=,S00, PRDE,actvstrat=,0.432608, actvprof=,8.206484, id=,S01, PRDE,actvstrat=,0.548728, actvprof=,6.918969, id=,S02, PRDE,actvstrat=,-0.552975, actvprof=,1.714742, id=,S03, PRDE,actvstrat=,-0.430112, actvprof=,1.096957, id=,S04, PRDE,actvstrat=,0.846751, actvprof=,3.397539, id=,S05, PRDE,actvstrat=,-0.463773, actvprof=,0.200002, id=,S06, PRDE,actvstrat=,0.899985, actvprof=,1.362238, id=,S07, PRDE,actvstrat=,0.915585, actvprof=,0.676119, id=,S08, PRDE,actvstrat=,-0.456849, actvprof=,0.007778, id=,S09, PRDE,actvstrat=,0.224416, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.903256, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.264228, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.677566, best_B_strat=,0.855142, best_S_id=,S00, best_S_prof=,8.206484, best_S_strat=,0.432608, 
t=,36000, id=,B00, PRDE,actvstrat=,0.858802, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.028480, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.290971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.763304, actvprof=,0.017361, id=,B04, PRDE,actvstrat=,-0.318299, actvprof=,0.025833, id=,B05, PRDE,actvstrat=,0.850009, actvprof=,0.363335, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.989034, id=,B07, PRDE,actvstrat=,0.155953, actvprof=,0.955283, id=,B08, PRDE,actvstrat=,-0.402080, actvprof=,1.277369, id=,B09, PRDE,actvstrat=,0.203343, actvprof=,3.186963, id=,B10, PRDE,actvstrat=,0.855142, actvprof=,5.461004, id=,B11, PRDE,actvstrat=,-0.815388, actvprof=,4.922251, id=,S00, PRDE,actvstrat=,0.432608, actvprof=,8.343521, id=,S01, PRDE,actvstrat=,0.548728, actvprof=,6.898373, id=,S02, PRDE,actvstrat=,-0.552975, actvprof=,1.713343, id=,S03, PRDE,actvstrat=,-0.430112, actvprof=,1.020423, id=,S04, PRDE,actvstrat=,0.846751, actvprof=,3.384325, id=,S05, PRDE,actvstrat=,-0.463773, actvprof=,0.196668, id=,S06, PRDE,actvstrat=,0.899985, actvprof=,1.392786, id=,S07, PRDE,actvstrat=,0.915585, actvprof=,0.682226, id=,S08, PRDE,actvstrat=,-0.456849, actvprof=,0.003889, id=,S09, PRDE,actvstrat=,0.224416, actvprof=,0.004306, id=,S10, PRDE,actvstrat=,0.903256, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.264228, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.461004, best_B_strat=,0.855142, best_S_id=,S00, best_S_prof=,8.343521, best_S_strat=,0.432608, 
