t=,0, id=,B00, PRDE,actvstrat=,-0.253111, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.350393, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.710758, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.542959, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.164030, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.073072, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.555494, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.770948, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.784250, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.311793, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.846010, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.897405, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.739817, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.737670, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.335011, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.858908, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.117824, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.215504, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.784551, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.916888, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.661961, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.881704, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.626581, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.950709, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.253111, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.739817, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.253111, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.350393, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.710758, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.542959, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.164030, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.073072, actvprof=,0.025833, id=,B06, PRDE,actvstrat=,0.555494, actvprof=,0.306663, id=,B07, PRDE,actvstrat=,0.770948, actvprof=,0.951656, id=,B08, PRDE,actvstrat=,-0.784250, actvprof=,0.701659, id=,B09, PRDE,actvstrat=,-0.311793, actvprof=,1.256652, id=,B10, PRDE,actvstrat=,-0.846010, actvprof=,2.352473, id=,B11, PRDE,actvstrat=,0.897405, actvprof=,6.100485, id=,S00, PRDE,actvstrat=,-0.739817, actvprof=,3.885511, id=,S01, PRDE,actvstrat=,-0.737670, actvprof=,2.478860, id=,S02, PRDE,actvstrat=,0.335011, actvprof=,5.289383, id=,S03, PRDE,actvstrat=,-0.858908, actvprof=,0.803046, id=,S04, PRDE,actvstrat=,0.117824, actvprof=,2.046087, id=,S05, PRDE,actvstrat=,-0.215504, actvprof=,0.427495, id=,S06, PRDE,actvstrat=,-0.784551, actvprof=,0.140276, id=,S07, PRDE,actvstrat=,0.916888, actvprof=,1.149987, id=,S08, PRDE,actvstrat=,0.661961, actvprof=,0.191387, id=,S09, PRDE,actvstrat=,-0.881704, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.626581, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.950709, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.100485, best_B_strat=,0.897405, best_S_id=,S02, best_S_prof=,5.289383, best_S_strat=,0.335011, 
t=,7200, id=,B00, PRDE,actvstrat=,0.464105, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.371651, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049885, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.286679, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.656775, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.751440, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.254322, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.318944, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.999795, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.259932, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.410621, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.791346, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.683334, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.365597, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.477683, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.796042, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.340009, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.566262, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.559690, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.342658, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.234435, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.073705, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.388786, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.541308, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.464105, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.683334, 
t=,10800, id=,B00, PRDE,actvstrat=,0.464105, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.371651, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049885, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.286679, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,0.656775, actvprof=,0.013889, id=,B05, PRDE,actvstrat=,0.751440, actvprof=,0.129721, id=,B06, PRDE,actvstrat=,0.254322, actvprof=,0.176387, id=,B07, PRDE,actvstrat=,-0.318944, actvprof=,0.182776, id=,B08, PRDE,actvstrat=,0.999795, actvprof=,0.806380, id=,B09, PRDE,actvstrat=,-0.259932, actvprof=,1.123043, id=,B10, PRDE,actvstrat=,0.410621, actvprof=,3.335239, id=,B11, PRDE,actvstrat=,-0.791346, actvprof=,2.794968, id=,S00, PRDE,actvstrat=,-0.683334, actvprof=,4.092453, id=,S01, PRDE,actvstrat=,-0.365597, actvprof=,2.965243, id=,S02, PRDE,actvstrat=,0.477683, actvprof=,6.537147, id=,S03, PRDE,actvstrat=,-0.796042, actvprof=,0.602771, id=,S04, PRDE,actvstrat=,-0.340009, actvprof=,0.792491, id=,S05, PRDE,actvstrat=,0.566262, actvprof=,2.257196, id=,S06, PRDE,actvstrat=,0.559690, actvprof=,1.065821, id=,S07, PRDE,actvstrat=,0.342658, actvprof=,0.251942, id=,S08, PRDE,actvstrat=,0.234435, actvprof=,0.040277, id=,S09, PRDE,actvstrat=,0.073705, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,0.388786, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.541308, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.335239, best_B_strat=,0.410621, best_S_id=,S02, best_S_prof=,6.537147, best_S_strat=,0.477683, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.806058, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.900291, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.017891, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.286679, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.656775, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.041614, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.023648, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.020963, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.655845, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.952349, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.410621, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.280998, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.516402, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.186775, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.092212, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.483247, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.651084, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.543334, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.483045, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.065324, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.222220, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.084728, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.417770, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.657924, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.806058, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.516402, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.806058, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.900291, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.017891, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.286679, actvprof=,0.013056, id=,B04, PRDE,actvstrat=,0.656775, actvprof=,0.065833, id=,B05, PRDE,actvstrat=,-0.041614, actvprof=,0.049444, id=,B06, PRDE,actvstrat=,0.023648, actvprof=,0.203333, id=,B07, PRDE,actvstrat=,0.020963, actvprof=,0.552500, id=,B08, PRDE,actvstrat=,0.655845, actvprof=,1.810556, id=,B09, PRDE,actvstrat=,0.952349, actvprof=,2.073611, id=,B10, PRDE,actvstrat=,0.410621, actvprof=,3.685000, id=,B11, PRDE,actvstrat=,-0.280998, actvprof=,3.416667, id=,S00, PRDE,actvstrat=,-0.516402, actvprof=,4.923889, id=,S01, PRDE,actvstrat=,0.186775, actvprof=,6.745833, id=,S02, PRDE,actvstrat=,-0.092212, actvprof=,3.747500, id=,S03, PRDE,actvstrat=,0.483247, actvprof=,5.046111, id=,S04, PRDE,actvstrat=,-0.651084, actvprof=,0.822500, id=,S05, PRDE,actvstrat=,0.543334, actvprof=,2.408056, id=,S06, PRDE,actvstrat=,0.483045, actvprof=,1.478056, id=,S07, PRDE,actvstrat=,-0.065324, actvprof=,0.151111, id=,S08, PRDE,actvstrat=,0.222220, actvprof=,0.107222, id=,S09, PRDE,actvstrat=,0.084728, actvprof=,0.015000, id=,S10, PRDE,actvstrat=,0.417770, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,0.657924, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.685000, best_B_strat=,0.410621, best_S_id=,S01, best_S_prof=,6.745833, best_S_strat=,0.186775, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.806058, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.900291, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.017891, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,0.286679, actvprof=,0.012639, id=,B04, PRDE,actvstrat=,0.656775, actvprof=,0.060695, id=,B05, PRDE,actvstrat=,-0.041614, actvprof=,0.055556, id=,B06, PRDE,actvstrat=,0.023648, actvprof=,0.173334, id=,B07, PRDE,actvstrat=,0.020963, actvprof=,0.551114, id=,B08, PRDE,actvstrat=,0.655845, actvprof=,1.798066, id=,B09, PRDE,actvstrat=,0.952349, actvprof=,1.998206, id=,B10, PRDE,actvstrat=,0.410621, actvprof=,3.568076, id=,B11, PRDE,actvstrat=,-0.280998, actvprof=,3.582382, id=,S00, PRDE,actvstrat=,-0.516402, actvprof=,4.876417, id=,S01, PRDE,actvstrat=,0.186775, actvprof=,6.972957, id=,S02, PRDE,actvstrat=,-0.092212, actvprof=,3.638354, id=,S03, PRDE,actvstrat=,0.483247, actvprof=,4.958779, id=,S04, PRDE,actvstrat=,-0.651084, actvprof=,0.834171, id=,S05, PRDE,actvstrat=,0.543334, actvprof=,2.538904, id=,S06, PRDE,actvstrat=,0.483045, actvprof=,1.439314, id=,S07, PRDE,actvstrat=,-0.065324, actvprof=,0.168751, id=,S08, PRDE,actvstrat=,0.222220, actvprof=,0.100278, id=,S09, PRDE,actvstrat=,0.084728, actvprof=,0.009028, id=,S10, PRDE,actvstrat=,0.417770, actvprof=,0.002639, id=,S11, PRDE,actvstrat=,0.657924, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.582382, best_B_strat=,-0.280998, best_S_id=,S01, best_S_prof=,6.972957, best_S_strat=,0.186775, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.451317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.772624, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.067328, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.071468, actvprof=,0.016945, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.049445, id=,B05, PRDE,actvstrat=,-0.492784, actvprof=,0.092501, id=,B06, PRDE,actvstrat=,-0.550698, actvprof=,0.330004, id=,B07, PRDE,actvstrat=,0.155357, actvprof=,1.116957, id=,B08, PRDE,actvstrat=,0.145118, actvprof=,2.021135, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.472008, id=,B10, PRDE,actvstrat=,0.087784, actvprof=,4.714777, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,7.186750, id=,S00, PRDE,actvstrat=,0.959116, actvprof=,10.434565, id=,S01, PRDE,actvstrat=,-0.240140, actvprof=,2.477251, id=,S02, PRDE,actvstrat=,-0.626601, actvprof=,1.139735, id=,S03, PRDE,actvstrat=,0.005748, actvprof=,1.929467, id=,S04, PRDE,actvstrat=,0.616498, actvprof=,2.359750, id=,S05, PRDE,actvstrat=,-0.030926, actvprof=,0.633063, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.911677, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.674730, id=,S08, PRDE,actvstrat=,0.762751, actvprof=,0.388893, id=,S09, PRDE,actvstrat=,-0.775440, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.430906, actvprof=,0.016389, id=,S11, PRDE,actvstrat=,-0.360000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.186750, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,10.434565, best_S_strat=,0.959116, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.451317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.371651, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049885, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.071468, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.537630, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.856522, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.550698, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.194567, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.145118, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.724419, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.497274, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.971173, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.296970, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.365597, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.477683, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.332057, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.373144, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.853587, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.916888, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.762751, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.084728, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.211406, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.541308, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.451317, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.296970, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.451317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.371651, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.049885, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,-0.071468, actvprof=,0.014445, id=,B04, PRDE,actvstrat=,0.537630, actvprof=,0.170837, id=,B05, PRDE,actvstrat=,-0.856522, actvprof=,0.346952, id=,B06, PRDE,actvstrat=,-0.550698, actvprof=,0.531957, id=,B07, PRDE,actvstrat=,-0.194567, actvprof=,1.123637, id=,B08, PRDE,actvstrat=,0.145118, actvprof=,2.750897, id=,B09, PRDE,actvstrat=,0.724419, actvprof=,4.990671, id=,B10, PRDE,actvstrat=,0.497274, actvprof=,6.290423, id=,B11, PRDE,actvstrat=,0.971173, actvprof=,7.556842, id=,S00, PRDE,actvstrat=,0.296970, actvprof=,5.888470, id=,S01, PRDE,actvstrat=,-0.365597, actvprof=,2.033103, id=,S02, PRDE,actvstrat=,0.477683, actvprof=,3.946480, id=,S03, PRDE,actvstrat=,0.332057, actvprof=,2.388944, id=,S04, PRDE,actvstrat=,-0.373144, actvprof=,0.669738, id=,S05, PRDE,actvstrat=,0.853587, actvprof=,2.316165, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.935022, id=,S07, PRDE,actvstrat=,0.916888, actvprof=,1.142249, id=,S08, PRDE,actvstrat=,0.762751, actvprof=,0.353619, id=,S09, PRDE,actvstrat=,0.084728, actvprof=,0.026945, id=,S10, PRDE,actvstrat=,0.211406, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,0.541308, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.556842, best_B_strat=,0.971173, best_S_id=,S00, best_S_prof=,5.888470, best_S_strat=,0.296970, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.451317, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.371651, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.049885, actvprof=,0.005417, id=,B03, PRDE,actvstrat=,-0.071468, actvprof=,0.015695, id=,B04, PRDE,actvstrat=,0.537630, actvprof=,0.172919, id=,B05, PRDE,actvstrat=,-0.856522, actvprof=,0.379310, id=,B06, PRDE,actvstrat=,-0.550698, actvprof=,0.567090, id=,B07, PRDE,actvstrat=,-0.194567, actvprof=,1.112374, id=,B08, PRDE,actvstrat=,0.145118, actvprof=,2.737809, id=,B09, PRDE,actvstrat=,0.724419, actvprof=,5.057559, id=,B10, PRDE,actvstrat=,0.497274, actvprof=,6.314101, id=,B11, PRDE,actvstrat=,0.971173, actvprof=,7.682589, id=,S00, PRDE,actvstrat=,0.296970, actvprof=,5.863957, id=,S01, PRDE,actvstrat=,-0.365597, actvprof=,2.302943, id=,S02, PRDE,actvstrat=,0.477683, actvprof=,3.968935, id=,S03, PRDE,actvstrat=,0.332057, actvprof=,2.378639, id=,S04, PRDE,actvstrat=,-0.373144, actvprof=,0.581812, id=,S05, PRDE,actvstrat=,0.853587, actvprof=,2.288082, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.928066, id=,S07, PRDE,actvstrat=,0.916888, actvprof=,1.129735, id=,S08, PRDE,actvstrat=,0.762751, actvprof=,0.287642, id=,S09, PRDE,actvstrat=,0.084728, actvprof=,0.022222, id=,S10, PRDE,actvstrat=,0.211406, actvprof=,0.002917, id=,S11, PRDE,actvstrat=,0.541308, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.682589, best_B_strat=,0.971173, best_S_id=,S00, best_S_prof=,5.863957, best_S_strat=,0.296970, 
