t=,1, id=,B00, PRDE,actvstrat=,0.735977, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.257340, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.585519, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.342196, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.534197, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.008892, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.334828, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.090962, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.610345, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.638496, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.803581, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.966903, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.173740, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.762314, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.503866, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.924667, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.589048, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.291705, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.303527, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.111543, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.878364, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.792435, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.239191, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.805507, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.735977, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.173740, 
t=,3600, id=,B00, PRDE,actvstrat=,0.735977, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.257340, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.585519, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.342196, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,0.534197, actvprof=,0.074166, id=,B05, PRDE,actvstrat=,0.008892, actvprof=,0.136387, id=,B06, PRDE,actvstrat=,0.334828, actvprof=,0.437495, id=,B07, PRDE,actvstrat=,-0.090962, actvprof=,0.506105, id=,B08, PRDE,actvstrat=,0.610345, actvprof=,1.514982, id=,B09, PRDE,actvstrat=,-0.638496, actvprof=,1.786646, id=,B10, PRDE,actvstrat=,0.803581, actvprof=,3.745234, id=,B11, PRDE,actvstrat=,0.966903, actvprof=,3.544403, id=,S00, PRDE,actvstrat=,0.173740, actvprof=,8.514624, id=,S01, PRDE,actvstrat=,-0.762314, actvprof=,3.499126, id=,S02, PRDE,actvstrat=,0.503866, actvprof=,6.922142, id=,S03, PRDE,actvstrat=,-0.924667, actvprof=,1.664147, id=,S04, PRDE,actvstrat=,-0.589048, actvprof=,1.579148, id=,S05, PRDE,actvstrat=,0.291705, actvprof=,2.434694, id=,S06, PRDE,actvstrat=,0.303527, actvprof=,1.667758, id=,S07, PRDE,actvstrat=,0.111543, actvprof=,0.729992, id=,S08, PRDE,actvstrat=,-0.878364, actvprof=,0.024444, id=,S09, PRDE,actvstrat=,0.792435, actvprof=,0.369996, id=,S10, PRDE,actvstrat=,-0.239191, actvprof=,0.007222, id=,S11, PRDE,actvstrat=,-0.805507, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.745234, best_B_strat=,0.803581, best_S_id=,S00, best_S_prof=,8.514624, best_S_strat=,0.173740, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.866983, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.188396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.444240, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.495181, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.976552, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.223202, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.911658, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.757154, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.688453, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.021002, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.139918, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.117720, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.268249, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.717489, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.551312, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.785115, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.251419, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.024253, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.576095, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.156634, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.591095, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.694203, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.675435, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.307380, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.866983, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.268249, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.866983, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.188396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.444240, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.495181, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.976552, actvprof=,0.011667, id=,B05, PRDE,actvstrat=,-0.223202, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.911658, actvprof=,0.141944, id=,B07, PRDE,actvstrat=,0.757154, actvprof=,0.354722, id=,B08, PRDE,actvstrat=,0.688453, actvprof=,0.777778, id=,B09, PRDE,actvstrat=,-0.021002, actvprof=,0.853333, id=,B10, PRDE,actvstrat=,0.139918, actvprof=,1.635278, id=,B11, PRDE,actvstrat=,0.117720, actvprof=,2.621944, id=,S00, PRDE,actvstrat=,0.268249, actvprof=,9.891389, id=,S01, PRDE,actvstrat=,-0.717489, actvprof=,2.538611, id=,S02, PRDE,actvstrat=,-0.551312, actvprof=,2.254444, id=,S03, PRDE,actvstrat=,-0.785115, actvprof=,0.780556, id=,S04, PRDE,actvstrat=,-0.251419, actvprof=,1.084444, id=,S05, PRDE,actvstrat=,0.024253, actvprof=,1.590556, id=,S06, PRDE,actvstrat=,-0.576095, actvprof=,0.199444, id=,S07, PRDE,actvstrat=,0.156634, actvprof=,0.405556, id=,S08, PRDE,actvstrat=,-0.591095, actvprof=,0.020000, id=,S09, PRDE,actvstrat=,-0.694203, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,0.675435, actvprof=,0.014722, id=,S11, PRDE,actvstrat=,0.307380, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.621944, best_B_strat=,0.117720, best_S_id=,S00, best_S_prof=,9.891389, best_S_strat=,0.268249, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.866983, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.188396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.444240, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.495181, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.976552, actvprof=,0.008750, id=,B05, PRDE,actvstrat=,-0.223202, actvprof=,0.003333, id=,B06, PRDE,actvstrat=,-0.911658, actvprof=,0.159306, id=,B07, PRDE,actvstrat=,0.757154, actvprof=,0.360972, id=,B08, PRDE,actvstrat=,0.688453, actvprof=,0.810417, id=,B09, PRDE,actvstrat=,-0.021002, actvprof=,0.817917, id=,B10, PRDE,actvstrat=,0.139918, actvprof=,1.640139, id=,B11, PRDE,actvstrat=,0.117720, actvprof=,2.508333, id=,S00, PRDE,actvstrat=,0.268249, actvprof=,9.749444, id=,S01, PRDE,actvstrat=,-0.717489, actvprof=,2.349444, id=,S02, PRDE,actvstrat=,-0.551312, actvprof=,2.286806, id=,S03, PRDE,actvstrat=,-0.785115, actvprof=,0.672361, id=,S04, PRDE,actvstrat=,-0.251419, actvprof=,1.114722, id=,S05, PRDE,actvstrat=,0.024253, actvprof=,1.535556, id=,S06, PRDE,actvstrat=,-0.576095, actvprof=,0.210556, id=,S07, PRDE,actvstrat=,0.156634, actvprof=,0.466944, id=,S08, PRDE,actvstrat=,-0.591095, actvprof=,0.014861, id=,S09, PRDE,actvstrat=,-0.694203, actvprof=,0.003750, id=,S10, PRDE,actvstrat=,0.675435, actvprof=,0.010694, id=,S11, PRDE,actvstrat=,0.307380, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.508333, best_B_strat=,0.117720, best_S_id=,S00, best_S_prof=,9.749444, best_S_strat=,0.268249, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.866983, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.487293, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.583632, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.342196, actvprof=,0.014167, id=,B04, PRDE,actvstrat=,0.071896, actvprof=,0.086668, id=,B05, PRDE,actvstrat=,0.119481, actvprof=,0.208891, id=,B06, PRDE,actvstrat=,0.341502, actvprof=,0.721953, id=,B07, PRDE,actvstrat=,0.757154, actvprof=,1.853355, id=,B08, PRDE,actvstrat=,-0.295150, actvprof=,1.290570, id=,B09, PRDE,actvstrat=,-0.638496, actvprof=,2.507807, id=,B10, PRDE,actvstrat=,0.800545, actvprof=,4.051158, id=,B11, PRDE,actvstrat=,0.117720, actvprof=,4.576997, id=,S00, PRDE,actvstrat=,0.418294, actvprof=,8.506210, id=,S01, PRDE,actvstrat=,0.900854, actvprof=,10.111506, id=,S02, PRDE,actvstrat=,-0.056379, actvprof=,3.513096, id=,S03, PRDE,actvstrat=,-0.924667, actvprof=,0.652508, id=,S04, PRDE,actvstrat=,0.606125, actvprof=,3.211982, id=,S05, PRDE,actvstrat=,0.024253, actvprof=,1.120291, id=,S06, PRDE,actvstrat=,0.389600, actvprof=,0.799176, id=,S07, PRDE,actvstrat=,-0.179638, actvprof=,0.049445, id=,S08, PRDE,actvstrat=,-0.591095, actvprof=,0.017222, id=,S09, PRDE,actvstrat=,0.792435, actvprof=,0.128613, id=,S10, PRDE,actvstrat=,0.793889, actvprof=,0.014445, id=,S11, PRDE,actvstrat=,0.307380, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.576997, best_B_strat=,0.117720, best_S_id=,S01, best_S_prof=,10.111506, best_S_strat=,0.900854, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.866983, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.487293, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.583632, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,0.342196, actvprof=,0.022222, id=,B04, PRDE,actvstrat=,0.071896, actvprof=,0.051945, id=,B05, PRDE,actvstrat=,0.119481, actvprof=,0.223614, id=,B06, PRDE,actvstrat=,0.341502, actvprof=,0.707092, id=,B07, PRDE,actvstrat=,0.757154, actvprof=,1.748354, id=,B08, PRDE,actvstrat=,-0.295150, actvprof=,1.455434, id=,B09, PRDE,actvstrat=,-0.638496, actvprof=,2.414889, id=,B10, PRDE,actvstrat=,0.800545, actvprof=,4.059630, id=,B11, PRDE,actvstrat=,0.117720, actvprof=,4.800056, id=,S00, PRDE,actvstrat=,0.418294, actvprof=,8.235234, id=,S01, PRDE,actvstrat=,0.900854, actvprof=,10.057200, id=,S02, PRDE,actvstrat=,-0.056379, actvprof=,3.431845, id=,S03, PRDE,actvstrat=,-0.924667, actvprof=,0.621257, id=,S04, PRDE,actvstrat=,0.606125, actvprof=,3.331427, id=,S05, PRDE,actvstrat=,0.024253, actvprof=,1.144458, id=,S06, PRDE,actvstrat=,0.389600, actvprof=,0.798481, id=,S07, PRDE,actvstrat=,-0.179638, actvprof=,0.051251, id=,S08, PRDE,actvstrat=,-0.591095, actvprof=,0.015000, id=,S09, PRDE,actvstrat=,0.792435, actvprof=,0.115974, id=,S10, PRDE,actvstrat=,0.793889, actvprof=,0.013889, id=,S11, PRDE,actvstrat=,0.307380, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.800056, best_B_strat=,0.117720, best_S_id=,S01, best_S_prof=,10.057200, best_S_strat=,0.900854, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.245169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.699417, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.899713, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.004722, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.190836, id=,B06, PRDE,actvstrat=,-0.425992, actvprof=,0.100557, id=,B07, PRDE,actvstrat=,-0.531036, actvprof=,0.435283, id=,B08, PRDE,actvstrat=,-0.382606, actvprof=,1.183903, id=,B09, PRDE,actvstrat=,0.314591, actvprof=,4.303383, id=,B10, PRDE,actvstrat=,0.550002, actvprof=,6.714244, id=,B11, PRDE,actvstrat=,-0.071660, actvprof=,6.762023, id=,S00, PRDE,actvstrat=,-0.954647, actvprof=,1.342238, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.346474, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.773400, id=,S03, PRDE,actvstrat=,0.681005, actvprof=,2.980590, id=,S04, PRDE,actvstrat=,0.712490, actvprof=,1.680019, id=,S05, PRDE,actvstrat=,-0.481805, actvprof=,0.054167, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.813898, id=,S07, PRDE,actvstrat=,-0.521711, actvprof=,0.008611, id=,S08, PRDE,actvstrat=,-0.011143, actvprof=,0.006945, id=,S09, PRDE,actvstrat=,0.275529, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,-0.618448, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.337116, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.762023, best_B_strat=,-0.071660, best_S_id=,S01, best_S_prof=,7.346474, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.245169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.699417, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.899713, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.004306, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.195697, id=,B06, PRDE,actvstrat=,-0.425992, actvprof=,0.096112, id=,B07, PRDE,actvstrat=,-0.531036, actvprof=,0.411116, id=,B08, PRDE,actvstrat=,-0.382606, actvprof=,1.217236, id=,B09, PRDE,actvstrat=,0.314591, actvprof=,4.179076, id=,B10, PRDE,actvstrat=,0.550002, actvprof=,6.597160, id=,B11, PRDE,actvstrat=,-0.071660, actvprof=,6.816607, id=,S00, PRDE,actvstrat=,-0.954647, actvprof=,1.403627, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.200222, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.700622, id=,S03, PRDE,actvstrat=,0.681005, actvprof=,3.057674, id=,S04, PRDE,actvstrat=,0.712490, actvprof=,1.634186, id=,S05, PRDE,actvstrat=,-0.481805, actvprof=,0.069029, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.842649, id=,S07, PRDE,actvstrat=,-0.521711, actvprof=,0.011528, id=,S08, PRDE,actvstrat=,-0.011143, actvprof=,0.015000, id=,S09, PRDE,actvstrat=,0.275529, actvprof=,0.000139, id=,S10, PRDE,actvstrat=,-0.618448, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.337116, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.816607, best_B_strat=,-0.071660, best_S_id=,S01, best_S_prof=,7.200222, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.257340, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.011968, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.880680, actvprof=,0.009445, id=,B04, PRDE,actvstrat=,0.707326, actvprof=,0.034723, id=,B05, PRDE,actvstrat=,-0.761065, actvprof=,0.080835, id=,B06, PRDE,actvstrat=,0.032799, actvprof=,0.201671, id=,B07, PRDE,actvstrat=,0.792816, actvprof=,1.029746, id=,B08, PRDE,actvstrat=,-0.661362, actvprof=,0.766684, id=,B09, PRDE,actvstrat=,0.314591, actvprof=,1.982546, id=,B10, PRDE,actvstrat=,0.550002, actvprof=,3.194518, id=,B11, PRDE,actvstrat=,-0.071660, actvprof=,3.579805, id=,S00, PRDE,actvstrat=,0.868788, actvprof=,12.882520, id=,S01, PRDE,actvstrat=,-0.717489, actvprof=,1.787819, id=,S02, PRDE,actvstrat=,-0.854351, actvprof=,0.524179, id=,S03, PRDE,actvstrat=,-0.921937, actvprof=,0.446121, id=,S04, PRDE,actvstrat=,0.738757, actvprof=,4.298711, id=,S05, PRDE,actvstrat=,0.024253, actvprof=,1.146138, id=,S06, PRDE,actvstrat=,-0.903317, actvprof=,0.008889, id=,S07, PRDE,actvstrat=,0.156634, actvprof=,0.301396, id=,S08, PRDE,actvstrat=,0.744167, actvprof=,0.312507, id=,S09, PRDE,actvstrat=,-0.691641, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,0.793889, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.332043, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.579805, best_B_strat=,-0.071660, best_S_id=,S00, best_S_prof=,12.882520, best_S_strat=,0.868788, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.257340, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.011968, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.880680, actvprof=,0.011111, id=,B04, PRDE,actvstrat=,0.707326, actvprof=,0.032917, id=,B05, PRDE,actvstrat=,-0.761065, actvprof=,0.074862, id=,B06, PRDE,actvstrat=,0.032799, actvprof=,0.203473, id=,B07, PRDE,actvstrat=,0.792816, actvprof=,1.078340, id=,B08, PRDE,actvstrat=,-0.661362, actvprof=,0.836255, id=,B09, PRDE,actvstrat=,0.314591, actvprof=,1.916122, id=,B10, PRDE,actvstrat=,0.550002, actvprof=,3.226130, id=,B11, PRDE,actvstrat=,-0.071660, actvprof=,3.505576, id=,S00, PRDE,actvstrat=,0.868788, actvprof=,12.825908, id=,S01, PRDE,actvstrat=,-0.717489, actvprof=,2.054595, id=,S02, PRDE,actvstrat=,-0.854351, actvprof=,0.584309, id=,S03, PRDE,actvstrat=,-0.921937, actvprof=,0.410975, id=,S04, PRDE,actvstrat=,0.738757, actvprof=,4.338775, id=,S05, PRDE,actvstrat=,0.024253, actvprof=,1.269174, id=,S06, PRDE,actvstrat=,-0.903317, actvprof=,0.046806, id=,S07, PRDE,actvstrat=,0.156634, actvprof=,0.298057, id=,S08, PRDE,actvstrat=,0.744167, actvprof=,0.303891, id=,S09, PRDE,actvstrat=,-0.691641, actvprof=,0.000694, id=,S10, PRDE,actvstrat=,0.793889, actvprof=,0.001250, id=,S11, PRDE,actvstrat=,-0.332043, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.505576, best_B_strat=,-0.071660, best_S_id=,S00, best_S_prof=,12.825908, best_S_strat=,0.868788, 
