t=,1, id=,B00, PRDE,actvstrat=,-0.697718, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.812348, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.047079, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.315045, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.153322, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.767453, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.655833, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.253782, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.841655, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.231274, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.518761, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.949736, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.496564, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.657985, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.550018, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.805613, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.230111, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.614371, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.994978, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.660612, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.714689, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.217917, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.722831, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.050571, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.697718, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.496564, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.697718, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.812348, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.047079, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.315045, actvprof=,0.015555, id=,B04, PRDE,actvstrat=,-0.153322, actvprof=,0.037777, id=,B05, PRDE,actvstrat=,-0.767453, actvprof=,0.199442, id=,B06, PRDE,actvstrat=,-0.655833, actvprof=,0.459161, id=,B07, PRDE,actvstrat=,0.253782, actvprof=,1.411373, id=,B08, PRDE,actvstrat=,0.841655, actvprof=,2.923022, id=,B09, PRDE,actvstrat=,0.231274, actvprof=,3.649680, id=,B10, PRDE,actvstrat=,-0.518761, actvprof=,4.222451, id=,B11, PRDE,actvstrat=,-0.949736, actvprof=,5.939653, id=,S00, PRDE,actvstrat=,0.496564, actvprof=,8.444347, id=,S01, PRDE,actvstrat=,-0.657985, actvprof=,2.319973, id=,S02, PRDE,actvstrat=,-0.550018, actvprof=,2.103587, id=,S03, PRDE,actvstrat=,0.805613, actvprof=,4.641335, id=,S04, PRDE,actvstrat=,0.230111, actvprof=,1.435539, id=,S05, PRDE,actvstrat=,0.614371, actvprof=,1.278596, id=,S06, PRDE,actvstrat=,-0.994978, actvprof=,0.541383, id=,S07, PRDE,actvstrat=,-0.660612, actvprof=,0.018055, id=,S08, PRDE,actvstrat=,0.714689, actvprof=,0.009722, id=,S09, PRDE,actvstrat=,0.217917, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.722831, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.050571, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.939653, best_B_strat=,-0.949736, best_S_id=,S00, best_S_prof=,8.444347, best_S_strat=,0.496564, 
t=,7200, id=,B00, PRDE,actvstrat=,0.179242, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.429882, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.281522, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.966299, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807234, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.715292, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.620200, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.847036, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.587328, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.258593, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.682538, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.783422, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.868981, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.326385, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.481003, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.110539, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.503171, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.961920, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.913419, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.257597, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.576073, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.583944, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.422258, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.810338, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.179242, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.868981, 
t=,10800, id=,B00, PRDE,actvstrat=,0.179242, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.429882, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.281522, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.966299, actvprof=,0.011389, id=,B04, PRDE,actvstrat=,-0.807234, actvprof=,0.023611, id=,B05, PRDE,actvstrat=,-0.715292, actvprof=,0.038333, id=,B06, PRDE,actvstrat=,0.620200, actvprof=,0.506944, id=,B07, PRDE,actvstrat=,0.847036, actvprof=,1.169722, id=,B08, PRDE,actvstrat=,0.587328, actvprof=,1.750000, id=,B09, PRDE,actvstrat=,-0.258593, actvprof=,1.503611, id=,B10, PRDE,actvstrat=,0.682538, actvprof=,4.419722, id=,B11, PRDE,actvstrat=,0.783422, actvprof=,6.051667, id=,S00, PRDE,actvstrat=,-0.868981, actvprof=,3.339722, id=,S01, PRDE,actvstrat=,0.326385, actvprof=,7.910278, id=,S02, PRDE,actvstrat=,0.481003, actvprof=,7.129722, id=,S03, PRDE,actvstrat=,0.110539, actvprof=,3.970278, id=,S04, PRDE,actvstrat=,-0.503171, actvprof=,1.386944, id=,S05, PRDE,actvstrat=,-0.961920, actvprof=,1.506111, id=,S06, PRDE,actvstrat=,0.913419, actvprof=,2.348333, id=,S07, PRDE,actvstrat=,0.257597, actvprof=,0.425556, id=,S08, PRDE,actvstrat=,-0.576073, actvprof=,0.026667, id=,S09, PRDE,actvstrat=,-0.583944, actvprof=,0.012500, id=,S10, PRDE,actvstrat=,-0.422258, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,0.810338, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.051667, best_B_strat=,0.783422, best_S_id=,S01, best_S_prof=,7.910278, best_S_strat=,0.326385, 
t=,14400, id=,B00, PRDE,actvstrat=,0.179242, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.429882, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.281522, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.966299, actvprof=,0.014861, id=,B04, PRDE,actvstrat=,-0.807234, actvprof=,0.017083, id=,B05, PRDE,actvstrat=,-0.715292, actvprof=,0.047222, id=,B06, PRDE,actvstrat=,0.620200, actvprof=,0.472917, id=,B07, PRDE,actvstrat=,0.847036, actvprof=,1.169028, id=,B08, PRDE,actvstrat=,0.587328, actvprof=,1.732500, id=,B09, PRDE,actvstrat=,-0.258593, actvprof=,1.577083, id=,B10, PRDE,actvstrat=,0.682538, actvprof=,4.358194, id=,B11, PRDE,actvstrat=,0.783422, actvprof=,5.795000, id=,S00, PRDE,actvstrat=,-0.868981, actvprof=,3.105972, id=,S01, PRDE,actvstrat=,0.326385, actvprof=,7.843750, id=,S02, PRDE,actvstrat=,0.481003, actvprof=,6.937917, id=,S03, PRDE,actvstrat=,0.110539, actvprof=,4.094583, id=,S04, PRDE,actvstrat=,-0.503171, actvprof=,1.382917, id=,S05, PRDE,actvstrat=,-0.961920, actvprof=,1.651111, id=,S06, PRDE,actvstrat=,0.913419, actvprof=,2.390000, id=,S07, PRDE,actvstrat=,0.257597, actvprof=,0.467083, id=,S08, PRDE,actvstrat=,-0.576073, actvprof=,0.037222, id=,S09, PRDE,actvstrat=,-0.583944, actvprof=,0.014861, id=,S10, PRDE,actvstrat=,-0.422258, actvprof=,0.000417, id=,S11, PRDE,actvstrat=,0.810338, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.795000, best_B_strat=,0.783422, best_S_id=,S01, best_S_prof=,7.843750, best_S_strat=,0.326385, 
t=,18000, id=,B00, PRDE,actvstrat=,0.179242, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.007865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.544768, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,-0.178862, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,-0.153322, actvprof=,0.106112, id=,B05, PRDE,actvstrat=,-0.755812, actvprof=,0.415560, id=,B06, PRDE,actvstrat=,-0.185480, actvprof=,0.676674, id=,B07, PRDE,actvstrat=,0.394750, actvprof=,1.966412, id=,B08, PRDE,actvstrat=,-0.478830, actvprof=,1.905300, id=,B09, PRDE,actvstrat=,-0.269224, actvprof=,2.971145, id=,B10, PRDE,actvstrat=,0.552397, actvprof=,5.458952, id=,B11, PRDE,actvstrat=,0.783422, actvprof=,6.238961, id=,S00, PRDE,actvstrat=,0.071453, actvprof=,7.455920, id=,S01, PRDE,actvstrat=,0.352914, actvprof=,6.575076, id=,S02, PRDE,actvstrat=,0.770439, actvprof=,6.572298, id=,S03, PRDE,actvstrat=,0.110539, actvprof=,2.794477, id=,S04, PRDE,actvstrat=,-0.503171, actvprof=,1.003901, id=,S05, PRDE,actvstrat=,0.068452, actvprof=,1.438350, id=,S06, PRDE,actvstrat=,-0.742676, actvprof=,0.127224, id=,S07, PRDE,actvstrat=,-0.637687, actvprof=,0.070001, id=,S08, PRDE,actvstrat=,-0.261389, actvprof=,0.035556, id=,S09, PRDE,actvstrat=,0.675773, actvprof=,0.084445, id=,S10, PRDE,actvstrat=,0.989867, actvprof=,0.066945, id=,S11, PRDE,actvstrat=,0.391065, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.238961, best_B_strat=,0.783422, best_S_id=,S00, best_S_prof=,7.455920, best_S_strat=,0.071453, 
t=,21600, id=,B00, PRDE,actvstrat=,0.179242, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.007865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.544768, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,-0.178862, actvprof=,0.027223, id=,B04, PRDE,actvstrat=,-0.153322, actvprof=,0.115418, id=,B05, PRDE,actvstrat=,-0.755812, actvprof=,0.438894, id=,B06, PRDE,actvstrat=,-0.185480, actvprof=,0.671397, id=,B07, PRDE,actvstrat=,0.394750, actvprof=,1.949606, id=,B08, PRDE,actvstrat=,-0.478830, actvprof=,1.895716, id=,B09, PRDE,actvstrat=,-0.269224, actvprof=,3.051146, id=,B10, PRDE,actvstrat=,0.552397, actvprof=,5.467563, id=,B11, PRDE,actvstrat=,0.783422, actvprof=,6.198405, id=,S00, PRDE,actvstrat=,0.071453, actvprof=,7.299112, id=,S01, PRDE,actvstrat=,0.352914, actvprof=,6.643549, id=,S02, PRDE,actvstrat=,0.770439, actvprof=,6.741050, id=,S03, PRDE,actvstrat=,0.110539, actvprof=,2.992118, id=,S04, PRDE,actvstrat=,-0.503171, actvprof=,0.975567, id=,S05, PRDE,actvstrat=,0.068452, actvprof=,1.357377, id=,S06, PRDE,actvstrat=,-0.742676, actvprof=,0.196669, id=,S07, PRDE,actvstrat=,-0.637687, actvprof=,0.091668, id=,S08, PRDE,actvstrat=,-0.261389, actvprof=,0.040973, id=,S09, PRDE,actvstrat=,0.675773, actvprof=,0.078612, id=,S10, PRDE,actvstrat=,0.989867, actvprof=,0.067084, id=,S11, PRDE,actvstrat=,0.391065, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.198405, best_B_strat=,0.783422, best_S_id=,S00, best_S_prof=,7.299112, best_S_strat=,0.071453, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.674303, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,0.538547, actvprof=,0.050833, id=,B03, PRDE,actvstrat=,-0.879931, actvprof=,0.336944, id=,B04, PRDE,actvstrat=,-0.356124, actvprof=,0.372222, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.376667, id=,B06, PRDE,actvstrat=,0.763439, actvprof=,3.057778, id=,B07, PRDE,actvstrat=,-0.526398, actvprof=,3.088611, id=,B08, PRDE,actvstrat=,0.831932, actvprof=,5.405833, id=,B09, PRDE,actvstrat=,0.102028, actvprof=,6.983056, id=,B10, PRDE,actvstrat=,0.463480, actvprof=,9.344167, id=,B11, PRDE,actvstrat=,-0.029983, actvprof=,10.510278, id=,S00, PRDE,actvstrat=,0.730255, actvprof=,6.955278, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.534167, id=,S02, PRDE,actvstrat=,0.077213, actvprof=,2.260833, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.257778, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.320833, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.952778, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.525556, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.138611, id=,S08, PRDE,actvstrat=,-0.921860, actvprof=,0.011111, id=,S09, PRDE,actvstrat=,-0.736661, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.510278, best_B_strat=,-0.029983, best_S_id=,S00, best_S_prof=,6.955278, best_S_strat=,0.730255, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.674303, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000972, id=,B02, PRDE,actvstrat=,0.538547, actvprof=,0.047639, id=,B03, PRDE,actvstrat=,-0.879931, actvprof=,0.325420, id=,B04, PRDE,actvstrat=,-0.356124, actvprof=,0.376532, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.252943, id=,B06, PRDE,actvstrat=,0.763439, actvprof=,3.064897, id=,B07, PRDE,actvstrat=,-0.526398, actvprof=,3.086980, id=,B08, PRDE,actvstrat=,0.831932, actvprof=,5.509092, id=,B09, PRDE,actvstrat=,0.102028, actvprof=,7.012581, id=,B10, PRDE,actvstrat=,0.463480, actvprof=,9.304135, id=,B11, PRDE,actvstrat=,-0.029983, actvprof=,10.324425, id=,S00, PRDE,actvstrat=,0.730255, actvprof=,6.920775, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.703943, id=,S02, PRDE,actvstrat=,0.077213, actvprof=,2.063357, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.218498, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.369460, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.889177, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.512784, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.137918, id=,S08, PRDE,actvstrat=,-0.921860, actvprof=,0.011389, id=,S09, PRDE,actvstrat=,-0.736661, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.324425, best_B_strat=,-0.029983, best_S_id=,S00, best_S_prof=,6.920775, best_S_strat=,0.730255, 
t=,32400, id=,B00, PRDE,actvstrat=,0.894738, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.528472, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.266532, actvprof=,0.012500, id=,B03, PRDE,actvstrat=,-0.966299, actvprof=,0.223616, id=,B04, PRDE,actvstrat=,-0.202591, actvprof=,0.180838, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.480034, id=,B06, PRDE,actvstrat=,0.456685, actvprof=,2.008102, id=,B07, PRDE,actvstrat=,-0.526398, actvprof=,1.951156, id=,B08, PRDE,actvstrat=,-0.095738, actvprof=,3.565916, id=,B09, PRDE,actvstrat=,0.038371, actvprof=,5.329846, id=,B10, PRDE,actvstrat=,-0.140212, actvprof=,6.698488, id=,B11, PRDE,actvstrat=,0.375132, actvprof=,9.527721, id=,S00, PRDE,actvstrat=,0.496564, actvprof=,6.782657, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.142087, id=,S02, PRDE,actvstrat=,0.770439, actvprof=,4.625107, id=,S03, PRDE,actvstrat=,-0.312524, actvprof=,0.607236, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.629204, id=,S05, PRDE,actvstrat=,0.825404, actvprof=,1.530035, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.524734, id=,S07, PRDE,actvstrat=,0.257597, actvprof=,0.099725, id=,S08, PRDE,actvstrat=,-0.576073, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.680795, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.422258, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.433955, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.527721, best_B_strat=,0.375132, best_S_id=,S00, best_S_prof=,6.782657, best_S_strat=,0.496564, 
t=,36000, id=,B00, PRDE,actvstrat=,0.894738, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.528472, actvprof=,0.001111, id=,B02, PRDE,actvstrat=,0.266532, actvprof=,0.011667, id=,B03, PRDE,actvstrat=,-0.966299, actvprof=,0.211114, id=,B04, PRDE,actvstrat=,-0.202591, actvprof=,0.192780, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.495156, id=,B06, PRDE,actvstrat=,0.456685, actvprof=,1.983356, id=,B07, PRDE,actvstrat=,-0.526398, actvprof=,1.937106, id=,B08, PRDE,actvstrat=,-0.095738, actvprof=,3.564347, id=,B09, PRDE,actvstrat=,0.038371, actvprof=,5.367701, id=,B10, PRDE,actvstrat=,-0.140212, actvprof=,6.743689, id=,B11, PRDE,actvstrat=,0.375132, actvprof=,9.465110, id=,S00, PRDE,actvstrat=,0.496564, actvprof=,6.781467, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,6.088404, id=,S02, PRDE,actvstrat=,0.770439, actvprof=,4.702277, id=,S03, PRDE,actvstrat=,-0.312524, actvprof=,0.626118, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.599741, id=,S05, PRDE,actvstrat=,0.825404, actvprof=,1.502517, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.556673, id=,S07, PRDE,actvstrat=,0.257597, actvprof=,0.118057, id=,S08, PRDE,actvstrat=,-0.576073, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.680795, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.422258, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.433955, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.465110, best_B_strat=,0.375132, best_S_id=,S00, best_S_prof=,6.781467, best_S_strat=,0.496564, 
