t=,1, id=,B00, PRDE,actvstrat=,0.141390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.395716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.334024, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.183828, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.087634, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.829084, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.205582, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.792783, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.600745, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.229797, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.146521, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.085411, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.202325, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.018834, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.942659, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.751382, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.116581, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.746759, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.069642, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.526748, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.182925, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.147731, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.785400, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.722192, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.141390, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.202325, 
t=,3600, id=,B00, PRDE,actvstrat=,0.141390, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.395716, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.334024, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.183828, actvprof=,0.012500, id=,B04, PRDE,actvstrat=,0.087634, actvprof=,0.025555, id=,B05, PRDE,actvstrat=,0.829084, actvprof=,0.387218, id=,B06, PRDE,actvstrat=,-0.205582, actvprof=,0.302219, id=,B07, PRDE,actvstrat=,0.792783, actvprof=,1.595815, id=,B08, PRDE,actvstrat=,-0.600745, actvprof=,1.276374, id=,B09, PRDE,actvstrat=,0.229797, actvprof=,2.575526, id=,B10, PRDE,actvstrat=,-0.146521, actvprof=,2.916355, id=,B11, PRDE,actvstrat=,0.085411, actvprof=,4.655779, id=,S00, PRDE,actvstrat=,0.202325, actvprof=,7.822965, id=,S01, PRDE,actvstrat=,0.018834, actvprof=,5.104108, id=,S02, PRDE,actvstrat=,-0.942659, actvprof=,1.744424, id=,S03, PRDE,actvstrat=,0.751382, actvprof=,5.388549, id=,S04, PRDE,actvstrat=,0.116581, actvprof=,2.063865, id=,S05, PRDE,actvstrat=,-0.746759, actvprof=,0.257497, id=,S06, PRDE,actvstrat=,0.069642, actvprof=,0.497772, id=,S07, PRDE,actvstrat=,0.526748, actvprof=,0.390273, id=,S08, PRDE,actvstrat=,-0.182925, actvprof=,0.060555, id=,S09, PRDE,actvstrat=,-0.147731, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.785400, actvprof=,0.006111, id=,S11, PRDE,actvstrat=,0.722192, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.655779, best_B_strat=,0.085411, best_S_id=,S00, best_S_prof=,7.822965, best_S_strat=,0.202325, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.401653, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332759, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.817548, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.306811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.072224, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.187200, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.272133, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.137647, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.370733, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.709681, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.733569, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.022044, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.334481, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.243156, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.430449, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.661753, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.834477, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.134705, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.953394, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.883500, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.224731, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.090605, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.656261, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.916675, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.401653, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.334481, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.401653, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.332759, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.817548, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,-0.306811, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.072224, actvprof=,0.045555, id=,B05, PRDE,actvstrat=,0.187200, actvprof=,0.263886, id=,B06, PRDE,actvstrat=,0.272133, actvprof=,0.706381, id=,B07, PRDE,actvstrat=,-0.137647, actvprof=,0.970544, id=,B08, PRDE,actvstrat=,0.370733, actvprof=,2.735802, id=,B09, PRDE,actvstrat=,-0.709681, actvprof=,2.747746, id=,B10, PRDE,actvstrat=,-0.733569, actvprof=,4.349116, id=,B11, PRDE,actvstrat=,0.022044, actvprof=,5.804377, id=,S00, PRDE,actvstrat=,0.334481, actvprof=,7.338804, id=,S01, PRDE,actvstrat=,-0.243156, actvprof=,2.813579, id=,S02, PRDE,actvstrat=,-0.430449, actvprof=,1.652481, id=,S03, PRDE,actvstrat=,0.661753, actvprof=,3.831900, id=,S04, PRDE,actvstrat=,0.834477, actvprof=,3.298295, id=,S05, PRDE,actvstrat=,0.134705, actvprof=,0.703047, id=,S06, PRDE,actvstrat=,-0.953394, actvprof=,0.379996, id=,S07, PRDE,actvstrat=,-0.883500, actvprof=,0.009722, id=,S08, PRDE,actvstrat=,-0.224731, actvprof=,0.026389, id=,S09, PRDE,actvstrat=,-0.090605, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,-0.656261, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.916675, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.804377, best_B_strat=,0.022044, best_S_id=,S00, best_S_prof=,7.338804, best_S_strat=,0.334481, 
t=,14400, id=,B00, PRDE,actvstrat=,0.600292, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.545637, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.665001, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.306811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.535353, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.485821, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.531029, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.137647, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.021500, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.179845, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.540808, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.022044, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.243876, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.027274, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.430449, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.110565, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.437131, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.944229, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.953394, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.205367, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.182925, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.679688, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.785400, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.916675, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.600292, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.243876, 
t=,18000, id=,B00, PRDE,actvstrat=,0.600292, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.545637, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.665001, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.306811, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,0.535353, actvprof=,0.123887, id=,B05, PRDE,actvstrat=,-0.485821, actvprof=,0.155832, id=,B06, PRDE,actvstrat=,-0.531029, actvprof=,0.529994, id=,B07, PRDE,actvstrat=,-0.137647, actvprof=,0.969711, id=,B08, PRDE,actvstrat=,-0.021500, actvprof=,2.118587, id=,B09, PRDE,actvstrat=,-0.179845, actvprof=,2.728302, id=,B10, PRDE,actvstrat=,-0.540808, actvprof=,4.174118, id=,B11, PRDE,actvstrat=,0.022044, actvprof=,6.176595, id=,S00, PRDE,actvstrat=,0.243876, actvprof=,6.567702, id=,S01, PRDE,actvstrat=,-0.027274, actvprof=,3.796623, id=,S02, PRDE,actvstrat=,-0.430449, actvprof=,1.698591, id=,S03, PRDE,actvstrat=,-0.110565, actvprof=,1.334985, id=,S04, PRDE,actvstrat=,-0.437131, actvprof=,0.427773, id=,S05, PRDE,actvstrat=,0.944229, actvprof=,2.279418, id=,S06, PRDE,actvstrat=,-0.953394, actvprof=,0.498883, id=,S07, PRDE,actvstrat=,-0.205367, actvprof=,0.034722, id=,S08, PRDE,actvstrat=,-0.182925, actvprof=,0.020278, id=,S09, PRDE,actvstrat=,-0.679688, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.785400, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,0.916675, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.176595, best_B_strat=,0.022044, best_S_id=,S00, best_S_prof=,6.567702, best_S_strat=,0.243876, 
t=,21600, id=,B00, PRDE,actvstrat=,0.600292, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.545637, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.665001, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.306811, actvprof=,0.007361, id=,B04, PRDE,actvstrat=,0.535353, actvprof=,0.119028, id=,B05, PRDE,actvstrat=,-0.485821, actvprof=,0.156806, id=,B06, PRDE,actvstrat=,-0.531029, actvprof=,0.496670, id=,B07, PRDE,actvstrat=,-0.137647, actvprof=,0.910561, id=,B08, PRDE,actvstrat=,-0.021500, actvprof=,2.059317, id=,B09, PRDE,actvstrat=,-0.179845, actvprof=,2.855711, id=,B10, PRDE,actvstrat=,-0.540808, actvprof=,3.931967, id=,B11, PRDE,actvstrat=,0.022044, actvprof=,6.076285, id=,S00, PRDE,actvstrat=,0.243876, actvprof=,6.615455, id=,S01, PRDE,actvstrat=,-0.027274, actvprof=,3.952384, id=,S02, PRDE,actvstrat=,-0.430449, actvprof=,1.659176, id=,S03, PRDE,actvstrat=,-0.110565, actvprof=,1.374869, id=,S04, PRDE,actvstrat=,-0.437131, actvprof=,0.462503, id=,S05, PRDE,actvstrat=,0.944229, actvprof=,2.254041, id=,S06, PRDE,actvstrat=,-0.953394, actvprof=,0.487364, id=,S07, PRDE,actvstrat=,-0.205367, actvprof=,0.036389, id=,S08, PRDE,actvstrat=,-0.182925, actvprof=,0.018333, id=,S09, PRDE,actvstrat=,-0.679688, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.785400, actvprof=,0.008056, id=,S11, PRDE,actvstrat=,0.916675, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.076285, best_B_strat=,0.022044, best_S_id=,S00, best_S_prof=,6.615455, best_S_strat=,0.243876, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.527203, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.241013, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,0.032110, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.025278, id=,B04, PRDE,actvstrat=,0.418051, actvprof=,0.094444, id=,B05, PRDE,actvstrat=,0.649842, actvprof=,0.357222, id=,B06, PRDE,actvstrat=,-0.395917, actvprof=,0.428056, id=,B07, PRDE,actvstrat=,0.398036, actvprof=,1.662222, id=,B08, PRDE,actvstrat=,0.037386, actvprof=,1.792222, id=,B09, PRDE,actvstrat=,0.645755, actvprof=,4.211111, id=,B10, PRDE,actvstrat=,0.036680, actvprof=,4.323333, id=,B11, PRDE,actvstrat=,-0.260213, actvprof=,5.859167, id=,S00, PRDE,actvstrat=,0.859148, actvprof=,10.275278, id=,S01, PRDE,actvstrat=,0.089816, actvprof=,4.310278, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.072778, id=,S03, PRDE,actvstrat=,0.313766, actvprof=,2.808056, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.476667, id=,S05, PRDE,actvstrat=,-0.255607, actvprof=,0.182778, id=,S06, PRDE,actvstrat=,0.685298, actvprof=,0.604722, id=,S07, PRDE,actvstrat=,0.352948, actvprof=,0.119167, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.034167, id=,S09, PRDE,actvstrat=,-0.225618, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.123141, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.535046, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.859167, best_B_strat=,-0.260213, best_S_id=,S00, best_S_prof=,10.275278, best_S_strat=,0.859148, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.527203, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.241013, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,0.032110, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.022778, id=,B04, PRDE,actvstrat=,0.418051, actvprof=,0.085139, id=,B05, PRDE,actvstrat=,0.649842, actvprof=,0.438197, id=,B06, PRDE,actvstrat=,-0.395917, actvprof=,0.419447, id=,B07, PRDE,actvstrat=,0.398036, actvprof=,1.575842, id=,B08, PRDE,actvstrat=,0.037386, actvprof=,1.900567, id=,B09, PRDE,actvstrat=,0.645755, actvprof=,4.129468, id=,B10, PRDE,actvstrat=,0.036680, actvprof=,4.531276, id=,B11, PRDE,actvstrat=,-0.260213, actvprof=,5.905868, id=,S00, PRDE,actvstrat=,0.859148, actvprof=,10.206726, id=,S01, PRDE,actvstrat=,0.089816, actvprof=,4.430442, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.201980, id=,S03, PRDE,actvstrat=,0.313766, actvprof=,2.628626, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.423353, id=,S05, PRDE,actvstrat=,-0.255607, actvprof=,0.171112, id=,S06, PRDE,actvstrat=,0.685298, actvprof=,0.651948, id=,S07, PRDE,actvstrat=,0.352948, actvprof=,0.113056, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.050278, id=,S09, PRDE,actvstrat=,-0.225618, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.123141, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.535046, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.905868, best_B_strat=,-0.260213, best_S_id=,S00, best_S_prof=,10.206726, best_S_strat=,0.859148, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.527203, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.241013, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.364132, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.483144, actvprof=,0.021111, id=,B04, PRDE,actvstrat=,0.418051, actvprof=,0.098890, id=,B05, PRDE,actvstrat=,0.649842, actvprof=,0.439172, id=,B06, PRDE,actvstrat=,0.272133, actvprof=,0.876955, id=,B07, PRDE,actvstrat=,-0.705825, actvprof=,1.112235, id=,B08, PRDE,actvstrat=,0.152849, actvprof=,2.184748, id=,B09, PRDE,actvstrat=,-0.709681, actvprof=,3.216704, id=,B10, PRDE,actvstrat=,0.036680, actvprof=,4.614220, id=,B11, PRDE,actvstrat=,0.505206, actvprof=,7.322863, id=,S00, PRDE,actvstrat=,0.334481, actvprof=,7.228973, id=,S01, PRDE,actvstrat=,0.694264, actvprof=,7.409530, id=,S02, PRDE,actvstrat=,-0.611282, actvprof=,1.383349, id=,S03, PRDE,actvstrat=,0.313766, actvprof=,2.765310, id=,S04, PRDE,actvstrat=,-0.036917, actvprof=,1.120013, id=,S05, PRDE,actvstrat=,0.944229, actvprof=,2.567252, id=,S06, PRDE,actvstrat=,-0.377796, actvprof=,0.143335, id=,S07, PRDE,actvstrat=,0.352948, actvprof=,0.266114, id=,S08, PRDE,actvstrat=,-0.133973, actvprof=,0.022222, id=,S09, PRDE,actvstrat=,-0.225618, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.785400, actvprof=,0.009445, id=,S11, PRDE,actvstrat=,-0.535046, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.322863, best_B_strat=,0.505206, best_S_id=,S01, best_S_prof=,7.409530, best_S_strat=,0.694264, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.527203, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.241013, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.364132, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.483144, actvprof=,0.019445, id=,B04, PRDE,actvstrat=,0.418051, actvprof=,0.082639, id=,B05, PRDE,actvstrat=,0.649842, actvprof=,0.462364, id=,B06, PRDE,actvstrat=,0.272133, actvprof=,0.796532, id=,B07, PRDE,actvstrat=,-0.705825, actvprof=,1.136395, id=,B08, PRDE,actvstrat=,0.152849, actvprof=,2.217235, id=,B09, PRDE,actvstrat=,-0.709681, actvprof=,3.249741, id=,B10, PRDE,actvstrat=,0.036680, actvprof=,4.669610, id=,B11, PRDE,actvstrat=,0.505206, actvprof=,7.284764, id=,S00, PRDE,actvstrat=,0.334481, actvprof=,7.396571, id=,S01, PRDE,actvstrat=,0.694264, actvprof=,7.530599, id=,S02, PRDE,actvstrat=,-0.611282, actvprof=,1.533064, id=,S03, PRDE,actvstrat=,0.313766, actvprof=,2.748627, id=,S04, PRDE,actvstrat=,-0.036917, actvprof=,1.068340, id=,S05, PRDE,actvstrat=,0.944229, actvprof=,2.529181, id=,S06, PRDE,actvstrat=,-0.377796, actvprof=,0.171251, id=,S07, PRDE,actvstrat=,0.352948, actvprof=,0.266390, id=,S08, PRDE,actvstrat=,-0.133973, actvprof=,0.022639, id=,S09, PRDE,actvstrat=,-0.225618, actvprof=,0.006389, id=,S10, PRDE,actvstrat=,0.785400, actvprof=,0.010556, id=,S11, PRDE,actvstrat=,-0.535046, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.284764, best_B_strat=,0.505206, best_S_id=,S01, best_S_prof=,7.530599, best_S_strat=,0.694264, 
