t=,0, id=,B00, PRDE,actvstrat=,0.215981, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155220, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.516538, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.764871, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.822018, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.108979, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.833478, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.685039, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.840135, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.859889, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.071514, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.363668, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.063282, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.841484, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.367160, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.118772, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.081930, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.625102, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.176070, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.649280, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.798454, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.506772, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.099331, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.347763, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.215981, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.063282, 
t=,3600, id=,B00, PRDE,actvstrat=,0.215981, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155220, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.516538, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.764871, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.822018, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.108979, actvprof=,0.047222, id=,B06, PRDE,actvstrat=,0.833478, actvprof=,0.421384, id=,B07, PRDE,actvstrat=,-0.685039, actvprof=,0.250553, id=,B08, PRDE,actvstrat=,-0.840135, actvprof=,0.713047, id=,B09, PRDE,actvstrat=,-0.859889, actvprof=,1.601093, id=,B10, PRDE,actvstrat=,-0.071514, actvprof=,2.139420, id=,B11, PRDE,actvstrat=,0.363668, actvprof=,4.462171, id=,S00, PRDE,actvstrat=,-0.063282, actvprof=,5.296328, id=,S01, PRDE,actvstrat=,-0.841484, actvprof=,0.838046, id=,S02, PRDE,actvstrat=,0.367160, actvprof=,4.837166, id=,S03, PRDE,actvstrat=,0.118772, actvprof=,2.763857, id=,S04, PRDE,actvstrat=,-0.081930, actvprof=,1.144153, id=,S05, PRDE,actvstrat=,-0.625102, actvprof=,0.201387, id=,S06, PRDE,actvstrat=,0.176070, actvprof=,0.560271, id=,S07, PRDE,actvstrat=,0.649280, actvprof=,0.672492, id=,S08, PRDE,actvstrat=,-0.798454, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,-0.506772, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,0.099331, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,0.347763, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.462171, best_B_strat=,0.363668, best_S_id=,S00, best_S_prof=,5.296328, best_S_strat=,-0.063282, 
t=,7200, id=,B00, PRDE,actvstrat=,0.634920, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.812301, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.786921, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.722079, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.439465, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.455762, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.696586, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.524816, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.772329, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.789244, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.088774, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.490530, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.930034, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.887405, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.299446, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.722904, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.011169, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.616391, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.293137, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.308871, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.913117, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.722088, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.701541, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.634920, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.490530, 
t=,10800, id=,B00, PRDE,actvstrat=,0.634920, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.812301, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.786921, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.722079, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.439465, actvprof=,0.002778, id=,B06, PRDE,actvstrat=,-0.455762, actvprof=,0.006667, id=,B07, PRDE,actvstrat=,-0.696586, actvprof=,0.081943, id=,B08, PRDE,actvstrat=,-0.524816, actvprof=,0.114165, id=,B09, PRDE,actvstrat=,0.772329, actvprof=,1.049432, id=,B10, PRDE,actvstrat=,0.789244, actvprof=,2.004699, id=,B11, PRDE,actvstrat=,-0.088774, actvprof=,1.617481, id=,S00, PRDE,actvstrat=,-0.490530, actvprof=,5.264939, id=,S01, PRDE,actvstrat=,-0.930034, actvprof=,0.641104, id=,S02, PRDE,actvstrat=,-0.887405, actvprof=,0.448050, id=,S03, PRDE,actvstrat=,-0.299446, actvprof=,1.924422, id=,S04, PRDE,actvstrat=,-0.722904, actvprof=,0.914712, id=,S05, PRDE,actvstrat=,0.011169, actvprof=,1.918033, id=,S06, PRDE,actvstrat=,-0.616391, actvprof=,0.323607, id=,S07, PRDE,actvstrat=,0.293137, actvprof=,0.520550, id=,S08, PRDE,actvstrat=,0.308871, actvprof=,0.214442, id=,S09, PRDE,actvstrat=,0.913117, actvprof=,0.190276, id=,S10, PRDE,actvstrat=,-0.722088, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.701541, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,2.004699, best_B_strat=,0.789244, best_S_id=,S00, best_S_prof=,5.264939, best_S_strat=,-0.490530, 
t=,14400, id=,B00, PRDE,actvstrat=,0.613678, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.973764, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.997591, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.822018, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.356582, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.833478, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.146211, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.014680, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.910387, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.713771, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.789783, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.334360, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.323986, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.078166, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.720567, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.722904, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.011169, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.645863, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.045839, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.308871, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.933622, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.099331, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.517832, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.613678, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.334360, 
t=,18000, id=,B00, PRDE,actvstrat=,0.613678, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.973764, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.997591, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.822018, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.356582, actvprof=,0.026389, id=,B06, PRDE,actvstrat=,0.833478, actvprof=,0.504722, id=,B07, PRDE,actvstrat=,-0.146211, actvprof=,0.173056, id=,B08, PRDE,actvstrat=,-0.014680, actvprof=,0.834722, id=,B09, PRDE,actvstrat=,-0.910387, actvprof=,1.793056, id=,B10, PRDE,actvstrat=,0.713771, actvprof=,3.427500, id=,B11, PRDE,actvstrat=,-0.789783, actvprof=,2.965556, id=,S00, PRDE,actvstrat=,-0.334360, actvprof=,3.495000, id=,S01, PRDE,actvstrat=,-0.323986, actvprof=,2.283056, id=,S02, PRDE,actvstrat=,0.078166, actvprof=,3.963611, id=,S03, PRDE,actvstrat=,0.720567, actvprof=,4.909444, id=,S04, PRDE,actvstrat=,-0.722904, actvprof=,0.283889, id=,S05, PRDE,actvstrat=,0.011169, actvprof=,0.918611, id=,S06, PRDE,actvstrat=,-0.645863, actvprof=,0.084722, id=,S07, PRDE,actvstrat=,-0.045839, actvprof=,0.136389, id=,S08, PRDE,actvstrat=,0.308871, actvprof=,0.046111, id=,S09, PRDE,actvstrat=,0.933622, actvprof=,0.091667, id=,S10, PRDE,actvstrat=,0.099331, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.517832, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.427500, best_B_strat=,0.713771, best_S_id=,S03, best_S_prof=,4.909444, best_S_strat=,0.720567, 
t=,21600, id=,B00, PRDE,actvstrat=,0.613678, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155891, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.973764, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.997591, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,-0.822018, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,-0.356582, actvprof=,0.017917, id=,B06, PRDE,actvstrat=,0.833478, actvprof=,0.487919, id=,B07, PRDE,actvstrat=,-0.146211, actvprof=,0.247363, id=,B08, PRDE,actvstrat=,-0.014680, actvprof=,0.798755, id=,B09, PRDE,actvstrat=,-0.910387, actvprof=,1.801399, id=,B10, PRDE,actvstrat=,0.713771, actvprof=,3.514881, id=,B11, PRDE,actvstrat=,-0.789783, actvprof=,3.253630, id=,S00, PRDE,actvstrat=,-0.334360, actvprof=,3.602382, id=,S01, PRDE,actvstrat=,-0.323986, actvprof=,2.518626, id=,S02, PRDE,actvstrat=,0.078166, actvprof=,3.960440, id=,S03, PRDE,actvstrat=,0.720567, actvprof=,5.013779, id=,S04, PRDE,actvstrat=,-0.722904, actvprof=,0.388197, id=,S05, PRDE,actvstrat=,0.011169, actvprof=,0.919033, id=,S06, PRDE,actvstrat=,-0.645863, actvprof=,0.065973, id=,S07, PRDE,actvstrat=,-0.045839, actvprof=,0.110417, id=,S08, PRDE,actvstrat=,0.308871, actvprof=,0.049445, id=,S09, PRDE,actvstrat=,0.933622, actvprof=,0.092362, id=,S10, PRDE,actvstrat=,0.099331, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.517832, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.514881, best_B_strat=,0.713771, best_S_id=,S03, best_S_prof=,5.013779, best_S_strat=,0.720567, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.843945, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.561745, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.012778, id=,B05, PRDE,actvstrat=,0.691039, actvprof=,0.055556, id=,B06, PRDE,actvstrat=,-0.123320, actvprof=,0.045834, id=,B07, PRDE,actvstrat=,-0.808218, actvprof=,0.250003, id=,B08, PRDE,actvstrat=,0.010797, actvprof=,0.774731, id=,B09, PRDE,actvstrat=,0.263515, actvprof=,1.900022, id=,B10, PRDE,actvstrat=,-0.273800, actvprof=,1.971412, id=,B11, PRDE,actvstrat=,0.167356, actvprof=,4.483385, id=,S00, PRDE,actvstrat=,-0.893324, actvprof=,0.853065, id=,S01, PRDE,actvstrat=,-0.831684, actvprof=,1.246126, id=,S02, PRDE,actvstrat=,0.211970, actvprof=,4.099770, id=,S03, PRDE,actvstrat=,0.168002, actvprof=,2.552530, id=,S04, PRDE,actvstrat=,-0.231941, actvprof=,0.479728, id=,S05, PRDE,actvstrat=,-0.210858, actvprof=,0.266670, id=,S06, PRDE,actvstrat=,0.108915, actvprof=,0.330559, id=,S07, PRDE,actvstrat=,-0.299928, actvprof=,0.009722, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.345560, id=,S09, PRDE,actvstrat=,0.984502, actvprof=,0.071390, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.006389, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.483385, best_B_strat=,0.167356, best_S_id=,S02, best_S_prof=,4.099770, best_S_strat=,0.211970, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.843945, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.561745, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.011528, id=,B05, PRDE,actvstrat=,0.691039, actvprof=,0.048195, id=,B06, PRDE,actvstrat=,-0.123320, actvprof=,0.073889, id=,B07, PRDE,actvstrat=,-0.808218, actvprof=,0.260974, id=,B08, PRDE,actvstrat=,0.010797, actvprof=,0.676809, id=,B09, PRDE,actvstrat=,0.263515, actvprof=,1.804316, id=,B10, PRDE,actvstrat=,-0.273800, actvprof=,1.890983, id=,B11, PRDE,actvstrat=,0.167356, actvprof=,4.438081, id=,S00, PRDE,actvstrat=,-0.893324, actvprof=,0.729865, id=,S01, PRDE,actvstrat=,-0.831684, actvprof=,1.061256, id=,S02, PRDE,actvstrat=,0.211970, actvprof=,3.962106, id=,S03, PRDE,actvstrat=,0.168002, actvprof=,2.599737, id=,S04, PRDE,actvstrat=,-0.231941, actvprof=,0.473753, id=,S05, PRDE,actvstrat=,-0.210858, actvprof=,0.263196, id=,S06, PRDE,actvstrat=,0.108915, actvprof=,0.292641, id=,S07, PRDE,actvstrat=,-0.299928, actvprof=,0.011806, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.351391, id=,S09, PRDE,actvstrat=,0.984502, actvprof=,0.072500, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.007500, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.438081, best_B_strat=,0.167356, best_S_id=,S02, best_S_prof=,3.962106, best_S_strat=,0.211970, 
t=,32400, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.070522, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.812301, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.099993, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.312970, actvprof=,0.005833, id=,B05, PRDE,actvstrat=,0.984673, actvprof=,0.100002, id=,B06, PRDE,actvstrat=,0.283998, actvprof=,0.168615, id=,B07, PRDE,actvstrat=,-0.774879, actvprof=,0.299174, id=,B08, PRDE,actvstrat=,-0.608378, actvprof=,0.660015, id=,B09, PRDE,actvstrat=,0.190177, actvprof=,2.174217, id=,B10, PRDE,actvstrat=,0.990173, actvprof=,2.907845, id=,B11, PRDE,actvstrat=,0.363668, actvprof=,5.404847, id=,S00, PRDE,actvstrat=,-0.544364, actvprof=,3.648140, id=,S01, PRDE,actvstrat=,-0.323986, actvprof=,2.727008, id=,S02, PRDE,actvstrat=,0.634999, actvprof=,6.991551, id=,S03, PRDE,actvstrat=,0.034134, actvprof=,3.233130, id=,S04, PRDE,actvstrat=,-0.773167, actvprof=,0.551124, id=,S05, PRDE,actvstrat=,0.119481, actvprof=,1.323642, id=,S06, PRDE,actvstrat=,0.939568, actvprof=,2.945346, id=,S07, PRDE,actvstrat=,0.293137, actvprof=,0.492789, id=,S08, PRDE,actvstrat=,0.379810, actvprof=,0.316952, id=,S09, PRDE,actvstrat=,0.399431, actvprof=,0.068613, id=,S10, PRDE,actvstrat=,-0.947117, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.418373, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.404847, best_B_strat=,0.363668, best_S_id=,S02, best_S_prof=,6.991551, best_S_strat=,0.634999, 
t=,36000, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.070522, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.812301, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.099993, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.312970, actvprof=,0.007500, id=,B05, PRDE,actvstrat=,0.984673, actvprof=,0.097779, id=,B06, PRDE,actvstrat=,0.283998, actvprof=,0.168891, id=,B07, PRDE,actvstrat=,-0.774879, actvprof=,0.327782, id=,B08, PRDE,actvstrat=,-0.608378, actvprof=,0.659174, id=,B09, PRDE,actvstrat=,0.190177, actvprof=,2.194192, id=,B10, PRDE,actvstrat=,0.990173, actvprof=,3.028785, id=,B11, PRDE,actvstrat=,0.363668, actvprof=,5.359090, id=,S00, PRDE,actvstrat=,-0.544364, actvprof=,3.358928, id=,S01, PRDE,actvstrat=,-0.323986, actvprof=,3.066424, id=,S02, PRDE,actvstrat=,0.634999, actvprof=,6.794801, id=,S03, PRDE,actvstrat=,0.034134, actvprof=,3.139064, id=,S04, PRDE,actvstrat=,-0.773167, actvprof=,0.533062, id=,S05, PRDE,actvstrat=,0.119481, actvprof=,1.261959, id=,S06, PRDE,actvstrat=,0.939568, actvprof=,2.913089, id=,S07, PRDE,actvstrat=,0.293137, actvprof=,0.539590, id=,S08, PRDE,actvstrat=,0.379810, actvprof=,0.276253, id=,S09, PRDE,actvstrat=,0.399431, actvprof=,0.068612, id=,S10, PRDE,actvstrat=,-0.947117, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.418373, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.359090, best_B_strat=,0.363668, best_S_id=,S02, best_S_prof=,6.794801, best_S_strat=,0.634999, 
