t=,1, id=,B00, PRDE,actvstrat=,0.006063, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.226319, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.017919, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.114758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.971130, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.746871, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.248912, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.053056, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.495923, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.458417, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.200084, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.293855, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.176865, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.427802, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.928035, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.142200, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.312713, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.226154, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.190063, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.726093, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.882700, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.153050, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.247600, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.856364, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.006063, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.176865, 
t=,3600, id=,B00, PRDE,actvstrat=,0.006063, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.226319, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.017919, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.114758, actvprof=,0.013333, id=,B04, PRDE,actvstrat=,-0.971130, actvprof=,0.215275, id=,B05, PRDE,actvstrat=,-0.746871, actvprof=,0.211109, id=,B06, PRDE,actvstrat=,-0.248912, actvprof=,0.252219, id=,B07, PRDE,actvstrat=,-0.053056, actvprof=,0.938878, id=,B08, PRDE,actvstrat=,0.495923, actvprof=,2.469416, id=,B09, PRDE,actvstrat=,0.458417, actvprof=,3.229129, id=,B10, PRDE,actvstrat=,-0.200084, actvprof=,3.714124, id=,B11, PRDE,actvstrat=,0.293855, actvprof=,5.871321, id=,S00, PRDE,actvstrat=,0.176865, actvprof=,7.601856, id=,S01, PRDE,actvstrat=,-0.427802, actvprof=,3.290517, id=,S02, PRDE,actvstrat=,0.928035, actvprof=,7.288249, id=,S03, PRDE,actvstrat=,-0.142200, actvprof=,1.856090, id=,S04, PRDE,actvstrat=,0.312713, actvprof=,2.639136, id=,S05, PRDE,actvstrat=,-0.226154, actvprof=,0.467217, id=,S06, PRDE,actvstrat=,0.190063, actvprof=,0.612771, id=,S07, PRDE,actvstrat=,0.726093, actvprof=,0.742214, id=,S08, PRDE,actvstrat=,-0.882700, actvprof=,0.014444, id=,S09, PRDE,actvstrat=,-0.153050, actvprof=,0.009444, id=,S10, PRDE,actvstrat=,-0.247600, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.856364, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.871321, best_B_strat=,0.293855, best_S_id=,S00, best_S_prof=,7.601856, best_S_strat=,0.176865, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.847755, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.417074, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.314621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.812795, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.796522, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.519751, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.029184, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.076409, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.996797, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.883116, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.921844, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.179805, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.880841, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.477267, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.088798, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.487821, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.876464, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.605486, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.778055, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.871444, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.369877, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.349154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.999645, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.731605, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.847755, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.880841, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.847755, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.417074, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.314621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.812795, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.796522, actvprof=,0.017778, id=,B05, PRDE,actvstrat=,-0.519751, actvprof=,0.011111, id=,B06, PRDE,actvstrat=,0.029184, actvprof=,0.113054, id=,B07, PRDE,actvstrat=,0.076409, actvprof=,0.312219, id=,B08, PRDE,actvstrat=,0.996797, actvprof=,0.479161, id=,B09, PRDE,actvstrat=,-0.883116, actvprof=,1.344151, id=,B10, PRDE,actvstrat=,0.921844, actvprof=,2.442750, id=,B11, PRDE,actvstrat=,0.179805, actvprof=,3.350517, id=,S00, PRDE,actvstrat=,-0.880841, actvprof=,2.474416, id=,S01, PRDE,actvstrat=,0.477267, actvprof=,10.007106, id=,S02, PRDE,actvstrat=,-0.088798, actvprof=,4.899110, id=,S03, PRDE,actvstrat=,-0.487821, actvprof=,2.416361, id=,S04, PRDE,actvstrat=,-0.876464, actvprof=,0.463328, id=,S05, PRDE,actvstrat=,-0.605486, actvprof=,0.823602, id=,S06, PRDE,actvstrat=,-0.778055, actvprof=,0.252219, id=,S07, PRDE,actvstrat=,0.871444, actvprof=,2.128309, id=,S08, PRDE,actvstrat=,0.369877, actvprof=,0.292497, id=,S09, PRDE,actvstrat=,-0.349154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.999645, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,0.731605, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.350517, best_B_strat=,0.179805, best_S_id=,S01, best_S_prof=,10.007106, best_S_strat=,0.477267, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.847755, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.327225, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.198374, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.643065, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.878909, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.645343, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.248912, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.053056, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.870730, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.458417, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.012248, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.179805, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.947590, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.477267, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.576923, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.663353, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.312713, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.469215, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.190063, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.354233, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.369877, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.349154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.281068, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.244295, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.847755, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.947590, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.847755, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.327225, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.198374, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.643065, actvprof=,0.014167, id=,B04, PRDE,actvstrat=,-0.878909, actvprof=,0.080833, id=,B05, PRDE,actvstrat=,0.645343, actvprof=,0.334444, id=,B06, PRDE,actvstrat=,-0.248912, actvprof=,0.327500, id=,B07, PRDE,actvstrat=,-0.053056, actvprof=,0.951944, id=,B08, PRDE,actvstrat=,0.870730, actvprof=,2.311667, id=,B09, PRDE,actvstrat=,0.458417, actvprof=,3.305278, id=,B10, PRDE,actvstrat=,0.012248, actvprof=,3.392778, id=,B11, PRDE,actvstrat=,0.179805, actvprof=,5.213333, id=,S00, PRDE,actvstrat=,-0.947590, actvprof=,3.077500, id=,S01, PRDE,actvstrat=,0.477267, actvprof=,8.225278, id=,S02, PRDE,actvstrat=,0.576923, actvprof=,6.939167, id=,S03, PRDE,actvstrat=,0.663353, actvprof=,5.280833, id=,S04, PRDE,actvstrat=,0.312713, actvprof=,2.748056, id=,S05, PRDE,actvstrat=,-0.469215, actvprof=,0.575556, id=,S06, PRDE,actvstrat=,0.190063, actvprof=,0.699444, id=,S07, PRDE,actvstrat=,-0.354233, actvprof=,0.066111, id=,S08, PRDE,actvstrat=,0.369877, actvprof=,0.131389, id=,S09, PRDE,actvstrat=,-0.349154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.281068, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.244295, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.213333, best_B_strat=,0.179805, best_S_id=,S01, best_S_prof=,8.225278, best_S_strat=,0.477267, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.847755, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.327225, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.198374, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.643065, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,-0.878909, actvprof=,0.071528, id=,B05, PRDE,actvstrat=,0.645343, actvprof=,0.303196, id=,B06, PRDE,actvstrat=,-0.248912, actvprof=,0.296668, id=,B07, PRDE,actvstrat=,-0.053056, actvprof=,0.917089, id=,B08, PRDE,actvstrat=,0.870730, actvprof=,2.283347, id=,B09, PRDE,actvstrat=,0.458417, actvprof=,3.236685, id=,B10, PRDE,actvstrat=,0.012248, actvprof=,3.450159, id=,B11, PRDE,actvstrat=,0.179805, actvprof=,5.124196, id=,S00, PRDE,actvstrat=,-0.947590, actvprof=,3.072657, id=,S01, PRDE,actvstrat=,0.477267, actvprof=,8.217548, id=,S02, PRDE,actvstrat=,0.576923, actvprof=,6.948790, id=,S03, PRDE,actvstrat=,0.663353, actvprof=,5.480587, id=,S04, PRDE,actvstrat=,0.312713, actvprof=,2.815294, id=,S05, PRDE,actvstrat=,-0.469215, actvprof=,0.586948, id=,S06, PRDE,actvstrat=,0.190063, actvprof=,0.781116, id=,S07, PRDE,actvstrat=,-0.354233, actvprof=,0.075834, id=,S08, PRDE,actvstrat=,0.369877, actvprof=,0.131667, id=,S09, PRDE,actvstrat=,-0.349154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.281068, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.244295, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.124196, best_B_strat=,0.179805, best_S_id=,S01, best_S_prof=,8.217548, best_S_strat=,0.477267, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.809656, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.670654, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.651690, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.007500, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.073334, id=,B07, PRDE,actvstrat=,0.971419, actvprof=,0.252503, id=,B08, PRDE,actvstrat=,0.260859, actvprof=,0.267503, id=,B09, PRDE,actvstrat=,0.007388, actvprof=,0.768898, id=,B10, PRDE,actvstrat=,0.936922, actvprof=,2.349194, id=,B11, PRDE,actvstrat=,-0.907235, actvprof=,1.495295, id=,S00, PRDE,actvstrat=,-0.260415, actvprof=,6.676466, id=,S01, PRDE,actvstrat=,-0.945186, actvprof=,0.974178, id=,S02, PRDE,actvstrat=,0.256933, actvprof=,7.159250, id=,S03, PRDE,actvstrat=,-0.416089, actvprof=,2.204748, id=,S04, PRDE,actvstrat=,-0.443102, actvprof=,1.281404, id=,S05, PRDE,actvstrat=,-0.928896, actvprof=,0.113335, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.900589, id=,S07, PRDE,actvstrat=,-0.114881, actvprof=,0.103890, id=,S08, PRDE,actvstrat=,-0.035918, actvprof=,0.081668, id=,S09, PRDE,actvstrat=,0.864350, actvprof=,0.089723, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.024110, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,2.349194, best_B_strat=,0.936922, best_S_id=,S02, best_S_prof=,7.159250, best_S_strat=,0.256933, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.809656, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.670654, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.651690, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.005000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.063611, id=,B07, PRDE,actvstrat=,0.971419, actvprof=,0.240974, id=,B08, PRDE,actvstrat=,0.260859, actvprof=,0.267779, id=,B09, PRDE,actvstrat=,0.007388, actvprof=,0.698893, id=,B10, PRDE,actvstrat=,0.936922, actvprof=,2.263763, id=,B11, PRDE,actvstrat=,-0.907235, actvprof=,1.564453, id=,S00, PRDE,actvstrat=,-0.260415, actvprof=,6.885318, id=,S01, PRDE,actvstrat=,-0.945186, actvprof=,0.812227, id=,S02, PRDE,actvstrat=,0.256933, actvprof=,7.030318, id=,S03, PRDE,actvstrat=,-0.416089, actvprof=,2.133068, id=,S04, PRDE,actvstrat=,-0.443102, actvprof=,1.178340, id=,S05, PRDE,actvstrat=,-0.928896, actvprof=,0.094167, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.884461, id=,S07, PRDE,actvstrat=,-0.114881, actvprof=,0.109723, id=,S08, PRDE,actvstrat=,-0.035918, actvprof=,0.071250, id=,S09, PRDE,actvstrat=,0.864350, actvprof=,0.097917, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.024110, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,2.263763, best_B_strat=,0.936922, best_S_id=,S02, best_S_prof=,7.030318, best_S_strat=,0.256933, 
t=,32400, id=,B00, PRDE,actvstrat=,0.076092, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.084545, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.812795, actvprof=,0.050834, id=,B04, PRDE,actvstrat=,-0.878909, actvprof=,0.224169, id=,B05, PRDE,actvstrat=,0.239756, actvprof=,0.223336, id=,B06, PRDE,actvstrat=,-0.429403, actvprof=,0.455005, id=,B07, PRDE,actvstrat=,0.182331, actvprof=,0.930289, id=,B08, PRDE,actvstrat=,0.870730, actvprof=,1.892522, id=,B09, PRDE,actvstrat=,0.458417, actvprof=,2.804199, id=,B10, PRDE,actvstrat=,0.936922, actvprof=,2.664475, id=,B11, PRDE,actvstrat=,-0.350964, actvprof=,3.855045, id=,S00, PRDE,actvstrat=,0.931577, actvprof=,12.675702, id=,S01, PRDE,actvstrat=,0.477267, actvprof=,8.988993, id=,S02, PRDE,actvstrat=,-0.612800, actvprof=,3.080591, id=,S03, PRDE,actvstrat=,0.026378, actvprof=,3.625875, id=,S04, PRDE,actvstrat=,-0.051693, actvprof=,2.308638, id=,S05, PRDE,actvstrat=,-0.605486, actvprof=,0.647785, id=,S06, PRDE,actvstrat=,0.071938, actvprof=,0.961400, id=,S07, PRDE,actvstrat=,-0.701514, actvprof=,0.115001, id=,S08, PRDE,actvstrat=,0.228691, actvprof=,0.159169, id=,S09, PRDE,actvstrat=,0.864350, actvprof=,0.148891, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.004722, id=,S11, PRDE,actvstrat=,-0.024110, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.855045, best_B_strat=,-0.350964, best_S_id=,S00, best_S_prof=,12.675702, best_S_strat=,0.931577, 
t=,36000, id=,B00, PRDE,actvstrat=,0.076092, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.084545, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.812795, actvprof=,0.057223, id=,B04, PRDE,actvstrat=,-0.878909, actvprof=,0.233612, id=,B05, PRDE,actvstrat=,0.239756, actvprof=,0.230279, id=,B06, PRDE,actvstrat=,-0.429403, actvprof=,0.431114, id=,B07, PRDE,actvstrat=,0.182331, actvprof=,0.903755, id=,B08, PRDE,actvstrat=,0.870730, actvprof=,1.910706, id=,B09, PRDE,actvstrat=,0.458417, actvprof=,2.815155, id=,B10, PRDE,actvstrat=,0.936922, actvprof=,2.570154, id=,B11, PRDE,actvstrat=,-0.350964, actvprof=,3.829189, id=,S00, PRDE,actvstrat=,0.931577, actvprof=,12.610629, id=,S01, PRDE,actvstrat=,0.477267, actvprof=,8.931579, id=,S02, PRDE,actvstrat=,-0.612800, actvprof=,3.064740, id=,S03, PRDE,actvstrat=,0.026378, actvprof=,3.698771, id=,S04, PRDE,actvstrat=,-0.051693, actvprof=,2.190568, id=,S05, PRDE,actvstrat=,-0.605486, actvprof=,0.726532, id=,S06, PRDE,actvstrat=,0.071938, actvprof=,0.930144, id=,S07, PRDE,actvstrat=,-0.701514, actvprof=,0.074445, id=,S08, PRDE,actvstrat=,0.228691, actvprof=,0.173751, id=,S09, PRDE,actvstrat=,0.864350, actvprof=,0.168612, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.005417, id=,S11, PRDE,actvstrat=,-0.024110, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.829189, best_B_strat=,-0.350964, best_S_id=,S00, best_S_prof=,12.610629, best_S_strat=,0.931577, 
