t=,0, id=,B00, PRDE,actvstrat=,-0.507227, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.004403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.128547, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.553939, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.404929, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.668767, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.400885, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.023484, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.967949, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.534275, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.315248, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.658917, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.338975, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.949004, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.558268, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.839304, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.561305, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.170613, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.870314, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.924429, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.969647, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.487295, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.221888, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.627780, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.507227, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.338975, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.507227, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.004403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.128547, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.553939, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,-0.404929, actvprof=,0.016944, id=,B05, PRDE,actvstrat=,-0.668767, actvprof=,0.089721, id=,B06, PRDE,actvstrat=,-0.400885, actvprof=,0.372773, id=,B07, PRDE,actvstrat=,-0.023484, actvprof=,1.116098, id=,B08, PRDE,actvstrat=,0.967949, actvprof=,2.079698, id=,B09, PRDE,actvstrat=,-0.534275, actvprof=,2.391083, id=,B10, PRDE,actvstrat=,0.315248, actvprof=,5.165218, id=,B11, PRDE,actvstrat=,-0.658917, actvprof=,5.719378, id=,S00, PRDE,actvstrat=,-0.338975, actvprof=,6.222706, id=,S01, PRDE,actvstrat=,-0.949004, actvprof=,3.749679, id=,S02, PRDE,actvstrat=,-0.558268, actvprof=,3.372461, id=,S03, PRDE,actvstrat=,0.839304, actvprof=,5.344105, id=,S04, PRDE,actvstrat=,0.561305, actvprof=,2.954688, id=,S05, PRDE,actvstrat=,-0.170613, actvprof=,0.837213, id=,S06, PRDE,actvstrat=,-0.870314, actvprof=,0.204442, id=,S07, PRDE,actvstrat=,-0.924429, actvprof=,0.067499, id=,S08, PRDE,actvstrat=,-0.969647, actvprof=,0.114999, id=,S09, PRDE,actvstrat=,-0.487295, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.221888, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.627780, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.719378, best_B_strat=,-0.658917, best_S_id=,S00, best_S_prof=,6.222706, best_S_strat=,-0.338975, 
t=,7200, id=,B00, PRDE,actvstrat=,0.078847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.843861, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.933865, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.211551, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.015767, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.405865, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.000541, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.717355, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.240977, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.970310, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.554597, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.539205, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.440588, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.190862, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.783010, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.238026, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.591248, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.794823, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.435585, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.084326, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.121181, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.319227, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.896594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.171124, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.078847, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.440588, 
t=,10800, id=,B00, PRDE,actvstrat=,0.078847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.843861, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.933865, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.211551, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.015767, actvprof=,0.081943, id=,B05, PRDE,actvstrat=,-0.405865, actvprof=,0.126942, id=,B06, PRDE,actvstrat=,-0.000541, actvprof=,0.558876, id=,B07, PRDE,actvstrat=,-0.717355, actvprof=,1.074142, id=,B08, PRDE,actvstrat=,-0.240977, actvprof=,1.513298, id=,B09, PRDE,actvstrat=,-0.970310, actvprof=,3.322423, id=,B10, PRDE,actvstrat=,0.554597, actvprof=,4.958219, id=,B11, PRDE,actvstrat=,0.539205, actvprof=,6.508738, id=,S00, PRDE,actvstrat=,-0.440588, actvprof=,6.019861, id=,S01, PRDE,actvstrat=,-0.190862, actvprof=,5.169325, id=,S02, PRDE,actvstrat=,0.783010, actvprof=,6.753455, id=,S03, PRDE,actvstrat=,0.238026, actvprof=,3.642138, id=,S04, PRDE,actvstrat=,-0.591248, actvprof=,1.333302, id=,S05, PRDE,actvstrat=,-0.794823, actvprof=,0.558320, id=,S06, PRDE,actvstrat=,-0.435585, actvprof=,0.295826, id=,S07, PRDE,actvstrat=,0.084326, actvprof=,0.470545, id=,S08, PRDE,actvstrat=,0.121181, actvprof=,0.146386, id=,S09, PRDE,actvstrat=,0.319227, actvprof=,0.048888, id=,S10, PRDE,actvstrat=,-0.896594, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.171124, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.508738, best_B_strat=,0.539205, best_S_id=,S02, best_S_prof=,6.753455, best_S_strat=,0.783010, 
t=,14400, id=,B00, PRDE,actvstrat=,0.078847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.626946, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849152, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.497187, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.015767, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.723586, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.000541, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.703568, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.240977, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.970310, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.554597, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.068088, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.082306, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.190862, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.624490, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.207128, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.405448, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.855045, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.413778, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.084326, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.121181, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158147, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.694963, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.311921, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.078847, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.082306, 
t=,18000, id=,B00, PRDE,actvstrat=,0.078847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.626946, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849152, actvprof=,0.008333, id=,B03, PRDE,actvstrat=,-0.497187, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.015767, actvprof=,0.015278, id=,B05, PRDE,actvstrat=,0.723586, actvprof=,0.226389, id=,B06, PRDE,actvstrat=,-0.000541, actvprof=,0.240278, id=,B07, PRDE,actvstrat=,-0.703568, actvprof=,0.552222, id=,B08, PRDE,actvstrat=,-0.240977, actvprof=,1.115556, id=,B09, PRDE,actvstrat=,-0.970310, actvprof=,2.833889, id=,B10, PRDE,actvstrat=,0.554597, actvprof=,4.305556, id=,B11, PRDE,actvstrat=,0.068088, actvprof=,4.686667, id=,S00, PRDE,actvstrat=,0.082306, actvprof=,8.137222, id=,S01, PRDE,actvstrat=,-0.190862, actvprof=,5.210833, id=,S02, PRDE,actvstrat=,-0.624490, actvprof=,2.618056, id=,S03, PRDE,actvstrat=,-0.207128, actvprof=,2.140000, id=,S04, PRDE,actvstrat=,0.405448, actvprof=,2.783889, id=,S05, PRDE,actvstrat=,-0.855045, actvprof=,0.528056, id=,S06, PRDE,actvstrat=,-0.413778, actvprof=,0.376667, id=,S07, PRDE,actvstrat=,0.084326, actvprof=,0.361389, id=,S08, PRDE,actvstrat=,0.121181, actvprof=,0.108611, id=,S09, PRDE,actvstrat=,0.158147, actvprof=,0.027500, id=,S10, PRDE,actvstrat=,0.694963, actvprof=,0.004444, id=,S11, PRDE,actvstrat=,-0.311921, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.686667, best_B_strat=,0.068088, best_S_id=,S00, best_S_prof=,8.137222, best_S_strat=,0.082306, 
t=,21600, id=,B00, PRDE,actvstrat=,0.078847, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.626946, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849152, actvprof=,0.004861, id=,B03, PRDE,actvstrat=,-0.497187, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,-0.015767, actvprof=,0.021528, id=,B05, PRDE,actvstrat=,0.723586, actvprof=,0.230418, id=,B06, PRDE,actvstrat=,-0.000541, actvprof=,0.253335, id=,B07, PRDE,actvstrat=,-0.703568, actvprof=,0.615698, id=,B08, PRDE,actvstrat=,-0.240977, actvprof=,1.031117, id=,B09, PRDE,actvstrat=,-0.970310, actvprof=,2.768488, id=,B10, PRDE,actvstrat=,0.554597, actvprof=,4.340581, id=,B11, PRDE,actvstrat=,0.068088, actvprof=,4.743639, id=,S00, PRDE,actvstrat=,0.082306, actvprof=,8.019074, id=,S01, PRDE,actvstrat=,-0.190862, actvprof=,5.070446, id=,S02, PRDE,actvstrat=,-0.624490, actvprof=,2.755016, id=,S03, PRDE,actvstrat=,-0.207128, actvprof=,2.276263, id=,S04, PRDE,actvstrat=,0.405448, actvprof=,2.893350, id=,S05, PRDE,actvstrat=,-0.855045, actvprof=,0.521392, id=,S06, PRDE,actvstrat=,-0.413778, actvprof=,0.324585, id=,S07, PRDE,actvstrat=,0.084326, actvprof=,0.347502, id=,S08, PRDE,actvstrat=,0.121181, actvprof=,0.115695, id=,S09, PRDE,actvstrat=,0.158147, actvprof=,0.026250, id=,S10, PRDE,actvstrat=,0.694963, actvprof=,0.003889, id=,S11, PRDE,actvstrat=,-0.311921, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.743639, best_B_strat=,0.068088, best_S_id=,S00, best_S_prof=,8.019074, best_S_strat=,0.082306, 
t=,25200, id=,B00, PRDE,actvstrat=,0.561899, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.623836, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.648807, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.692805, actvprof=,0.015000, id=,B05, PRDE,actvstrat=,0.389074, actvprof=,0.019167, id=,B06, PRDE,actvstrat=,0.258254, actvprof=,0.074167, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.403333, id=,B08, PRDE,actvstrat=,0.003537, actvprof=,0.580278, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.654167, id=,B10, PRDE,actvstrat=,0.707713, actvprof=,3.393333, id=,B11, PRDE,actvstrat=,0.914024, actvprof=,5.070278, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,11.728611, id=,S01, PRDE,actvstrat=,-0.376950, actvprof=,6.340278, id=,S02, PRDE,actvstrat=,-0.405550, actvprof=,4.586111, id=,S03, PRDE,actvstrat=,-0.156902, actvprof=,3.706667, id=,S04, PRDE,actvstrat=,-0.502673, actvprof=,1.918056, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.569167, id=,S06, PRDE,actvstrat=,-0.060008, actvprof=,0.898889, id=,S07, PRDE,actvstrat=,-0.062280, actvprof=,0.419722, id=,S08, PRDE,actvstrat=,0.073609, actvprof=,0.197778, id=,S09, PRDE,actvstrat=,0.241643, actvprof=,0.035833, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.022778, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.070278, best_B_strat=,0.914024, best_S_id=,S00, best_S_prof=,11.728611, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.561899, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.623836, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.648807, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.692805, actvprof=,0.014722, id=,B05, PRDE,actvstrat=,0.389074, actvprof=,0.015695, id=,B06, PRDE,actvstrat=,0.258254, actvprof=,0.086112, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.422780, id=,B08, PRDE,actvstrat=,0.003537, actvprof=,0.656670, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.584037, id=,B10, PRDE,actvstrat=,0.707713, actvprof=,3.407936, id=,B11, PRDE,actvstrat=,0.914024, actvprof=,5.040446, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,11.798124, id=,S01, PRDE,actvstrat=,-0.376950, actvprof=,6.281981, id=,S02, PRDE,actvstrat=,-0.405550, actvprof=,4.383636, id=,S03, PRDE,actvstrat=,-0.156902, actvprof=,3.676549, id=,S04, PRDE,actvstrat=,-0.502673, actvprof=,2.064040, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,4.598082, id=,S06, PRDE,actvstrat=,-0.060008, actvprof=,0.886533, id=,S07, PRDE,actvstrat=,-0.062280, actvprof=,0.374586, id=,S08, PRDE,actvstrat=,0.073609, actvprof=,0.206807, id=,S09, PRDE,actvstrat=,0.241643, actvprof=,0.035278, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.018472, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.040446, best_B_strat=,0.914024, best_S_id=,S00, best_S_prof=,11.798124, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.183328, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.843861, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.933865, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.701426, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.805965, actvprof=,0.022500, id=,B05, PRDE,actvstrat=,0.723586, actvprof=,0.118890, id=,B06, PRDE,actvstrat=,-0.617586, actvprof=,0.111946, id=,B07, PRDE,actvstrat=,0.711541, actvprof=,1.086679, id=,B08, PRDE,actvstrat=,-0.406484, actvprof=,0.757787, id=,B09, PRDE,actvstrat=,0.958988, actvprof=,2.931701, id=,B10, PRDE,actvstrat=,0.618749, actvprof=,4.735610, id=,B11, PRDE,actvstrat=,0.414963, actvprof=,6.085348, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,10.910960, id=,S01, PRDE,actvstrat=,-0.376950, actvprof=,4.685888, id=,S02, PRDE,actvstrat=,-0.020208, actvprof=,4.890612, id=,S03, PRDE,actvstrat=,-0.156902, actvprof=,2.634475, id=,S04, PRDE,actvstrat=,-0.382594, actvprof=,1.141680, id=,S05, PRDE,actvstrat=,0.314825, actvprof=,1.708631, id=,S06, PRDE,actvstrat=,0.272400, actvprof=,0.893899, id=,S07, PRDE,actvstrat=,0.915095, actvprof=,1.256681, id=,S08, PRDE,actvstrat=,0.073609, actvprof=,0.068612, id=,S09, PRDE,actvstrat=,0.541768, actvprof=,0.010833, id=,S10, PRDE,actvstrat=,-0.477662, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.085348, best_B_strat=,0.414963, best_S_id=,S00, best_S_prof=,10.910960, best_S_strat=,-1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.183328, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.843861, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.933865, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.701426, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.805965, actvprof=,0.020694, id=,B05, PRDE,actvstrat=,0.723586, actvprof=,0.132083, id=,B06, PRDE,actvstrat=,-0.617586, actvprof=,0.098194, id=,B07, PRDE,actvstrat=,0.711541, actvprof=,1.089167, id=,B08, PRDE,actvstrat=,-0.406484, actvprof=,0.708750, id=,B09, PRDE,actvstrat=,0.958988, actvprof=,2.919583, id=,B10, PRDE,actvstrat=,0.618749, actvprof=,4.633056, id=,B11, PRDE,actvstrat=,0.414963, actvprof=,6.115000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,10.869583, id=,S01, PRDE,actvstrat=,-0.376950, actvprof=,4.603056, id=,S02, PRDE,actvstrat=,-0.020208, actvprof=,4.770694, id=,S03, PRDE,actvstrat=,-0.156902, actvprof=,2.587083, id=,S04, PRDE,actvstrat=,-0.382594, actvprof=,1.209861, id=,S05, PRDE,actvstrat=,0.314825, actvprof=,1.623750, id=,S06, PRDE,actvstrat=,0.272400, actvprof=,0.871944, id=,S07, PRDE,actvstrat=,0.915095, actvprof=,1.233889, id=,S08, PRDE,actvstrat=,0.073609, actvprof=,0.087778, id=,S09, PRDE,actvstrat=,0.541768, actvprof=,0.008889, id=,S10, PRDE,actvstrat=,-0.477662, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.115000, best_B_strat=,0.414963, best_S_id=,S00, best_S_prof=,10.869583, best_S_strat=,-1.000000, 
