t=,0, id=,B00, PRDE,actvstrat=,-0.327571, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.928240, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.203056, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.894540, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.024333, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.133103, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.966283, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.030438, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.038497, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.718099, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.267643, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.066652, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.578311, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.782592, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.464921, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.638140, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.853939, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.286676, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.723307, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.572190, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.286030, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.881223, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.740926, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.936252, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.327571, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.578311, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.327571, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.928240, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.203056, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.894540, actvprof=,0.080277, id=,B04, PRDE,actvstrat=,-0.024333, actvprof=,0.089166, id=,B05, PRDE,actvstrat=,-0.133103, actvprof=,0.159165, id=,B06, PRDE,actvstrat=,0.966283, actvprof=,0.834435, id=,B07, PRDE,actvstrat=,-0.030438, actvprof=,1.310818, id=,B08, PRDE,actvstrat=,0.038497, actvprof=,2.370806, id=,B09, PRDE,actvstrat=,-0.718099, actvprof=,3.632180, id=,B10, PRDE,actvstrat=,-0.267643, actvprof=,4.507448, id=,B11, PRDE,actvstrat=,-0.066652, actvprof=,6.614090, id=,S00, PRDE,actvstrat=,-0.578311, actvprof=,4.909665, id=,S01, PRDE,actvstrat=,0.782592, actvprof=,7.806576, id=,S02, PRDE,actvstrat=,-0.464921, actvprof=,2.462471, id=,S03, PRDE,actvstrat=,0.638140, actvprof=,4.090786, id=,S04, PRDE,actvstrat=,0.853939, actvprof=,3.378016, id=,S05, PRDE,actvstrat=,0.286676, actvprof=,0.794713, id=,S06, PRDE,actvstrat=,-0.723307, actvprof=,0.135554, id=,S07, PRDE,actvstrat=,0.572190, actvprof=,0.214720, id=,S08, PRDE,actvstrat=,-0.286030, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.881223, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.740926, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.936252, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.614090, best_B_strat=,-0.066652, best_S_id=,S01, best_S_prof=,7.806576, best_S_strat=,0.782592, 
t=,7200, id=,B00, PRDE,actvstrat=,0.788141, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.790259, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.477925, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.194378, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.498632, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.742582, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.775536, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.225670, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.012853, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.064221, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.314396, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.838358, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.097391, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.091733, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.835033, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.658893, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.521451, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.608413, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.752514, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.818246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.457851, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.889190, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.436879, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.788141, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.488522, 
t=,10800, id=,B00, PRDE,actvstrat=,0.788141, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.790259, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.477925, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.194378, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.498632, actvprof=,0.097499, id=,B05, PRDE,actvstrat=,0.742582, actvprof=,0.586938, id=,B06, PRDE,actvstrat=,-0.775536, actvprof=,0.735547, id=,B07, PRDE,actvstrat=,-0.225670, actvprof=,1.033321, id=,B08, PRDE,actvstrat=,-0.012853, actvprof=,1.959700, id=,B09, PRDE,actvstrat=,0.064221, actvprof=,3.268018, id=,B10, PRDE,actvstrat=,-0.314396, actvprof=,4.054953, id=,B11, PRDE,actvstrat=,-0.838358, actvprof=,5.824099, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,8.369903, id=,S01, PRDE,actvstrat=,0.097391, actvprof=,5.267995, id=,S02, PRDE,actvstrat=,0.091733, actvprof=,3.963010, id=,S03, PRDE,actvstrat=,-0.835033, actvprof=,0.498605, id=,S04, PRDE,actvstrat=,0.658893, actvprof=,2.601914, id=,S05, PRDE,actvstrat=,-0.521451, actvprof=,0.171665, id=,S06, PRDE,actvstrat=,-0.608413, actvprof=,0.066388, id=,S07, PRDE,actvstrat=,0.752514, actvprof=,0.184720, id=,S08, PRDE,actvstrat=,-0.818246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.457851, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.889190, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.436879, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.824099, best_B_strat=,-0.838358, best_S_id=,S00, best_S_prof=,8.369903, best_S_strat=,0.488522, 
t=,14400, id=,B00, PRDE,actvstrat=,0.788141, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.648986, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.069737, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.471179, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.118567, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.411508, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.136050, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.130186, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.496914, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.064221, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.210648, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.995762, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.097391, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.016704, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.501695, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.097993, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.404314, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.237524, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.752514, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.919247, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.860601, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.584734, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.189742, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.788141, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.488522, 
t=,18000, id=,B00, PRDE,actvstrat=,0.788141, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.648986, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.069737, actvprof=,0.006944, id=,B03, PRDE,actvstrat=,-0.471179, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,0.118567, actvprof=,0.116111, id=,B05, PRDE,actvstrat=,-0.411508, actvprof=,0.194444, id=,B06, PRDE,actvstrat=,-0.136050, actvprof=,0.499722, id=,B07, PRDE,actvstrat=,0.130186, actvprof=,1.175833, id=,B08, PRDE,actvstrat=,-0.496914, actvprof=,1.611667, id=,B09, PRDE,actvstrat=,0.064221, actvprof=,3.195556, id=,B10, PRDE,actvstrat=,0.210648, actvprof=,4.529167, id=,B11, PRDE,actvstrat=,-0.995762, actvprof=,7.400556, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,9.025278, id=,S01, PRDE,actvstrat=,0.097391, actvprof=,5.545278, id=,S02, PRDE,actvstrat=,-0.016704, actvprof=,3.747222, id=,S03, PRDE,actvstrat=,-0.501695, actvprof=,1.315556, id=,S04, PRDE,actvstrat=,-0.097993, actvprof=,1.057222, id=,S05, PRDE,actvstrat=,-0.404314, actvprof=,0.273333, id=,S06, PRDE,actvstrat=,-0.237524, actvprof=,0.158889, id=,S07, PRDE,actvstrat=,0.752514, actvprof=,0.256944, id=,S08, PRDE,actvstrat=,0.919247, actvprof=,0.156111, id=,S09, PRDE,actvstrat=,0.860601, actvprof=,0.010556, id=,S10, PRDE,actvstrat=,0.584734, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.189742, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.400556, best_B_strat=,-0.995762, best_S_id=,S00, best_S_prof=,9.025278, best_S_strat=,0.488522, 
t=,21600, id=,B00, PRDE,actvstrat=,0.788141, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.648986, actvprof=,0.000972, id=,B02, PRDE,actvstrat=,0.069737, actvprof=,0.005694, id=,B03, PRDE,actvstrat=,-0.471179, actvprof=,0.022639, id=,B04, PRDE,actvstrat=,0.118567, actvprof=,0.109862, id=,B05, PRDE,actvstrat=,-0.411508, actvprof=,0.198890, id=,B06, PRDE,actvstrat=,-0.136050, actvprof=,0.472225, id=,B07, PRDE,actvstrat=,0.130186, actvprof=,1.166812, id=,B08, PRDE,actvstrat=,-0.496914, actvprof=,1.583759, id=,B09, PRDE,actvstrat=,0.064221, actvprof=,3.071268, id=,B10, PRDE,actvstrat=,0.210648, actvprof=,4.652666, id=,B11, PRDE,actvstrat=,-0.995762, actvprof=,7.193097, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,8.946996, id=,S01, PRDE,actvstrat=,0.097391, actvprof=,5.519754, id=,S02, PRDE,actvstrat=,-0.016704, actvprof=,3.583493, id=,S03, PRDE,actvstrat=,-0.501695, actvprof=,1.201951, id=,S04, PRDE,actvstrat=,-0.097993, actvprof=,1.009034, id=,S05, PRDE,actvstrat=,-0.404314, actvprof=,0.338891, id=,S06, PRDE,actvstrat=,-0.237524, actvprof=,0.125556, id=,S07, PRDE,actvstrat=,0.752514, actvprof=,0.282363, id=,S08, PRDE,actvstrat=,0.919247, actvprof=,0.145973, id=,S09, PRDE,actvstrat=,0.860601, actvprof=,0.009167, id=,S10, PRDE,actvstrat=,0.584734, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.189742, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.193097, best_B_strat=,-0.995762, best_S_id=,S00, best_S_prof=,8.946996, best_S_strat=,0.488522, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.150169, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.815196, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.548912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.564352, actvprof=,0.018611, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.085557, id=,B05, PRDE,actvstrat=,0.434867, actvprof=,0.288059, id=,B06, PRDE,actvstrat=,0.616839, actvprof=,0.881121, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.559451, id=,B08, PRDE,actvstrat=,-0.012894, actvprof=,1.543073, id=,B09, PRDE,actvstrat=,0.773181, actvprof=,3.300038, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.431741, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,4.662554, id=,S00, PRDE,actvstrat=,-0.805000, actvprof=,3.584764, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.461232, id=,S02, PRDE,actvstrat=,-0.316135, actvprof=,3.323372, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,6.221461, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,4.622276, id=,S05, PRDE,actvstrat=,-0.044885, actvprof=,1.169180, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.504196, id=,S07, PRDE,actvstrat=,-0.091510, actvprof=,0.178058, id=,S08, PRDE,actvstrat=,0.433006, actvprof=,0.264448, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.238892, id=,S10, PRDE,actvstrat=,0.300816, actvprof=,0.017222, id=,S11, PRDE,actvstrat=,0.083330, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.431741, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,10.461232, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.150169, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.523807, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.538813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.894540, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.498632, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.269108, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.491760, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.363163, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.054890, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.773181, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.998888, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.850751, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.730560, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.316135, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.719238, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.635552, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.890838, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.069679, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.248427, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.457851, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.077357, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.083330, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.150169, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.488522, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.150169, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.523807, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,-0.538813, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,-0.894540, actvprof=,0.096668, id=,B04, PRDE,actvstrat=,0.498632, actvprof=,0.176669, id=,B05, PRDE,actvstrat=,-0.269108, actvprof=,0.292781, id=,B06, PRDE,actvstrat=,-0.491760, actvprof=,0.715286, id=,B07, PRDE,actvstrat=,0.363163, actvprof=,2.187248, id=,B08, PRDE,actvstrat=,0.054890, actvprof=,3.020868, id=,B09, PRDE,actvstrat=,0.773181, actvprof=,5.073392, id=,B10, PRDE,actvstrat=,-0.998888, actvprof=,6.605632, id=,B11, PRDE,actvstrat=,0.850751, actvprof=,7.457309, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,7.938425, id=,S01, PRDE,actvstrat=,0.730560, actvprof=,7.376196, id=,S02, PRDE,actvstrat=,-0.316135, actvprof=,2.158358, id=,S03, PRDE,actvstrat=,-0.719238, actvprof=,1.053623, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.533085, id=,S05, PRDE,actvstrat=,0.635552, actvprof=,2.045579, id=,S06, PRDE,actvstrat=,0.890838, actvprof=,2.039190, id=,S07, PRDE,actvstrat=,-0.069679, actvprof=,0.083612, id=,S08, PRDE,actvstrat=,0.248427, actvprof=,0.143891, id=,S09, PRDE,actvstrat=,-0.457851, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,0.077357, actvprof=,0.009722, id=,S11, PRDE,actvstrat=,0.083330, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.457309, best_B_strat=,0.850751, best_S_id=,S00, best_S_prof=,7.938425, best_S_strat=,0.488522, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.150169, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.523807, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,-0.538813, actvprof=,0.002639, id=,B03, PRDE,actvstrat=,-0.894540, actvprof=,0.097778, id=,B04, PRDE,actvstrat=,0.498632, actvprof=,0.218335, id=,B05, PRDE,actvstrat=,-0.269108, actvprof=,0.244307, id=,B06, PRDE,actvstrat=,-0.491760, actvprof=,0.742088, id=,B07, PRDE,actvstrat=,0.363163, actvprof=,2.233763, id=,B08, PRDE,actvstrat=,0.054890, actvprof=,2.786961, id=,B09, PRDE,actvstrat=,0.773181, actvprof=,5.127391, id=,B10, PRDE,actvstrat=,-0.998888, actvprof=,6.613094, id=,B11, PRDE,actvstrat=,0.850751, actvprof=,7.587822, id=,S00, PRDE,actvstrat=,0.488522, actvprof=,7.907407, id=,S01, PRDE,actvstrat=,0.730560, actvprof=,7.360737, id=,S02, PRDE,actvstrat=,-0.316135, actvprof=,2.101957, id=,S03, PRDE,actvstrat=,-0.719238, actvprof=,0.980422, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.467514, id=,S05, PRDE,actvstrat=,0.635552, actvprof=,2.080706, id=,S06, PRDE,actvstrat=,0.890838, actvprof=,2.011262, id=,S07, PRDE,actvstrat=,-0.069679, actvprof=,0.171112, id=,S08, PRDE,actvstrat=,0.248427, actvprof=,0.146529, id=,S09, PRDE,actvstrat=,-0.457851, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,0.077357, actvprof=,0.009722, id=,S11, PRDE,actvstrat=,0.083330, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.587822, best_B_strat=,0.850751, best_S_id=,S00, best_S_prof=,7.907407, best_S_strat=,0.488522, 
