t=,1, id=,B00, PRDE,actvstrat=,0.811682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773835, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.787863, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.954843, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.258395, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.634184, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.356889, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.034072, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.635590, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.479137, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.214589, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.752035, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.724901, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.079154, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.385073, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.747442, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.220827, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.192589, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.518979, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.856930, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.490791, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.795825, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.307681, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.571572, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.811682, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.724901, 
t=,3600, id=,B00, PRDE,actvstrat=,0.811682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.773835, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.787863, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.954843, actvprof=,0.018333, id=,B04, PRDE,actvstrat=,-0.258395, actvprof=,0.012222, id=,B05, PRDE,actvstrat=,0.634184, actvprof=,0.263053, id=,B06, PRDE,actvstrat=,0.356889, actvprof=,0.601937, id=,B07, PRDE,actvstrat=,0.034072, actvprof=,0.934434, id=,B08, PRDE,actvstrat=,-0.635590, actvprof=,1.271374, id=,B09, PRDE,actvstrat=,0.479137, actvprof=,4.179118, id=,B10, PRDE,actvstrat=,-0.214589, actvprof=,4.123286, id=,B11, PRDE,actvstrat=,0.752035, actvprof=,7.963519, id=,S00, PRDE,actvstrat=,-0.724901, actvprof=,6.012153, id=,S01, PRDE,actvstrat=,-0.079154, actvprof=,5.666601, id=,S02, PRDE,actvstrat=,-0.385073, actvprof=,3.260240, id=,S03, PRDE,actvstrat=,-0.747442, actvprof=,2.080254, id=,S04, PRDE,actvstrat=,0.220827, actvprof=,2.296362, id=,S05, PRDE,actvstrat=,0.192589, actvprof=,1.063599, id=,S06, PRDE,actvstrat=,0.518979, actvprof=,0.744991, id=,S07, PRDE,actvstrat=,0.856930, actvprof=,0.600826, id=,S08, PRDE,actvstrat=,0.490791, actvprof=,0.080277, id=,S09, PRDE,actvstrat=,-0.795825, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.307681, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.571572, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.963519, best_B_strat=,0.752035, best_S_id=,S00, best_S_prof=,6.012153, best_S_strat=,-0.724901, 
t=,7200, id=,B00, PRDE,actvstrat=,0.958857, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.404897, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.406629, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.899636, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.189462, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.610210, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.842444, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.405703, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.679808, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.777349, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.887170, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.831204, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.942095, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.106008, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.361032, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.157493, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.623649, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.460530, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.196379, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.880249, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.527675, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.455765, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.420928, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.154385, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.958857, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.942095, 
t=,10800, id=,B00, PRDE,actvstrat=,0.958857, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.404897, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.406629, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.899636, actvprof=,0.018333, id=,B04, PRDE,actvstrat=,0.189462, actvprof=,0.026667, id=,B05, PRDE,actvstrat=,0.610210, actvprof=,0.107222, id=,B06, PRDE,actvstrat=,0.842444, actvprof=,0.578889, id=,B07, PRDE,actvstrat=,0.405703, actvprof=,0.697500, id=,B08, PRDE,actvstrat=,0.679808, actvprof=,1.918333, id=,B09, PRDE,actvstrat=,0.777349, actvprof=,2.818889, id=,B10, PRDE,actvstrat=,-0.887170, actvprof=,3.648056, id=,B11, PRDE,actvstrat=,-0.831204, actvprof=,4.431389, id=,S00, PRDE,actvstrat=,0.942095, actvprof=,12.319167, id=,S01, PRDE,actvstrat=,0.106008, actvprof=,7.223611, id=,S02, PRDE,actvstrat=,-0.361032, actvprof=,2.960556, id=,S03, PRDE,actvstrat=,0.157493, actvprof=,3.725556, id=,S04, PRDE,actvstrat=,-0.623649, actvprof=,0.665278, id=,S05, PRDE,actvstrat=,0.460530, actvprof=,1.958611, id=,S06, PRDE,actvstrat=,-0.196379, actvprof=,0.189722, id=,S07, PRDE,actvstrat=,-0.880249, actvprof=,0.004444, id=,S08, PRDE,actvstrat=,-0.527675, actvprof=,0.007222, id=,S09, PRDE,actvstrat=,-0.455765, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.420928, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.154385, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.431389, best_B_strat=,-0.831204, best_S_id=,S00, best_S_prof=,12.319167, best_S_strat=,0.942095, 
t=,14400, id=,B00, PRDE,actvstrat=,0.958857, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.404897, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.406629, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.899636, actvprof=,0.011806, id=,B04, PRDE,actvstrat=,0.189462, actvprof=,0.024583, id=,B05, PRDE,actvstrat=,0.610210, actvprof=,0.105417, id=,B06, PRDE,actvstrat=,0.842444, actvprof=,0.590139, id=,B07, PRDE,actvstrat=,0.405703, actvprof=,0.698889, id=,B08, PRDE,actvstrat=,0.679808, actvprof=,1.810000, id=,B09, PRDE,actvstrat=,0.777349, actvprof=,2.812083, id=,B10, PRDE,actvstrat=,-0.887170, actvprof=,3.585972, id=,B11, PRDE,actvstrat=,-0.831204, actvprof=,4.189722, id=,S00, PRDE,actvstrat=,0.942095, actvprof=,12.450417, id=,S01, PRDE,actvstrat=,0.106008, actvprof=,6.918889, id=,S02, PRDE,actvstrat=,-0.361032, actvprof=,2.936806, id=,S03, PRDE,actvstrat=,0.157493, actvprof=,3.672639, id=,S04, PRDE,actvstrat=,-0.623649, actvprof=,0.780417, id=,S05, PRDE,actvstrat=,0.460530, actvprof=,1.913611, id=,S06, PRDE,actvstrat=,-0.196379, actvprof=,0.192361, id=,S07, PRDE,actvstrat=,-0.880249, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.527675, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.455765, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.420928, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.154385, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.189722, best_B_strat=,-0.831204, best_S_id=,S00, best_S_prof=,12.450417, best_S_strat=,0.942095, 
t=,18000, id=,B00, PRDE,actvstrat=,0.152090, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.549362, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.767184, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.548105, actvprof=,0.014445, id=,B04, PRDE,actvstrat=,-0.515577, actvprof=,0.056946, id=,B05, PRDE,actvstrat=,0.481950, actvprof=,0.249172, id=,B06, PRDE,actvstrat=,0.553975, actvprof=,0.784463, id=,B07, PRDE,actvstrat=,-0.174610, actvprof=,0.911132, id=,B08, PRDE,actvstrat=,0.472821, actvprof=,2.242552, id=,B09, PRDE,actvstrat=,0.684397, actvprof=,3.694808, id=,B10, PRDE,actvstrat=,-0.802395, actvprof=,4.493160, id=,B11, PRDE,actvstrat=,-0.831204, actvprof=,5.816246, id=,S00, PRDE,actvstrat=,0.942095, actvprof=,10.843862, id=,S01, PRDE,actvstrat=,0.106008, actvprof=,5.477905, id=,S02, PRDE,actvstrat=,0.184212, actvprof=,4.030649, id=,S03, PRDE,actvstrat=,-0.754292, actvprof=,0.541401, id=,S04, PRDE,actvstrat=,0.220827, actvprof=,1.511424, id=,S05, PRDE,actvstrat=,0.460530, actvprof=,1.043635, id=,S06, PRDE,actvstrat=,-0.148840, actvprof=,0.105558, id=,S07, PRDE,actvstrat=,0.856930, actvprof=,0.462788, id=,S08, PRDE,actvstrat=,0.579658, actvprof=,0.022223, id=,S09, PRDE,actvstrat=,-0.053184, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.170638, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.899833, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.816246, best_B_strat=,-0.831204, best_S_id=,S00, best_S_prof=,10.843862, best_S_strat=,0.942095, 
t=,21600, id=,B00, PRDE,actvstrat=,0.152090, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.549362, actvprof=,0.001806, id=,B02, PRDE,actvstrat=,-0.767184, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,-0.548105, actvprof=,0.018473, id=,B04, PRDE,actvstrat=,-0.515577, actvprof=,0.070279, id=,B05, PRDE,actvstrat=,0.481950, actvprof=,0.329172, id=,B06, PRDE,actvstrat=,0.553975, actvprof=,0.814459, id=,B07, PRDE,actvstrat=,-0.174610, actvprof=,0.873904, id=,B08, PRDE,actvstrat=,0.472821, actvprof=,2.356708, id=,B09, PRDE,actvstrat=,0.684397, actvprof=,3.755482, id=,B10, PRDE,actvstrat=,-0.802395, actvprof=,4.353826, id=,B11, PRDE,actvstrat=,-0.831204, actvprof=,6.084967, id=,S00, PRDE,actvstrat=,0.942095, actvprof=,10.740881, id=,S01, PRDE,actvstrat=,0.106008, actvprof=,5.419261, id=,S02, PRDE,actvstrat=,0.184212, actvprof=,3.980069, id=,S03, PRDE,actvstrat=,-0.754292, actvprof=,0.615011, id=,S04, PRDE,actvstrat=,0.220827, actvprof=,1.537943, id=,S05, PRDE,actvstrat=,0.460530, actvprof=,1.044324, id=,S06, PRDE,actvstrat=,-0.148840, actvprof=,0.107502, id=,S07, PRDE,actvstrat=,0.856930, actvprof=,0.456952, id=,S08, PRDE,actvstrat=,0.579658, actvprof=,0.020556, id=,S09, PRDE,actvstrat=,-0.053184, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.170638, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.899833, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.084967, best_B_strat=,-0.831204, best_S_id=,S00, best_S_prof=,10.740881, best_S_strat=,0.942095, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.804674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.285799, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,-0.410502, actvprof=,0.012223, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.338905, id=,B07, PRDE,actvstrat=,0.313324, actvprof=,0.414464, id=,B08, PRDE,actvstrat=,0.875515, actvprof=,1.507014, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.758137, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.007176, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.408630, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.568406, id=,S01, PRDE,actvstrat=,0.286780, actvprof=,7.823140, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.264781, id=,S03, PRDE,actvstrat=,-0.075745, actvprof=,2.485671, id=,S04, PRDE,actvstrat=,0.708170, actvprof=,4.291588, id=,S05, PRDE,actvstrat=,-0.188711, actvprof=,0.601417, id=,S06, PRDE,actvstrat=,-0.709494, actvprof=,0.237233, id=,S07, PRDE,actvstrat=,0.129893, actvprof=,0.269179, id=,S08, PRDE,actvstrat=,0.792446, actvprof=,0.167786, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.885372, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.626488, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.408630, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,13.568406, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.804674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.285799, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008750, id=,B05, PRDE,actvstrat=,-0.410502, actvprof=,0.006806, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.403755, id=,B07, PRDE,actvstrat=,0.313324, actvprof=,0.441394, id=,B08, PRDE,actvstrat=,0.875515, actvprof=,1.536268, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.737242, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,4.947002, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.482297, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.553629, id=,S01, PRDE,actvstrat=,0.286780, actvprof=,7.843563, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.171055, id=,S03, PRDE,actvstrat=,-0.075745, actvprof=,2.585447, id=,S04, PRDE,actvstrat=,0.708170, actvprof=,4.410190, id=,S05, PRDE,actvstrat=,-0.188711, actvprof=,0.632785, id=,S06, PRDE,actvstrat=,-0.709494, actvprof=,0.187641, id=,S07, PRDE,actvstrat=,0.129893, actvprof=,0.258475, id=,S08, PRDE,actvstrat=,0.792446, actvprof=,0.174169, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.885372, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.626488, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.482297, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,13.553629, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.958857, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.251488, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,0.285799, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.506791, actvprof=,0.019167, id=,B04, PRDE,actvstrat=,-0.515577, actvprof=,0.077225, id=,B05, PRDE,actvstrat=,0.481950, actvprof=,0.295844, id=,B06, PRDE,actvstrat=,0.842444, actvprof=,1.093927, id=,B07, PRDE,actvstrat=,-0.137520, actvprof=,0.850863, id=,B08, PRDE,actvstrat=,0.325569, actvprof=,2.442307, id=,B09, PRDE,actvstrat=,0.686766, actvprof=,3.855967, id=,B10, PRDE,actvstrat=,-0.329312, actvprof=,4.084586, id=,B11, PRDE,actvstrat=,0.269319, actvprof=,6.703844, id=,S00, PRDE,actvstrat=,0.620789, actvprof=,9.898677, id=,S01, PRDE,actvstrat=,0.345436, actvprof=,6.533005, id=,S02, PRDE,actvstrat=,-0.516014, actvprof=,2.065627, id=,S03, PRDE,actvstrat=,0.157493, actvprof=,2.938435, id=,S04, PRDE,actvstrat=,0.861986, actvprof=,3.837633, id=,S05, PRDE,actvstrat=,-0.188711, actvprof=,0.483350, id=,S06, PRDE,actvstrat=,0.302739, actvprof=,0.485572, id=,S07, PRDE,actvstrat=,0.818636, actvprof=,0.668912, id=,S08, PRDE,actvstrat=,0.792446, actvprof=,0.245286, id=,S09, PRDE,actvstrat=,0.665798, actvprof=,0.014723, id=,S10, PRDE,actvstrat=,0.420928, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.232834, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.703844, best_B_strat=,0.269319, best_S_id=,S00, best_S_prof=,9.898677, best_S_strat=,0.620789, 
t=,36000, id=,B00, PRDE,actvstrat=,0.958857, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.251488, actvprof=,0.001111, id=,B02, PRDE,actvstrat=,0.285799, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-0.506791, actvprof=,0.020556, id=,B04, PRDE,actvstrat=,-0.515577, actvprof=,0.073474, id=,B05, PRDE,actvstrat=,0.481950, actvprof=,0.350564, id=,B06, PRDE,actvstrat=,0.842444, actvprof=,1.149610, id=,B07, PRDE,actvstrat=,-0.137520, actvprof=,0.914049, id=,B08, PRDE,actvstrat=,0.325569, actvprof=,2.386722, id=,B09, PRDE,actvstrat=,0.686766, actvprof=,3.787449, id=,B10, PRDE,actvstrat=,-0.329312, actvprof=,3.874395, id=,B11, PRDE,actvstrat=,0.269319, actvprof=,6.409732, id=,S00, PRDE,actvstrat=,0.620789, actvprof=,9.683002, id=,S01, PRDE,actvstrat=,0.345436, actvprof=,6.566819, id=,S02, PRDE,actvstrat=,-0.516014, actvprof=,2.047409, id=,S03, PRDE,actvstrat=,0.157493, actvprof=,2.857427, id=,S04, PRDE,actvstrat=,0.861986, actvprof=,3.855367, id=,S05, PRDE,actvstrat=,-0.188711, actvprof=,0.494595, id=,S06, PRDE,actvstrat=,0.302739, actvprof=,0.488622, id=,S07, PRDE,actvstrat=,0.818636, actvprof=,0.710294, id=,S08, PRDE,actvstrat=,0.792446, actvprof=,0.231533, id=,S09, PRDE,actvstrat=,0.665798, actvprof=,0.012084, id=,S10, PRDE,actvstrat=,0.420928, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,0.232834, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.409732, best_B_strat=,0.269319, best_S_id=,S00, best_S_prof=,9.683002, best_S_strat=,0.620789, 
