t=,1, id=,B00, PRDE,actvstrat=,0.333615, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.451397, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.068615, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.882766, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.518401, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.139666, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.523482, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.498749, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.399767, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.592102, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.267626, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.462288, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.014015, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.029994, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.170806, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.188418, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.307183, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.019006, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.099717, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.542367, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.774922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.625095, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.966544, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.141272, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.333615, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.014015, 
t=,3600, id=,B00, PRDE,actvstrat=,0.333615, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.451397, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.068615, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.882766, actvprof=,0.048611, id=,B04, PRDE,actvstrat=,0.518401, actvprof=,0.094721, id=,B05, PRDE,actvstrat=,-0.139666, actvprof=,0.169442, id=,B06, PRDE,actvstrat=,-0.523482, actvprof=,0.481383, id=,B07, PRDE,actvstrat=,-0.498749, actvprof=,0.960267, id=,B08, PRDE,actvstrat=,-0.399767, actvprof=,1.653314, id=,B09, PRDE,actvstrat=,-0.592102, actvprof=,2.711080, id=,B10, PRDE,actvstrat=,-0.267626, actvprof=,3.820789, id=,B11, PRDE,actvstrat=,-0.462288, actvprof=,5.659379, id=,S00, PRDE,actvstrat=,-0.014015, actvprof=,5.362438, id=,S01, PRDE,actvstrat=,-0.029994, actvprof=,3.637180, id=,S02, PRDE,actvstrat=,0.170806, actvprof=,3.371628, id=,S03, PRDE,actvstrat=,-0.188418, actvprof=,0.949989, id=,S04, PRDE,actvstrat=,0.307183, actvprof=,1.377484, id=,S05, PRDE,actvstrat=,0.019006, actvprof=,0.519438, id=,S06, PRDE,actvstrat=,0.099717, actvprof=,0.220831, id=,S07, PRDE,actvstrat=,0.542367, actvprof=,0.131665, id=,S08, PRDE,actvstrat=,-0.774922, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.625095, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,-0.966544, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.141272, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.659379, best_B_strat=,-0.462288, best_S_id=,S00, best_S_prof=,5.362438, best_S_strat=,-0.014015, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.105313, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.561158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.557178, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.601924, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.402931, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.317927, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.719041, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.024842, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.894883, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.999166, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.724326, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.183100, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.142721, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.394600, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.375853, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.669578, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.446468, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.117318, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.505378, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.828261, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.630778, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.224073, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.845835, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.071438, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.105313, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.142721, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.105313, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.561158, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.557178, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.601924, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,0.402931, actvprof=,0.044442, id=,B05, PRDE,actvstrat=,-0.317927, actvprof=,0.095551, id=,B06, PRDE,actvstrat=,-0.719041, actvprof=,0.315541, id=,B07, PRDE,actvstrat=,-0.024842, actvprof=,0.590806, id=,B08, PRDE,actvstrat=,0.894883, actvprof=,1.612981, id=,B09, PRDE,actvstrat=,0.999166, actvprof=,1.120504, id=,B10, PRDE,actvstrat=,0.724326, actvprof=,3.494283, id=,B11, PRDE,actvstrat=,0.183100, actvprof=,3.560391, id=,S00, PRDE,actvstrat=,-0.142721, actvprof=,8.657933, id=,S01, PRDE,actvstrat=,0.394600, actvprof=,10.306190, id=,S02, PRDE,actvstrat=,0.375853, actvprof=,8.187399, id=,S03, PRDE,actvstrat=,-0.669578, actvprof=,2.520717, id=,S04, PRDE,actvstrat=,0.446468, actvprof=,5.260868, id=,S05, PRDE,actvstrat=,-0.117318, actvprof=,1.692977, id=,S06, PRDE,actvstrat=,-0.505378, actvprof=,0.624416, id=,S07, PRDE,actvstrat=,-0.828261, actvprof=,0.102217, id=,S08, PRDE,actvstrat=,-0.630778, actvprof=,0.039720, id=,S09, PRDE,actvstrat=,0.224073, actvprof=,0.031943, id=,S10, PRDE,actvstrat=,0.845835, actvprof=,0.028332, id=,S11, PRDE,actvstrat=,0.071438, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.560391, best_B_strat=,0.183100, best_S_id=,S01, best_S_prof=,10.306190, best_S_strat=,0.394600, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.105313, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.229033, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.557178, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.900842, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.543949, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.317927, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.497244, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.024842, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.682337, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.592102, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.509307, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.072579, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.998261, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.361751, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.282788, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.119958, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.446468, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.117318, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.505378, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.828261, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.562570, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.224073, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.190125, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.234369, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.105313, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.998261, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.105313, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.229033, actvprof=,0.001111, id=,B02, PRDE,actvstrat=,0.557178, actvprof=,0.011389, id=,B03, PRDE,actvstrat=,-0.900842, actvprof=,0.092500, id=,B04, PRDE,actvstrat=,0.543949, actvprof=,0.102500, id=,B05, PRDE,actvstrat=,-0.317927, actvprof=,0.126667, id=,B06, PRDE,actvstrat=,0.497244, actvprof=,0.894167, id=,B07, PRDE,actvstrat=,-0.024842, actvprof=,0.926944, id=,B08, PRDE,actvstrat=,0.682337, actvprof=,2.388333, id=,B09, PRDE,actvstrat=,-0.592102, actvprof=,2.453056, id=,B10, PRDE,actvstrat=,-0.509307, actvprof=,3.843611, id=,B11, PRDE,actvstrat=,0.072579, actvprof=,5.059167, id=,S00, PRDE,actvstrat=,0.998261, actvprof=,11.045833, id=,S01, PRDE,actvstrat=,0.361751, actvprof=,6.691667, id=,S02, PRDE,actvstrat=,-0.282788, actvprof=,2.430556, id=,S03, PRDE,actvstrat=,-0.119958, actvprof=,2.063056, id=,S04, PRDE,actvstrat=,0.446468, actvprof=,2.674444, id=,S05, PRDE,actvstrat=,-0.117318, actvprof=,0.676944, id=,S06, PRDE,actvstrat=,-0.505378, actvprof=,0.113889, id=,S07, PRDE,actvstrat=,-0.828261, actvprof=,0.054167, id=,S08, PRDE,actvstrat=,0.562570, actvprof=,0.161389, id=,S09, PRDE,actvstrat=,0.224073, actvprof=,0.015833, id=,S10, PRDE,actvstrat=,0.190125, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,0.234369, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.059167, best_B_strat=,0.072579, best_S_id=,S00, best_S_prof=,11.045833, best_S_strat=,0.998261, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.105313, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.229033, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,0.557178, actvprof=,0.010139, id=,B03, PRDE,actvstrat=,-0.900842, actvprof=,0.106667, id=,B04, PRDE,actvstrat=,0.543949, actvprof=,0.117362, id=,B05, PRDE,actvstrat=,-0.317927, actvprof=,0.163334, id=,B06, PRDE,actvstrat=,0.497244, actvprof=,0.821949, id=,B07, PRDE,actvstrat=,-0.024842, actvprof=,0.907922, id=,B08, PRDE,actvstrat=,0.682337, actvprof=,2.374597, id=,B09, PRDE,actvstrat=,-0.592102, actvprof=,2.579598, id=,B10, PRDE,actvstrat=,-0.509307, actvprof=,3.877245, id=,B11, PRDE,actvstrat=,0.072579, actvprof=,4.980723, id=,S00, PRDE,actvstrat=,0.998261, actvprof=,10.984508, id=,S01, PRDE,actvstrat=,0.361751, actvprof=,6.682539, id=,S02, PRDE,actvstrat=,-0.282788, actvprof=,2.579737, id=,S03, PRDE,actvstrat=,-0.119958, actvprof=,1.918344, id=,S04, PRDE,actvstrat=,0.446468, actvprof=,2.658349, id=,S05, PRDE,actvstrat=,-0.117318, actvprof=,0.680421, id=,S06, PRDE,actvstrat=,-0.505378, actvprof=,0.141112, id=,S07, PRDE,actvstrat=,-0.828261, actvprof=,0.039861, id=,S08, PRDE,actvstrat=,0.562570, actvprof=,0.155556, id=,S09, PRDE,actvstrat=,0.224073, actvprof=,0.025972, id=,S10, PRDE,actvstrat=,0.190125, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,0.234369, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.980723, best_B_strat=,0.072579, best_S_id=,S00, best_S_prof=,10.984508, best_S_strat=,0.998261, 
t=,25200, id=,B00, PRDE,actvstrat=,0.441897, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.726049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.354112, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.827116, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.010278, id=,B06, PRDE,actvstrat=,-0.120266, actvprof=,0.057501, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.186958, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.159747, id=,B09, PRDE,actvstrat=,-0.686205, actvprof=,1.073901, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,4.898112, id=,B11, PRDE,actvstrat=,0.013940, actvprof=,4.987002, id=,S00, PRDE,actvstrat=,0.138364, actvprof=,7.456753, id=,S01, PRDE,actvstrat=,-0.704601, actvprof=,2.391417, id=,S02, PRDE,actvstrat=,-0.674953, actvprof=,1.744465, id=,S03, PRDE,actvstrat=,-0.581596, actvprof=,0.918066, id=,S04, PRDE,actvstrat=,-0.146583, actvprof=,0.780565, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.338083, id=,S06, PRDE,actvstrat=,-0.635837, actvprof=,0.098890, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.505561, id=,S08, PRDE,actvstrat=,-0.200454, actvprof=,0.020834, id=,S09, PRDE,actvstrat=,-0.052423, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,0.267988, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,0.131944, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.987002, best_B_strat=,0.013940, best_S_id=,S00, best_S_prof=,7.456753, best_S_strat=,0.138364, 
t=,28800, id=,B00, PRDE,actvstrat=,0.441897, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.726049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.354112, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.827116, actvprof=,0.001528, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.011806, id=,B06, PRDE,actvstrat=,-0.120266, actvprof=,0.051389, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.231257, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.196124, id=,B09, PRDE,actvstrat=,-0.686205, actvprof=,1.176951, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,5.002529, id=,B11, PRDE,actvstrat=,0.013940, actvprof=,5.142113, id=,S00, PRDE,actvstrat=,0.138364, actvprof=,7.969491, id=,S01, PRDE,actvstrat=,-0.704601, actvprof=,2.411264, id=,S02, PRDE,actvstrat=,-0.674953, actvprof=,1.781399, id=,S03, PRDE,actvstrat=,-0.581596, actvprof=,0.976395, id=,S04, PRDE,actvstrat=,-0.146583, actvprof=,0.797088, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.342097, id=,S06, PRDE,actvstrat=,-0.635837, actvprof=,0.080278, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.517225, id=,S08, PRDE,actvstrat=,-0.200454, actvprof=,0.018889, id=,S09, PRDE,actvstrat=,-0.052423, actvprof=,0.005556, id=,S10, PRDE,actvstrat=,0.267988, actvprof=,0.002917, id=,S11, PRDE,actvstrat=,0.131944, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.142113, best_B_strat=,0.013940, best_S_id=,S00, best_S_prof=,7.969491, best_S_strat=,0.138364, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.863728, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.229033, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.557178, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.900842, actvprof=,0.008333, id=,B04, PRDE,actvstrat=,0.630935, actvprof=,0.041667, id=,B05, PRDE,actvstrat=,0.621509, actvprof=,0.133611, id=,B06, PRDE,actvstrat=,0.497244, actvprof=,0.716667, id=,B07, PRDE,actvstrat=,0.360948, actvprof=,1.569444, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.862778, id=,B09, PRDE,actvstrat=,-0.947159, actvprof=,2.735278, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.005000, id=,B11, PRDE,actvstrat=,0.577941, actvprof=,8.703056, id=,S00, PRDE,actvstrat=,0.357889, actvprof=,7.321111, id=,S01, PRDE,actvstrat=,0.361751, actvprof=,5.503056, id=,S02, PRDE,actvstrat=,-0.809294, actvprof=,0.632778, id=,S03, PRDE,actvstrat=,-0.669578, actvprof=,0.650556, id=,S04, PRDE,actvstrat=,0.882714, actvprof=,2.724444, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.174722, id=,S06, PRDE,actvstrat=,-0.382244, actvprof=,0.029722, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.347222, id=,S08, PRDE,actvstrat=,-0.840172, actvprof=,0.003889, id=,S09, PRDE,actvstrat=,-0.573435, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.267988, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.686398, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.703056, best_B_strat=,0.577941, best_S_id=,S00, best_S_prof=,7.321111, best_S_strat=,0.357889, 
t=,36000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.503708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.612761, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.517010, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.006017, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.535481, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.788452, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.757104, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.600448, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.609841, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.306290, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.077148, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.527602, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.322136, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
