t=,0, id=,B00, PRDE,actvstrat=,0.366431, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.993506, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.242775, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.662422, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.290370, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.811309, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.835852, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.531535, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.203823, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.790567, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.960057, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.532544, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.835075, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.708436, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.936879, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.159328, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.265040, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.306796, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.844944, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.879150, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.687418, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.410033, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.121138, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.586525, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.366431, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.835075, 
t=,3600, id=,B00, PRDE,actvstrat=,0.366431, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.993506, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.242775, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.662422, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.290370, actvprof=,0.036666, id=,B05, PRDE,actvstrat=,-0.811309, actvprof=,0.152776, id=,B06, PRDE,actvstrat=,-0.835852, actvprof=,0.469439, id=,B07, PRDE,actvstrat=,-0.531535, actvprof=,0.764158, id=,B08, PRDE,actvstrat=,-0.203823, actvprof=,1.290541, id=,B09, PRDE,actvstrat=,-0.790567, actvprof=,2.385528, id=,B10, PRDE,actvstrat=,0.960057, actvprof=,4.218562, id=,B11, PRDE,actvstrat=,-0.532544, actvprof=,4.633002, id=,S00, PRDE,actvstrat=,-0.835075, actvprof=,2.113864, id=,S01, PRDE,actvstrat=,0.708436, actvprof=,7.236305, id=,S02, PRDE,actvstrat=,-0.936879, actvprof=,1.872478, id=,S03, PRDE,actvstrat=,0.159328, actvprof=,2.502193, id=,S04, PRDE,actvstrat=,-0.265040, actvprof=,0.768880, id=,S05, PRDE,actvstrat=,-0.306796, actvprof=,0.362774, id=,S06, PRDE,actvstrat=,-0.844944, actvprof=,0.060833, id=,S07, PRDE,actvstrat=,0.879150, actvprof=,1.068599, id=,S08, PRDE,actvstrat=,0.687418, actvprof=,0.256941, id=,S09, PRDE,actvstrat=,0.410033, actvprof=,0.023055, id=,S10, PRDE,actvstrat=,-0.121138, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.586525, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.633002, best_B_strat=,-0.532544, best_S_id=,S01, best_S_prof=,7.236305, best_S_strat=,0.708436, 
t=,7200, id=,B00, PRDE,actvstrat=,0.411425, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.147041, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.754675, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.197359, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.537004, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.128882, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.215726, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.332335, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.053305, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.330201, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.673224, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.913703, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.368704, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.094991, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.515853, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.935564, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.559646, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.032167, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.389755, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.074437, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.143063, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.759481, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.200841, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.391458, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.411425, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.368704, 
t=,10800, id=,B00, PRDE,actvstrat=,0.411425, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.147041, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.754675, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.197359, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,-0.537004, actvprof=,0.044999, id=,B05, PRDE,actvstrat=,-0.128882, actvprof=,0.168887, id=,B06, PRDE,actvstrat=,0.215726, actvprof=,0.566660, id=,B07, PRDE,actvstrat=,-0.332335, actvprof=,0.900823, id=,B08, PRDE,actvstrat=,0.053305, actvprof=,1.688036, id=,B09, PRDE,actvstrat=,0.330201, actvprof=,3.241074, id=,B10, PRDE,actvstrat=,-0.673224, actvprof=,3.500793, id=,B11, PRDE,actvstrat=,0.913703, actvprof=,5.513825, id=,S00, PRDE,actvstrat=,-0.368704, actvprof=,5.172162, id=,S01, PRDE,actvstrat=,0.094991, actvprof=,5.639657, id=,S02, PRDE,actvstrat=,0.515853, actvprof=,5.819933, id=,S03, PRDE,actvstrat=,-0.935564, actvprof=,2.163586, id=,S04, PRDE,actvstrat=,0.559646, actvprof=,3.049131, id=,S05, PRDE,actvstrat=,-0.032167, actvprof=,1.120265, id=,S06, PRDE,actvstrat=,-0.389755, actvprof=,0.333885, id=,S07, PRDE,actvstrat=,0.074437, actvprof=,0.330830, id=,S08, PRDE,actvstrat=,-0.143063, actvprof=,0.095554, id=,S09, PRDE,actvstrat=,0.759481, actvprof=,0.179998, id=,S10, PRDE,actvstrat=,-0.200841, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.391458, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.513825, best_B_strat=,0.913703, best_S_id=,S02, best_S_prof=,5.819933, best_S_strat=,0.515853, 
t=,14400, id=,B00, PRDE,actvstrat=,0.016714, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.347408, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.549684, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.276549, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.514616, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.801677, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.215726, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.669229, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.892542, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.330201, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.305791, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.353066, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.368704, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.537803, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.667448, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.935564, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.974772, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.619203, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.284109, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.879150, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.720443, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.792015, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.818370, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.041155, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.016714, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.368704, 
t=,18000, id=,B00, PRDE,actvstrat=,0.016714, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.347408, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.549684, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.276549, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.514616, actvprof=,0.006667, id=,B05, PRDE,actvstrat=,-0.801677, actvprof=,0.061389, id=,B06, PRDE,actvstrat=,0.215726, actvprof=,0.229167, id=,B07, PRDE,actvstrat=,0.669229, actvprof=,0.925000, id=,B08, PRDE,actvstrat=,-0.892542, actvprof=,1.071944, id=,B09, PRDE,actvstrat=,0.330201, actvprof=,2.142222, id=,B10, PRDE,actvstrat=,0.305791, actvprof=,3.260833, id=,B11, PRDE,actvstrat=,0.353066, actvprof=,4.901944, id=,S00, PRDE,actvstrat=,-0.368704, actvprof=,5.678889, id=,S01, PRDE,actvstrat=,-0.537803, actvprof=,3.444444, id=,S02, PRDE,actvstrat=,0.667448, actvprof=,7.391944, id=,S03, PRDE,actvstrat=,-0.935564, actvprof=,1.100000, id=,S04, PRDE,actvstrat=,-0.974772, actvprof=,2.025278, id=,S05, PRDE,actvstrat=,-0.619203, actvprof=,0.371111, id=,S06, PRDE,actvstrat=,-0.284109, actvprof=,0.191944, id=,S07, PRDE,actvstrat=,0.879150, actvprof=,1.151667, id=,S08, PRDE,actvstrat=,0.720443, actvprof=,0.219167, id=,S09, PRDE,actvstrat=,-0.792015, actvprof=,0.001111, id=,S10, PRDE,actvstrat=,-0.818370, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.041155, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.901944, best_B_strat=,0.353066, best_S_id=,S02, best_S_prof=,7.391944, best_S_strat=,0.667448, 
t=,21600, id=,B00, PRDE,actvstrat=,0.016714, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.347408, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.549684, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.276549, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,-0.514616, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,-0.801677, actvprof=,0.082362, id=,B06, PRDE,actvstrat=,0.215726, actvprof=,0.218751, id=,B07, PRDE,actvstrat=,0.669229, actvprof=,0.906394, id=,B08, PRDE,actvstrat=,-0.892542, actvprof=,1.128479, id=,B09, PRDE,actvstrat=,0.330201, actvprof=,2.175846, id=,B10, PRDE,actvstrat=,0.305791, actvprof=,3.180574, id=,B11, PRDE,actvstrat=,0.353066, actvprof=,5.036279, id=,S00, PRDE,actvstrat=,-0.368704, actvprof=,5.541282, id=,S01, PRDE,actvstrat=,-0.537803, actvprof=,3.662938, id=,S02, PRDE,actvstrat=,0.667448, actvprof=,7.334070, id=,S03, PRDE,actvstrat=,-0.935564, actvprof=,0.990978, id=,S04, PRDE,actvstrat=,-0.974772, actvprof=,2.063345, id=,S05, PRDE,actvstrat=,-0.619203, actvprof=,0.396113, id=,S06, PRDE,actvstrat=,-0.284109, actvprof=,0.205140, id=,S07, PRDE,actvstrat=,0.879150, actvprof=,1.173340, id=,S08, PRDE,actvstrat=,0.720443, actvprof=,0.235418, id=,S09, PRDE,actvstrat=,-0.792015, actvprof=,0.005139, id=,S10, PRDE,actvstrat=,-0.818370, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.041155, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.036279, best_B_strat=,0.353066, best_S_id=,S02, best_S_prof=,7.334070, best_S_strat=,0.667448, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.124127, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.785981, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.416732, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.064107, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.077608, actvprof=,0.028333, id=,B05, PRDE,actvstrat=,-0.966208, actvprof=,0.179722, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.919167, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.008056, id=,B08, PRDE,actvstrat=,0.903894, actvprof=,3.563333, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.512778, id=,B10, PRDE,actvstrat=,0.478466, actvprof=,6.759167, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.882222, id=,S00, PRDE,actvstrat=,-0.554561, actvprof=,3.450000, id=,S01, PRDE,actvstrat=,-0.226000, actvprof=,2.583056, id=,S02, PRDE,actvstrat=,0.731881, actvprof=,6.036667, id=,S03, PRDE,actvstrat=,0.378371, actvprof=,2.587500, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.946111, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.645556, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.755833, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.240278, id=,S08, PRDE,actvstrat=,0.761543, actvprof=,0.013611, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.134716, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.882222, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,6.036667, best_S_strat=,0.731881, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.124127, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.785981, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.416732, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.064107, actvprof=,0.005695, id=,B04, PRDE,actvstrat=,-0.077608, actvprof=,0.027500, id=,B05, PRDE,actvstrat=,-0.966208, actvprof=,0.178058, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.943205, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.797104, id=,B08, PRDE,actvstrat=,0.903894, actvprof=,3.537402, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.607414, id=,B10, PRDE,actvstrat=,0.478466, actvprof=,6.819246, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.743423, id=,S00, PRDE,actvstrat=,-0.554561, actvprof=,3.407401, id=,S01, PRDE,actvstrat=,-0.226000, actvprof=,2.605308, id=,S02, PRDE,actvstrat=,0.731881, actvprof=,5.870485, id=,S03, PRDE,actvstrat=,0.378371, actvprof=,2.566696, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.947395, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.655852, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.792648, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.252642, id=,S08, PRDE,actvstrat=,0.761543, actvprof=,0.009583, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.002639, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.134716, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.743423, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,5.870485, best_S_strat=,0.731881, 
t=,32400, id=,B00, PRDE,actvstrat=,0.411425, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.845589, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.843786, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.308597, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.537004, actvprof=,0.008889, id=,B05, PRDE,actvstrat=,-0.966208, actvprof=,0.177780, id=,B06, PRDE,actvstrat=,-0.298726, actvprof=,0.205280, id=,B07, PRDE,actvstrat=,0.817076, actvprof=,1.726964, id=,B08, PRDE,actvstrat=,0.903894, actvprof=,2.107802, id=,B09, PRDE,actvstrat=,-0.964629, actvprof=,2.946423, id=,B10, PRDE,actvstrat=,0.478466, actvprof=,4.944502, id=,B11, PRDE,actvstrat=,-0.220064, actvprof=,5.154226, id=,S00, PRDE,actvstrat=,-0.554561, actvprof=,4.498663, id=,S01, PRDE,actvstrat=,-0.889454, actvprof=,1.188347, id=,S02, PRDE,actvstrat=,0.515853, actvprof=,6.513131, id=,S03, PRDE,actvstrat=,0.378371, actvprof=,3.725876, id=,S04, PRDE,actvstrat=,0.559646, actvprof=,2.845866, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.492807, id=,S06, PRDE,actvstrat=,-0.389755, actvprof=,0.105557, id=,S07, PRDE,actvstrat=,0.879150, actvprof=,0.739175, id=,S08, PRDE,actvstrat=,-0.003125, actvprof=,0.027500, id=,S09, PRDE,actvstrat=,0.759481, actvprof=,0.015834, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.357111, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.154226, best_B_strat=,-0.220064, best_S_id=,S02, best_S_prof=,6.513131, best_S_strat=,0.515853, 
t=,36000, id=,B00, PRDE,actvstrat=,0.411425, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.845589, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.843786, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.308597, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.537004, actvprof=,0.019028, id=,B05, PRDE,actvstrat=,-0.966208, actvprof=,0.196808, id=,B06, PRDE,actvstrat=,-0.298726, actvprof=,0.209864, id=,B07, PRDE,actvstrat=,0.817076, actvprof=,1.728770, id=,B08, PRDE,actvstrat=,0.903894, actvprof=,2.219192, id=,B09, PRDE,actvstrat=,-0.964629, actvprof=,2.973646, id=,B10, PRDE,actvstrat=,0.478466, actvprof=,5.011169, id=,B11, PRDE,actvstrat=,-0.220064, actvprof=,5.163115, id=,S00, PRDE,actvstrat=,-0.554561, actvprof=,4.304911, id=,S01, PRDE,actvstrat=,-0.889454, actvprof=,1.399183, id=,S02, PRDE,actvstrat=,0.515853, actvprof=,6.359379, id=,S03, PRDE,actvstrat=,0.378371, actvprof=,3.761155, id=,S04, PRDE,actvstrat=,0.559646, actvprof=,2.908228, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.435584, id=,S06, PRDE,actvstrat=,-0.389755, actvprof=,0.112918, id=,S07, PRDE,actvstrat=,0.879150, actvprof=,0.770981, id=,S08, PRDE,actvstrat=,-0.003125, actvprof=,0.027778, id=,S09, PRDE,actvstrat=,0.759481, actvprof=,0.017639, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,0.357111, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.163115, best_B_strat=,-0.220064, best_S_id=,S02, best_S_prof=,6.359379, best_S_strat=,0.515853, 
