t=,0, id=,B00, PRDE,actvstrat=,-0.732545, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.916772, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.309716, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.283837, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.719828, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.098774, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.079317, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.360392, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.168933, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.576012, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.782366, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.553643, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.172051, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.654152, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.464086, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.322114, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.678672, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.735614, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.912961, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.602578, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.939776, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.188017, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.657345, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.553438, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.732545, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.172051, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.732545, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.916772, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.309716, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,0.283837, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,0.719828, actvprof=,0.143887, id=,B05, PRDE,actvstrat=,-0.098774, actvprof=,0.225831, id=,B06, PRDE,actvstrat=,-0.079317, actvprof=,0.478050, id=,B07, PRDE,actvstrat=,-0.360392, actvprof=,0.931378, id=,B08, PRDE,actvstrat=,-0.168933, actvprof=,2.320806, id=,B09, PRDE,actvstrat=,-0.576012, actvprof=,3.334684, id=,B10, PRDE,actvstrat=,-0.782366, actvprof=,4.772723, id=,B11, PRDE,actvstrat=,-0.553643, actvprof=,6.381037, id=,S00, PRDE,actvstrat=,-0.172051, actvprof=,2.884967, id=,S01, PRDE,actvstrat=,0.654152, actvprof=,5.750211, id=,S02, PRDE,actvstrat=,-0.464086, actvprof=,0.859157, id=,S03, PRDE,actvstrat=,0.322114, actvprof=,1.416372, id=,S04, PRDE,actvstrat=,0.678672, actvprof=,1.216653, id=,S05, PRDE,actvstrat=,0.735614, actvprof=,0.606382, id=,S06, PRDE,actvstrat=,0.912961, actvprof=,0.449717, id=,S07, PRDE,actvstrat=,0.602578, actvprof=,0.027222, id=,S08, PRDE,actvstrat=,0.939776, actvprof=,0.041944, id=,S09, PRDE,actvstrat=,-0.188017, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.657345, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.553438, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.381037, best_B_strat=,-0.553643, best_S_id=,S01, best_S_prof=,5.750211, best_S_strat=,0.654152, 
t=,7200, id=,B00, PRDE,actvstrat=,0.498992, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929297, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.370092, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.347285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.492055, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.194081, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.835913, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.375960, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.663057, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.175189, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.815217, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.961980, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.680786, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.887045, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.845026, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.960851, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.945766, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.823847, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.466263, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.941429, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.164685, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.035040, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.598010, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.587871, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.498992, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.680786, 
t=,10800, id=,B00, PRDE,actvstrat=,0.498992, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929297, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.370092, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.347285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.492055, actvprof=,0.078334, id=,B05, PRDE,actvstrat=,-0.194081, actvprof=,0.161669, id=,B06, PRDE,actvstrat=,-0.835913, actvprof=,0.584729, id=,B07, PRDE,actvstrat=,0.375960, actvprof=,1.605019, id=,B08, PRDE,actvstrat=,0.663057, actvprof=,2.913367, id=,B09, PRDE,actvstrat=,-0.175189, actvprof=,3.089480, id=,B10, PRDE,actvstrat=,0.815217, actvprof=,4.973391, id=,B11, PRDE,actvstrat=,-0.961980, actvprof=,6.063126, id=,S00, PRDE,actvstrat=,-0.680786, actvprof=,3.936990, id=,S01, PRDE,actvstrat=,-0.887045, actvprof=,0.878899, id=,S02, PRDE,actvstrat=,0.845026, actvprof=,7.685089, id=,S03, PRDE,actvstrat=,0.960851, actvprof=,5.492008, id=,S04, PRDE,actvstrat=,0.945766, actvprof=,4.559219, id=,S05, PRDE,actvstrat=,-0.823847, actvprof=,0.081112, id=,S06, PRDE,actvstrat=,-0.466263, actvprof=,0.168613, id=,S07, PRDE,actvstrat=,-0.941429, actvprof=,0.121946, id=,S08, PRDE,actvstrat=,0.164685, actvprof=,0.070834, id=,S09, PRDE,actvstrat=,0.035040, actvprof=,0.016111, id=,S10, PRDE,actvstrat=,-0.598010, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.587871, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.063126, best_B_strat=,-0.961980, best_S_id=,S02, best_S_prof=,7.685089, best_S_strat=,0.845026, 
t=,14400, id=,B00, PRDE,actvstrat=,0.498992, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929297, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.370092, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.347285, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,0.492055, actvprof=,0.071112, id=,B05, PRDE,actvstrat=,-0.194081, actvprof=,0.147779, id=,B06, PRDE,actvstrat=,-0.835913, actvprof=,0.564309, id=,B07, PRDE,actvstrat=,0.375960, actvprof=,1.733204, id=,B08, PRDE,actvstrat=,0.663057, actvprof=,3.019462, id=,B09, PRDE,actvstrat=,-0.175189, actvprof=,3.125574, id=,B10, PRDE,actvstrat=,0.815217, actvprof=,5.095307, id=,B11, PRDE,actvstrat=,-0.961980, actvprof=,6.042952, id=,S00, PRDE,actvstrat=,-0.680786, actvprof=,3.818911, id=,S01, PRDE,actvstrat=,-0.887045, actvprof=,1.089451, id=,S02, PRDE,actvstrat=,0.845026, actvprof=,7.511988, id=,S03, PRDE,actvstrat=,0.960851, actvprof=,5.517254, id=,S04, PRDE,actvstrat=,0.945766, actvprof=,4.504748, id=,S05, PRDE,actvstrat=,-0.823847, actvprof=,0.102501, id=,S06, PRDE,actvstrat=,-0.466263, actvprof=,0.179445, id=,S07, PRDE,actvstrat=,-0.941429, actvprof=,0.092501, id=,S08, PRDE,actvstrat=,0.164685, actvprof=,0.077639, id=,S09, PRDE,actvstrat=,0.035040, actvprof=,0.009583, id=,S10, PRDE,actvstrat=,-0.598010, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.587871, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.042952, best_B_strat=,-0.961980, best_S_id=,S02, best_S_prof=,7.511988, best_S_strat=,0.845026, 
t=,18000, id=,B00, PRDE,actvstrat=,0.799577, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929297, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.287384, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.283837, actvprof=,0.023334, id=,B04, PRDE,actvstrat=,-0.791910, actvprof=,0.072502, id=,B05, PRDE,actvstrat=,-0.194081, actvprof=,0.193338, id=,B06, PRDE,actvstrat=,0.815492, actvprof=,1.442256, id=,B07, PRDE,actvstrat=,-0.797585, actvprof=,1.286419, id=,B08, PRDE,actvstrat=,0.228072, actvprof=,2.620338, id=,B09, PRDE,actvstrat=,-0.463035, actvprof=,3.083127, id=,B10, PRDE,actvstrat=,-0.906536, actvprof=,5.006783, id=,B11, PRDE,actvstrat=,0.365269, actvprof=,6.939605, id=,S00, PRDE,actvstrat=,0.236991, actvprof=,6.911549, id=,S01, PRDE,actvstrat=,0.206501, actvprof=,5.001227, id=,S02, PRDE,actvstrat=,0.249932, actvprof=,3.805921, id=,S03, PRDE,actvstrat=,0.960851, actvprof=,4.480659, id=,S04, PRDE,actvstrat=,-0.939292, actvprof=,0.802796, id=,S05, PRDE,actvstrat=,0.735614, actvprof=,1.658094, id=,S06, PRDE,actvstrat=,-0.890654, actvprof=,0.056946, id=,S07, PRDE,actvstrat=,-0.937860, actvprof=,0.121392, id=,S08, PRDE,actvstrat=,0.164685, actvprof=,0.074168, id=,S09, PRDE,actvstrat=,-0.107625, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.102219, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.587871, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.939605, best_B_strat=,0.365269, best_S_id=,S00, best_S_prof=,6.911549, best_S_strat=,0.236991, 
t=,21600, id=,B00, PRDE,actvstrat=,0.799577, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929297, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.287384, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.283837, actvprof=,0.018473, id=,B04, PRDE,actvstrat=,-0.791910, actvprof=,0.069029, id=,B05, PRDE,actvstrat=,-0.194081, actvprof=,0.196670, id=,B06, PRDE,actvstrat=,0.815492, actvprof=,1.441414, id=,B07, PRDE,actvstrat=,-0.797585, actvprof=,1.345301, id=,B08, PRDE,actvstrat=,0.228072, actvprof=,2.576711, id=,B09, PRDE,actvstrat=,-0.463035, actvprof=,3.054081, id=,B10, PRDE,actvstrat=,-0.906536, actvprof=,5.152728, id=,B11, PRDE,actvstrat=,0.365269, actvprof=,6.861230, id=,S00, PRDE,actvstrat=,0.236991, actvprof=,7.004010, id=,S01, PRDE,actvstrat=,0.206501, actvprof=,5.130784, id=,S02, PRDE,actvstrat=,0.249932, actvprof=,3.829511, id=,S03, PRDE,actvstrat=,0.960851, actvprof=,4.438688, id=,S04, PRDE,actvstrat=,-0.939292, actvprof=,0.817236, id=,S05, PRDE,actvstrat=,0.735614, actvprof=,1.797670, id=,S06, PRDE,actvstrat=,-0.890654, actvprof=,0.057501, id=,S07, PRDE,actvstrat=,-0.937860, actvprof=,0.119030, id=,S08, PRDE,actvstrat=,0.164685, actvprof=,0.075557, id=,S09, PRDE,actvstrat=,-0.107625, actvprof=,0.002361, id=,S10, PRDE,actvstrat=,-0.102219, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.587871, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.861230, best_B_strat=,0.365269, best_S_id=,S00, best_S_prof=,7.004010, best_S_strat=,0.236991, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.495308, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.628930, actvprof=,0.007500, id=,B03, PRDE,actvstrat=,-0.515372, actvprof=,0.017223, id=,B04, PRDE,actvstrat=,0.720324, actvprof=,0.601410, id=,B05, PRDE,actvstrat=,-0.386262, actvprof=,0.475850, id=,B06, PRDE,actvstrat=,-0.438290, actvprof=,1.076426, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.128095, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.829230, id=,B09, PRDE,actvstrat=,0.175011, actvprof=,4.261537, id=,B10, PRDE,actvstrat=,-0.197587, actvprof=,4.892948, id=,B11, PRDE,actvstrat=,0.764251, actvprof=,7.111914, id=,S00, PRDE,actvstrat=,0.226516, actvprof=,7.657488, id=,S01, PRDE,actvstrat=,0.649750, actvprof=,8.304733, id=,S02, PRDE,actvstrat=,0.992019, actvprof=,6.176326, id=,S03, PRDE,actvstrat=,0.731219, actvprof=,5.561860, id=,S04, PRDE,actvstrat=,-0.535984, actvprof=,0.878364, id=,S05, PRDE,actvstrat=,-0.014879, actvprof=,0.841140, id=,S06, PRDE,actvstrat=,0.308609, actvprof=,0.737526, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.823084, id=,S08, PRDE,actvstrat=,0.018681, actvprof=,0.063613, id=,S09, PRDE,actvstrat=,-0.649873, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.008334, id=,S11, PRDE,actvstrat=,-0.069038, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.111914, best_B_strat=,0.764251, best_S_id=,S01, best_S_prof=,8.304733, best_S_strat=,0.649750, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.495308, actvprof=,0.000417, id=,B02, PRDE,actvstrat=,-0.628930, actvprof=,0.006111, id=,B03, PRDE,actvstrat=,-0.515372, actvprof=,0.025834, id=,B04, PRDE,actvstrat=,0.720324, actvprof=,0.641678, id=,B05, PRDE,actvstrat=,-0.386262, actvprof=,0.452925, id=,B06, PRDE,actvstrat=,-0.438290, actvprof=,1.127103, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.077241, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.749614, id=,B09, PRDE,actvstrat=,0.175011, actvprof=,4.041459, id=,B10, PRDE,actvstrat=,-0.197587, actvprof=,4.813139, id=,B11, PRDE,actvstrat=,0.764251, actvprof=,7.020955, id=,S00, PRDE,actvstrat=,0.226516, actvprof=,7.630549, id=,S01, PRDE,actvstrat=,0.649750, actvprof=,8.333339, id=,S02, PRDE,actvstrat=,0.992019, actvprof=,6.350110, id=,S03, PRDE,actvstrat=,0.731219, actvprof=,5.581486, id=,S04, PRDE,actvstrat=,-0.535984, actvprof=,0.728902, id=,S05, PRDE,actvstrat=,-0.014879, actvprof=,0.885988, id=,S06, PRDE,actvstrat=,0.308609, actvprof=,0.724040, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.830431, id=,S08, PRDE,actvstrat=,0.018681, actvprof=,0.071112, id=,S09, PRDE,actvstrat=,-0.649873, actvprof=,0.001250, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.005417, id=,S11, PRDE,actvstrat=,-0.069038, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.020955, best_B_strat=,0.764251, best_S_id=,S01, best_S_prof=,8.333339, best_S_strat=,0.649750, 
t=,32400, id=,B00, PRDE,actvstrat=,0.982939, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.765028, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.309716, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.964187, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.492055, actvprof=,0.003889, id=,B05, PRDE,actvstrat=,-0.386262, actvprof=,0.011667, id=,B06, PRDE,actvstrat=,-0.438290, actvprof=,0.067502, id=,B07, PRDE,actvstrat=,0.946421, actvprof=,0.313622, id=,B08, PRDE,actvstrat=,0.945039, actvprof=,0.688079, id=,B09, PRDE,actvstrat=,0.431087, actvprof=,1.103649, id=,B10, PRDE,actvstrat=,0.695513, actvprof=,2.179242, id=,B11, PRDE,actvstrat=,-0.961980, actvprof=,3.430119, id=,S00, PRDE,actvstrat=,-0.198358, actvprof=,7.344144, id=,S01, PRDE,actvstrat=,-0.498436, actvprof=,4.886559, id=,S02, PRDE,actvstrat=,0.142291, actvprof=,7.074135, id=,S03, PRDE,actvstrat=,0.169904, actvprof=,5.041008, id=,S04, PRDE,actvstrat=,-0.535984, actvprof=,1.485329, id=,S05, PRDE,actvstrat=,-0.268918, actvprof=,0.839751, id=,S06, PRDE,actvstrat=,-0.680569, actvprof=,0.189173, id=,S07, PRDE,actvstrat=,0.502190, actvprof=,0.740303, id=,S08, PRDE,actvstrat=,-0.142196, actvprof=,0.027779, id=,S09, PRDE,actvstrat=,-0.649873, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.210861, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.430119, best_B_strat=,-0.961980, best_S_id=,S00, best_S_prof=,7.344144, best_S_strat=,-0.198358, 
t=,36000, id=,B00, PRDE,actvstrat=,0.982939, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.765028, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.309716, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.964187, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.492055, actvprof=,0.004445, id=,B05, PRDE,actvstrat=,-0.386262, actvprof=,0.009861, id=,B06, PRDE,actvstrat=,-0.438290, actvprof=,0.045834, id=,B07, PRDE,actvstrat=,0.946421, actvprof=,0.298339, id=,B08, PRDE,actvstrat=,0.945039, actvprof=,0.653484, id=,B09, PRDE,actvstrat=,0.431087, actvprof=,1.029879, id=,B10, PRDE,actvstrat=,0.695513, actvprof=,2.178788, id=,B11, PRDE,actvstrat=,-0.961980, actvprof=,3.266168, id=,S00, PRDE,actvstrat=,-0.198358, actvprof=,7.273876, id=,S01, PRDE,actvstrat=,-0.498436, actvprof=,4.750777, id=,S02, PRDE,actvstrat=,0.142291, actvprof=,6.969427, id=,S03, PRDE,actvstrat=,0.169904, actvprof=,5.212729, id=,S04, PRDE,actvstrat=,-0.535984, actvprof=,1.397385, id=,S05, PRDE,actvstrat=,-0.268918, actvprof=,0.834876, id=,S06, PRDE,actvstrat=,-0.680569, actvprof=,0.178336, id=,S07, PRDE,actvstrat=,0.502190, actvprof=,0.719735, id=,S08, PRDE,actvstrat=,-0.142196, actvprof=,0.029028, id=,S09, PRDE,actvstrat=,-0.649873, actvprof=,0.002083, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.210861, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.266168, best_B_strat=,-0.961980, best_S_id=,S00, best_S_prof=,7.273876, best_S_strat=,-0.198358, 
