t=,3600, id=,B00, PRDE,actvstrat=,-0.895368, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.574742, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.585727, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.938740, actvprof=,0.012222, id=,B04, PRDE,actvstrat=,0.312314, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,-0.342191, actvprof=,0.001389, id=,B06, PRDE,actvstrat=,0.906044, actvprof=,0.491661, id=,B07, PRDE,actvstrat=,-0.282862, actvprof=,0.246942, id=,B08, PRDE,actvstrat=,-0.405826, actvprof=,0.632770, id=,B09, PRDE,actvstrat=,0.556914, actvprof=,2.313307, id=,B10, PRDE,actvstrat=,0.769276, actvprof=,3.551903, id=,B11, PRDE,actvstrat=,-0.829679, actvprof=,3.513570, id=,S00, PRDE,actvstrat=,-0.287907, actvprof=,5.996319, id=,S01, PRDE,actvstrat=,0.204486, actvprof=,7.465469, id=,S02, PRDE,actvstrat=,-0.933301, actvprof=,1.255819, id=,S03, PRDE,actvstrat=,-0.773358, actvprof=,1.236652, id=,S04, PRDE,actvstrat=,0.763765, actvprof=,4.889110, id=,S05, PRDE,actvstrat=,0.004109, actvprof=,1.453039, id=,S06, PRDE,actvstrat=,-0.883749, actvprof=,0.070277, id=,S07, PRDE,actvstrat=,-0.837811, actvprof=,0.039166, id=,S08, PRDE,actvstrat=,0.468811, actvprof=,0.208886, id=,S09, PRDE,actvstrat=,-0.212394, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,0.142508, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.320175, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.551903, best_B_strat=,0.769276, best_S_id=,S01, best_S_prof=,7.465469, best_S_strat=,0.204486, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.632533, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.519054, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.849862, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.361999, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.420299, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.678875, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.427185, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.001199, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.378338, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.814716, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.440604, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.899341, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.594012, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.141910, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.818985, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.561721, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.459691, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.966616, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.792989, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.854959, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.477843, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.912616, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.077736, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.730974, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.632533, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.594012, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.632533, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.519054, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.849862, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,0.361999, actvprof=,0.025000, id=,B04, PRDE,actvstrat=,-0.420299, actvprof=,0.013611, id=,B05, PRDE,actvstrat=,0.678875, actvprof=,0.559994, id=,B06, PRDE,actvstrat=,0.427185, actvprof=,0.905267, id=,B07, PRDE,actvstrat=,-0.001199, actvprof=,1.483316, id=,B08, PRDE,actvstrat=,0.378338, actvprof=,2.953299, id=,B09, PRDE,actvstrat=,-0.814716, actvprof=,3.319128, id=,B10, PRDE,actvstrat=,0.440604, actvprof=,6.017708, id=,B11, PRDE,actvstrat=,0.899341, actvprof=,7.321582, id=,S00, PRDE,actvstrat=,-0.594012, actvprof=,4.154674, id=,S01, PRDE,actvstrat=,0.141910, actvprof=,5.439381, id=,S02, PRDE,actvstrat=,0.818985, actvprof=,6.006597, id=,S03, PRDE,actvstrat=,-0.561721, actvprof=,0.946656, id=,S04, PRDE,actvstrat=,0.459691, actvprof=,2.197475, id=,S05, PRDE,actvstrat=,0.966616, actvprof=,1.870812, id=,S06, PRDE,actvstrat=,-0.792989, actvprof=,0.110277, id=,S07, PRDE,actvstrat=,0.854959, actvprof=,0.839990, id=,S08, PRDE,actvstrat=,0.477843, actvprof=,0.111943, id=,S09, PRDE,actvstrat=,0.912616, actvprof=,0.156109, id=,S10, PRDE,actvstrat=,0.077736, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,0.730974, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.321582, best_B_strat=,0.899341, best_S_id=,S02, best_S_prof=,6.006597, best_S_strat=,0.818985, 
t=,14400, id=,B00, PRDE,actvstrat=,0.909727, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.519054, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.165393, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.610727, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.957849, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.678875, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.613679, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.900599, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.481132, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.814716, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.229876, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.211242, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.486179, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.581895, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.254275, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.882810, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.763765, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.134837, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.943424, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.713801, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.254970, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.393442, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.395213, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.729276, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.909727, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.486179, 
t=,18000, id=,B00, PRDE,actvstrat=,0.909727, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.519054, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.165393, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.610727, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,0.957849, actvprof=,0.148889, id=,B05, PRDE,actvstrat=,0.678875, actvprof=,0.430278, id=,B06, PRDE,actvstrat=,-0.613679, actvprof=,0.435000, id=,B07, PRDE,actvstrat=,-0.900599, actvprof=,1.694722, id=,B08, PRDE,actvstrat=,-0.481132, actvprof=,1.932222, id=,B09, PRDE,actvstrat=,-0.814716, actvprof=,3.446667, id=,B10, PRDE,actvstrat=,-0.229876, actvprof=,5.124167, id=,B11, PRDE,actvstrat=,-0.211242, actvprof=,6.661667, id=,S00, PRDE,actvstrat=,0.486179, actvprof=,7.178056, id=,S01, PRDE,actvstrat=,-0.581895, actvprof=,2.002778, id=,S02, PRDE,actvstrat=,0.254275, actvprof=,2.968333, id=,S03, PRDE,actvstrat=,0.882810, actvprof=,3.775278, id=,S04, PRDE,actvstrat=,0.763765, actvprof=,2.080833, id=,S05, PRDE,actvstrat=,0.134837, actvprof=,0.398056, id=,S06, PRDE,actvstrat=,-0.943424, actvprof=,0.280278, id=,S07, PRDE,actvstrat=,0.713801, actvprof=,0.151667, id=,S08, PRDE,actvstrat=,-0.254970, actvprof=,0.010556, id=,S09, PRDE,actvstrat=,-0.393442, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.395213, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.729276, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.661667, best_B_strat=,-0.211242, best_S_id=,S00, best_S_prof=,7.178056, best_S_strat=,0.486179, 
t=,21600, id=,B00, PRDE,actvstrat=,0.909727, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.519054, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.165393, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,0.610727, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,0.957849, actvprof=,0.163473, id=,B05, PRDE,actvstrat=,0.678875, actvprof=,0.451669, id=,B06, PRDE,actvstrat=,-0.613679, actvprof=,0.422502, id=,B07, PRDE,actvstrat=,-0.900599, actvprof=,1.606120, id=,B08, PRDE,actvstrat=,-0.481132, actvprof=,2.066818, id=,B09, PRDE,actvstrat=,-0.814716, actvprof=,3.403075, id=,B10, PRDE,actvstrat=,-0.229876, actvprof=,5.074613, id=,B11, PRDE,actvstrat=,-0.211242, actvprof=,6.812678, id=,S00, PRDE,actvstrat=,0.486179, actvprof=,7.475321, id=,S01, PRDE,actvstrat=,-0.581895, actvprof=,1.954317, id=,S02, PRDE,actvstrat=,0.254275, actvprof=,3.037379, id=,S03, PRDE,actvstrat=,0.882810, actvprof=,3.684882, id=,S04, PRDE,actvstrat=,0.763765, actvprof=,1.969317, id=,S05, PRDE,actvstrat=,0.134837, actvprof=,0.453058, id=,S06, PRDE,actvstrat=,-0.943424, actvprof=,0.246807, id=,S07, PRDE,actvstrat=,0.713801, actvprof=,0.163890, id=,S08, PRDE,actvstrat=,-0.254970, actvprof=,0.006389, id=,S09, PRDE,actvstrat=,-0.393442, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.395213, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.729276, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.812678, best_B_strat=,-0.211242, best_S_id=,S00, best_S_prof=,7.475321, best_S_strat=,0.486179, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.239104, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.817521, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.598542, actvprof=,0.026945, id=,B05, PRDE,actvstrat=,-0.406112, actvprof=,0.023056, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.710286, id=,B07, PRDE,actvstrat=,0.434583, actvprof=,1.549462, id=,B08, PRDE,actvstrat=,0.618927, actvprof=,3.117258, id=,B09, PRDE,actvstrat=,0.046860, actvprof=,3.686432, id=,B10, PRDE,actvstrat=,0.307079, actvprof=,6.172571, id=,B11, PRDE,actvstrat=,-0.823571, actvprof=,4.909779, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.483976, id=,S01, PRDE,actvstrat=,-0.455755, actvprof=,2.450028, id=,S02, PRDE,actvstrat=,0.424748, actvprof=,4.877279, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.596431, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.428639, id=,S05, PRDE,actvstrat=,0.996188, actvprof=,1.772243, id=,S06, PRDE,actvstrat=,-0.732580, actvprof=,0.018056, id=,S07, PRDE,actvstrat=,0.672509, actvprof=,0.123335, id=,S08, PRDE,actvstrat=,0.603992, actvprof=,0.011945, id=,S09, PRDE,actvstrat=,0.560836, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.218301, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.172571, best_B_strat=,0.307079, best_S_id=,S00, best_S_prof=,7.483976, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.239104, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.817521, actvprof=,0.003194, id=,B04, PRDE,actvstrat=,0.598542, actvprof=,0.024028, id=,B05, PRDE,actvstrat=,-0.406112, actvprof=,0.018611, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.725842, id=,B07, PRDE,actvstrat=,0.434583, actvprof=,1.585157, id=,B08, PRDE,actvstrat=,0.618927, actvprof=,3.067119, id=,B09, PRDE,actvstrat=,0.046860, actvprof=,3.705598, id=,B10, PRDE,actvstrat=,0.307079, actvprof=,6.063265, id=,B11, PRDE,actvstrat=,-0.823571, actvprof=,4.757555, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.481753, id=,S01, PRDE,actvstrat=,-0.455755, actvprof=,2.520029, id=,S02, PRDE,actvstrat=,0.424748, actvprof=,4.637415, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.595319, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.460167, id=,S05, PRDE,actvstrat=,0.996188, actvprof=,1.754743, id=,S06, PRDE,actvstrat=,-0.732580, actvprof=,0.029167, id=,S07, PRDE,actvstrat=,0.672509, actvprof=,0.112779, id=,S08, PRDE,actvstrat=,0.603992, actvprof=,0.011667, id=,S09, PRDE,actvstrat=,0.560836, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.218301, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.063265, best_B_strat=,0.307079, best_S_id=,S00, best_S_prof=,7.481753, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.978429, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.719213, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.817521, actvprof=,0.055279, id=,B04, PRDE,actvstrat=,0.779589, actvprof=,0.284729, id=,B05, PRDE,actvstrat=,-0.452877, actvprof=,0.163893, id=,B06, PRDE,actvstrat=,-0.283527, actvprof=,0.814463, id=,B07, PRDE,actvstrat=,-0.001199, actvprof=,2.300053, id=,B08, PRDE,actvstrat=,0.618927, actvprof=,4.724832, id=,B09, PRDE,actvstrat=,0.046860, actvprof=,5.677909, id=,B10, PRDE,actvstrat=,0.487779, actvprof=,8.071020, id=,B11, PRDE,actvstrat=,-0.624308, actvprof=,8.217690, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.254890, id=,S01, PRDE,actvstrat=,0.045582, actvprof=,3.687030, id=,S02, PRDE,actvstrat=,0.818985, actvprof=,4.798444, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.126461, id=,S04, PRDE,actvstrat=,0.913327, actvprof=,2.343110, id=,S05, PRDE,actvstrat=,0.996188, actvprof=,1.274752, id=,S06, PRDE,actvstrat=,-0.792989, actvprof=,0.011667, id=,S07, PRDE,actvstrat=,-0.026994, actvprof=,0.046946, id=,S08, PRDE,actvstrat=,0.603992, actvprof=,0.030556, id=,S09, PRDE,actvstrat=,0.044469, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,0.666631, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.239389, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.217690, best_B_strat=,-0.624308, best_S_id=,S00, best_S_prof=,7.254890, best_S_strat=,-1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.978429, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.719213, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.817521, actvprof=,0.058751, id=,B04, PRDE,actvstrat=,0.779589, actvprof=,0.300976, id=,B05, PRDE,actvstrat=,-0.452877, actvprof=,0.200280, id=,B06, PRDE,actvstrat=,-0.283527, actvprof=,0.785148, id=,B07, PRDE,actvstrat=,-0.001199, actvprof=,2.348361, id=,B08, PRDE,actvstrat=,0.618927, actvprof=,4.832695, id=,B09, PRDE,actvstrat=,0.046860, actvprof=,5.592981, id=,B10, PRDE,actvstrat=,0.487779, actvprof=,8.177317, id=,B11, PRDE,actvstrat=,-0.624308, actvprof=,8.301763, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,7.201750, id=,S01, PRDE,actvstrat=,0.045582, actvprof=,3.608792, id=,S02, PRDE,actvstrat=,0.818985, actvprof=,4.742555, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.109897, id=,S04, PRDE,actvstrat=,0.913327, actvprof=,2.328638, id=,S05, PRDE,actvstrat=,0.996188, actvprof=,1.148486, id=,S06, PRDE,actvstrat=,-0.792989, actvprof=,0.019722, id=,S07, PRDE,actvstrat=,-0.026994, actvprof=,0.041389, id=,S08, PRDE,actvstrat=,0.603992, actvprof=,0.024445, id=,S09, PRDE,actvstrat=,0.044469, actvprof=,0.000417, id=,S10, PRDE,actvstrat=,0.666631, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.239389, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.301763, best_B_strat=,-0.624308, best_S_id=,S00, best_S_prof=,7.201750, best_S_strat=,-1.000000, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.533159, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.617157, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.570385, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.093524, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.015834, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.165559, id=,B06, PRDE,actvstrat=,0.696717, actvprof=,0.546679, id=,B07, PRDE,actvstrat=,0.818305, actvprof=,1.678928, id=,B08, PRDE,actvstrat=,0.965601, actvprof=,1.984213, id=,B09, PRDE,actvstrat=,0.620960, actvprof=,3.768421, id=,B10, PRDE,actvstrat=,0.514485, actvprof=,5.248455, id=,B11, PRDE,actvstrat=,-0.420377, actvprof=,4.945114, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,9.670502, id=,S01, PRDE,actvstrat=,0.080260, actvprof=,5.969583, id=,S02, PRDE,actvstrat=,0.109359, actvprof=,4.407046, id=,S03, PRDE,actvstrat=,0.534517, actvprof=,4.417047, id=,S04, PRDE,actvstrat=,0.184814, actvprof=,1.945323, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.338110, id=,S06, PRDE,actvstrat=,-0.852928, actvprof=,0.063057, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.715017, id=,S08, PRDE,actvstrat=,0.659735, actvprof=,0.073335, id=,S09, PRDE,actvstrat=,-0.676680, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.666631, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.248455, best_B_strat=,0.514485, best_S_id=,S00, best_S_prof=,9.670502, best_S_strat=,-1.000000, 
