t=,1, id=,B00, PRDE,actvstrat=,0.311619, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155821, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.072321, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281461, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.788819, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.860369, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.996536, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.267931, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.114562, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.386287, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.335468, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.895085, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.180294, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.709387, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.102499, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.342542, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.110119, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.751024, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.668237, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.544496, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.090371, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.214024, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.012032, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.434349, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.311619, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.180294, 
t=,3600, id=,B00, PRDE,actvstrat=,0.311619, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.155821, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.072321, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281461, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.788819, actvprof=,0.005000, id=,B05, PRDE,actvstrat=,0.860369, actvprof=,0.105831, id=,B06, PRDE,actvstrat=,-0.996536, actvprof=,0.344159, id=,B07, PRDE,actvstrat=,0.267931, actvprof=,0.409713, id=,B08, PRDE,actvstrat=,0.114562, actvprof=,0.970255, id=,B09, PRDE,actvstrat=,0.386287, actvprof=,2.196338, id=,B10, PRDE,actvstrat=,-0.335468, actvprof=,2.321335, id=,B11, PRDE,actvstrat=,0.895085, actvprof=,5.066827, id=,S00, PRDE,actvstrat=,-0.180294, actvprof=,8.639522, id=,S01, PRDE,actvstrat=,-0.709387, actvprof=,5.388486, id=,S02, PRDE,actvstrat=,-0.102499, actvprof=,5.640425, id=,S03, PRDE,actvstrat=,-0.342542, actvprof=,3.271869, id=,S04, PRDE,actvstrat=,-0.110119, actvprof=,2.521053, id=,S05, PRDE,actvstrat=,-0.751024, actvprof=,1.275526, id=,S06, PRDE,actvstrat=,-0.668237, actvprof=,0.443601, id=,S07, PRDE,actvstrat=,0.544496, actvprof=,0.849425, id=,S08, PRDE,actvstrat=,-0.090371, actvprof=,0.151663, id=,S09, PRDE,actvstrat=,0.214024, actvprof=,0.045555, id=,S10, PRDE,actvstrat=,0.012032, actvprof=,0.006389, id=,S11, PRDE,actvstrat=,0.434349, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.066827, best_B_strat=,0.895085, best_S_id=,S00, best_S_prof=,8.639522, best_S_strat=,-0.180294, 
t=,7200, id=,B00, PRDE,actvstrat=,0.794711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.486423, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.447918, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.746199, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.008438, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.055183, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.800131, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.406011, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.231216, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.864543, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.026074, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.731307, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.791612, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.225210, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.482000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.992859, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.860888, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.267767, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.598216, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.187865, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.806873, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158135, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.185706, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.709430, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.794711, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.791612, 
t=,10800, id=,B00, PRDE,actvstrat=,0.794711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.486423, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.447918, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.746199, actvprof=,0.025277, id=,B04, PRDE,actvstrat=,0.008438, actvprof=,0.030555, id=,B05, PRDE,actvstrat=,0.055183, actvprof=,0.115832, id=,B06, PRDE,actvstrat=,-0.800131, actvprof=,0.328885, id=,B07, PRDE,actvstrat=,-0.406011, actvprof=,0.619160, id=,B08, PRDE,actvstrat=,-0.231216, actvprof=,1.200819, id=,B09, PRDE,actvstrat=,-0.864543, actvprof=,2.115809, id=,B10, PRDE,actvstrat=,0.026074, actvprof=,4.255506, id=,B11, PRDE,actvstrat=,0.731307, actvprof=,7.560746, id=,S00, PRDE,actvstrat=,-0.791612, actvprof=,3.746623, id=,S01, PRDE,actvstrat=,0.225210, actvprof=,5.977986, id=,S02, PRDE,actvstrat=,-0.482000, actvprof=,2.656636, id=,S03, PRDE,actvstrat=,-0.992859, actvprof=,3.869122, id=,S04, PRDE,actvstrat=,-0.860888, actvprof=,0.748880, id=,S05, PRDE,actvstrat=,-0.267767, actvprof=,0.359996, id=,S06, PRDE,actvstrat=,0.598216, actvprof=,0.645548, id=,S07, PRDE,actvstrat=,0.187865, actvprof=,0.135276, id=,S08, PRDE,actvstrat=,0.806873, actvprof=,0.213053, id=,S09, PRDE,actvstrat=,0.158135, actvprof=,0.007222, id=,S10, PRDE,actvstrat=,0.185706, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.709430, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.560746, best_B_strat=,0.731307, best_S_id=,S01, best_S_prof=,5.977986, best_S_strat=,0.225210, 
t=,14400, id=,B00, PRDE,actvstrat=,0.794711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067776, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.482279, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.589395, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.667284, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.873663, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.800131, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.136199, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.068640, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.382309, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.709558, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.185782, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.706188, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.022513, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.293411, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.992859, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.110119, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.931402, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.598216, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.544496, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.481591, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.286692, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.028896, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.080156, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.794711, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.706188, 
t=,18000, id=,B00, PRDE,actvstrat=,0.794711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067776, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.482279, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.589395, actvprof=,0.005556, id=,B04, PRDE,actvstrat=,0.667284, actvprof=,0.056944, id=,B05, PRDE,actvstrat=,0.873663, actvprof=,0.488889, id=,B06, PRDE,actvstrat=,-0.800131, actvprof=,0.308611, id=,B07, PRDE,actvstrat=,-0.136199, actvprof=,1.069444, id=,B08, PRDE,actvstrat=,0.068640, actvprof=,2.592778, id=,B09, PRDE,actvstrat=,-0.382309, actvprof=,3.360556, id=,B10, PRDE,actvstrat=,-0.709558, actvprof=,4.724167, id=,B11, PRDE,actvstrat=,-0.185782, actvprof=,6.977222, id=,S00, PRDE,actvstrat=,-0.706188, actvprof=,3.898333, id=,S01, PRDE,actvstrat=,-0.022513, actvprof=,4.410278, id=,S02, PRDE,actvstrat=,0.293411, actvprof=,3.855833, id=,S03, PRDE,actvstrat=,-0.992859, actvprof=,2.763611, id=,S04, PRDE,actvstrat=,-0.110119, actvprof=,0.558611, id=,S05, PRDE,actvstrat=,0.931402, actvprof=,1.435833, id=,S06, PRDE,actvstrat=,0.598216, actvprof=,0.238333, id=,S07, PRDE,actvstrat=,0.544496, actvprof=,0.108611, id=,S08, PRDE,actvstrat=,0.481591, actvprof=,0.021667, id=,S09, PRDE,actvstrat=,-0.286692, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.028896, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.080156, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.977222, best_B_strat=,-0.185782, best_S_id=,S01, best_S_prof=,4.410278, best_S_strat=,-0.022513, 
t=,21600, id=,B00, PRDE,actvstrat=,0.794711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.067776, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.482279, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.589395, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.667284, actvprof=,0.069445, id=,B05, PRDE,actvstrat=,0.873663, actvprof=,0.487642, id=,B06, PRDE,actvstrat=,-0.800131, actvprof=,0.334030, id=,B07, PRDE,actvstrat=,-0.136199, actvprof=,1.049451, id=,B08, PRDE,actvstrat=,0.068640, actvprof=,2.520987, id=,B09, PRDE,actvstrat=,-0.382309, actvprof=,3.255436, id=,B10, PRDE,actvstrat=,-0.709558, actvprof=,4.560165, id=,B11, PRDE,actvstrat=,-0.185782, actvprof=,7.143236, id=,S00, PRDE,actvstrat=,-0.706188, actvprof=,3.596410, id=,S01, PRDE,actvstrat=,-0.022513, actvprof=,4.381275, id=,S02, PRDE,actvstrat=,0.293411, actvprof=,3.772522, id=,S03, PRDE,actvstrat=,-0.992859, actvprof=,2.841128, id=,S04, PRDE,actvstrat=,-0.110119, actvprof=,0.574309, id=,S05, PRDE,actvstrat=,0.931402, actvprof=,1.416953, id=,S06, PRDE,actvstrat=,0.598216, actvprof=,0.282502, id=,S07, PRDE,actvstrat=,0.544496, actvprof=,0.088473, id=,S08, PRDE,actvstrat=,0.481591, actvprof=,0.015278, id=,S09, PRDE,actvstrat=,-0.286692, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.028896, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.080156, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.143236, best_B_strat=,-0.185782, best_S_id=,S01, best_S_prof=,4.381275, best_S_strat=,-0.022513, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.212446, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.737090, actvprof=,0.005000, id=,B02, PRDE,actvstrat=,-0.074382, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.538605, actvprof=,0.075834, id=,B04, PRDE,actvstrat=,-0.753325, actvprof=,0.147224, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.708897, id=,B06, PRDE,actvstrat=,0.477393, actvprof=,0.961122, id=,B07, PRDE,actvstrat=,0.499649, actvprof=,1.848633, id=,B08, PRDE,actvstrat=,-0.185466, actvprof=,2.009190, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.262538, id=,B10, PRDE,actvstrat=,0.245788, actvprof=,5.737011, id=,B11, PRDE,actvstrat=,0.901489, actvprof=,6.982303, id=,S00, PRDE,actvstrat=,0.948185, actvprof=,10.044838, id=,S01, PRDE,actvstrat=,-0.964011, actvprof=,5.537286, id=,S02, PRDE,actvstrat=,0.424087, actvprof=,5.812289, id=,S03, PRDE,actvstrat=,-0.829880, actvprof=,1.998912, id=,S04, PRDE,actvstrat=,0.167823, actvprof=,2.156969, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.512240, id=,S06, PRDE,actvstrat=,0.703737, actvprof=,1.599741, id=,S07, PRDE,actvstrat=,-0.224176, actvprof=,0.141946, id=,S08, PRDE,actvstrat=,0.292098, actvprof=,0.102779, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.094446, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,-0.449898, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.982303, best_B_strat=,0.901489, best_S_id=,S00, best_S_prof=,10.044838, best_S_strat=,0.948185, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.212446, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.737090, actvprof=,0.004583, id=,B02, PRDE,actvstrat=,-0.074382, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.538605, actvprof=,0.083473, id=,B04, PRDE,actvstrat=,-0.753325, actvprof=,0.174723, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.749865, id=,B06, PRDE,actvstrat=,0.477393, actvprof=,0.911116, id=,B07, PRDE,actvstrat=,0.499649, actvprof=,1.908622, id=,B08, PRDE,actvstrat=,-0.185466, actvprof=,2.088762, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.196963, id=,B10, PRDE,actvstrat=,0.245788, actvprof=,5.533921, id=,B11, PRDE,actvstrat=,0.901489, actvprof=,7.050180, id=,S00, PRDE,actvstrat=,0.948185, actvprof=,9.838807, id=,S01, PRDE,actvstrat=,-0.964011, actvprof=,5.897673, id=,S02, PRDE,actvstrat=,0.424087, actvprof=,5.856839, id=,S03, PRDE,actvstrat=,-0.829880, actvprof=,2.053762, id=,S04, PRDE,actvstrat=,0.167823, actvprof=,2.283485, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.521120, id=,S06, PRDE,actvstrat=,0.703737, actvprof=,1.587370, id=,S07, PRDE,actvstrat=,-0.224176, actvprof=,0.145001, id=,S08, PRDE,actvstrat=,0.292098, actvprof=,0.117778, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.091389, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.002083, id=,S11, PRDE,actvstrat=,-0.449898, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.050180, best_B_strat=,0.901489, best_S_id=,S00, best_S_prof=,9.838807, best_S_strat=,0.948185, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.013153, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.486423, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,0.447918, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,0.538605, actvprof=,0.045556, id=,B04, PRDE,actvstrat=,-0.377116, actvprof=,0.076945, id=,B05, PRDE,actvstrat=,0.055183, actvprof=,0.285003, id=,B06, PRDE,actvstrat=,0.477393, actvprof=,1.067790, id=,B07, PRDE,actvstrat=,0.750614, actvprof=,2.286138, id=,B08, PRDE,actvstrat=,-0.231216, actvprof=,2.191692, id=,B09, PRDE,actvstrat=,-0.864543, actvprof=,3.761432, id=,B10, PRDE,actvstrat=,0.879798, actvprof=,4.948113, id=,B11, PRDE,actvstrat=,0.474637, actvprof=,7.108693, id=,S00, PRDE,actvstrat=,0.557017, actvprof=,10.028449, id=,S01, PRDE,actvstrat=,0.225210, actvprof=,7.006748, id=,S02, PRDE,actvstrat=,0.424087, actvprof=,6.094793, id=,S03, PRDE,actvstrat=,-0.829880, actvprof=,2.039190, id=,S04, PRDE,actvstrat=,-0.266164, actvprof=,1.236125, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.842799, id=,S06, PRDE,actvstrat=,-0.873492, actvprof=,0.536117, id=,S07, PRDE,actvstrat=,-0.640119, actvprof=,0.139446, id=,S08, PRDE,actvstrat=,0.292098, actvprof=,0.174446, id=,S09, PRDE,actvstrat=,0.214024, actvprof=,0.028611, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,-0.449898, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.108693, best_B_strat=,0.474637, best_S_id=,S00, best_S_prof=,10.028449, best_S_strat=,0.557017, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.013153, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.486423, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,0.447918, actvprof=,0.006111, id=,B03, PRDE,actvstrat=,0.538605, actvprof=,0.042778, id=,B04, PRDE,actvstrat=,-0.377116, actvprof=,0.073195, id=,B05, PRDE,actvstrat=,0.055183, actvprof=,0.312641, id=,B06, PRDE,actvstrat=,0.477393, actvprof=,1.071395, id=,B07, PRDE,actvstrat=,0.750614, actvprof=,2.309180, id=,B08, PRDE,actvstrat=,-0.231216, actvprof=,2.140151, id=,B09, PRDE,actvstrat=,-0.864543, actvprof=,3.709744, id=,B10, PRDE,actvstrat=,0.879798, actvprof=,4.987112, id=,B11, PRDE,actvstrat=,0.474637, actvprof=,7.106708, id=,S00, PRDE,actvstrat=,0.557017, actvprof=,10.117559, id=,S01, PRDE,actvstrat=,0.225210, actvprof=,6.945735, id=,S02, PRDE,actvstrat=,0.424087, actvprof=,6.129897, id=,S03, PRDE,actvstrat=,-0.829880, actvprof=,2.078484, id=,S04, PRDE,actvstrat=,-0.266164, actvprof=,1.403897, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.849316, id=,S06, PRDE,actvstrat=,-0.873492, actvprof=,0.507364, id=,S07, PRDE,actvstrat=,-0.640119, actvprof=,0.154723, id=,S08, PRDE,actvstrat=,0.292098, actvprof=,0.158473, id=,S09, PRDE,actvstrat=,0.214024, actvprof=,0.027639, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,S11, PRDE,actvstrat=,-0.449898, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.106708, best_B_strat=,0.474637, best_S_id=,S00, best_S_prof=,10.117559, best_S_strat=,0.557017, 
