t=,3600, id=,B00, PRDE,actvstrat=,-0.926674, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.221764, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.274075, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.383501, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.613541, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.614452, actvprof=,0.206664, id=,B06, PRDE,actvstrat=,-0.808472, actvprof=,0.373329, id=,B07, PRDE,actvstrat=,0.495642, actvprof=,1.205819, id=,B08, PRDE,actvstrat=,-0.189274, actvprof=,1.305818, id=,B09, PRDE,actvstrat=,-0.102868, actvprof=,2.432472, id=,B10, PRDE,actvstrat=,-0.843707, actvprof=,3.456349, id=,B11, PRDE,actvstrat=,0.615744, actvprof=,6.644645, id=,S00, PRDE,actvstrat=,-0.306448, actvprof=,4.157452, id=,S01, PRDE,actvstrat=,-0.722626, actvprof=,2.379972, id=,S02, PRDE,actvstrat=,0.755442, actvprof=,6.358538, id=,S03, PRDE,actvstrat=,-0.835579, actvprof=,0.702770, id=,S04, PRDE,actvstrat=,0.306105, actvprof=,1.783035, id=,S05, PRDE,actvstrat=,0.666239, actvprof=,1.653314, id=,S06, PRDE,actvstrat=,-0.052572, actvprof=,0.155832, id=,S07, PRDE,actvstrat=,0.774359, actvprof=,0.571382, id=,S08, PRDE,actvstrat=,0.157817, actvprof=,0.065277, id=,S09, PRDE,actvstrat=,-0.756682, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.661166, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.341672, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.644645, best_B_strat=,0.615744, best_S_id=,S02, best_S_prof=,6.358538, best_S_strat=,0.755442, 
t=,7200, id=,B00, PRDE,actvstrat=,0.672348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.523627, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.464617, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.170799, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.903230, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.807189, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.036419, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.565307, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.649192, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.408280, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.412880, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.117801, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.790417, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.942998, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.126803, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.972064, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.612951, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.442348, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.800143, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.564231, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.494994, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.008940, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.540939, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.199596, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.672348, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.790417, 
t=,10800, id=,B00, PRDE,actvstrat=,0.672348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.523627, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.464617, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.170799, actvprof=,0.016666, id=,B04, PRDE,actvstrat=,-0.903230, actvprof=,0.194162, id=,B05, PRDE,actvstrat=,0.807189, actvprof=,0.699706, id=,B06, PRDE,actvstrat=,0.036419, actvprof=,0.569431, id=,B07, PRDE,actvstrat=,-0.565307, actvprof=,0.958033, id=,B08, PRDE,actvstrat=,0.649192, actvprof=,2.783824, id=,B09, PRDE,actvstrat=,0.408280, actvprof=,3.937964, id=,B10, PRDE,actvstrat=,0.412880, actvprof=,4.940719, id=,B11, PRDE,actvstrat=,-0.117801, actvprof=,6.078470, id=,S00, PRDE,actvstrat=,-0.790417, actvprof=,2.199116, id=,S01, PRDE,actvstrat=,0.942998, actvprof=,9.012014, id=,S02, PRDE,actvstrat=,0.126803, actvprof=,4.104072, id=,S03, PRDE,actvstrat=,0.972064, actvprof=,5.134326, id=,S04, PRDE,actvstrat=,0.612951, actvprof=,3.297146, id=,S05, PRDE,actvstrat=,-0.442348, actvprof=,0.341103, id=,S06, PRDE,actvstrat=,0.800143, actvprof=,1.646906, id=,S07, PRDE,actvstrat=,-0.564231, actvprof=,0.036666, id=,S08, PRDE,actvstrat=,0.494994, actvprof=,0.142497, id=,S09, PRDE,actvstrat=,0.008940, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,0.540939, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.199596, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.078470, best_B_strat=,-0.117801, best_S_id=,S01, best_S_prof=,9.012014, best_S_strat=,0.942998, 
t=,14400, id=,B00, PRDE,actvstrat=,0.672348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.561923, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.980674, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.649412, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.491533, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.807189, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.036419, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.099119, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.647758, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.852497, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.394389, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.249384, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.401184, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.917155, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.183563, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.596343, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.689746, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.299684, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.485984, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.237990, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.494994, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.008940, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.540939, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.756735, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.672348, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.401184, 
t=,18000, id=,B00, PRDE,actvstrat=,0.672348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.561923, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.980674, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.649412, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.491533, actvprof=,0.012778, id=,B05, PRDE,actvstrat=,0.807189, actvprof=,0.097778, id=,B06, PRDE,actvstrat=,0.036419, actvprof=,0.098611, id=,B07, PRDE,actvstrat=,-0.099119, actvprof=,0.242222, id=,B08, PRDE,actvstrat=,0.647758, actvprof=,1.262778, id=,B09, PRDE,actvstrat=,-0.852497, actvprof=,1.590556, id=,B10, PRDE,actvstrat=,0.394389, actvprof=,2.761111, id=,B11, PRDE,actvstrat=,-0.249384, actvprof=,2.676944, id=,S00, PRDE,actvstrat=,0.401184, actvprof=,9.629167, id=,S01, PRDE,actvstrat=,-0.917155, actvprof=,0.529722, id=,S02, PRDE,actvstrat=,-0.183563, actvprof=,3.033333, id=,S03, PRDE,actvstrat=,-0.596343, actvprof=,1.415833, id=,S04, PRDE,actvstrat=,-0.689746, actvprof=,0.825278, id=,S05, PRDE,actvstrat=,0.299684, actvprof=,1.477222, id=,S06, PRDE,actvstrat=,-0.485984, actvprof=,0.161111, id=,S07, PRDE,actvstrat=,0.237990, actvprof=,0.301667, id=,S08, PRDE,actvstrat=,0.494994, actvprof=,0.131944, id=,S09, PRDE,actvstrat=,0.008940, actvprof=,0.010000, id=,S10, PRDE,actvstrat=,0.540939, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,0.756735, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,2.761111, best_B_strat=,0.394389, best_S_id=,S00, best_S_prof=,9.629167, best_S_strat=,0.401184, 
t=,21600, id=,B00, PRDE,actvstrat=,0.672348, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.561923, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.980674, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.649412, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.491533, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,0.807189, actvprof=,0.095139, id=,B06, PRDE,actvstrat=,0.036419, actvprof=,0.107223, id=,B07, PRDE,actvstrat=,-0.099119, actvprof=,0.227224, id=,B08, PRDE,actvstrat=,0.647758, actvprof=,1.191396, id=,B09, PRDE,actvstrat=,-0.852497, actvprof=,1.416397, id=,B10, PRDE,actvstrat=,0.394389, actvprof=,2.724044, id=,B11, PRDE,actvstrat=,-0.249384, actvprof=,2.758210, id=,S00, PRDE,actvstrat=,0.401184, actvprof=,9.636861, id=,S01, PRDE,actvstrat=,-0.917155, actvprof=,0.603059, id=,S02, PRDE,actvstrat=,-0.183563, actvprof=,2.811961, id=,S03, PRDE,actvstrat=,-0.596343, actvprof=,1.408897, id=,S04, PRDE,actvstrat=,-0.689746, actvprof=,0.712226, id=,S05, PRDE,actvstrat=,0.299684, actvprof=,1.573065, id=,S06, PRDE,actvstrat=,-0.485984, actvprof=,0.186668, id=,S07, PRDE,actvstrat=,0.237990, actvprof=,0.294168, id=,S08, PRDE,actvstrat=,0.494994, actvprof=,0.136251, id=,S09, PRDE,actvstrat=,0.008940, actvprof=,0.012500, id=,S10, PRDE,actvstrat=,0.540939, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.756735, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.758210, best_B_strat=,-0.249384, best_S_id=,S00, best_S_prof=,9.636861, best_S_strat=,0.401184, 
t=,25200, id=,B00, PRDE,actvstrat=,0.119196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.018328, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.449941, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,0.143699, actvprof=,0.010833, id=,B06, PRDE,actvstrat=,-0.702092, actvprof=,0.018334, id=,B07, PRDE,actvstrat=,-0.125677, actvprof=,0.222780, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.215847, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.950312, id=,B10, PRDE,actvstrat=,0.603062, actvprof=,4.296716, id=,B11, PRDE,actvstrat=,0.589139, actvprof=,6.478964, id=,S00, PRDE,actvstrat=,-0.733838, actvprof=,3.671709, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,9.639834, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.925370, id=,S03, PRDE,actvstrat=,-0.885794, actvprof=,0.167224, id=,S04, PRDE,actvstrat=,0.367515, actvprof=,2.150858, id=,S05, PRDE,actvstrat=,0.046430, actvprof=,0.858343, id=,S06, PRDE,actvstrat=,-0.945218, actvprof=,0.186669, id=,S07, PRDE,actvstrat=,0.923208, actvprof=,0.891677, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.258336, id=,S09, PRDE,actvstrat=,-0.475258, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,-0.237936, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.478964, best_B_strat=,0.589139, best_S_id=,S01, best_S_prof=,9.639834, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.119196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.018328, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.449941, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,0.143699, actvprof=,0.008750, id=,B06, PRDE,actvstrat=,-0.702092, actvprof=,0.015139, id=,B07, PRDE,actvstrat=,-0.125677, actvprof=,0.227224, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.178618, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.912656, id=,B10, PRDE,actvstrat=,0.603062, actvprof=,4.333358, id=,B11, PRDE,actvstrat=,0.589139, actvprof=,6.437398, id=,S00, PRDE,actvstrat=,-0.733838, actvprof=,3.389047, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,9.329776, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.788240, id=,S03, PRDE,actvstrat=,-0.885794, actvprof=,0.169584, id=,S04, PRDE,actvstrat=,0.367515, actvprof=,2.223207, id=,S05, PRDE,actvstrat=,0.046430, actvprof=,0.950005, id=,S06, PRDE,actvstrat=,-0.945218, actvprof=,0.185279, id=,S07, PRDE,actvstrat=,0.923208, actvprof=,1.013478, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.249724, id=,S09, PRDE,actvstrat=,-0.475258, actvprof=,0.000972, id=,S10, PRDE,actvstrat=,-0.237936, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.437398, best_B_strat=,0.589139, best_S_id=,S01, best_S_prof=,9.329776, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.119196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.679965, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.480875, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.612099, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.041863, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.254302, actvprof=,0.015834, id=,B06, PRDE,actvstrat=,-0.373655, actvprof=,0.040278, id=,B07, PRDE,actvstrat=,0.653143, actvprof=,0.416394, id=,B08, PRDE,actvstrat=,-0.996523, actvprof=,0.873621, id=,B09, PRDE,actvstrat=,0.929765, actvprof=,1.998634, id=,B10, PRDE,actvstrat=,0.603062, actvprof=,3.001979, id=,B11, PRDE,actvstrat=,0.589139, actvprof=,4.586164, id=,S00, PRDE,actvstrat=,-0.898248, actvprof=,1.517795, id=,S01, PRDE,actvstrat=,-0.831383, actvprof=,1.839466, id=,S02, PRDE,actvstrat=,-0.482684, actvprof=,2.775588, id=,S03, PRDE,actvstrat=,0.212625, actvprof=,4.806445, id=,S04, PRDE,actvstrat=,0.612951, actvprof=,4.843389, id=,S05, PRDE,actvstrat=,-0.590268, actvprof=,0.691952, id=,S06, PRDE,actvstrat=,-0.945218, actvprof=,0.316670, id=,S07, PRDE,actvstrat=,0.923208, actvprof=,1.872522, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.619729, id=,S09, PRDE,actvstrat=,0.037939, actvprof=,0.020000, id=,S10, PRDE,actvstrat=,0.540939, actvprof=,0.002778, id=,S11, PRDE,actvstrat=,-0.658431, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.586164, best_B_strat=,0.589139, best_S_id=,S04, best_S_prof=,4.843389, best_S_strat=,0.612951, 
t=,36000, id=,B00, PRDE,actvstrat=,0.119196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.679965, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.480875, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.612099, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.041863, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.254302, actvprof=,0.007917, id=,B06, PRDE,actvstrat=,-0.373655, actvprof=,0.050833, id=,B07, PRDE,actvstrat=,0.653143, actvprof=,0.409306, id=,B08, PRDE,actvstrat=,-0.996523, actvprof=,0.838750, id=,B09, PRDE,actvstrat=,0.929765, actvprof=,1.877917, id=,B10, PRDE,actvstrat=,0.603062, actvprof=,3.029028, id=,B11, PRDE,actvstrat=,0.589139, actvprof=,4.643333, id=,S00, PRDE,actvstrat=,-0.898248, actvprof=,1.539722, id=,S01, PRDE,actvstrat=,-0.831383, actvprof=,2.082083, id=,S02, PRDE,actvstrat=,-0.482684, actvprof=,2.856528, id=,S03, PRDE,actvstrat=,0.212625, actvprof=,4.873611, id=,S04, PRDE,actvstrat=,0.612951, actvprof=,4.659444, id=,S05, PRDE,actvstrat=,-0.590268, actvprof=,0.648472, id=,S06, PRDE,actvstrat=,-0.945218, actvprof=,0.332361, id=,S07, PRDE,actvstrat=,0.923208, actvprof=,1.891389, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.611667, id=,S09, PRDE,actvstrat=,0.037939, actvprof=,0.015972, id=,S10, PRDE,actvstrat=,0.540939, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,-0.658431, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.643333, best_B_strat=,0.589139, best_S_id=,S03, best_S_prof=,4.873611, best_S_strat=,0.212625, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.817681, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.020834, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.064445, id=,B06, PRDE,actvstrat=,0.494190, actvprof=,0.293059, id=,B07, PRDE,actvstrat=,0.455310, actvprof=,0.707786, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.096147, id=,B09, PRDE,actvstrat=,-0.362903, actvprof=,1.600296, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.283962, id=,B11, PRDE,actvstrat=,0.589139, actvprof=,6.697578, id=,S00, PRDE,actvstrat=,0.202095, actvprof=,7.424253, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.788690, id=,S02, PRDE,actvstrat=,0.202880, actvprof=,4.323939, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.592843, id=,S04, PRDE,actvstrat=,0.171166, actvprof=,1.240292, id=,S05, PRDE,actvstrat=,0.525388, actvprof=,0.884177, id=,S06, PRDE,actvstrat=,-0.653283, actvprof=,0.030278, id=,S07, PRDE,actvstrat=,0.927121, actvprof=,0.630285, id=,S08, PRDE,actvstrat=,-0.173896, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,-0.504256, actvprof=,0.004444, id=,S10, PRDE,actvstrat=,-0.273697, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.001749, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.697578, best_B_strat=,0.589139, best_S_id=,S00, best_S_prof=,7.424253, best_S_strat=,0.202095, 
