t=,1, id=,B00, PRDE,actvstrat=,0.545470, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.928335, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.729933, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.375059, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.315690, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.502479, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.259196, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.496029, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.666772, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.572250, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.088819, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.121965, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.508322, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.511059, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.015919, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.754899, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.969947, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.667301, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.068365, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.134932, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.665119, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.325277, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.311792, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.990601, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.545470, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.508322, 
t=,3600, id=,B00, PRDE,actvstrat=,0.545470, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.928335, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.729933, actvprof=,0.005833, id=,B03, PRDE,actvstrat=,-0.375059, actvprof=,0.011944, id=,B04, PRDE,actvstrat=,-0.315690, actvprof=,0.083888, id=,B05, PRDE,actvstrat=,-0.502479, actvprof=,0.145832, id=,B06, PRDE,actvstrat=,-0.259196, actvprof=,0.630548, id=,B07, PRDE,actvstrat=,0.496029, actvprof=,2.306362, id=,B08, PRDE,actvstrat=,0.666772, actvprof=,3.456071, id=,B09, PRDE,actvstrat=,0.572250, actvprof=,4.699668, id=,B10, PRDE,actvstrat=,-0.088819, actvprof=,5.362993, id=,B11, PRDE,actvstrat=,-0.121965, actvprof=,6.858810, id=,S00, PRDE,actvstrat=,-0.508322, actvprof=,5.384104, id=,S01, PRDE,actvstrat=,0.511059, actvprof=,7.189639, id=,S02, PRDE,actvstrat=,-0.015919, actvprof=,3.823567, id=,S03, PRDE,actvstrat=,0.754899, actvprof=,4.717168, id=,S04, PRDE,actvstrat=,-0.969947, actvprof=,1.979699, id=,S05, PRDE,actvstrat=,0.667301, actvprof=,2.107753, id=,S06, PRDE,actvstrat=,0.068365, actvprof=,0.459717, id=,S07, PRDE,actvstrat=,-0.134932, actvprof=,0.044166, id=,S08, PRDE,actvstrat=,0.665119, actvprof=,0.054999, id=,S09, PRDE,actvstrat=,0.325277, actvprof=,0.003333, id=,S10, PRDE,actvstrat=,0.311792, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.990601, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.858810, best_B_strat=,-0.121965, best_S_id=,S01, best_S_prof=,7.189639, best_S_strat=,0.511059, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.651015, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.220948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.495045, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.174140, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.676360, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.013725, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.017952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.967097, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.487724, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.382578, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.618448, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.408835, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.195159, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.390587, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.611628, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.264156, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.108727, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.300618, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.984500, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.847883, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.652761, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.629150, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.617045, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.718317, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.651015, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.195159, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.651015, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.220948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.495045, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.174140, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,0.676360, actvprof=,0.126665, id=,B05, PRDE,actvstrat=,-0.013725, actvprof=,0.180276, id=,B06, PRDE,actvstrat=,-0.017952, actvprof=,0.424440, id=,B07, PRDE,actvstrat=,-0.967097, actvprof=,1.734980, id=,B08, PRDE,actvstrat=,-0.487724, actvprof=,1.502205, id=,B09, PRDE,actvstrat=,0.382578, actvprof=,3.736068, id=,B10, PRDE,actvstrat=,0.618448, actvprof=,5.458270, id=,B11, PRDE,actvstrat=,-0.408835, actvprof=,5.641601, id=,S00, PRDE,actvstrat=,0.195159, actvprof=,7.690189, id=,S01, PRDE,actvstrat=,-0.390587, actvprof=,3.751068, id=,S02, PRDE,actvstrat=,0.611628, actvprof=,5.706323, id=,S03, PRDE,actvstrat=,-0.264156, actvprof=,1.690814, id=,S04, PRDE,actvstrat=,0.108727, actvprof=,1.524705, id=,S05, PRDE,actvstrat=,-0.300618, actvprof=,0.342218, id=,S06, PRDE,actvstrat=,-0.984500, actvprof=,0.922767, id=,S07, PRDE,actvstrat=,0.847883, actvprof=,0.537216, id=,S08, PRDE,actvstrat=,0.652761, actvprof=,0.113054, id=,S09, PRDE,actvstrat=,0.629150, actvprof=,0.011389, id=,S10, PRDE,actvstrat=,0.617045, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.718317, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.641601, best_B_strat=,-0.408835, best_S_id=,S00, best_S_prof=,7.690189, best_S_strat=,0.195159, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.651015, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.729933, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.242578, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.676360, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.421175, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.017952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.975454, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.666772, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.382578, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.123594, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.344109, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.838296, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.135977, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.611628, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.273030, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.610721, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.667301, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.854119, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.939975, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.411251, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.480590, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.727609, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.045377, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.651015, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.838296, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.651015, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.729933, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.242578, actvprof=,0.018333, id=,B04, PRDE,actvstrat=,0.676360, actvprof=,0.103888, id=,B05, PRDE,actvstrat=,0.421175, actvprof=,0.210553, id=,B06, PRDE,actvstrat=,-0.017952, actvprof=,0.363329, id=,B07, PRDE,actvstrat=,0.975454, actvprof=,0.845824, id=,B08, PRDE,actvstrat=,0.666772, actvprof=,2.097753, id=,B09, PRDE,actvstrat=,0.382578, actvprof=,3.104409, id=,B10, PRDE,actvstrat=,0.123594, actvprof=,3.871066, id=,B11, PRDE,actvstrat=,-0.344109, actvprof=,5.293550, id=,S00, PRDE,actvstrat=,-0.838296, actvprof=,3.046076, id=,S01, PRDE,actvstrat=,0.135977, actvprof=,6.763811, id=,S02, PRDE,actvstrat=,0.611628, actvprof=,6.443259, id=,S03, PRDE,actvstrat=,-0.273030, actvprof=,1.923589, id=,S04, PRDE,actvstrat=,0.610721, actvprof=,3.391350, id=,S05, PRDE,actvstrat=,0.667301, actvprof=,2.351084, id=,S06, PRDE,actvstrat=,-0.854119, actvprof=,0.044444, id=,S07, PRDE,actvstrat=,0.939975, actvprof=,0.838046, id=,S08, PRDE,actvstrat=,-0.411251, actvprof=,0.010555, id=,S09, PRDE,actvstrat=,0.480590, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,-0.727609, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.045377, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.293550, best_B_strat=,-0.344109, best_S_id=,S01, best_S_prof=,6.763811, best_S_strat=,0.135977, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.651015, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.729933, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,0.242578, actvprof=,0.010695, id=,B04, PRDE,actvstrat=,0.676360, actvprof=,0.103751, id=,B05, PRDE,actvstrat=,0.421175, actvprof=,0.190557, id=,B06, PRDE,actvstrat=,-0.017952, actvprof=,0.319169, id=,B07, PRDE,actvstrat=,0.975454, actvprof=,0.856949, id=,B08, PRDE,actvstrat=,0.666772, actvprof=,2.234596, id=,B09, PRDE,actvstrat=,0.382578, actvprof=,3.172241, id=,B10, PRDE,actvstrat=,0.123594, actvprof=,3.963912, id=,B11, PRDE,actvstrat=,-0.344109, actvprof=,5.055168, id=,S00, PRDE,actvstrat=,-0.838296, actvprof=,3.143629, id=,S01, PRDE,actvstrat=,0.135977, actvprof=,6.784900, id=,S02, PRDE,actvstrat=,0.611628, actvprof=,6.790595, id=,S03, PRDE,actvstrat=,-0.273030, actvprof=,1.830011, id=,S04, PRDE,actvstrat=,0.610721, actvprof=,3.482242, id=,S05, PRDE,actvstrat=,0.667301, actvprof=,2.247652, id=,S06, PRDE,actvstrat=,-0.854119, actvprof=,0.046806, id=,S07, PRDE,actvstrat=,0.939975, actvprof=,0.857644, id=,S08, PRDE,actvstrat=,-0.411251, actvprof=,0.005278, id=,S09, PRDE,actvstrat=,0.480590, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,-0.727609, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.045377, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.055168, best_B_strat=,-0.344109, best_S_id=,S02, best_S_prof=,6.790595, best_S_strat=,0.611628, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.870645, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.144525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.724802, actvprof=,0.016945, id=,B03, PRDE,actvstrat=,-0.295128, actvprof=,0.039168, id=,B04, PRDE,actvstrat=,-0.298522, actvprof=,0.141670, id=,B05, PRDE,actvstrat=,-0.090607, actvprof=,0.519179, id=,B06, PRDE,actvstrat=,-0.849584, actvprof=,1.271141, id=,B07, PRDE,actvstrat=,-0.537529, actvprof=,2.462001, id=,B08, PRDE,actvstrat=,-0.413991, actvprof=,3.907313, id=,B09, PRDE,actvstrat=,0.360671, actvprof=,7.021551, id=,B10, PRDE,actvstrat=,0.779965, actvprof=,9.264103, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.228848, id=,S00, PRDE,actvstrat=,0.755063, actvprof=,6.987662, id=,S01, PRDE,actvstrat=,-0.371465, actvprof=,1.528646, id=,S02, PRDE,actvstrat=,0.462126, actvprof=,2.518392, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.787264, id=,S04, PRDE,actvstrat=,0.142657, actvprof=,0.430010, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.505845, id=,S06, PRDE,actvstrat=,-0.566689, actvprof=,0.022501, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.134170, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.038612, id=,S09, PRDE,actvstrat=,0.471182, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.133974, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.297710, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.228848, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.987662, best_S_strat=,0.755063, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.870645, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.144525, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.724802, actvprof=,0.025139, id=,B03, PRDE,actvstrat=,-0.295128, actvprof=,0.032223, id=,B04, PRDE,actvstrat=,-0.298522, actvprof=,0.159169, id=,B05, PRDE,actvstrat=,-0.090607, actvprof=,0.571534, id=,B06, PRDE,actvstrat=,-0.849584, actvprof=,1.353488, id=,B07, PRDE,actvstrat=,-0.537529, actvprof=,2.570030, id=,B08, PRDE,actvstrat=,-0.413991, actvprof=,3.881573, id=,B09, PRDE,actvstrat=,0.360671, actvprof=,7.143555, id=,B10, PRDE,actvstrat=,0.779965, actvprof=,9.119689, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,10.392620, id=,S00, PRDE,actvstrat=,0.755063, actvprof=,6.764106, id=,S01, PRDE,actvstrat=,-0.371465, actvprof=,1.575296, id=,S02, PRDE,actvstrat=,0.462126, actvprof=,2.597391, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.713770, id=,S04, PRDE,actvstrat=,0.142657, actvprof=,0.493617, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.546256, id=,S06, PRDE,actvstrat=,-0.566689, actvprof=,0.015695, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.146252, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.038334, id=,S09, PRDE,actvstrat=,0.471182, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.133974, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.297710, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.392620, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.764106, best_S_strat=,0.755063, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.186763, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.509689, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.724802, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.174140, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.256530, actvprof=,0.017778, id=,B05, PRDE,actvstrat=,-0.357234, actvprof=,0.147226, id=,B06, PRDE,actvstrat=,-0.437321, actvprof=,0.531401, id=,B07, PRDE,actvstrat=,-0.967097, actvprof=,1.618926, id=,B08, PRDE,actvstrat=,-0.413991, actvprof=,1.892266, id=,B09, PRDE,actvstrat=,0.623787, actvprof=,4.094817, id=,B10, PRDE,actvstrat=,0.779965, actvprof=,5.362346, id=,B11, PRDE,actvstrat=,-0.408835, actvprof=,5.728744, id=,S00, PRDE,actvstrat=,-0.827855, actvprof=,2.779787, id=,S01, PRDE,actvstrat=,-0.142162, actvprof=,4.645941, id=,S02, PRDE,actvstrat=,0.296802, actvprof=,5.197065, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.428436, id=,S04, PRDE,actvstrat=,-0.334290, actvprof=,1.002801, id=,S05, PRDE,actvstrat=,-0.664008, actvprof=,0.465566, id=,S06, PRDE,actvstrat=,-0.984500, actvprof=,0.974189, id=,S07, PRDE,actvstrat=,0.847883, actvprof=,0.893076, id=,S08, PRDE,actvstrat=,-0.154381, actvprof=,0.019445, id=,S09, PRDE,actvstrat=,-0.714030, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.133974, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.883036, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.728744, best_B_strat=,-0.408835, best_S_id=,S02, best_S_prof=,5.197065, best_S_strat=,0.296802, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.186763, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.509689, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.724802, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.174140, actvprof=,0.005139, id=,B04, PRDE,actvstrat=,-0.256530, actvprof=,0.024445, id=,B05, PRDE,actvstrat=,-0.357234, actvprof=,0.165419, id=,B06, PRDE,actvstrat=,-0.437321, actvprof=,0.540562, id=,B07, PRDE,actvstrat=,-0.967097, actvprof=,1.577796, id=,B08, PRDE,actvstrat=,-0.413991, actvprof=,1.843494, id=,B09, PRDE,actvstrat=,0.623787, actvprof=,4.202965, id=,B10, PRDE,actvstrat=,0.779965, actvprof=,5.415479, id=,B11, PRDE,actvstrat=,-0.408835, actvprof=,5.648399, id=,S00, PRDE,actvstrat=,-0.827855, actvprof=,2.843922, id=,S01, PRDE,actvstrat=,-0.142162, actvprof=,4.610192, id=,S02, PRDE,actvstrat=,0.296802, actvprof=,5.119226, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.265744, id=,S04, PRDE,actvstrat=,-0.334290, actvprof=,0.949733, id=,S05, PRDE,actvstrat=,-0.664008, actvprof=,0.427922, id=,S06, PRDE,actvstrat=,-0.984500, actvprof=,1.013762, id=,S07, PRDE,actvstrat=,0.847883, actvprof=,0.911955, id=,S08, PRDE,actvstrat=,-0.154381, actvprof=,0.019445, id=,S09, PRDE,actvstrat=,-0.714030, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.133974, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.883036, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.648399, best_B_strat=,-0.408835, best_S_id=,S02, best_S_prof=,5.119226, best_S_strat=,0.296802, 
