t=,0, id=,B00, PRDE,actvstrat=,0.635930, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.025970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.865250, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.690820, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.386822, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.065901, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.123286, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.141384, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.877005, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.173760, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.497298, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.785452, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.009994, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.889669, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.366466, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.977197, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.255237, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.325192, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.983114, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.823316, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.418862, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.788879, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.235980, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.906620, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.635930, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.009994, 
t=,3600, id=,B00, PRDE,actvstrat=,0.635930, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.025970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.865250, actvprof=,0.007778, id=,B03, PRDE,actvstrat=,0.690820, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,-0.386822, actvprof=,0.016666, id=,B05, PRDE,actvstrat=,0.065901, actvprof=,0.122499, id=,B06, PRDE,actvstrat=,0.123286, actvprof=,0.500550, id=,B07, PRDE,actvstrat=,0.141384, actvprof=,0.936934, id=,B08, PRDE,actvstrat=,0.877005, actvprof=,1.911645, id=,B09, PRDE,actvstrat=,-0.173760, actvprof=,2.144420, id=,B10, PRDE,actvstrat=,0.497298, actvprof=,3.994120, id=,B11, PRDE,actvstrat=,0.785452, actvprof=,5.759933, id=,S00, PRDE,actvstrat=,-0.009994, actvprof=,7.842131, id=,S01, PRDE,actvstrat=,-0.889669, actvprof=,1.431095, id=,S02, PRDE,actvstrat=,-0.366466, actvprof=,2.817745, id=,S03, PRDE,actvstrat=,0.977197, actvprof=,6.049374, id=,S04, PRDE,actvstrat=,0.255237, actvprof=,2.677747, id=,S05, PRDE,actvstrat=,-0.325192, actvprof=,0.559160, id=,S06, PRDE,actvstrat=,-0.983114, actvprof=,1.410817, id=,S07, PRDE,actvstrat=,0.823316, actvprof=,1.364151, id=,S08, PRDE,actvstrat=,0.418862, actvprof=,0.165554, id=,S09, PRDE,actvstrat=,-0.788879, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.235980, actvprof=,0.006111, id=,S11, PRDE,actvstrat=,-0.906620, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.759933, best_B_strat=,0.785452, best_S_id=,S00, best_S_prof=,7.842131, best_S_strat=,-0.009994, 
t=,7200, id=,B00, PRDE,actvstrat=,0.846627, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.719566, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.423017, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.784878, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.185603, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.310921, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.985821, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.044443, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.923296, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.732573, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.254723, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.416954, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.805033, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.694950, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.643207, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.981303, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.321045, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.617238, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.028907, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.956951, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.526195, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.125065, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.562585, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.149188, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.846627, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.805033, 
t=,10800, id=,B00, PRDE,actvstrat=,0.846627, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.719566, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.423017, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.784878, actvprof=,0.022500, id=,B04, PRDE,actvstrat=,0.185603, actvprof=,0.091110, id=,B05, PRDE,actvstrat=,-0.310921, actvprof=,0.099166, id=,B06, PRDE,actvstrat=,0.985821, actvprof=,0.405273, id=,B07, PRDE,actvstrat=,0.044443, actvprof=,0.755269, id=,B08, PRDE,actvstrat=,-0.923296, actvprof=,2.122753, id=,B09, PRDE,actvstrat=,-0.732573, actvprof=,2.090531, id=,B10, PRDE,actvstrat=,0.254723, actvprof=,4.729945, id=,B11, PRDE,actvstrat=,-0.416954, actvprof=,5.397438, id=,S00, PRDE,actvstrat=,0.805033, actvprof=,10.697654, id=,S01, PRDE,actvstrat=,0.694950, actvprof=,8.006852, id=,S02, PRDE,actvstrat=,-0.643207, actvprof=,1.256097, id=,S03, PRDE,actvstrat=,-0.981303, actvprof=,1.821090, id=,S04, PRDE,actvstrat=,0.321045, actvprof=,1.727758, id=,S05, PRDE,actvstrat=,-0.617238, actvprof=,0.129443, id=,S06, PRDE,actvstrat=,0.028907, actvprof=,0.190276, id=,S07, PRDE,actvstrat=,0.956951, actvprof=,0.610271, id=,S08, PRDE,actvstrat=,-0.526195, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.125065, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.562585, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.149188, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.397438, best_B_strat=,-0.416954, best_S_id=,S00, best_S_prof=,10.697654, best_S_strat=,0.805033, 
t=,14400, id=,B00, PRDE,actvstrat=,0.846627, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.443903, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.384906, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.372414, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.185603, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.343637, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.397603, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.377176, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.656785, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.732573, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.921343, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.636959, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.459391, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.694950, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.636231, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.413018, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.228888, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.119106, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.894812, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.740600, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.035297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.788879, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.316491, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.149188, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.846627, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.459391, 
t=,18000, id=,B00, PRDE,actvstrat=,0.846627, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.443903, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.384906, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.372414, actvprof=,0.023056, id=,B04, PRDE,actvstrat=,0.185603, actvprof=,0.103889, id=,B05, PRDE,actvstrat=,0.343637, actvprof=,0.515833, id=,B06, PRDE,actvstrat=,0.397603, actvprof=,1.038333, id=,B07, PRDE,actvstrat=,-0.377176, actvprof=,1.107778, id=,B08, PRDE,actvstrat=,-0.656785, actvprof=,2.044167, id=,B09, PRDE,actvstrat=,-0.732573, actvprof=,3.630833, id=,B10, PRDE,actvstrat=,0.921343, actvprof=,5.002500, id=,B11, PRDE,actvstrat=,-0.636959, actvprof=,6.845833, id=,S00, PRDE,actvstrat=,0.459391, actvprof=,7.477778, id=,S01, PRDE,actvstrat=,0.694950, actvprof=,6.513889, id=,S02, PRDE,actvstrat=,0.636231, actvprof=,4.980278, id=,S03, PRDE,actvstrat=,-0.413018, actvprof=,0.753333, id=,S04, PRDE,actvstrat=,0.228888, actvprof=,1.122778, id=,S05, PRDE,actvstrat=,0.119106, actvprof=,0.661111, id=,S06, PRDE,actvstrat=,0.894812, actvprof=,1.648333, id=,S07, PRDE,actvstrat=,-0.740600, actvprof=,0.036111, id=,S08, PRDE,actvstrat=,-0.035297, actvprof=,0.043056, id=,S09, PRDE,actvstrat=,-0.788879, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.316491, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.149188, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.845833, best_B_strat=,-0.636959, best_S_id=,S00, best_S_prof=,7.477778, best_S_strat=,0.459391, 
t=,21600, id=,B00, PRDE,actvstrat=,0.846627, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.443903, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.384906, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-0.372414, actvprof=,0.015139, id=,B04, PRDE,actvstrat=,0.185603, actvprof=,0.117084, id=,B05, PRDE,actvstrat=,0.343637, actvprof=,0.487503, id=,B06, PRDE,actvstrat=,0.397603, actvprof=,1.099034, id=,B07, PRDE,actvstrat=,-0.377176, actvprof=,1.183479, id=,B08, PRDE,actvstrat=,-0.656785, actvprof=,2.201402, id=,B09, PRDE,actvstrat=,-0.732573, actvprof=,3.515437, id=,B10, PRDE,actvstrat=,0.921343, actvprof=,5.045029, id=,B11, PRDE,actvstrat=,-0.636959, actvprof=,6.735178, id=,S00, PRDE,actvstrat=,0.459391, actvprof=,7.321015, id=,S01, PRDE,actvstrat=,0.694950, actvprof=,6.805595, id=,S02, PRDE,actvstrat=,0.636231, actvprof=,4.912667, id=,S03, PRDE,actvstrat=,-0.413018, actvprof=,0.714726, id=,S04, PRDE,actvstrat=,0.228888, actvprof=,1.199590, id=,S05, PRDE,actvstrat=,0.119106, actvprof=,0.616115, id=,S06, PRDE,actvstrat=,0.894812, actvprof=,1.702093, id=,S07, PRDE,actvstrat=,-0.740600, actvprof=,0.039306, id=,S08, PRDE,actvstrat=,-0.035297, actvprof=,0.026389, id=,S09, PRDE,actvstrat=,-0.788879, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.316491, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.149188, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.735178, best_B_strat=,-0.636959, best_S_id=,S00, best_S_prof=,7.321015, best_S_strat=,0.459391, 
t=,25200, id=,B00, PRDE,actvstrat=,0.635474, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.393849, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.297895, actvprof=,0.021389, id=,B05, PRDE,actvstrat=,0.002196, actvprof=,0.121390, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.841399, id=,B07, PRDE,actvstrat=,-0.390608, actvprof=,0.405005, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.568074, id=,B09, PRDE,actvstrat=,0.187814, actvprof=,2.638086, id=,B10, PRDE,actvstrat=,-0.660746, actvprof=,2.537807, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.026748, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.629023, id=,S01, PRDE,actvstrat=,-0.380516, actvprof=,2.460862, id=,S02, PRDE,actvstrat=,0.017415, actvprof=,3.711432, id=,S03, PRDE,actvstrat=,-0.853155, actvprof=,0.244725, id=,S04, PRDE,actvstrat=,0.202562, actvprof=,1.514184, id=,S05, PRDE,actvstrat=,-0.375783, actvprof=,0.140279, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.890844, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.630285, id=,S08, PRDE,actvstrat=,-0.114085, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.699913, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.673999, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.229061, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.026748, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.629023, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.635474, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.393849, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,0.297895, actvprof=,0.020833, id=,B05, PRDE,actvstrat=,0.002196, actvprof=,0.093334, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.833199, id=,B07, PRDE,actvstrat=,-0.390608, actvprof=,0.357363, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,1.477786, id=,B09, PRDE,actvstrat=,0.187814, actvprof=,2.605293, id=,B10, PRDE,actvstrat=,-0.660746, actvprof=,2.652932, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.051846, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.649512, id=,S01, PRDE,actvstrat=,-0.380516, actvprof=,2.497514, id=,S02, PRDE,actvstrat=,0.017415, actvprof=,3.704049, id=,S03, PRDE,actvstrat=,-0.853155, actvprof=,0.257640, id=,S04, PRDE,actvstrat=,0.202562, actvprof=,1.560842, id=,S05, PRDE,actvstrat=,-0.375783, actvprof=,0.165973, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.923061, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.674309, id=,S08, PRDE,actvstrat=,-0.114085, actvprof=,0.000972, id=,S09, PRDE,actvstrat=,-0.699913, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.673999, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.229061, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.051846, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.649512, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.472994, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.719566, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,-0.287658, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.599223, actvprof=,0.028889, id=,B04, PRDE,actvstrat=,0.185603, actvprof=,0.132779, id=,B05, PRDE,actvstrat=,-0.770865, actvprof=,0.348337, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.461684, id=,B07, PRDE,actvstrat=,-0.377176, actvprof=,1.184736, id=,B08, PRDE,actvstrat=,0.631012, actvprof=,3.188092, id=,B09, PRDE,actvstrat=,0.187814, actvprof=,4.166437, id=,B10, PRDE,actvstrat=,0.254723, actvprof=,5.483119, id=,B11, PRDE,actvstrat=,0.105986, actvprof=,6.701744, id=,S00, PRDE,actvstrat=,0.805033, actvprof=,10.394287, id=,S01, PRDE,actvstrat=,-0.170501, actvprof=,2.791143, id=,S02, PRDE,actvstrat=,0.017415, actvprof=,3.358650, id=,S03, PRDE,actvstrat=,0.977197, actvprof=,4.441718, id=,S04, PRDE,actvstrat=,-0.027802, actvprof=,1.256126, id=,S05, PRDE,actvstrat=,-0.030755, actvprof=,0.708619, id=,S06, PRDE,actvstrat=,0.994219, actvprof=,1.176403, id=,S07, PRDE,actvstrat=,0.042737, actvprof=,0.163057, id=,S08, PRDE,actvstrat=,0.783882, actvprof=,0.230280, id=,S09, PRDE,actvstrat=,-0.615440, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.090649, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,0.702005, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.701744, best_B_strat=,0.105986, best_S_id=,S00, best_S_prof=,10.394287, best_S_strat=,0.805033, 
t=,36000, id=,B00, PRDE,actvstrat=,0.047160, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.167276, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.685868, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.239772, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.297895, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.903115, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.032638, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.593438, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.479909, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.904965, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.170890, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.833342, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.703787, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.255895, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.629993, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.340269, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.632598, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.616393, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.047160, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
