t=,1, id=,B00, PRDE,actvstrat=,-0.061398, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.213502, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.492121, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.511230, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.596130, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.996167, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.850883, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.243715, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.236535, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.767344, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.898208, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.030454, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.632482, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.370686, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.943728, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.195072, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.000678, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.262367, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.388434, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.472404, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.441428, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.196333, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.411444, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.001296, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.061398, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.632482, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.061398, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.213502, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.492121, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.511230, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,0.596130, actvprof=,0.010278, id=,B05, PRDE,actvstrat=,-0.996167, actvprof=,0.147498, id=,B06, PRDE,actvstrat=,-0.850883, actvprof=,0.157776, id=,B07, PRDE,actvstrat=,-0.243715, actvprof=,0.244719, id=,B08, PRDE,actvstrat=,0.236535, actvprof=,1.190264, id=,B09, PRDE,actvstrat=,-0.767344, actvprof=,1.274430, id=,B10, PRDE,actvstrat=,0.898208, actvprof=,2.944688, id=,B11, PRDE,actvstrat=,0.030454, actvprof=,3.811345, id=,S00, PRDE,actvstrat=,0.632482, actvprof=,11.270703, id=,S01, PRDE,actvstrat=,-0.370686, actvprof=,3.770790, id=,S02, PRDE,actvstrat=,-0.943728, actvprof=,1.671092, id=,S03, PRDE,actvstrat=,-0.195072, actvprof=,1.822201, id=,S04, PRDE,actvstrat=,-0.000678, actvprof=,2.218585, id=,S05, PRDE,actvstrat=,0.262367, actvprof=,1.971644, id=,S06, PRDE,actvstrat=,0.388434, actvprof=,1.111654, id=,S07, PRDE,actvstrat=,-0.472404, actvprof=,0.136387, id=,S08, PRDE,actvstrat=,0.441428, actvprof=,0.270830, id=,S09, PRDE,actvstrat=,-0.196333, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,-0.411444, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.001296, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.811345, best_B_strat=,0.030454, best_S_id=,S00, best_S_prof=,11.270703, best_S_strat=,0.632482, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.283444, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.508191, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.410912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.327713, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.774919, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.366163, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.782932, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.712804, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.696935, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.151773, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.046764, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.041328, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.526075, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.612879, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.413696, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.170524, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.836260, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.028433, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.749148, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.567734, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.916747, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.162284, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.978132, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073656, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.283444, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.526075, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.283444, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.508191, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.410912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.327713, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.774919, actvprof=,0.035278, id=,B05, PRDE,actvstrat=,0.366163, actvprof=,0.151113, id=,B06, PRDE,actvstrat=,0.782932, actvprof=,0.876677, id=,B07, PRDE,actvstrat=,-0.712804, actvprof=,0.825287, id=,B08, PRDE,actvstrat=,-0.696935, actvprof=,1.132791, id=,B09, PRDE,actvstrat=,0.151773, actvprof=,2.364194, id=,B10, PRDE,actvstrat=,-0.046764, actvprof=,3.258649, id=,B11, PRDE,actvstrat=,0.041328, actvprof=,4.701999, id=,S00, PRDE,actvstrat=,-0.526075, actvprof=,4.271716, id=,S01, PRDE,actvstrat=,0.612879, actvprof=,7.504809, id=,S02, PRDE,actvstrat=,0.413696, actvprof=,5.007280, id=,S03, PRDE,actvstrat=,0.170524, actvprof=,2.503640, id=,S04, PRDE,actvstrat=,-0.836260, actvprof=,0.295559, id=,S05, PRDE,actvstrat=,-0.028433, actvprof=,0.644730, id=,S06, PRDE,actvstrat=,-0.749148, actvprof=,0.106946, id=,S07, PRDE,actvstrat=,-0.567734, actvprof=,0.043056, id=,S08, PRDE,actvstrat=,0.916747, actvprof=,0.529728, id=,S09, PRDE,actvstrat=,0.162284, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,-0.978132, actvprof=,0.009722, id=,S11, PRDE,actvstrat=,0.073656, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.701999, best_B_strat=,0.041328, best_S_id=,S01, best_S_prof=,7.504809, best_S_strat=,0.612879, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.283444, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.508191, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.410912, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.327713, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,-0.774919, actvprof=,0.026111, id=,B05, PRDE,actvstrat=,0.366163, actvprof=,0.165834, id=,B06, PRDE,actvstrat=,0.782932, actvprof=,0.823477, id=,B07, PRDE,actvstrat=,-0.712804, actvprof=,0.756393, id=,B08, PRDE,actvstrat=,-0.696935, actvprof=,1.164173, id=,B09, PRDE,actvstrat=,0.151773, actvprof=,2.406125, id=,B10, PRDE,actvstrat=,-0.046764, actvprof=,3.299464, id=,B11, PRDE,actvstrat=,0.041328, actvprof=,4.783917, id=,S00, PRDE,actvstrat=,-0.526075, actvprof=,3.998912, id=,S01, PRDE,actvstrat=,0.612879, actvprof=,7.699906, id=,S02, PRDE,actvstrat=,0.413696, actvprof=,4.985307, id=,S03, PRDE,actvstrat=,0.170524, actvprof=,2.634043, id=,S04, PRDE,actvstrat=,-0.836260, actvprof=,0.331946, id=,S05, PRDE,actvstrat=,-0.028433, actvprof=,0.699448, id=,S06, PRDE,actvstrat=,-0.749148, actvprof=,0.119584, id=,S07, PRDE,actvstrat=,-0.567734, actvprof=,0.035417, id=,S08, PRDE,actvstrat=,0.916747, actvprof=,0.495281, id=,S09, PRDE,actvstrat=,0.162284, actvprof=,0.010695, id=,S10, PRDE,actvstrat=,-0.978132, actvprof=,0.008194, id=,S11, PRDE,actvstrat=,0.073656, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.783917, best_B_strat=,0.041328, best_S_id=,S01, best_S_prof=,7.699906, best_S_strat=,0.612879, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.283444, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.653950, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.783902, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.915709, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,-0.779411, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,0.382438, actvprof=,0.062224, id=,B06, PRDE,actvstrat=,0.782932, actvprof=,0.612514, id=,B07, PRDE,actvstrat=,-0.712804, actvprof=,0.451677, id=,B08, PRDE,actvstrat=,-0.754341, actvprof=,1.030302, id=,B09, PRDE,actvstrat=,-0.367785, actvprof=,1.841987, id=,B10, PRDE,actvstrat=,-0.295593, actvprof=,3.207852, id=,B11, PRDE,actvstrat=,0.827913, actvprof=,6.133753, id=,S00, PRDE,actvstrat=,-0.321908, actvprof=,4.049538, id=,S01, PRDE,actvstrat=,-0.975372, actvprof=,3.236464, id=,S02, PRDE,actvstrat=,0.413696, actvprof=,4.890669, id=,S03, PRDE,actvstrat=,0.170524, actvprof=,2.813954, id=,S04, PRDE,actvstrat=,-0.286938, actvprof=,0.831686, id=,S05, PRDE,actvstrat=,0.850484, actvprof=,2.898678, id=,S06, PRDE,actvstrat=,-0.644958, actvprof=,0.132503, id=,S07, PRDE,actvstrat=,-0.040104, actvprof=,0.153059, id=,S08, PRDE,actvstrat=,-0.621011, actvprof=,0.035556, id=,S09, PRDE,actvstrat=,0.391639, actvprof=,0.033056, id=,S10, PRDE,actvstrat=,0.136470, actvprof=,0.005278, id=,S11, PRDE,actvstrat=,-0.209386, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.133753, best_B_strat=,0.827913, best_S_id=,S02, best_S_prof=,4.890669, best_S_strat=,0.413696, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.283444, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.653950, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.783902, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.915709, actvprof=,0.009445, id=,B04, PRDE,actvstrat=,-0.779411, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.382438, actvprof=,0.070835, id=,B06, PRDE,actvstrat=,0.782932, actvprof=,0.652372, id=,B07, PRDE,actvstrat=,-0.712804, actvprof=,0.462508, id=,B08, PRDE,actvstrat=,-0.754341, actvprof=,1.017518, id=,B09, PRDE,actvstrat=,-0.367785, actvprof=,1.847393, id=,B10, PRDE,actvstrat=,-0.295593, actvprof=,3.150471, id=,B11, PRDE,actvstrat=,0.827913, actvprof=,6.199969, id=,S00, PRDE,actvstrat=,-0.321908, actvprof=,3.978402, id=,S01, PRDE,actvstrat=,-0.975372, actvprof=,3.587146, id=,S02, PRDE,actvstrat=,0.413696, actvprof=,4.864390, id=,S03, PRDE,actvstrat=,0.170524, actvprof=,2.644213, id=,S04, PRDE,actvstrat=,-0.286938, actvprof=,0.794042, id=,S05, PRDE,actvstrat=,0.850484, actvprof=,2.865189, id=,S06, PRDE,actvstrat=,-0.644958, actvprof=,0.124030, id=,S07, PRDE,actvstrat=,-0.040104, actvprof=,0.174309, id=,S08, PRDE,actvstrat=,-0.621011, actvprof=,0.041806, id=,S09, PRDE,actvstrat=,0.391639, actvprof=,0.037223, id=,S10, PRDE,actvstrat=,0.136470, actvprof=,0.007639, id=,S11, PRDE,actvstrat=,-0.209386, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.199969, best_B_strat=,0.827913, best_S_id=,S02, best_S_prof=,4.864390, best_S_strat=,0.413696, 
t=,25200, id=,B00, PRDE,actvstrat=,0.566747, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500599, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.622579, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.158617, id=,B05, PRDE,actvstrat=,0.603338, actvprof=,0.504740, id=,B06, PRDE,actvstrat=,0.327824, actvprof=,1.048370, id=,B07, PRDE,actvstrat=,-0.151484, actvprof=,1.529220, id=,B08, PRDE,actvstrat=,-0.309893, actvprof=,2.496198, id=,B09, PRDE,actvstrat=,-0.675427, actvprof=,4.248481, id=,B10, PRDE,actvstrat=,-0.232899, actvprof=,5.642696, id=,B11, PRDE,actvstrat=,-0.316263, actvprof=,7.955832, id=,S00, PRDE,actvstrat=,0.439151, actvprof=,6.205771, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.008264, id=,S02, PRDE,actvstrat=,0.428243, actvprof=,2.878433, id=,S03, PRDE,actvstrat=,0.896426, actvprof=,3.256502, id=,S04, PRDE,actvstrat=,0.442499, actvprof=,0.702524, id=,S05, PRDE,actvstrat=,0.970988, actvprof=,1.100872, id=,S06, PRDE,actvstrat=,0.428478, actvprof=,0.118893, id=,S07, PRDE,actvstrat=,-0.390746, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.049734, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.245976, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,-0.077586, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.885144, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.955832, best_B_strat=,-0.316263, best_S_id=,S00, best_S_prof=,6.205771, best_S_strat=,0.439151, 
t=,28800, id=,B00, PRDE,actvstrat=,0.566747, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500599, actvprof=,0.002361, id=,B03, PRDE,actvstrat=,-0.622579, actvprof=,0.009028, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.173197, id=,B05, PRDE,actvstrat=,0.603338, actvprof=,0.480703, id=,B06, PRDE,actvstrat=,0.327824, actvprof=,1.021684, id=,B07, PRDE,actvstrat=,-0.151484, actvprof=,1.500443, id=,B08, PRDE,actvstrat=,-0.309893, actvprof=,2.530461, id=,B09, PRDE,actvstrat=,-0.675427, actvprof=,4.058543, id=,B10, PRDE,actvstrat=,-0.232899, actvprof=,5.850657, id=,B11, PRDE,actvstrat=,-0.316263, actvprof=,7.667078, id=,S00, PRDE,actvstrat=,0.439151, actvprof=,6.157607, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.979965, id=,S02, PRDE,actvstrat=,0.428243, actvprof=,2.937829, id=,S03, PRDE,actvstrat=,0.896426, actvprof=,3.301168, id=,S04, PRDE,actvstrat=,0.442499, actvprof=,0.817236, id=,S05, PRDE,actvstrat=,0.970988, actvprof=,1.173076, id=,S06, PRDE,actvstrat=,0.428478, actvprof=,0.125141, id=,S07, PRDE,actvstrat=,-0.390746, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.049734, actvprof=,0.009028, id=,S09, PRDE,actvstrat=,0.245976, actvprof=,0.000139, id=,S10, PRDE,actvstrat=,-0.077586, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.885144, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.667078, best_B_strat=,-0.316263, best_S_id=,S00, best_S_prof=,6.157607, best_S_strat=,0.439151, 
t=,32400, id=,B00, PRDE,actvstrat=,0.359973, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500599, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.592377, actvprof=,0.009445, id=,B04, PRDE,actvstrat=,-0.774919, actvprof=,0.063058, id=,B05, PRDE,actvstrat=,0.000692, actvprof=,0.220285, id=,B06, PRDE,actvstrat=,0.036250, actvprof=,0.539463, id=,B07, PRDE,actvstrat=,0.032126, actvprof=,1.161151, id=,B08, PRDE,actvstrat=,-0.309893, actvprof=,1.591444, id=,B09, PRDE,actvstrat=,-0.675427, actvprof=,2.624536, id=,B10, PRDE,actvstrat=,0.467705, actvprof=,4.705719, id=,B11, PRDE,actvstrat=,-0.316263, actvprof=,5.317129, id=,S00, PRDE,actvstrat=,-0.369839, actvprof=,3.144831, id=,S01, PRDE,actvstrat=,0.612879, actvprof=,6.904129, id=,S02, PRDE,actvstrat=,-0.157173, actvprof=,2.145074, id=,S03, PRDE,actvstrat=,0.896426, actvprof=,5.309073, id=,S04, PRDE,actvstrat=,-0.331388, actvprof=,0.515851, id=,S05, PRDE,actvstrat=,0.262367, actvprof=,0.898642, id=,S06, PRDE,actvstrat=,0.388434, actvprof=,0.596410, id=,S07, PRDE,actvstrat=,-0.472404, actvprof=,0.029168, id=,S08, PRDE,actvstrat=,-0.621011, actvprof=,0.009445, id=,S09, PRDE,actvstrat=,-0.131025, actvprof=,0.004445, id=,S10, PRDE,actvstrat=,-0.046396, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073656, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.317129, best_B_strat=,-0.316263, best_S_id=,S01, best_S_prof=,6.904129, best_S_strat=,0.612879, 
t=,36000, id=,B00, PRDE,actvstrat=,0.359973, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.500599, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.592377, actvprof=,0.009167, id=,B04, PRDE,actvstrat=,-0.774919, actvprof=,0.079585, id=,B05, PRDE,actvstrat=,0.000692, actvprof=,0.191948, id=,B06, PRDE,actvstrat=,0.036250, actvprof=,0.569593, id=,B07, PRDE,actvstrat=,0.032126, actvprof=,1.202660, id=,B08, PRDE,actvstrat=,-0.309893, actvprof=,1.698641, id=,B09, PRDE,actvstrat=,-0.675427, actvprof=,2.761298, id=,B10, PRDE,actvstrat=,0.467705, actvprof=,4.914946, id=,B11, PRDE,actvstrat=,-0.316263, actvprof=,5.318842, id=,S00, PRDE,actvstrat=,-0.369839, actvprof=,3.327836, id=,S01, PRDE,actvstrat=,0.612879, actvprof=,6.916787, id=,S02, PRDE,actvstrat=,-0.157173, actvprof=,1.962673, id=,S03, PRDE,actvstrat=,0.896426, actvprof=,5.228702, id=,S04, PRDE,actvstrat=,-0.331388, actvprof=,0.492786, id=,S05, PRDE,actvstrat=,0.262367, actvprof=,0.966128, id=,S06, PRDE,actvstrat=,0.388434, actvprof=,0.573482, id=,S07, PRDE,actvstrat=,-0.472404, actvprof=,0.052084, id=,S08, PRDE,actvstrat=,-0.621011, actvprof=,0.006945, id=,S09, PRDE,actvstrat=,-0.131025, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,-0.046396, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073656, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.318842, best_B_strat=,-0.316263, best_S_id=,S01, best_S_prof=,6.916787, best_S_strat=,0.612879, 
