t=,0, id=,B00, PRDE,actvstrat=,-0.810396, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.396769, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.419067, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.887842, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.507903, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.700411, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.491692, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.649184, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.585243, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.691012, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.440565, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.437480, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.564129, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.081196, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.361862, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.975038, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.324155, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.235105, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.455327, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.666713, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.232685, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.735357, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.614191, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.027641, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.810396, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.564129, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.810396, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.396769, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.419067, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.887842, actvprof=,0.134998, id=,B04, PRDE,actvstrat=,-0.507903, actvprof=,0.097221, id=,B05, PRDE,actvstrat=,0.700411, actvprof=,1.031933, id=,B06, PRDE,actvstrat=,-0.491692, actvprof=,0.953600, id=,B07, PRDE,actvstrat=,-0.649184, actvprof=,1.801368, id=,B08, PRDE,actvstrat=,0.585243, actvprof=,3.712735, id=,B09, PRDE,actvstrat=,0.691012, actvprof=,5.344938, id=,B10, PRDE,actvstrat=,0.440565, actvprof=,6.347982, id=,B11, PRDE,actvstrat=,-0.437480, actvprof=,7.263805, id=,S00, PRDE,actvstrat=,0.564129, actvprof=,8.943508, id=,S01, PRDE,actvstrat=,0.081196, actvprof=,6.046041, id=,S02, PRDE,actvstrat=,0.361862, actvprof=,4.911332, id=,S03, PRDE,actvstrat=,0.975038, actvprof=,3.496348, id=,S04, PRDE,actvstrat=,0.324155, actvprof=,2.429416, id=,S05, PRDE,actvstrat=,0.235105, actvprof=,1.502760, id=,S06, PRDE,actvstrat=,0.455327, actvprof=,0.799713, id=,S07, PRDE,actvstrat=,-0.666713, actvprof=,0.023333, id=,S08, PRDE,actvstrat=,-0.232685, actvprof=,0.010833, id=,S09, PRDE,actvstrat=,0.735357, actvprof=,0.028889, id=,S10, PRDE,actvstrat=,-0.614191, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.027641, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.263805, best_B_strat=,-0.437480, best_S_id=,S00, best_S_prof=,8.943508, best_S_strat=,0.564129, 
t=,7200, id=,B00, PRDE,actvstrat=,0.764201, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.264667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876987, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.754379, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.756988, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.876191, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.418022, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.820350, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.540200, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.222170, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.585680, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.576735, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.986136, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.147103, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.015189, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.114663, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.500207, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.411036, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.274897, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.272851, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.467704, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.229563, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.532385, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.270058, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.764201, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.986136, 
t=,10800, id=,B00, PRDE,actvstrat=,0.764201, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.264667, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876987, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,0.754379, actvprof=,0.041111, id=,B04, PRDE,actvstrat=,0.756988, actvprof=,0.152220, id=,B05, PRDE,actvstrat=,-0.876191, actvprof=,0.431939, id=,B06, PRDE,actvstrat=,-0.418022, actvprof=,0.435273, id=,B07, PRDE,actvstrat=,0.820350, actvprof=,1.844701, id=,B08, PRDE,actvstrat=,-0.540200, actvprof=,1.490538, id=,B09, PRDE,actvstrat=,0.222170, actvprof=,3.216074, id=,B10, PRDE,actvstrat=,-0.585680, actvprof=,3.731346, id=,B11, PRDE,actvstrat=,0.576735, actvprof=,6.171317, id=,S00, PRDE,actvstrat=,0.986136, actvprof=,10.687099, id=,S01, PRDE,actvstrat=,-0.147103, actvprof=,5.143274, id=,S02, PRDE,actvstrat=,-0.015189, actvprof=,4.867999, id=,S03, PRDE,actvstrat=,-0.114663, actvprof=,3.024409, id=,S04, PRDE,actvstrat=,0.500207, actvprof=,3.442460, id=,S05, PRDE,actvstrat=,-0.411036, actvprof=,0.639437, id=,S06, PRDE,actvstrat=,-0.274897, actvprof=,0.361107, id=,S07, PRDE,actvstrat=,-0.272851, actvprof=,0.096666, id=,S08, PRDE,actvstrat=,0.467704, actvprof=,0.227775, id=,S09, PRDE,actvstrat=,0.229563, actvprof=,0.020278, id=,S10, PRDE,actvstrat=,-0.532385, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.270058, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.171317, best_B_strat=,0.576735, best_S_id=,S00, best_S_prof=,10.687099, best_S_strat=,0.986136, 
t=,14400, id=,B00, PRDE,actvstrat=,0.726501, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.181247, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.533383, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.260602, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.704465, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.155060, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.491692, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.490613, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.585243, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.044516, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.585680, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.552314, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.924348, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.938999, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.970303, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.114663, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.612096, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.235105, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.891088, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.272851, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.108347, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691798, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.922535, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.950768, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.726501, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.924348, 
t=,18000, id=,B00, PRDE,actvstrat=,0.726501, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.181247, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.533383, actvprof=,0.031111, id=,B03, PRDE,actvstrat=,0.260602, actvprof=,0.206111, id=,B04, PRDE,actvstrat=,-0.704465, actvprof=,0.551111, id=,B05, PRDE,actvstrat=,0.155060, actvprof=,1.211111, id=,B06, PRDE,actvstrat=,-0.491692, actvprof=,1.622778, id=,B07, PRDE,actvstrat=,-0.490613, actvprof=,2.666111, id=,B08, PRDE,actvstrat=,0.585243, actvprof=,3.806111, id=,B09, PRDE,actvstrat=,0.044516, actvprof=,4.940833, id=,B10, PRDE,actvstrat=,-0.585680, actvprof=,6.902222, id=,B11, PRDE,actvstrat=,0.552314, actvprof=,7.585278, id=,S00, PRDE,actvstrat=,0.924348, actvprof=,8.748333, id=,S01, PRDE,actvstrat=,0.938999, actvprof=,7.445556, id=,S02, PRDE,actvstrat=,0.970303, actvprof=,5.120833, id=,S03, PRDE,actvstrat=,-0.114663, actvprof=,2.355278, id=,S04, PRDE,actvstrat=,0.612096, actvprof=,3.176667, id=,S05, PRDE,actvstrat=,0.235105, actvprof=,1.359722, id=,S06, PRDE,actvstrat=,-0.891088, actvprof=,0.558333, id=,S07, PRDE,actvstrat=,-0.272851, actvprof=,0.120000, id=,S08, PRDE,actvstrat=,-0.108347, actvprof=,0.063611, id=,S09, PRDE,actvstrat=,-0.691798, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.922535, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.950768, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.585278, best_B_strat=,0.552314, best_S_id=,S00, best_S_prof=,8.748333, best_S_strat=,0.924348, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.372213, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.250108, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.752073, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.166650, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.483202, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.424572, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.895130, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.939600, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.807270, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.174642, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.790324, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.812404, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.836517, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.541329, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.703224, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.372213, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.895130, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.372213, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.031945, id=,B04, PRDE,actvstrat=,0.250108, actvprof=,0.032223, id=,B05, PRDE,actvstrat=,0.752073, actvprof=,0.375009, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.014190, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.411954, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.799185, id=,B09, PRDE,actvstrat=,-0.166650, actvprof=,2.002546, id=,B10, PRDE,actvstrat=,0.483202, actvprof=,4.367879, id=,B11, PRDE,actvstrat=,0.424572, actvprof=,6.046251, id=,S00, PRDE,actvstrat=,0.895130, actvprof=,12.362508, id=,S01, PRDE,actvstrat=,0.939600, actvprof=,10.565800, id=,S02, PRDE,actvstrat=,-0.807270, actvprof=,2.441168, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.622653, id=,S04, PRDE,actvstrat=,0.174642, actvprof=,2.856733, id=,S05, PRDE,actvstrat=,-0.790324, actvprof=,0.605292, id=,S06, PRDE,actvstrat=,0.812404, actvprof=,1.802820, id=,S07, PRDE,actvstrat=,-0.836517, actvprof=,0.028334, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.206394, id=,S09, PRDE,actvstrat=,0.541329, actvprof=,0.010000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,-0.703224, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.046251, best_B_strat=,0.424572, best_S_id=,S00, best_S_prof=,12.362508, best_S_strat=,0.895130, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.372213, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.020139, id=,B04, PRDE,actvstrat=,0.250108, actvprof=,0.036806, id=,B05, PRDE,actvstrat=,0.752073, actvprof=,0.359032, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.964733, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.400699, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.805843, id=,B09, PRDE,actvstrat=,-0.166650, actvprof=,2.043635, id=,B10, PRDE,actvstrat=,0.483202, actvprof=,4.377828, id=,B11, PRDE,actvstrat=,0.424572, actvprof=,6.039514, id=,S00, PRDE,actvstrat=,0.895130, actvprof=,12.537784, id=,S01, PRDE,actvstrat=,0.939600, actvprof=,10.434010, id=,S02, PRDE,actvstrat=,-0.807270, actvprof=,2.339472, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,6.752578, id=,S04, PRDE,actvstrat=,0.174642, actvprof=,2.794616, id=,S05, PRDE,actvstrat=,-0.790324, actvprof=,0.584868, id=,S06, PRDE,actvstrat=,0.812404, actvprof=,1.803771, id=,S07, PRDE,actvstrat=,-0.836517, actvprof=,0.028334, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.199169, id=,S09, PRDE,actvstrat=,0.541329, actvprof=,0.009583, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,-0.703224, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.039514, best_B_strat=,0.424572, best_S_id=,S00, best_S_prof=,12.537784, best_S_strat=,0.895130, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.542133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.228208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876987, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.075143, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,0.641588, actvprof=,0.077502, id=,B05, PRDE,actvstrat=,-0.583832, actvprof=,0.068057, id=,B06, PRDE,actvstrat=,-0.794308, actvprof=,0.400565, id=,B07, PRDE,actvstrat=,0.187282, actvprof=,0.675016, id=,B08, PRDE,actvstrat=,0.654796, actvprof=,1.755874, id=,B09, PRDE,actvstrat=,0.222170, actvprof=,2.263386, id=,B10, PRDE,actvstrat=,0.744607, actvprof=,4.010926, id=,B11, PRDE,actvstrat=,0.424572, actvprof=,5.124285, id=,S00, PRDE,actvstrat=,0.022345, actvprof=,9.111044, id=,S01, PRDE,actvstrat=,-0.147103, actvprof=,6.527373, id=,S02, PRDE,actvstrat=,-0.747328, actvprof=,3.720364, id=,S03, PRDE,actvstrat=,-0.807388, actvprof=,1.956156, id=,S04, PRDE,actvstrat=,0.174642, actvprof=,3.661474, id=,S05, PRDE,actvstrat=,0.154927, actvprof=,2.298942, id=,S06, PRDE,actvstrat=,-0.590460, actvprof=,0.525846, id=,S07, PRDE,actvstrat=,-0.614013, actvprof=,0.124170, id=,S08, PRDE,actvstrat=,0.255197, actvprof=,0.202227, id=,S09, PRDE,actvstrat=,0.229563, actvprof=,0.043334, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.023056, id=,S11, PRDE,actvstrat=,0.270058, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.124285, best_B_strat=,0.424572, best_S_id=,S00, best_S_prof=,9.111044, best_S_strat=,0.022345, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.542133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.228208, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.876987, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-0.075143, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.641588, actvprof=,0.073612, id=,B05, PRDE,actvstrat=,-0.583832, actvprof=,0.070001, id=,B06, PRDE,actvstrat=,-0.794308, actvprof=,0.388338, id=,B07, PRDE,actvstrat=,0.187282, actvprof=,0.681675, id=,B08, PRDE,actvstrat=,0.654796, actvprof=,1.783354, id=,B09, PRDE,actvstrat=,0.222170, actvprof=,2.264193, id=,B10, PRDE,actvstrat=,0.744607, actvprof=,3.897684, id=,B11, PRDE,actvstrat=,0.424572, actvprof=,5.096865, id=,S00, PRDE,actvstrat=,0.022345, actvprof=,9.171356, id=,S01, PRDE,actvstrat=,-0.147103, actvprof=,6.619938, id=,S02, PRDE,actvstrat=,-0.747328, actvprof=,3.710460, id=,S03, PRDE,actvstrat=,-0.807388, actvprof=,2.064885, id=,S04, PRDE,actvstrat=,0.174642, actvprof=,3.543374, id=,S05, PRDE,actvstrat=,0.154927, actvprof=,2.228498, id=,S06, PRDE,actvstrat=,-0.590460, actvprof=,0.530006, id=,S07, PRDE,actvstrat=,-0.614013, actvprof=,0.123335, id=,S08, PRDE,actvstrat=,0.255197, actvprof=,0.204863, id=,S09, PRDE,actvstrat=,0.229563, actvprof=,0.042639, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.021667, id=,S11, PRDE,actvstrat=,0.270058, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.096865, best_B_strat=,0.424572, best_S_id=,S00, best_S_prof=,9.171356, best_S_strat=,0.022345, 
