t=,1, id=,B00, PRDE,actvstrat=,-0.033578, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.626134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.941676, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.943438, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.897042, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.689255, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.532332, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.265987, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.854394, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.324681, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.022790, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.602596, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.411574, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.295760, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.031619, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.729342, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.665789, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.280450, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.144884, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.104221, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.436918, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.852516, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.302639, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.177541, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.033578, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.411574, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.033578, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.626134, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.941676, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.943438, actvprof=,0.028611, id=,B04, PRDE,actvstrat=,-0.897042, actvprof=,0.090555, id=,B05, PRDE,actvstrat=,-0.689255, actvprof=,0.087499, id=,B06, PRDE,actvstrat=,0.532332, actvprof=,0.774158, id=,B07, PRDE,actvstrat=,-0.265987, actvprof=,0.904712, id=,B08, PRDE,actvstrat=,-0.854394, actvprof=,2.228863, id=,B09, PRDE,actvstrat=,-0.324681, actvprof=,2.733302, id=,B10, PRDE,actvstrat=,-0.022790, actvprof=,4.176063, id=,B11, PRDE,actvstrat=,-0.602596, actvprof=,5.819655, id=,S00, PRDE,actvstrat=,0.411574, actvprof=,7.633245, id=,S01, PRDE,actvstrat=,-0.295760, actvprof=,2.548026, id=,S02, PRDE,actvstrat=,0.031619, actvprof=,2.877467, id=,S03, PRDE,actvstrat=,0.729342, actvprof=,4.095786, id=,S04, PRDE,actvstrat=,-0.665789, actvprof=,0.452773, id=,S05, PRDE,actvstrat=,0.280450, actvprof=,0.805546, id=,S06, PRDE,actvstrat=,0.144884, actvprof=,0.267497, id=,S07, PRDE,actvstrat=,-0.104221, actvprof=,0.023611, id=,S08, PRDE,actvstrat=,-0.436918, actvprof=,0.006111, id=,S09, PRDE,actvstrat=,0.852516, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,-0.302639, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.177541, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.819655, best_B_strat=,-0.602596, best_S_id=,S00, best_S_prof=,7.633245, best_S_strat=,0.411574, 
t=,7200, id=,B00, PRDE,actvstrat=,0.404805, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.691031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300224, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.370867, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.815953, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.506072, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.797669, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.119995, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.679115, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.985954, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.521330, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.197916, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.603796, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.081163, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.304606, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.095975, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.748939, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.865920, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.832603, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.287282, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.513283, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.267822, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.463755, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.671848, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.404805, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.603796, 
t=,10800, id=,B00, PRDE,actvstrat=,0.404805, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.691031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300224, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.370867, actvprof=,0.012222, id=,B04, PRDE,actvstrat=,-0.815953, actvprof=,0.051666, id=,B05, PRDE,actvstrat=,0.506072, actvprof=,0.276386, id=,B06, PRDE,actvstrat=,0.797669, actvprof=,0.897212, id=,B07, PRDE,actvstrat=,-0.119995, actvprof=,0.575827, id=,B08, PRDE,actvstrat=,-0.679115, actvprof=,1.489983, id=,B09, PRDE,actvstrat=,0.985954, actvprof=,2.096365, id=,B10, PRDE,actvstrat=,0.521330, actvprof=,4.911332, id=,B11, PRDE,actvstrat=,0.197916, actvprof=,5.716878, id=,S00, PRDE,actvstrat=,0.603796, actvprof=,10.367658, id=,S01, PRDE,actvstrat=,-0.081163, actvprof=,4.779111, id=,S02, PRDE,actvstrat=,0.304606, actvprof=,5.477437, id=,S03, PRDE,actvstrat=,-0.095975, actvprof=,2.210252, id=,S04, PRDE,actvstrat=,-0.748939, actvprof=,0.564438, id=,S05, PRDE,actvstrat=,0.865920, actvprof=,3.524681, id=,S06, PRDE,actvstrat=,0.832603, actvprof=,2.378861, id=,S07, PRDE,actvstrat=,-0.287282, actvprof=,0.050833, id=,S08, PRDE,actvstrat=,-0.513283, actvprof=,0.024166, id=,S09, PRDE,actvstrat=,0.267822, actvprof=,0.022778, id=,S10, PRDE,actvstrat=,0.463755, actvprof=,0.003889, id=,S11, PRDE,actvstrat=,0.671848, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.716878, best_B_strat=,0.197916, best_S_id=,S00, best_S_prof=,10.367658, best_S_strat=,0.603796, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.710533, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.543364, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.243419, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.284731, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.408034, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.120346, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.369752, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.545227, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.102059, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.982093, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.521330, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.500068, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.252202, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.081163, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.198548, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.277176, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.345695, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.865920, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.142984, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.371880, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.973607, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.267822, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.463755, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.634568, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.710533, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.252202, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.710533, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.543364, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.243419, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.284731, actvprof=,0.014444, id=,B04, PRDE,actvstrat=,0.408034, actvprof=,0.054167, id=,B05, PRDE,actvstrat=,-0.120346, actvprof=,0.071111, id=,B06, PRDE,actvstrat=,0.369752, actvprof=,0.538056, id=,B07, PRDE,actvstrat=,-0.545227, actvprof=,0.594722, id=,B08, PRDE,actvstrat=,0.102059, actvprof=,1.469167, id=,B09, PRDE,actvstrat=,0.982093, actvprof=,2.101389, id=,B10, PRDE,actvstrat=,0.521330, actvprof=,4.365556, id=,B11, PRDE,actvstrat=,-0.500068, actvprof=,4.384722, id=,S00, PRDE,actvstrat=,0.252202, actvprof=,7.853611, id=,S01, PRDE,actvstrat=,-0.081163, actvprof=,4.705000, id=,S02, PRDE,actvstrat=,-0.198548, actvprof=,2.559722, id=,S03, PRDE,actvstrat=,-0.277176, actvprof=,1.560833, id=,S04, PRDE,actvstrat=,0.345695, actvprof=,2.497500, id=,S05, PRDE,actvstrat=,0.865920, actvprof=,3.615833, id=,S06, PRDE,actvstrat=,-0.142984, actvprof=,0.358889, id=,S07, PRDE,actvstrat=,0.371880, actvprof=,0.491944, id=,S08, PRDE,actvstrat=,-0.973607, actvprof=,0.252500, id=,S09, PRDE,actvstrat=,0.267822, actvprof=,0.008611, id=,S10, PRDE,actvstrat=,0.463755, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.634568, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.384722, best_B_strat=,-0.500068, best_S_id=,S00, best_S_prof=,7.853611, best_S_strat=,0.252202, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.710533, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.543364, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.243419, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.284731, actvprof=,0.012083, id=,B04, PRDE,actvstrat=,0.408034, actvprof=,0.056389, id=,B05, PRDE,actvstrat=,-0.120346, actvprof=,0.088612, id=,B06, PRDE,actvstrat=,0.369752, actvprof=,0.559448, id=,B07, PRDE,actvstrat=,-0.545227, actvprof=,0.570698, id=,B08, PRDE,actvstrat=,0.102059, actvprof=,1.509453, id=,B09, PRDE,actvstrat=,0.982093, actvprof=,2.043901, id=,B10, PRDE,actvstrat=,0.521330, actvprof=,4.345025, id=,B11, PRDE,actvstrat=,-0.500068, actvprof=,4.490998, id=,S00, PRDE,actvstrat=,0.252202, actvprof=,7.848379, id=,S01, PRDE,actvstrat=,-0.081163, actvprof=,4.594888, id=,S02, PRDE,actvstrat=,-0.198548, actvprof=,2.641960, id=,S03, PRDE,actvstrat=,-0.277176, actvprof=,1.623759, id=,S04, PRDE,actvstrat=,0.345695, actvprof=,2.581543, id=,S05, PRDE,actvstrat=,0.865920, actvprof=,3.609743, id=,S06, PRDE,actvstrat=,-0.142984, actvprof=,0.347641, id=,S07, PRDE,actvstrat=,0.371880, actvprof=,0.453197, id=,S08, PRDE,actvstrat=,-0.973607, actvprof=,0.234862, id=,S09, PRDE,actvstrat=,0.267822, actvprof=,0.008056, id=,S10, PRDE,actvstrat=,0.463755, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.634568, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.490998, best_B_strat=,-0.500068, best_S_id=,S00, best_S_prof=,7.848379, best_S_strat=,0.252202, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.983880, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.757802, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.135943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.391878, actvprof=,0.005555, id=,B05, PRDE,actvstrat=,0.875735, actvprof=,0.532216, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.978600, id=,B07, PRDE,actvstrat=,-0.695833, actvprof=,0.921934, id=,B08, PRDE,actvstrat=,-0.807161, actvprof=,1.541649, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.852432, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,7.567690, id=,B11, PRDE,actvstrat=,-0.501650, actvprof=,7.195750, id=,S00, PRDE,actvstrat=,-0.176984, actvprof=,3.124131, id=,S01, PRDE,actvstrat=,0.584879, actvprof=,5.717989, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.218539, id=,S03, PRDE,actvstrat=,-0.332846, actvprof=,0.347496, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.894423, id=,S05, PRDE,actvstrat=,0.978245, actvprof=,1.240819, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.364440, id=,S07, PRDE,actvstrat=,-0.485625, actvprof=,0.006944, id=,S08, PRDE,actvstrat=,0.544603, actvprof=,0.018055, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.076944, id=,S10, PRDE,actvstrat=,0.490490, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,7.567690, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,6.218539, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.983880, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.757802, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.135943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,0.391878, actvprof=,0.015000, id=,B05, PRDE,actvstrat=,0.875735, actvprof=,0.534031, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.939728, id=,B07, PRDE,actvstrat=,-0.695833, actvprof=,0.917644, id=,B08, PRDE,actvstrat=,-0.807161, actvprof=,1.599037, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.833923, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,7.481988, id=,B11, PRDE,actvstrat=,-0.501650, actvprof=,7.087958, id=,S00, PRDE,actvstrat=,-0.176984, actvprof=,2.960434, id=,S01, PRDE,actvstrat=,0.584879, actvprof=,5.721144, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.120035, id=,S03, PRDE,actvstrat=,-0.332846, actvprof=,0.386947, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.915428, id=,S05, PRDE,actvstrat=,0.978245, actvprof=,1.188201, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.375558, id=,S07, PRDE,actvstrat=,-0.485625, actvprof=,0.014583, id=,S08, PRDE,actvstrat=,0.544603, actvprof=,0.029306, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.073889, id=,S10, PRDE,actvstrat=,0.490490, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,7.481988, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,6.120035, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.785405, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.691031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300224, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.472560, actvprof=,0.020000, id=,B04, PRDE,actvstrat=,0.408034, actvprof=,0.111946, id=,B05, PRDE,actvstrat=,0.465068, actvprof=,0.336393, id=,B06, PRDE,actvstrat=,-0.652946, actvprof=,0.529173, id=,B07, PRDE,actvstrat=,0.188322, actvprof=,1.112791, id=,B08, PRDE,actvstrat=,-0.478843, actvprof=,1.528629, id=,B09, PRDE,actvstrat=,0.144665, actvprof=,3.271427, id=,B10, PRDE,actvstrat=,0.676952, actvprof=,5.125893, id=,B11, PRDE,actvstrat=,-0.501650, actvprof=,5.497841, id=,S00, PRDE,actvstrat=,0.603796, actvprof=,8.958993, id=,S01, PRDE,actvstrat=,0.072489, actvprof=,4.677554, id=,S02, PRDE,actvstrat=,-0.752303, actvprof=,1.031123, id=,S03, PRDE,actvstrat=,-0.277176, actvprof=,0.819454, id=,S04, PRDE,actvstrat=,0.768918, actvprof=,3.123647, id=,S05, PRDE,actvstrat=,0.049965, actvprof=,0.572229, id=,S06, PRDE,actvstrat=,0.832603, actvprof=,1.103068, id=,S07, PRDE,actvstrat=,-0.509030, actvprof=,0.024167, id=,S08, PRDE,actvstrat=,-0.973607, actvprof=,0.146946, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.054167, id=,S10, PRDE,actvstrat=,0.868998, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.497841, best_B_strat=,-0.501650, best_S_id=,S00, best_S_prof=,8.958993, best_S_strat=,0.603796, 
t=,36000, id=,B00, PRDE,actvstrat=,0.785405, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.691031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300224, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-0.472560, actvprof=,0.016667, id=,B04, PRDE,actvstrat=,0.408034, actvprof=,0.124028, id=,B05, PRDE,actvstrat=,0.465068, actvprof=,0.326113, id=,B06, PRDE,actvstrat=,-0.652946, actvprof=,0.482781, id=,B07, PRDE,actvstrat=,0.188322, actvprof=,1.133201, id=,B08, PRDE,actvstrat=,-0.478843, actvprof=,1.626815, id=,B09, PRDE,actvstrat=,0.144665, actvprof=,3.271269, id=,B10, PRDE,actvstrat=,0.676952, actvprof=,5.147391, id=,B11, PRDE,actvstrat=,-0.501650, actvprof=,5.312531, id=,S00, PRDE,actvstrat=,0.603796, actvprof=,8.900329, id=,S01, PRDE,actvstrat=,0.072489, actvprof=,4.550860, id=,S02, PRDE,actvstrat=,-0.752303, actvprof=,1.119312, id=,S03, PRDE,actvstrat=,-0.277176, actvprof=,0.824033, id=,S04, PRDE,actvstrat=,0.768918, actvprof=,3.097796, id=,S05, PRDE,actvstrat=,0.049965, actvprof=,0.602920, id=,S06, PRDE,actvstrat=,0.832603, actvprof=,1.158757, id=,S07, PRDE,actvstrat=,-0.509030, actvprof=,0.016945, id=,S08, PRDE,actvstrat=,-0.973607, actvprof=,0.141667, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.063473, id=,S10, PRDE,actvstrat=,0.868998, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.312531, best_B_strat=,-0.501650, best_S_id=,S00, best_S_prof=,8.900329, best_S_strat=,0.603796, 
