t=,0, id=,B00, PRDE,actvstrat=,-0.609904, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.179042, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.902917, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.427832, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.900160, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.299751, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.610598, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.218350, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.592835, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.487533, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.142443, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.018776, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.696099, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.449104, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.754940, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.676172, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.029088, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.617374, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.129042, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.029138, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.339206, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.352004, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.028112, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.821824, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.609904, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.696099, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.609904, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.179042, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.902917, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.427832, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.900160, actvprof=,0.098888, id=,B05, PRDE,actvstrat=,0.299751, actvprof=,0.123054, id=,B06, PRDE,actvstrat=,0.610598, actvprof=,0.647770, id=,B07, PRDE,actvstrat=,0.218350, actvprof=,0.907767, id=,B08, PRDE,actvstrat=,-0.592835, actvprof=,1.183042, id=,B09, PRDE,actvstrat=,0.487533, actvprof=,3.026354, id=,B10, PRDE,actvstrat=,0.142443, actvprof=,3.574125, id=,B11, PRDE,actvstrat=,-0.018776, actvprof=,4.408838, id=,S00, PRDE,actvstrat=,0.696099, actvprof=,10.920429, id=,S01, PRDE,actvstrat=,-0.449104, actvprof=,3.486349, id=,S02, PRDE,actvstrat=,-0.754940, actvprof=,1.870534, id=,S03, PRDE,actvstrat=,0.676172, actvprof=,5.215217, id=,S04, PRDE,actvstrat=,0.029088, actvprof=,2.054421, id=,S05, PRDE,actvstrat=,-0.617374, actvprof=,0.473328, id=,S06, PRDE,actvstrat=,0.129042, actvprof=,0.799991, id=,S07, PRDE,actvstrat=,-0.029138, actvprof=,0.215831, id=,S08, PRDE,actvstrat=,-0.339206, actvprof=,0.021111, id=,S09, PRDE,actvstrat=,-0.352004, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,0.028112, actvprof=,0.002778, id=,S11, PRDE,actvstrat=,0.821824, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.408838, best_B_strat=,-0.018776, best_S_id=,S00, best_S_prof=,10.920429, best_S_strat=,0.696099, 
t=,7200, id=,B00, PRDE,actvstrat=,0.979167, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.602049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.319631, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.293368, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.527794, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.945530, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.482146, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.637806, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.563944, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.454341, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.358224, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.528804, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.450982, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.066544, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.913920, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.382503, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.145978, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.152396, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.059015, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.482450, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.253949, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.732122, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.497876, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.100001, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.979167, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.450982, 
t=,10800, id=,B00, PRDE,actvstrat=,0.979167, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.602049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.319631, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.293368, actvprof=,0.011666, id=,B04, PRDE,actvstrat=,-0.527794, actvprof=,0.022777, id=,B05, PRDE,actvstrat=,-0.945530, actvprof=,0.449990, id=,B06, PRDE,actvstrat=,-0.482146, actvprof=,0.322215, id=,B07, PRDE,actvstrat=,0.637806, actvprof=,1.424411, id=,B08, PRDE,actvstrat=,-0.563944, actvprof=,1.307192, id=,B09, PRDE,actvstrat=,-0.454341, actvprof=,2.361890, id=,B10, PRDE,actvstrat=,0.358224, actvprof=,4.416009, id=,B11, PRDE,actvstrat=,-0.528804, actvprof=,4.612949, id=,S00, PRDE,actvstrat=,0.450982, actvprof=,8.827296, id=,S01, PRDE,actvstrat=,0.066544, actvprof=,5.518483, id=,S02, PRDE,actvstrat=,-0.913920, actvprof=,0.927201, id=,S03, PRDE,actvstrat=,0.382503, actvprof=,3.428254, id=,S04, PRDE,actvstrat=,0.145978, actvprof=,1.792459, id=,S05, PRDE,actvstrat=,0.152396, actvprof=,0.945811, id=,S06, PRDE,actvstrat=,-0.059015, actvprof=,0.201384, id=,S07, PRDE,actvstrat=,-0.482450, actvprof=,0.052221, id=,S08, PRDE,actvstrat=,0.253949, actvprof=,0.056388, id=,S09, PRDE,actvstrat=,-0.732122, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.497876, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-0.100001, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.612949, best_B_strat=,-0.528804, best_S_id=,S00, best_S_prof=,8.827296, best_S_strat=,0.450982, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.415171, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.988163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.748138, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955613, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.458313, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.213822, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.182778, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.545502, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.298046, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.454341, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.320464, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.371280, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.140043, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.066544, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.826840, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.344934, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.771257, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.248331, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.129042, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.663576, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.938490, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.876130, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.809113, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.100001, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.415171, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.140043, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.415171, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.988163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.748138, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955613, actvprof=,0.053612, id=,B04, PRDE,actvstrat=,-0.458313, actvprof=,0.060278, id=,B05, PRDE,actvstrat=,0.213822, actvprof=,0.264170, id=,B06, PRDE,actvstrat=,-0.182778, actvprof=,0.411949, id=,B07, PRDE,actvstrat=,-0.545502, actvprof=,1.115846, id=,B08, PRDE,actvstrat=,-0.298046, actvprof=,1.707798, id=,B09, PRDE,actvstrat=,-0.454341, actvprof=,2.648920, id=,B10, PRDE,actvstrat=,-0.320464, actvprof=,4.143104, id=,B11, PRDE,actvstrat=,0.371280, actvprof=,6.227294, id=,S00, PRDE,actvstrat=,0.140043, actvprof=,6.211739, id=,S01, PRDE,actvstrat=,0.066544, actvprof=,4.912279, id=,S02, PRDE,actvstrat=,0.826840, actvprof=,6.335073, id=,S03, PRDE,actvstrat=,-0.344934, actvprof=,1.028067, id=,S04, PRDE,actvstrat=,-0.771257, actvprof=,0.318615, id=,S05, PRDE,actvstrat=,-0.248331, actvprof=,0.386949, id=,S06, PRDE,actvstrat=,0.129042, actvprof=,0.440561, id=,S07, PRDE,actvstrat=,0.663576, actvprof=,0.478617, id=,S08, PRDE,actvstrat=,-0.938490, actvprof=,0.156113, id=,S09, PRDE,actvstrat=,-0.876130, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,-0.809113, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.100001, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.227294, best_B_strat=,0.371280, best_S_id=,S02, best_S_prof=,6.335073, best_S_strat=,0.826840, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.415171, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.988163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.748138, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955613, actvprof=,0.051251, id=,B04, PRDE,actvstrat=,-0.458313, actvprof=,0.046806, id=,B05, PRDE,actvstrat=,0.213822, actvprof=,0.259171, id=,B06, PRDE,actvstrat=,-0.182778, actvprof=,0.471814, id=,B07, PRDE,actvstrat=,-0.545502, actvprof=,1.099047, id=,B08, PRDE,actvstrat=,-0.298046, actvprof=,1.709891, id=,B09, PRDE,actvstrat=,-0.454341, actvprof=,2.741298, id=,B10, PRDE,actvstrat=,-0.320464, actvprof=,4.113266, id=,B11, PRDE,actvstrat=,0.371280, actvprof=,6.202469, id=,S00, PRDE,actvstrat=,0.140043, actvprof=,6.224553, id=,S01, PRDE,actvstrat=,0.066544, actvprof=,4.871751, id=,S02, PRDE,actvstrat=,0.826840, actvprof=,6.243025, id=,S03, PRDE,actvstrat=,-0.344934, actvprof=,1.176270, id=,S04, PRDE,actvstrat=,-0.771257, actvprof=,0.339728, id=,S05, PRDE,actvstrat=,-0.248331, actvprof=,0.386673, id=,S06, PRDE,actvstrat=,0.129042, actvprof=,0.470286, id=,S07, PRDE,actvstrat=,0.663576, actvprof=,0.471953, id=,S08, PRDE,actvstrat=,-0.938490, actvprof=,0.127919, id=,S09, PRDE,actvstrat=,-0.876130, actvprof=,0.002917, id=,S10, PRDE,actvstrat=,-0.809113, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.100001, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.202469, best_B_strat=,0.371280, best_S_id=,S02, best_S_prof=,6.243025, best_S_strat=,0.826840, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.308631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498547, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.056197, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.370811, actvprof=,0.008056, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.013612, id=,B05, PRDE,actvstrat=,-0.993666, actvprof=,0.139727, id=,B06, PRDE,actvstrat=,0.704512, actvprof=,0.442515, id=,B07, PRDE,actvstrat=,-0.013311, actvprof=,0.515573, id=,B08, PRDE,actvstrat=,0.471132, actvprof=,1.532275, id=,B09, PRDE,actvstrat=,0.146804, actvprof=,2.275912, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.153998, id=,B11, PRDE,actvstrat=,0.599845, actvprof=,5.606028, id=,S00, PRDE,actvstrat=,-0.260068, actvprof=,5.499080, id=,S01, PRDE,actvstrat=,-0.239685, actvprof=,3.766520, id=,S02, PRDE,actvstrat=,-0.000396, actvprof=,4.311261, id=,S03, PRDE,actvstrat=,0.916448, actvprof=,6.084934, id=,S04, PRDE,actvstrat=,-0.542082, actvprof=,1.193653, id=,S05, PRDE,actvstrat=,0.334435, actvprof=,2.018403, id=,S06, PRDE,actvstrat=,-0.346859, actvprof=,0.335567, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.474773, id=,S08, PRDE,actvstrat=,0.868484, actvprof=,0.920865, id=,S09, PRDE,actvstrat=,0.534138, actvprof=,0.073058, id=,S10, PRDE,actvstrat=,0.633378, actvprof=,0.005556, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.606028, best_B_strat=,0.599845, best_S_id=,S03, best_S_prof=,6.084934, best_S_strat=,0.916448, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.308631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498547, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.056197, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.370811, actvprof=,0.004028, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.015972, id=,B05, PRDE,actvstrat=,-0.993666, actvprof=,0.135141, id=,B06, PRDE,actvstrat=,0.704512, actvprof=,0.473203, id=,B07, PRDE,actvstrat=,-0.013311, actvprof=,0.516953, id=,B08, PRDE,actvstrat=,0.471132, actvprof=,1.572111, id=,B09, PRDE,actvstrat=,0.146804, actvprof=,2.289623, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.131165, id=,B11, PRDE,actvstrat=,0.599845, actvprof=,5.705932, id=,S00, PRDE,actvstrat=,-0.260068, actvprof=,5.414538, id=,S01, PRDE,actvstrat=,-0.239685, actvprof=,4.075210, id=,S02, PRDE,actvstrat=,-0.000396, actvprof=,4.375076, id=,S03, PRDE,actvstrat=,0.916448, actvprof=,6.065383, id=,S04, PRDE,actvstrat=,-0.542082, actvprof=,1.048907, id=,S05, PRDE,actvstrat=,0.334435, actvprof=,1.948784, id=,S06, PRDE,actvstrat=,-0.346859, actvprof=,0.306950, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.510860, id=,S08, PRDE,actvstrat=,0.868484, actvprof=,0.854043, id=,S09, PRDE,actvstrat=,0.534138, actvprof=,0.080001, id=,S10, PRDE,actvstrat=,0.633378, actvprof=,0.008056, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.705932, best_B_strat=,0.599845, best_S_id=,S03, best_S_prof=,6.065383, best_S_strat=,0.916448, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.308631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.602049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.314172, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955613, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,0.647246, actvprof=,0.009723, id=,B05, PRDE,actvstrat=,0.621573, actvprof=,0.074725, id=,B06, PRDE,actvstrat=,0.704512, actvprof=,0.391680, id=,B07, PRDE,actvstrat=,0.342074, actvprof=,0.590020, id=,B08, PRDE,actvstrat=,-0.635899, actvprof=,0.805028, id=,B09, PRDE,actvstrat=,0.146804, actvprof=,2.207021, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.062329, id=,B11, PRDE,actvstrat=,0.599845, actvprof=,5.549637, id=,S00, PRDE,actvstrat=,-0.002414, actvprof=,6.877183, id=,S01, PRDE,actvstrat=,-0.309455, actvprof=,3.858745, id=,S02, PRDE,actvstrat=,-0.754940, actvprof=,1.628668, id=,S03, PRDE,actvstrat=,-0.187484, actvprof=,1.735894, id=,S04, PRDE,actvstrat=,-0.542082, actvprof=,0.970034, id=,S05, PRDE,actvstrat=,0.735360, actvprof=,2.499253, id=,S06, PRDE,actvstrat=,-0.346859, actvprof=,0.183062, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.564499, id=,S08, PRDE,actvstrat=,0.135871, actvprof=,0.180840, id=,S09, PRDE,actvstrat=,0.970274, actvprof=,0.375846, id=,S10, PRDE,actvstrat=,-0.299152, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.932642, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.549637, best_B_strat=,0.599845, best_S_id=,S00, best_S_prof=,6.877183, best_S_strat=,-0.002414, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.308631, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.602049, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.314172, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.955613, actvprof=,0.006528, id=,B04, PRDE,actvstrat=,0.647246, actvprof=,0.019861, id=,B05, PRDE,actvstrat=,0.621573, actvprof=,0.084724, id=,B06, PRDE,actvstrat=,0.704512, actvprof=,0.379173, id=,B07, PRDE,actvstrat=,0.342074, actvprof=,0.560288, id=,B08, PRDE,actvstrat=,-0.635899, actvprof=,0.791958, id=,B09, PRDE,actvstrat=,0.146804, actvprof=,2.068508, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.104915, id=,B11, PRDE,actvstrat=,0.599845, actvprof=,5.743294, id=,S00, PRDE,actvstrat=,-0.002414, actvprof=,6.797757, id=,S01, PRDE,actvstrat=,-0.309455, actvprof=,3.814094, id=,S02, PRDE,actvstrat=,-0.754940, actvprof=,1.743641, id=,S03, PRDE,actvstrat=,-0.187484, actvprof=,1.779198, id=,S04, PRDE,actvstrat=,-0.542082, actvprof=,0.890293, id=,S05, PRDE,actvstrat=,0.735360, actvprof=,2.571989, id=,S06, PRDE,actvstrat=,-0.346859, actvprof=,0.205420, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.601833, id=,S08, PRDE,actvstrat=,0.135871, actvprof=,0.156392, id=,S09, PRDE,actvstrat=,0.970274, actvprof=,0.345006, id=,S10, PRDE,actvstrat=,-0.299152, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.932642, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.743294, best_B_strat=,0.599845, best_S_id=,S00, best_S_prof=,6.797757, best_S_strat=,-0.002414, 
