t=,1, id=,B00, PRDE,actvstrat=,0.279882, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.936657, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.321334, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.328201, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.999147, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.044713, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.220027, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.442670, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.738806, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.713296, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.907726, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.815903, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.667763, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.731547, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.116871, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.887503, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.072671, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.916453, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.107820, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.665500, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.444941, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.748537, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.549964, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.091003, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.279882, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.667763, 
t=,3600, id=,B00, PRDE,actvstrat=,0.279882, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.936657, actvprof=,0.002778, id=,B02, PRDE,actvstrat=,0.321334, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,0.328201, actvprof=,0.039722, id=,B04, PRDE,actvstrat=,0.999147, actvprof=,0.136665, id=,B05, PRDE,actvstrat=,-0.044713, actvprof=,0.200831, id=,B06, PRDE,actvstrat=,-0.220027, actvprof=,0.577216, id=,B07, PRDE,actvstrat=,-0.442670, actvprof=,1.206930, id=,B08, PRDE,actvstrat=,0.738806, actvprof=,3.588014, id=,B09, PRDE,actvstrat=,-0.713296, actvprof=,3.901622, id=,B10, PRDE,actvstrat=,0.907726, actvprof=,5.706045, id=,B11, PRDE,actvstrat=,-0.815903, actvprof=,7.155751, id=,S00, PRDE,actvstrat=,0.667763, actvprof=,8.781565, id=,S01, PRDE,actvstrat=,0.731547, actvprof=,6.883809, id=,S02, PRDE,actvstrat=,0.116871, actvprof=,3.043020, id=,S03, PRDE,actvstrat=,0.887503, actvprof=,4.404949, id=,S04, PRDE,actvstrat=,-0.072671, actvprof=,0.613882, id=,S05, PRDE,actvstrat=,0.916453, actvprof=,2.560526, id=,S06, PRDE,actvstrat=,0.107820, actvprof=,0.385273, id=,S07, PRDE,actvstrat=,0.665500, actvprof=,0.317774, id=,S08, PRDE,actvstrat=,-0.444941, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.748537, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.549964, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.091003, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.155751, best_B_strat=,-0.815903, best_S_id=,S00, best_S_prof=,8.781565, best_S_strat=,0.667763, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.057646, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.768613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.591728, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.861764, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.928754, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.139880, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.837180, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.700819, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.561642, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.397021, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.960227, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.045758, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.952700, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.559862, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.002866, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.541887, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.387290, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.347873, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.566482, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.582218, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.409606, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.942454, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.501193, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.349824, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.057646, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.952700, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.057646, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.768613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.591728, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.861764, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.928754, actvprof=,0.010278, id=,B05, PRDE,actvstrat=,-0.139880, actvprof=,0.005833, id=,B06, PRDE,actvstrat=,0.837180, actvprof=,0.351940, id=,B07, PRDE,actvstrat=,-0.700819, actvprof=,0.168331, id=,B08, PRDE,actvstrat=,-0.561642, actvprof=,0.447773, id=,B09, PRDE,actvstrat=,-0.397021, actvprof=,1.042766, id=,B10, PRDE,actvstrat=,-0.960227, actvprof=,2.065532, id=,B11, PRDE,actvstrat=,0.045758, actvprof=,3.879122, id=,S00, PRDE,actvstrat=,-0.952700, actvprof=,1.589704, id=,S01, PRDE,actvstrat=,-0.559862, actvprof=,2.355251, id=,S02, PRDE,actvstrat=,0.002866, actvprof=,3.493293, id=,S03, PRDE,actvstrat=,-0.541887, actvprof=,0.795546, id=,S04, PRDE,actvstrat=,0.387290, actvprof=,1.924700, id=,S05, PRDE,actvstrat=,-0.347873, actvprof=,0.201387, id=,S06, PRDE,actvstrat=,0.566482, actvprof=,0.612215, id=,S07, PRDE,actvstrat=,-0.582218, actvprof=,0.008055, id=,S08, PRDE,actvstrat=,-0.409606, actvprof=,0.009167, id=,S09, PRDE,actvstrat=,0.942454, actvprof=,0.158887, id=,S10, PRDE,actvstrat=,-0.501193, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.349824, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.879122, best_B_strat=,0.045758, best_S_id=,S02, best_S_prof=,3.493293, best_S_strat=,0.002866, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.803216, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.042300, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.321334, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.332205, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.419624, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.499655, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.088025, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.290485, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.510670, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.881196, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.479766, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.543653, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.667763, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.731547, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.679958, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.532936, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.780037, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.078036, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.566482, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.665500, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.844620, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.479820, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.202432, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.243503, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.803216, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.667763, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.803216, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.042300, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.321334, actvprof=,0.006389, id=,B03, PRDE,actvstrat=,-0.332205, actvprof=,0.023333, id=,B04, PRDE,actvstrat=,-0.419624, actvprof=,0.069167, id=,B05, PRDE,actvstrat=,0.499655, actvprof=,0.521944, id=,B06, PRDE,actvstrat=,0.088025, actvprof=,0.575556, id=,B07, PRDE,actvstrat=,0.290485, actvprof=,1.621389, id=,B08, PRDE,actvstrat=,0.510670, actvprof=,2.683056, id=,B09, PRDE,actvstrat=,0.881196, actvprof=,3.274444, id=,B10, PRDE,actvstrat=,-0.479766, actvprof=,4.142500, id=,B11, PRDE,actvstrat=,0.543653, actvprof=,6.413056, id=,S00, PRDE,actvstrat=,0.667763, actvprof=,10.177222, id=,S01, PRDE,actvstrat=,0.731547, actvprof=,8.831667, id=,S02, PRDE,actvstrat=,0.679958, actvprof=,6.886111, id=,S03, PRDE,actvstrat=,0.532936, actvprof=,4.196944, id=,S04, PRDE,actvstrat=,-0.780037, actvprof=,0.411111, id=,S05, PRDE,actvstrat=,0.078036, actvprof=,1.015278, id=,S06, PRDE,actvstrat=,0.566482, actvprof=,1.027778, id=,S07, PRDE,actvstrat=,0.665500, actvprof=,0.639444, id=,S08, PRDE,actvstrat=,-0.844620, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,-0.479820, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,-0.202432, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.243503, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.413056, best_B_strat=,0.543653, best_S_id=,S00, best_S_prof=,10.177222, best_S_strat=,0.667763, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.234786, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.649258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.837088, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.976069, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.343575, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.766483, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.446516, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.020793, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.202865, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.374487, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.807726, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.562998, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.880023, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.401917, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.032792, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.382246, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.258962, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.234786, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.374487, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.234786, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.649258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.837088, actvprof=,0.121113, id=,B04, PRDE,actvstrat=,0.976069, actvprof=,0.265003, id=,B05, PRDE,actvstrat=,0.343575, actvprof=,0.694175, id=,B06, PRDE,actvstrat=,-0.766483, actvprof=,1.176125, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.290848, id=,B08, PRDE,actvstrat=,-0.446516, actvprof=,2.702531, id=,B09, PRDE,actvstrat=,-0.020793, actvprof=,4.222549, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.764766, id=,B11, PRDE,actvstrat=,-0.202865, actvprof=,7.277584, id=,S00, PRDE,actvstrat=,0.374487, actvprof=,7.698145, id=,S01, PRDE,actvstrat=,0.807726, actvprof=,8.420097, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.355074, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.330328, id=,S04, PRDE,actvstrat=,-0.562998, actvprof=,0.574173, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.493640, id=,S06, PRDE,actvstrat=,-0.880023, actvprof=,0.051945, id=,S07, PRDE,actvstrat=,0.401917, actvprof=,0.373615, id=,S08, PRDE,actvstrat=,0.032792, actvprof=,0.098334, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.069723, id=,S10, PRDE,actvstrat=,-0.382246, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.258962, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.277584, best_B_strat=,-0.202865, best_S_id=,S01, best_S_prof=,8.420097, best_S_strat=,0.807726, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.234786, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.649258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.002917, id=,B03, PRDE,actvstrat=,0.837088, actvprof=,0.131667, id=,B04, PRDE,actvstrat=,0.976069, actvprof=,0.282363, id=,B05, PRDE,actvstrat=,0.343575, actvprof=,0.678754, id=,B06, PRDE,actvstrat=,-0.766483, actvprof=,1.204729, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.340008, id=,B08, PRDE,actvstrat=,-0.446516, actvprof=,2.707238, id=,B09, PRDE,actvstrat=,-0.020793, actvprof=,4.205580, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.768911, id=,B11, PRDE,actvstrat=,-0.202865, actvprof=,7.128652, id=,S00, PRDE,actvstrat=,0.374487, actvprof=,7.648516, id=,S01, PRDE,actvstrat=,0.807726, actvprof=,8.571994, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.161563, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.292108, id=,S04, PRDE,actvstrat=,-0.562998, actvprof=,0.556531, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.444736, id=,S06, PRDE,actvstrat=,-0.880023, actvprof=,0.053611, id=,S07, PRDE,actvstrat=,0.401917, actvprof=,0.387502, id=,S08, PRDE,actvstrat=,0.032792, actvprof=,0.102223, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.077639, id=,S10, PRDE,actvstrat=,-0.382246, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.258962, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.128652, best_B_strat=,-0.202865, best_S_id=,S01, best_S_prof=,8.571994, best_S_strat=,0.807726, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.234786, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.042300, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.083994, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.238994, actvprof=,0.008333, id=,B04, PRDE,actvstrat=,0.976069, actvprof=,0.139167, id=,B05, PRDE,actvstrat=,-0.450566, actvprof=,0.154167, id=,B06, PRDE,actvstrat=,-0.766483, actvprof=,0.484444, id=,B07, PRDE,actvstrat=,-0.535205, actvprof=,1.171667, id=,B08, PRDE,actvstrat=,-0.808886, actvprof=,1.824167, id=,B09, PRDE,actvstrat=,-0.441832, actvprof=,3.352500, id=,B10, PRDE,actvstrat=,0.907726, actvprof=,5.319167, id=,B11, PRDE,actvstrat=,0.710768, actvprof=,8.075000, id=,S00, PRDE,actvstrat=,0.374487, actvprof=,7.184444, id=,S01, PRDE,actvstrat=,-0.383139, actvprof=,2.118056, id=,S02, PRDE,actvstrat=,0.761151, actvprof=,5.695000, id=,S03, PRDE,actvstrat=,0.042970, actvprof=,1.858889, id=,S04, PRDE,actvstrat=,-0.562998, actvprof=,0.477778, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.661944, id=,S06, PRDE,actvstrat=,0.566482, actvprof=,1.108333, id=,S07, PRDE,actvstrat=,0.838382, actvprof=,1.071389, id=,S08, PRDE,actvstrat=,0.032792, actvprof=,0.087778, id=,S09, PRDE,actvstrat=,-0.208878, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.652939, actvprof=,0.008056, id=,S11, PRDE,actvstrat=,0.258962, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.075000, best_B_strat=,0.710768, best_S_id=,S00, best_S_prof=,7.184444, best_S_strat=,0.374487, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.234786, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.042300, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.083994, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.238994, actvprof=,0.008750, id=,B04, PRDE,actvstrat=,0.976069, actvprof=,0.125140, id=,B05, PRDE,actvstrat=,-0.450566, actvprof=,0.135973, id=,B06, PRDE,actvstrat=,-0.766483, actvprof=,0.472781, id=,B07, PRDE,actvstrat=,-0.535205, actvprof=,1.040006, id=,B08, PRDE,actvstrat=,-0.808886, actvprof=,1.916122, id=,B09, PRDE,actvstrat=,-0.441832, actvprof=,3.370853, id=,B10, PRDE,actvstrat=,0.907726, actvprof=,5.465309, id=,B11, PRDE,actvstrat=,0.710768, actvprof=,7.991713, id=,S00, PRDE,actvstrat=,0.374487, actvprof=,6.875873, id=,S01, PRDE,actvstrat=,-0.383139, actvprof=,2.153068, id=,S02, PRDE,actvstrat=,0.761151, actvprof=,5.724339, id=,S03, PRDE,actvstrat=,0.042970, actvprof=,1.795427, id=,S04, PRDE,actvstrat=,-0.562998, actvprof=,0.476114, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.686954, id=,S06, PRDE,actvstrat=,0.566482, actvprof=,0.985006, id=,S07, PRDE,actvstrat=,0.838382, actvprof=,1.101117, id=,S08, PRDE,actvstrat=,0.032792, actvprof=,0.089445, id=,S09, PRDE,actvstrat=,-0.208878, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.652939, actvprof=,0.004028, id=,S11, PRDE,actvstrat=,0.258962, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.991713, best_B_strat=,0.710768, best_S_id=,S00, best_S_prof=,6.875873, best_S_strat=,0.374487, 
