t=,1, id=,B00, PRDE,actvstrat=,-0.179846, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.963656, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.868330, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.662981, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.752500, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.992943, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.863459, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.504523, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.786641, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.912050, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.314131, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.648342, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.946954, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.222789, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.736584, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.095286, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.143823, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.900911, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.467853, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.522058, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.608158, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.791493, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.258105, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.395797, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.179846, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.946954, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.179846, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.963656, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.868330, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.662981, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.752500, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.992943, actvprof=,0.014444, id=,B06, PRDE,actvstrat=,0.863459, actvprof=,0.298608, id=,B07, PRDE,actvstrat=,0.504523, actvprof=,0.392495, id=,B08, PRDE,actvstrat=,-0.786641, actvprof=,0.546105, id=,B09, PRDE,actvstrat=,0.912050, actvprof=,2.298585, id=,B10, PRDE,actvstrat=,-0.314131, actvprof=,1.908589, id=,B11, PRDE,actvstrat=,0.648342, actvprof=,5.401882, id=,S00, PRDE,actvstrat=,-0.946954, actvprof=,2.978577, id=,S01, PRDE,actvstrat=,-0.222789, actvprof=,5.069108, id=,S02, PRDE,actvstrat=,-0.736584, actvprof=,2.309973, id=,S03, PRDE,actvstrat=,0.095286, actvprof=,3.882455, id=,S04, PRDE,actvstrat=,-0.143823, actvprof=,1.510538, id=,S05, PRDE,actvstrat=,0.900911, actvprof=,3.844122, id=,S06, PRDE,actvstrat=,0.467853, actvprof=,1.293874, id=,S07, PRDE,actvstrat=,-0.522058, actvprof=,0.120554, id=,S08, PRDE,actvstrat=,0.608158, actvprof=,0.289997, id=,S09, PRDE,actvstrat=,0.791493, actvprof=,0.085277, id=,S10, PRDE,actvstrat=,-0.258105, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.395797, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.401882, best_B_strat=,0.648342, best_S_id=,S01, best_S_prof=,5.069108, best_S_strat=,-0.222789, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.771538, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.313314, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.287583, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.639161, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.489572, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.968422, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.402477, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.434498, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.512232, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.624159, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.121439, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.994930, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.577860, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.405870, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.913401, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.004625, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.815290, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.845576, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.628589, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.020100, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.046183, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.959085, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.449030, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.915020, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.771538, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.577860, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.771538, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.313314, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.287583, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.639161, actvprof=,0.038888, id=,B04, PRDE,actvstrat=,-0.489572, actvprof=,0.054165, id=,B05, PRDE,actvstrat=,0.968422, actvprof=,0.407213, id=,B06, PRDE,actvstrat=,0.402477, actvprof=,0.987199, id=,B07, PRDE,actvstrat=,0.434498, actvprof=,2.052452, id=,B08, PRDE,actvstrat=,-0.512232, actvprof=,2.012176, id=,B09, PRDE,actvstrat=,-0.624159, actvprof=,3.646860, id=,B10, PRDE,actvstrat=,-0.121439, actvprof=,5.520150, id=,B11, PRDE,actvstrat=,-0.994930, actvprof=,9.255619, id=,S00, PRDE,actvstrat=,0.577860, actvprof=,7.938705, id=,S01, PRDE,actvstrat=,0.405870, actvprof=,5.332377, id=,S02, PRDE,actvstrat=,0.913401, actvprof=,6.124025, id=,S03, PRDE,actvstrat=,0.004625, actvprof=,1.462744, id=,S04, PRDE,actvstrat=,0.815290, actvprof=,2.118840, id=,S05, PRDE,actvstrat=,0.845576, actvprof=,1.139140, id=,S06, PRDE,actvstrat=,0.628589, actvprof=,0.133886, id=,S07, PRDE,actvstrat=,-0.020100, actvprof=,0.011944, id=,S08, PRDE,actvstrat=,-0.046183, actvprof=,0.002778, id=,S09, PRDE,actvstrat=,0.959085, actvprof=,0.000278, id=,S10, PRDE,actvstrat=,-0.449030, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.915020, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.255619, best_B_strat=,-0.994930, best_S_id=,S00, best_S_prof=,7.938705, best_S_strat=,0.577860, 
t=,14400, id=,B00, PRDE,actvstrat=,0.343890, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.313314, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.566275, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.232165, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.215787, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.473303, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.705778, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.434498, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.758911, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.273770, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.613993, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.994930, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.007974, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.405870, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.774503, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.095286, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.484074, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.160193, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.467853, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.198407, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.608158, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.918368, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.729478, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.915020, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.343890, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.007974, 
t=,18000, id=,B00, PRDE,actvstrat=,0.343890, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.313314, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.566275, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.232165, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.215787, actvprof=,0.030833, id=,B05, PRDE,actvstrat=,0.473303, actvprof=,0.375556, id=,B06, PRDE,actvstrat=,-0.705778, actvprof=,0.380278, id=,B07, PRDE,actvstrat=,0.434498, actvprof=,1.669167, id=,B08, PRDE,actvstrat=,0.758911, actvprof=,2.643333, id=,B09, PRDE,actvstrat=,-0.273770, actvprof=,2.445833, id=,B10, PRDE,actvstrat=,-0.613993, actvprof=,4.208333, id=,B11, PRDE,actvstrat=,-0.994930, actvprof=,7.274444, id=,S00, PRDE,actvstrat=,-0.007974, actvprof=,6.082222, id=,S01, PRDE,actvstrat=,0.405870, actvprof=,6.013056, id=,S02, PRDE,actvstrat=,0.774503, actvprof=,6.326111, id=,S03, PRDE,actvstrat=,0.095286, actvprof=,2.082222, id=,S04, PRDE,actvstrat=,0.484074, actvprof=,1.909444, id=,S05, PRDE,actvstrat=,-0.160193, actvprof=,0.169444, id=,S06, PRDE,actvstrat=,0.467853, actvprof=,0.320278, id=,S07, PRDE,actvstrat=,0.198407, actvprof=,0.057222, id=,S08, PRDE,actvstrat=,0.608158, actvprof=,0.015833, id=,S09, PRDE,actvstrat=,0.918368, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.729478, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.915020, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.274444, best_B_strat=,-0.994930, best_S_id=,S02, best_S_prof=,6.326111, best_S_strat=,0.774503, 
t=,21600, id=,B00, PRDE,actvstrat=,0.343890, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.313314, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.566275, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.232165, actvprof=,0.011667, id=,B04, PRDE,actvstrat=,-0.215787, actvprof=,0.027083, id=,B05, PRDE,actvstrat=,0.473303, actvprof=,0.337780, id=,B06, PRDE,actvstrat=,-0.705778, actvprof=,0.448058, id=,B07, PRDE,actvstrat=,0.434498, actvprof=,1.534870, id=,B08, PRDE,actvstrat=,0.758911, actvprof=,2.526820, id=,B09, PRDE,actvstrat=,-0.273770, actvprof=,2.467514, id=,B10, PRDE,actvstrat=,-0.613993, actvprof=,4.088774, id=,B11, PRDE,actvstrat=,-0.994930, actvprof=,7.287126, id=,S00, PRDE,actvstrat=,-0.007974, actvprof=,5.918368, id=,S01, PRDE,actvstrat=,0.405870, actvprof=,6.198786, id=,S02, PRDE,actvstrat=,0.774503, actvprof=,6.490176, id=,S03, PRDE,actvstrat=,0.095286, actvprof=,2.199457, id=,S04, PRDE,actvstrat=,0.484074, actvprof=,1.924872, id=,S05, PRDE,actvstrat=,-0.160193, actvprof=,0.193334, id=,S06, PRDE,actvstrat=,0.467853, actvprof=,0.348891, id=,S07, PRDE,actvstrat=,0.198407, actvprof=,0.051250, id=,S08, PRDE,actvstrat=,0.608158, actvprof=,0.012222, id=,S09, PRDE,actvstrat=,0.918368, actvprof=,0.003472, id=,S10, PRDE,actvstrat=,0.729478, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.915020, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.287126, best_B_strat=,-0.994930, best_S_id=,S02, best_S_prof=,6.490176, best_S_strat=,0.774503, 
t=,25200, id=,B00, PRDE,actvstrat=,0.695095, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.477700, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.722659, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.218973, actvprof=,0.000833, id=,B05, PRDE,actvstrat=,-0.349838, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,0.710558, actvprof=,0.257225, id=,B07, PRDE,actvstrat=,0.154357, actvprof=,0.385838, id=,B08, PRDE,actvstrat=,0.755379, actvprof=,1.860299, id=,B09, PRDE,actvstrat=,0.788569, actvprof=,3.361983, id=,B10, PRDE,actvstrat=,0.033816, actvprof=,3.418651, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,5.553398, id=,S00, PRDE,actvstrat=,-0.992952, actvprof=,4.869223, id=,S01, PRDE,actvstrat=,-0.893201, actvprof=,0.643341, id=,S02, PRDE,actvstrat=,-0.041173, actvprof=,3.704765, id=,S03, PRDE,actvstrat=,-0.603749, actvprof=,1.334738, id=,S04, PRDE,actvstrat=,-0.211001, actvprof=,0.901399, id=,S05, PRDE,actvstrat=,0.977400, actvprof=,3.080591, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.282515, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.555284, id=,S08, PRDE,actvstrat=,-0.516561, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.670172, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.558550, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.553398, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.869223, best_S_strat=,-0.992952, 
t=,28800, id=,B00, PRDE,actvstrat=,0.695095, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.477700, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.722659, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.218973, actvprof=,0.000417, id=,B05, PRDE,actvstrat=,-0.349838, actvprof=,0.003889, id=,B06, PRDE,actvstrat=,0.710558, actvprof=,0.239307, id=,B07, PRDE,actvstrat=,0.154357, actvprof=,0.381947, id=,B08, PRDE,actvstrat=,0.755379, actvprof=,1.883344, id=,B09, PRDE,actvstrat=,0.788569, actvprof=,3.324186, id=,B10, PRDE,actvstrat=,0.033816, actvprof=,3.415992, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,5.384337, id=,S00, PRDE,actvstrat=,-0.992952, actvprof=,4.618221, id=,S01, PRDE,actvstrat=,-0.893201, actvprof=,0.583614, id=,S02, PRDE,actvstrat=,-0.041173, actvprof=,3.747383, id=,S03, PRDE,actvstrat=,-0.603749, actvprof=,1.336674, id=,S04, PRDE,actvstrat=,-0.211001, actvprof=,0.902505, id=,S05, PRDE,actvstrat=,0.977400, actvprof=,3.026545, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.290563, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.571392, id=,S08, PRDE,actvstrat=,-0.516561, actvprof=,0.002639, id=,S09, PRDE,actvstrat=,-0.670172, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.558550, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.384337, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.618221, best_S_strat=,-0.992952, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.945954, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.980180, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.287583, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.988625, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,-0.489572, actvprof=,0.006945, id=,B05, PRDE,actvstrat=,0.775389, actvprof=,0.178335, id=,B06, PRDE,actvstrat=,0.402477, actvprof=,0.196947, id=,B07, PRDE,actvstrat=,-0.315483, actvprof=,0.231114, id=,B08, PRDE,actvstrat=,0.971042, actvprof=,0.644452, id=,B09, PRDE,actvstrat=,0.788569, actvprof=,1.718353, id=,B10, PRDE,actvstrat=,-0.221147, actvprof=,1.387516, id=,B11, PRDE,actvstrat=,0.932620, actvprof=,3.046424, id=,S00, PRDE,actvstrat=,-0.954999, actvprof=,2.546974, id=,S01, PRDE,actvstrat=,0.127400, actvprof=,9.023716, id=,S02, PRDE,actvstrat=,0.913401, actvprof=,10.974849, id=,S03, PRDE,actvstrat=,-0.937152, actvprof=,1.142513, id=,S04, PRDE,actvstrat=,-0.215052, actvprof=,2.124469, id=,S05, PRDE,actvstrat=,-0.150271, actvprof=,1.648075, id=,S06, PRDE,actvstrat=,-0.869120, actvprof=,0.116668, id=,S07, PRDE,actvstrat=,-0.522058, actvprof=,0.240281, id=,S08, PRDE,actvstrat=,0.608158, actvprof=,0.618618, id=,S09, PRDE,actvstrat=,0.791493, actvprof=,0.418338, id=,S10, PRDE,actvstrat=,0.092492, actvprof=,0.016945, id=,S11, PRDE,actvstrat=,-0.510916, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.046424, best_B_strat=,0.932620, best_S_id=,S02, best_S_prof=,10.974849, best_S_strat=,0.913401, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.945954, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.980180, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.287583, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.988625, actvprof=,0.007361, id=,B04, PRDE,actvstrat=,-0.489572, actvprof=,0.004861, id=,B05, PRDE,actvstrat=,0.775389, actvprof=,0.159723, id=,B06, PRDE,actvstrat=,0.402477, actvprof=,0.187640, id=,B07, PRDE,actvstrat=,-0.315483, actvprof=,0.225001, id=,B08, PRDE,actvstrat=,0.971042, actvprof=,0.599587, id=,B09, PRDE,actvstrat=,0.788569, actvprof=,1.807094, id=,B10, PRDE,actvstrat=,-0.221147, actvprof=,1.455842, id=,B11, PRDE,actvstrat=,0.932620, actvprof=,3.023212, id=,S00, PRDE,actvstrat=,-0.954999, actvprof=,2.629460, id=,S01, PRDE,actvstrat=,0.127400, actvprof=,8.888385, id=,S02, PRDE,actvstrat=,0.913401, actvprof=,10.962841, id=,S03, PRDE,actvstrat=,-0.937152, actvprof=,1.084312, id=,S04, PRDE,actvstrat=,-0.215052, actvprof=,2.058623, id=,S05, PRDE,actvstrat=,-0.150271, actvprof=,1.617926, id=,S06, PRDE,actvstrat=,-0.869120, actvprof=,0.119723, id=,S07, PRDE,actvstrat=,-0.522058, actvprof=,0.222640, id=,S08, PRDE,actvstrat=,0.608158, actvprof=,0.619865, id=,S09, PRDE,actvstrat=,0.791493, actvprof=,0.420836, id=,S10, PRDE,actvstrat=,0.092492, actvprof=,0.019445, id=,S11, PRDE,actvstrat=,-0.510916, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.023212, best_B_strat=,0.932620, best_S_id=,S02, best_S_prof=,10.962841, best_S_strat=,0.913401, 
