t=,1, id=,B00, PRDE,actvstrat=,-0.859392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.822518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.586357, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.649983, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.736258, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.060209, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.134181, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.992917, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.172541, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.476273, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.013805, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.079909, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.639240, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.251545, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.815425, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.793597, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.625128, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.843669, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.978870, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.483503, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.206218, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.878691, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.748892, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.378522, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.859392, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.639240, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.859392, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.822518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.586357, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.649983, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.736258, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.060209, actvprof=,0.016389, id=,B06, PRDE,actvstrat=,-0.134181, actvprof=,0.022500, id=,B07, PRDE,actvstrat=,-0.992917, actvprof=,0.205275, id=,B08, PRDE,actvstrat=,-0.172541, actvprof=,0.184998, id=,B09, PRDE,actvstrat=,0.476273, actvprof=,1.045543, id=,B10, PRDE,actvstrat=,0.013805, actvprof=,1.264985, id=,B11, PRDE,actvstrat=,-0.079909, actvprof=,2.059421, id=,S00, PRDE,actvstrat=,-0.639240, actvprof=,5.209106, id=,S01, PRDE,actvstrat=,-0.251545, actvprof=,4.698001, id=,S02, PRDE,actvstrat=,-0.815425, actvprof=,1.342207, id=,S03, PRDE,actvstrat=,-0.793597, actvprof=,1.120820, id=,S04, PRDE,actvstrat=,-0.625128, actvprof=,1.196097, id=,S05, PRDE,actvstrat=,-0.843669, actvprof=,0.127776, id=,S06, PRDE,actvstrat=,-0.978870, actvprof=,0.453050, id=,S07, PRDE,actvstrat=,-0.483503, actvprof=,0.088055, id=,S08, PRDE,actvstrat=,-0.206218, actvprof=,0.025000, id=,S09, PRDE,actvstrat=,-0.878691, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.748892, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,0.378522, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.059421, best_B_strat=,-0.079909, best_S_id=,S00, best_S_prof=,5.209106, best_S_strat=,-0.639240, 
t=,7200, id=,B00, PRDE,actvstrat=,0.987081, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.521727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.036921, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.135000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.880712, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.207257, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.670022, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.812491, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.361192, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.303099, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.439834, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.891007, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.950805, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.868793, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.252998, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.652923, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.740935, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.046309, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.579868, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.402223, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.252108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.205645, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.670132, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.788033, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.987081, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.950805, 
t=,10800, id=,B00, PRDE,actvstrat=,0.987081, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.521727, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.036921, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.135000, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.880712, actvprof=,0.093888, id=,B05, PRDE,actvstrat=,-0.207257, actvprof=,0.083332, id=,B06, PRDE,actvstrat=,0.670022, actvprof=,0.749436, id=,B07, PRDE,actvstrat=,-0.812491, actvprof=,0.867768, id=,B08, PRDE,actvstrat=,-0.361192, actvprof=,0.995822, id=,B09, PRDE,actvstrat=,0.303099, actvprof=,2.385806, id=,B10, PRDE,actvstrat=,-0.439834, actvprof=,2.475527, id=,B11, PRDE,actvstrat=,0.891007, actvprof=,4.669390, id=,S00, PRDE,actvstrat=,-0.950805, actvprof=,3.534126, id=,S01, PRDE,actvstrat=,0.868793, actvprof=,9.781553, id=,S02, PRDE,actvstrat=,0.252998, actvprof=,5.159385, id=,S03, PRDE,actvstrat=,-0.652923, actvprof=,1.641648, id=,S04, PRDE,actvstrat=,-0.740935, actvprof=,0.809713, id=,S05, PRDE,actvstrat=,-0.046309, actvprof=,1.011655, id=,S06, PRDE,actvstrat=,-0.579868, actvprof=,0.379718, id=,S07, PRDE,actvstrat=,0.402223, actvprof=,0.666103, id=,S08, PRDE,actvstrat=,0.252108, actvprof=,0.184165, id=,S09, PRDE,actvstrat=,0.205645, actvprof=,0.057777, id=,S10, PRDE,actvstrat=,0.670132, actvprof=,0.024166, id=,S11, PRDE,actvstrat=,-0.788033, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.669390, best_B_strat=,0.891007, best_S_id=,S01, best_S_prof=,9.781553, best_S_strat=,0.868793, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.997690, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.775547, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.886596, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.135000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.757397, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.704517, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.656353, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.980469, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.361192, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.486828, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.439834, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.239626, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.950805, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.868793, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.506963, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.652923, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.383866, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.046309, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.822371, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.549218, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.682686, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.388365, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.432727, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.827466, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.997690, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.950805, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.997690, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.775547, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.886596, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.135000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.757397, actvprof=,0.036667, id=,B05, PRDE,actvstrat=,0.704517, actvprof=,0.079722, id=,B06, PRDE,actvstrat=,-0.656353, actvprof=,0.055000, id=,B07, PRDE,actvstrat=,0.980469, actvprof=,0.280000, id=,B08, PRDE,actvstrat=,-0.361192, actvprof=,0.470000, id=,B09, PRDE,actvstrat=,0.486828, actvprof=,1.650278, id=,B10, PRDE,actvstrat=,-0.439834, actvprof=,1.554722, id=,B11, PRDE,actvstrat=,-0.239626, actvprof=,2.756111, id=,S00, PRDE,actvstrat=,-0.950805, actvprof=,0.905556, id=,S01, PRDE,actvstrat=,0.868793, actvprof=,11.363056, id=,S02, PRDE,actvstrat=,-0.506963, actvprof=,2.321944, id=,S03, PRDE,actvstrat=,-0.652923, actvprof=,1.266667, id=,S04, PRDE,actvstrat=,-0.383866, actvprof=,0.939722, id=,S05, PRDE,actvstrat=,-0.046309, actvprof=,0.886667, id=,S06, PRDE,actvstrat=,-0.822371, actvprof=,0.045000, id=,S07, PRDE,actvstrat=,0.549218, actvprof=,0.421667, id=,S08, PRDE,actvstrat=,0.682686, actvprof=,0.108333, id=,S09, PRDE,actvstrat=,0.388365, actvprof=,0.008611, id=,S10, PRDE,actvstrat=,-0.432727, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.827466, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.756111, best_B_strat=,-0.239626, best_S_id=,S01, best_S_prof=,11.363056, best_S_strat=,0.868793, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.997690, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.775547, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.886596, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,-0.135000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.757397, actvprof=,0.031528, id=,B05, PRDE,actvstrat=,0.704517, actvprof=,0.114445, id=,B06, PRDE,actvstrat=,-0.656353, actvprof=,0.070834, id=,B07, PRDE,actvstrat=,0.980469, actvprof=,0.288196, id=,B08, PRDE,actvstrat=,-0.361192, actvprof=,0.482364, id=,B09, PRDE,actvstrat=,0.486828, actvprof=,1.566676, id=,B10, PRDE,actvstrat=,-0.439834, actvprof=,1.550287, id=,B11, PRDE,actvstrat=,-0.239626, actvprof=,2.808211, id=,S00, PRDE,actvstrat=,-0.950805, actvprof=,1.063895, id=,S01, PRDE,actvstrat=,0.868793, actvprof=,11.376733, id=,S02, PRDE,actvstrat=,-0.506963, actvprof=,2.481542, id=,S03, PRDE,actvstrat=,-0.652923, actvprof=,1.256952, id=,S04, PRDE,actvstrat=,-0.383866, actvprof=,0.932644, id=,S05, PRDE,actvstrat=,-0.046309, actvprof=,0.811255, id=,S06, PRDE,actvstrat=,-0.822371, actvprof=,0.048889, id=,S07, PRDE,actvstrat=,0.549218, actvprof=,0.427919, id=,S08, PRDE,actvstrat=,0.682686, actvprof=,0.109723, id=,S09, PRDE,actvstrat=,0.388365, actvprof=,0.005139, id=,S10, PRDE,actvstrat=,-0.432727, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.827466, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.808211, best_B_strat=,-0.239626, best_S_id=,S01, best_S_prof=,11.376733, best_S_strat=,0.868793, 
t=,25200, id=,B00, PRDE,actvstrat=,0.968523, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.830081, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.105628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.087501, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.531673, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.363071, id=,B08, PRDE,actvstrat=,-0.263761, actvprof=,0.724175, id=,B09, PRDE,actvstrat=,0.565691, actvprof=,3.292538, id=,B10, PRDE,actvstrat=,-0.350440, actvprof=,2.648920, id=,B11, PRDE,actvstrat=,-0.676570, actvprof=,4.161715, id=,S00, PRDE,actvstrat=,0.116632, actvprof=,7.591477, id=,S01, PRDE,actvstrat=,-0.635762, actvprof=,2.252804, id=,S02, PRDE,actvstrat=,-0.767984, actvprof=,0.882788, id=,S03, PRDE,actvstrat=,0.853820, actvprof=,5.506175, id=,S04, PRDE,actvstrat=,0.446238, actvprof=,1.964467, id=,S05, PRDE,actvstrat=,0.217927, actvprof=,0.704175, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.269737, id=,S07, PRDE,actvstrat=,0.526333, actvprof=,0.064723, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.099446, id=,S09, PRDE,actvstrat=,-0.067361, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.092855, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.161715, best_B_strat=,-0.676570, best_S_id=,S00, best_S_prof=,7.591477, best_S_strat=,0.116632, 
t=,28800, id=,B00, PRDE,actvstrat=,0.968523, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.830081, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.105628, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.009722, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.105556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.519170, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.366397, id=,B08, PRDE,actvstrat=,-0.263761, actvprof=,0.687643, id=,B09, PRDE,actvstrat=,0.565691, actvprof=,3.245297, id=,B10, PRDE,actvstrat=,-0.350440, actvprof=,2.755572, id=,B11, PRDE,actvstrat=,-0.676570, actvprof=,4.321275, id=,S00, PRDE,actvstrat=,0.116632, actvprof=,7.334626, id=,S01, PRDE,actvstrat=,-0.635762, actvprof=,2.458209, id=,S02, PRDE,actvstrat=,-0.767984, actvprof=,0.940144, id=,S03, PRDE,actvstrat=,0.853820, actvprof=,5.502810, id=,S04, PRDE,actvstrat=,0.446238, actvprof=,1.998900, id=,S05, PRDE,actvstrat=,0.217927, actvprof=,0.678198, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.294452, id=,S07, PRDE,actvstrat=,0.526333, actvprof=,0.067778, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.100417, id=,S09, PRDE,actvstrat=,-0.067361, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.092855, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.321275, best_B_strat=,-0.676570, best_S_id=,S00, best_S_prof=,7.334626, best_S_strat=,0.116632, 
t=,32400, id=,B00, PRDE,actvstrat=,0.766601, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.924114, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.365363, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.568822, actvprof=,0.027500, id=,B04, PRDE,actvstrat=,-0.364422, actvprof=,0.033611, id=,B05, PRDE,actvstrat=,-0.207257, actvprof=,0.166944, id=,B06, PRDE,actvstrat=,-0.945697, actvprof=,1.026389, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.408056, id=,B08, PRDE,actvstrat=,0.129445, actvprof=,2.581111, id=,B09, PRDE,actvstrat=,-0.160849, actvprof=,3.060556, id=,B10, PRDE,actvstrat=,-0.350440, actvprof=,4.459444, id=,B11, PRDE,actvstrat=,-0.660901, actvprof=,5.926667, id=,S00, PRDE,actvstrat=,0.040320, actvprof=,6.055833, id=,S01, PRDE,actvstrat=,0.868793, actvprof=,8.261944, id=,S02, PRDE,actvstrat=,-0.506963, actvprof=,1.338333, id=,S03, PRDE,actvstrat=,-0.087153, actvprof=,1.162778, id=,S04, PRDE,actvstrat=,0.977196, actvprof=,2.948333, id=,S05, PRDE,actvstrat=,0.362349, actvprof=,0.818611, id=,S06, PRDE,actvstrat=,-0.680173, actvprof=,0.040833, id=,S07, PRDE,actvstrat=,0.402223, actvprof=,0.135278, id=,S08, PRDE,actvstrat=,0.385353, actvprof=,0.016389, id=,S09, PRDE,actvstrat=,0.031818, actvprof=,0.004167, id=,S10, PRDE,actvstrat=,0.492557, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.788033, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.926667, best_B_strat=,-0.660901, best_S_id=,S01, best_S_prof=,8.261944, best_S_strat=,0.868793, 
t=,36000, id=,B00, PRDE,actvstrat=,0.844101, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.404037, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.836722, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.941554, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.205920, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.530167, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.196051, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.078786, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.421265, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.442968, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.042411, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.518401, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.540831, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.039710, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.556484, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.844101, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.421265, 
