t=,1, id=,B00, PRDE,actvstrat=,-0.453522, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.904798, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.808045, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.738083, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.832929, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.374970, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.463890, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.383378, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.235947, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.454072, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.852703, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.380550, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.587928, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.623274, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.921354, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.352579, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.469529, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.301649, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.997224, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.283148, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.644174, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.439452, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.443809, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.252354, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.453522, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.587928, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.453522, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.904798, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.808045, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.738083, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,-0.832929, actvprof=,0.046111, id=,B05, PRDE,actvstrat=,0.374970, actvprof=,0.236942, id=,B06, PRDE,actvstrat=,-0.463890, actvprof=,0.202220, id=,B07, PRDE,actvstrat=,-0.383378, actvprof=,0.608604, id=,B08, PRDE,actvstrat=,0.235947, actvprof=,1.878312, id=,B09, PRDE,actvstrat=,0.454072, actvprof=,3.537181, id=,B10, PRDE,actvstrat=,0.852703, actvprof=,5.049108, id=,B11, PRDE,actvstrat=,-0.380550, actvprof=,4.932998, id=,S00, PRDE,actvstrat=,-0.587928, actvprof=,3.755512, id=,S01, PRDE,actvstrat=,0.623274, actvprof=,7.936575, id=,S02, PRDE,actvstrat=,-0.921354, actvprof=,1.144153, id=,S03, PRDE,actvstrat=,0.352579, actvprof=,3.279129, id=,S04, PRDE,actvstrat=,-0.469529, actvprof=,0.606382, id=,S05, PRDE,actvstrat=,0.301649, actvprof=,1.399984, id=,S06, PRDE,actvstrat=,0.997224, actvprof=,1.488316, id=,S07, PRDE,actvstrat=,0.283148, actvprof=,0.326107, id=,S08, PRDE,actvstrat=,-0.644174, actvprof=,0.023055, id=,S09, PRDE,actvstrat=,-0.439452, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.443809, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.252354, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.049108, best_B_strat=,0.852703, best_S_id=,S01, best_S_prof=,7.936575, best_S_strat=,0.623274, 
t=,7200, id=,B00, PRDE,actvstrat=,0.854912, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.922896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.388630, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.989152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.019531, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.495614, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.129996, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.011370, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.811032, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.320275, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.128898, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.324315, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.459276, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.340096, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.439890, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.980596, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.282542, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.623076, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.272233, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.907814, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.031565, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.862372, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.488153, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.580244, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.854912, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.459276, 
t=,10800, id=,B00, PRDE,actvstrat=,0.854912, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.922896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.388630, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.989152, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,-0.019531, actvprof=,0.022778, id=,B05, PRDE,actvstrat=,0.495614, actvprof=,0.174720, id=,B06, PRDE,actvstrat=,-0.129996, actvprof=,0.135554, id=,B07, PRDE,actvstrat=,0.011370, actvprof=,0.651381, id=,B08, PRDE,actvstrat=,-0.811032, actvprof=,1.180264, id=,B09, PRDE,actvstrat=,-0.320275, actvprof=,1.946089, id=,B10, PRDE,actvstrat=,-0.128898, actvprof=,3.396350, id=,B11, PRDE,actvstrat=,-0.324315, actvprof=,4.705501, id=,S00, PRDE,actvstrat=,0.459276, actvprof=,7.693244, id=,S01, PRDE,actvstrat=,-0.340096, actvprof=,1.948033, id=,S02, PRDE,actvstrat=,-0.439890, actvprof=,1.181931, id=,S03, PRDE,actvstrat=,-0.980596, actvprof=,1.746924, id=,S04, PRDE,actvstrat=,-0.282542, actvprof=,0.442217, id=,S05, PRDE,actvstrat=,0.623076, actvprof=,1.059154, id=,S06, PRDE,actvstrat=,-0.272233, actvprof=,0.071666, id=,S07, PRDE,actvstrat=,0.907814, actvprof=,0.431939, id=,S08, PRDE,actvstrat=,0.031565, actvprof=,0.013333, id=,S09, PRDE,actvstrat=,0.862372, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,0.488153, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.580244, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.705501, best_B_strat=,-0.324315, best_S_id=,S00, best_S_prof=,7.693244, best_S_strat=,0.459276, 
t=,14400, id=,B00, PRDE,actvstrat=,0.520612, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.565179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.612331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.989152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.564426, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.957568, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.234271, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.120762, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.201434, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.279233, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.128898, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.526377, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.905074, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.991215, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.588001, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.611508, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.235188, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.277828, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.642733, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.021495, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.031565, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.669172, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.670268, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.813157, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.520612, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.905074, 
t=,18000, id=,B00, PRDE,actvstrat=,0.520612, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.565179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.612331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.989152, actvprof=,0.020000, id=,B04, PRDE,actvstrat=,-0.564426, actvprof=,0.012222, id=,B05, PRDE,actvstrat=,0.957568, actvprof=,0.345278, id=,B06, PRDE,actvstrat=,0.234271, actvprof=,0.447778, id=,B07, PRDE,actvstrat=,-0.120762, actvprof=,0.679722, id=,B08, PRDE,actvstrat=,-0.201434, actvprof=,1.262778, id=,B09, PRDE,actvstrat=,-0.279233, actvprof=,1.755278, id=,B10, PRDE,actvstrat=,-0.128898, actvprof=,3.275278, id=,B11, PRDE,actvstrat=,0.526377, actvprof=,5.348333, id=,S00, PRDE,actvstrat=,-0.905074, actvprof=,1.476111, id=,S01, PRDE,actvstrat=,0.991215, actvprof=,9.366111, id=,S02, PRDE,actvstrat=,0.588001, actvprof=,6.173056, id=,S03, PRDE,actvstrat=,0.611508, actvprof=,4.388889, id=,S04, PRDE,actvstrat=,-0.235188, actvprof=,0.876111, id=,S05, PRDE,actvstrat=,-0.277828, actvprof=,0.433056, id=,S06, PRDE,actvstrat=,-0.642733, actvprof=,0.118056, id=,S07, PRDE,actvstrat=,0.021495, actvprof=,0.282778, id=,S08, PRDE,actvstrat=,0.031565, actvprof=,0.066111, id=,S09, PRDE,actvstrat=,0.669172, actvprof=,0.086111, id=,S10, PRDE,actvstrat=,0.670268, actvprof=,0.007500, id=,S11, PRDE,actvstrat=,0.813157, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.348333, best_B_strat=,0.526377, best_S_id=,S01, best_S_prof=,9.366111, best_S_strat=,0.991215, 
t=,21600, id=,B00, PRDE,actvstrat=,0.520612, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.565179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.612331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.989152, actvprof=,0.024445, id=,B04, PRDE,actvstrat=,-0.564426, actvprof=,0.014583, id=,B05, PRDE,actvstrat=,0.957568, actvprof=,0.364030, id=,B06, PRDE,actvstrat=,0.234271, actvprof=,0.436530, id=,B07, PRDE,actvstrat=,-0.120762, actvprof=,0.657920, id=,B08, PRDE,actvstrat=,-0.201434, actvprof=,1.239452, id=,B09, PRDE,actvstrat=,-0.279233, actvprof=,1.860983, id=,B10, PRDE,actvstrat=,-0.128898, actvprof=,3.261408, id=,B11, PRDE,actvstrat=,0.526377, actvprof=,5.346420, id=,S00, PRDE,actvstrat=,-0.905074, actvprof=,1.167646, id=,S01, PRDE,actvstrat=,0.991215, actvprof=,9.319082, id=,S02, PRDE,actvstrat=,0.588001, actvprof=,6.399343, id=,S03, PRDE,actvstrat=,0.611508, actvprof=,4.473637, id=,S04, PRDE,actvstrat=,-0.235188, actvprof=,0.811949, id=,S05, PRDE,actvstrat=,-0.277828, actvprof=,0.480142, id=,S06, PRDE,actvstrat=,-0.642733, actvprof=,0.151945, id=,S07, PRDE,actvstrat=,0.021495, actvprof=,0.255557, id=,S08, PRDE,actvstrat=,0.031565, actvprof=,0.079862, id=,S09, PRDE,actvstrat=,0.669172, actvprof=,0.078750, id=,S10, PRDE,actvstrat=,0.670268, actvprof=,0.014445, id=,S11, PRDE,actvstrat=,0.813157, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.346420, best_B_strat=,0.526377, best_S_id=,S01, best_S_prof=,9.319082, best_S_strat=,0.991215, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.655102, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.062726, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.161497, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.007252, actvprof=,0.012222, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.318615, id=,B07, PRDE,actvstrat=,0.972974, actvprof=,1.086957, id=,B08, PRDE,actvstrat=,0.478278, actvprof=,2.116136, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.544208, id=,B10, PRDE,actvstrat=,-0.815260, actvprof=,1.840855, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.039514, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,9.089550, id=,S01, PRDE,actvstrat=,0.181238, actvprof=,5.510342, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.166738, id=,S03, PRDE,actvstrat=,-0.514915, actvprof=,0.493895, id=,S04, PRDE,actvstrat=,0.495983, actvprof=,1.820299, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.008079, id=,S06, PRDE,actvstrat=,0.344345, actvprof=,0.110557, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.096390, id=,S08, PRDE,actvstrat=,-0.318226, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.154399, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.039514, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.089550, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.655102, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.062726, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.161497, actvprof=,0.006667, id=,B05, PRDE,actvstrat=,0.007252, actvprof=,0.019306, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.312085, id=,B07, PRDE,actvstrat=,0.972974, actvprof=,1.058756, id=,B08, PRDE,actvstrat=,0.478278, actvprof=,2.075568, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.527243, id=,B10, PRDE,actvstrat=,-0.815260, actvprof=,1.894039, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.305314, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,9.284498, id=,S01, PRDE,actvstrat=,0.181238, actvprof=,5.453365, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.171563, id=,S03, PRDE,actvstrat=,-0.514915, actvprof=,0.607642, id=,S04, PRDE,actvstrat=,0.495983, actvprof=,1.899872, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,1.968484, id=,S06, PRDE,actvstrat=,0.344345, actvprof=,0.127640, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.094167, id=,S08, PRDE,actvstrat=,-0.318226, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.154399, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.305314, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.284498, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.120924, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.922896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.667458, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.344106, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,-0.019531, actvprof=,0.055278, id=,B05, PRDE,actvstrat=,0.525851, actvprof=,0.238058, id=,B06, PRDE,actvstrat=,-0.129996, actvprof=,0.290837, id=,B07, PRDE,actvstrat=,0.972974, actvprof=,1.262515, id=,B08, PRDE,actvstrat=,0.644509, actvprof=,2.851977, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.349495, id=,B10, PRDE,actvstrat=,-0.397826, actvprof=,3.930879, id=,B11, PRDE,actvstrat=,0.827062, actvprof=,7.286473, id=,S00, PRDE,actvstrat=,-0.815981, actvprof=,2.188914, id=,S01, PRDE,actvstrat=,0.623274, actvprof=,7.784535, id=,S02, PRDE,actvstrat=,-0.920639, actvprof=,1.311404, id=,S03, PRDE,actvstrat=,0.611508, actvprof=,3.906990, id=,S04, PRDE,actvstrat=,0.974507, actvprof=,3.712821, id=,S05, PRDE,actvstrat=,-0.424284, actvprof=,0.251947, id=,S06, PRDE,actvstrat=,0.997224, actvprof=,1.260015, id=,S07, PRDE,actvstrat=,0.907814, actvprof=,0.906122, id=,S08, PRDE,actvstrat=,0.702318, actvprof=,0.191391, id=,S09, PRDE,actvstrat=,0.630974, actvprof=,0.024723, id=,S10, PRDE,actvstrat=,0.488153, actvprof=,0.005000, id=,S11, PRDE,actvstrat=,-0.872547, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.286473, best_B_strat=,0.827062, best_S_id=,S01, best_S_prof=,7.784535, best_S_strat=,0.623274, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.120924, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.922896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.667458, actvprof=,0.004306, id=,B03, PRDE,actvstrat=,-0.344106, actvprof=,0.007361, id=,B04, PRDE,actvstrat=,-0.019531, actvprof=,0.057778, id=,B05, PRDE,actvstrat=,0.525851, actvprof=,0.268613, id=,B06, PRDE,actvstrat=,-0.129996, actvprof=,0.358058, id=,B07, PRDE,actvstrat=,0.972974, actvprof=,1.261535, id=,B08, PRDE,actvstrat=,0.644509, actvprof=,2.865017, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.220302, id=,B10, PRDE,actvstrat=,-0.397826, actvprof=,4.039746, id=,B11, PRDE,actvstrat=,0.827062, actvprof=,7.299764, id=,S00, PRDE,actvstrat=,-0.815981, actvprof=,2.374736, id=,S01, PRDE,actvstrat=,0.623274, actvprof=,7.726850, id=,S02, PRDE,actvstrat=,-0.920639, actvprof=,1.240979, id=,S03, PRDE,actvstrat=,0.611508, actvprof=,3.856133, id=,S04, PRDE,actvstrat=,0.974507, actvprof=,3.581826, id=,S05, PRDE,actvstrat=,-0.424284, actvprof=,0.286529, id=,S06, PRDE,actvstrat=,0.997224, actvprof=,1.246118, id=,S07, PRDE,actvstrat=,0.907814, actvprof=,0.913339, id=,S08, PRDE,actvstrat=,0.702318, actvprof=,0.170418, id=,S09, PRDE,actvstrat=,0.630974, actvprof=,0.019445, id=,S10, PRDE,actvstrat=,0.488153, actvprof=,0.003472, id=,S11, PRDE,actvstrat=,-0.872547, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.299764, best_B_strat=,0.827062, best_S_id=,S01, best_S_prof=,7.726850, best_S_strat=,0.623274, 
