t=,0, id=,B00, PRDE,actvstrat=,-0.009741, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.615692, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.337637, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.365956, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.420259, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.566134, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.900410, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.336033, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.612859, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.014184, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.175231, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.808327, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.449505, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.868963, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.342874, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.587875, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.374036, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.726497, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.675036, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.497361, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.144010, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.334108, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.616157, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.613925, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.009741, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.449505, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.009741, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.615692, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.337637, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.365956, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,0.420259, actvprof=,0.099721, id=,B05, PRDE,actvstrat=,0.566134, actvprof=,0.485272, id=,B06, PRDE,actvstrat=,-0.900410, actvprof=,1.129431, id=,B07, PRDE,actvstrat=,0.336033, actvprof=,1.710814, id=,B08, PRDE,actvstrat=,-0.612859, actvprof=,2.078309, id=,B09, PRDE,actvstrat=,0.014184, actvprof=,3.523293, id=,B10, PRDE,actvstrat=,-0.175231, actvprof=,4.709945, id=,B11, PRDE,actvstrat=,-0.808327, actvprof=,6.511314, id=,S00, PRDE,actvstrat=,0.449505, actvprof=,6.906031, id=,S01, PRDE,actvstrat=,0.868963, actvprof=,7.896297, id=,S02, PRDE,actvstrat=,0.342874, actvprof=,3.152741, id=,S03, PRDE,actvstrat=,0.587875, actvprof=,2.857189, id=,S04, PRDE,actvstrat=,-0.374036, actvprof=,0.338607, id=,S05, PRDE,actvstrat=,0.726497, actvprof=,1.309429, id=,S06, PRDE,actvstrat=,0.675036, actvprof=,0.406106, id=,S07, PRDE,actvstrat=,-0.497361, actvprof=,0.023611, id=,S08, PRDE,actvstrat=,0.144010, actvprof=,0.015278, id=,S09, PRDE,actvstrat=,0.334108, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,0.616157, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.613925, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.511314, best_B_strat=,-0.808327, best_S_id=,S01, best_S_prof=,7.896297, best_S_strat=,0.868963, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.001033, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.855495, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.735554, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.246950, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.497729, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.416462, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.341319, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.384632, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.373686, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.892252, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.523769, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.032735, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.349367, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.335205, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.546766, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.152998, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.497790, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.488166, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.501252, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.523047, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.486954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.453904, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.035349, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.517904, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.001033, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.349367, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.001033, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.855495, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.735554, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.246950, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.497729, actvprof=,0.017778, id=,B05, PRDE,actvstrat=,-0.416462, actvprof=,0.095277, id=,B06, PRDE,actvstrat=,-0.341319, actvprof=,0.209998, id=,B07, PRDE,actvstrat=,-0.384632, actvprof=,0.520272, id=,B08, PRDE,actvstrat=,0.373686, actvprof=,1.732480, id=,B09, PRDE,actvstrat=,0.892252, actvprof=,2.844967, id=,B10, PRDE,actvstrat=,-0.523769, actvprof=,2.715524, id=,B11, PRDE,actvstrat=,0.032735, actvprof=,4.176618, id=,S00, PRDE,actvstrat=,-0.349367, actvprof=,3.840233, id=,S01, PRDE,actvstrat=,-0.335205, actvprof=,2.966355, id=,S02, PRDE,actvstrat=,0.546766, actvprof=,6.317427, id=,S03, PRDE,actvstrat=,-0.152998, actvprof=,1.568593, id=,S04, PRDE,actvstrat=,0.497790, actvprof=,3.126908, id=,S05, PRDE,actvstrat=,0.488166, actvprof=,1.892478, id=,S06, PRDE,actvstrat=,-0.501252, actvprof=,0.189998, id=,S07, PRDE,actvstrat=,0.523047, actvprof=,0.467495, id=,S08, PRDE,actvstrat=,-0.486954, actvprof=,0.016944, id=,S09, PRDE,actvstrat=,-0.453904, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.035349, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.517904, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.176618, best_B_strat=,0.032735, best_S_id=,S02, best_S_prof=,6.317427, best_S_strat=,0.546766, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.922358, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.011126, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.929496, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.605589, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.491467, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.138457, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.126420, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.182584, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.000116, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.867263, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.523769, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.615133, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.424095, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.412132, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.558118, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.134257, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.847745, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.336659, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.675036, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.523047, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.486954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.115197, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.571133, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.957546, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.922358, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.424095, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.922358, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.011126, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.929496, actvprof=,0.019722, id=,B03, PRDE,actvstrat=,-0.605589, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,0.491467, actvprof=,0.180553, id=,B05, PRDE,actvstrat=,-0.138457, actvprof=,0.238886, id=,B06, PRDE,actvstrat=,-0.126420, actvprof=,0.644437, id=,B07, PRDE,actvstrat=,-0.182584, actvprof=,1.494705, id=,B08, PRDE,actvstrat=,-0.000116, actvprof=,2.570526, id=,B09, PRDE,actvstrat=,-0.867263, actvprof=,3.897455, id=,B10, PRDE,actvstrat=,-0.523769, actvprof=,4.789389, id=,B11, PRDE,actvstrat=,0.615133, actvprof=,7.861298, id=,S00, PRDE,actvstrat=,0.424095, actvprof=,6.621034, id=,S01, PRDE,actvstrat=,0.412132, actvprof=,4.803000, id=,S02, PRDE,actvstrat=,0.558118, actvprof=,3.837733, id=,S03, PRDE,actvstrat=,0.134257, actvprof=,1.612481, id=,S04, PRDE,actvstrat=,0.847745, actvprof=,2.900244, id=,S05, PRDE,actvstrat=,-0.336659, actvprof=,0.282775, id=,S06, PRDE,actvstrat=,0.675036, actvprof=,0.768602, id=,S07, PRDE,actvstrat=,0.523047, actvprof=,0.273330, id=,S08, PRDE,actvstrat=,-0.486954, actvprof=,0.021111, id=,S09, PRDE,actvstrat=,0.115197, actvprof=,0.011389, id=,S10, PRDE,actvstrat=,-0.571133, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.957546, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.861298, best_B_strat=,0.615133, best_S_id=,S00, best_S_prof=,6.621034, best_S_strat=,0.424095, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.922358, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.011126, actvprof=,0.000417, id=,B02, PRDE,actvstrat=,0.929496, actvprof=,0.015556, id=,B03, PRDE,actvstrat=,-0.605589, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,0.491467, actvprof=,0.184029, id=,B05, PRDE,actvstrat=,-0.138457, actvprof=,0.254863, id=,B06, PRDE,actvstrat=,-0.126420, actvprof=,0.638476, id=,B07, PRDE,actvstrat=,-0.182584, actvprof=,1.436814, id=,B08, PRDE,actvstrat=,-0.000116, actvprof=,2.550015, id=,B09, PRDE,actvstrat=,-0.867263, actvprof=,3.926828, id=,B10, PRDE,actvstrat=,-0.523769, actvprof=,4.873362, id=,B11, PRDE,actvstrat=,0.615133, actvprof=,7.787267, id=,S00, PRDE,actvstrat=,0.424095, actvprof=,6.502677, id=,S01, PRDE,actvstrat=,0.412132, actvprof=,4.978084, id=,S02, PRDE,actvstrat=,0.558118, actvprof=,4.149607, id=,S03, PRDE,actvstrat=,0.134257, actvprof=,1.674454, id=,S04, PRDE,actvstrat=,0.847745, actvprof=,2.890433, id=,S05, PRDE,actvstrat=,-0.336659, actvprof=,0.219307, id=,S06, PRDE,actvstrat=,0.675036, actvprof=,0.668337, id=,S07, PRDE,actvstrat=,0.523047, actvprof=,0.253196, id=,S08, PRDE,actvstrat=,-0.486954, actvprof=,0.018472, id=,S09, PRDE,actvstrat=,0.115197, actvprof=,0.017361, id=,S10, PRDE,actvstrat=,-0.571133, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.957546, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.787267, best_B_strat=,0.615133, best_S_id=,S00, best_S_prof=,6.502677, best_S_strat=,0.424095, 
t=,25200, id=,B00, PRDE,actvstrat=,0.172838, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.211994, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.152672, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.003271, actvprof=,0.005556, id=,B04, PRDE,actvstrat=,0.577301, actvprof=,0.110279, id=,B05, PRDE,actvstrat=,0.299478, actvprof=,0.188058, id=,B06, PRDE,actvstrat=,0.468151, actvprof=,0.858621, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.084191, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.822266, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.369507, id=,B10, PRDE,actvstrat=,-0.207343, actvprof=,4.805333, id=,B11, PRDE,actvstrat=,-0.934454, actvprof=,4.441440, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.848968, id=,S01, PRDE,actvstrat=,0.892079, actvprof=,8.309818, id=,S02, PRDE,actvstrat=,0.742086, actvprof=,5.437007, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.838088, id=,S04, PRDE,actvstrat=,-0.962415, actvprof=,0.290559, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.582796, id=,S06, PRDE,actvstrat=,0.532721, actvprof=,0.182502, id=,S07, PRDE,actvstrat=,-0.208248, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.619801, actvprof=,0.013889, id=,S09, PRDE,actvstrat=,0.433383, actvprof=,0.001667, id=,S10, PRDE,actvstrat=,0.264308, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.369507, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,8.309818, best_S_strat=,0.892079, 
t=,28800, id=,B00, PRDE,actvstrat=,0.172838, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.211994, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.152672, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.003271, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,0.577301, actvprof=,0.110417, id=,B05, PRDE,actvstrat=,0.299478, actvprof=,0.185696, id=,B06, PRDE,actvstrat=,0.468151, actvprof=,0.857227, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,2.131401, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.733355, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.356003, id=,B10, PRDE,actvstrat=,-0.207343, actvprof=,4.977807, id=,B11, PRDE,actvstrat=,-0.934454, actvprof=,4.655444, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.923929, id=,S01, PRDE,actvstrat=,0.892079, actvprof=,8.332132, id=,S02, PRDE,actvstrat=,0.742086, actvprof=,5.436004, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.867655, id=,S04, PRDE,actvstrat=,-0.962415, actvprof=,0.282085, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.587648, id=,S06, PRDE,actvstrat=,0.532721, actvprof=,0.175557, id=,S07, PRDE,actvstrat=,-0.208248, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.619801, actvprof=,0.007778, id=,S09, PRDE,actvstrat=,0.433383, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,0.264308, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.356003, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,8.332132, best_S_strat=,0.892079, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.308944, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.751247, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.426714, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.015044, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.577301, actvprof=,0.048612, id=,B05, PRDE,actvstrat=,-0.142158, actvprof=,0.037501, id=,B06, PRDE,actvstrat=,-0.926377, actvprof=,0.625292, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.479733, id=,B08, PRDE,actvstrat=,-0.116061, actvprof=,0.849742, id=,B09, PRDE,actvstrat=,-0.497153, actvprof=,1.305030, id=,B10, PRDE,actvstrat=,-0.207343, actvprof=,2.445057, id=,B11, PRDE,actvstrat=,-0.526403, actvprof=,3.755087, id=,S00, PRDE,actvstrat=,-0.530036, actvprof=,3.537860, id=,S01, PRDE,actvstrat=,-0.147352, actvprof=,3.504803, id=,S02, PRDE,actvstrat=,0.890502, actvprof=,8.439918, id=,S03, PRDE,actvstrat=,-0.937140, actvprof=,0.381398, id=,S04, PRDE,actvstrat=,0.550037, actvprof=,3.073404, id=,S05, PRDE,actvstrat=,-0.298204, actvprof=,0.220561, id=,S06, PRDE,actvstrat=,-0.647845, actvprof=,0.045279, id=,S07, PRDE,actvstrat=,0.249931, actvprof=,0.149170, id=,S08, PRDE,actvstrat=,0.498963, actvprof=,0.049168, id=,S09, PRDE,actvstrat=,0.115197, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,-0.035349, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.517904, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.755087, best_B_strat=,-0.526403, best_S_id=,S02, best_S_prof=,8.439918, best_S_strat=,0.890502, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.308944, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.751247, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.426714, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.015044, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,0.577301, actvprof=,0.039862, id=,B05, PRDE,actvstrat=,-0.142158, actvprof=,0.051251, id=,B06, PRDE,actvstrat=,-0.926377, actvprof=,0.618063, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.476117, id=,B08, PRDE,actvstrat=,-0.116061, actvprof=,0.824593, id=,B09, PRDE,actvstrat=,-0.497153, actvprof=,1.293765, id=,B10, PRDE,actvstrat=,-0.207343, actvprof=,2.362944, id=,B11, PRDE,actvstrat=,-0.526403, actvprof=,3.679765, id=,S00, PRDE,actvstrat=,-0.530036, actvprof=,3.389900, id=,S01, PRDE,actvstrat=,-0.147352, actvprof=,3.617403, id=,S02, PRDE,actvstrat=,0.890502, actvprof=,8.360513, id=,S03, PRDE,actvstrat=,-0.937140, actvprof=,0.364310, id=,S04, PRDE,actvstrat=,0.550037, actvprof=,2.965590, id=,S05, PRDE,actvstrat=,-0.298204, actvprof=,0.245975, id=,S06, PRDE,actvstrat=,-0.647845, actvprof=,0.060834, id=,S07, PRDE,actvstrat=,0.249931, actvprof=,0.134585, id=,S08, PRDE,actvstrat=,0.498963, actvprof=,0.050139, id=,S09, PRDE,actvstrat=,0.115197, actvprof=,0.004444, id=,S10, PRDE,actvstrat=,-0.035349, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.517904, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.679765, best_B_strat=,-0.526403, best_S_id=,S02, best_S_prof=,8.360513, best_S_strat=,0.890502, 
