t=,0, id=,B00, PRDE,actvstrat=,0.858492, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.060171, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.632974, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.354604, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.748835, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.190208, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.128328, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.602268, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.636070, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.562345, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.440213, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.521048, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.635325, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.724889, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.570555, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.594980, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.192675, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.026043, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.449213, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.490800, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.523739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.699317, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.015512, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.232939, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.858492, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.635325, 
t=,3600, id=,B00, PRDE,actvstrat=,0.858492, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.060171, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.632974, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.354604, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.748835, actvprof=,0.116386, id=,B05, PRDE,actvstrat=,-0.190208, actvprof=,0.100553, id=,B06, PRDE,actvstrat=,-0.128328, actvprof=,0.294438, id=,B07, PRDE,actvstrat=,0.602268, actvprof=,1.197750, id=,B08, PRDE,actvstrat=,0.636070, actvprof=,2.159950, id=,B09, PRDE,actvstrat=,0.562345, actvprof=,3.296035, id=,B10, PRDE,actvstrat=,-0.440213, actvprof=,2.883544, id=,B11, PRDE,actvstrat=,0.521048, actvprof=,5.504873, id=,S00, PRDE,actvstrat=,-0.635325, actvprof=,4.104627, id=,S01, PRDE,actvstrat=,0.724889, actvprof=,9.220064, id=,S02, PRDE,actvstrat=,0.570555, actvprof=,6.415685, id=,S03, PRDE,actvstrat=,-0.594980, actvprof=,1.147196, id=,S04, PRDE,actvstrat=,0.192675, actvprof=,2.436610, id=,S05, PRDE,actvstrat=,-0.026043, actvprof=,1.156640, id=,S06, PRDE,actvstrat=,0.449213, actvprof=,0.954422, id=,S07, PRDE,actvstrat=,0.490800, actvprof=,0.457212, id=,S08, PRDE,actvstrat=,0.523739, actvprof=,0.161663, id=,S09, PRDE,actvstrat=,-0.699317, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.015512, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.232939, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.504873, best_B_strat=,0.521048, best_S_id=,S01, best_S_prof=,9.220064, best_S_strat=,0.724889, 
t=,7200, id=,B00, PRDE,actvstrat=,0.745231, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.219626, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849708, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.104098, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.764896, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.056287, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.607286, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.662016, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.845666, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.557186, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.186745, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.965197, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.109801, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.384628, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.463947, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.560134, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.786073, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.575239, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.730973, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.097915, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.365653, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.258356, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.977641, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.415977, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.745231, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.109801, 
t=,10800, id=,B00, PRDE,actvstrat=,0.745231, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.219626, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849708, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.104098, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,-0.764896, actvprof=,0.044999, id=,B05, PRDE,actvstrat=,0.056287, actvprof=,0.201664, id=,B06, PRDE,actvstrat=,0.607286, actvprof=,0.914989, id=,B07, PRDE,actvstrat=,-0.662016, actvprof=,0.837490, id=,B08, PRDE,actvstrat=,-0.845666, actvprof=,1.602481, id=,B09, PRDE,actvstrat=,-0.557186, actvprof=,2.682469, id=,B10, PRDE,actvstrat=,0.186745, actvprof=,4.861055, id=,B11, PRDE,actvstrat=,0.965197, actvprof=,5.997708, id=,S00, PRDE,actvstrat=,0.109801, actvprof=,6.376871, id=,S01, PRDE,actvstrat=,-0.384628, actvprof=,2.717469, id=,S02, PRDE,actvstrat=,0.463947, actvprof=,4.858833, id=,S03, PRDE,actvstrat=,0.560134, actvprof=,3.228574, id=,S04, PRDE,actvstrat=,-0.786073, actvprof=,0.548049, id=,S05, PRDE,actvstrat=,0.575239, actvprof=,1.488316, id=,S06, PRDE,actvstrat=,0.730973, actvprof=,1.442761, id=,S07, PRDE,actvstrat=,0.097915, actvprof=,0.188609, id=,S08, PRDE,actvstrat=,-0.365653, actvprof=,0.016944, id=,S09, PRDE,actvstrat=,-0.258356, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,0.977641, actvprof=,0.133054, id=,S11, PRDE,actvstrat=,0.415977, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.997708, best_B_strat=,0.965197, best_S_id=,S00, best_S_prof=,6.376871, best_S_strat=,0.109801, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.605693, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498976, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.151860, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.322224, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.548224, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.754622, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.171977, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.328678, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.886579, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.617799, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.892679, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.511346, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.457245, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.854056, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.936684, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.050122, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.762050, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.018003, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.685055, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.605748, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.523739, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.006047, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.038007, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.868221, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.605693, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.457245, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.605693, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498976, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.151860, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.322224, actvprof=,0.007222, id=,B04, PRDE,actvstrat=,-0.548224, actvprof=,0.006944, id=,B05, PRDE,actvstrat=,0.754622, actvprof=,0.190556, id=,B06, PRDE,actvstrat=,0.171977, actvprof=,0.307500, id=,B07, PRDE,actvstrat=,-0.328678, actvprof=,0.375833, id=,B08, PRDE,actvstrat=,-0.886579, actvprof=,1.403889, id=,B09, PRDE,actvstrat=,0.617799, actvprof=,3.085278, id=,B10, PRDE,actvstrat=,0.892679, actvprof=,3.953056, id=,B11, PRDE,actvstrat=,0.511346, actvprof=,5.573889, id=,S00, PRDE,actvstrat=,0.457245, actvprof=,9.876944, id=,S01, PRDE,actvstrat=,-0.854056, actvprof=,1.823056, id=,S02, PRDE,actvstrat=,-0.936684, actvprof=,2.258333, id=,S03, PRDE,actvstrat=,-0.050122, actvprof=,2.724444, id=,S04, PRDE,actvstrat=,0.762050, actvprof=,4.275000, id=,S05, PRDE,actvstrat=,0.018003, actvprof=,1.274722, id=,S06, PRDE,actvstrat=,0.685055, actvprof=,1.794444, id=,S07, PRDE,actvstrat=,0.605748, actvprof=,0.714722, id=,S08, PRDE,actvstrat=,0.523739, actvprof=,0.247778, id=,S09, PRDE,actvstrat=,0.006047, actvprof=,0.025556, id=,S10, PRDE,actvstrat=,0.038007, actvprof=,0.006667, id=,S11, PRDE,actvstrat=,-0.868221, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.573889, best_B_strat=,0.511346, best_S_id=,S00, best_S_prof=,9.876944, best_S_strat=,0.457245, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.605693, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498976, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.151860, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.322224, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,-0.548224, actvprof=,0.010556, id=,B05, PRDE,actvstrat=,0.754622, actvprof=,0.202640, id=,B06, PRDE,actvstrat=,0.171977, actvprof=,0.323196, id=,B07, PRDE,actvstrat=,-0.328678, actvprof=,0.389724, id=,B08, PRDE,actvstrat=,-0.886579, actvprof=,1.421397, id=,B09, PRDE,actvstrat=,0.617799, actvprof=,3.060018, id=,B10, PRDE,actvstrat=,0.892679, actvprof=,3.918495, id=,B11, PRDE,actvstrat=,0.511346, actvprof=,5.747255, id=,S00, PRDE,actvstrat=,0.457245, actvprof=,9.877835, id=,S01, PRDE,actvstrat=,-0.854056, actvprof=,1.633343, id=,S02, PRDE,actvstrat=,-0.936684, actvprof=,2.183485, id=,S03, PRDE,actvstrat=,-0.050122, actvprof=,2.686404, id=,S04, PRDE,actvstrat=,0.762050, actvprof=,4.320719, id=,S05, PRDE,actvstrat=,0.018003, actvprof=,1.352091, id=,S06, PRDE,actvstrat=,0.685055, actvprof=,1.745982, id=,S07, PRDE,actvstrat=,0.605748, actvprof=,0.813755, id=,S08, PRDE,actvstrat=,0.523739, actvprof=,0.240279, id=,S09, PRDE,actvstrat=,0.006047, actvprof=,0.024167, id=,S10, PRDE,actvstrat=,0.038007, actvprof=,0.005139, id=,S11, PRDE,actvstrat=,-0.868221, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.747255, best_B_strat=,0.511346, best_S_id=,S00, best_S_prof=,9.877835, best_S_strat=,0.457245, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.279521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.089168, id=,B04, PRDE,actvstrat=,-0.166417, actvprof=,0.098334, id=,B05, PRDE,actvstrat=,0.057023, actvprof=,0.392505, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.834454, id=,B07, PRDE,actvstrat=,0.544233, actvprof=,2.394472, id=,B08, PRDE,actvstrat=,-0.242408, actvprof=,2.501140, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.472297, id=,B10, PRDE,actvstrat=,0.347913, actvprof=,6.926191, id=,B11, PRDE,actvstrat=,0.047282, actvprof=,7.960925, id=,S00, PRDE,actvstrat=,0.975979, actvprof=,9.407609, id=,S01, PRDE,actvstrat=,0.465849, actvprof=,5.675899, id=,S02, PRDE,actvstrat=,0.561866, actvprof=,4.155048, id=,S03, PRDE,actvstrat=,0.347876, actvprof=,1.910855, id=,S04, PRDE,actvstrat=,0.971191, actvprof=,2.572808, id=,S05, PRDE,actvstrat=,-0.245870, actvprof=,0.053334, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.518617, id=,S07, PRDE,actvstrat=,0.972021, actvprof=,0.306392, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.067501, id=,S09, PRDE,actvstrat=,-0.166057, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.545932, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.960925, best_B_strat=,0.047282, best_S_id=,S00, best_S_prof=,9.407609, best_S_strat=,0.975979, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.279521, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.004028, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.114723, id=,B04, PRDE,actvstrat=,-0.166417, actvprof=,0.090278, id=,B05, PRDE,actvstrat=,0.057023, actvprof=,0.375697, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.805005, id=,B07, PRDE,actvstrat=,0.544233, actvprof=,2.371542, id=,B08, PRDE,actvstrat=,-0.242408, actvprof=,2.540154, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,6.441565, id=,B10, PRDE,actvstrat=,0.347913, actvprof=,6.889484, id=,B11, PRDE,actvstrat=,0.047282, actvprof=,8.123380, id=,S00, PRDE,actvstrat=,0.975979, actvprof=,9.364499, id=,S01, PRDE,actvstrat=,0.465849, actvprof=,5.481143, id=,S02, PRDE,actvstrat=,0.561866, actvprof=,4.239608, id=,S03, PRDE,actvstrat=,0.347876, actvprof=,1.999317, id=,S04, PRDE,actvstrat=,0.971191, actvprof=,2.544737, id=,S05, PRDE,actvstrat=,-0.245870, actvprof=,0.069723, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.509725, id=,S07, PRDE,actvstrat=,0.972021, actvprof=,0.314724, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.079862, id=,S09, PRDE,actvstrat=,-0.166057, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.545932, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.123380, best_B_strat=,0.047282, best_S_id=,S00, best_S_prof=,9.364499, best_S_strat=,0.975979, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.976206, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.737566, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.057726, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.741185, actvprof=,0.018611, id=,B04, PRDE,actvstrat=,-0.166417, actvprof=,0.035000, id=,B05, PRDE,actvstrat=,0.054679, actvprof=,0.091390, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.298059, id=,B07, PRDE,actvstrat=,-0.349936, actvprof=,0.554173, id=,B08, PRDE,actvstrat=,-0.845666, actvprof=,1.674464, id=,B09, PRDE,actvstrat=,0.305516, actvprof=,2.595030, id=,B10, PRDE,actvstrat=,0.467947, actvprof=,3.838656, id=,B11, PRDE,actvstrat=,0.751327, actvprof=,5.247839, id=,S00, PRDE,actvstrat=,0.109801, actvprof=,9.032049, id=,S01, PRDE,actvstrat=,0.607497, actvprof=,9.515943, id=,S02, PRDE,actvstrat=,0.561866, actvprof=,7.493698, id=,S03, PRDE,actvstrat=,-0.895194, actvprof=,1.132791, id=,S04, PRDE,actvstrat=,0.192675, actvprof=,2.808366, id=,S05, PRDE,actvstrat=,0.575239, actvprof=,2.946701, id=,S06, PRDE,actvstrat=,-0.526330, actvprof=,0.213614, id=,S07, PRDE,actvstrat=,-0.153588, actvprof=,0.214725, id=,S08, PRDE,actvstrat=,-0.486412, actvprof=,0.022222, id=,S09, PRDE,actvstrat=,-0.294709, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,0.038007, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,-0.545932, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.247839, best_B_strat=,0.751327, best_S_id=,S01, best_S_prof=,9.515943, best_S_strat=,0.607497, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.976206, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.737566, actvprof=,0.001250, id=,B02, PRDE,actvstrat=,0.057726, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.741185, actvprof=,0.021250, id=,B04, PRDE,actvstrat=,-0.166417, actvprof=,0.041111, id=,B05, PRDE,actvstrat=,0.054679, actvprof=,0.133611, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.296389, id=,B07, PRDE,actvstrat=,-0.349936, actvprof=,0.510139, id=,B08, PRDE,actvstrat=,-0.845666, actvprof=,1.759167, id=,B09, PRDE,actvstrat=,0.305516, actvprof=,2.623611, id=,B10, PRDE,actvstrat=,0.467947, actvprof=,3.903750, id=,B11, PRDE,actvstrat=,0.751327, actvprof=,5.101944, id=,S00, PRDE,actvstrat=,0.109801, actvprof=,8.777500, id=,S01, PRDE,actvstrat=,0.607497, actvprof=,9.539444, id=,S02, PRDE,actvstrat=,0.561866, actvprof=,7.273056, id=,S03, PRDE,actvstrat=,-0.895194, actvprof=,1.094028, id=,S04, PRDE,actvstrat=,0.192675, actvprof=,2.917500, id=,S05, PRDE,actvstrat=,0.575239, actvprof=,2.919306, id=,S06, PRDE,actvstrat=,-0.526330, actvprof=,0.247083, id=,S07, PRDE,actvstrat=,-0.153588, actvprof=,0.221667, id=,S08, PRDE,actvstrat=,-0.486412, actvprof=,0.033333, id=,S09, PRDE,actvstrat=,-0.294709, actvprof=,0.013056, id=,S10, PRDE,actvstrat=,0.038007, actvprof=,0.005000, id=,S11, PRDE,actvstrat=,-0.545932, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.101944, best_B_strat=,0.751327, best_S_id=,S01, best_S_prof=,9.539444, best_S_strat=,0.607497, 
