t=,0, id=,B00, PRDE,actvstrat=,-0.066955, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.428865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.352140, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.359808, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.870979, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.259448, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.725420, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.552317, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.370492, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.064552, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.320711, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.925950, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.704866, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.811981, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.242341, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.053681, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.473508, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.581731, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.053462, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.444461, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.363561, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.596553, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.111838, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.422929, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.066955, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.704866, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.066955, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.428865, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.352140, actvprof=,0.004444, id=,B03, PRDE,actvstrat=,0.359808, actvprof=,0.025833, id=,B04, PRDE,actvstrat=,-0.870979, actvprof=,0.212220, id=,B05, PRDE,actvstrat=,-0.259448, actvprof=,0.170554, id=,B06, PRDE,actvstrat=,-0.725420, actvprof=,0.551383, id=,B07, PRDE,actvstrat=,0.552317, actvprof=,1.899700, id=,B08, PRDE,actvstrat=,0.370492, actvprof=,2.508027, id=,B09, PRDE,actvstrat=,-0.064552, actvprof=,3.318850, id=,B10, PRDE,actvstrat=,-0.320711, actvprof=,3.950510, id=,B11, PRDE,actvstrat=,-0.925950, actvprof=,6.762144, id=,S00, PRDE,actvstrat=,0.704866, actvprof=,9.219338, id=,S01, PRDE,actvstrat=,0.811981, actvprof=,8.236016, id=,S02, PRDE,actvstrat=,-0.242341, actvprof=,1.695258, id=,S03, PRDE,actvstrat=,-0.053681, actvprof=,1.516094, id=,S04, PRDE,actvstrat=,0.473508, actvprof=,1.727758, id=,S05, PRDE,actvstrat=,0.581731, actvprof=,1.037766, id=,S06, PRDE,actvstrat=,-0.053462, actvprof=,0.094721, id=,S07, PRDE,actvstrat=,-0.444461, actvprof=,0.008611, id=,S08, PRDE,actvstrat=,0.363561, actvprof=,0.015833, id=,S09, PRDE,actvstrat=,-0.596553, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.111838, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.422929, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.762144, best_B_strat=,-0.925950, best_S_id=,S00, best_S_prof=,9.219338, best_S_strat=,0.704866, 
t=,7200, id=,B00, PRDE,actvstrat=,0.640853, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.794704, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.353096, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.387050, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.988016, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.981568, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.810058, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.648653, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.632130, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.850366, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.809231, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.092912, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.286704, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.697377, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.307271, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.394028, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.629344, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.015880, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.721600, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.653799, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.509006, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.938652, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.928367, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.427367, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.640853, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.286704, 
t=,10800, id=,B00, PRDE,actvstrat=,0.640853, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.794704, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.353096, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.387050, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.988016, actvprof=,0.003889, id=,B05, PRDE,actvstrat=,-0.981568, actvprof=,0.095830, id=,B06, PRDE,actvstrat=,0.810058, actvprof=,0.413319, id=,B07, PRDE,actvstrat=,0.648653, actvprof=,0.760251, id=,B08, PRDE,actvstrat=,0.632130, actvprof=,1.895212, id=,B09, PRDE,actvstrat=,-0.850366, actvprof=,1.610777, id=,B10, PRDE,actvstrat=,-0.809231, actvprof=,2.470192, id=,B11, PRDE,actvstrat=,-0.092912, actvprof=,4.508455, id=,S00, PRDE,actvstrat=,0.286704, actvprof=,8.525815, id=,S01, PRDE,actvstrat=,-0.697377, actvprof=,2.169925, id=,S02, PRDE,actvstrat=,0.307271, actvprof=,5.062046, id=,S03, PRDE,actvstrat=,-0.394028, actvprof=,1.241624, id=,S04, PRDE,actvstrat=,0.629344, actvprof=,2.988785, id=,S05, PRDE,actvstrat=,0.015880, actvprof=,0.792750, id=,S06, PRDE,actvstrat=,0.721600, actvprof=,0.816361, id=,S07, PRDE,actvstrat=,-0.653799, actvprof=,0.047776, id=,S08, PRDE,actvstrat=,-0.509006, actvprof=,0.015833, id=,S09, PRDE,actvstrat=,-0.938652, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.928367, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.427367, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.508455, best_B_strat=,-0.092912, best_S_id=,S00, best_S_prof=,8.525815, best_S_strat=,0.286704, 
t=,14400, id=,B00, PRDE,actvstrat=,0.747621, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494050, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.299789, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.685669, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.598779, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.981568, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.605270, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.205555, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.733250, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.639234, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.969557, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.092912, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.197543, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.159600, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.210963, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.734283, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.272161, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.251406, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.673270, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.344303, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.553728, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.938652, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.928367, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.427367, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.747621, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.197543, 
t=,18000, id=,B00, PRDE,actvstrat=,0.747621, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494050, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.299789, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.685669, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.598779, actvprof=,0.027223, id=,B05, PRDE,actvstrat=,-0.981568, actvprof=,0.224447, id=,B06, PRDE,actvstrat=,-0.605270, actvprof=,0.210558, id=,B07, PRDE,actvstrat=,0.205555, actvprof=,0.669174, id=,B08, PRDE,actvstrat=,-0.733250, actvprof=,1.133624, id=,B09, PRDE,actvstrat=,0.639234, actvprof=,2.607808, id=,B10, PRDE,actvstrat=,0.969557, actvprof=,2.159469, id=,B11, PRDE,actvstrat=,-0.092912, actvprof=,3.537819, id=,S00, PRDE,actvstrat=,0.197543, actvprof=,8.825935, id=,S01, PRDE,actvstrat=,0.159600, actvprof=,7.150916, id=,S02, PRDE,actvstrat=,0.210963, actvprof=,5.628398, id=,S03, PRDE,actvstrat=,-0.734283, actvprof=,1.465017, id=,S04, PRDE,actvstrat=,-0.272161, actvprof=,1.497795, id=,S05, PRDE,actvstrat=,-0.251406, actvprof=,1.059457, id=,S06, PRDE,actvstrat=,0.673270, actvprof=,2.441139, id=,S07, PRDE,actvstrat=,-0.344303, actvprof=,0.204447, id=,S08, PRDE,actvstrat=,-0.553728, actvprof=,0.058056, id=,S09, PRDE,actvstrat=,-0.938652, actvprof=,0.005278, id=,S10, PRDE,actvstrat=,-0.928367, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.427367, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.537819, best_B_strat=,-0.092912, best_S_id=,S00, best_S_prof=,8.825935, best_S_strat=,0.197543, 
t=,21600, id=,B00, PRDE,actvstrat=,0.747621, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494050, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.299789, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.685669, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,0.598779, actvprof=,0.036250, id=,B05, PRDE,actvstrat=,-0.981568, actvprof=,0.210697, id=,B06, PRDE,actvstrat=,-0.605270, actvprof=,0.243475, id=,B07, PRDE,actvstrat=,0.205555, actvprof=,0.627785, id=,B08, PRDE,actvstrat=,-0.733250, actvprof=,1.088485, id=,B09, PRDE,actvstrat=,0.639234, actvprof=,2.613502, id=,B10, PRDE,actvstrat=,0.969557, actvprof=,2.092246, id=,B11, PRDE,actvstrat=,-0.092912, actvprof=,3.657403, id=,S00, PRDE,actvstrat=,0.197543, actvprof=,9.207329, id=,S01, PRDE,actvstrat=,0.159600, actvprof=,7.273556, id=,S02, PRDE,actvstrat=,0.210963, actvprof=,5.846595, id=,S03, PRDE,actvstrat=,-0.734283, actvprof=,1.495990, id=,S04, PRDE,actvstrat=,-0.272161, actvprof=,1.499462, id=,S05, PRDE,actvstrat=,-0.251406, actvprof=,1.035012, id=,S06, PRDE,actvstrat=,0.673270, actvprof=,2.473501, id=,S07, PRDE,actvstrat=,-0.344303, actvprof=,0.166252, id=,S08, PRDE,actvstrat=,-0.553728, actvprof=,0.053473, id=,S09, PRDE,actvstrat=,-0.938652, actvprof=,0.002639, id=,S10, PRDE,actvstrat=,-0.928367, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.427367, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.657403, best_B_strat=,-0.092912, best_S_id=,S00, best_S_prof=,9.207329, best_S_strat=,0.197543, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.149668, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345351, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.899805, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,-0.411212, actvprof=,0.010556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.171115, id=,B07, PRDE,actvstrat=,-0.407443, actvprof=,0.090002, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.449756, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.777287, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,3.818144, id=,B11, PRDE,actvstrat=,-0.944464, actvprof=,1.252529, id=,S00, PRDE,actvstrat=,0.286437, actvprof=,9.357994, id=,S01, PRDE,actvstrat=,-0.302139, actvprof=,3.375634, id=,S02, PRDE,actvstrat=,-0.676975, actvprof=,1.518924, id=,S03, PRDE,actvstrat=,0.273355, actvprof=,3.900368, id=,S04, PRDE,actvstrat=,-0.157675, actvprof=,0.834464, id=,S05, PRDE,actvstrat=,0.235061, actvprof=,1.160860, id=,S06, PRDE,actvstrat=,-0.277424, actvprof=,0.033890, id=,S07, PRDE,actvstrat=,-0.476978, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.595783, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.174711, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.284723, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.522433, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.818144, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.357994, best_S_strat=,0.286437, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.149668, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345351, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.899805, actvprof=,0.001528, id=,B05, PRDE,actvstrat=,-0.411212, actvprof=,0.009722, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.163891, id=,B07, PRDE,actvstrat=,-0.407443, actvprof=,0.077223, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.445433, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.738226, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,3.795877, id=,B11, PRDE,actvstrat=,-0.944464, actvprof=,1.298626, id=,S00, PRDE,actvstrat=,0.286437, actvprof=,9.359969, id=,S01, PRDE,actvstrat=,-0.302139, actvprof=,3.262954, id=,S02, PRDE,actvstrat=,-0.676975, actvprof=,1.454461, id=,S03, PRDE,actvstrat=,0.273355, actvprof=,3.757960, id=,S04, PRDE,actvstrat=,-0.157675, actvprof=,0.862788, id=,S05, PRDE,actvstrat=,0.235061, actvprof=,1.127235, id=,S06, PRDE,actvstrat=,-0.277424, actvprof=,0.042362, id=,S07, PRDE,actvstrat=,-0.476978, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.595783, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,-0.174711, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.284723, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.522433, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.795877, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,9.359969, best_S_strat=,0.286437, 
t=,32400, id=,B00, PRDE,actvstrat=,0.110605, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.435258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.201846, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.473021, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.569405, actvprof=,0.042779, id=,B05, PRDE,actvstrat=,-0.981568, actvprof=,0.181115, id=,B06, PRDE,actvstrat=,-0.844440, actvprof=,0.243339, id=,B07, PRDE,actvstrat=,-0.175644, actvprof=,0.471122, id=,B08, PRDE,actvstrat=,-0.626535, actvprof=,1.079747, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.688164, id=,B10, PRDE,actvstrat=,0.547488, actvprof=,4.526494, id=,B11, PRDE,actvstrat=,-0.595611, actvprof=,4.007037, id=,S00, PRDE,actvstrat=,-0.358495, actvprof=,3.596194, id=,S01, PRDE,actvstrat=,0.811981, actvprof=,8.938262, id=,S02, PRDE,actvstrat=,0.307271, actvprof=,4.207875, id=,S03, PRDE,actvstrat=,-0.188113, actvprof=,1.120581, id=,S04, PRDE,actvstrat=,-0.918269, actvprof=,0.246950, id=,S05, PRDE,actvstrat=,-0.301340, actvprof=,0.223339, id=,S06, PRDE,actvstrat=,0.721600, actvprof=,0.852520, id=,S07, PRDE,actvstrat=,0.608463, actvprof=,0.314452, id=,S08, PRDE,actvstrat=,0.921206, actvprof=,0.287507, id=,S09, PRDE,actvstrat=,0.723126, actvprof=,0.004445, id=,S10, PRDE,actvstrat=,-0.284723, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.522433, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.688164, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,8.938262, best_S_strat=,0.811981, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.955465, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.204710, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.455500, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.169749, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.029731, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.525105, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.564656, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.955156, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.400995, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.380903, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.802810, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.298787, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.819468, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.023156, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.018759, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.200465, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.568013, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.150456, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.584165, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.642069, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.522433, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.955465, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.802810, 
