t=,0, id=,B00, PRDE,actvstrat=,-0.459463, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.136664, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.409463, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.928969, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.469064, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.250052, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.819330, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.760413, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.910812, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.549645, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.380993, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.889730, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.578792, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.246680, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.150912, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.904073, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.568247, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.384803, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.267460, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.920617, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.819083, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.443165, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.643971, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.300082, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.459463, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.578792, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.459463, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.136664, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.409463, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.928969, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,0.469064, actvprof=,0.043333, id=,B05, PRDE,actvstrat=,0.250052, actvprof=,0.118054, id=,B06, PRDE,actvstrat=,0.819330, actvprof=,1.089987, id=,B07, PRDE,actvstrat=,-0.760413, actvprof=,0.774158, id=,B08, PRDE,actvstrat=,-0.910812, actvprof=,1.966922, id=,B09, PRDE,actvstrat=,0.549645, actvprof=,3.946065, id=,B10, PRDE,actvstrat=,0.380993, actvprof=,5.071608, id=,B11, PRDE,actvstrat=,-0.889730, actvprof=,5.521047, id=,S00, PRDE,actvstrat=,-0.578792, actvprof=,4.413282, id=,S01, PRDE,actvstrat=,-0.246680, actvprof=,3.725235, id=,S02, PRDE,actvstrat=,0.150912, actvprof=,4.078842, id=,S03, PRDE,actvstrat=,0.904073, actvprof=,4.839388, id=,S04, PRDE,actvstrat=,0.568247, actvprof=,2.418305, id=,S05, PRDE,actvstrat=,0.384803, actvprof=,1.067210, id=,S06, PRDE,actvstrat=,0.267460, actvprof=,0.395273, id=,S07, PRDE,actvstrat=,-0.920617, actvprof=,0.078055, id=,S08, PRDE,actvstrat=,0.819083, actvprof=,0.145276, id=,S09, PRDE,actvstrat=,-0.443165, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.643971, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.300082, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.521047, best_B_strat=,-0.889730, best_S_id=,S03, best_S_prof=,4.839388, best_S_strat=,0.904073, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.836603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.563597, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761818, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.146110, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.426286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.231080, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.529240, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.470951, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.609916, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.787723, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.377186, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.444605, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.829524, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.543807, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.613623, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.811607, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.759603, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.115230, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.443970, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.103643, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.974004, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.526626, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.836603, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.829524, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.836603, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.563597, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761818, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,-0.146110, actvprof=,0.010000, id=,B04, PRDE,actvstrat=,0.426286, actvprof=,0.118054, id=,B05, PRDE,actvstrat=,-0.231080, actvprof=,0.129165, id=,B06, PRDE,actvstrat=,0.529240, actvprof=,0.909434, id=,B07, PRDE,actvstrat=,-0.470951, actvprof=,0.919434, id=,B08, PRDE,actvstrat=,0.609916, actvprof=,2.229419, id=,B09, PRDE,actvstrat=,-0.787723, actvprof=,3.158019, id=,B10, PRDE,actvstrat=,-0.377186, actvprof=,3.299406, id=,B11, PRDE,actvstrat=,0.444605, actvprof=,5.920209, id=,S00, PRDE,actvstrat=,0.829524, actvprof=,10.710154, id=,S01, PRDE,actvstrat=,0.543807, actvprof=,7.881575, id=,S02, PRDE,actvstrat=,-0.613623, actvprof=,2.361084, id=,S03, PRDE,actvstrat=,-0.811607, actvprof=,1.119987, id=,S04, PRDE,actvstrat=,-0.759603, actvprof=,0.699992, id=,S05, PRDE,actvstrat=,0.115230, actvprof=,1.119709, id=,S06, PRDE,actvstrat=,0.443970, actvprof=,0.779991, id=,S07, PRDE,actvstrat=,-0.103643, actvprof=,0.103888, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.136110, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.040277, id=,S10, PRDE,actvstrat=,-0.974004, actvprof=,0.018055, id=,S11, PRDE,actvstrat=,-0.526626, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.920209, best_B_strat=,0.444605, best_S_id=,S00, best_S_prof=,10.710154, best_S_strat=,0.829524, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.613710, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261300, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.100813, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.813661, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.422658, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.231080, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.008015, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.986152, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.986136, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.010271, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.377186, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.639285, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.639481, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.543807, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.293354, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.074217, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.684721, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.959503, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.220778, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.103643, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.795488, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.526626, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.613710, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.639481, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.613710, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261300, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.100813, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.813661, actvprof=,0.089722, id=,B04, PRDE,actvstrat=,0.422658, actvprof=,0.103611, id=,B05, PRDE,actvstrat=,-0.231080, actvprof=,0.160278, id=,B06, PRDE,actvstrat=,0.008015, actvprof=,0.450278, id=,B07, PRDE,actvstrat=,-0.986152, actvprof=,1.443889, id=,B08, PRDE,actvstrat=,0.986136, actvprof=,1.237500, id=,B09, PRDE,actvstrat=,0.010271, actvprof=,2.691944, id=,B10, PRDE,actvstrat=,-0.377186, actvprof=,3.407778, id=,B11, PRDE,actvstrat=,0.639285, actvprof=,6.084444, id=,S00, PRDE,actvstrat=,0.639481, actvprof=,11.666389, id=,S01, PRDE,actvstrat=,0.543807, actvprof=,8.971389, id=,S02, PRDE,actvstrat=,0.293354, actvprof=,6.119722, id=,S03, PRDE,actvstrat=,-0.074217, actvprof=,3.050000, id=,S04, PRDE,actvstrat=,-0.684721, actvprof=,1.185556, id=,S05, PRDE,actvstrat=,-0.959503, actvprof=,1.480833, id=,S06, PRDE,actvstrat=,0.220778, actvprof=,0.781944, id=,S07, PRDE,actvstrat=,-0.103643, actvprof=,0.168611, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.138611, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.046944, id=,S10, PRDE,actvstrat=,-0.795488, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.526626, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.084444, best_B_strat=,0.639285, best_S_id=,S00, best_S_prof=,11.666389, best_S_strat=,0.639481, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.613710, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261300, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.100813, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.813661, actvprof=,0.067223, id=,B04, PRDE,actvstrat=,0.422658, actvprof=,0.115140, id=,B05, PRDE,actvstrat=,-0.231080, actvprof=,0.179445, id=,B06, PRDE,actvstrat=,0.008015, actvprof=,0.481392, id=,B07, PRDE,actvstrat=,-0.986152, actvprof=,1.441814, id=,B08, PRDE,actvstrat=,0.986136, actvprof=,1.199312, id=,B09, PRDE,actvstrat=,0.010271, actvprof=,2.571404, id=,B10, PRDE,actvstrat=,-0.377186, actvprof=,3.482520, id=,B11, PRDE,actvstrat=,0.639285, actvprof=,6.199480, id=,S00, PRDE,actvstrat=,0.639481, actvprof=,11.568956, id=,S01, PRDE,actvstrat=,0.543807, actvprof=,9.063941, id=,S02, PRDE,actvstrat=,0.293354, actvprof=,6.132535, id=,S03, PRDE,actvstrat=,-0.074217, actvprof=,3.248491, id=,S04, PRDE,actvstrat=,-0.684721, actvprof=,1.174590, id=,S05, PRDE,actvstrat=,-0.959503, actvprof=,1.413758, id=,S06, PRDE,actvstrat=,0.220778, actvprof=,0.895005, id=,S07, PRDE,actvstrat=,-0.103643, actvprof=,0.185973, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.179584, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.052084, id=,S10, PRDE,actvstrat=,-0.795488, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.526626, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.199480, best_B_strat=,0.639285, best_S_id=,S00, best_S_prof=,11.568956, best_S_strat=,0.639481, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.859192, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.235310, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.689969, actvprof=,0.012500, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.096112, id=,B05, PRDE,actvstrat=,0.100035, actvprof=,0.241114, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.598062, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.966956, id=,B08, PRDE,actvstrat=,-0.361650, actvprof=,1.561685, id=,B09, PRDE,actvstrat=,-0.434681, actvprof=,2.811421, id=,B10, PRDE,actvstrat=,0.211289, actvprof=,4.726721, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,9.601222, id=,S00, PRDE,actvstrat=,0.249095, actvprof=,8.741490, id=,S01, PRDE,actvstrat=,-0.083886, actvprof=,4.681443, id=,S02, PRDE,actvstrat=,0.484405, actvprof=,5.830901, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.084781, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.340039, id=,S05, PRDE,actvstrat=,0.666177, actvprof=,1.999745, id=,S06, PRDE,actvstrat=,-0.342014, actvprof=,0.118335, id=,S07, PRDE,actvstrat=,0.676524, actvprof=,0.273892, id=,S08, PRDE,actvstrat=,0.188924, actvprof=,0.053056, id=,S09, PRDE,actvstrat=,0.402637, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.601222, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.741490, best_S_strat=,0.249095, 
t=,28800, id=,B00, PRDE,actvstrat=,0.897380, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.235310, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761818, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.177355, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.036301, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.543630, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.529240, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.470951, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.013668, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.398146, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.281445, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.451599, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.040405, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.676801, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.484405, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.144007, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.666177, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.220778, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.771590, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.034388, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.871483, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.897380, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.040405, 
t=,32400, id=,B00, PRDE,actvstrat=,0.897380, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.235310, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761818, actvprof=,0.010000, id=,B03, PRDE,actvstrat=,-0.177355, actvprof=,0.025000, id=,B04, PRDE,actvstrat=,-0.036301, actvprof=,0.088334, id=,B05, PRDE,actvstrat=,-0.543630, actvprof=,0.280281, id=,B06, PRDE,actvstrat=,0.529240, actvprof=,1.470017, id=,B07, PRDE,actvstrat=,-0.470951, actvprof=,1.464739, id=,B08, PRDE,actvstrat=,0.013668, actvprof=,3.272260, id=,B09, PRDE,actvstrat=,-0.398146, actvprof=,3.932268, id=,B10, PRDE,actvstrat=,-0.281445, actvprof=,5.673955, id=,B11, PRDE,actvstrat=,-0.451599, actvprof=,7.420364, id=,S00, PRDE,actvstrat=,0.040405, actvprof=,5.458119, id=,S01, PRDE,actvstrat=,-0.676801, actvprof=,2.151414, id=,S02, PRDE,actvstrat=,0.484405, actvprof=,4.173382, id=,S03, PRDE,actvstrat=,0.144007, actvprof=,1.801688, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.771409, id=,S05, PRDE,actvstrat=,0.666177, actvprof=,1.001123, id=,S06, PRDE,actvstrat=,0.220778, actvprof=,0.177502, id=,S07, PRDE,actvstrat=,0.771590, actvprof=,0.188336, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.033612, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,-0.034388, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.871483, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.420364, best_B_strat=,-0.451599, best_S_id=,S00, best_S_prof=,5.458119, best_S_strat=,0.040405, 
t=,36000, id=,B00, PRDE,actvstrat=,0.897380, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.235310, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761818, actvprof=,0.006528, id=,B03, PRDE,actvstrat=,-0.177355, actvprof=,0.018333, id=,B04, PRDE,actvstrat=,-0.036301, actvprof=,0.098612, id=,B05, PRDE,actvstrat=,-0.543630, actvprof=,0.246390, id=,B06, PRDE,actvstrat=,0.529240, actvprof=,1.521537, id=,B07, PRDE,actvstrat=,-0.470951, actvprof=,1.512231, id=,B08, PRDE,actvstrat=,0.013668, actvprof=,3.133490, id=,B09, PRDE,actvstrat=,-0.398146, actvprof=,3.910300, id=,B10, PRDE,actvstrat=,-0.281445, actvprof=,5.517949, id=,B11, PRDE,actvstrat=,-0.451599, actvprof=,7.479904, id=,S00, PRDE,actvstrat=,0.040405, actvprof=,5.320170, id=,S01, PRDE,actvstrat=,-0.676801, actvprof=,2.089457, id=,S02, PRDE,actvstrat=,0.484405, actvprof=,4.125718, id=,S03, PRDE,actvstrat=,0.144007, actvprof=,1.719316, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.753621, id=,S05, PRDE,actvstrat=,0.666177, actvprof=,1.060839, id=,S06, PRDE,actvstrat=,0.220778, actvprof=,0.206390, id=,S07, PRDE,actvstrat=,0.771590, actvprof=,0.193473, id=,S08, PRDE,actvstrat=,0.538350, actvprof=,0.026389, id=,S09, PRDE,actvstrat=,0.674500, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,-0.034388, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.871483, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.479904, best_B_strat=,-0.451599, best_S_id=,S00, best_S_prof=,5.320170, best_S_strat=,0.040405, 
