t=,0, id=,B00, PRDE,actvstrat=,0.236541, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.471540, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.221481, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.445425, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.162410, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.275374, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.275869, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.140997, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.147962, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.201516, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.832547, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.502065, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.884309, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.484028, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.335228, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.423566, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.796657, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.406734, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.027636, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.105087, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.594710, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.388743, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.703148, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.137637, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.236541, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.884309, 
t=,3600, id=,B00, PRDE,actvstrat=,0.236541, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.471540, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.221481, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-0.445425, actvprof=,0.008055, id=,B04, PRDE,actvstrat=,-0.162410, actvprof=,0.095553, id=,B05, PRDE,actvstrat=,-0.275374, actvprof=,0.216106, id=,B06, PRDE,actvstrat=,-0.275869, actvprof=,0.446656, id=,B07, PRDE,actvstrat=,-0.140997, actvprof=,0.908590, id=,B08, PRDE,actvstrat=,-0.147962, actvprof=,1.642184, id=,B09, PRDE,actvstrat=,-0.201516, actvprof=,2.613551, id=,B10, PRDE,actvstrat=,0.832547, actvprof=,4.159904, id=,B11, PRDE,actvstrat=,-0.502065, actvprof=,4.144904, id=,S00, PRDE,actvstrat=,0.884309, actvprof=,10.818638, id=,S01, PRDE,actvstrat=,-0.484028, actvprof=,3.281868, id=,S02, PRDE,actvstrat=,-0.335228, actvprof=,2.474665, id=,S03, PRDE,actvstrat=,-0.423566, actvprof=,1.324414, id=,S04, PRDE,actvstrat=,-0.796657, actvprof=,0.473600, id=,S05, PRDE,actvstrat=,0.406734, actvprof=,1.750515, id=,S06, PRDE,actvstrat=,0.027636, actvprof=,0.650540, id=,S07, PRDE,actvstrat=,-0.105087, actvprof=,0.137497, id=,S08, PRDE,actvstrat=,0.594710, actvprof=,0.197218, id=,S09, PRDE,actvstrat=,-0.388743, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.703148, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,0.137637, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.159904, best_B_strat=,0.832547, best_S_id=,S00, best_S_prof=,10.818638, best_S_strat=,0.884309, 
t=,7200, id=,B00, PRDE,actvstrat=,0.652769, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.813146, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.517367, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.660856, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.321216, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.880960, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.038523, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.192097, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.000050, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.038249, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.169928, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.469699, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.910469, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.326142, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.775051, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.966081, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.844125, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.439799, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.102936, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.837565, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663515, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.865670, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.784662, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.297018, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.652769, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.910469, 
t=,10800, id=,B00, PRDE,actvstrat=,0.652769, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.813146, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.517367, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.660856, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.321216, actvprof=,0.073332, id=,B05, PRDE,actvstrat=,-0.880960, actvprof=,0.371380, id=,B06, PRDE,actvstrat=,-0.038523, actvprof=,0.528321, id=,B07, PRDE,actvstrat=,0.192097, actvprof=,1.386357, id=,B08, PRDE,actvstrat=,0.000050, actvprof=,2.035508, id=,B09, PRDE,actvstrat=,-0.038249, actvprof=,3.140761, id=,B10, PRDE,actvstrat=,-0.169928, actvprof=,3.781301, id=,B11, PRDE,actvstrat=,0.469699, actvprof=,6.981783, id=,S00, PRDE,actvstrat=,-0.910469, actvprof=,1.732738, id=,S01, PRDE,actvstrat=,0.326142, actvprof=,6.000417, id=,S02, PRDE,actvstrat=,0.775051, actvprof=,6.470128, id=,S03, PRDE,actvstrat=,-0.966081, actvprof=,2.283003, id=,S04, PRDE,actvstrat=,0.844125, actvprof=,3.862133, id=,S05, PRDE,actvstrat=,-0.439799, actvprof=,0.199162, id=,S06, PRDE,actvstrat=,0.102936, actvprof=,0.359158, id=,S07, PRDE,actvstrat=,-0.837565, actvprof=,0.016944, id=,S08, PRDE,actvstrat=,0.663515, actvprof=,0.139997, id=,S09, PRDE,actvstrat=,0.865670, actvprof=,0.056943, id=,S10, PRDE,actvstrat=,0.784662, actvprof=,0.004722, id=,S11, PRDE,actvstrat=,-0.297018, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.981783, best_B_strat=,0.469699, best_S_id=,S02, best_S_prof=,6.470128, best_S_strat=,0.775051, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.732292, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.621627, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.429225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.290653, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.274712, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.500949, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.850968, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.712483, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.742602, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.512694, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.010481, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.918297, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.508138, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.904754, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.775051, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.670111, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.844125, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.759683, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.102936, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.142568, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.663515, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.828364, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.520699, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.282458, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.732292, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.508138, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.732292, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.621627, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.429225, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.290653, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,-0.274712, actvprof=,0.031389, id=,B05, PRDE,actvstrat=,0.500949, actvprof=,0.222500, id=,B06, PRDE,actvstrat=,0.850968, actvprof=,0.941667, id=,B07, PRDE,actvstrat=,0.712483, actvprof=,1.529167, id=,B08, PRDE,actvstrat=,-0.742602, actvprof=,1.565833, id=,B09, PRDE,actvstrat=,0.512694, actvprof=,3.668889, id=,B10, PRDE,actvstrat=,-0.010481, actvprof=,3.822222, id=,B11, PRDE,actvstrat=,-0.918297, actvprof=,6.159722, id=,S00, PRDE,actvstrat=,0.508138, actvprof=,9.081111, id=,S01, PRDE,actvstrat=,-0.904754, actvprof=,0.695556, id=,S02, PRDE,actvstrat=,0.775051, actvprof=,6.678056, id=,S03, PRDE,actvstrat=,0.670111, actvprof=,4.298889, id=,S04, PRDE,actvstrat=,0.844125, actvprof=,3.669722, id=,S05, PRDE,actvstrat=,-0.759683, actvprof=,0.150833, id=,S06, PRDE,actvstrat=,0.102936, actvprof=,0.291667, id=,S07, PRDE,actvstrat=,0.142568, actvprof=,0.084722, id=,S08, PRDE,actvstrat=,0.663515, actvprof=,0.054167, id=,S09, PRDE,actvstrat=,0.828364, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,-0.520699, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.282458, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.159722, best_B_strat=,-0.918297, best_S_id=,S00, best_S_prof=,9.081111, best_S_strat=,0.508138, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.564548, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.597396, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.345646, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.108848, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.724085, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.229179, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.237275, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.712854, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.778715, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.408577, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.198327, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.618408, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.811550, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.483063, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.670537, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.745880, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.098325, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.223233, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.564548, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.564548, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.597396, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.345646, actvprof=,0.005556, id=,B04, PRDE,actvstrat=,0.108848, actvprof=,0.013611, id=,B05, PRDE,actvstrat=,-0.724085, actvprof=,0.153057, id=,B06, PRDE,actvstrat=,0.229179, actvprof=,0.437783, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.943634, id=,B08, PRDE,actvstrat=,-0.237275, actvprof=,1.303071, id=,B09, PRDE,actvstrat=,-0.712854, actvprof=,2.261971, id=,B10, PRDE,actvstrat=,-0.778715, actvprof=,3.325316, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.609255, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.608734, id=,S01, PRDE,actvstrat=,-0.408577, actvprof=,1.930022, id=,S02, PRDE,actvstrat=,-0.198327, actvprof=,1.256403, id=,S03, PRDE,actvstrat=,-0.618408, actvprof=,0.496950, id=,S04, PRDE,actvstrat=,-0.811550, actvprof=,0.066667, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.488906, id=,S06, PRDE,actvstrat=,-0.483063, actvprof=,0.019722, id=,S07, PRDE,actvstrat=,0.670537, actvprof=,0.034723, id=,S08, PRDE,actvstrat=,0.745880, actvprof=,0.007222, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.098325, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.223233, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.609255, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,10.608734, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.564548, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.597396, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,0.345646, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,0.108848, actvprof=,0.010417, id=,B05, PRDE,actvstrat=,-0.724085, actvprof=,0.120278, id=,B06, PRDE,actvstrat=,0.229179, actvprof=,0.435558, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.973623, id=,B08, PRDE,actvstrat=,-0.237275, actvprof=,1.291952, id=,B09, PRDE,actvstrat=,-0.712854, actvprof=,2.256541, id=,B10, PRDE,actvstrat=,-0.778715, actvprof=,3.223352, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.702683, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.611450, id=,S01, PRDE,actvstrat=,-0.408577, actvprof=,1.795149, id=,S02, PRDE,actvstrat=,-0.198327, actvprof=,1.305008, id=,S03, PRDE,actvstrat=,-0.618408, actvprof=,0.468475, id=,S04, PRDE,actvstrat=,-0.811550, actvprof=,0.070417, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.487231, id=,S06, PRDE,actvstrat=,-0.483063, actvprof=,0.019445, id=,S07, PRDE,actvstrat=,0.670537, actvprof=,0.039445, id=,S08, PRDE,actvstrat=,0.745880, actvprof=,0.005278, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.098325, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.223233, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.702683, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,10.611450, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.987765, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.843793, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.597396, actvprof=,0.008056, id=,B03, PRDE,actvstrat=,-0.829580, actvprof=,0.106112, id=,B04, PRDE,actvstrat=,-0.512655, actvprof=,0.103057, id=,B05, PRDE,actvstrat=,-0.444524, actvprof=,0.253336, id=,B06, PRDE,actvstrat=,-0.038523, actvprof=,0.641674, id=,B07, PRDE,actvstrat=,0.662774, actvprof=,1.676964, id=,B08, PRDE,actvstrat=,0.665137, actvprof=,2.655864, id=,B09, PRDE,actvstrat=,-0.712854, actvprof=,3.347539, id=,B10, PRDE,actvstrat=,-0.187513, actvprof=,3.865323, id=,B11, PRDE,actvstrat=,-0.637175, actvprof=,5.600343, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.885959, id=,S01, PRDE,actvstrat=,0.747600, actvprof=,8.073149, id=,S02, PRDE,actvstrat=,-0.717587, actvprof=,1.126957, id=,S03, PRDE,actvstrat=,-0.966081, actvprof=,1.083068, id=,S04, PRDE,actvstrat=,-0.025751, actvprof=,1.146958, id=,S05, PRDE,actvstrat=,0.835868, actvprof=,2.259193, id=,S06, PRDE,actvstrat=,-0.534524, actvprof=,0.050001, id=,S07, PRDE,actvstrat=,-0.710120, actvprof=,0.011667, id=,S08, PRDE,actvstrat=,0.594249, actvprof=,0.018334, id=,S09, PRDE,actvstrat=,0.394501, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.098325, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.297018, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.600343, best_B_strat=,-0.637175, best_S_id=,S00, best_S_prof=,10.885959, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.987765, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.843793, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.597396, actvprof=,0.008611, id=,B03, PRDE,actvstrat=,-0.829580, actvprof=,0.095139, id=,B04, PRDE,actvstrat=,-0.512655, actvprof=,0.090000, id=,B05, PRDE,actvstrat=,-0.444524, actvprof=,0.233194, id=,B06, PRDE,actvstrat=,-0.038523, actvprof=,0.595972, id=,B07, PRDE,actvstrat=,0.662774, actvprof=,1.797639, id=,B08, PRDE,actvstrat=,0.665137, actvprof=,2.627500, id=,B09, PRDE,actvstrat=,-0.712854, actvprof=,3.247222, id=,B10, PRDE,actvstrat=,-0.187513, actvprof=,3.920833, id=,B11, PRDE,actvstrat=,-0.637175, actvprof=,5.591944, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.778194, id=,S01, PRDE,actvstrat=,0.747600, actvprof=,8.103056, id=,S02, PRDE,actvstrat=,-0.717587, actvprof=,1.083056, id=,S03, PRDE,actvstrat=,-0.966081, actvprof=,1.054444, id=,S04, PRDE,actvstrat=,-0.025751, actvprof=,1.132222, id=,S05, PRDE,actvstrat=,0.835868, actvprof=,2.279028, id=,S06, PRDE,actvstrat=,-0.534524, actvprof=,0.045694, id=,S07, PRDE,actvstrat=,-0.710120, actvprof=,0.014722, id=,S08, PRDE,actvstrat=,0.594249, actvprof=,0.023333, id=,S09, PRDE,actvstrat=,0.394501, actvprof=,0.000417, id=,S10, PRDE,actvstrat=,-0.098325, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.297018, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.591944, best_B_strat=,-0.637175, best_S_id=,S00, best_S_prof=,10.778194, best_S_strat=,1.000000, 
