t=,0, id=,B00, PRDE,actvstrat=,-0.065345, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.679518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.709868, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.345664, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.514627, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.402410, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.115936, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.665487, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.875699, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.654691, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.604944, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.963217, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.366573, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.913343, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.746229, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.125663, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.580238, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.116126, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.026570, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.962707, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.998926, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.196528, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.663849, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.052128, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.065345, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.366573, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.065345, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.679518, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.709868, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.345664, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,-0.514627, actvprof=,0.018889, id=,B05, PRDE,actvstrat=,0.402410, actvprof=,0.155276, id=,B06, PRDE,actvstrat=,-0.115936, actvprof=,0.279163, id=,B07, PRDE,actvstrat=,-0.665487, actvprof=,0.626659, id=,B08, PRDE,actvstrat=,0.875699, actvprof=,1.852756, id=,B09, PRDE,actvstrat=,0.654691, actvprof=,3.043298, id=,B10, PRDE,actvstrat=,-0.604944, actvprof=,3.131908, id=,B11, PRDE,actvstrat=,-0.963217, actvprof=,4.894666, id=,S00, PRDE,actvstrat=,-0.366573, actvprof=,3.222463, id=,S01, PRDE,actvstrat=,0.913343, actvprof=,9.979607, id=,S02, PRDE,actvstrat=,-0.746229, actvprof=,1.034155, id=,S03, PRDE,actvstrat=,0.125663, actvprof=,2.594137, id=,S04, PRDE,actvstrat=,0.580238, actvprof=,2.879411, id=,S05, PRDE,actvstrat=,-0.116126, actvprof=,0.324441, id=,S06, PRDE,actvstrat=,0.026570, actvprof=,0.353051, id=,S07, PRDE,actvstrat=,-0.962707, actvprof=,0.017778, id=,S08, PRDE,actvstrat=,0.998926, actvprof=,0.176942, id=,S09, PRDE,actvstrat=,0.196528, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.663849, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.052128, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.894666, best_B_strat=,-0.963217, best_S_id=,S01, best_S_prof=,9.979607, best_S_strat=,0.913343, 
t=,7200, id=,B00, PRDE,actvstrat=,0.950992, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.815037, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.520236, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.286172, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.600639, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.767403, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.963131, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.261864, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.708872, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.293149, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.522138, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.947108, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.925541, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.415760, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.018970, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.504966, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.771232, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.173702, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.465326, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.307171, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.877427, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.754651, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.845196, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.566086, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.950992, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.925541, 
t=,10800, id=,B00, PRDE,actvstrat=,0.950992, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.815037, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.520236, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.286172, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.600639, actvprof=,0.025833, id=,B05, PRDE,actvstrat=,-0.767403, actvprof=,0.039166, id=,B06, PRDE,actvstrat=,-0.963131, actvprof=,0.546098, id=,B07, PRDE,actvstrat=,0.261864, actvprof=,0.608319, id=,B08, PRDE,actvstrat=,-0.708872, actvprof=,0.900812, id=,B09, PRDE,actvstrat=,0.293149, actvprof=,2.059397, id=,B10, PRDE,actvstrat=,-0.522138, actvprof=,2.008565, id=,B11, PRDE,actvstrat=,0.947108, actvprof=,3.442420, id=,S00, PRDE,actvstrat=,-0.925541, actvprof=,1.920233, id=,S01, PRDE,actvstrat=,0.415760, actvprof=,8.253420, id=,S02, PRDE,actvstrat=,0.018970, actvprof=,4.839055, id=,S03, PRDE,actvstrat=,0.504966, actvprof=,5.762644, id=,S04, PRDE,actvstrat=,-0.771232, actvprof=,0.795259, id=,S05, PRDE,actvstrat=,0.173702, actvprof=,1.874123, id=,S06, PRDE,actvstrat=,-0.465326, actvprof=,0.423324, id=,S07, PRDE,actvstrat=,-0.307171, actvprof=,0.241939, id=,S08, PRDE,actvstrat=,-0.877427, actvprof=,0.008611, id=,S09, PRDE,actvstrat=,-0.754651, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.845196, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.566086, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.442420, best_B_strat=,0.947108, best_S_id=,S01, best_S_prof=,8.253420, best_S_strat=,0.415760, 
t=,14400, id=,B00, PRDE,actvstrat=,0.447990, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.815037, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.018911, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.345664, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.600639, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.691120, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.502333, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.261864, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.007398, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.278516, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.750723, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.947108, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.910757, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.415760, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.832841, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.764211, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.001914, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.173702, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.620853, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.166055, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.091375, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.754651, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.845196, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.396225, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.447990, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.910757, 
t=,18000, id=,B00, PRDE,actvstrat=,0.447990, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.815037, actvprof=,0.001944, id=,B02, PRDE,actvstrat=,0.018911, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.345664, actvprof=,0.050555, id=,B04, PRDE,actvstrat=,0.600639, actvprof=,0.203053, id=,B05, PRDE,actvstrat=,0.691120, actvprof=,0.750269, id=,B06, PRDE,actvstrat=,-0.502333, actvprof=,0.739158, id=,B07, PRDE,actvstrat=,0.261864, actvprof=,1.659147, id=,B08, PRDE,actvstrat=,0.007398, actvprof=,2.212474, id=,B09, PRDE,actvstrat=,0.278516, actvprof=,3.807456, id=,B10, PRDE,actvstrat=,0.750723, actvprof=,5.297439, id=,B11, PRDE,actvstrat=,0.947108, actvprof=,4.562447, id=,S00, PRDE,actvstrat=,0.910757, actvprof=,11.357924, id=,S01, PRDE,actvstrat=,0.415760, actvprof=,7.429636, id=,S02, PRDE,actvstrat=,0.832841, actvprof=,8.037407, id=,S03, PRDE,actvstrat=,0.764211, actvprof=,6.252428, id=,S04, PRDE,actvstrat=,0.001914, actvprof=,2.449972, id=,S05, PRDE,actvstrat=,0.173702, actvprof=,1.771368, id=,S06, PRDE,actvstrat=,-0.620853, actvprof=,0.243053, id=,S07, PRDE,actvstrat=,-0.166055, actvprof=,0.297774, id=,S08, PRDE,actvstrat=,0.091375, actvprof=,0.298052, id=,S09, PRDE,actvstrat=,-0.754651, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.845196, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.396225, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.297439, best_B_strat=,0.750723, best_S_id=,S00, best_S_prof=,11.357924, best_S_strat=,0.910757, 
t=,21600, id=,B00, PRDE,actvstrat=,0.447990, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.815037, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,0.018911, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.345664, actvprof=,0.034584, id=,B04, PRDE,actvstrat=,0.600639, actvprof=,0.233751, id=,B05, PRDE,actvstrat=,0.691120, actvprof=,0.715976, id=,B06, PRDE,actvstrat=,-0.502333, actvprof=,0.775421, id=,B07, PRDE,actvstrat=,0.261864, actvprof=,1.640565, id=,B08, PRDE,actvstrat=,0.007398, actvprof=,2.207791, id=,B09, PRDE,actvstrat=,0.278516, actvprof=,3.870717, id=,B10, PRDE,actvstrat=,0.750723, actvprof=,5.135863, id=,B11, PRDE,actvstrat=,0.947108, actvprof=,4.421692, id=,S00, PRDE,actvstrat=,0.910757, actvprof=,11.573123, id=,S01, PRDE,actvstrat=,0.415760, actvprof=,7.357959, id=,S02, PRDE,actvstrat=,0.832841, actvprof=,8.217964, id=,S03, PRDE,actvstrat=,0.764211, actvprof=,6.501565, id=,S04, PRDE,actvstrat=,0.001914, actvprof=,2.313486, id=,S05, PRDE,actvstrat=,0.173702, actvprof=,1.817094, id=,S06, PRDE,actvstrat=,-0.620853, actvprof=,0.214168, id=,S07, PRDE,actvstrat=,-0.166055, actvprof=,0.230418, id=,S08, PRDE,actvstrat=,0.091375, actvprof=,0.280835, id=,S09, PRDE,actvstrat=,-0.754651, actvprof=,0.005972, id=,S10, PRDE,actvstrat=,-0.845196, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.396225, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,5.135863, best_B_strat=,0.750723, best_S_id=,S00, best_S_prof=,11.573123, best_S_strat=,0.910757, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.570966, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.493602, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.958527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.028611, id=,B04, PRDE,actvstrat=,0.504391, actvprof=,0.120835, id=,B05, PRDE,actvstrat=,0.251254, actvprof=,0.326670, id=,B06, PRDE,actvstrat=,0.379873, actvprof=,1.141402, id=,B07, PRDE,actvstrat=,-0.438546, actvprof=,1.263626, id=,B08, PRDE,actvstrat=,-0.873900, actvprof=,2.105024, id=,B09, PRDE,actvstrat=,-0.268071, actvprof=,4.093103, id=,B10, PRDE,actvstrat=,0.815582, actvprof=,8.454820, id=,B11, PRDE,actvstrat=,-0.355250, actvprof=,7.962037, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.733411, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.495897, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.691999, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.893089, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.669464, id=,S05, PRDE,actvstrat=,-0.635100, actvprof=,0.040556, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.260836, id=,S07, PRDE,actvstrat=,-0.846808, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.022778, id=,S09, PRDE,actvstrat=,0.530269, actvprof=,0.002778, id=,S10, PRDE,actvstrat=,0.019529, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.577504, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,8.454820, best_B_strat=,0.815582, best_S_id=,S00, best_S_prof=,6.733411, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.570966, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.493602, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.958527, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.024167, id=,B04, PRDE,actvstrat=,0.504391, actvprof=,0.106390, id=,B05, PRDE,actvstrat=,0.251254, actvprof=,0.311252, id=,B06, PRDE,actvstrat=,0.379873, actvprof=,1.153062, id=,B07, PRDE,actvstrat=,-0.438546, actvprof=,1.322508, id=,B08, PRDE,actvstrat=,-0.873900, actvprof=,2.067651, id=,B09, PRDE,actvstrat=,-0.268071, actvprof=,4.118913, id=,B10, PRDE,actvstrat=,0.815582, actvprof=,8.489355, id=,B11, PRDE,actvstrat=,-0.355250, actvprof=,8.120325, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.915179, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.496698, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.655027, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.895989, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.743621, id=,S05, PRDE,actvstrat=,-0.635100, actvprof=,0.037639, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.246946, id=,S07, PRDE,actvstrat=,-0.846808, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.018750, id=,S09, PRDE,actvstrat=,0.530269, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,0.019529, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.577504, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,8.489355, best_B_strat=,0.815582, best_S_id=,S00, best_S_prof=,6.915179, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.632218, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.434606, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.794328, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,0.475732, actvprof=,0.011667, id=,B05, PRDE,actvstrat=,-0.260915, actvprof=,0.041389, id=,B06, PRDE,actvstrat=,-0.963131, actvprof=,0.436672, id=,B07, PRDE,actvstrat=,-0.438546, actvprof=,0.232780, id=,B08, PRDE,actvstrat=,-0.102926, actvprof=,0.684175, id=,B09, PRDE,actvstrat=,-0.268071, actvprof=,1.227792, id=,B10, PRDE,actvstrat=,0.815582, actvprof=,3.328927, id=,B11, PRDE,actvstrat=,0.082240, actvprof=,3.284205, id=,S00, PRDE,actvstrat=,0.305364, actvprof=,8.984548, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.672566, id=,S02, PRDE,actvstrat=,0.018970, actvprof=,4.513663, id=,S03, PRDE,actvstrat=,-0.887223, actvprof=,0.251947, id=,S04, PRDE,actvstrat=,-0.248074, actvprof=,0.726675, id=,S05, PRDE,actvstrat=,0.404479, actvprof=,1.979745, id=,S06, PRDE,actvstrat=,-0.707437, actvprof=,0.140279, id=,S07, PRDE,actvstrat=,-0.041394, actvprof=,0.198336, id=,S08, PRDE,actvstrat=,-0.356546, actvprof=,0.031111, id=,S09, PRDE,actvstrat=,-0.754651, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.025200, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-0.807560, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,3.328927, best_B_strat=,0.815582, best_S_id=,S00, best_S_prof=,8.984548, best_S_strat=,0.305364, 
t=,36000, id=,B00, PRDE,actvstrat=,0.632218, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.434606, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.794328, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,0.475732, actvprof=,0.011528, id=,B05, PRDE,actvstrat=,-0.260915, actvprof=,0.036945, id=,B06, PRDE,actvstrat=,-0.963131, actvprof=,0.403197, id=,B07, PRDE,actvstrat=,-0.438546, actvprof=,0.231390, id=,B08, PRDE,actvstrat=,-0.102926, actvprof=,0.680559, id=,B09, PRDE,actvstrat=,-0.268071, actvprof=,1.295702, id=,B10, PRDE,actvstrat=,0.815582, actvprof=,3.481270, id=,B11, PRDE,actvstrat=,0.082240, actvprof=,3.518631, id=,S00, PRDE,actvstrat=,0.305364, actvprof=,9.011719, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,5.694477, id=,S02, PRDE,actvstrat=,0.018970, actvprof=,4.463915, id=,S03, PRDE,actvstrat=,-0.887223, actvprof=,0.228890, id=,S04, PRDE,actvstrat=,-0.248074, actvprof=,0.828616, id=,S05, PRDE,actvstrat=,0.404479, actvprof=,1.884178, id=,S06, PRDE,actvstrat=,-0.707437, actvprof=,0.139862, id=,S07, PRDE,actvstrat=,-0.041394, actvprof=,0.218057, id=,S08, PRDE,actvstrat=,-0.356546, actvprof=,0.029445, id=,S09, PRDE,actvstrat=,-0.754651, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.025200, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,-0.807560, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.518631, best_B_strat=,0.082240, best_S_id=,S00, best_S_prof=,9.011719, best_S_strat=,0.305364, 
