t=,0, id=,B00, PRDE,actvstrat=,-0.780329, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.109424, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.180108, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.015377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.095320, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.317539, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.002303, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.715144, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.496372, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.776052, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.142485, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.962093, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.604757, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.353676, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.711057, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.105340, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.720466, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.016707, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.762630, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.058853, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.138151, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.479165, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.368431, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.531174, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.780329, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.604757, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.780329, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.109424, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.180108, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.015377, actvprof=,0.040833, id=,B04, PRDE,actvstrat=,0.095320, actvprof=,0.141943, id=,B05, PRDE,actvstrat=,0.317539, actvprof=,0.402218, id=,B06, PRDE,actvstrat=,0.002303, actvprof=,0.712214, id=,B07, PRDE,actvstrat=,-0.715144, actvprof=,1.511927, id=,B08, PRDE,actvstrat=,0.496372, actvprof=,2.751079, id=,B09, PRDE,actvstrat=,0.776052, actvprof=,4.225229, id=,B10, PRDE,actvstrat=,-0.142485, actvprof=,4.318006, id=,B11, PRDE,actvstrat=,0.962093, actvprof=,6.000486, id=,S00, PRDE,actvstrat=,0.604757, actvprof=,9.782109, id=,S01, PRDE,actvstrat=,0.353676, actvprof=,7.564079, id=,S02, PRDE,actvstrat=,-0.711057, actvprof=,3.511070, id=,S03, PRDE,actvstrat=,0.105340, actvprof=,3.330239, id=,S04, PRDE,actvstrat=,-0.720466, actvprof=,1.574704, id=,S05, PRDE,actvstrat=,0.016707, actvprof=,1.635537, id=,S06, PRDE,actvstrat=,0.762630, actvprof=,1.963033, id=,S07, PRDE,actvstrat=,-0.058853, actvprof=,0.314996, id=,S08, PRDE,actvstrat=,0.138151, actvprof=,0.212775, id=,S09, PRDE,actvstrat=,0.479165, actvprof=,0.115832, id=,S10, PRDE,actvstrat=,0.368431, actvprof=,0.020555, id=,S11, PRDE,actvstrat=,-0.531174, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.000486, best_B_strat=,0.962093, best_S_id=,S00, best_S_prof=,9.782109, best_S_strat=,0.604757, 
t=,7200, id=,B00, PRDE,actvstrat=,0.831985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.898403, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.784923, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.726962, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.497796, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.038330, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.827469, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.982781, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.003131, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.440349, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.366687, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.748529, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.882134, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.876281, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.102349, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.041958, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.269290, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.021254, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.282677, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.475740, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.365490, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.730277, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.470011, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.596189, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.831985, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.882134, 
t=,10800, id=,B00, PRDE,actvstrat=,0.831985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.898403, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.784923, actvprof=,0.010555, id=,B03, PRDE,actvstrat=,-0.726962, actvprof=,0.030555, id=,B04, PRDE,actvstrat=,-0.497796, actvprof=,0.042500, id=,B05, PRDE,actvstrat=,0.038330, actvprof=,0.156665, id=,B06, PRDE,actvstrat=,0.827469, actvprof=,0.774713, id=,B07, PRDE,actvstrat=,0.982781, actvprof=,0.579160, id=,B08, PRDE,actvstrat=,-0.003131, actvprof=,1.130542, id=,B09, PRDE,actvstrat=,-0.440349, actvprof=,1.829145, id=,B10, PRDE,actvstrat=,0.366687, actvprof=,3.664124, id=,B11, PRDE,actvstrat=,-0.748529, actvprof=,4.549670, id=,S00, PRDE,actvstrat=,0.882134, actvprof=,12.023472, id=,S01, PRDE,actvstrat=,-0.876281, actvprof=,1.766924, id=,S02, PRDE,actvstrat=,-0.102349, actvprof=,4.847722, id=,S03, PRDE,actvstrat=,0.041958, actvprof=,4.053564, id=,S04, PRDE,actvstrat=,0.269290, actvprof=,2.982743, id=,S05, PRDE,actvstrat=,-0.021254, actvprof=,1.220819, id=,S06, PRDE,actvstrat=,-0.282677, actvprof=,0.203331, id=,S07, PRDE,actvstrat=,-0.475740, actvprof=,0.059166, id=,S08, PRDE,actvstrat=,-0.365490, actvprof=,0.018055, id=,S09, PRDE,actvstrat=,0.730277, actvprof=,0.018333, id=,S10, PRDE,actvstrat=,0.470011, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.596189, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.549670, best_B_strat=,-0.748529, best_S_id=,S00, best_S_prof=,12.023472, best_S_strat=,0.882134, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.096901, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.223082, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.059943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.170604, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.095320, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.306898, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.919463, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.373780, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.686226, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.362256, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.366687, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.741572, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.882134, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.353676, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.740326, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.842276, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.269290, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.454575, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.063934, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.873494, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.138151, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.300040, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.193264, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.407178, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.096901, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.882134, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.096901, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.223082, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.059943, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.170604, actvprof=,0.018611, id=,B04, PRDE,actvstrat=,0.095320, actvprof=,0.033889, id=,B05, PRDE,actvstrat=,0.306898, actvprof=,0.176389, id=,B06, PRDE,actvstrat=,0.919463, actvprof=,0.788611, id=,B07, PRDE,actvstrat=,0.373780, actvprof=,1.109167, id=,B08, PRDE,actvstrat=,-0.686226, actvprof=,1.580556, id=,B09, PRDE,actvstrat=,0.362256, actvprof=,3.139167, id=,B10, PRDE,actvstrat=,0.366687, actvprof=,4.720000, id=,B11, PRDE,actvstrat=,-0.741572, actvprof=,5.220556, id=,S00, PRDE,actvstrat=,0.882134, actvprof=,11.278333, id=,S01, PRDE,actvstrat=,0.353676, actvprof=,7.450278, id=,S02, PRDE,actvstrat=,-0.740326, actvprof=,1.681111, id=,S03, PRDE,actvstrat=,-0.842276, actvprof=,0.661389, id=,S04, PRDE,actvstrat=,0.269290, actvprof=,1.958056, id=,S05, PRDE,actvstrat=,0.454575, actvprof=,1.474444, id=,S06, PRDE,actvstrat=,0.063934, actvprof=,0.438889, id=,S07, PRDE,actvstrat=,0.873494, actvprof=,0.676111, id=,S08, PRDE,actvstrat=,0.138151, actvprof=,0.030556, id=,S09, PRDE,actvstrat=,0.300040, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,0.193264, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.407178, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.220556, best_B_strat=,-0.741572, best_S_id=,S00, best_S_prof=,11.278333, best_S_strat=,0.882134, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.780624, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.509103, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.819787, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.799480, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.537634, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.674143, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.871207, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.421634, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.099472, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.522834, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.675941, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.440342, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.866766, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.871207, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.780624, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.015834, id=,B04, PRDE,actvstrat=,0.509103, actvprof=,0.034167, id=,B05, PRDE,actvstrat=,0.819787, actvprof=,0.310837, id=,B06, PRDE,actvstrat=,0.799480, actvprof=,0.768898, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.307527, id=,B08, PRDE,actvstrat=,-0.537634, actvprof=,1.342793, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.271149, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.473130, id=,B11, PRDE,actvstrat=,0.674143, actvprof=,7.117860, id=,S00, PRDE,actvstrat=,0.871207, actvprof=,11.640135, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.297330, id=,S02, PRDE,actvstrat=,-0.421634, actvprof=,2.597530, id=,S03, PRDE,actvstrat=,-0.099472, actvprof=,2.034746, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.606998, id=,S05, PRDE,actvstrat=,-0.522834, actvprof=,0.424172, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.141124, id=,S07, PRDE,actvstrat=,-0.675941, actvprof=,0.063890, id=,S08, PRDE,actvstrat=,-0.440342, actvprof=,0.026945, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.093334, id=,S10, PRDE,actvstrat=,-0.866766, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.117860, best_B_strat=,0.674143, best_S_id=,S00, best_S_prof=,11.640135, best_S_strat=,0.871207, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.780624, actvprof=,0.000972, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.011945, id=,B04, PRDE,actvstrat=,0.509103, actvprof=,0.029306, id=,B05, PRDE,actvstrat=,0.819787, actvprof=,0.312224, id=,B06, PRDE,actvstrat=,0.799480, actvprof=,0.707921, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.351819, id=,B08, PRDE,actvstrat=,-0.537634, actvprof=,1.280563, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,3.293214, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.514204, id=,B11, PRDE,actvstrat=,0.674143, actvprof=,7.209625, id=,S00, PRDE,actvstrat=,0.871207, actvprof=,11.597428, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.356304, id=,S02, PRDE,actvstrat=,-0.421634, actvprof=,2.558209, id=,S03, PRDE,actvstrat=,-0.099472, actvprof=,2.143207, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.633638, id=,S05, PRDE,actvstrat=,-0.522834, actvprof=,0.478753, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.096812, id=,S07, PRDE,actvstrat=,-0.675941, actvprof=,0.057639, id=,S08, PRDE,actvstrat=,-0.440342, actvprof=,0.031389, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.082223, id=,S10, PRDE,actvstrat=,-0.866766, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.209625, best_B_strat=,0.674143, best_S_id=,S00, best_S_prof=,11.597428, best_S_strat=,0.871207, 
t=,32400, id=,B00, PRDE,actvstrat=,0.132543, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.784923, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.198599, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,0.280351, actvprof=,0.039167, id=,B05, PRDE,actvstrat=,0.317539, actvprof=,0.115001, id=,B06, PRDE,actvstrat=,0.799480, actvprof=,0.770009, id=,B07, PRDE,actvstrat=,-0.715144, actvprof=,0.542228, id=,B08, PRDE,actvstrat=,0.439276, actvprof=,1.804188, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.168358, id=,B10, PRDE,actvstrat=,-0.836290, actvprof=,3.432262, id=,B11, PRDE,actvstrat=,-0.095904, actvprof=,4.986724, id=,S00, PRDE,actvstrat=,-0.376448, actvprof=,5.234227, id=,S01, PRDE,actvstrat=,0.108676, actvprof=,6.557576, id=,S02, PRDE,actvstrat=,-0.421634, actvprof=,2.831699, id=,S03, PRDE,actvstrat=,-0.099472, actvprof=,2.344194, id=,S04, PRDE,actvstrat=,0.691467, actvprof=,3.758099, id=,S05, PRDE,actvstrat=,-0.212890, actvprof=,0.625563, id=,S06, PRDE,actvstrat=,-0.011150, actvprof=,0.537228, id=,S07, PRDE,actvstrat=,0.732371, actvprof=,0.793898, id=,S08, PRDE,actvstrat=,-0.061179, actvprof=,0.031111, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.036945, id=,S10, PRDE,actvstrat=,0.368431, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.170708, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.986724, best_B_strat=,-0.095904, best_S_id=,S01, best_S_prof=,6.557576, best_S_strat=,0.108676, 
t=,36000, id=,B00, PRDE,actvstrat=,0.132543, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.098142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.784923, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.198599, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.280351, actvprof=,0.030278, id=,B05, PRDE,actvstrat=,0.317539, actvprof=,0.119167, id=,B06, PRDE,actvstrat=,0.799480, actvprof=,0.746810, id=,B07, PRDE,actvstrat=,-0.715144, actvprof=,0.544448, id=,B08, PRDE,actvstrat=,0.439276, actvprof=,1.804455, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.133207, id=,B10, PRDE,actvstrat=,-0.836290, actvprof=,3.190713, id=,B11, PRDE,actvstrat=,-0.095904, actvprof=,5.047529, id=,S00, PRDE,actvstrat=,-0.376448, actvprof=,5.448087, id=,S01, PRDE,actvstrat=,0.108676, actvprof=,6.380592, id=,S02, PRDE,actvstrat=,-0.421634, actvprof=,3.045712, id=,S03, PRDE,actvstrat=,-0.099472, actvprof=,2.480153, id=,S04, PRDE,actvstrat=,0.691467, actvprof=,3.662799, id=,S05, PRDE,actvstrat=,-0.212890, actvprof=,0.605976, id=,S06, PRDE,actvstrat=,-0.011150, actvprof=,0.524725, id=,S07, PRDE,actvstrat=,0.732371, actvprof=,0.739865, id=,S08, PRDE,actvstrat=,-0.061179, actvprof=,0.036250, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.029167, id=,S10, PRDE,actvstrat=,0.368431, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.170708, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.047529, best_B_strat=,-0.095904, best_S_id=,S01, best_S_prof=,6.380592, best_S_strat=,0.108676, 
