t=,0, id=,B00, PRDE,actvstrat=,0.166516, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.681179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296906, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.824548, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.398276, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.638589, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.697720, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.876887, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.512052, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.037039, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.354442, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.883880, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.275001, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.807357, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.504543, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.973780, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.490981, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.348485, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.511908, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.806637, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.356522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.220548, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.197208, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.075019, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.166516, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.275001, 
t=,3600, id=,B00, PRDE,actvstrat=,0.166516, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.681179, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296906, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.824548, actvprof=,0.008333, id=,B04, PRDE,actvstrat=,0.398276, actvprof=,0.026111, id=,B05, PRDE,actvstrat=,-0.638589, actvprof=,0.065277, id=,B06, PRDE,actvstrat=,0.697720, actvprof=,0.568327, id=,B07, PRDE,actvstrat=,-0.876887, actvprof=,0.902767, id=,B08, PRDE,actvstrat=,0.512052, actvprof=,1.867756, id=,B09, PRDE,actvstrat=,0.037039, actvprof=,2.350251, id=,B10, PRDE,actvstrat=,0.354442, actvprof=,4.061620, id=,B11, PRDE,actvstrat=,-0.883880, actvprof=,3.989120, id=,S00, PRDE,actvstrat=,-0.275001, actvprof=,3.704679, id=,S01, PRDE,actvstrat=,0.807357, actvprof=,9.121839, id=,S02, PRDE,actvstrat=,-0.504543, actvprof=,1.720536, id=,S03, PRDE,actvstrat=,-0.973780, actvprof=,1.544982, id=,S04, PRDE,actvstrat=,0.490981, actvprof=,2.219697, id=,S05, PRDE,actvstrat=,0.348485, actvprof=,0.998600, id=,S06, PRDE,actvstrat=,0.511908, actvprof=,0.536105, id=,S07, PRDE,actvstrat=,0.806637, actvprof=,0.461384, id=,S08, PRDE,actvstrat=,0.356522, actvprof=,0.029444, id=,S09, PRDE,actvstrat=,-0.220548, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.197208, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.075019, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.061620, best_B_strat=,0.354442, best_S_id=,S01, best_S_prof=,9.121839, best_S_strat=,0.807357, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.035184, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.659020, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.350076, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.365408, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.204213, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.385278, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.182489, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.504856, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.204175, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.227045, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.295596, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.586090, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.362573, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.464186, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.289825, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.613336, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.841304, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.201273, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.311624, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.412414, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.128293, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.480949, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.120014, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.970607, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.035184, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.362573, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.035184, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.659020, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.350076, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.365408, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.204213, actvprof=,0.014444, id=,B05, PRDE,actvstrat=,0.385278, actvprof=,0.249716, id=,B06, PRDE,actvstrat=,0.182489, actvprof=,0.451934, id=,B07, PRDE,actvstrat=,-0.504856, actvprof=,0.723039, id=,B08, PRDE,actvstrat=,0.204175, actvprof=,1.570797, id=,B09, PRDE,actvstrat=,0.227045, actvprof=,2.581607, id=,B10, PRDE,actvstrat=,-0.295596, actvprof=,2.952154, id=,B11, PRDE,actvstrat=,-0.586090, actvprof=,4.367954, id=,S00, PRDE,actvstrat=,0.362573, actvprof=,8.098701, id=,S01, PRDE,actvstrat=,-0.464186, actvprof=,2.623828, id=,S02, PRDE,actvstrat=,0.289825, actvprof=,4.448508, id=,S03, PRDE,actvstrat=,0.613336, actvprof=,3.949353, id=,S04, PRDE,actvstrat=,-0.841304, actvprof=,0.095553, id=,S05, PRDE,actvstrat=,-0.201273, actvprof=,0.243883, id=,S06, PRDE,actvstrat=,-0.311624, actvprof=,0.056943, id=,S07, PRDE,actvstrat=,0.412414, actvprof=,0.163052, id=,S08, PRDE,actvstrat=,-0.128293, actvprof=,0.024999, id=,S09, PRDE,actvstrat=,-0.480949, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.120014, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.970607, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.367954, best_B_strat=,-0.586090, best_S_id=,S00, best_S_prof=,8.098701, best_S_strat=,0.362573, 
t=,14400, id=,B00, PRDE,actvstrat=,0.437505, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.509805, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.982659, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.265326, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.406200, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.109466, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.052376, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.504856, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.204175, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.710689, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.454454, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.183699, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.362573, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.772221, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.667522, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.498916, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.616503, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.348485, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.686677, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.890382, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.949710, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.480949, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.988635, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.664407, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.437505, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.362573, 
t=,18000, id=,B00, PRDE,actvstrat=,0.437505, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.509805, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.982659, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.265326, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,0.406200, actvprof=,0.101111, id=,B05, PRDE,actvstrat=,-0.109466, actvprof=,0.217500, id=,B06, PRDE,actvstrat=,-0.052376, actvprof=,0.515833, id=,B07, PRDE,actvstrat=,-0.504856, actvprof=,0.922500, id=,B08, PRDE,actvstrat=,0.204175, actvprof=,2.515278, id=,B09, PRDE,actvstrat=,0.710689, actvprof=,4.169722, id=,B10, PRDE,actvstrat=,-0.454454, actvprof=,3.953889, id=,B11, PRDE,actvstrat=,-0.183699, actvprof=,5.616111, id=,S00, PRDE,actvstrat=,0.362573, actvprof=,6.936944, id=,S01, PRDE,actvstrat=,-0.772221, actvprof=,1.402778, id=,S02, PRDE,actvstrat=,0.667522, actvprof=,5.301944, id=,S03, PRDE,actvstrat=,0.498916, actvprof=,2.950833, id=,S04, PRDE,actvstrat=,-0.616503, actvprof=,0.444167, id=,S05, PRDE,actvstrat=,0.348485, actvprof=,0.742222, id=,S06, PRDE,actvstrat=,0.686677, actvprof=,0.651389, id=,S07, PRDE,actvstrat=,0.890382, actvprof=,0.482222, id=,S08, PRDE,actvstrat=,0.949710, actvprof=,0.165000, id=,S09, PRDE,actvstrat=,-0.480949, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.988635, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,0.664407, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.616111, best_B_strat=,-0.183699, best_S_id=,S00, best_S_prof=,6.936944, best_S_strat=,0.362573, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.130145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.711822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.695613, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.027938, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.940169, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.394822, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.465111, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.070516, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.567988, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.481536, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.535251, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.059667, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.004207, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.309177, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.630916, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.009197, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.130145, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.130145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.711822, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.695613, actvprof=,0.010556, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.042500, id=,B04, PRDE,actvstrat=,0.027938, actvprof=,0.036945, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.672508, id=,B06, PRDE,actvstrat=,-0.940169, actvprof=,0.798620, id=,B07, PRDE,actvstrat=,-0.394822, actvprof=,0.774453, id=,B08, PRDE,actvstrat=,-0.465111, actvprof=,1.620852, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.719198, id=,B10, PRDE,actvstrat=,0.070516, actvprof=,4.600331, id=,B11, PRDE,actvstrat=,0.567988, actvprof=,6.919247, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,10.474010, id=,S01, PRDE,actvstrat=,-0.481536, actvprof=,2.489473, id=,S02, PRDE,actvstrat=,-0.535251, actvprof=,2.101413, id=,S03, PRDE,actvstrat=,-0.059667, actvprof=,2.250582, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.098925, id=,S05, PRDE,actvstrat=,-0.004207, actvprof=,0.879455, id=,S06, PRDE,actvstrat=,0.309177, actvprof=,0.853343, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,1.095013, id=,S08, PRDE,actvstrat=,-0.630916, actvprof=,0.008056, id=,S09, PRDE,actvstrat=,-0.009197, actvprof=,0.009722, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.073056, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.919247, best_B_strat=,0.567988, best_S_id=,S00, best_S_prof=,10.474010, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.130145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.346169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.996866, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.968507, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.813125, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.972439, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.544569, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.394822, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.559272, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.637185, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.070516, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.017911, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.525816, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.981949, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.289825, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.773817, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.362897, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.767250, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.558917, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.687015, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.949710, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.503547, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.849209, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.970607, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.130145, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.525816, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.130145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.346169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.996866, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.968507, actvprof=,0.016111, id=,B04, PRDE,actvstrat=,0.813125, actvprof=,0.096668, id=,B05, PRDE,actvstrat=,-0.972439, actvprof=,0.468617, id=,B06, PRDE,actvstrat=,0.544569, actvprof=,0.746675, id=,B07, PRDE,actvstrat=,-0.394822, actvprof=,0.713342, id=,B08, PRDE,actvstrat=,-0.559272, actvprof=,1.573907, id=,B09, PRDE,actvstrat=,0.637185, actvprof=,4.200882, id=,B10, PRDE,actvstrat=,0.070516, actvprof=,4.975335, id=,B11, PRDE,actvstrat=,-0.017911, actvprof=,6.418408, id=,S00, PRDE,actvstrat=,0.525816, actvprof=,7.732589, id=,S01, PRDE,actvstrat=,-0.981949, actvprof=,4.732833, id=,S02, PRDE,actvstrat=,0.289825, actvprof=,3.769488, id=,S03, PRDE,actvstrat=,0.773817, actvprof=,4.218104, id=,S04, PRDE,actvstrat=,0.362897, actvprof=,1.452517, id=,S05, PRDE,actvstrat=,0.767250, actvprof=,1.532518, id=,S06, PRDE,actvstrat=,0.558917, actvprof=,0.421949, id=,S07, PRDE,actvstrat=,-0.687015, actvprof=,0.009722, id=,S08, PRDE,actvstrat=,0.949710, actvprof=,0.253614, id=,S09, PRDE,actvstrat=,-0.503547, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.849209, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.970607, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.418408, best_B_strat=,-0.017911, best_S_id=,S00, best_S_prof=,7.732589, best_S_strat=,0.525816, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.130145, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.346169, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.996866, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.968507, actvprof=,0.013611, id=,B04, PRDE,actvstrat=,0.813125, actvprof=,0.099029, id=,B05, PRDE,actvstrat=,-0.972439, actvprof=,0.440977, id=,B06, PRDE,actvstrat=,0.544569, actvprof=,0.789592, id=,B07, PRDE,actvstrat=,-0.394822, actvprof=,0.725147, id=,B08, PRDE,actvstrat=,-0.559272, actvprof=,1.578213, id=,B09, PRDE,actvstrat=,0.637185, actvprof=,4.164354, id=,B10, PRDE,actvstrat=,0.070516, actvprof=,4.762416, id=,B11, PRDE,actvstrat=,-0.017911, actvprof=,6.562576, id=,S00, PRDE,actvstrat=,0.525816, actvprof=,7.780784, id=,S01, PRDE,actvstrat=,-0.981949, actvprof=,4.760888, id=,S02, PRDE,actvstrat=,0.289825, actvprof=,3.602125, id=,S03, PRDE,actvstrat=,0.773817, actvprof=,4.044352, id=,S04, PRDE,actvstrat=,0.362897, actvprof=,1.497101, id=,S05, PRDE,actvstrat=,0.767250, actvprof=,1.654880, id=,S06, PRDE,actvstrat=,0.558917, actvprof=,0.415838, id=,S07, PRDE,actvstrat=,-0.687015, actvprof=,0.009861, id=,S08, PRDE,actvstrat=,0.949710, actvprof=,0.265003, id=,S09, PRDE,actvstrat=,-0.503547, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.849209, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.970607, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.562576, best_B_strat=,-0.017911, best_S_id=,S00, best_S_prof=,7.780784, best_S_strat=,0.525816, 
