t=,0, id=,B00, PRDE,actvstrat=,0.998877, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.730087, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.410041, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.381676, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.182015, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.978958, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.105869, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.591679, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.106436, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.721695, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.953207, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.863647, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.082794, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.270691, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.262008, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.127363, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.766602, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.069253, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.575836, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.923251, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.421315, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.491181, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.572516, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.413082, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.998877, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.082794, 
t=,3600, id=,B00, PRDE,actvstrat=,0.998877, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.730087, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.410041, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.381676, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.182015, actvprof=,0.007222, id=,B05, PRDE,actvstrat=,0.978958, actvprof=,0.133054, id=,B06, PRDE,actvstrat=,-0.105869, actvprof=,0.160831, id=,B07, PRDE,actvstrat=,-0.591679, actvprof=,0.339996, id=,B08, PRDE,actvstrat=,0.106436, actvprof=,1.502483, id=,B09, PRDE,actvstrat=,0.721695, actvprof=,3.080520, id=,B10, PRDE,actvstrat=,0.953207, actvprof=,3.126075, id=,B11, PRDE,actvstrat=,-0.863647, actvprof=,4.366061, id=,S00, PRDE,actvstrat=,-0.082794, actvprof=,5.476881, id=,S01, PRDE,actvstrat=,-0.270691, actvprof=,3.863289, id=,S02, PRDE,actvstrat=,0.262008, actvprof=,4.770500, id=,S03, PRDE,actvstrat=,0.127363, actvprof=,3.493015, id=,S04, PRDE,actvstrat=,0.766602, actvprof=,4.636613, id=,S05, PRDE,actvstrat=,0.069253, actvprof=,1.280263, id=,S06, PRDE,actvstrat=,0.575836, actvprof=,1.186097, id=,S07, PRDE,actvstrat=,-0.923251, actvprof=,0.212498, id=,S08, PRDE,actvstrat=,0.421315, actvprof=,0.248886, id=,S09, PRDE,actvstrat=,-0.491181, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,0.572516, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.413082, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.366061, best_B_strat=,-0.863647, best_S_id=,S00, best_S_prof=,5.476881, best_S_strat=,-0.082794, 
t=,7200, id=,B00, PRDE,actvstrat=,0.268464, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.571564, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.926467, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.236815, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.819485, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.049020, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.639774, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.698146, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.321585, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.235227, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.032381, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.759575, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.266134, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.238430, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.155146, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.393620, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.726639, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.229601, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.299894, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.297678, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.701767, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.531830, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.261391, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.704757, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.268464, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.266134, 
t=,10800, id=,B00, PRDE,actvstrat=,0.268464, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.571564, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.926467, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.236815, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.819485, actvprof=,0.099166, id=,B05, PRDE,actvstrat=,0.049020, actvprof=,0.158332, id=,B06, PRDE,actvstrat=,0.639774, actvprof=,0.628604, id=,B07, PRDE,actvstrat=,0.698146, actvprof=,1.273596, id=,B08, PRDE,actvstrat=,0.321585, actvprof=,1.527205, id=,B09, PRDE,actvstrat=,0.235227, actvprof=,2.267752, id=,B10, PRDE,actvstrat=,-0.032381, actvprof=,2.913577, id=,B11, PRDE,actvstrat=,0.759575, actvprof=,4.952998, id=,S00, PRDE,actvstrat=,0.266134, actvprof=,8.623511, id=,S01, PRDE,actvstrat=,0.238430, actvprof=,6.849087, id=,S02, PRDE,actvstrat=,0.155146, actvprof=,4.899943, id=,S03, PRDE,actvstrat=,-0.393620, actvprof=,1.528316, id=,S04, PRDE,actvstrat=,0.726639, actvprof=,4.384949, id=,S05, PRDE,actvstrat=,-0.229601, actvprof=,0.571660, id=,S06, PRDE,actvstrat=,0.299894, actvprof=,0.826657, id=,S07, PRDE,actvstrat=,-0.297678, actvprof=,0.129998, id=,S08, PRDE,actvstrat=,0.701767, actvprof=,0.456939, id=,S09, PRDE,actvstrat=,-0.531830, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,0.261391, actvprof=,0.007500, id=,S11, PRDE,actvstrat=,-0.704757, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.952998, best_B_strat=,0.759575, best_S_id=,S00, best_S_prof=,8.623511, best_S_strat=,0.266134, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.821084, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.617795, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.476709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.031186, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.214625, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.924630, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.639774, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.637505, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.956800, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.235227, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.712127, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.089960, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.742682, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.725755, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.803925, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.127363, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.726639, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.781918, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.647366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.297678, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.229257, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.862633, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.144189, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.046644, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.821084, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.742682, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.821084, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.617795, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.476709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.031186, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.214625, actvprof=,0.012778, id=,B05, PRDE,actvstrat=,0.924630, actvprof=,0.240556, id=,B06, PRDE,actvstrat=,0.639774, actvprof=,0.452500, id=,B07, PRDE,actvstrat=,-0.637505, actvprof=,0.394167, id=,B08, PRDE,actvstrat=,0.956800, actvprof=,1.445278, id=,B09, PRDE,actvstrat=,0.235227, actvprof=,2.398611, id=,B10, PRDE,actvstrat=,0.712127, actvprof=,4.277222, id=,B11, PRDE,actvstrat=,0.089960, actvprof=,4.671111, id=,S00, PRDE,actvstrat=,-0.742682, actvprof=,3.286667, id=,S01, PRDE,actvstrat=,-0.725755, actvprof=,2.496111, id=,S02, PRDE,actvstrat=,0.803925, actvprof=,8.459167, id=,S03, PRDE,actvstrat=,0.127363, actvprof=,2.956667, id=,S04, PRDE,actvstrat=,0.726639, actvprof=,4.498333, id=,S05, PRDE,actvstrat=,0.781918, actvprof=,3.148611, id=,S06, PRDE,actvstrat=,0.647366, actvprof=,1.540000, id=,S07, PRDE,actvstrat=,-0.297678, actvprof=,0.022222, id=,S08, PRDE,actvstrat=,-0.229257, actvprof=,0.028056, id=,S09, PRDE,actvstrat=,0.862633, actvprof=,0.107778, id=,S10, PRDE,actvstrat=,0.144189, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,0.046644, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.671111, best_B_strat=,0.089960, best_S_id=,S02, best_S_prof=,8.459167, best_S_strat=,0.803925, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.821084, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.617795, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.476709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.031186, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.214625, actvprof=,0.017917, id=,B05, PRDE,actvstrat=,0.924630, actvprof=,0.253057, id=,B06, PRDE,actvstrat=,0.639774, actvprof=,0.461114, id=,B07, PRDE,actvstrat=,-0.637505, actvprof=,0.437780, id=,B08, PRDE,actvstrat=,0.956800, actvprof=,1.445564, id=,B09, PRDE,actvstrat=,0.235227, actvprof=,2.349875, id=,B10, PRDE,actvstrat=,0.712127, actvprof=,4.258914, id=,B11, PRDE,actvstrat=,0.089960, actvprof=,4.690860, id=,S00, PRDE,actvstrat=,-0.742682, actvprof=,3.158491, id=,S01, PRDE,actvstrat=,-0.725755, actvprof=,2.478764, id=,S02, PRDE,actvstrat=,0.803925, actvprof=,8.413660, id=,S03, PRDE,actvstrat=,0.127363, actvprof=,3.112657, id=,S04, PRDE,actvstrat=,0.726639, actvprof=,4.477804, id=,S05, PRDE,actvstrat=,0.781918, actvprof=,3.223630, id=,S06, PRDE,actvstrat=,0.647366, actvprof=,1.499314, id=,S07, PRDE,actvstrat=,-0.297678, actvprof=,0.036111, id=,S08, PRDE,actvstrat=,-0.229257, actvprof=,0.028889, id=,S09, PRDE,actvstrat=,0.862633, actvprof=,0.116528, id=,S10, PRDE,actvstrat=,0.144189, actvprof=,0.001528, id=,S11, PRDE,actvstrat=,0.046644, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.690860, best_B_strat=,0.089960, best_S_id=,S02, best_S_prof=,8.413660, best_S_strat=,0.803925, 
t=,25200, id=,B00, PRDE,actvstrat=,0.722330, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.634986, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.706326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.896557, actvprof=,0.013056, id=,B04, PRDE,actvstrat=,-0.705577, actvprof=,0.018334, id=,B05, PRDE,actvstrat=,0.687190, actvprof=,0.194447, id=,B06, PRDE,actvstrat=,0.534689, actvprof=,0.539451, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.612796, id=,B08, PRDE,actvstrat=,0.287707, actvprof=,1.329738, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.760310, id=,B10, PRDE,actvstrat=,-0.735862, actvprof=,2.769476, id=,B11, PRDE,actvstrat=,-0.016209, actvprof=,4.933113, id=,S00, PRDE,actvstrat=,0.409801, actvprof=,8.780102, id=,S01, PRDE,actvstrat=,0.238467, actvprof=,5.774511, id=,S02, PRDE,actvstrat=,0.247240, actvprof=,4.390051, id=,S03, PRDE,actvstrat=,-0.225928, actvprof=,1.056679, id=,S04, PRDE,actvstrat=,-0.522291, actvprof=,0.475283, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.718643, id=,S06, PRDE,actvstrat=,-0.270752, actvprof=,0.106668, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.959456, id=,S08, PRDE,actvstrat=,0.426633, actvprof=,0.118335, id=,S09, PRDE,actvstrat=,-0.065390, actvprof=,0.009167, id=,S10, PRDE,actvstrat=,0.163891, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.933113, best_B_strat=,-0.016209, best_S_id=,S00, best_S_prof=,8.780102, best_S_strat=,0.409801, 
t=,28800, id=,B00, PRDE,actvstrat=,0.722330, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.634986, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.706326, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.896557, actvprof=,0.025695, id=,B04, PRDE,actvstrat=,-0.705577, actvprof=,0.016806, id=,B05, PRDE,actvstrat=,0.687190, actvprof=,0.177362, id=,B06, PRDE,actvstrat=,0.534689, actvprof=,0.486808, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.570981, id=,B08, PRDE,actvstrat=,0.287707, actvprof=,1.338063, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.695988, id=,B10, PRDE,actvstrat=,-0.735862, actvprof=,2.808627, id=,B11, PRDE,actvstrat=,-0.016209, actvprof=,4.926417, id=,S00, PRDE,actvstrat=,0.409801, actvprof=,8.406576, id=,S01, PRDE,actvstrat=,0.238467, actvprof=,5.840312, id=,S02, PRDE,actvstrat=,0.247240, actvprof=,4.410442, id=,S03, PRDE,actvstrat=,-0.225928, actvprof=,1.185701, id=,S04, PRDE,actvstrat=,-0.522291, actvprof=,0.486114, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.610571, id=,S06, PRDE,actvstrat=,-0.270752, actvprof=,0.099306, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.977783, id=,S08, PRDE,actvstrat=,0.426633, actvprof=,0.117084, id=,S09, PRDE,actvstrat=,-0.065390, actvprof=,0.004583, id=,S10, PRDE,actvstrat=,0.163891, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.926417, best_B_strat=,-0.016209, best_S_id=,S00, best_S_prof=,8.406576, best_S_strat=,0.409801, 
t=,32400, id=,B00, PRDE,actvstrat=,0.268464, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498945, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.926467, actvprof=,0.024723, id=,B03, PRDE,actvstrat=,0.454904, actvprof=,0.039167, id=,B04, PRDE,actvstrat=,-0.541712, actvprof=,0.058890, id=,B05, PRDE,actvstrat=,0.049020, actvprof=,0.378338, id=,B06, PRDE,actvstrat=,-0.251179, actvprof=,0.711953, id=,B07, PRDE,actvstrat=,-0.749845, actvprof=,1.703075, id=,B08, PRDE,actvstrat=,0.321585, actvprof=,3.217259, id=,B09, PRDE,actvstrat=,0.369544, actvprof=,4.561997, id=,B10, PRDE,actvstrat=,-0.735862, actvprof=,5.293950, id=,B11, PRDE,actvstrat=,0.759575, actvprof=,8.246484, id=,S00, PRDE,actvstrat=,0.725792, actvprof=,8.102594, id=,S01, PRDE,actvstrat=,0.238467, actvprof=,4.539219, id=,S02, PRDE,actvstrat=,0.155146, actvprof=,2.652808, id=,S03, PRDE,actvstrat=,0.127363, actvprof=,1.557796, id=,S04, PRDE,actvstrat=,0.508520, actvprof=,1.425850, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.230581, id=,S06, PRDE,actvstrat=,0.647366, actvprof=,0.475005, id=,S07, PRDE,actvstrat=,0.940745, actvprof=,0.676397, id=,S08, PRDE,actvstrat=,0.232531, actvprof=,0.041112, id=,S09, PRDE,actvstrat=,0.862633, actvprof=,0.046667, id=,S10, PRDE,actvstrat=,0.383080, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.059107, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.246484, best_B_strat=,0.759575, best_S_id=,S00, best_S_prof=,8.102594, best_S_strat=,0.725792, 
t=,36000, id=,B00, PRDE,actvstrat=,0.268464, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.498945, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.926467, actvprof=,0.016250, id=,B03, PRDE,actvstrat=,0.454904, actvprof=,0.050000, id=,B04, PRDE,actvstrat=,-0.541712, actvprof=,0.071250, id=,B05, PRDE,actvstrat=,0.049020, actvprof=,0.356669, id=,B06, PRDE,actvstrat=,-0.251179, actvprof=,0.658893, id=,B07, PRDE,actvstrat=,-0.749845, actvprof=,1.656121, id=,B08, PRDE,actvstrat=,0.321585, actvprof=,3.019740, id=,B09, PRDE,actvstrat=,0.369544, actvprof=,4.570582, id=,B10, PRDE,actvstrat=,-0.735862, actvprof=,5.118919, id=,B11, PRDE,actvstrat=,0.759575, actvprof=,8.189631, id=,S00, PRDE,actvstrat=,0.725792, actvprof=,8.108102, id=,S01, PRDE,actvstrat=,0.238467, actvprof=,4.369886, id=,S02, PRDE,actvstrat=,0.155146, actvprof=,2.655710, id=,S03, PRDE,actvstrat=,0.127363, actvprof=,1.551676, id=,S04, PRDE,actvstrat=,0.508520, actvprof=,1.517092, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.275291, id=,S06, PRDE,actvstrat=,0.647366, actvprof=,0.443753, id=,S07, PRDE,actvstrat=,0.940745, actvprof=,0.646670, id=,S08, PRDE,actvstrat=,0.232531, actvprof=,0.037639, id=,S09, PRDE,actvstrat=,0.862633, actvprof=,0.035278, id=,S10, PRDE,actvstrat=,0.383080, actvprof=,0.001806, id=,S11, PRDE,actvstrat=,-0.059107, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.189631, best_B_strat=,0.759575, best_S_id=,S00, best_S_prof=,8.108102, best_S_strat=,0.725792, 
