t=,1, id=,B00, PRDE,actvstrat=,-0.458736, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.353756, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.822081, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.674053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.197131, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.454685, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.420826, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.810188, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.232595, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.894444, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.908257, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.378075, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.042537, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.737217, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.180852, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.290234, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.064417, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.595939, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.406407, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.855303, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.813153, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.852274, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.223281, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.760983, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.458736, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.042537, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.458736, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.353756, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.822081, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.674053, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.197131, actvprof=,0.019444, id=,B05, PRDE,actvstrat=,-0.454685, actvprof=,0.038333, id=,B06, PRDE,actvstrat=,0.420826, actvprof=,0.252219, id=,B07, PRDE,actvstrat=,-0.810188, actvprof=,0.264164, id=,B08, PRDE,actvstrat=,0.232595, actvprof=,1.208597, id=,B09, PRDE,actvstrat=,0.894444, actvprof=,2.735802, id=,B10, PRDE,actvstrat=,-0.908257, actvprof=,2.553026, id=,B11, PRDE,actvstrat=,-0.378075, actvprof=,3.924399, id=,S00, PRDE,actvstrat=,-0.042537, actvprof=,6.412704, id=,S01, PRDE,actvstrat=,-0.737217, actvprof=,2.235252, id=,S02, PRDE,actvstrat=,-0.180852, actvprof=,2.564415, id=,S03, PRDE,actvstrat=,-0.290234, actvprof=,1.484983, id=,S04, PRDE,actvstrat=,-0.064417, actvprof=,1.596093, id=,S05, PRDE,actvstrat=,0.595939, actvprof=,2.143309, id=,S06, PRDE,actvstrat=,-0.406407, actvprof=,0.114443, id=,S07, PRDE,actvstrat=,0.855303, actvprof=,0.816935, id=,S08, PRDE,actvstrat=,-0.813153, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.852274, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.223281, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.760983, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.924399, best_B_strat=,-0.378075, best_S_id=,S00, best_S_prof=,6.412704, best_S_strat=,-0.042537, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.536272, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.869006, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.026171, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.809872, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.040211, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.127378, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.317139, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.195240, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.036904, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.105964, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.674576, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.423689, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.714926, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.834354, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.880387, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.881279, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.500404, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.720674, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.495114, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.807541, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.649487, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.542230, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.814869, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.482961, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.536272, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.714926, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.536272, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.869006, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.026171, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.809872, actvprof=,0.103888, id=,B04, PRDE,actvstrat=,-0.040211, actvprof=,0.106665, id=,B05, PRDE,actvstrat=,-0.127378, actvprof=,0.215831, id=,B06, PRDE,actvstrat=,-0.317139, actvprof=,0.693603, id=,B07, PRDE,actvstrat=,-0.195240, actvprof=,1.313040, id=,B08, PRDE,actvstrat=,0.036904, actvprof=,2.325529, id=,B09, PRDE,actvstrat=,0.105964, actvprof=,3.191908, id=,B10, PRDE,actvstrat=,0.674576, actvprof=,5.442993, id=,B11, PRDE,actvstrat=,0.423689, actvprof=,6.421592, id=,S00, PRDE,actvstrat=,-0.714926, actvprof=,3.397183, id=,S01, PRDE,actvstrat=,0.834354, actvprof=,8.574901, id=,S02, PRDE,actvstrat=,0.880387, actvprof=,6.819643, id=,S03, PRDE,actvstrat=,-0.881279, actvprof=,0.752214, id=,S04, PRDE,actvstrat=,-0.500404, actvprof=,0.793880, id=,S05, PRDE,actvstrat=,0.720674, actvprof=,2.456083, id=,S06, PRDE,actvstrat=,-0.495114, actvprof=,0.211109, id=,S07, PRDE,actvstrat=,0.807541, actvprof=,0.954989, id=,S08, PRDE,actvstrat=,0.649487, actvprof=,0.213053, id=,S09, PRDE,actvstrat=,0.542230, actvprof=,0.032222, id=,S10, PRDE,actvstrat=,-0.814869, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.482961, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.421592, best_B_strat=,0.423689, best_S_id=,S01, best_S_prof=,8.574901, best_S_strat=,0.834354, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.536272, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.781639, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.511276, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.809872, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.942798, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.485671, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.891620, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.195240, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.963776, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.832667, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.869726, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.972645, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.372931, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.834354, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.748335, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.881279, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.415724, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.115793, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.567301, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.169566, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.771454, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.881616, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.277141, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.978619, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.536272, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.372931, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.536272, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.781639, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.511276, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.809872, actvprof=,0.016667, id=,B04, PRDE,actvstrat=,-0.942798, actvprof=,0.048056, id=,B05, PRDE,actvstrat=,-0.485671, actvprof=,0.020833, id=,B06, PRDE,actvstrat=,0.891620, actvprof=,0.713056, id=,B07, PRDE,actvstrat=,-0.195240, actvprof=,0.515000, id=,B08, PRDE,actvstrat=,-0.963776, actvprof=,2.048611, id=,B09, PRDE,actvstrat=,0.832667, actvprof=,3.057778, id=,B10, PRDE,actvstrat=,-0.869726, actvprof=,2.968611, id=,B11, PRDE,actvstrat=,-0.972645, actvprof=,6.558611, id=,S00, PRDE,actvstrat=,0.372931, actvprof=,8.207778, id=,S01, PRDE,actvstrat=,0.834354, actvprof=,9.770833, id=,S02, PRDE,actvstrat=,0.748335, actvprof=,7.225833, id=,S03, PRDE,actvstrat=,-0.881279, actvprof=,0.158611, id=,S04, PRDE,actvstrat=,0.415724, actvprof=,2.055556, id=,S05, PRDE,actvstrat=,-0.115793, actvprof=,0.266111, id=,S06, PRDE,actvstrat=,-0.567301, actvprof=,0.051389, id=,S07, PRDE,actvstrat=,0.169566, actvprof=,0.105556, id=,S08, PRDE,actvstrat=,0.771454, actvprof=,0.061111, id=,S09, PRDE,actvstrat=,0.881616, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.277141, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.978619, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.558611, best_B_strat=,-0.972645, best_S_id=,S01, best_S_prof=,9.770833, best_S_strat=,0.834354, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.536272, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.781639, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.511276, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.809872, actvprof=,0.012639, id=,B04, PRDE,actvstrat=,-0.942798, actvprof=,0.044167, id=,B05, PRDE,actvstrat=,-0.485671, actvprof=,0.036806, id=,B06, PRDE,actvstrat=,0.891620, actvprof=,0.661948, id=,B07, PRDE,actvstrat=,-0.195240, actvprof=,0.490558, id=,B08, PRDE,actvstrat=,-0.963776, actvprof=,2.210013, id=,B09, PRDE,actvstrat=,0.832667, actvprof=,2.968212, id=,B10, PRDE,actvstrat=,-0.869726, actvprof=,2.885850, id=,B11, PRDE,actvstrat=,-0.972645, actvprof=,6.605872, id=,S00, PRDE,actvstrat=,0.372931, actvprof=,8.285326, id=,S01, PRDE,actvstrat=,0.834354, actvprof=,9.832696, id=,S02, PRDE,actvstrat=,0.748335, actvprof=,7.224486, id=,S03, PRDE,actvstrat=,-0.881279, actvprof=,0.181807, id=,S04, PRDE,actvstrat=,0.415724, actvprof=,2.158068, id=,S05, PRDE,actvstrat=,-0.115793, actvprof=,0.259863, id=,S06, PRDE,actvstrat=,-0.567301, actvprof=,0.055695, id=,S07, PRDE,actvstrat=,0.169566, actvprof=,0.097223, id=,S08, PRDE,actvstrat=,0.771454, actvprof=,0.064028, id=,S09, PRDE,actvstrat=,0.881616, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.277141, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.978619, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.605872, best_B_strat=,-0.972645, best_S_id=,S01, best_S_prof=,9.832696, best_S_strat=,0.834354, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.761351, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.555029, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.697451, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.052568, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.894605, actvprof=,0.040278, id=,B05, PRDE,actvstrat=,-0.467429, actvprof=,0.016945, id=,B06, PRDE,actvstrat=,-0.397700, actvprof=,0.059723, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.295837, id=,B08, PRDE,actvstrat=,0.313530, actvprof=,0.720286, id=,B09, PRDE,actvstrat=,-0.118702, actvprof=,1.227792, id=,B10, PRDE,actvstrat=,0.474723, actvprof=,3.178648, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,5.024503, id=,S00, PRDE,actvstrat=,-0.114920, actvprof=,5.822845, id=,S01, PRDE,actvstrat=,-0.302255, actvprof=,3.121425, id=,S02, PRDE,actvstrat=,-0.216721, actvprof=,2.576419, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.448420, id=,S04, PRDE,actvstrat=,-0.143073, actvprof=,1.037790, id=,S05, PRDE,actvstrat=,0.445169, actvprof=,1.903633, id=,S06, PRDE,actvstrat=,-0.467615, actvprof=,0.120557, id=,S07, PRDE,actvstrat=,0.869424, actvprof=,1.103624, id=,S08, PRDE,actvstrat=,-0.991577, actvprof=,0.406116, id=,S09, PRDE,actvstrat=,0.608709, actvprof=,0.061667, id=,S10, PRDE,actvstrat=,-0.707783, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.024503, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,7.448420, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.761351, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.555029, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.697451, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.052568, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.894605, actvprof=,0.040139, id=,B05, PRDE,actvstrat=,-0.467429, actvprof=,0.017778, id=,B06, PRDE,actvstrat=,-0.397700, actvprof=,0.059028, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.316946, id=,B08, PRDE,actvstrat=,0.313530, actvprof=,0.719310, id=,B09, PRDE,actvstrat=,-0.118702, actvprof=,1.140007, id=,B10, PRDE,actvstrat=,0.474723, actvprof=,3.253491, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,5.069474, id=,S00, PRDE,actvstrat=,-0.114920, actvprof=,5.952257, id=,S01, PRDE,actvstrat=,-0.302255, actvprof=,3.257519, id=,S02, PRDE,actvstrat=,-0.216721, actvprof=,2.474181, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,7.310737, id=,S04, PRDE,actvstrat=,-0.143073, actvprof=,1.035423, id=,S05, PRDE,actvstrat=,0.445169, actvprof=,1.888761, id=,S06, PRDE,actvstrat=,-0.467615, actvprof=,0.169029, id=,S07, PRDE,actvstrat=,0.869424, actvprof=,1.148757, id=,S08, PRDE,actvstrat=,-0.991577, actvprof=,0.422780, id=,S09, PRDE,actvstrat=,0.608709, actvprof=,0.075000, id=,S10, PRDE,actvstrat=,-0.707783, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.069474, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,7.310737, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.443355, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.565631, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.697451, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.809872, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.894605, actvprof=,0.020556, id=,B05, PRDE,actvstrat=,-0.127378, actvprof=,0.013333, id=,B06, PRDE,actvstrat=,0.891620, actvprof=,0.609174, id=,B07, PRDE,actvstrat=,-0.583451, actvprof=,0.204725, id=,B08, PRDE,actvstrat=,0.036904, actvprof=,1.136680, id=,B09, PRDE,actvstrat=,-0.796393, actvprof=,1.290015, id=,B10, PRDE,actvstrat=,-0.719680, actvprof=,2.572252, id=,B11, PRDE,actvstrat=,-0.624129, actvprof=,3.596986, id=,S00, PRDE,actvstrat=,-0.714926, actvprof=,2.228915, id=,S01, PRDE,actvstrat=,0.481574, actvprof=,6.658410, id=,S02, PRDE,actvstrat=,0.220802, actvprof=,3.597264, id=,S03, PRDE,actvstrat=,-0.484562, actvprof=,0.765564, id=,S04, PRDE,actvstrat=,-0.025171, actvprof=,1.169736, id=,S05, PRDE,actvstrat=,0.445169, actvprof=,0.912511, id=,S06, PRDE,actvstrat=,-0.467615, actvprof=,0.049167, id=,S07, PRDE,actvstrat=,-0.610564, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,-0.344485, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.608709, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,-0.707783, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.980806, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.596986, best_B_strat=,-0.624129, best_S_id=,S01, best_S_prof=,6.658410, best_S_strat=,0.481574, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.443355, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.565631, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.697451, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.809872, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.894605, actvprof=,0.023611, id=,B05, PRDE,actvstrat=,-0.127378, actvprof=,0.016250, id=,B06, PRDE,actvstrat=,0.891620, actvprof=,0.580559, id=,B07, PRDE,actvstrat=,-0.583451, actvprof=,0.251113, id=,B08, PRDE,actvstrat=,0.036904, actvprof=,1.103895, id=,B09, PRDE,actvstrat=,-0.796393, actvprof=,1.330980, id=,B10, PRDE,actvstrat=,-0.719680, actvprof=,2.510292, id=,B11, PRDE,actvstrat=,-0.624129, actvprof=,3.801550, id=,S00, PRDE,actvstrat=,-0.714926, actvprof=,2.324319, id=,S01, PRDE,actvstrat=,0.481574, actvprof=,6.762122, id=,S02, PRDE,actvstrat=,0.220802, actvprof=,3.815717, id=,S03, PRDE,actvstrat=,-0.484562, actvprof=,0.684171, id=,S04, PRDE,actvstrat=,-0.025171, actvprof=,0.978339, id=,S05, PRDE,actvstrat=,0.445169, actvprof=,0.962367, id=,S06, PRDE,actvstrat=,-0.467615, actvprof=,0.044861, id=,S07, PRDE,actvstrat=,-0.610564, actvprof=,0.009028, id=,S08, PRDE,actvstrat=,-0.344485, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.608709, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,-0.707783, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.980806, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.801550, best_B_strat=,-0.624129, best_S_id=,S01, best_S_prof=,6.762122, best_S_strat=,0.481574, 
