t=,1, id=,B00, PRDE,actvstrat=,0.393105, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.513312, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.595832, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.417500, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.711170, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.431008, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.727807, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.175119, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.486176, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.622677, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.134320, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.647826, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.443843, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.755411, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.567547, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.124554, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.152305, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.645770, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.144670, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.920923, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.007823, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.154901, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.565500, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.315289, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.393105, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.443843, 
t=,3600, id=,B00, PRDE,actvstrat=,0.393105, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.513312, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.595832, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.417500, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.711170, actvprof=,0.043611, id=,B05, PRDE,actvstrat=,0.431008, actvprof=,0.132221, id=,B06, PRDE,actvstrat=,0.727807, actvprof=,0.778880, id=,B07, PRDE,actvstrat=,0.175119, actvprof=,0.785269, id=,B08, PRDE,actvstrat=,0.486176, actvprof=,2.093309, id=,B09, PRDE,actvstrat=,-0.622677, actvprof=,2.330806, id=,B10, PRDE,actvstrat=,0.134320, actvprof=,3.994954, id=,B11, PRDE,actvstrat=,-0.647826, actvprof=,4.711612, id=,S00, PRDE,actvstrat=,0.443843, actvprof=,8.952952, id=,S01, PRDE,actvstrat=,-0.755411, actvprof=,2.591359, id=,S02, PRDE,actvstrat=,-0.567547, actvprof=,2.604137, id=,S03, PRDE,actvstrat=,0.124554, actvprof=,3.156908, id=,S04, PRDE,actvstrat=,0.152305, actvprof=,1.869145, id=,S05, PRDE,actvstrat=,0.645770, actvprof=,1.820534, id=,S06, PRDE,actvstrat=,0.144670, actvprof=,0.360829, id=,S07, PRDE,actvstrat=,-0.920923, actvprof=,0.148054, id=,S08, PRDE,actvstrat=,-0.007823, actvprof=,0.030277, id=,S09, PRDE,actvstrat=,-0.154901, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.565500, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.315289, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.711612, best_B_strat=,-0.647826, best_S_id=,S00, best_S_prof=,8.952952, best_S_strat=,0.443843, 
t=,7200, id=,B00, PRDE,actvstrat=,0.841160, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.770331, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.228488, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.167397, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.877296, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.266371, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.037420, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.021987, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.107359, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.220961, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.009204, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.383081, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.317338, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.889875, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.547095, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.066091, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.361092, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.242189, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.679501, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.067836, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.534613, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.038571, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.225306, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.676830, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.841160, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.317338, 
t=,10800, id=,B00, PRDE,actvstrat=,0.841160, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.770331, actvprof=,0.001111, id=,B02, PRDE,actvstrat=,0.228488, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.167397, actvprof=,0.021111, id=,B04, PRDE,actvstrat=,0.877296, actvprof=,0.426384, id=,B05, PRDE,actvstrat=,-0.266371, actvprof=,0.245830, id=,B06, PRDE,actvstrat=,0.037420, actvprof=,0.831657, id=,B07, PRDE,actvstrat=,-0.021987, actvprof=,1.439428, id=,B08, PRDE,actvstrat=,0.107359, actvprof=,2.349417, id=,B09, PRDE,actvstrat=,-0.220961, actvprof=,2.955799, id=,B10, PRDE,actvstrat=,-0.009204, actvprof=,4.079119, id=,B11, PRDE,actvstrat=,0.383081, actvprof=,6.240483, id=,S00, PRDE,actvstrat=,0.317338, actvprof=,8.100184, id=,S01, PRDE,actvstrat=,0.889875, actvprof=,8.403792, id=,S02, PRDE,actvstrat=,0.547095, actvprof=,5.909932, id=,S03, PRDE,actvstrat=,-0.066091, actvprof=,2.457194, id=,S04, PRDE,actvstrat=,-0.361092, actvprof=,0.905267, id=,S05, PRDE,actvstrat=,0.242189, actvprof=,1.348318, id=,S06, PRDE,actvstrat=,-0.679501, actvprof=,0.186665, id=,S07, PRDE,actvstrat=,0.067836, actvprof=,0.316107, id=,S08, PRDE,actvstrat=,-0.534613, actvprof=,0.044166, id=,S09, PRDE,actvstrat=,0.038571, actvprof=,0.021389, id=,S10, PRDE,actvstrat=,0.225306, actvprof=,0.008611, id=,S11, PRDE,actvstrat=,-0.676830, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.240483, best_B_strat=,0.383081, best_S_id=,S01, best_S_prof=,8.403792, best_S_strat=,0.889875, 
t=,14400, id=,B00, PRDE,actvstrat=,0.841160, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.574427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.228488, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.732519, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.086933, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.002501, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.347101, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.021987, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.107359, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.934897, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.627755, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.383081, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.908167, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.703462, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.396474, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.818982, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.361092, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.866585, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.552909, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.959602, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.658917, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.872893, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.541251, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.684209, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.841160, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.908167, 
t=,18000, id=,B00, PRDE,actvstrat=,0.841160, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.574427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.228488, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.732519, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.086933, actvprof=,0.001111, id=,B05, PRDE,actvstrat=,0.002501, actvprof=,0.078056, id=,B06, PRDE,actvstrat=,0.347101, actvprof=,0.432500, id=,B07, PRDE,actvstrat=,-0.021987, actvprof=,0.900556, id=,B08, PRDE,actvstrat=,0.107359, actvprof=,1.827500, id=,B09, PRDE,actvstrat=,-0.934897, actvprof=,2.083056, id=,B10, PRDE,actvstrat=,0.627755, actvprof=,5.607222, id=,B11, PRDE,actvstrat=,0.383081, actvprof=,7.044167, id=,S00, PRDE,actvstrat=,-0.908167, actvprof=,2.771667, id=,S01, PRDE,actvstrat=,-0.703462, actvprof=,3.003889, id=,S02, PRDE,actvstrat=,-0.396474, actvprof=,2.002778, id=,S03, PRDE,actvstrat=,0.818982, actvprof=,4.817500, id=,S04, PRDE,actvstrat=,-0.361092, actvprof=,0.621111, id=,S05, PRDE,actvstrat=,0.866585, actvprof=,2.268611, id=,S06, PRDE,actvstrat=,-0.552909, actvprof=,0.131944, id=,S07, PRDE,actvstrat=,0.959602, actvprof=,0.766389, id=,S08, PRDE,actvstrat=,-0.658917, actvprof=,0.022222, id=,S09, PRDE,actvstrat=,-0.872893, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.541251, actvprof=,0.007778, id=,S11, PRDE,actvstrat=,0.684209, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.044167, best_B_strat=,0.383081, best_S_id=,S03, best_S_prof=,4.817500, best_S_strat=,0.818982, 
t=,21600, id=,B00, PRDE,actvstrat=,0.841160, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.574427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.228488, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.732519, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.086933, actvprof=,0.005694, id=,B05, PRDE,actvstrat=,0.002501, actvprof=,0.077223, id=,B06, PRDE,actvstrat=,0.347101, actvprof=,0.427780, id=,B07, PRDE,actvstrat=,-0.021987, actvprof=,0.854310, id=,B08, PRDE,actvstrat=,0.107359, actvprof=,1.857927, id=,B09, PRDE,actvstrat=,-0.934897, actvprof=,2.025984, id=,B10, PRDE,actvstrat=,0.627755, actvprof=,5.705866, id=,B11, PRDE,actvstrat=,0.383081, actvprof=,7.112680, id=,S00, PRDE,actvstrat=,-0.908167, actvprof=,2.841266, id=,S01, PRDE,actvstrat=,-0.703462, actvprof=,2.931128, id=,S02, PRDE,actvstrat=,-0.396474, actvprof=,2.197513, id=,S03, PRDE,actvstrat=,0.818982, actvprof=,4.887667, id=,S04, PRDE,actvstrat=,-0.361092, actvprof=,0.648893, id=,S05, PRDE,actvstrat=,0.866585, actvprof=,2.340430, id=,S06, PRDE,actvstrat=,-0.552909, actvprof=,0.110001, id=,S07, PRDE,actvstrat=,0.959602, actvprof=,0.782921, id=,S08, PRDE,actvstrat=,-0.658917, actvprof=,0.013056, id=,S09, PRDE,actvstrat=,-0.872893, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.541251, actvprof=,0.006528, id=,S11, PRDE,actvstrat=,0.684209, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.112680, best_B_strat=,0.383081, best_S_id=,S03, best_S_prof=,4.887667, best_S_strat=,0.818982, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.496331, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.019722, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.070556, id=,B05, PRDE,actvstrat=,-0.098939, actvprof=,0.101112, id=,B06, PRDE,actvstrat=,0.508669, actvprof=,0.975289, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.872232, id=,B08, PRDE,actvstrat=,-0.573935, actvprof=,1.812243, id=,B09, PRDE,actvstrat=,-0.407334, actvprof=,3.037257, id=,B10, PRDE,actvstrat=,-0.171386, actvprof=,4.830056, id=,B11, PRDE,actvstrat=,0.457434, actvprof=,7.505642, id=,S00, PRDE,actvstrat=,0.845386, actvprof=,10.534566, id=,S01, PRDE,actvstrat=,0.682109, actvprof=,7.757034, id=,S02, PRDE,actvstrat=,0.409357, actvprof=,5.036725, id=,S03, PRDE,actvstrat=,-0.085110, actvprof=,2.001690, id=,S04, PRDE,actvstrat=,0.539696, actvprof=,2.316416, id=,S05, PRDE,actvstrat=,0.668481, actvprof=,1.625297, id=,S06, PRDE,actvstrat=,-0.106041, actvprof=,0.131390, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.431394, id=,S08, PRDE,actvstrat=,-0.708068, actvprof=,0.019722, id=,S09, PRDE,actvstrat=,0.562860, actvprof=,0.007778, id=,S10, PRDE,actvstrat=,0.619631, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.475185, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.505642, best_B_strat=,0.457434, best_S_id=,S00, best_S_prof=,10.534566, best_S_strat=,0.845386, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.496331, actvprof=,0.002083, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.016806, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.073056, id=,B05, PRDE,actvstrat=,-0.098939, actvprof=,0.136112, id=,B06, PRDE,actvstrat=,0.508669, actvprof=,0.945283, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.878338, id=,B08, PRDE,actvstrat=,-0.573935, actvprof=,1.812510, id=,B09, PRDE,actvstrat=,-0.407334, actvprof=,2.911128, id=,B10, PRDE,actvstrat=,-0.171386, actvprof=,4.764194, id=,B11, PRDE,actvstrat=,0.457434, actvprof=,7.500321, id=,S00, PRDE,actvstrat=,0.845386, actvprof=,10.473811, id=,S01, PRDE,actvstrat=,0.682109, actvprof=,7.731850, id=,S02, PRDE,actvstrat=,0.409357, actvprof=,4.941140, id=,S03, PRDE,actvstrat=,-0.085110, actvprof=,1.939872, id=,S04, PRDE,actvstrat=,0.539696, actvprof=,2.433486, id=,S05, PRDE,actvstrat=,0.668481, actvprof=,1.695149, id=,S06, PRDE,actvstrat=,-0.106041, actvprof=,0.155834, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.425836, id=,S08, PRDE,actvstrat=,-0.708068, actvprof=,0.009861, id=,S09, PRDE,actvstrat=,0.562860, actvprof=,0.016250, id=,S10, PRDE,actvstrat=,0.619631, actvprof=,0.003056, id=,S11, PRDE,actvstrat=,0.475185, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.500321, best_B_strat=,0.457434, best_S_id=,S00, best_S_prof=,10.473811, best_S_strat=,0.845386, 
t=,32400, id=,B00, PRDE,actvstrat=,0.684799, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.651412, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,0.866860, actvprof=,0.063334, id=,B04, PRDE,actvstrat=,-0.314935, actvprof=,0.031389, id=,B05, PRDE,actvstrat=,-0.403041, actvprof=,0.166113, id=,B06, PRDE,actvstrat=,-0.013228, actvprof=,0.478339, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.743620, id=,B08, PRDE,actvstrat=,-0.573935, actvprof=,1.646130, id=,B09, PRDE,actvstrat=,0.894830, actvprof=,3.500041, id=,B10, PRDE,actvstrat=,0.198844, actvprof=,4.729221, id=,B11, PRDE,actvstrat=,-0.320213, actvprof=,5.328673, id=,S00, PRDE,actvstrat=,0.033298, actvprof=,7.367863, id=,S01, PRDE,actvstrat=,-0.844885, actvprof=,2.185581, id=,S02, PRDE,actvstrat=,0.547095, actvprof=,6.515631, id=,S03, PRDE,actvstrat=,0.094215, actvprof=,3.451151, id=,S04, PRDE,actvstrat=,0.777297, actvprof=,4.354495, id=,S05, PRDE,actvstrat=,0.668481, actvprof=,2.521696, id=,S06, PRDE,actvstrat=,-0.720221, actvprof=,0.176391, id=,S07, PRDE,actvstrat=,0.728615, actvprof=,0.644174, id=,S08, PRDE,actvstrat=,-0.708068, actvprof=,0.004167, id=,S09, PRDE,actvstrat=,0.562860, actvprof=,0.017778, id=,S10, PRDE,actvstrat=,0.399112, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.002164, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.328673, best_B_strat=,-0.320213, best_S_id=,S00, best_S_prof=,7.367863, best_S_strat=,0.033298, 
t=,36000, id=,B00, PRDE,actvstrat=,0.684799, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.651412, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.866860, actvprof=,0.055695, id=,B04, PRDE,actvstrat=,-0.314935, actvprof=,0.036528, id=,B05, PRDE,actvstrat=,-0.403041, actvprof=,0.160695, id=,B06, PRDE,actvstrat=,-0.013228, actvprof=,0.498614, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.788477, id=,B08, PRDE,actvstrat=,-0.573935, actvprof=,1.678621, id=,B09, PRDE,actvstrat=,0.894830, actvprof=,3.415575, id=,B10, PRDE,actvstrat=,0.198844, actvprof=,4.705999, id=,B11, PRDE,actvstrat=,-0.320213, actvprof=,5.210169, id=,S00, PRDE,actvstrat=,0.033298, actvprof=,7.502405, id=,S01, PRDE,actvstrat=,-0.844885, actvprof=,2.140151, id=,S02, PRDE,actvstrat=,0.547095, actvprof=,6.479204, id=,S03, PRDE,actvstrat=,0.094215, actvprof=,3.411825, id=,S04, PRDE,actvstrat=,0.777297, actvprof=,4.342525, id=,S05, PRDE,actvstrat=,0.668481, actvprof=,2.539737, id=,S06, PRDE,actvstrat=,-0.720221, actvprof=,0.140556, id=,S07, PRDE,actvstrat=,0.728615, actvprof=,0.692226, id=,S08, PRDE,actvstrat=,-0.708068, actvprof=,0.006111, id=,S09, PRDE,actvstrat=,0.562860, actvprof=,0.016945, id=,S10, PRDE,actvstrat=,0.399112, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.002164, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.210169, best_B_strat=,-0.320213, best_S_id=,S00, best_S_prof=,7.502405, best_S_strat=,0.033298, 
