t=,0, id=,B00, PRDE,actvstrat=,-0.438851, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.712544, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.428642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.217917, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.834402, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.793174, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.220579, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.354742, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.569774, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.541472, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.601317, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.233398, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.755127, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.174934, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.156201, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.328629, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.407499, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.218407, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.393850, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.562566, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.837032, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.683353, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.039771, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.465624, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.438851, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.755127, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.438851, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.712544, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.428642, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.217917, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.834402, actvprof=,0.015833, id=,B05, PRDE,actvstrat=,-0.793174, actvprof=,0.049999, id=,B06, PRDE,actvstrat=,-0.220579, actvprof=,0.130276, id=,B07, PRDE,actvstrat=,0.354742, actvprof=,0.586938, id=,B08, PRDE,actvstrat=,0.569774, actvprof=,1.370262, id=,B09, PRDE,actvstrat=,0.541472, actvprof=,2.289696, id=,B10, PRDE,actvstrat=,-0.601317, actvprof=,2.013866, id=,B11, PRDE,actvstrat=,-0.233398, actvprof=,3.320795, id=,S00, PRDE,actvstrat=,-0.755127, actvprof=,2.906355, id=,S01, PRDE,actvstrat=,-0.174934, actvprof=,4.021342, id=,S02, PRDE,actvstrat=,0.156201, actvprof=,5.113830, id=,S03, PRDE,actvstrat=,-0.328629, actvprof=,1.515816, id=,S04, PRDE,actvstrat=,0.407499, actvprof=,3.009410, id=,S05, PRDE,actvstrat=,-0.218407, actvprof=,0.391107, id=,S06, PRDE,actvstrat=,-0.393850, actvprof=,0.154720, id=,S07, PRDE,actvstrat=,0.562566, actvprof=,0.430551, id=,S08, PRDE,actvstrat=,-0.837032, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.683353, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.039771, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.465624, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.320795, best_B_strat=,-0.233398, best_S_id=,S02, best_S_prof=,5.113830, best_S_strat=,0.156201, 
t=,7200, id=,B00, PRDE,actvstrat=,0.785057, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.464505, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.163794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.474900, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.223746, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.611171, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.686398, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.150615, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.491990, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.329903, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.001495, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.385409, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.645206, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.733140, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.323382, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.614539, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.815621, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.050657, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.483614, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.650362, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.825849, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.407154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.647574, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.425590, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.785057, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.645206, 
t=,10800, id=,B00, PRDE,actvstrat=,0.785057, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.464505, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.163794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.474900, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.223746, actvprof=,0.015000, id=,B05, PRDE,actvstrat=,-0.611171, actvprof=,0.049999, id=,B06, PRDE,actvstrat=,0.686398, actvprof=,0.527772, id=,B07, PRDE,actvstrat=,0.150615, actvprof=,0.655548, id=,B08, PRDE,actvstrat=,0.491990, actvprof=,1.651925, id=,B09, PRDE,actvstrat=,-0.329903, actvprof=,1.765257, id=,B10, PRDE,actvstrat=,-0.001495, actvprof=,3.029409, id=,B11, PRDE,actvstrat=,-0.385409, actvprof=,4.229673, id=,S00, PRDE,actvstrat=,-0.645206, actvprof=,3.462738, id=,S01, PRDE,actvstrat=,-0.733140, actvprof=,2.062198, id=,S02, PRDE,actvstrat=,0.323382, actvprof=,5.016886, id=,S03, PRDE,actvstrat=,-0.614539, actvprof=,0.894156, id=,S04, PRDE,actvstrat=,0.815621, actvprof=,3.949954, id=,S05, PRDE,actvstrat=,0.050657, actvprof=,0.928878, id=,S06, PRDE,actvstrat=,-0.483614, actvprof=,0.126110, id=,S07, PRDE,actvstrat=,-0.650362, actvprof=,0.012222, id=,S08, PRDE,actvstrat=,0.825849, actvprof=,0.213609, id=,S09, PRDE,actvstrat=,-0.407154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.647574, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.425590, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.229673, best_B_strat=,-0.385409, best_S_id=,S02, best_S_prof=,5.016886, best_S_strat=,0.323382, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.316860, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.575577, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761962, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.589317, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.263008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.016054, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.084654, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.418943, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.491990, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.174477, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.031020, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.147715, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.741534, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.179000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.533119, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.676250, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.154907, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.075977, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.281262, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.477429, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.627204, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.407154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.486031, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.848285, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.316860, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.741534, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.316860, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.575577, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761962, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,-0.589317, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,0.263008, actvprof=,0.045000, id=,B05, PRDE,actvstrat=,0.016054, actvprof=,0.166111, id=,B06, PRDE,actvstrat=,0.084654, actvprof=,0.514167, id=,B07, PRDE,actvstrat=,-0.418943, actvprof=,0.781111, id=,B08, PRDE,actvstrat=,0.491990, actvprof=,2.298333, id=,B09, PRDE,actvstrat=,0.174477, actvprof=,2.926389, id=,B10, PRDE,actvstrat=,-0.031020, actvprof=,3.422500, id=,B11, PRDE,actvstrat=,-0.147715, actvprof=,4.720556, id=,S00, PRDE,actvstrat=,-0.741534, actvprof=,3.158056, id=,S01, PRDE,actvstrat=,0.179000, actvprof=,5.183889, id=,S02, PRDE,actvstrat=,0.533119, actvprof=,5.797778, id=,S03, PRDE,actvstrat=,0.676250, actvprof=,4.942500, id=,S04, PRDE,actvstrat=,-0.154907, actvprof=,1.021667, id=,S05, PRDE,actvstrat=,0.075977, actvprof=,1.116111, id=,S06, PRDE,actvstrat=,-0.281262, actvprof=,0.240278, id=,S07, PRDE,actvstrat=,-0.477429, actvprof=,0.034722, id=,S08, PRDE,actvstrat=,-0.627204, actvprof=,0.007500, id=,S09, PRDE,actvstrat=,-0.407154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.486031, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.848285, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.720556, best_B_strat=,-0.147715, best_S_id=,S02, best_S_prof=,5.797778, best_S_strat=,0.533119, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.316860, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.575577, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.761962, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.589317, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,0.263008, actvprof=,0.049584, id=,B05, PRDE,actvstrat=,0.016054, actvprof=,0.158334, id=,B06, PRDE,actvstrat=,0.084654, actvprof=,0.429169, id=,B07, PRDE,actvstrat=,-0.418943, actvprof=,0.713337, id=,B08, PRDE,actvstrat=,0.491990, actvprof=,2.388347, id=,B09, PRDE,actvstrat=,0.174477, actvprof=,2.856544, id=,B10, PRDE,actvstrat=,-0.031020, actvprof=,3.555993, id=,B11, PRDE,actvstrat=,-0.147715, actvprof=,4.908640, id=,S00, PRDE,actvstrat=,-0.741534, actvprof=,3.075851, id=,S01, PRDE,actvstrat=,0.179000, actvprof=,5.284058, id=,S02, PRDE,actvstrat=,0.533119, actvprof=,5.822534, id=,S03, PRDE,actvstrat=,0.676250, actvprof=,4.881417, id=,S04, PRDE,actvstrat=,-0.154907, actvprof=,1.068617, id=,S05, PRDE,actvstrat=,0.075977, actvprof=,1.063201, id=,S06, PRDE,actvstrat=,-0.281262, actvprof=,0.178195, id=,S07, PRDE,actvstrat=,-0.477429, actvprof=,0.045556, id=,S08, PRDE,actvstrat=,-0.627204, actvprof=,0.004444, id=,S09, PRDE,actvstrat=,-0.407154, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.486031, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,-0.848285, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.908640, best_B_strat=,-0.147715, best_S_id=,S02, best_S_prof=,5.822534, best_S_strat=,0.533119, 
t=,25200, id=,B00, PRDE,actvstrat=,0.967525, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.891936, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,0.175894, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,-0.707399, actvprof=,0.021667, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.135559, id=,B07, PRDE,actvstrat=,0.209789, actvprof=,0.257228, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.922822, id=,B09, PRDE,actvstrat=,0.718536, actvprof=,2.514503, id=,B10, PRDE,actvstrat=,-0.648407, actvprof=,1.703651, id=,B11, PRDE,actvstrat=,-0.843333, actvprof=,2.555059, id=,S00, PRDE,actvstrat=,-0.062809, actvprof=,7.215723, id=,S01, PRDE,actvstrat=,-0.204897, actvprof=,3.685363, id=,S02, PRDE,actvstrat=,-0.419435, actvprof=,2.156994, id=,S03, PRDE,actvstrat=,-0.472574, actvprof=,1.208917, id=,S04, PRDE,actvstrat=,0.533229, actvprof=,3.378967, id=,S05, PRDE,actvstrat=,0.450335, actvprof=,1.669483, id=,S06, PRDE,actvstrat=,-0.216794, actvprof=,0.098891, id=,S07, PRDE,actvstrat=,0.871199, actvprof=,0.648626, id=,S08, PRDE,actvstrat=,-0.037666, actvprof=,0.005000, id=,S09, PRDE,actvstrat=,-0.454564, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.520039, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.555059, best_B_strat=,-0.843333, best_S_id=,S00, best_S_prof=,7.215723, best_S_strat=,-0.062809, 
t=,28800, id=,B00, PRDE,actvstrat=,0.967525, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.891936, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,0.175894, actvprof=,0.003333, id=,B05, PRDE,actvstrat=,-0.707399, actvprof=,0.015000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.120835, id=,B07, PRDE,actvstrat=,0.209789, actvprof=,0.242364, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,1.841966, id=,B09, PRDE,actvstrat=,0.718536, actvprof=,2.418222, id=,B10, PRDE,actvstrat=,-0.648407, actvprof=,1.707103, id=,B11, PRDE,actvstrat=,-0.843333, actvprof=,2.685448, id=,S00, PRDE,actvstrat=,-0.062809, actvprof=,6.940636, id=,S01, PRDE,actvstrat=,-0.204897, actvprof=,3.816155, id=,S02, PRDE,actvstrat=,-0.419435, actvprof=,2.176275, id=,S03, PRDE,actvstrat=,-0.472574, actvprof=,1.167375, id=,S04, PRDE,actvstrat=,0.533229, actvprof=,3.253371, id=,S05, PRDE,actvstrat=,0.450335, actvprof=,1.663491, id=,S06, PRDE,actvstrat=,-0.216794, actvprof=,0.116946, id=,S07, PRDE,actvstrat=,0.871199, actvprof=,0.652924, id=,S08, PRDE,actvstrat=,-0.037666, actvprof=,0.003889, id=,S09, PRDE,actvstrat=,-0.454564, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.520039, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.685448, best_B_strat=,-0.843333, best_S_id=,S00, best_S_prof=,6.940636, best_S_strat=,-0.062809, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.511958, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.163794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.474900, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.728427, actvprof=,0.090835, id=,B05, PRDE,actvstrat=,0.495158, actvprof=,0.196671, id=,B06, PRDE,actvstrat=,0.996039, actvprof=,0.368897, id=,B07, PRDE,actvstrat=,-0.418943, actvprof=,0.588069, id=,B08, PRDE,actvstrat=,-0.251752, actvprof=,1.117804, id=,B09, PRDE,actvstrat=,-0.396500, actvprof=,2.051159, id=,B10, PRDE,actvstrat=,-0.444330, actvprof=,3.185352, id=,B11, PRDE,actvstrat=,-0.385409, actvprof=,4.661497, id=,S00, PRDE,actvstrat=,-0.062809, actvprof=,5.554851, id=,S01, PRDE,actvstrat=,-0.196175, actvprof=,3.303132, id=,S02, PRDE,actvstrat=,0.323382, actvprof=,4.478715, id=,S03, PRDE,actvstrat=,0.095931, actvprof=,2.591449, id=,S04, PRDE,actvstrat=,0.533229, actvprof=,2.301998, id=,S05, PRDE,actvstrat=,0.464480, actvprof=,1.126415, id=,S06, PRDE,actvstrat=,-0.216794, actvprof=,0.044168, id=,S07, PRDE,actvstrat=,-0.845284, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.460135, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,-0.454564, actvprof=,0.005000, id=,S10, PRDE,actvstrat=,-0.637462, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.425590, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.661497, best_B_strat=,-0.385409, best_S_id=,S00, best_S_prof=,5.554851, best_S_strat=,-0.062809, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.511958, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.163794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.474900, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,0.728427, actvprof=,0.069722, id=,B05, PRDE,actvstrat=,0.495158, actvprof=,0.175417, id=,B06, PRDE,actvstrat=,0.996039, actvprof=,0.375833, id=,B07, PRDE,actvstrat=,-0.418943, actvprof=,0.581250, id=,B08, PRDE,actvstrat=,-0.251752, actvprof=,1.131111, id=,B09, PRDE,actvstrat=,-0.396500, actvprof=,2.042361, id=,B10, PRDE,actvstrat=,-0.444330, actvprof=,3.098472, id=,B11, PRDE,actvstrat=,-0.385409, actvprof=,4.427778, id=,S00, PRDE,actvstrat=,-0.062809, actvprof=,5.695278, id=,S01, PRDE,actvstrat=,-0.196175, actvprof=,3.366528, id=,S02, PRDE,actvstrat=,0.323382, actvprof=,4.385556, id=,S03, PRDE,actvstrat=,0.095931, actvprof=,2.380000, id=,S04, PRDE,actvstrat=,0.533229, actvprof=,2.341111, id=,S05, PRDE,actvstrat=,0.464480, actvprof=,1.113472, id=,S06, PRDE,actvstrat=,-0.216794, actvprof=,0.062083, id=,S07, PRDE,actvstrat=,-0.845284, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.460135, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,-0.454564, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,-0.637462, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.425590, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.427778, best_B_strat=,-0.385409, best_S_id=,S00, best_S_prof=,5.695278, best_S_strat=,-0.062809, 
