t=,0, id=,B00, PRDE,actvstrat=,-0.636100, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.742043, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.816971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.722316, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.109383, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.560601, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.246877, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.628077, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.451663, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.439926, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.068003, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.567843, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.618848, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.634065, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.205328, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.274101, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.845225, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.750628, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.228357, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.807226, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.723622, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.805934, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.839537, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.978391, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.636100, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.618848, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.636100, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.742043, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.816971, actvprof=,0.007778, id=,B03, PRDE,actvstrat=,0.722316, actvprof=,0.071110, id=,B04, PRDE,actvstrat=,0.109383, actvprof=,0.114721, id=,B05, PRDE,actvstrat=,-0.560601, actvprof=,0.241942, id=,B06, PRDE,actvstrat=,-0.246877, actvprof=,0.545271, id=,B07, PRDE,actvstrat=,0.628077, actvprof=,2.086643, id=,B08, PRDE,actvstrat=,-0.451663, actvprof=,2.061921, id=,B09, PRDE,actvstrat=,-0.439926, actvprof=,3.034687, id=,B10, PRDE,actvstrat=,-0.068003, actvprof=,4.431893, id=,B11, PRDE,actvstrat=,-0.567843, actvprof=,5.886043, id=,S00, PRDE,actvstrat=,0.618848, actvprof=,8.952674, id=,S01, PRDE,actvstrat=,0.634065, actvprof=,7.444636, id=,S02, PRDE,actvstrat=,-0.205328, actvprof=,2.476638, id=,S03, PRDE,actvstrat=,0.274101, actvprof=,2.745802, id=,S04, PRDE,actvstrat=,-0.845225, actvprof=,0.406384, id=,S05, PRDE,actvstrat=,-0.750628, actvprof=,0.229442, id=,S06, PRDE,actvstrat=,-0.228357, actvprof=,0.162776, id=,S07, PRDE,actvstrat=,0.807226, actvprof=,0.326941, id=,S08, PRDE,actvstrat=,-0.723622, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.805934, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.839537, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.978391, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.886043, best_B_strat=,-0.567843, best_S_id=,S00, best_S_prof=,8.952674, best_S_strat=,0.618848, 
t=,7200, id=,B00, PRDE,actvstrat=,0.626066, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.268613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.405699, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.166673, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696981, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.440800, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.913647, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.783729, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.261117, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.374907, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.213161, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.581301, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.434378, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.673997, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.338821, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.996796, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.369193, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.704475, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.320369, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.169806, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.159896, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.339323, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.803178, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.102571, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.626066, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.434378, 
t=,10800, id=,B00, PRDE,actvstrat=,0.626066, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.268613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.405699, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.166673, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696981, actvprof=,0.020278, id=,B05, PRDE,actvstrat=,-0.440800, actvprof=,0.079999, id=,B06, PRDE,actvstrat=,-0.913647, actvprof=,0.469995, id=,B07, PRDE,actvstrat=,0.783729, actvprof=,0.967489, id=,B08, PRDE,actvstrat=,-0.261117, actvprof=,0.891101, id=,B09, PRDE,actvstrat=,-0.374907, actvprof=,1.213319, id=,B10, PRDE,actvstrat=,0.213161, actvprof=,2.943021, id=,B11, PRDE,actvstrat=,0.581301, actvprof=,5.123830, id=,S00, PRDE,actvstrat=,-0.434378, actvprof=,6.021875, id=,S01, PRDE,actvstrat=,0.673997, actvprof=,9.346281, id=,S02, PRDE,actvstrat=,-0.338821, actvprof=,2.728857, id=,S03, PRDE,actvstrat=,-0.996796, actvprof=,4.036898, id=,S04, PRDE,actvstrat=,-0.369193, actvprof=,1.084154, id=,S05, PRDE,actvstrat=,-0.704475, actvprof=,0.448050, id=,S06, PRDE,actvstrat=,-0.320369, actvprof=,0.172776, id=,S07, PRDE,actvstrat=,0.169806, actvprof=,0.472772, id=,S08, PRDE,actvstrat=,-0.159896, actvprof=,0.010555, id=,S09, PRDE,actvstrat=,0.339323, actvprof=,0.048055, id=,S10, PRDE,actvstrat=,-0.803178, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.102571, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.123830, best_B_strat=,0.581301, best_S_id=,S01, best_S_prof=,9.346281, best_S_strat=,0.673997, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.314578, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.268613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.029896, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.722316, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.423954, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.395839, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.806099, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.783729, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.612634, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.569595, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.213161, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.225864, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.763320, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.673997, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.623284, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.797290, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.621248, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.181691, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.582672, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.285996, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.599186, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.394097, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.639908, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.962931, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.314578, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.763320, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.314578, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.268613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.029896, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.722316, actvprof=,0.029167, id=,B04, PRDE,actvstrat=,0.423954, actvprof=,0.083056, id=,B05, PRDE,actvstrat=,0.395839, actvprof=,0.225833, id=,B06, PRDE,actvstrat=,0.806099, actvprof=,0.926389, id=,B07, PRDE,actvstrat=,0.783729, actvprof=,1.606944, id=,B08, PRDE,actvstrat=,0.612634, actvprof=,2.235833, id=,B09, PRDE,actvstrat=,0.569595, actvprof=,3.098611, id=,B10, PRDE,actvstrat=,0.213161, actvprof=,3.775278, id=,B11, PRDE,actvstrat=,0.225864, actvprof=,5.041944, id=,S00, PRDE,actvstrat=,0.763320, actvprof=,12.232500, id=,S01, PRDE,actvstrat=,0.673997, actvprof=,9.567500, id=,S02, PRDE,actvstrat=,0.623284, actvprof=,8.141944, id=,S03, PRDE,actvstrat=,0.797290, actvprof=,6.400278, id=,S04, PRDE,actvstrat=,-0.621248, actvprof=,0.961667, id=,S05, PRDE,actvstrat=,-0.181691, actvprof=,0.820833, id=,S06, PRDE,actvstrat=,-0.582672, actvprof=,0.290000, id=,S07, PRDE,actvstrat=,-0.285996, actvprof=,0.116667, id=,S08, PRDE,actvstrat=,0.599186, actvprof=,0.283611, id=,S09, PRDE,actvstrat=,-0.394097, actvprof=,0.010556, id=,S10, PRDE,actvstrat=,0.639908, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,0.962931, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.041944, best_B_strat=,0.225864, best_S_id=,S00, best_S_prof=,12.232500, best_S_strat=,0.763320, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.314578, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.268613, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.029896, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,0.722316, actvprof=,0.031389, id=,B04, PRDE,actvstrat=,0.423954, actvprof=,0.080278, id=,B05, PRDE,actvstrat=,0.395839, actvprof=,0.197084, id=,B06, PRDE,actvstrat=,0.806099, actvprof=,0.936255, id=,B07, PRDE,actvstrat=,0.783729, actvprof=,1.553342, id=,B08, PRDE,actvstrat=,0.612634, actvprof=,2.175151, id=,B09, PRDE,actvstrat=,0.569595, actvprof=,3.057795, id=,B10, PRDE,actvstrat=,0.213161, actvprof=,3.581687, id=,B11, PRDE,actvstrat=,0.225864, actvprof=,4.973223, id=,S00, PRDE,actvstrat=,0.763320, actvprof=,12.192293, id=,S01, PRDE,actvstrat=,0.673997, actvprof=,9.654778, id=,S02, PRDE,actvstrat=,0.623284, actvprof=,7.966435, id=,S03, PRDE,actvstrat=,0.797290, actvprof=,6.421148, id=,S04, PRDE,actvstrat=,-0.621248, actvprof=,0.904727, id=,S05, PRDE,actvstrat=,-0.181691, actvprof=,0.809449, id=,S06, PRDE,actvstrat=,-0.582672, actvprof=,0.267502, id=,S07, PRDE,actvstrat=,-0.285996, actvprof=,0.129167, id=,S08, PRDE,actvstrat=,0.599186, actvprof=,0.275557, id=,S09, PRDE,actvstrat=,-0.394097, actvprof=,0.009861, id=,S10, PRDE,actvstrat=,0.639908, actvprof=,0.007500, id=,S11, PRDE,actvstrat=,0.962931, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.973223, best_B_strat=,0.225864, best_S_id=,S00, best_S_prof=,12.192293, best_S_strat=,0.763320, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.275565, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.902552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.823387, actvprof=,0.012222, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,-0.020695, actvprof=,0.015556, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.292781, id=,B07, PRDE,actvstrat=,0.867857, actvprof=,0.755009, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.040579, id=,B09, PRDE,actvstrat=,0.335595, actvprof=,2.056413, id=,B10, PRDE,actvstrat=,0.802774, actvprof=,4.152826, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.583687, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.349321, id=,S01, PRDE,actvstrat=,-0.949997, actvprof=,1.218070, id=,S02, PRDE,actvstrat=,-0.108848, actvprof=,3.159203, id=,S03, PRDE,actvstrat=,-0.580303, actvprof=,1.551407, id=,S04, PRDE,actvstrat=,0.113904, actvprof=,2.052524, id=,S05, PRDE,actvstrat=,0.394408, actvprof=,1.596963, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.489462, id=,S07, PRDE,actvstrat=,0.083168, actvprof=,0.176669, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.412227, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.023334, id=,S10, PRDE,actvstrat=,0.997344, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.209510, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.583687, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,13.349321, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.275565, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.902552, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.823387, actvprof=,0.010695, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005833, id=,B05, PRDE,actvstrat=,-0.020695, actvprof=,0.011945, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.281946, id=,B07, PRDE,actvstrat=,0.867857, actvprof=,0.780282, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.014456, id=,B09, PRDE,actvstrat=,0.335595, actvprof=,2.085707, id=,B10, PRDE,actvstrat=,0.802774, actvprof=,4.180024, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,6.588927, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,13.239382, id=,S01, PRDE,actvstrat=,-0.949997, actvprof=,1.235146, id=,S02, PRDE,actvstrat=,-0.108848, actvprof=,3.269186, id=,S03, PRDE,actvstrat=,-0.580303, actvprof=,1.441953, id=,S04, PRDE,actvstrat=,0.113904, actvprof=,2.065151, id=,S05, PRDE,actvstrat=,0.394408, actvprof=,1.606815, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.462092, id=,S07, PRDE,actvstrat=,0.083168, actvprof=,0.140140, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.373613, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.025833, id=,S10, PRDE,actvstrat=,0.997344, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.209510, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.588927, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,13.239382, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.423392, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.816971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.402152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.862621, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,0.695138, actvprof=,0.026667, id=,B06, PRDE,actvstrat=,-0.913647, actvprof=,0.220838, id=,B07, PRDE,actvstrat=,0.867857, actvprof=,0.514456, id=,B08, PRDE,actvstrat=,0.884512, actvprof=,1.238362, id=,B09, PRDE,actvstrat=,0.819258, actvprof=,2.097271, id=,B10, PRDE,actvstrat=,0.534048, actvprof=,2.417834, id=,B11, PRDE,actvstrat=,-0.176663, actvprof=,2.533948, id=,S00, PRDE,actvstrat=,0.367646, actvprof=,10.969421, id=,S01, PRDE,actvstrat=,-0.882858, actvprof=,1.130860, id=,S02, PRDE,actvstrat=,0.623284, actvprof=,9.417440, id=,S03, PRDE,actvstrat=,-0.692962, actvprof=,1.741985, id=,S04, PRDE,actvstrat=,-0.806002, actvprof=,0.595014, id=,S05, PRDE,actvstrat=,0.417976, actvprof=,2.715341, id=,S06, PRDE,actvstrat=,0.435783, actvprof=,1.622815, id=,S07, PRDE,actvstrat=,0.169806, actvprof=,0.452510, id=,S08, PRDE,actvstrat=,-0.159896, actvprof=,0.024723, id=,S09, PRDE,actvstrat=,0.339323, actvprof=,0.022501, id=,S10, PRDE,actvstrat=,0.639908, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,0.102571, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.533948, best_B_strat=,-0.176663, best_S_id=,S00, best_S_prof=,10.969421, best_S_strat=,0.367646, 
t=,36000, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.423392, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.816971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.402152, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.862621, actvprof=,0.012639, id=,B05, PRDE,actvstrat=,0.695138, actvprof=,0.050695, id=,B06, PRDE,actvstrat=,-0.913647, actvprof=,0.239864, id=,B07, PRDE,actvstrat=,0.867857, actvprof=,0.585562, id=,B08, PRDE,actvstrat=,0.884512, actvprof=,1.226264, id=,B09, PRDE,actvstrat=,0.819258, actvprof=,1.999745, id=,B10, PRDE,actvstrat=,0.534048, actvprof=,2.529890, id=,B11, PRDE,actvstrat=,-0.176663, actvprof=,2.561419, id=,S00, PRDE,actvstrat=,0.367646, actvprof=,11.272353, id=,S01, PRDE,actvstrat=,-0.882858, actvprof=,1.283209, id=,S02, PRDE,actvstrat=,0.623284, actvprof=,9.235940, id=,S03, PRDE,actvstrat=,-0.692962, actvprof=,1.839744, id=,S04, PRDE,actvstrat=,-0.806002, actvprof=,0.557784, id=,S05, PRDE,actvstrat=,0.417976, actvprof=,2.897117, id=,S06, PRDE,actvstrat=,0.435783, actvprof=,1.546129, id=,S07, PRDE,actvstrat=,0.169806, actvprof=,0.423755, id=,S08, PRDE,actvstrat=,-0.159896, actvprof=,0.033056, id=,S09, PRDE,actvstrat=,0.339323, actvprof=,0.022361, id=,S10, PRDE,actvstrat=,0.639908, actvprof=,0.002361, id=,S11, PRDE,actvstrat=,0.102571, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.561419, best_B_strat=,-0.176663, best_S_id=,S00, best_S_prof=,11.272353, best_S_strat=,0.367646, 
