t=,0, id=,B00, PRDE,actvstrat=,-0.908939, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.159625, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.252017, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.609557, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.680451, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.892575, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.918084, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.425987, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.116568, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.919295, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.441489, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.482729, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.491388, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.442852, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.726712, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.865151, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.087724, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.016754, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.560193, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.968544, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.316455, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.444758, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.911621, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.071933, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.908939, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.491388, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.908939, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.159625, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.252017, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.609557, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,-0.680451, actvprof=,0.012500, id=,B05, PRDE,actvstrat=,0.892575, actvprof=,0.432495, id=,B06, PRDE,actvstrat=,0.918084, actvprof=,0.860823, id=,B07, PRDE,actvstrat=,-0.425987, actvprof=,0.584160, id=,B08, PRDE,actvstrat=,0.116568, actvprof=,1.609704, id=,B09, PRDE,actvstrat=,-0.919295, actvprof=,3.594125, id=,B10, PRDE,actvstrat=,0.441489, actvprof=,4.410227, id=,B11, PRDE,actvstrat=,0.482729, actvprof=,6.055208, id=,S00, PRDE,actvstrat=,-0.491388, actvprof=,4.773556, id=,S01, PRDE,actvstrat=,0.442852, actvprof=,7.817410, id=,S02, PRDE,actvstrat=,0.726712, actvprof=,7.415748, id=,S03, PRDE,actvstrat=,0.865151, actvprof=,5.640212, id=,S04, PRDE,actvstrat=,0.087724, actvprof=,2.154975, id=,S05, PRDE,actvstrat=,0.016754, actvprof=,1.061099, id=,S06, PRDE,actvstrat=,-0.560193, actvprof=,0.193053, id=,S07, PRDE,actvstrat=,-0.968544, actvprof=,0.484161, id=,S08, PRDE,actvstrat=,0.316455, actvprof=,0.150832, id=,S09, PRDE,actvstrat=,0.444758, actvprof=,0.037777, id=,S10, PRDE,actvstrat=,-0.911621, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.071933, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.055208, best_B_strat=,0.482729, best_S_id=,S01, best_S_prof=,7.817410, best_S_strat=,0.442852, 
t=,7200, id=,B00, PRDE,actvstrat=,0.698404, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.194462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.450265, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.224476, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.620039, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.768201, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.967471, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.434002, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.152831, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.906591, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.550728, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.238549, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.204006, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.568412, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.195234, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.947926, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.783635, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.528369, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.127847, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.401303, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.839327, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.354338, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.735054, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.835928, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.698404, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.204006, 
t=,10800, id=,B00, PRDE,actvstrat=,0.698404, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.194462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.450265, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.224476, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.620039, actvprof=,0.006667, id=,B05, PRDE,actvstrat=,0.768201, actvprof=,0.155276, id=,B06, PRDE,actvstrat=,0.967471, actvprof=,0.218886, id=,B07, PRDE,actvstrat=,-0.434002, actvprof=,0.208886, id=,B08, PRDE,actvstrat=,-0.152831, actvprof=,0.485272, id=,B09, PRDE,actvstrat=,0.906591, actvprof=,1.879978, id=,B10, PRDE,actvstrat=,0.550728, actvprof=,2.712191, id=,B11, PRDE,actvstrat=,-0.238549, actvprof=,2.669136, id=,S00, PRDE,actvstrat=,-0.204006, actvprof=,7.502969, id=,S01, PRDE,actvstrat=,0.568412, actvprof=,10.477934, id=,S02, PRDE,actvstrat=,0.195234, actvprof=,6.696311, id=,S03, PRDE,actvstrat=,-0.947926, actvprof=,0.803602, id=,S04, PRDE,actvstrat=,-0.783635, actvprof=,0.786935, id=,S05, PRDE,actvstrat=,-0.528369, actvprof=,0.864157, id=,S06, PRDE,actvstrat=,0.127847, actvprof=,1.109432, id=,S07, PRDE,actvstrat=,-0.401303, actvprof=,0.148054, id=,S08, PRDE,actvstrat=,-0.839327, actvprof=,0.001389, id=,S09, PRDE,actvstrat=,0.354338, actvprof=,0.016666, id=,S10, PRDE,actvstrat=,-0.735054, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.835928, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,2.712191, best_B_strat=,0.550728, best_S_id=,S01, best_S_prof=,10.477934, best_S_strat=,0.568412, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.220568, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.930379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.885965, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.887808, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.680451, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.910499, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.635777, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.733297, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.387607, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.706737, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.580693, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.482729, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.872347, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.568412, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.520979, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.312951, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.884443, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.175350, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.792835, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.124318, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.316455, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.177288, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.989615, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.850583, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.220568, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.872347, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.220568, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.930379, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.885965, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.887808, actvprof=,0.033888, id=,B04, PRDE,actvstrat=,-0.680451, actvprof=,0.029722, id=,B05, PRDE,actvstrat=,0.910499, actvprof=,0.511383, id=,B06, PRDE,actvstrat=,0.635777, actvprof=,0.859990, id=,B07, PRDE,actvstrat=,-0.733297, actvprof=,1.047488, id=,B08, PRDE,actvstrat=,0.387607, actvprof=,2.062476, id=,B09, PRDE,actvstrat=,0.706737, actvprof=,3.565237, id=,B10, PRDE,actvstrat=,0.580693, actvprof=,4.585225, id=,B11, PRDE,actvstrat=,0.482729, actvprof=,5.874654, id=,S00, PRDE,actvstrat=,0.872347, actvprof=,11.480978, id=,S01, PRDE,actvstrat=,0.568412, actvprof=,8.549623, id=,S02, PRDE,actvstrat=,-0.520979, actvprof=,2.587192, id=,S03, PRDE,actvstrat=,-0.312951, actvprof=,2.073309, id=,S04, PRDE,actvstrat=,0.884443, actvprof=,4.530503, id=,S05, PRDE,actvstrat=,-0.175350, actvprof=,0.706381, id=,S06, PRDE,actvstrat=,0.792835, actvprof=,1.999421, id=,S07, PRDE,actvstrat=,-0.124318, actvprof=,0.114443, id=,S08, PRDE,actvstrat=,0.316455, actvprof=,0.137498, id=,S09, PRDE,actvstrat=,0.177288, actvprof=,0.011944, id=,S10, PRDE,actvstrat=,0.989615, actvprof=,0.034722, id=,S11, PRDE,actvstrat=,-0.850583, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.874654, best_B_strat=,0.482729, best_S_id=,S00, best_S_prof=,11.480978, best_S_strat=,0.872347, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.158335, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.771244, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.005836, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.201752, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.427187, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.237083, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.324928, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.450633, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.524803, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.779266, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.223904, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.263709, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.715364, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.467574, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.173789, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.890137, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.706623, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.882032, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.158335, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.158335, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.010833, id=,B02, PRDE,actvstrat=,-0.771244, actvprof=,0.013889, id=,B03, PRDE,actvstrat=,0.005836, actvprof=,0.077501, id=,B04, PRDE,actvstrat=,0.201752, actvprof=,0.353615, id=,B05, PRDE,actvstrat=,0.427187, actvprof=,0.819454, id=,B06, PRDE,actvstrat=,-0.237083, actvprof=,1.019734, id=,B07, PRDE,actvstrat=,-0.324928, actvprof=,1.481962, id=,B08, PRDE,actvstrat=,0.450633, actvprof=,3.478929, id=,B09, PRDE,actvstrat=,-0.524803, actvprof=,4.423385, id=,B10, PRDE,actvstrat=,0.779266, actvprof=,6.816746, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,7.952036, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.209539, id=,S01, PRDE,actvstrat=,0.223904, actvprof=,4.708666, id=,S02, PRDE,actvstrat=,-0.263709, actvprof=,1.756687, id=,S03, PRDE,actvstrat=,0.715364, actvprof=,3.480040, id=,S04, PRDE,actvstrat=,-0.467574, actvprof=,0.755009, id=,S05, PRDE,actvstrat=,-0.173789, actvprof=,0.315004, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.628063, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.482506, id=,S08, PRDE,actvstrat=,0.890137, actvprof=,0.501950, id=,S09, PRDE,actvstrat=,-0.706623, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.882032, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.952036, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,8.209539, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.158335, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.006806, id=,B02, PRDE,actvstrat=,-0.771244, actvprof=,0.016389, id=,B03, PRDE,actvstrat=,0.005836, actvprof=,0.078334, id=,B04, PRDE,actvstrat=,0.201752, actvprof=,0.316946, id=,B05, PRDE,actvstrat=,0.427187, actvprof=,0.843894, id=,B06, PRDE,actvstrat=,-0.237083, actvprof=,1.069173, id=,B07, PRDE,actvstrat=,-0.324928, actvprof=,1.529731, id=,B08, PRDE,actvstrat=,0.450633, actvprof=,3.463770, id=,B09, PRDE,actvstrat=,-0.524803, actvprof=,4.285858, id=,B10, PRDE,actvstrat=,0.779266, actvprof=,6.820734, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,8.054074, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,8.016158, id=,S01, PRDE,actvstrat=,0.223904, actvprof=,4.602527, id=,S02, PRDE,actvstrat=,-0.263709, actvprof=,1.794038, id=,S03, PRDE,actvstrat=,0.715364, actvprof=,3.559048, id=,S04, PRDE,actvstrat=,-0.467574, actvprof=,0.688476, id=,S05, PRDE,actvstrat=,-0.173789, actvprof=,0.297085, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.685976, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.482086, id=,S08, PRDE,actvstrat=,0.890137, actvprof=,0.478753, id=,S09, PRDE,actvstrat=,-0.706623, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,-0.882032, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.054074, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,8.016158, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.781745, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.948431, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,0.637945, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,-0.202914, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,0.725008, actvprof=,0.157502, id=,B05, PRDE,actvstrat=,0.849889, actvprof=,0.668619, id=,B06, PRDE,actvstrat=,-0.937194, actvprof=,1.301126, id=,B07, PRDE,actvstrat=,-0.254749, actvprof=,1.192514, id=,B08, PRDE,actvstrat=,-0.398780, actvprof=,2.229470, id=,B09, PRDE,actvstrat=,-0.524803, actvprof=,3.719487, id=,B10, PRDE,actvstrat=,-0.927272, actvprof=,6.033403, id=,B11, PRDE,actvstrat=,0.410526, actvprof=,8.625655, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.395942, id=,S01, PRDE,actvstrat=,0.223904, actvprof=,3.912823, id=,S02, PRDE,actvstrat=,-0.263709, actvprof=,1.211681, id=,S03, PRDE,actvstrat=,0.715364, actvprof=,2.822255, id=,S04, PRDE,actvstrat=,0.884443, actvprof=,2.036412, id=,S05, PRDE,actvstrat=,0.018457, actvprof=,0.283337, id=,S06, PRDE,actvstrat=,0.540975, actvprof=,0.263336, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.260836, id=,S08, PRDE,actvstrat=,-0.846671, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.610804, actvprof=,0.004444, id=,S10, PRDE,actvstrat=,-0.182176, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.093663, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.625655, best_B_strat=,0.410526, best_S_id=,S00, best_S_prof=,9.395942, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.781745, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.948431, actvprof=,0.001389, id=,B02, PRDE,actvstrat=,0.637945, actvprof=,0.002639, id=,B03, PRDE,actvstrat=,-0.202914, actvprof=,0.003472, id=,B04, PRDE,actvstrat=,0.725008, actvprof=,0.173890, id=,B05, PRDE,actvstrat=,0.849889, actvprof=,0.690837, id=,B06, PRDE,actvstrat=,-0.937194, actvprof=,1.310841, id=,B07, PRDE,actvstrat=,-0.254749, actvprof=,1.129312, id=,B08, PRDE,actvstrat=,-0.398780, actvprof=,2.287235, id=,B09, PRDE,actvstrat=,-0.524803, actvprof=,3.666827, id=,B10, PRDE,actvstrat=,-0.927272, actvprof=,6.086285, id=,B11, PRDE,actvstrat=,0.410526, actvprof=,8.640744, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,9.257692, id=,S01, PRDE,actvstrat=,0.223904, actvprof=,3.962801, id=,S02, PRDE,actvstrat=,-0.263709, actvprof=,1.124173, id=,S03, PRDE,actvstrat=,0.715364, actvprof=,2.743071, id=,S04, PRDE,actvstrat=,0.884443, actvprof=,2.079179, id=,S05, PRDE,actvstrat=,0.018457, actvprof=,0.277918, id=,S06, PRDE,actvstrat=,0.540975, actvprof=,0.210140, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.284307, id=,S08, PRDE,actvstrat=,-0.846671, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.610804, actvprof=,0.005278, id=,S10, PRDE,actvstrat=,-0.182176, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.093663, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.640744, best_B_strat=,0.410526, best_S_id=,S00, best_S_prof=,9.257692, best_S_strat=,1.000000, 
