t=,1, id=,B00, PRDE,actvstrat=,0.833675, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.080416, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300465, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.305276, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.301563, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.613585, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.014800, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.731831, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.119067, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.932331, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.785420, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.438980, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.021272, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.823467, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.873746, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.558567, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.691697, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.047140, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.699499, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.993384, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.083614, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.045322, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.298845, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.942141, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.833675, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.021272, 
t=,3600, id=,B00, PRDE,actvstrat=,0.833675, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.080416, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.300465, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.305276, actvprof=,0.017778, id=,B04, PRDE,actvstrat=,0.301563, actvprof=,0.118332, id=,B05, PRDE,actvstrat=,-0.613585, actvprof=,0.218053, id=,B06, PRDE,actvstrat=,0.014800, actvprof=,0.530827, id=,B07, PRDE,actvstrat=,-0.731831, actvprof=,1.050266, id=,B08, PRDE,actvstrat=,0.119067, actvprof=,1.824701, id=,B09, PRDE,actvstrat=,0.932331, actvprof=,2.696080, id=,B10, PRDE,actvstrat=,0.785420, actvprof=,4.481059, id=,B11, PRDE,actvstrat=,0.438980, actvprof=,6.175762, id=,S00, PRDE,actvstrat=,0.021272, actvprof=,8.182961, id=,S01, PRDE,actvstrat=,-0.823467, actvprof=,2.798023, id=,S02, PRDE,actvstrat=,0.873746, actvprof=,7.749355, id=,S03, PRDE,actvstrat=,-0.558567, actvprof=,2.063032, id=,S04, PRDE,actvstrat=,-0.691697, actvprof=,1.438039, id=,S05, PRDE,actvstrat=,0.047140, actvprof=,1.764424, id=,S06, PRDE,actvstrat=,0.699499, actvprof=,2.201919, id=,S07, PRDE,actvstrat=,-0.993384, actvprof=,0.804991, id=,S08, PRDE,actvstrat=,0.083614, actvprof=,0.217497, id=,S09, PRDE,actvstrat=,-0.045322, actvprof=,0.023889, id=,S10, PRDE,actvstrat=,-0.298845, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.942141, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.175762, best_B_strat=,0.438980, best_S_id=,S00, best_S_prof=,8.182961, best_S_strat=,0.021272, 
t=,7200, id=,B00, PRDE,actvstrat=,0.595989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.480409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.472823, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.877372, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.195353, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.157502, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.201345, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.529889, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.512288, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.023430, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.024891, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.209384, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.929867, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.342353, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.671972, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.054601, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.775226, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.854152, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.677560, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.376993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.664374, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.908421, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.177470, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.838056, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.595989, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.929867, 
t=,10800, id=,B00, PRDE,actvstrat=,0.595989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.480409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.472823, actvprof=,0.005833, id=,B03, PRDE,actvstrat=,-0.877372, actvprof=,0.134443, id=,B04, PRDE,actvstrat=,-0.195353, actvprof=,0.101388, id=,B05, PRDE,actvstrat=,0.157502, actvprof=,0.328885, id=,B06, PRDE,actvstrat=,-0.201345, actvprof=,0.629159, id=,B07, PRDE,actvstrat=,0.529889, actvprof=,1.989144, id=,B08, PRDE,actvstrat=,0.512288, actvprof=,2.863856, id=,B09, PRDE,actvstrat=,0.023430, actvprof=,3.343572, id=,B10, PRDE,actvstrat=,-0.024891, actvprof=,4.156619, id=,B11, PRDE,actvstrat=,-0.209384, actvprof=,5.711878, id=,S00, PRDE,actvstrat=,0.929867, actvprof=,10.246548, id=,S01, PRDE,actvstrat=,-0.342353, actvprof=,2.479138, id=,S02, PRDE,actvstrat=,0.671972, actvprof=,5.959653, id=,S03, PRDE,actvstrat=,-0.054601, actvprof=,1.801924, id=,S04, PRDE,actvstrat=,0.775226, actvprof=,3.260518, id=,S05, PRDE,actvstrat=,-0.854152, actvprof=,0.068055, id=,S06, PRDE,actvstrat=,0.677560, actvprof=,0.755547, id=,S07, PRDE,actvstrat=,0.376993, actvprof=,0.233886, id=,S08, PRDE,actvstrat=,0.664374, actvprof=,0.081666, id=,S09, PRDE,actvstrat=,0.908421, actvprof=,0.035555, id=,S10, PRDE,actvstrat=,0.177470, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.838056, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.711878, best_B_strat=,-0.209384, best_S_id=,S00, best_S_prof=,10.246548, best_S_strat=,0.929867, 
t=,14400, id=,B00, PRDE,actvstrat=,0.595989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.712462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.472823, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.758772, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.195353, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.628881, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.988759, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.824185, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.736014, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.678272, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.024891, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.782093, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.676172, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.684832, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.241004, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.854285, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.775226, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.458242, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.071973, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.811230, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.895363, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.010886, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.177470, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.290133, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.595989, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.676172, 
t=,18000, id=,B00, PRDE,actvstrat=,0.595989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.712462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.472823, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.758772, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.195353, actvprof=,0.014167, id=,B05, PRDE,actvstrat=,0.628881, actvprof=,0.321389, id=,B06, PRDE,actvstrat=,0.988759, actvprof=,0.435556, id=,B07, PRDE,actvstrat=,0.824185, actvprof=,1.762778, id=,B08, PRDE,actvstrat=,-0.736014, actvprof=,1.661389, id=,B09, PRDE,actvstrat=,-0.678272, actvprof=,2.493056, id=,B10, PRDE,actvstrat=,-0.024891, actvprof=,4.205833, id=,B11, PRDE,actvstrat=,-0.782093, actvprof=,5.539722, id=,S00, PRDE,actvstrat=,-0.676172, actvprof=,2.555833, id=,S01, PRDE,actvstrat=,0.684832, actvprof=,7.934167, id=,S02, PRDE,actvstrat=,0.241004, actvprof=,3.817222, id=,S03, PRDE,actvstrat=,0.854285, actvprof=,5.141944, id=,S04, PRDE,actvstrat=,0.775226, actvprof=,2.942222, id=,S05, PRDE,actvstrat=,0.458242, actvprof=,0.918889, id=,S06, PRDE,actvstrat=,-0.071973, actvprof=,0.104167, id=,S07, PRDE,actvstrat=,0.811230, actvprof=,0.286389, id=,S08, PRDE,actvstrat=,-0.895363, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.010886, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.177470, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.290133, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.539722, best_B_strat=,-0.782093, best_S_id=,S01, best_S_prof=,7.934167, best_S_strat=,0.684832, 
t=,21600, id=,B00, PRDE,actvstrat=,0.595989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.712462, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.472823, actvprof=,0.001250, id=,B03, PRDE,actvstrat=,-0.758772, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,-0.195353, actvprof=,0.013750, id=,B05, PRDE,actvstrat=,0.628881, actvprof=,0.326946, id=,B06, PRDE,actvstrat=,0.988759, actvprof=,0.454447, id=,B07, PRDE,actvstrat=,0.824185, actvprof=,1.801816, id=,B08, PRDE,actvstrat=,-0.736014, actvprof=,1.637509, id=,B09, PRDE,actvstrat=,-0.678272, actvprof=,2.542654, id=,B10, PRDE,actvstrat=,-0.024891, actvprof=,4.137802, id=,B11, PRDE,actvstrat=,-0.782093, actvprof=,5.402670, id=,S00, PRDE,actvstrat=,-0.676172, actvprof=,2.748766, id=,S01, PRDE,actvstrat=,0.684832, actvprof=,7.913101, id=,S02, PRDE,actvstrat=,0.241004, actvprof=,3.877800, id=,S03, PRDE,actvstrat=,0.854285, actvprof=,5.070446, id=,S04, PRDE,actvstrat=,0.775226, actvprof=,2.903211, id=,S05, PRDE,actvstrat=,0.458242, actvprof=,0.887922, id=,S06, PRDE,actvstrat=,-0.071973, actvprof=,0.081112, id=,S07, PRDE,actvstrat=,0.811230, actvprof=,0.305280, id=,S08, PRDE,actvstrat=,-0.895363, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.010886, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,0.177470, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.290133, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.402670, best_B_strat=,-0.782093, best_S_id=,S01, best_S_prof=,7.913101, best_S_strat=,0.684832, 
t=,25200, id=,B00, PRDE,actvstrat=,0.506813, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.170302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.666115, actvprof=,0.047778, id=,B04, PRDE,actvstrat=,0.159371, actvprof=,0.049444, id=,B05, PRDE,actvstrat=,0.674898, actvprof=,0.285278, id=,B06, PRDE,actvstrat=,0.341008, actvprof=,0.664444, id=,B07, PRDE,actvstrat=,-0.157327, actvprof=,0.660833, id=,B08, PRDE,actvstrat=,0.309112, actvprof=,1.724444, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.378333, id=,B10, PRDE,actvstrat=,-0.172618, actvprof=,2.868889, id=,B11, PRDE,actvstrat=,-0.721747, actvprof=,5.200556, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.048056, id=,S01, PRDE,actvstrat=,-0.439653, actvprof=,3.400833, id=,S02, PRDE,actvstrat=,0.457041, actvprof=,6.311667, id=,S03, PRDE,actvstrat=,0.071196, actvprof=,3.380833, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.628611, id=,S05, PRDE,actvstrat=,-0.309251, actvprof=,0.492500, id=,S06, PRDE,actvstrat=,-0.518056, actvprof=,0.173611, id=,S07, PRDE,actvstrat=,-0.440476, actvprof=,0.078611, id=,S08, PRDE,actvstrat=,0.226344, actvprof=,0.083056, id=,S09, PRDE,actvstrat=,0.015422, actvprof=,0.000833, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.200556, best_B_strat=,-0.721747, best_S_id=,S00, best_S_prof=,12.048056, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.506813, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.170302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,0.666115, actvprof=,0.037362, id=,B04, PRDE,actvstrat=,0.159371, actvprof=,0.039167, id=,B05, PRDE,actvstrat=,0.674898, actvprof=,0.297087, id=,B06, PRDE,actvstrat=,0.341008, actvprof=,0.619313, id=,B07, PRDE,actvstrat=,-0.157327, actvprof=,0.656813, id=,B08, PRDE,actvstrat=,0.309112, actvprof=,1.710575, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.315987, id=,B10, PRDE,actvstrat=,-0.172618, actvprof=,2.875311, id=,B11, PRDE,actvstrat=,-0.721747, actvprof=,5.018391, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,12.083334, id=,S01, PRDE,actvstrat=,-0.439653, actvprof=,3.307955, id=,S02, PRDE,actvstrat=,0.457041, actvprof=,6.226322, id=,S03, PRDE,actvstrat=,0.071196, actvprof=,3.280177, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.707948, id=,S05, PRDE,actvstrat=,-0.309251, actvprof=,0.401394, id=,S06, PRDE,actvstrat=,-0.518056, actvprof=,0.177363, id=,S07, PRDE,actvstrat=,-0.440476, actvprof=,0.079029, id=,S08, PRDE,actvstrat=,0.226344, actvprof=,0.078056, id=,S09, PRDE,actvstrat=,0.015422, actvprof=,0.001667, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.018391, best_B_strat=,-0.721747, best_S_id=,S00, best_S_prof=,12.083334, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.409604, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.480409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.004445, id=,B03, PRDE,actvstrat=,-0.877372, actvprof=,0.046946, id=,B04, PRDE,actvstrat=,0.159371, actvprof=,0.103337, id=,B05, PRDE,actvstrat=,0.674898, actvprof=,0.440571, id=,B06, PRDE,actvstrat=,-0.201345, actvprof=,0.500295, id=,B07, PRDE,actvstrat=,0.408342, actvprof=,1.550609, id=,B08, PRDE,actvstrat=,0.410138, actvprof=,2.481197, id=,B09, PRDE,actvstrat=,0.477083, actvprof=,3.969304, id=,B10, PRDE,actvstrat=,0.330170, actvprof=,4.526546, id=,B11, PRDE,actvstrat=,0.456432, actvprof=,6.346609, id=,S00, PRDE,actvstrat=,0.929867, actvprof=,11.064273, id=,S01, PRDE,actvstrat=,-0.342353, actvprof=,3.034828, id=,S02, PRDE,actvstrat=,0.457041, actvprof=,5.628251, id=,S03, PRDE,actvstrat=,0.385064, actvprof=,3.597625, id=,S04, PRDE,actvstrat=,0.850910, actvprof=,4.400986, id=,S05, PRDE,actvstrat=,-0.962510, actvprof=,0.970311, id=,S06, PRDE,actvstrat=,0.521489, actvprof=,1.119206, id=,S07, PRDE,actvstrat=,-0.182913, actvprof=,0.147505, id=,S08, PRDE,actvstrat=,0.226344, actvprof=,0.112226, id=,S09, PRDE,actvstrat=,-0.058983, actvprof=,0.005834, id=,S10, PRDE,actvstrat=,-0.153951, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.670907, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.346609, best_B_strat=,0.456432, best_S_id=,S00, best_S_prof=,11.064273, best_S_strat=,0.929867, 
t=,36000, id=,B00, PRDE,actvstrat=,0.409604, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.480409, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,-0.877372, actvprof=,0.049168, id=,B04, PRDE,actvstrat=,0.159371, actvprof=,0.093891, id=,B05, PRDE,actvstrat=,0.674898, actvprof=,0.466397, id=,B06, PRDE,actvstrat=,-0.201345, actvprof=,0.424730, id=,B07, PRDE,actvstrat=,0.408342, actvprof=,1.554194, id=,B08, PRDE,actvstrat=,0.410138, actvprof=,2.544628, id=,B09, PRDE,actvstrat=,0.477083, actvprof=,3.796455, id=,B10, PRDE,actvstrat=,0.330170, actvprof=,4.596885, id=,B11, PRDE,actvstrat=,0.456432, actvprof=,6.271914, id=,S00, PRDE,actvstrat=,0.929867, actvprof=,11.030608, id=,S01, PRDE,actvstrat=,-0.342353, actvprof=,2.921995, id=,S02, PRDE,actvstrat=,0.457041, actvprof=,5.581902, id=,S03, PRDE,actvstrat=,0.385064, actvprof=,3.635896, id=,S04, PRDE,actvstrat=,0.850910, actvprof=,4.469522, id=,S05, PRDE,actvstrat=,-0.962510, actvprof=,1.079880, id=,S06, PRDE,actvstrat=,0.521489, actvprof=,1.146964, id=,S07, PRDE,actvstrat=,-0.182913, actvprof=,0.109169, id=,S08, PRDE,actvstrat=,0.226344, actvprof=,0.094863, id=,S09, PRDE,actvstrat=,-0.058983, actvprof=,0.004028, id=,S10, PRDE,actvstrat=,-0.153951, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.670907, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.271914, best_B_strat=,0.456432, best_S_id=,S00, best_S_prof=,11.030608, best_S_strat=,0.929867, 
