t=,0, id=,B00, PRDE,actvstrat=,0.313854, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.350492, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.009638, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.355910, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.607916, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.268854, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.476125, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.620056, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.724107, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.764727, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.017887, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.348782, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.246376, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.672069, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.452287, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.705374, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.046906, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.263108, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.001762, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.332715, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.620736, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.423719, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.037470, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.621829, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.313854, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.246376, 
t=,3600, id=,B00, PRDE,actvstrat=,0.313854, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.350492, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.009638, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,-0.355910, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.607916, actvprof=,0.055833, id=,B05, PRDE,actvstrat=,0.268854, actvprof=,0.075832, id=,B06, PRDE,actvstrat=,-0.476125, actvprof=,0.194720, id=,B07, PRDE,actvstrat=,0.620056, actvprof=,1.262763, id=,B08, PRDE,actvstrat=,-0.724107, actvprof=,1.118043, id=,B09, PRDE,actvstrat=,0.764727, actvprof=,2.894133, id=,B10, PRDE,actvstrat=,-0.017887, actvprof=,3.178852, id=,B11, PRDE,actvstrat=,-0.348782, actvprof=,4.150230, id=,S00, PRDE,actvstrat=,-0.246376, actvprof=,4.182452, id=,S01, PRDE,actvstrat=,0.672069, actvprof=,8.786843, id=,S02, PRDE,actvstrat=,-0.452287, actvprof=,1.541649, id=,S03, PRDE,actvstrat=,0.705374, actvprof=,5.348549, id=,S04, PRDE,actvstrat=,0.046906, actvprof=,1.822757, id=,S05, PRDE,actvstrat=,-0.263108, actvprof=,0.385551, id=,S06, PRDE,actvstrat=,-0.001762, actvprof=,0.363051, id=,S07, PRDE,actvstrat=,-0.332715, actvprof=,0.039722, id=,S08, PRDE,actvstrat=,0.620736, actvprof=,0.133054, id=,S09, PRDE,actvstrat=,-0.423719, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.037470, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.621829, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.150230, best_B_strat=,-0.348782, best_S_id=,S01, best_S_prof=,8.786843, best_S_strat=,0.672069, 
t=,7200, id=,B00, PRDE,actvstrat=,0.057943, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.597391, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.699767, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.645581, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.390219, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.321094, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.250743, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.545380, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.955870, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.840565, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.416110, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.338119, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.083418, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.398156, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.925412, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.502402, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.215980, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.121271, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.898783, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.223922, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.711645, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.463007, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.286438, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.850197, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.057943, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.083418, 
t=,10800, id=,B00, PRDE,actvstrat=,0.057943, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.597391, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.699767, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.645581, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.390219, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.321094, actvprof=,0.025000, id=,B06, PRDE,actvstrat=,-0.250743, actvprof=,0.041666, id=,B07, PRDE,actvstrat=,0.545380, actvprof=,0.325552, id=,B08, PRDE,actvstrat=,0.955870, actvprof=,0.911656, id=,B09, PRDE,actvstrat=,0.840565, actvprof=,1.776368, id=,B10, PRDE,actvstrat=,-0.416110, actvprof=,1.266930, id=,B11, PRDE,actvstrat=,-0.338119, actvprof=,2.210808, id=,S00, PRDE,actvstrat=,-0.083418, actvprof=,6.086874, id=,S01, PRDE,actvstrat=,-0.398156, actvprof=,3.287740, id=,S02, PRDE,actvstrat=,-0.925412, actvprof=,0.211664, id=,S03, PRDE,actvstrat=,-0.502402, actvprof=,1.374429, id=,S04, PRDE,actvstrat=,0.215980, actvprof=,2.612470, id=,S05, PRDE,actvstrat=,-0.121271, actvprof=,0.602771, id=,S06, PRDE,actvstrat=,0.898783, actvprof=,2.819967, id=,S07, PRDE,actvstrat=,-0.223922, actvprof=,0.081666, id=,S08, PRDE,actvstrat=,0.711645, actvprof=,0.167776, id=,S09, PRDE,actvstrat=,-0.463007, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.286438, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.850197, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.210808, best_B_strat=,-0.338119, best_S_id=,S00, best_S_prof=,6.086874, best_S_strat=,-0.083418, 
t=,14400, id=,B00, PRDE,actvstrat=,0.154133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187339, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.009638, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.732061, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.246035, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.924086, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.476125, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.929858, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.221198, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.973897, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.017887, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.625820, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.083418, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.308564, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.674441, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.478848, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.215980, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.252194, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.860337, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.426318, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.489412, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.463007, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.669048, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.137585, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.154133, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.083418, 
t=,18000, id=,B00, PRDE,actvstrat=,0.154133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187339, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.009638, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.732061, actvprof=,0.017222, id=,B04, PRDE,actvstrat=,0.246035, actvprof=,0.049166, id=,B05, PRDE,actvstrat=,-0.924086, actvprof=,0.337496, id=,B06, PRDE,actvstrat=,-0.476125, actvprof=,0.282497, id=,B07, PRDE,actvstrat=,0.929858, actvprof=,1.222208, id=,B08, PRDE,actvstrat=,0.221198, actvprof=,1.833868, id=,B09, PRDE,actvstrat=,0.973897, actvprof=,2.086087, id=,B10, PRDE,actvstrat=,-0.017887, actvprof=,3.337461, id=,B11, PRDE,actvstrat=,0.625820, actvprof=,5.936876, id=,S00, PRDE,actvstrat=,-0.083418, actvprof=,5.754933, id=,S01, PRDE,actvstrat=,0.308564, actvprof=,7.036585, id=,S02, PRDE,actvstrat=,0.674441, actvprof=,7.350193, id=,S03, PRDE,actvstrat=,0.478848, actvprof=,4.745778, id=,S04, PRDE,actvstrat=,0.215980, actvprof=,2.335529, id=,S05, PRDE,actvstrat=,0.252194, actvprof=,1.770535, id=,S06, PRDE,actvstrat=,0.860337, actvprof=,2.593581, id=,S07, PRDE,actvstrat=,-0.426318, actvprof=,0.048055, id=,S08, PRDE,actvstrat=,0.489412, actvprof=,0.232497, id=,S09, PRDE,actvstrat=,-0.463007, actvprof=,0.003889, id=,S10, PRDE,actvstrat=,-0.669048, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.137585, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.936876, best_B_strat=,0.625820, best_S_id=,S02, best_S_prof=,7.350193, best_S_strat=,0.674441, 
t=,21600, id=,B00, PRDE,actvstrat=,0.154133, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.187339, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.009638, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.732061, actvprof=,0.020139, id=,B04, PRDE,actvstrat=,0.246035, actvprof=,0.037917, id=,B05, PRDE,actvstrat=,-0.924086, actvprof=,0.344169, id=,B06, PRDE,actvstrat=,-0.476125, actvprof=,0.241529, id=,B07, PRDE,actvstrat=,0.929858, actvprof=,1.175007, id=,B08, PRDE,actvstrat=,0.221198, actvprof=,1.701815, id=,B09, PRDE,actvstrat=,0.973897, actvprof=,1.954734, id=,B10, PRDE,actvstrat=,-0.017887, actvprof=,3.237519, id=,B11, PRDE,actvstrat=,0.625820, actvprof=,5.846839, id=,S00, PRDE,actvstrat=,-0.083418, actvprof=,5.863367, id=,S01, PRDE,actvstrat=,0.308564, actvprof=,7.013513, id=,S02, PRDE,actvstrat=,0.674441, actvprof=,7.466988, id=,S03, PRDE,actvstrat=,0.478848, actvprof=,4.596554, id=,S04, PRDE,actvstrat=,0.215980, actvprof=,2.377097, id=,S05, PRDE,actvstrat=,0.252194, actvprof=,1.717510, id=,S06, PRDE,actvstrat=,0.860337, actvprof=,2.700988, id=,S07, PRDE,actvstrat=,-0.426318, actvprof=,0.054167, id=,S08, PRDE,actvstrat=,0.489412, actvprof=,0.255835, id=,S09, PRDE,actvstrat=,-0.463007, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,-0.669048, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.137585, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.846839, best_B_strat=,0.625820, best_S_id=,S02, best_S_prof=,7.466988, best_S_strat=,0.674441, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.531886, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.192443, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.623188, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.099825, actvprof=,0.019168, id=,B04, PRDE,actvstrat=,0.818203, actvprof=,0.248067, id=,B05, PRDE,actvstrat=,0.083439, actvprof=,0.187786, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.490023, id=,B07, PRDE,actvstrat=,0.060945, actvprof=,1.072550, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.295153, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.769295, id=,B10, PRDE,actvstrat=,-0.459719, actvprof=,3.666003, id=,B11, PRDE,actvstrat=,0.095544, actvprof=,5.956942, id=,S00, PRDE,actvstrat=,-0.512287, actvprof=,3.024307, id=,S01, PRDE,actvstrat=,0.353205, actvprof=,5.761933, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.950322, id=,S03, PRDE,actvstrat=,-0.459274, actvprof=,0.702533, id=,S04, PRDE,actvstrat=,0.230414, actvprof=,1.291726, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.400667, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.666466, id=,S07, PRDE,actvstrat=,-0.218392, actvprof=,0.032502, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.482245, id=,S09, PRDE,actvstrat=,0.103870, actvprof=,0.006945, id=,S10, PRDE,actvstrat=,0.042160, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.956942, best_B_strat=,0.095544, best_S_id=,S02, best_S_prof=,6.950322, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.531886, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.192443, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.623188, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.099825, actvprof=,0.019723, id=,B04, PRDE,actvstrat=,0.818203, actvprof=,0.254867, id=,B05, PRDE,actvstrat=,0.083439, actvprof=,0.203894, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.466400, id=,B07, PRDE,actvstrat=,0.060945, actvprof=,1.042385, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.243270, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.789787, id=,B10, PRDE,actvstrat=,-0.459719, actvprof=,3.590778, id=,B11, PRDE,actvstrat=,0.095544, actvprof=,5.940276, id=,S00, PRDE,actvstrat=,-0.512287, actvprof=,2.958402, id=,S01, PRDE,actvstrat=,0.353205, actvprof=,5.566379, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.995579, id=,S03, PRDE,actvstrat=,-0.459274, actvprof=,0.779601, id=,S04, PRDE,actvstrat=,0.230414, actvprof=,1.372393, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,2.433529, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.688789, id=,S07, PRDE,actvstrat=,-0.218392, actvprof=,0.028890, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.459038, id=,S09, PRDE,actvstrat=,0.103870, actvprof=,0.004861, id=,S10, PRDE,actvstrat=,0.042160, actvprof=,0.000417, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.940276, best_B_strat=,0.095544, best_S_id=,S02, best_S_prof=,6.995579, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.297906, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.257131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.689348, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.159659, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.972780, actvprof=,0.033613, id=,B05, PRDE,actvstrat=,-0.051189, actvprof=,0.043891, id=,B06, PRDE,actvstrat=,0.028759, actvprof=,0.173341, id=,B07, PRDE,actvstrat=,0.620056, actvprof=,0.858929, id=,B08, PRDE,actvstrat=,-0.120579, actvprof=,0.829205, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.978147, id=,B10, PRDE,actvstrat=,0.856446, actvprof=,4.307144, id=,B11, PRDE,actvstrat=,0.043761, actvprof=,4.629659, id=,S00, PRDE,actvstrat=,-0.512287, actvprof=,3.685171, id=,S01, PRDE,actvstrat=,-0.643338, actvprof=,2.572341, id=,S02, PRDE,actvstrat=,-0.804657, actvprof=,1.187833, id=,S03, PRDE,actvstrat=,0.647294, actvprof=,4.611325, id=,S04, PRDE,actvstrat=,-0.162754, actvprof=,0.900042, id=,S05, PRDE,actvstrat=,0.534617, actvprof=,1.986481, id=,S06, PRDE,actvstrat=,0.898783, actvprof=,2.552340, id=,S07, PRDE,actvstrat=,-0.223922, actvprof=,0.061114, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.758091, id=,S09, PRDE,actvstrat=,0.829232, actvprof=,0.074726, id=,S10, PRDE,actvstrat=,0.042160, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.850197, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.629659, best_B_strat=,0.043761, best_S_id=,S03, best_S_prof=,4.611325, best_S_strat=,0.647294, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.297906, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.257131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.689348, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.159659, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,-0.972780, actvprof=,0.036528, id=,B05, PRDE,actvstrat=,-0.051189, actvprof=,0.031945, id=,B06, PRDE,actvstrat=,0.028759, actvprof=,0.182364, id=,B07, PRDE,actvstrat=,0.620056, actvprof=,0.825848, id=,B08, PRDE,actvstrat=,-0.120579, actvprof=,0.802653, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,1.983507, id=,B10, PRDE,actvstrat=,0.856446, actvprof=,4.304936, id=,B11, PRDE,actvstrat=,0.043761, actvprof=,4.726610, id=,S00, PRDE,actvstrat=,-0.512287, actvprof=,3.695481, id=,S01, PRDE,actvstrat=,-0.643338, actvprof=,2.379208, id=,S02, PRDE,actvstrat=,-0.804657, actvprof=,1.057518, id=,S03, PRDE,actvstrat=,0.647294, actvprof=,4.892863, id=,S04, PRDE,actvstrat=,-0.162754, actvprof=,0.839042, id=,S05, PRDE,actvstrat=,0.534617, actvprof=,1.981701, id=,S06, PRDE,actvstrat=,0.898783, actvprof=,2.513099, id=,S07, PRDE,actvstrat=,-0.223922, actvprof=,0.061946, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.760013, id=,S09, PRDE,actvstrat=,0.829232, actvprof=,0.080140, id=,S10, PRDE,actvstrat=,0.042160, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.850197, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.726610, best_B_strat=,0.043761, best_S_id=,S03, best_S_prof=,4.892863, best_S_strat=,0.647294, 
