t=,0, id=,B00, PRDE,actvstrat=,-0.255314, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.249275, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.924465, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.433918, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.641989, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.838358, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.942276, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.034840, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.253956, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.819153, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.758414, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.318708, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.930455, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.144049, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.343539, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.867912, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.082507, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.842514, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.615142, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.917570, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.819599, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.971696, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.217558, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.580312, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.255314, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.930455, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.255314, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.249275, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.924465, actvprof=,0.013889, id=,B03, PRDE,actvstrat=,0.433918, actvprof=,0.024444, id=,B04, PRDE,actvstrat=,-0.641989, actvprof=,0.038611, id=,B05, PRDE,actvstrat=,0.838358, actvprof=,0.679992, id=,B06, PRDE,actvstrat=,-0.942276, actvprof=,1.623870, id=,B07, PRDE,actvstrat=,-0.034840, actvprof=,1.345818, id=,B08, PRDE,actvstrat=,0.253956, actvprof=,2.898855, id=,B09, PRDE,actvstrat=,-0.819153, actvprof=,3.345795, id=,B10, PRDE,actvstrat=,-0.758414, actvprof=,5.325216, id=,B11, PRDE,actvstrat=,0.318708, actvprof=,7.885187, id=,S00, PRDE,actvstrat=,0.930455, actvprof=,9.354058, id=,S01, PRDE,actvstrat=,0.144049, actvprof=,3.757457, id=,S02, PRDE,actvstrat=,0.343539, actvprof=,3.221352, id=,S03, PRDE,actvstrat=,0.867912, actvprof=,3.913566, id=,S04, PRDE,actvstrat=,-0.082507, actvprof=,0.366385, id=,S05, PRDE,actvstrat=,0.842514, actvprof=,1.559704, id=,S06, PRDE,actvstrat=,0.615142, actvprof=,0.235831, id=,S07, PRDE,actvstrat=,0.917570, actvprof=,0.357774, id=,S08, PRDE,actvstrat=,-0.819599, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.971696, actvprof=,0.038611, id=,S10, PRDE,actvstrat=,-0.217558, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.580312, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.885187, best_B_strat=,0.318708, best_S_id=,S00, best_S_prof=,9.354058, best_S_strat=,0.930455, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.275838, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174721, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.513380, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374409, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.301502, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.373615, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.816367, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.443037, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.416635, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.839861, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.494970, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.585802, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.364204, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.272745, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.879371, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.122633, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.460731, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.096382, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.010915, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.713532, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.292007, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.874479, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.197606, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.053495, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.275838, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.364204, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.275838, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.174721, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.513380, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374409, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.301502, actvprof=,0.046666, id=,B05, PRDE,actvstrat=,-0.373615, actvprof=,0.094166, id=,B06, PRDE,actvstrat=,0.816367, actvprof=,1.020544, id=,B07, PRDE,actvstrat=,-0.443037, actvprof=,0.691659, id=,B08, PRDE,actvstrat=,-0.416635, actvprof=,1.341651, id=,B09, PRDE,actvstrat=,0.839861, actvprof=,3.096631, id=,B10, PRDE,actvstrat=,-0.494970, actvprof=,3.270795, id=,B11, PRDE,actvstrat=,0.585802, actvprof=,5.709934, id=,S00, PRDE,actvstrat=,-0.364204, actvprof=,4.608002, id=,S01, PRDE,actvstrat=,0.272745, actvprof=,6.506869, id=,S02, PRDE,actvstrat=,0.879371, actvprof=,8.166572, id=,S03, PRDE,actvstrat=,-0.122633, actvprof=,1.878867, id=,S04, PRDE,actvstrat=,0.460731, actvprof=,3.074964, id=,S05, PRDE,actvstrat=,0.096382, actvprof=,1.363318, id=,S06, PRDE,actvstrat=,-0.010915, actvprof=,0.522494, id=,S07, PRDE,actvstrat=,-0.713532, actvprof=,0.053610, id=,S08, PRDE,actvstrat=,-0.292007, actvprof=,0.014444, id=,S09, PRDE,actvstrat=,0.874479, actvprof=,0.186109, id=,S10, PRDE,actvstrat=,-0.197606, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.053495, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.709934, best_B_strat=,0.585802, best_S_id=,S02, best_S_prof=,8.166572, best_S_strat=,0.879371, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.005757, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.616948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.111638, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.185116, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.402597, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.555899, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.779844, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.301977, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.700954, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.674552, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.748003, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.585802, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.737733, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.018791, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.879371, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.331147, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.207017, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.478770, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.616221, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.915771, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.292007, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.633159, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.048589, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.657804, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.005757, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.737733, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.005757, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.616948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.111638, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.185116, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.402597, actvprof=,0.013333, id=,B05, PRDE,actvstrat=,0.555899, actvprof=,0.267778, id=,B06, PRDE,actvstrat=,-0.779844, actvprof=,0.538056, id=,B07, PRDE,actvstrat=,0.301977, actvprof=,0.951111, id=,B08, PRDE,actvstrat=,0.700954, actvprof=,2.291667, id=,B09, PRDE,actvstrat=,-0.674552, actvprof=,2.407222, id=,B10, PRDE,actvstrat=,0.748003, actvprof=,4.156944, id=,B11, PRDE,actvstrat=,0.585802, actvprof=,5.791111, id=,S00, PRDE,actvstrat=,-0.737733, actvprof=,3.368889, id=,S01, PRDE,actvstrat=,0.018791, actvprof=,5.840278, id=,S02, PRDE,actvstrat=,0.879371, actvprof=,8.070278, id=,S03, PRDE,actvstrat=,0.331147, actvprof=,4.450278, id=,S04, PRDE,actvstrat=,-0.207017, actvprof=,0.999444, id=,S05, PRDE,actvstrat=,0.478770, actvprof=,2.168333, id=,S06, PRDE,actvstrat=,0.616221, actvprof=,1.669167, id=,S07, PRDE,actvstrat=,-0.915771, actvprof=,0.145278, id=,S08, PRDE,actvstrat=,-0.292007, actvprof=,0.043889, id=,S09, PRDE,actvstrat=,0.633159, actvprof=,0.048611, id=,S10, PRDE,actvstrat=,-0.048589, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.657804, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.791111, best_B_strat=,0.585802, best_S_id=,S02, best_S_prof=,8.070278, best_S_strat=,0.879371, 
t=,21600, id=,B00, PRDE,actvstrat=,0.895985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.353466, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849646, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.735087, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.150947, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.656663, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.163280, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.045890, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.682439, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.776146, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.450026, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.612690, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.798155, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.125823, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.523065, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.926220, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.618943, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.895985, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B00, PRDE,actvstrat=,0.895985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.353466, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849646, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.735087, actvprof=,0.042778, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.049167, id=,B06, PRDE,actvstrat=,-0.150947, actvprof=,0.112224, id=,B07, PRDE,actvstrat=,-0.656663, actvprof=,0.479728, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.443373, id=,B09, PRDE,actvstrat=,-0.163280, actvprof=,1.728353, id=,B10, PRDE,actvstrat=,-0.045890, actvprof=,3.426429, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.835368, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.547078, id=,S01, PRDE,actvstrat=,-0.682439, actvprof=,1.854466, id=,S02, PRDE,actvstrat=,0.776146, actvprof=,6.582854, id=,S03, PRDE,actvstrat=,-0.450026, actvprof=,0.752509, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.236137, id=,S05, PRDE,actvstrat=,0.612690, actvprof=,1.124735, id=,S06, PRDE,actvstrat=,-0.798155, actvprof=,0.034445, id=,S07, PRDE,actvstrat=,-0.125823, actvprof=,0.013333, id=,S08, PRDE,actvstrat=,0.523065, actvprof=,0.023611, id=,S09, PRDE,actvstrat=,0.926220, actvprof=,0.008889, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.618943, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.835368, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.547078, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.895985, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.353466, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849646, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.735087, actvprof=,0.032500, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.061389, id=,B06, PRDE,actvstrat=,-0.150947, actvprof=,0.110278, id=,B07, PRDE,actvstrat=,-0.656663, actvprof=,0.455836, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.310852, id=,B09, PRDE,actvstrat=,-0.163280, actvprof=,1.819872, id=,B10, PRDE,actvstrat=,-0.045890, actvprof=,3.257658, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,7.883935, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,11.659651, id=,S01, PRDE,actvstrat=,-0.682439, actvprof=,1.650704, id=,S02, PRDE,actvstrat=,0.776146, actvprof=,6.805734, id=,S03, PRDE,actvstrat=,-0.450026, actvprof=,0.766532, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.098623, id=,S05, PRDE,actvstrat=,0.612690, actvprof=,1.128201, id=,S06, PRDE,actvstrat=,-0.798155, actvprof=,0.017222, id=,S07, PRDE,actvstrat=,-0.125823, actvprof=,0.014445, id=,S08, PRDE,actvstrat=,0.523065, actvprof=,0.019722, id=,S09, PRDE,actvstrat=,0.926220, actvprof=,0.008611, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.618943, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.883935, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.659651, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.323321, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.353951, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.924465, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.949415, actvprof=,0.044167, id=,B04, PRDE,actvstrat=,0.735087, actvprof=,0.106112, id=,B05, PRDE,actvstrat=,0.240792, actvprof=,0.145002, id=,B06, PRDE,actvstrat=,-0.608650, actvprof=,0.338893, id=,B07, PRDE,actvstrat=,-0.443037, actvprof=,0.649452, id=,B08, PRDE,actvstrat=,0.253956, actvprof=,1.813077, id=,B09, PRDE,actvstrat=,-0.696295, actvprof=,2.340305, id=,B10, PRDE,actvstrat=,-0.045890, actvprof=,3.989491, id=,B11, PRDE,actvstrat=,-0.412006, actvprof=,4.870056, id=,S00, PRDE,actvstrat=,0.265433, actvprof=,6.279517, id=,S01, PRDE,actvstrat=,0.272745, actvprof=,4.585331, id=,S02, PRDE,actvstrat=,-0.929970, actvprof=,0.429727, id=,S03, PRDE,actvstrat=,0.331147, actvprof=,2.407250, id=,S04, PRDE,actvstrat=,-0.777215, actvprof=,0.229725, id=,S05, PRDE,actvstrat=,0.612690, actvprof=,1.186125, id=,S06, PRDE,actvstrat=,0.616221, actvprof=,0.482506, id=,S07, PRDE,actvstrat=,0.888241, actvprof=,0.434172, id=,S08, PRDE,actvstrat=,0.614255, actvprof=,0.050278, id=,S09, PRDE,actvstrat=,0.136245, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,-0.048589, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.703581, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.870056, best_B_strat=,-0.412006, best_S_id=,S00, best_S_prof=,6.279517, best_S_strat=,0.265433, 
t=,36000, id=,B00, PRDE,actvstrat=,0.323321, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.353951, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.924465, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.949415, actvprof=,0.034722, id=,B04, PRDE,actvstrat=,0.735087, actvprof=,0.117778, id=,B05, PRDE,actvstrat=,0.240792, actvprof=,0.147362, id=,B06, PRDE,actvstrat=,-0.608650, actvprof=,0.290974, id=,B07, PRDE,actvstrat=,-0.443037, actvprof=,0.602365, id=,B08, PRDE,actvstrat=,0.253956, actvprof=,1.815149, id=,B09, PRDE,actvstrat=,-0.696295, actvprof=,2.438070, id=,B10, PRDE,actvstrat=,-0.045890, actvprof=,3.915439, id=,B11, PRDE,actvstrat=,-0.412006, actvprof=,5.290586, id=,S00, PRDE,actvstrat=,0.265433, actvprof=,6.454898, id=,S01, PRDE,actvstrat=,0.272745, actvprof=,4.828500, id=,S02, PRDE,actvstrat=,-0.929970, actvprof=,0.600559, id=,S03, PRDE,actvstrat=,0.331147, actvprof=,2.374875, id=,S04, PRDE,actvstrat=,-0.777215, actvprof=,0.213473, id=,S05, PRDE,actvstrat=,0.612690, actvprof=,1.137645, id=,S06, PRDE,actvstrat=,0.616221, actvprof=,0.465558, id=,S07, PRDE,actvstrat=,0.888241, actvprof=,0.423752, id=,S08, PRDE,actvstrat=,0.614255, actvprof=,0.031806, id=,S09, PRDE,actvstrat=,0.136245, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.048589, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.703581, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.290586, best_B_strat=,-0.412006, best_S_id=,S00, best_S_prof=,6.454898, best_S_strat=,0.265433, 
