t=,1, id=,B00, PRDE,actvstrat=,-0.957932, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.287830, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.987859, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840122, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.872111, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.879594, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.862436, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.763609, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.617763, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.493278, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.901478, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.158813, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.209926, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.389797, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.044746, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.857486, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.406878, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.859552, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.842850, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.245016, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.921899, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.015993, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.207210, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.110495, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.957932, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.209926, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.957932, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.287830, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.987859, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.840122, actvprof=,0.020833, id=,B04, PRDE,actvstrat=,-0.872111, actvprof=,0.083610, id=,B05, PRDE,actvstrat=,0.879594, actvprof=,0.678325, id=,B06, PRDE,actvstrat=,-0.862436, actvprof=,0.727214, id=,B07, PRDE,actvstrat=,-0.763609, actvprof=,1.205264, id=,B08, PRDE,actvstrat=,-0.617763, actvprof=,2.068032, id=,B09, PRDE,actvstrat=,-0.493278, actvprof=,3.116631, id=,B10, PRDE,actvstrat=,0.901478, actvprof=,4.551892, id=,B11, PRDE,actvstrat=,-0.158813, actvprof=,6.421592, id=,S00, PRDE,actvstrat=,0.209926, actvprof=,6.689923, id=,S01, PRDE,actvstrat=,0.389797, actvprof=,5.948264, id=,S02, PRDE,actvstrat=,0.044746, actvprof=,3.269129, id=,S03, PRDE,actvstrat=,0.857486, actvprof=,4.898554, id=,S04, PRDE,actvstrat=,0.406878, actvprof=,2.129142, id=,S05, PRDE,actvstrat=,-0.859552, actvprof=,0.194720, id=,S06, PRDE,actvstrat=,-0.842850, actvprof=,0.038611, id=,S07, PRDE,actvstrat=,-0.245016, actvprof=,0.084999, id=,S08, PRDE,actvstrat=,0.921899, actvprof=,0.579993, id=,S09, PRDE,actvstrat=,0.015993, actvprof=,0.014167, id=,S10, PRDE,actvstrat=,-0.207210, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.110495, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.421592, best_B_strat=,-0.158813, best_S_id=,S00, best_S_prof=,6.689923, best_S_strat=,0.209926, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.624055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.955978, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.515329, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.732916, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.844690, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.968349, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.098206, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.461853, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.912714, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.784121, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.932696, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.317789, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.306924, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.881631, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.590377, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.248284, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.461313, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.787968, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.399042, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.035979, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.221228, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.986644, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.974989, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.096050, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.624055, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.306924, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.624055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.955978, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.515329, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.732916, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.844690, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.968349, actvprof=,0.044443, id=,B06, PRDE,actvstrat=,0.098206, actvprof=,0.066110, id=,B07, PRDE,actvstrat=,-0.461853, actvprof=,0.167218, id=,B08, PRDE,actvstrat=,-0.912714, actvprof=,0.638041, id=,B09, PRDE,actvstrat=,0.784121, actvprof=,2.551608, id=,B10, PRDE,actvstrat=,-0.932696, actvprof=,2.235504, id=,B11, PRDE,actvstrat=,0.317789, actvprof=,4.628504, id=,S00, PRDE,actvstrat=,-0.306924, actvprof=,5.326821, id=,S01, PRDE,actvstrat=,-0.881631, actvprof=,1.150529, id=,S02, PRDE,actvstrat=,-0.590377, actvprof=,2.265225, id=,S03, PRDE,actvstrat=,0.248284, actvprof=,3.862133, id=,S04, PRDE,actvstrat=,-0.461313, actvprof=,0.949978, id=,S05, PRDE,actvstrat=,0.787968, actvprof=,3.482697, id=,S06, PRDE,actvstrat=,-0.399042, actvprof=,0.279160, id=,S07, PRDE,actvstrat=,-0.035979, actvprof=,0.191662, id=,S08, PRDE,actvstrat=,-0.221228, actvprof=,0.046943, id=,S09, PRDE,actvstrat=,-0.986644, actvprof=,0.110553, id=,S10, PRDE,actvstrat=,-0.974989, actvprof=,0.008333, id=,S11, PRDE,actvstrat=,0.096050, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.628504, best_B_strat=,0.317789, best_S_id=,S00, best_S_prof=,5.326821, best_S_strat=,-0.306924, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.624055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.955978, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.176709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.559936, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.190121, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.524105, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.639378, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.745726, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.949436, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.104204, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.651928, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.524996, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.746481, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.238218, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.864658, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.248284, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.207551, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.787968, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.785161, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.412910, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.170569, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.901137, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.053383, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.099314, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.624055, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.746481, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.624055, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.955978, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.176709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.559936, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.190121, actvprof=,0.021944, id=,B05, PRDE,actvstrat=,0.524105, actvprof=,0.117778, id=,B06, PRDE,actvstrat=,0.639378, actvprof=,0.490278, id=,B07, PRDE,actvstrat=,0.745726, actvprof=,1.313333, id=,B08, PRDE,actvstrat=,-0.949436, actvprof=,1.984444, id=,B09, PRDE,actvstrat=,0.104204, actvprof=,2.492222, id=,B10, PRDE,actvstrat=,0.651928, actvprof=,4.646944, id=,B11, PRDE,actvstrat=,0.524996, actvprof=,5.977500, id=,S00, PRDE,actvstrat=,-0.746481, actvprof=,3.045000, id=,S01, PRDE,actvstrat=,-0.238218, actvprof=,3.351389, id=,S02, PRDE,actvstrat=,0.864658, actvprof=,7.983611, id=,S03, PRDE,actvstrat=,0.248284, actvprof=,3.163889, id=,S04, PRDE,actvstrat=,0.207551, actvprof=,2.173611, id=,S05, PRDE,actvstrat=,0.787968, actvprof=,2.871389, id=,S06, PRDE,actvstrat=,0.785161, actvprof=,1.606667, id=,S07, PRDE,actvstrat=,-0.412910, actvprof=,0.079722, id=,S08, PRDE,actvstrat=,0.170569, actvprof=,0.061667, id=,S09, PRDE,actvstrat=,0.901137, actvprof=,0.140000, id=,S10, PRDE,actvstrat=,-0.053383, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.099314, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.977500, best_B_strat=,0.524996, best_S_id=,S02, best_S_prof=,7.983611, best_S_strat=,0.864658, 
t=,21600, id=,B00, PRDE,actvstrat=,0.279946, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.912741, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.534928, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.192375, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.272381, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.463889, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.325494, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.622363, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.757448, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.214764, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.097767, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.349995, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.003146, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.228822, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.578728, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.680648, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.279946, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.097767, 
t=,25200, id=,B00, PRDE,actvstrat=,0.279946, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.912741, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.534928, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.192375, actvprof=,0.003333, id=,B04, PRDE,actvstrat=,-0.272381, actvprof=,0.009445, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.169724, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.393060, id=,B07, PRDE,actvstrat=,0.463889, actvprof=,1.180847, id=,B08, PRDE,actvstrat=,-0.325494, actvprof=,1.138069, id=,B09, PRDE,actvstrat=,0.622363, actvprof=,3.609486, id=,B10, PRDE,actvstrat=,0.757448, actvprof=,5.620621, id=,B11, PRDE,actvstrat=,0.214764, actvprof=,6.503964, id=,S00, PRDE,actvstrat=,-0.097767, actvprof=,4.758944, id=,S01, PRDE,actvstrat=,0.349995, actvprof=,5.867846, id=,S02, PRDE,actvstrat=,-0.003146, actvprof=,3.178370, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.294784, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.533108, id=,S05, PRDE,actvstrat=,-0.228822, actvprof=,0.180002, id=,S06, PRDE,actvstrat=,0.578728, actvprof=,0.480006, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.560840, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.210280, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.030000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.680648, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.503964, best_B_strat=,0.214764, best_S_id=,S01, best_S_prof=,5.867846, best_S_strat=,0.349995, 
t=,28800, id=,B00, PRDE,actvstrat=,0.279946, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.912741, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.534928, actvprof=,0.002917, id=,B03, PRDE,actvstrat=,0.192375, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,-0.272381, actvprof=,0.015417, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.186807, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.411808, id=,B07, PRDE,actvstrat=,0.463889, actvprof=,1.169590, id=,B08, PRDE,actvstrat=,-0.325494, actvprof=,1.230563, id=,B09, PRDE,actvstrat=,0.622363, actvprof=,3.770438, id=,B10, PRDE,actvstrat=,0.757448, actvprof=,5.627671, id=,B11, PRDE,actvstrat=,0.214764, actvprof=,6.524760, id=,S00, PRDE,actvstrat=,-0.097767, actvprof=,4.803083, id=,S01, PRDE,actvstrat=,0.349995, actvprof=,6.001701, id=,S02, PRDE,actvstrat=,-0.003146, actvprof=,3.158352, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.298781, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.607804, id=,S05, PRDE,actvstrat=,-0.228822, actvprof=,0.179445, id=,S06, PRDE,actvstrat=,0.578728, actvprof=,0.462225, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.519309, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.184723, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.029584, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,-0.680648, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.524760, best_B_strat=,0.214764, best_S_id=,S01, best_S_prof=,6.001701, best_S_strat=,0.349995, 
t=,32400, id=,B00, PRDE,actvstrat=,0.279946, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.300842, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.323735, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840122, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,-0.272381, actvprof=,0.007778, id=,B05, PRDE,actvstrat=,-0.404817, actvprof=,0.062223, id=,B06, PRDE,actvstrat=,-0.862436, actvprof=,0.475839, id=,B07, PRDE,actvstrat=,0.463889, actvprof=,1.504740, id=,B08, PRDE,actvstrat=,-0.325494, actvprof=,1.553074, id=,B09, PRDE,actvstrat=,-0.764574, actvprof=,2.605586, id=,B10, PRDE,actvstrat=,-0.372262, actvprof=,4.279494, id=,B11, PRDE,actvstrat=,0.317789, actvprof=,6.996192, id=,S00, PRDE,actvstrat=,-0.097767, actvprof=,3.450873, id=,S01, PRDE,actvstrat=,-0.182909, actvprof=,2.001690, id=,S02, PRDE,actvstrat=,-0.175146, actvprof=,1.398350, id=,S03, PRDE,actvstrat=,0.895922, actvprof=,4.470607, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.782532, id=,S05, PRDE,actvstrat=,0.561062, actvprof=,0.880844, id=,S06, PRDE,actvstrat=,-0.399042, actvprof=,0.048334, id=,S07, PRDE,actvstrat=,0.815250, actvprof=,0.278614, id=,S08, PRDE,actvstrat=,0.359410, actvprof=,0.051945, id=,S09, PRDE,actvstrat=,0.558212, actvprof=,0.016389, id=,S10, PRDE,actvstrat=,-0.473090, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.923063, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.996192, best_B_strat=,0.317789, best_S_id=,S03, best_S_prof=,4.470607, best_S_strat=,0.895922, 
t=,36000, id=,B00, PRDE,actvstrat=,0.279946, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.300842, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.323735, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.840122, actvprof=,0.006250, id=,B04, PRDE,actvstrat=,-0.272381, actvprof=,0.007361, id=,B05, PRDE,actvstrat=,-0.404817, actvprof=,0.056806, id=,B06, PRDE,actvstrat=,-0.862436, actvprof=,0.511253, id=,B07, PRDE,actvstrat=,0.463889, actvprof=,1.599731, id=,B08, PRDE,actvstrat=,-0.325494, actvprof=,1.599037, id=,B09, PRDE,actvstrat=,-0.764574, actvprof=,2.510431, id=,B10, PRDE,actvstrat=,-0.372262, actvprof=,4.257664, id=,B11, PRDE,actvstrat=,0.317789, actvprof=,7.072958, id=,S00, PRDE,actvstrat=,-0.097767, actvprof=,3.484742, id=,S01, PRDE,actvstrat=,-0.182909, actvprof=,2.032095, id=,S02, PRDE,actvstrat=,-0.175146, actvprof=,1.344313, id=,S03, PRDE,actvstrat=,0.895922, actvprof=,4.479609, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.828905, id=,S05, PRDE,actvstrat=,0.561062, actvprof=,0.835005, id=,S06, PRDE,actvstrat=,-0.399042, actvprof=,0.040834, id=,S07, PRDE,actvstrat=,0.815250, actvprof=,0.287779, id=,S08, PRDE,actvstrat=,0.359410, actvprof=,0.059167, id=,S09, PRDE,actvstrat=,0.558212, actvprof=,0.015556, id=,S10, PRDE,actvstrat=,-0.473090, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.923063, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.072958, best_B_strat=,0.317789, best_S_id=,S03, best_S_prof=,4.479609, best_S_strat=,0.895922, 
