t=,0, id=,B00, PRDE,actvstrat=,0.422344, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.913705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.160327, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.478279, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.840725, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.935800, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.486376, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.934174, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.399449, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.385349, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.538315, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.336574, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.206659, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.288980, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.608438, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.548101, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.017361, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.291506, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.859025, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.143849, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.173244, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.689742, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.368876, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.658209, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.422344, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.206659, 
t=,3600, id=,B00, PRDE,actvstrat=,0.422344, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.913705, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.160327, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.478279, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.840725, actvprof=,0.037777, id=,B05, PRDE,actvstrat=,0.935800, actvprof=,0.153054, id=,B06, PRDE,actvstrat=,0.486376, actvprof=,0.227497, id=,B07, PRDE,actvstrat=,-0.934174, actvprof=,0.977211, id=,B08, PRDE,actvstrat=,0.399449, actvprof=,1.233597, id=,B09, PRDE,actvstrat=,-0.385349, actvprof=,1.132209, id=,B10, PRDE,actvstrat=,0.538315, actvprof=,3.302462, id=,B11, PRDE,actvstrat=,0.336574, actvprof=,4.585225, id=,S00, PRDE,actvstrat=,0.206659, actvprof=,9.193505, id=,S01, PRDE,actvstrat=,0.288980, actvprof=,7.616023, id=,S02, PRDE,actvstrat=,-0.608438, actvprof=,2.825801, id=,S03, PRDE,actvstrat=,-0.548101, actvprof=,1.613315, id=,S04, PRDE,actvstrat=,0.017361, actvprof=,2.142475, id=,S05, PRDE,actvstrat=,0.291506, actvprof=,1.676647, id=,S06, PRDE,actvstrat=,-0.859025, actvprof=,0.107777, id=,S07, PRDE,actvstrat=,0.143849, actvprof=,0.360551, id=,S08, PRDE,actvstrat=,0.173244, actvprof=,0.138332, id=,S09, PRDE,actvstrat=,-0.689742, actvprof=,0.003333, id=,S10, PRDE,actvstrat=,0.368876, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,0.658209, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.585225, best_B_strat=,0.336574, best_S_id=,S00, best_S_prof=,9.193505, best_S_strat=,0.206659, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.176570, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929071, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.376472, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.675226, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.607078, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.039317, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.156545, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.419600, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.776734, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.472245, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.178402, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.127636, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.072329, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.849723, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.193958, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.595015, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.023033, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.452399, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.465542, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.459354, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.527733, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.872185, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.853767, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.616199, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.176570, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.072329, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.176570, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929071, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.376472, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.675226, actvprof=,0.044167, id=,B04, PRDE,actvstrat=,-0.607078, actvprof=,0.048333, id=,B05, PRDE,actvstrat=,-0.039317, actvprof=,0.186667, id=,B06, PRDE,actvstrat=,0.156545, actvprof=,0.499167, id=,B07, PRDE,actvstrat=,0.419600, actvprof=,1.429444, id=,B08, PRDE,actvstrat=,0.776734, actvprof=,2.561389, id=,B09, PRDE,actvstrat=,-0.472245, actvprof=,2.478889, id=,B10, PRDE,actvstrat=,0.178402, actvprof=,3.922778, id=,B11, PRDE,actvstrat=,-0.127636, actvprof=,5.072778, id=,S00, PRDE,actvstrat=,-0.072329, actvprof=,5.883889, id=,S01, PRDE,actvstrat=,0.849723, actvprof=,9.213333, id=,S02, PRDE,actvstrat=,-0.193958, actvprof=,2.320278, id=,S03, PRDE,actvstrat=,0.595015, actvprof=,4.746111, id=,S04, PRDE,actvstrat=,0.023033, actvprof=,1.814722, id=,S05, PRDE,actvstrat=,0.452399, actvprof=,1.341667, id=,S06, PRDE,actvstrat=,-0.465542, actvprof=,0.149722, id=,S07, PRDE,actvstrat=,-0.459354, actvprof=,0.033056, id=,S08, PRDE,actvstrat=,0.527733, actvprof=,0.089722, id=,S09, PRDE,actvstrat=,0.872185, actvprof=,0.048611, id=,S10, PRDE,actvstrat=,-0.853767, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.616199, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.072778, best_B_strat=,-0.127636, best_S_id=,S01, best_S_prof=,9.213333, best_S_strat=,0.849723, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.176570, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.929071, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.376472, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.675226, actvprof=,0.041389, id=,B04, PRDE,actvstrat=,-0.607078, actvprof=,0.055556, id=,B05, PRDE,actvstrat=,-0.039317, actvprof=,0.185139, id=,B06, PRDE,actvstrat=,0.156545, actvprof=,0.571528, id=,B07, PRDE,actvstrat=,0.419600, actvprof=,1.390000, id=,B08, PRDE,actvstrat=,0.776734, actvprof=,2.607778, id=,B09, PRDE,actvstrat=,-0.472245, actvprof=,2.344583, id=,B10, PRDE,actvstrat=,0.178402, actvprof=,4.224583, id=,B11, PRDE,actvstrat=,-0.127636, actvprof=,5.125972, id=,S00, PRDE,actvstrat=,-0.072329, actvprof=,5.874583, id=,S01, PRDE,actvstrat=,0.849723, actvprof=,9.144444, id=,S02, PRDE,actvstrat=,-0.193958, actvprof=,2.229444, id=,S03, PRDE,actvstrat=,0.595015, actvprof=,4.592222, id=,S04, PRDE,actvstrat=,0.023033, actvprof=,1.779861, id=,S05, PRDE,actvstrat=,0.452399, actvprof=,1.454306, id=,S06, PRDE,actvstrat=,-0.465542, actvprof=,0.121806, id=,S07, PRDE,actvstrat=,-0.459354, actvprof=,0.038889, id=,S08, PRDE,actvstrat=,0.527733, actvprof=,0.082083, id=,S09, PRDE,actvstrat=,0.872185, actvprof=,0.059444, id=,S10, PRDE,actvstrat=,-0.853767, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.616199, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.125972, best_B_strat=,-0.127636, best_S_id=,S01, best_S_prof=,9.144444, best_S_strat=,0.849723, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.151769, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.643302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.118627, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.716700, actvprof=,0.061667, id=,B04, PRDE,actvstrat=,0.176013, actvprof=,0.141391, id=,B05, PRDE,actvstrat=,-0.512540, actvprof=,0.236947, id=,B06, PRDE,actvstrat=,-0.215705, actvprof=,0.668619, id=,B07, PRDE,actvstrat=,0.419600, actvprof=,1.785576, id=,B08, PRDE,actvstrat=,0.337271, actvprof=,2.641142, id=,B09, PRDE,actvstrat=,0.400219, actvprof=,3.978657, id=,B10, PRDE,actvstrat=,-0.034430, actvprof=,4.536719, id=,B11, PRDE,actvstrat=,0.322966, actvprof=,6.370629, id=,S00, PRDE,actvstrat=,-0.118937, actvprof=,5.370062, id=,S01, PRDE,actvstrat=,0.849723, actvprof=,8.502876, id=,S02, PRDE,actvstrat=,0.456907, actvprof=,5.112559, id=,S03, PRDE,actvstrat=,0.682444, actvprof=,4.515608, id=,S04, PRDE,actvstrat=,-0.056625, actvprof=,1.073901, id=,S05, PRDE,actvstrat=,0.382443, actvprof=,1.398072, id=,S06, PRDE,actvstrat=,0.079431, actvprof=,0.447227, id=,S07, PRDE,actvstrat=,0.616471, actvprof=,0.337226, id=,S08, PRDE,actvstrat=,0.585005, actvprof=,0.108612, id=,S09, PRDE,actvstrat=,0.634125, actvprof=,0.021667, id=,S10, PRDE,actvstrat=,0.959901, actvprof=,0.020000, id=,S11, PRDE,actvstrat=,-0.028870, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.370629, best_B_strat=,0.322966, best_S_id=,S01, best_S_prof=,8.502876, best_S_strat=,0.849723, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.151769, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.643302, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.118627, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.716700, actvprof=,0.063612, id=,B04, PRDE,actvstrat=,0.176013, actvprof=,0.157224, id=,B05, PRDE,actvstrat=,-0.512540, actvprof=,0.217364, id=,B06, PRDE,actvstrat=,-0.215705, actvprof=,0.678758, id=,B07, PRDE,actvstrat=,0.419600, actvprof=,1.859327, id=,B08, PRDE,actvstrat=,0.337271, actvprof=,2.662531, id=,B09, PRDE,actvstrat=,0.400219, actvprof=,3.984629, id=,B10, PRDE,actvstrat=,-0.034430, actvprof=,4.563108, id=,B11, PRDE,actvstrat=,0.322966, actvprof=,6.517714, id=,S00, PRDE,actvstrat=,-0.118937, actvprof=,5.266589, id=,S01, PRDE,actvstrat=,0.849723, actvprof=,8.351208, id=,S02, PRDE,actvstrat=,0.456907, actvprof=,5.277144, id=,S03, PRDE,actvstrat=,0.682444, actvprof=,4.354773, id=,S04, PRDE,actvstrat=,-0.056625, actvprof=,1.203903, id=,S05, PRDE,actvstrat=,0.382443, actvprof=,1.340154, id=,S06, PRDE,actvstrat=,0.079431, actvprof=,0.439172, id=,S07, PRDE,actvstrat=,0.616471, actvprof=,0.398616, id=,S08, PRDE,actvstrat=,0.585005, actvprof=,0.116390, id=,S09, PRDE,actvstrat=,0.634125, actvprof=,0.013889, id=,S10, PRDE,actvstrat=,0.959901, actvprof=,0.024167, id=,S11, PRDE,actvstrat=,-0.028870, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.517714, best_B_strat=,0.322966, best_S_id=,S01, best_S_prof=,8.351208, best_S_strat=,0.849723, 
t=,25200, id=,B00, PRDE,actvstrat=,0.555639, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.650068, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.516307, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.909798, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.770728, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.821778, actvprof=,0.042223, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.259173, id=,B07, PRDE,actvstrat=,-0.706044, actvprof=,0.135281, id=,B08, PRDE,actvstrat=,0.713189, actvprof=,1.618093, id=,B09, PRDE,actvstrat=,-0.361587, actvprof=,1.147804, id=,B10, PRDE,actvstrat=,0.475818, actvprof=,3.648140, id=,B11, PRDE,actvstrat=,-0.037545, actvprof=,4.780944, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,8.528809, id=,S01, PRDE,actvstrat=,-0.224503, actvprof=,3.535360, id=,S02, PRDE,actvstrat=,-0.180459, actvprof=,2.801176, id=,S03, PRDE,actvstrat=,0.636576, actvprof=,4.801778, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.523137, id=,S05, PRDE,actvstrat=,-0.568885, actvprof=,0.259173, id=,S06, PRDE,actvstrat=,-0.642218, actvprof=,0.117503, id=,S07, PRDE,actvstrat=,0.792442, actvprof=,0.553624, id=,S08, PRDE,actvstrat=,-0.764954, actvprof=,0.006667, id=,S09, PRDE,actvstrat=,-0.187567, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.615214, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.461906, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.780944, best_B_strat=,-0.037545, best_S_id=,S00, best_S_prof=,8.528809, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.555639, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.650068, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.516307, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.909798, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.770728, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.821778, actvprof=,0.061528, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.309726, id=,B07, PRDE,actvstrat=,-0.706044, actvprof=,0.166946, id=,B08, PRDE,actvstrat=,0.713189, actvprof=,1.585018, id=,B09, PRDE,actvstrat=,-0.361587, actvprof=,1.198903, id=,B10, PRDE,actvstrat=,0.475818, actvprof=,3.766710, id=,B11, PRDE,actvstrat=,-0.037545, actvprof=,4.440051, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,8.065649, id=,S01, PRDE,actvstrat=,-0.224503, actvprof=,3.544347, id=,S02, PRDE,actvstrat=,-0.180459, actvprof=,2.582530, id=,S03, PRDE,actvstrat=,0.636576, actvprof=,4.857417, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,3.562402, id=,S05, PRDE,actvstrat=,-0.568885, actvprof=,0.228058, id=,S06, PRDE,actvstrat=,-0.642218, actvprof=,0.104168, id=,S07, PRDE,actvstrat=,0.792442, actvprof=,0.584590, id=,S08, PRDE,actvstrat=,-0.764954, actvprof=,0.006111, id=,S09, PRDE,actvstrat=,-0.187567, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.615214, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.461906, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.440051, best_B_strat=,-0.037545, best_S_id=,S00, best_S_prof=,8.065649, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.113837, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.913705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.667870, actvprof=,0.005556, id=,B03, PRDE,actvstrat=,0.716700, actvprof=,0.025834, id=,B04, PRDE,actvstrat=,0.176013, actvprof=,0.047501, id=,B05, PRDE,actvstrat=,0.927419, actvprof=,0.449733, id=,B06, PRDE,actvstrat=,0.156545, actvprof=,0.559457, id=,B07, PRDE,actvstrat=,-0.479530, actvprof=,0.816130, id=,B08, PRDE,actvstrat=,0.776734, actvprof=,2.500058, id=,B09, PRDE,actvstrat=,0.194901, actvprof=,3.013125, id=,B10, PRDE,actvstrat=,0.123887, actvprof=,3.998426, id=,B11, PRDE,actvstrat=,-0.409061, actvprof=,4.986504, id=,S00, PRDE,actvstrat=,-0.072329, actvprof=,5.868191, id=,S01, PRDE,actvstrat=,0.849723, actvprof=,9.374661, id=,S02, PRDE,actvstrat=,0.456907, actvprof=,5.640686, id=,S03, PRDE,actvstrat=,0.595015, actvprof=,4.520938, id=,S04, PRDE,actvstrat=,-0.916500, actvprof=,0.530568, id=,S05, PRDE,actvstrat=,0.632589, actvprof=,2.008658, id=,S06, PRDE,actvstrat=,-0.116897, actvprof=,0.191949, id=,S07, PRDE,actvstrat=,0.561099, actvprof=,0.327508, id=,S08, PRDE,actvstrat=,-0.072527, actvprof=,0.006111, id=,S09, PRDE,actvstrat=,0.677244, actvprof=,0.005833, id=,S10, PRDE,actvstrat=,0.959901, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,-0.741741, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.986504, best_B_strat=,-0.409061, best_S_id=,S01, best_S_prof=,9.374661, best_S_strat=,0.849723, 
t=,36000, id=,B00, PRDE,actvstrat=,0.113837, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.913705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.667870, actvprof=,0.005139, id=,B03, PRDE,actvstrat=,0.716700, actvprof=,0.026111, id=,B04, PRDE,actvstrat=,0.176013, actvprof=,0.055973, id=,B05, PRDE,actvstrat=,0.927419, actvprof=,0.478200, id=,B06, PRDE,actvstrat=,0.156545, actvprof=,0.545006, id=,B07, PRDE,actvstrat=,-0.479530, actvprof=,0.823482, id=,B08, PRDE,actvstrat=,0.776734, actvprof=,2.422389, id=,B09, PRDE,actvstrat=,0.194901, actvprof=,3.018229, id=,B10, PRDE,actvstrat=,0.123887, actvprof=,3.999352, id=,B11, PRDE,actvstrat=,-0.409061, actvprof=,5.050058, id=,S00, PRDE,actvstrat=,-0.072329, actvprof=,5.933541, id=,S01, PRDE,actvstrat=,0.849723, actvprof=,9.240246, id=,S02, PRDE,actvstrat=,0.456907, actvprof=,5.531731, id=,S03, PRDE,actvstrat=,0.595015, actvprof=,4.407134, id=,S04, PRDE,actvstrat=,-0.916500, actvprof=,0.583896, id=,S05, PRDE,actvstrat=,0.632589, actvprof=,1.935161, id=,S06, PRDE,actvstrat=,-0.116897, actvprof=,0.180419, id=,S07, PRDE,actvstrat=,0.561099, actvprof=,0.335837, id=,S08, PRDE,actvstrat=,-0.072527, actvprof=,0.014861, id=,S09, PRDE,actvstrat=,0.677244, actvprof=,0.006945, id=,S10, PRDE,actvstrat=,0.959901, actvprof=,0.001250, id=,S11, PRDE,actvstrat=,-0.741741, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.050058, best_B_strat=,-0.409061, best_S_id=,S01, best_S_prof=,9.240246, best_S_strat=,0.849723, 
