t=,0, id=,B00, PRDE,actvstrat=,-0.633170, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.063923, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.857684, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.912799, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.137465, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.684641, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.335812, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.164005, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.588057, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.355453, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.602096, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.330441, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.409844, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.233078, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.404279, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.734524, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.254850, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.579089, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.387688, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.625949, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.869295, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.327161, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.607776, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.945340, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.633170, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.409844, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.633170, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.063923, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.857684, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.912799, actvprof=,0.081943, id=,B04, PRDE,actvstrat=,0.137465, actvprof=,0.064444, id=,B05, PRDE,actvstrat=,0.684641, actvprof=,0.646937, id=,B06, PRDE,actvstrat=,-0.335812, actvprof=,0.540272, id=,B07, PRDE,actvstrat=,-0.164005, actvprof=,1.233875, id=,B08, PRDE,actvstrat=,0.588057, actvprof=,3.146352, id=,B09, PRDE,actvstrat=,0.355453, actvprof=,4.361061, id=,B10, PRDE,actvstrat=,0.602096, actvprof=,5.732156, id=,B11, PRDE,actvstrat=,-0.330441, actvprof=,6.229650, id=,S00, PRDE,actvstrat=,0.409844, actvprof=,8.836009, id=,S01, PRDE,actvstrat=,0.233078, actvprof=,6.416315, id=,S02, PRDE,actvstrat=,-0.404279, actvprof=,2.845800, id=,S03, PRDE,actvstrat=,0.734524, actvprof=,4.859388, id=,S04, PRDE,actvstrat=,0.254850, actvprof=,2.152753, id=,S05, PRDE,actvstrat=,0.579089, actvprof=,1.991366, id=,S06, PRDE,actvstrat=,0.387688, actvprof=,0.777213, id=,S07, PRDE,actvstrat=,-0.625949, actvprof=,0.062499, id=,S08, PRDE,actvstrat=,-0.869295, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.327161, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.607776, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.945340, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.229650, best_B_strat=,-0.330441, best_S_id=,S00, best_S_prof=,8.836009, best_S_strat=,0.409844, 
t=,7200, id=,B00, PRDE,actvstrat=,0.026073, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.206163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.970705, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.651010, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.851036, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.184722, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.076096, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.405081, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.051525, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.106079, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.341075, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.662860, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.090477, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.918439, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.000641, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.444451, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.754151, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.175036, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.225013, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.737252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.855662, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.441880, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.641475, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.849544, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.026073, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.090477, 
t=,10800, id=,B00, PRDE,actvstrat=,0.026073, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.206163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.970705, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.651010, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,-0.851036, actvprof=,0.047777, id=,B05, PRDE,actvstrat=,0.184722, actvprof=,0.174442, id=,B06, PRDE,actvstrat=,0.076096, actvprof=,0.338329, id=,B07, PRDE,actvstrat=,0.405081, actvprof=,1.160542, id=,B08, PRDE,actvstrat=,-0.051525, actvprof=,1.323040, id=,B09, PRDE,actvstrat=,0.106079, actvprof=,2.753301, id=,B10, PRDE,actvstrat=,0.341075, actvprof=,4.535781, id=,B11, PRDE,actvstrat=,-0.662860, actvprof=,5.303550, id=,S00, PRDE,actvstrat=,-0.090477, actvprof=,7.000752, id=,S01, PRDE,actvstrat=,-0.918439, actvprof=,2.392472, id=,S02, PRDE,actvstrat=,0.000641, actvprof=,4.438560, id=,S03, PRDE,actvstrat=,0.444451, actvprof=,4.065231, id=,S04, PRDE,actvstrat=,-0.754151, actvprof=,0.711103, id=,S05, PRDE,actvstrat=,-0.175036, actvprof=,0.509716, id=,S06, PRDE,actvstrat=,0.225013, actvprof=,0.482494, id=,S07, PRDE,actvstrat=,0.737252, actvprof=,0.439162, id=,S08, PRDE,actvstrat=,0.855662, actvprof=,0.134165, id=,S09, PRDE,actvstrat=,-0.441880, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.641475, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.849544, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.303550, best_B_strat=,-0.662860, best_S_id=,S00, best_S_prof=,7.000752, best_S_strat=,-0.090477, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.371785, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.536705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.158211, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.994790, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.851036, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.731812, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.076096, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.613043, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.160425, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.152911, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.341075, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.249637, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.811590, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.959054, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.421160, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.060887, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.548791, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.694508, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.354191, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.737252, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.654678, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.841744, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.812570, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.849544, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.371785, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.811590, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.371785, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.536705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.158211, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.994790, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,-0.851036, actvprof=,0.014167, id=,B05, PRDE,actvstrat=,-0.731812, actvprof=,0.044722, id=,B06, PRDE,actvstrat=,0.076096, actvprof=,0.393611, id=,B07, PRDE,actvstrat=,0.613043, actvprof=,1.522500, id=,B08, PRDE,actvstrat=,-0.160425, actvprof=,1.329444, id=,B09, PRDE,actvstrat=,0.152911, actvprof=,3.055556, id=,B10, PRDE,actvstrat=,0.341075, actvprof=,5.106389, id=,B11, PRDE,actvstrat=,0.249637, actvprof=,6.983889, id=,S00, PRDE,actvstrat=,-0.811590, actvprof=,3.805000, id=,S01, PRDE,actvstrat=,-0.959054, actvprof=,4.661667, id=,S02, PRDE,actvstrat=,0.421160, actvprof=,5.603611, id=,S03, PRDE,actvstrat=,0.060887, actvprof=,2.790556, id=,S04, PRDE,actvstrat=,0.548791, actvprof=,2.614444, id=,S05, PRDE,actvstrat=,0.694508, actvprof=,2.062222, id=,S06, PRDE,actvstrat=,-0.354191, actvprof=,0.142500, id=,S07, PRDE,actvstrat=,0.737252, actvprof=,0.433333, id=,S08, PRDE,actvstrat=,0.654678, actvprof=,0.105000, id=,S09, PRDE,actvstrat=,-0.841744, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.812570, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.849544, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.983889, best_B_strat=,0.249637, best_S_id=,S02, best_S_prof=,5.603611, best_S_strat=,0.421160, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.371785, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.536705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.158211, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.994790, actvprof=,0.005972, id=,B04, PRDE,actvstrat=,-0.851036, actvprof=,0.015417, id=,B05, PRDE,actvstrat=,-0.731812, actvprof=,0.061250, id=,B06, PRDE,actvstrat=,0.076096, actvprof=,0.408613, id=,B07, PRDE,actvstrat=,0.613043, actvprof=,1.503203, id=,B08, PRDE,actvstrat=,-0.160425, actvprof=,1.377786, id=,B09, PRDE,actvstrat=,0.152911, actvprof=,3.065851, id=,B10, PRDE,actvstrat=,0.341075, actvprof=,4.997668, id=,B11, PRDE,actvstrat=,0.249637, actvprof=,6.731706, id=,S00, PRDE,actvstrat=,-0.811590, actvprof=,3.732105, id=,S01, PRDE,actvstrat=,-0.959054, actvprof=,4.596277, id=,S02, PRDE,actvstrat=,0.421160, actvprof=,5.348920, id=,S03, PRDE,actvstrat=,0.060887, actvprof=,2.795850, id=,S04, PRDE,actvstrat=,0.548791, actvprof=,2.716405, id=,S05, PRDE,actvstrat=,0.694508, actvprof=,1.994734, id=,S06, PRDE,actvstrat=,-0.354191, actvprof=,0.169445, id=,S07, PRDE,actvstrat=,0.737252, actvprof=,0.396530, id=,S08, PRDE,actvstrat=,0.654678, actvprof=,0.117778, id=,S09, PRDE,actvstrat=,-0.841744, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.812570, actvprof=,0.002500, id=,S11, PRDE,actvstrat=,-0.849544, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.731706, best_B_strat=,0.249637, best_S_id=,S02, best_S_prof=,5.348920, best_S_strat=,0.421160, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.496257, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.945550, actvprof=,0.002222, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.951289, actvprof=,0.018056, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.144168, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.610007, id=,B07, PRDE,actvstrat=,0.914433, actvprof=,0.997234, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.109758, id=,B09, PRDE,actvstrat=,-0.323245, actvprof=,1.982801, id=,B10, PRDE,actvstrat=,-0.179257, actvprof=,3.654209, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.019815, id=,S00, PRDE,actvstrat=,-0.305757, actvprof=,4.869223, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,10.033172, id=,S02, PRDE,actvstrat=,0.511428, actvprof=,5.828956, id=,S03, PRDE,actvstrat=,0.272046, actvprof=,3.233926, id=,S04, PRDE,actvstrat=,0.411601, actvprof=,2.193637, id=,S05, PRDE,actvstrat=,-0.200081, actvprof=,0.209447, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.802232, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.137224, id=,S08, PRDE,actvstrat=,-0.029788, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S10, PRDE,actvstrat=,0.753329, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.038379, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.019815, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,10.033172, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.496257, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.206163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.829648, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.417134, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.154068, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.570932, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.746333, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.316576, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.498538, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.323245, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.590095, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.346840, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.103085, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.668678, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.925777, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.302832, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.694508, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.225013, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.843254, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.654678, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.102248, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.812570, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.097178, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.496257, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.346840, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.496257, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.206163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.829648, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.417134, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.154068, actvprof=,0.024723, id=,B05, PRDE,actvstrat=,-0.570932, actvprof=,0.116946, id=,B06, PRDE,actvstrat=,0.746333, actvprof=,1.136958, id=,B07, PRDE,actvstrat=,-0.316576, actvprof=,0.891955, id=,B08, PRDE,actvstrat=,-0.498538, actvprof=,1.531129, id=,B09, PRDE,actvstrat=,-0.323245, actvprof=,3.035868, id=,B10, PRDE,actvstrat=,-0.590095, actvprof=,4.256994, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.242040, id=,S00, PRDE,actvstrat=,-0.346840, actvprof=,3.918656, id=,S01, PRDE,actvstrat=,-0.103085, actvprof=,3.189481, id=,S02, PRDE,actvstrat=,-0.668678, actvprof=,1.179736, id=,S03, PRDE,actvstrat=,0.925777, actvprof=,4.138937, id=,S04, PRDE,actvstrat=,0.302832, actvprof=,1.091124, id=,S05, PRDE,actvstrat=,0.694508, actvprof=,0.869177, id=,S06, PRDE,actvstrat=,0.225013, actvprof=,0.140002, id=,S07, PRDE,actvstrat=,0.843254, actvprof=,0.079168, id=,S08, PRDE,actvstrat=,0.654678, actvprof=,0.005556, id=,S09, PRDE,actvstrat=,0.102248, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.812570, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.097178, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.242040, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,4.138937, best_S_strat=,0.925777, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.496257, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.206163, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.829648, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,-0.417134, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,0.154068, actvprof=,0.033334, id=,B05, PRDE,actvstrat=,-0.570932, actvprof=,0.100834, id=,B06, PRDE,actvstrat=,0.746333, actvprof=,1.107784, id=,B07, PRDE,actvstrat=,-0.316576, actvprof=,0.876811, id=,B08, PRDE,actvstrat=,-0.498538, actvprof=,1.560565, id=,B09, PRDE,actvstrat=,-0.323245, actvprof=,3.090851, id=,B10, PRDE,actvstrat=,-0.590095, actvprof=,4.202524, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.134630, id=,S00, PRDE,actvstrat=,-0.346840, actvprof=,4.019884, id=,S01, PRDE,actvstrat=,-0.103085, actvprof=,3.247935, id=,S02, PRDE,actvstrat=,-0.668678, actvprof=,1.187785, id=,S03, PRDE,actvstrat=,0.925777, actvprof=,4.132385, id=,S04, PRDE,actvstrat=,0.302832, actvprof=,1.088895, id=,S05, PRDE,actvstrat=,0.694508, actvprof=,0.863061, id=,S06, PRDE,actvstrat=,0.225013, actvprof=,0.127223, id=,S07, PRDE,actvstrat=,0.843254, actvprof=,0.079445, id=,S08, PRDE,actvstrat=,0.654678, actvprof=,0.009444, id=,S09, PRDE,actvstrat=,0.102248, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.812570, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.097178, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.134630, best_B_strat=,-1.000000, best_S_id=,S03, best_S_prof=,4.132385, best_S_strat=,0.925777, 
