t=,0, id=,B00, PRDE,actvstrat=,-0.029557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.906918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.899958, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.995975, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.975460, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.461166, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.012825, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.115645, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.987761, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.474460, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.596346, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.241219, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.621322, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.284416, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.390026, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.777493, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.042464, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.970006, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.857872, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.208183, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.182916, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.850975, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.057616, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.731949, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.029557, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.621322, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.029557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.906918, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.899958, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,-0.995975, actvprof=,0.023611, id=,B04, PRDE,actvstrat=,-0.975460, actvprof=,0.224164, id=,B05, PRDE,actvstrat=,-0.461166, actvprof=,0.133887, id=,B06, PRDE,actvstrat=,0.012825, actvprof=,0.546938, id=,B07, PRDE,actvstrat=,0.115645, actvprof=,1.187208, id=,B08, PRDE,actvstrat=,0.987761, actvprof=,1.432206, id=,B09, PRDE,actvstrat=,-0.474460, actvprof=,2.599692, id=,B10, PRDE,actvstrat=,0.596346, actvprof=,5.077163, id=,B11, PRDE,actvstrat=,-0.241219, actvprof=,5.706601, id=,S00, PRDE,actvstrat=,0.621322, actvprof=,10.645710, id=,S01, PRDE,actvstrat=,0.284416, actvprof=,7.669911, id=,S02, PRDE,actvstrat=,-0.390026, actvprof=,3.518570, id=,S03, PRDE,actvstrat=,0.777493, actvprof=,6.124096, id=,S04, PRDE,actvstrat=,-0.042464, actvprof=,2.209141, id=,S05, PRDE,actvstrat=,-0.970006, actvprof=,1.429428, id=,S06, PRDE,actvstrat=,-0.857872, actvprof=,0.168054, id=,S07, PRDE,actvstrat=,-0.208183, actvprof=,0.164998, id=,S08, PRDE,actvstrat=,0.182916, actvprof=,0.062499, id=,S09, PRDE,actvstrat=,-0.850975, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,0.057616, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.731949, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.706601, best_B_strat=,-0.241219, best_S_id=,S00, best_S_prof=,10.645710, best_S_strat=,0.621322, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.746778, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.550847, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.683842, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984129, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.533373, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.812194, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.115333, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.621254, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.449311, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.811704, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.294101, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.398054, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.333593, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.398172, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.577565, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.957275, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.789471, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.097061, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.336003, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.581448, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.827547, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.700152, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.367882, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.962808, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.746778, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.333593, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.746778, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.550847, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.683842, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984129, actvprof=,0.018333, id=,B04, PRDE,actvstrat=,0.533373, actvprof=,0.038889, id=,B05, PRDE,actvstrat=,0.812194, actvprof=,0.275000, id=,B06, PRDE,actvstrat=,0.115333, actvprof=,0.356111, id=,B07, PRDE,actvstrat=,-0.621254, actvprof=,0.553056, id=,B08, PRDE,actvstrat=,0.449311, actvprof=,1.863056, id=,B09, PRDE,actvstrat=,0.811704, actvprof=,3.456944, id=,B10, PRDE,actvstrat=,-0.294101, actvprof=,3.097778, id=,B11, PRDE,actvstrat=,-0.398054, actvprof=,4.240278, id=,S00, PRDE,actvstrat=,0.333593, actvprof=,9.559444, id=,S01, PRDE,actvstrat=,0.398172, actvprof=,8.244167, id=,S02, PRDE,actvstrat=,-0.577565, actvprof=,2.723333, id=,S03, PRDE,actvstrat=,-0.957275, actvprof=,1.966389, id=,S04, PRDE,actvstrat=,-0.789471, actvprof=,0.746389, id=,S05, PRDE,actvstrat=,0.097061, actvprof=,1.001111, id=,S06, PRDE,actvstrat=,0.336003, actvprof=,0.729722, id=,S07, PRDE,actvstrat=,0.581448, actvprof=,0.457778, id=,S08, PRDE,actvstrat=,-0.827547, actvprof=,0.000556, id=,S09, PRDE,actvstrat=,-0.700152, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.367882, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.962808, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.240278, best_B_strat=,-0.398054, best_S_id=,S00, best_S_prof=,9.559444, best_S_strat=,0.333593, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.746778, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.550847, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.683842, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.984129, actvprof=,0.017917, id=,B04, PRDE,actvstrat=,0.533373, actvprof=,0.056806, id=,B05, PRDE,actvstrat=,0.812194, actvprof=,0.327222, id=,B06, PRDE,actvstrat=,0.115333, actvprof=,0.353611, id=,B07, PRDE,actvstrat=,-0.621254, actvprof=,0.596806, id=,B08, PRDE,actvstrat=,0.449311, actvprof=,1.893750, id=,B09, PRDE,actvstrat=,0.811704, actvprof=,3.425694, id=,B10, PRDE,actvstrat=,-0.294101, actvprof=,3.246111, id=,B11, PRDE,actvstrat=,-0.398054, actvprof=,4.355833, id=,S00, PRDE,actvstrat=,0.333593, actvprof=,9.490139, id=,S01, PRDE,actvstrat=,0.398172, actvprof=,8.082500, id=,S02, PRDE,actvstrat=,-0.577565, actvprof=,2.946667, id=,S03, PRDE,actvstrat=,-0.957275, actvprof=,2.043611, id=,S04, PRDE,actvstrat=,-0.789471, actvprof=,0.736667, id=,S05, PRDE,actvstrat=,0.097061, actvprof=,1.107917, id=,S06, PRDE,actvstrat=,0.336003, actvprof=,0.780972, id=,S07, PRDE,actvstrat=,0.581448, actvprof=,0.447083, id=,S08, PRDE,actvstrat=,-0.827547, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.700152, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.367882, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.962808, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.355833, best_B_strat=,-0.398054, best_S_id=,S00, best_S_prof=,9.490139, best_S_strat=,0.333593, 
t=,18000, id=,B00, PRDE,actvstrat=,0.960218, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.567611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.054589, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.984129, actvprof=,0.032500, id=,B04, PRDE,actvstrat=,-0.708962, actvprof=,0.020834, id=,B05, PRDE,actvstrat=,0.234533, actvprof=,0.279170, id=,B06, PRDE,actvstrat=,0.122282, actvprof=,0.497506, id=,B07, PRDE,actvstrat=,0.471202, actvprof=,1.678631, id=,B08, PRDE,actvstrat=,0.504343, actvprof=,2.681420, id=,B09, PRDE,actvstrat=,-0.234085, actvprof=,2.781421, id=,B10, PRDE,actvstrat=,0.416746, actvprof=,4.993391, id=,B11, PRDE,actvstrat=,0.259206, actvprof=,6.383685, id=,S00, PRDE,actvstrat=,-0.282332, actvprof=,6.655077, id=,S01, PRDE,actvstrat=,0.492511, actvprof=,7.993426, id=,S02, PRDE,actvstrat=,-0.577565, actvprof=,2.924478, id=,S03, PRDE,actvstrat=,0.910921, actvprof=,5.094781, id=,S04, PRDE,actvstrat=,-0.871263, actvprof=,1.051401, id=,S05, PRDE,actvstrat=,0.082990, actvprof=,1.170014, id=,S06, PRDE,actvstrat=,0.336003, actvprof=,0.898622, id=,S07, PRDE,actvstrat=,0.612177, actvprof=,0.556395, id=,S08, PRDE,actvstrat=,-0.812024, actvprof=,0.019722, id=,S09, PRDE,actvstrat=,-0.621331, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.381522, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.962808, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.383685, best_B_strat=,0.259206, best_S_id=,S01, best_S_prof=,7.993426, best_S_strat=,0.492511, 
t=,21600, id=,B00, PRDE,actvstrat=,0.960218, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.567611, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.054589, actvprof=,0.000139, id=,B03, PRDE,actvstrat=,-0.984129, actvprof=,0.031250, id=,B04, PRDE,actvstrat=,-0.708962, actvprof=,0.019167, id=,B05, PRDE,actvstrat=,0.234533, actvprof=,0.259586, id=,B06, PRDE,actvstrat=,0.122282, actvprof=,0.535840, id=,B07, PRDE,actvstrat=,0.471202, actvprof=,1.681547, id=,B08, PRDE,actvstrat=,0.504343, actvprof=,2.594336, id=,B09, PRDE,actvstrat=,-0.234085, actvprof=,2.741421, id=,B10, PRDE,actvstrat=,0.416746, actvprof=,4.973808, id=,B11, PRDE,actvstrat=,0.259206, actvprof=,6.379657, id=,S00, PRDE,actvstrat=,-0.282332, actvprof=,6.644105, id=,S01, PRDE,actvstrat=,0.492511, actvprof=,7.902175, id=,S02, PRDE,actvstrat=,-0.577565, actvprof=,2.934478, id=,S03, PRDE,actvstrat=,0.910921, actvprof=,5.157421, id=,S04, PRDE,actvstrat=,-0.871263, actvprof=,0.996678, id=,S05, PRDE,actvstrat=,0.082990, actvprof=,1.135708, id=,S06, PRDE,actvstrat=,0.336003, actvprof=,0.899177, id=,S07, PRDE,actvstrat=,0.612177, actvprof=,0.562784, id=,S08, PRDE,actvstrat=,-0.812024, actvprof=,0.014306, id=,S09, PRDE,actvstrat=,-0.621331, actvprof=,0.003056, id=,S10, PRDE,actvstrat=,-0.381522, actvprof=,0.001528, id=,S11, PRDE,actvstrat=,0.962808, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.379657, best_B_strat=,0.259206, best_S_id=,S01, best_S_prof=,7.902175, best_S_strat=,0.492511, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.003161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.367166, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.659335, actvprof=,0.040279, id=,B04, PRDE,actvstrat=,-0.259189, actvprof=,0.053335, id=,B05, PRDE,actvstrat=,-0.128862, actvprof=,0.226950, id=,B06, PRDE,actvstrat=,0.533211, actvprof=,1.294752, id=,B07, PRDE,actvstrat=,0.555865, actvprof=,2.221996, id=,B08, PRDE,actvstrat=,-0.201611, actvprof=,1.949490, id=,B09, PRDE,actvstrat=,-0.010898, actvprof=,3.788143, id=,B10, PRDE,actvstrat=,-0.658556, actvprof=,4.685664, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,9.181879, id=,S00, PRDE,actvstrat=,0.638986, actvprof=,8.821315, id=,S01, PRDE,actvstrat=,-0.544383, actvprof=,2.748953, id=,S02, PRDE,actvstrat=,0.636394, actvprof=,4.744832, id=,S03, PRDE,actvstrat=,0.716603, actvprof=,3.588694, id=,S04, PRDE,actvstrat=,0.402457, actvprof=,1.346976, id=,S05, PRDE,actvstrat=,0.544539, actvprof=,0.876687, id=,S06, PRDE,actvstrat=,-0.617953, actvprof=,0.023889, id=,S07, PRDE,actvstrat=,0.087796, actvprof=,0.025278, id=,S08, PRDE,actvstrat=,0.959430, actvprof=,0.051112, id=,S09, PRDE,actvstrat=,0.508318, actvprof=,0.001944, id=,S10, PRDE,actvstrat=,-0.609481, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.181879, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.821315, best_S_strat=,0.638986, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.003161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.367166, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,0.659335, actvprof=,0.035695, id=,B04, PRDE,actvstrat=,-0.259189, actvprof=,0.045556, id=,B05, PRDE,actvstrat=,-0.128862, actvprof=,0.231808, id=,B06, PRDE,actvstrat=,0.533211, actvprof=,1.264876, id=,B07, PRDE,actvstrat=,0.555865, actvprof=,2.163497, id=,B08, PRDE,actvstrat=,-0.201611, actvprof=,2.101691, id=,B09, PRDE,actvstrat=,-0.010898, actvprof=,3.706015, id=,B10, PRDE,actvstrat=,-0.658556, actvprof=,4.827000, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,9.271218, id=,S00, PRDE,actvstrat=,0.638986, actvprof=,8.731629, id=,S01, PRDE,actvstrat=,-0.544383, actvprof=,2.566141, id=,S02, PRDE,actvstrat=,0.636394, actvprof=,4.985197, id=,S03, PRDE,actvstrat=,0.716603, actvprof=,3.585736, id=,S04, PRDE,actvstrat=,0.402457, actvprof=,1.430850, id=,S05, PRDE,actvstrat=,0.544539, actvprof=,0.858204, id=,S06, PRDE,actvstrat=,-0.617953, actvprof=,0.027917, id=,S07, PRDE,actvstrat=,0.087796, actvprof=,0.025556, id=,S08, PRDE,actvstrat=,0.959430, actvprof=,0.045973, id=,S09, PRDE,actvstrat=,0.508318, actvprof=,0.000972, id=,S10, PRDE,actvstrat=,-0.609481, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.271218, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,8.731629, best_S_strat=,0.638986, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.746778, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.003161, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.367166, actvprof=,0.007778, id=,B03, PRDE,actvstrat=,-0.265693, actvprof=,0.053890, id=,B04, PRDE,actvstrat=,-0.259189, actvprof=,0.111390, id=,B05, PRDE,actvstrat=,-0.150162, actvprof=,0.401394, id=,B06, PRDE,actvstrat=,0.533211, actvprof=,1.555851, id=,B07, PRDE,actvstrat=,0.109178, actvprof=,1.808076, id=,B08, PRDE,actvstrat=,-0.201611, actvprof=,2.525029, id=,B09, PRDE,actvstrat=,0.669348, actvprof=,4.638665, id=,B10, PRDE,actvstrat=,0.155493, actvprof=,5.498675, id=,B11, PRDE,actvstrat=,-0.398054, actvprof=,6.650910, id=,S00, PRDE,actvstrat=,0.638986, actvprof=,8.796491, id=,S01, PRDE,actvstrat=,0.398172, actvprof=,6.361185, id=,S02, PRDE,actvstrat=,0.674454, actvprof=,5.292283, id=,S03, PRDE,actvstrat=,-0.568295, actvprof=,1.218347, id=,S04, PRDE,actvstrat=,0.507227, actvprof=,2.111691, id=,S05, PRDE,actvstrat=,0.544539, actvprof=,1.221959, id=,S06, PRDE,actvstrat=,-0.659813, actvprof=,0.118057, id=,S07, PRDE,actvstrat=,0.448191, actvprof=,0.176391, id=,S08, PRDE,actvstrat=,0.959430, actvprof=,0.214447, id=,S09, PRDE,actvstrat=,0.655137, actvprof=,0.011667, id=,S10, PRDE,actvstrat=,-0.367882, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.924386, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.650910, best_B_strat=,-0.398054, best_S_id=,S00, best_S_prof=,8.796491, best_S_strat=,0.638986, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.746778, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.003161, actvprof=,0.000278, id=,B02, PRDE,actvstrat=,-0.367166, actvprof=,0.005694, id=,B03, PRDE,actvstrat=,-0.265693, actvprof=,0.056945, id=,B04, PRDE,actvstrat=,-0.259189, actvprof=,0.118473, id=,B05, PRDE,actvstrat=,-0.150162, actvprof=,0.424447, id=,B06, PRDE,actvstrat=,0.533211, actvprof=,1.623204, id=,B07, PRDE,actvstrat=,0.109178, actvprof=,1.789038, id=,B08, PRDE,actvstrat=,-0.201611, actvprof=,2.463209, id=,B09, PRDE,actvstrat=,0.669348, actvprof=,4.783361, id=,B10, PRDE,actvstrat=,0.155493, actvprof=,5.579893, id=,B11, PRDE,actvstrat=,-0.398054, actvprof=,6.623233, id=,S00, PRDE,actvstrat=,0.638986, actvprof=,8.798245, id=,S01, PRDE,actvstrat=,0.398172, actvprof=,6.167119, id=,S02, PRDE,actvstrat=,0.674454, actvprof=,5.561282, id=,S03, PRDE,actvstrat=,-0.568295, actvprof=,1.241813, id=,S04, PRDE,actvstrat=,0.507227, actvprof=,2.109457, id=,S05, PRDE,actvstrat=,0.544539, actvprof=,1.254452, id=,S06, PRDE,actvstrat=,-0.659813, actvprof=,0.101389, id=,S07, PRDE,actvstrat=,0.448191, actvprof=,0.165695, id=,S08, PRDE,actvstrat=,0.959430, actvprof=,0.229585, id=,S09, PRDE,actvstrat=,0.655137, actvprof=,0.006944, id=,S10, PRDE,actvstrat=,-0.367882, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.924386, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.623233, best_B_strat=,-0.398054, best_S_id=,S00, best_S_prof=,8.798245, best_S_strat=,0.638986, 
