t=,0, id=,B00, PRDE,actvstrat=,-0.611028, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.411223, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.233197, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.740577, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.094224, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.386061, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.794084, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.169303, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.753362, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.899930, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.995312, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.427319, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.766048, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.173662, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.985520, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.946528, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.683038, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.355436, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.891385, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.957780, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.399307, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.478819, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.121164, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.956506, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.611028, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.766048, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.611028, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.411223, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.233197, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.740577, actvprof=,0.031389, id=,B04, PRDE,actvstrat=,-0.094224, actvprof=,0.031944, id=,B05, PRDE,actvstrat=,0.386061, actvprof=,0.237775, id=,B06, PRDE,actvstrat=,0.794084, actvprof=,1.046099, id=,B07, PRDE,actvstrat=,-0.169303, actvprof=,0.730269, id=,B08, PRDE,actvstrat=,-0.753362, actvprof=,1.744146, id=,B09, PRDE,actvstrat=,0.899930, actvprof=,3.046631, id=,B10, PRDE,actvstrat=,-0.995312, actvprof=,5.534103, id=,B11, PRDE,actvstrat=,0.427319, actvprof=,5.842155, id=,S00, PRDE,actvstrat=,-0.766048, actvprof=,2.850245, id=,S01, PRDE,actvstrat=,-0.173662, actvprof=,4.028287, id=,S02, PRDE,actvstrat=,0.985520, actvprof=,7.502969, id=,S03, PRDE,actvstrat=,0.946528, actvprof=,5.922709, id=,S04, PRDE,actvstrat=,-0.683038, actvprof=,0.714158, id=,S05, PRDE,actvstrat=,-0.355436, actvprof=,0.577216, id=,S06, PRDE,actvstrat=,0.891385, actvprof=,2.584415, id=,S07, PRDE,actvstrat=,-0.957780, actvprof=,0.346385, id=,S08, PRDE,actvstrat=,-0.399307, actvprof=,0.014167, id=,S09, PRDE,actvstrat=,-0.478819, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,-0.121164, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.956506, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.842155, best_B_strat=,0.427319, best_S_id=,S02, best_S_prof=,7.502969, best_S_strat=,0.985520, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.290819, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.966790, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.251133, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.023029, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.545519, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.673812, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.167371, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.478723, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.584678, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.275436, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.740746, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.888274, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.882766, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.614074, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.530205, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.183427, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.503521, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.961095, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.920063, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.437655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.556203, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.200779, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.519095, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.290819, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.888274, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.290819, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.966790, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.251133, actvprof=,0.005555, id=,B04, PRDE,actvstrat=,0.023029, actvprof=,0.070554, id=,B05, PRDE,actvstrat=,0.545519, actvprof=,0.445267, id=,B06, PRDE,actvstrat=,-0.673812, actvprof=,0.595820, id=,B07, PRDE,actvstrat=,-0.167371, actvprof=,1.188306, id=,B08, PRDE,actvstrat=,0.478723, actvprof=,2.839656, id=,B09, PRDE,actvstrat=,-0.584678, actvprof=,3.102706, id=,B10, PRDE,actvstrat=,-0.275436, actvprof=,4.132404, id=,B11, PRDE,actvstrat=,0.740746, actvprof=,7.411773, id=,S00, PRDE,actvstrat=,-0.888274, actvprof=,1.496076, id=,S01, PRDE,actvstrat=,0.882766, actvprof=,8.439527, id=,S02, PRDE,actvstrat=,0.614074, actvprof=,4.837388, id=,S03, PRDE,actvstrat=,-0.530205, actvprof=,0.951645, id=,S04, PRDE,actvstrat=,0.183427, actvprof=,1.174139, id=,S05, PRDE,actvstrat=,0.503521, actvprof=,1.196361, id=,S06, PRDE,actvstrat=,0.961095, actvprof=,1.676906, id=,S07, PRDE,actvstrat=,-0.920063, actvprof=,0.094998, id=,S08, PRDE,actvstrat=,-0.437655, actvprof=,0.005555, id=,S09, PRDE,actvstrat=,-0.556203, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.200779, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.519095, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.411773, best_B_strat=,0.740746, best_S_id=,S01, best_S_prof=,8.439527, best_S_strat=,0.882766, 
t=,14400, id=,B00, PRDE,actvstrat=,0.197711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.945810, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.289191, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.378175, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.023029, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.845071, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.887311, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.167371, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.478723, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.584678, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.047665, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.958054, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.766048, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.009744, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.822119, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.331198, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.279786, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.787892, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.467305, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.681586, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.751985, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.420925, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.200779, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.145991, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.197711, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.766048, 
t=,18000, id=,B00, PRDE,actvstrat=,0.197711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.945810, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.289191, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.378175, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.023029, actvprof=,0.020000, id=,B05, PRDE,actvstrat=,-0.845071, actvprof=,0.111111, id=,B06, PRDE,actvstrat=,-0.887311, actvprof=,0.243611, id=,B07, PRDE,actvstrat=,-0.167371, actvprof=,0.364444, id=,B08, PRDE,actvstrat=,0.478723, actvprof=,1.637778, id=,B09, PRDE,actvstrat=,-0.584678, actvprof=,1.284167, id=,B10, PRDE,actvstrat=,-0.047665, actvprof=,2.745000, id=,B11, PRDE,actvstrat=,0.958054, actvprof=,4.519722, id=,S00, PRDE,actvstrat=,-0.766048, actvprof=,2.883611, id=,S01, PRDE,actvstrat=,0.009744, actvprof=,5.163611, id=,S02, PRDE,actvstrat=,-0.822119, actvprof=,1.232500, id=,S03, PRDE,actvstrat=,-0.331198, actvprof=,1.783056, id=,S04, PRDE,actvstrat=,-0.279786, actvprof=,1.252500, id=,S05, PRDE,actvstrat=,0.787892, actvprof=,3.251667, id=,S06, PRDE,actvstrat=,0.467305, actvprof=,1.236667, id=,S07, PRDE,actvstrat=,0.681586, actvprof=,1.070278, id=,S08, PRDE,actvstrat=,-0.751985, actvprof=,0.052500, id=,S09, PRDE,actvstrat=,-0.420925, actvprof=,0.020833, id=,S10, PRDE,actvstrat=,0.200779, actvprof=,0.017500, id=,S11, PRDE,actvstrat=,0.145991, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.519722, best_B_strat=,0.958054, best_S_id=,S01, best_S_prof=,5.163611, best_S_strat=,0.009744, 
t=,21600, id=,B00, PRDE,actvstrat=,0.197711, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.945810, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.289191, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.378175, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.023029, actvprof=,0.017778, id=,B05, PRDE,actvstrat=,-0.845071, actvprof=,0.095695, id=,B06, PRDE,actvstrat=,-0.887311, actvprof=,0.261529, id=,B07, PRDE,actvstrat=,-0.167371, actvprof=,0.379308, id=,B08, PRDE,actvstrat=,0.478723, actvprof=,1.620148, id=,B09, PRDE,actvstrat=,-0.584678, actvprof=,1.337786, id=,B10, PRDE,actvstrat=,-0.047665, actvprof=,2.747933, id=,B11, PRDE,actvstrat=,0.958054, actvprof=,4.482665, id=,S00, PRDE,actvstrat=,-0.766048, actvprof=,3.001545, id=,S01, PRDE,actvstrat=,0.009744, actvprof=,5.249197, id=,S02, PRDE,actvstrat=,-0.822119, actvprof=,1.491259, id=,S03, PRDE,actvstrat=,-0.331198, actvprof=,1.597231, id=,S04, PRDE,actvstrat=,-0.279786, actvprof=,1.225007, id=,S05, PRDE,actvstrat=,0.787892, actvprof=,3.185435, id=,S06, PRDE,actvstrat=,0.467305, actvprof=,1.231813, id=,S07, PRDE,actvstrat=,0.681586, actvprof=,1.107923, id=,S08, PRDE,actvstrat=,-0.751985, actvprof=,0.046806, id=,S09, PRDE,actvstrat=,-0.420925, actvprof=,0.023056, id=,S10, PRDE,actvstrat=,0.200779, actvprof=,0.018195, id=,S11, PRDE,actvstrat=,0.145991, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.482665, best_B_strat=,0.958054, best_S_id=,S01, best_S_prof=,5.249197, best_S_strat=,0.009744, 
t=,25200, id=,B00, PRDE,actvstrat=,0.290237, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.106573, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.580381, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.016944, id=,B04, PRDE,actvstrat=,-0.195915, actvprof=,0.028056, id=,B05, PRDE,actvstrat=,-0.383754, actvprof=,0.080833, id=,B06, PRDE,actvstrat=,0.405458, actvprof=,0.649444, id=,B07, PRDE,actvstrat=,0.650698, actvprof=,1.342222, id=,B08, PRDE,actvstrat=,0.819095, actvprof=,2.625833, id=,B09, PRDE,actvstrat=,-0.082967, actvprof=,2.884444, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.783889, id=,B11, PRDE,actvstrat=,-0.650858, actvprof=,5.206667, id=,S00, PRDE,actvstrat=,-0.000028, actvprof=,5.514444, id=,S01, PRDE,actvstrat=,0.222141, actvprof=,5.255556, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.728889, id=,S03, PRDE,actvstrat=,-0.728141, actvprof=,0.549722, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.900278, id=,S05, PRDE,actvstrat=,-0.685040, actvprof=,0.085000, id=,S06, PRDE,actvstrat=,0.954021, actvprof=,1.043889, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.100833, id=,S08, PRDE,actvstrat=,-0.714989, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.732838, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,0.396386, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.783889, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,6.728889, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.290237, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.106573, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.580381, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.010000, id=,B04, PRDE,actvstrat=,-0.195915, actvprof=,0.025278, id=,B05, PRDE,actvstrat=,-0.383754, actvprof=,0.107223, id=,B06, PRDE,actvstrat=,0.405458, actvprof=,0.644448, id=,B07, PRDE,actvstrat=,0.650698, actvprof=,1.446397, id=,B08, PRDE,actvstrat=,0.819095, actvprof=,2.682377, id=,B09, PRDE,actvstrat=,-0.082967, actvprof=,2.835850, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.756984, id=,B11, PRDE,actvstrat=,-0.650858, actvprof=,5.295725, id=,S00, PRDE,actvstrat=,-0.000028, actvprof=,5.657533, id=,S01, PRDE,actvstrat=,0.222141, actvprof=,5.058363, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,6.655316, id=,S03, PRDE,actvstrat=,-0.728141, actvprof=,0.517503, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.955989, id=,S05, PRDE,actvstrat=,-0.685040, actvprof=,0.105001, id=,S06, PRDE,actvstrat=,0.954021, actvprof=,1.026950, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.130695, id=,S08, PRDE,actvstrat=,-0.714989, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.732838, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,S11, PRDE,actvstrat=,0.396386, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.756984, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,6.655316, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.046010, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.907645, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.749405, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.022726, actvprof=,0.018334, id=,B05, PRDE,actvstrat=,0.287288, actvprof=,0.034167, id=,B06, PRDE,actvstrat=,-0.673812, actvprof=,0.096947, id=,B07, PRDE,actvstrat=,0.584591, actvprof=,1.031135, id=,B08, PRDE,actvstrat=,-0.691832, actvprof=,0.838908, id=,B09, PRDE,actvstrat=,-0.756087, actvprof=,1.602537, id=,B10, PRDE,actvstrat=,0.983704, actvprof=,5.252622, id=,B11, PRDE,actvstrat=,0.151400, actvprof=,6.278479, id=,S00, PRDE,actvstrat=,-0.072142, actvprof=,4.584273, id=,S01, PRDE,actvstrat=,-0.880734, actvprof=,0.861964, id=,S02, PRDE,actvstrat=,-0.785889, actvprof=,0.938077, id=,S03, PRDE,actvstrat=,-0.706155, actvprof=,0.700016, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.260376, id=,S05, PRDE,actvstrat=,0.787892, actvprof=,1.811986, id=,S06, PRDE,actvstrat=,0.961095, actvprof=,1.467812, id=,S07, PRDE,actvstrat=,-0.957780, actvprof=,0.337786, id=,S08, PRDE,actvstrat=,0.548488, actvprof=,0.120836, id=,S09, PRDE,actvstrat=,-0.420925, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.849420, actvprof=,0.006111, id=,S11, PRDE,actvstrat=,0.519095, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.278479, best_B_strat=,0.151400, best_S_id=,S00, best_S_prof=,4.584273, best_S_strat=,-0.072142, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.046010, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.907645, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.147300, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.749405, actvprof=,0.002639, id=,B04, PRDE,actvstrat=,-0.022726, actvprof=,0.016806, id=,B05, PRDE,actvstrat=,0.287288, actvprof=,0.055695, id=,B06, PRDE,actvstrat=,-0.673812, actvprof=,0.097917, id=,B07, PRDE,actvstrat=,0.584591, actvprof=,1.139590, id=,B08, PRDE,actvstrat=,-0.691832, actvprof=,0.782505, id=,B09, PRDE,actvstrat=,-0.756087, actvprof=,1.506398, id=,B10, PRDE,actvstrat=,0.983704, actvprof=,5.309475, id=,B11, PRDE,actvstrat=,0.151400, actvprof=,6.282814, id=,S00, PRDE,actvstrat=,-0.072142, actvprof=,4.412803, id=,S01, PRDE,actvstrat=,-0.880734, actvprof=,0.830144, id=,S02, PRDE,actvstrat=,-0.785889, actvprof=,0.923061, id=,S03, PRDE,actvstrat=,-0.706155, actvprof=,0.692782, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.161969, id=,S05, PRDE,actvstrat=,0.787892, actvprof=,1.848066, id=,S06, PRDE,actvstrat=,0.961095, actvprof=,1.389591, id=,S07, PRDE,actvstrat=,-0.957780, actvprof=,0.375558, id=,S08, PRDE,actvstrat=,0.548488, actvprof=,0.139862, id=,S09, PRDE,actvstrat=,-0.420925, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,0.849420, actvprof=,0.004861, id=,S11, PRDE,actvstrat=,0.519095, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.282814, best_B_strat=,0.151400, best_S_id=,S00, best_S_prof=,4.412803, best_S_strat=,-0.072142, 
