t=,0, id=,B00, PRDE,actvstrat=,-0.708074, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.627881, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.599900, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.163862, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.469255, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.886936, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.643898, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.326984, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.128276, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.181408, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.064721, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.516038, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.111319, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.794598, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.822803, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.456928, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.020378, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.947190, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.182749, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.708285, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.520409, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.384974, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.979375, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.200312, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.708074, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.111319, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.708074, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.627881, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.599900, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,-0.163862, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.469255, actvprof=,0.030833, id=,B05, PRDE,actvstrat=,0.886936, actvprof=,0.371662, id=,B06, PRDE,actvstrat=,0.643898, actvprof=,0.714992, id=,B07, PRDE,actvstrat=,-0.326984, actvprof=,0.637493, id=,B08, PRDE,actvstrat=,0.128276, actvprof=,2.018866, id=,B09, PRDE,actvstrat=,0.181408, actvprof=,3.361072, id=,B10, PRDE,actvstrat=,-0.064721, actvprof=,4.483559, id=,B11, PRDE,actvstrat=,-0.516038, actvprof=,5.419382, id=,S00, PRDE,actvstrat=,-0.111319, actvprof=,6.639368, id=,S01, PRDE,actvstrat=,-0.794598, actvprof=,2.738857, id=,S02, PRDE,actvstrat=,-0.822803, actvprof=,1.679703, id=,S03, PRDE,actvstrat=,0.456928, actvprof=,3.676902, id=,S04, PRDE,actvstrat=,0.020378, actvprof=,1.351373, id=,S05, PRDE,actvstrat=,0.947190, actvprof=,1.918033, id=,S06, PRDE,actvstrat=,0.182749, actvprof=,0.413051, id=,S07, PRDE,actvstrat=,0.708285, actvprof=,0.269441, id=,S08, PRDE,actvstrat=,0.520409, actvprof=,0.025555, id=,S09, PRDE,actvstrat=,0.384974, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,-0.979375, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.200312, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.419382, best_B_strat=,-0.516038, best_S_id=,S00, best_S_prof=,6.639368, best_S_strat=,-0.111319, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.969003, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.129405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.946653, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.437555, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.793447, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.451404, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.205724, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.510933, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.961583, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.999526, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.914161, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.099597, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.330385, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.230982, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.235057, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.358861, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.180853, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.413310, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.092887, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.659361, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.766032, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158185, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.567411, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.030879, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.969003, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.330385, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.969003, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.129405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.946653, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.437555, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.793447, actvprof=,0.015555, id=,B05, PRDE,actvstrat=,0.451404, actvprof=,0.088610, id=,B06, PRDE,actvstrat=,-0.205724, actvprof=,0.090832, id=,B07, PRDE,actvstrat=,-0.510933, actvprof=,0.309441, id=,B08, PRDE,actvstrat=,0.961583, actvprof=,1.095821, id=,B09, PRDE,actvstrat=,0.999526, actvprof=,1.607204, id=,B10, PRDE,actvstrat=,-0.914161, actvprof=,2.156642, id=,B11, PRDE,actvstrat=,0.099597, actvprof=,4.318283, id=,S00, PRDE,actvstrat=,-0.330385, actvprof=,6.986586, id=,S01, PRDE,actvstrat=,-0.230982, actvprof=,5.786600, id=,S02, PRDE,actvstrat=,-0.235057, actvprof=,4.526337, id=,S03, PRDE,actvstrat=,-0.358861, actvprof=,2.539971, id=,S04, PRDE,actvstrat=,-0.180853, actvprof=,1.942200, id=,S05, PRDE,actvstrat=,-0.413310, actvprof=,0.983044, id=,S06, PRDE,actvstrat=,0.092887, actvprof=,1.068321, id=,S07, PRDE,actvstrat=,0.659361, actvprof=,1.024988, id=,S08, PRDE,actvstrat=,0.766032, actvprof=,0.481661, id=,S09, PRDE,actvstrat=,0.158185, actvprof=,0.005278, id=,S10, PRDE,actvstrat=,0.567411, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.030879, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.318283, best_B_strat=,0.099597, best_S_id=,S00, best_S_prof=,6.986586, best_S_strat=,-0.330385, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.428826, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.129405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.946653, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.437555, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.535620, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.493970, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.714777, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.330127, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.292930, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.181408, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.241169, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.697667, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.817478, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.242640, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.641344, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.358861, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.677652, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.660339, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.117383, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.702165, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.907442, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.158185, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.662160, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.196188, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.428826, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.817478, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.428826, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.129405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.946653, actvprof=,0.018056, id=,B03, PRDE,actvstrat=,-0.437555, actvprof=,0.010556, id=,B04, PRDE,actvstrat=,-0.535620, actvprof=,0.053889, id=,B05, PRDE,actvstrat=,-0.493970, actvprof=,0.146111, id=,B06, PRDE,actvstrat=,-0.714777, actvprof=,0.635833, id=,B07, PRDE,actvstrat=,-0.330127, actvprof=,0.753889, id=,B08, PRDE,actvstrat=,0.292930, actvprof=,1.889167, id=,B09, PRDE,actvstrat=,0.181408, actvprof=,2.670556, id=,B10, PRDE,actvstrat=,0.241169, actvprof=,4.004444, id=,B11, PRDE,actvstrat=,0.697667, actvprof=,6.025000, id=,S00, PRDE,actvstrat=,0.817478, actvprof=,10.728611, id=,S01, PRDE,actvstrat=,-0.242640, actvprof=,3.893333, id=,S02, PRDE,actvstrat=,-0.641344, actvprof=,2.441944, id=,S03, PRDE,actvstrat=,-0.358861, actvprof=,1.918889, id=,S04, PRDE,actvstrat=,-0.677652, actvprof=,1.037222, id=,S05, PRDE,actvstrat=,-0.660339, actvprof=,0.481667, id=,S06, PRDE,actvstrat=,0.117383, actvprof=,0.590556, id=,S07, PRDE,actvstrat=,0.702165, actvprof=,0.759167, id=,S08, PRDE,actvstrat=,0.907442, actvprof=,0.587222, id=,S09, PRDE,actvstrat=,0.158185, actvprof=,0.018611, id=,S10, PRDE,actvstrat=,-0.662160, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.196188, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.025000, best_B_strat=,0.697667, best_S_id=,S00, best_S_prof=,10.728611, best_S_strat=,0.817478, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.428826, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.129405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.946653, actvprof=,0.016945, id=,B03, PRDE,actvstrat=,-0.437555, actvprof=,0.016111, id=,B04, PRDE,actvstrat=,-0.535620, actvprof=,0.047917, id=,B05, PRDE,actvstrat=,-0.493970, actvprof=,0.150418, id=,B06, PRDE,actvstrat=,-0.714777, actvprof=,0.641393, id=,B07, PRDE,actvstrat=,-0.330127, actvprof=,0.758477, id=,B08, PRDE,actvstrat=,0.292930, actvprof=,1.873483, id=,B09, PRDE,actvstrat=,0.181408, actvprof=,2.600154, id=,B10, PRDE,actvstrat=,0.241169, actvprof=,3.928217, id=,B11, PRDE,actvstrat=,0.697667, actvprof=,5.975035, id=,S00, PRDE,actvstrat=,0.817478, actvprof=,10.727423, id=,S01, PRDE,actvstrat=,-0.242640, actvprof=,4.074746, id=,S02, PRDE,actvstrat=,-0.641344, actvprof=,2.435014, id=,S03, PRDE,actvstrat=,-0.358861, actvprof=,1.903622, id=,S04, PRDE,actvstrat=,-0.677652, actvprof=,1.099034, id=,S05, PRDE,actvstrat=,-0.660339, actvprof=,0.538614, id=,S06, PRDE,actvstrat=,0.117383, actvprof=,0.630559, id=,S07, PRDE,actvstrat=,0.702165, actvprof=,0.779310, id=,S08, PRDE,actvstrat=,0.907442, actvprof=,0.624309, id=,S09, PRDE,actvstrat=,0.158185, actvprof=,0.026806, id=,S10, PRDE,actvstrat=,-0.662160, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.196188, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.975035, best_B_strat=,0.697667, best_S_id=,S00, best_S_prof=,10.727423, best_S_strat=,0.817478, 
t=,25200, id=,B00, PRDE,actvstrat=,0.897802, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.591594, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.355604, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.744627, actvprof=,0.044445, id=,B04, PRDE,actvstrat=,-0.324684, actvprof=,0.030556, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.202502, id=,B06, PRDE,actvstrat=,-0.596173, actvprof=,0.371115, id=,B07, PRDE,actvstrat=,0.240984, actvprof=,1.400294, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.041158, id=,B09, PRDE,actvstrat=,0.507179, actvprof=,4.744777, id=,B10, PRDE,actvstrat=,0.403534, actvprof=,6.176738, id=,B11, PRDE,actvstrat=,-0.133331, actvprof=,6.922858, id=,S00, PRDE,actvstrat=,0.489061, actvprof=,8.398431, id=,S01, PRDE,actvstrat=,-0.725820, actvprof=,2.494196, id=,S02, PRDE,actvstrat=,0.705472, actvprof=,5.492841, id=,S03, PRDE,actvstrat=,-0.215247, actvprof=,1.164180, id=,S04, PRDE,actvstrat=,0.822618, actvprof=,2.495862, id=,S05, PRDE,actvstrat=,0.665694, actvprof=,0.916399, id=,S06, PRDE,actvstrat=,0.838368, actvprof=,0.555840, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.240558, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.058056, id=,S09, PRDE,actvstrat=,-0.207986, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.525488, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.933059, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.922858, best_B_strat=,-0.133331, best_S_id=,S00, best_S_prof=,8.398431, best_S_strat=,0.489061, 
t=,28800, id=,B00, PRDE,actvstrat=,0.897802, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.591594, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.355604, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.744627, actvprof=,0.040000, id=,B04, PRDE,actvstrat=,-0.324684, actvprof=,0.025278, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.181529, id=,B06, PRDE,actvstrat=,-0.596173, actvprof=,0.397502, id=,B07, PRDE,actvstrat=,0.240984, actvprof=,1.432647, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.062107, id=,B09, PRDE,actvstrat=,0.507179, actvprof=,4.720027, id=,B10, PRDE,actvstrat=,0.403534, actvprof=,6.156702, id=,B11, PRDE,actvstrat=,-0.133331, actvprof=,6.863651, id=,S00, PRDE,actvstrat=,0.489061, actvprof=,8.191992, id=,S01, PRDE,actvstrat=,-0.725820, actvprof=,2.406264, id=,S02, PRDE,actvstrat=,0.705472, actvprof=,5.499615, id=,S03, PRDE,actvstrat=,-0.215247, actvprof=,1.132784, id=,S04, PRDE,actvstrat=,0.822618, actvprof=,2.622099, id=,S05, PRDE,actvstrat=,0.665694, actvprof=,0.914033, id=,S06, PRDE,actvstrat=,0.838368, actvprof=,0.596115, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.250001, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.059167, id=,S09, PRDE,actvstrat=,-0.207986, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.525488, actvprof=,0.000833, id=,S11, PRDE,actvstrat=,-0.933059, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.863651, best_B_strat=,-0.133331, best_S_id=,S00, best_S_prof=,8.191992, best_S_strat=,0.489061, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.659314, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.246020, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.742066, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.744627, actvprof=,0.012500, id=,B04, PRDE,actvstrat=,0.444770, actvprof=,0.051945, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.159169, id=,B06, PRDE,actvstrat=,-0.461552, actvprof=,0.190836, id=,B07, PRDE,actvstrat=,0.240984, actvprof=,1.064179, id=,B08, PRDE,actvstrat=,0.961583, actvprof=,1.704186, id=,B09, PRDE,actvstrat=,-0.699898, actvprof=,2.607530, id=,B10, PRDE,actvstrat=,-0.784420, actvprof=,3.898656, id=,B11, PRDE,actvstrat=,-0.850069, actvprof=,5.691455, id=,S00, PRDE,actvstrat=,0.765282, actvprof=,10.771791, id=,S01, PRDE,actvstrat=,-0.230982, actvprof=,3.794766, id=,S02, PRDE,actvstrat=,0.361806, actvprof=,5.065336, id=,S03, PRDE,actvstrat=,0.655706, actvprof=,4.463385, id=,S04, PRDE,actvstrat=,-0.086313, actvprof=,0.945011, id=,S05, PRDE,actvstrat=,0.120657, actvprof=,0.721119, id=,S06, PRDE,actvstrat=,0.387449, actvprof=,0.429172, id=,S07, PRDE,actvstrat=,0.034170, actvprof=,0.050278, id=,S08, PRDE,actvstrat=,0.165601, actvprof=,0.007222, id=,S09, PRDE,actvstrat=,0.158185, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.923559, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.933059, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.691455, best_B_strat=,-0.850069, best_S_id=,S00, best_S_prof=,10.771791, best_S_strat=,0.765282, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.659314, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.246020, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.742066, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.744627, actvprof=,0.014306, id=,B04, PRDE,actvstrat=,0.444770, actvprof=,0.045278, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.156529, id=,B06, PRDE,actvstrat=,-0.461552, actvprof=,0.221390, id=,B07, PRDE,actvstrat=,0.240984, actvprof=,1.022784, id=,B08, PRDE,actvstrat=,0.961583, actvprof=,1.713899, id=,B09, PRDE,actvstrat=,-0.699898, actvprof=,2.415570, id=,B10, PRDE,actvstrat=,-0.784420, actvprof=,3.851411, id=,B11, PRDE,actvstrat=,-0.850069, actvprof=,5.552254, id=,S00, PRDE,actvstrat=,0.765282, actvprof=,10.832285, id=,S01, PRDE,actvstrat=,-0.230982, actvprof=,3.746966, id=,S02, PRDE,actvstrat=,0.361806, actvprof=,5.007112, id=,S03, PRDE,actvstrat=,0.655706, actvprof=,4.532248, id=,S04, PRDE,actvstrat=,-0.086313, actvprof=,0.943339, id=,S05, PRDE,actvstrat=,0.120657, actvprof=,0.722921, id=,S06, PRDE,actvstrat=,0.387449, actvprof=,0.424447, id=,S07, PRDE,actvstrat=,0.034170, actvprof=,0.060973, id=,S08, PRDE,actvstrat=,0.165601, actvprof=,0.004583, id=,S09, PRDE,actvstrat=,0.158185, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.923559, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.933059, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.552254, best_B_strat=,-0.850069, best_S_id=,S00, best_S_prof=,10.832285, best_S_strat=,0.765282, 
