t=,1, id=,B00, PRDE,actvstrat=,-0.149647, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.637106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.187264, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.502839, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.233277, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.793837, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.661349, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.708415, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.607330, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.603008, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.863683, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.555479, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.425495, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.929905, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.256495, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.037700, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.454896, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.400523, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.625128, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.816001, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.792211, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.023390, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.036003, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.303377, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.149647, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.425495, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.149647, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.637106, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.187264, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.502839, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.233277, actvprof=,0.092221, id=,B05, PRDE,actvstrat=,-0.793837, actvprof=,0.319163, id=,B06, PRDE,actvstrat=,0.661349, actvprof=,1.451372, id=,B07, PRDE,actvstrat=,-0.708415, actvprof=,1.406928, id=,B08, PRDE,actvstrat=,-0.607330, actvprof=,2.228030, id=,B09, PRDE,actvstrat=,0.603008, actvprof=,4.289673, id=,B10, PRDE,actvstrat=,-0.863683, actvprof=,5.521047, id=,B11, PRDE,actvstrat=,-0.555479, actvprof=,6.044374, id=,S00, PRDE,actvstrat=,0.425495, actvprof=,7.639078, id=,S01, PRDE,actvstrat=,0.929905, actvprof=,7.733799, id=,S02, PRDE,actvstrat=,0.256495, actvprof=,3.809956, id=,S03, PRDE,actvstrat=,0.037700, actvprof=,2.105253, id=,S04, PRDE,actvstrat=,0.454896, actvprof=,1.873867, id=,S05, PRDE,actvstrat=,-0.400523, actvprof=,0.241108, id=,S06, PRDE,actvstrat=,-0.625128, actvprof=,0.056388, id=,S07, PRDE,actvstrat=,-0.816001, actvprof=,0.016111, id=,S08, PRDE,actvstrat=,0.792211, actvprof=,0.095832, id=,S09, PRDE,actvstrat=,0.023390, actvprof=,0.000556, id=,S10, PRDE,actvstrat=,-0.036003, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.303377, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.044374, best_B_strat=,-0.555479, best_S_id=,S01, best_S_prof=,7.733799, best_S_strat=,0.929905, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.171792, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.436396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.093233, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.311174, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.747567, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.772487, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.596103, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.281617, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.036771, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.320357, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.761546, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.270275, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.764676, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.763764, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.586589, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.237564, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.803891, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.191334, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.778053, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.658221, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.388255, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.408333, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.884227, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.498165, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.171792, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.764676, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.171792, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.436396, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.093233, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.311174, actvprof=,0.028889, id=,B04, PRDE,actvstrat=,0.747567, actvprof=,0.203609, id=,B05, PRDE,actvstrat=,0.772487, actvprof=,0.550271, id=,B06, PRDE,actvstrat=,0.596103, actvprof=,0.949433, id=,B07, PRDE,actvstrat=,0.281617, actvprof=,1.313040, id=,B08, PRDE,actvstrat=,-0.036771, actvprof=,1.756646, id=,B09, PRDE,actvstrat=,-0.320357, actvprof=,2.464971, id=,B10, PRDE,actvstrat=,0.761546, actvprof=,4.707723, id=,B11, PRDE,actvstrat=,0.270275, actvprof=,5.853543, id=,S00, PRDE,actvstrat=,0.764676, actvprof=,10.951262, id=,S01, PRDE,actvstrat=,0.763764, actvprof=,8.990451, id=,S02, PRDE,actvstrat=,0.586589, actvprof=,6.276872, id=,S03, PRDE,actvstrat=,-0.237564, actvprof=,1.707480, id=,S04, PRDE,actvstrat=,-0.803891, actvprof=,0.482494, id=,S05, PRDE,actvstrat=,-0.191334, actvprof=,0.532216, id=,S06, PRDE,actvstrat=,0.778053, actvprof=,1.746091, id=,S07, PRDE,actvstrat=,0.658221, actvprof=,0.686381, id=,S08, PRDE,actvstrat=,0.388255, actvprof=,0.193053, id=,S09, PRDE,actvstrat=,-0.408333, actvprof=,0.008889, id=,S10, PRDE,actvstrat=,-0.884227, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.498165, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.853543, best_B_strat=,0.270275, best_S_id=,S00, best_S_prof=,10.951262, best_S_strat=,0.764676, 
t=,14400, id=,B00, PRDE,actvstrat=,0.988733, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.149037, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.944493, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.971020, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.227909, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.158546, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.278598, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.822155, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.320357, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.761546, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.783547, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.184981, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.181569, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.259022, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.237564, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.454896, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.950310, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.387766, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.981894, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.388255, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.221708, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.307365, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.605303, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.988733, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.184981, 
t=,18000, id=,B00, PRDE,actvstrat=,0.988733, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.149037, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.944493, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.971020, actvprof=,0.060000, id=,B05, PRDE,actvstrat=,0.227909, actvprof=,0.067500, id=,B06, PRDE,actvstrat=,0.158546, actvprof=,0.207500, id=,B07, PRDE,actvstrat=,0.278598, actvprof=,0.573889, id=,B08, PRDE,actvstrat=,0.822155, actvprof=,2.151667, id=,B09, PRDE,actvstrat=,-0.320357, actvprof=,1.902778, id=,B10, PRDE,actvstrat=,0.761546, actvprof=,4.908056, id=,B11, PRDE,actvstrat=,-0.783547, actvprof=,4.298056, id=,S00, PRDE,actvstrat=,-0.184981, actvprof=,5.166944, id=,S01, PRDE,actvstrat=,0.181569, actvprof=,6.059722, id=,S02, PRDE,actvstrat=,-0.259022, actvprof=,2.574444, id=,S03, PRDE,actvstrat=,-0.237564, actvprof=,1.388889, id=,S04, PRDE,actvstrat=,0.454896, actvprof=,2.452778, id=,S05, PRDE,actvstrat=,-0.950310, actvprof=,0.737500, id=,S06, PRDE,actvstrat=,0.387766, actvprof=,0.538611, id=,S07, PRDE,actvstrat=,0.981894, actvprof=,0.690556, id=,S08, PRDE,actvstrat=,0.388255, actvprof=,0.033611, id=,S09, PRDE,actvstrat=,0.221708, actvprof=,0.003611, id=,S10, PRDE,actvstrat=,-0.307365, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.605303, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.908056, best_B_strat=,0.761546, best_S_id=,S01, best_S_prof=,6.059722, best_S_strat=,0.181569, 
t=,21600, id=,B00, PRDE,actvstrat=,0.988733, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.149037, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.849185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.944493, actvprof=,0.003194, id=,B04, PRDE,actvstrat=,0.971020, actvprof=,0.047084, id=,B05, PRDE,actvstrat=,0.227909, actvprof=,0.059028, id=,B06, PRDE,actvstrat=,0.158546, actvprof=,0.204585, id=,B07, PRDE,actvstrat=,0.278598, actvprof=,0.617642, id=,B08, PRDE,actvstrat=,0.822155, actvprof=,2.052373, id=,B09, PRDE,actvstrat=,-0.320357, actvprof=,1.880566, id=,B10, PRDE,actvstrat=,0.761546, actvprof=,4.897389, id=,B11, PRDE,actvstrat=,-0.783547, actvprof=,4.142802, id=,S00, PRDE,actvstrat=,-0.184981, actvprof=,5.475171, id=,S01, PRDE,actvstrat=,0.181569, actvprof=,6.208091, id=,S02, PRDE,actvstrat=,-0.259022, actvprof=,2.639876, id=,S03, PRDE,actvstrat=,-0.237564, actvprof=,1.345424, id=,S04, PRDE,actvstrat=,0.454896, actvprof=,2.506542, id=,S05, PRDE,actvstrat=,-0.950310, actvprof=,0.672226, id=,S06, PRDE,actvstrat=,0.387766, actvprof=,0.510559, id=,S07, PRDE,actvstrat=,0.981894, actvprof=,0.689171, id=,S08, PRDE,actvstrat=,0.388255, actvprof=,0.034306, id=,S09, PRDE,actvstrat=,0.221708, actvprof=,0.002222, id=,S10, PRDE,actvstrat=,-0.307365, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.605303, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.897389, best_B_strat=,0.761546, best_S_id=,S01, best_S_prof=,6.208091, best_S_strat=,0.181569, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.272461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.239829, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.016666, id=,B04, PRDE,actvstrat=,0.873117, actvprof=,0.264164, id=,B05, PRDE,actvstrat=,-0.678164, actvprof=,0.186387, id=,B06, PRDE,actvstrat=,0.618041, actvprof=,1.225264, id=,B07, PRDE,actvstrat=,-0.199917, actvprof=,0.990266, id=,B08, PRDE,actvstrat=,0.296845, actvprof=,2.439416, id=,B09, PRDE,actvstrat=,-0.088821, actvprof=,2.921355, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.532968, id=,B11, PRDE,actvstrat=,0.427396, actvprof=,6.496591, id=,S00, PRDE,actvstrat=,-0.013356, actvprof=,6.167151, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.599067, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.319105, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.167174, id=,S04, PRDE,actvstrat=,0.074416, actvprof=,1.491372, id=,S05, PRDE,actvstrat=,0.012981, actvprof=,0.723603, id=,S06, PRDE,actvstrat=,0.576325, actvprof=,0.699159, id=,S07, PRDE,actvstrat=,-0.692902, actvprof=,0.031944, id=,S08, PRDE,actvstrat=,-0.896802, actvprof=,0.013889, id=,S09, PRDE,actvstrat=,0.452856, actvprof=,0.010833, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,-0.006260, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,7.532968, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,8.599067, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.272461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.239829, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.015833, id=,B04, PRDE,actvstrat=,0.873117, actvprof=,0.267779, id=,B05, PRDE,actvstrat=,-0.678164, actvprof=,0.178751, id=,B06, PRDE,actvstrat=,0.618041, actvprof=,1.205979, id=,B07, PRDE,actvstrat=,-0.199917, actvprof=,0.986395, id=,B08, PRDE,actvstrat=,0.296845, actvprof=,2.339041, id=,B09, PRDE,actvstrat=,-0.088821, actvprof=,2.931684, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,7.439487, id=,B11, PRDE,actvstrat=,0.427396, actvprof=,6.471565, id=,S00, PRDE,actvstrat=,-0.013356, actvprof=,6.186286, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,8.536716, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,5.259892, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.169746, id=,S04, PRDE,actvstrat=,0.074416, actvprof=,1.419592, id=,S05, PRDE,actvstrat=,0.012981, actvprof=,0.760282, id=,S06, PRDE,actvstrat=,0.576325, actvprof=,0.735143, id=,S07, PRDE,actvstrat=,-0.692902, actvprof=,0.026806, id=,S08, PRDE,actvstrat=,-0.896802, actvprof=,0.011945, id=,S09, PRDE,actvstrat=,0.452856, actvprof=,0.012917, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.006260, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,7.439487, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,8.536716, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.272461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.093233, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.447631, actvprof=,0.009722, id=,B04, PRDE,actvstrat=,0.873117, actvprof=,0.313611, id=,B05, PRDE,actvstrat=,0.772487, actvprof=,0.733611, id=,B06, PRDE,actvstrat=,0.089577, actvprof=,0.839444, id=,B07, PRDE,actvstrat=,-0.347387, actvprof=,1.111944, id=,B08, PRDE,actvstrat=,-0.036771, actvprof=,2.050556, id=,B09, PRDE,actvstrat=,-0.586081, actvprof=,3.451389, id=,B10, PRDE,actvstrat=,-0.701384, actvprof=,5.318611, id=,B11, PRDE,actvstrat=,-0.487360, actvprof=,5.962500, id=,S00, PRDE,actvstrat=,0.564921, actvprof=,8.431667, id=,S01, PRDE,actvstrat=,0.913021, actvprof=,8.012222, id=,S02, PRDE,actvstrat=,0.995010, actvprof=,6.074444, id=,S03, PRDE,actvstrat=,-0.932757, actvprof=,0.370833, id=,S04, PRDE,actvstrat=,0.074416, actvprof=,1.022222, id=,S05, PRDE,actvstrat=,-0.191334, actvprof=,0.251389, id=,S06, PRDE,actvstrat=,-0.325365, actvprof=,0.070556, id=,S07, PRDE,actvstrat=,0.658221, actvprof=,0.201111, id=,S08, PRDE,actvstrat=,0.388255, actvprof=,0.022222, id=,S09, PRDE,actvstrat=,-0.408333, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.996421, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,-0.294508, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.962500, best_B_strat=,-0.487360, best_S_id=,S00, best_S_prof=,8.431667, best_S_strat=,0.564921, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.272461, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.093233, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,-0.447631, actvprof=,0.014861, id=,B04, PRDE,actvstrat=,0.873117, actvprof=,0.358891, id=,B05, PRDE,actvstrat=,0.772487, actvprof=,0.730421, id=,B06, PRDE,actvstrat=,0.089577, actvprof=,0.823755, id=,B07, PRDE,actvstrat=,-0.347387, actvprof=,1.099451, id=,B08, PRDE,actvstrat=,-0.036771, actvprof=,2.037928, id=,B09, PRDE,actvstrat=,-0.586081, actvprof=,3.293769, id=,B10, PRDE,actvstrat=,-0.701384, actvprof=,5.169891, id=,B11, PRDE,actvstrat=,-0.487360, actvprof=,5.864617, id=,S00, PRDE,actvstrat=,0.564921, actvprof=,8.227825, id=,S01, PRDE,actvstrat=,0.913021, actvprof=,8.088241, id=,S02, PRDE,actvstrat=,0.995010, actvprof=,5.987951, id=,S03, PRDE,actvstrat=,-0.932757, actvprof=,0.339863, id=,S04, PRDE,actvstrat=,0.074416, actvprof=,1.162229, id=,S05, PRDE,actvstrat=,-0.191334, actvprof=,0.224585, id=,S06, PRDE,actvstrat=,-0.325365, actvprof=,0.059445, id=,S07, PRDE,actvstrat=,0.658221, actvprof=,0.177640, id=,S08, PRDE,actvstrat=,0.388255, actvprof=,0.022500, id=,S09, PRDE,actvstrat=,-0.408333, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.996421, actvprof=,0.001806, id=,S11, PRDE,actvstrat=,-0.294508, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.864617, best_B_strat=,-0.487360, best_S_id=,S00, best_S_prof=,8.227825, best_S_strat=,0.564921, 
