t=,0, id=,B00, PRDE,actvstrat=,0.434064, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.639182, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.002511, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.428127, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.213606, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.669892, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.940681, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.533044, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.370415, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.024379, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.786246, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.805913, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.380193, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.016207, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.560354, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.800915, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.088604, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.098558, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.068045, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.705427, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.155966, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.320029, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.107628, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.048471, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.434064, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.380193, 
t=,3600, id=,B00, PRDE,actvstrat=,0.434064, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.639182, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.002511, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.428127, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.213606, actvprof=,0.010000, id=,B05, PRDE,actvstrat=,0.669892, actvprof=,0.128332, id=,B06, PRDE,actvstrat=,0.940681, actvprof=,0.534438, id=,B07, PRDE,actvstrat=,0.533044, actvprof=,0.675826, id=,B08, PRDE,actvstrat=,0.370415, actvprof=,1.384151, id=,B09, PRDE,actvstrat=,-0.024379, actvprof=,2.168864, id=,B10, PRDE,actvstrat=,0.786246, actvprof=,4.211062, id=,B11, PRDE,actvstrat=,-0.805913, actvprof=,4.005231, id=,S00, PRDE,actvstrat=,-0.380193, actvprof=,6.374648, id=,S01, PRDE,actvstrat=,-0.016207, actvprof=,6.931031, id=,S02, PRDE,actvstrat=,0.560354, actvprof=,7.581023, id=,S03, PRDE,actvstrat=,-0.800915, actvprof=,1.533316, id=,S04, PRDE,actvstrat=,0.088604, actvprof=,2.554415, id=,S05, PRDE,actvstrat=,-0.098558, actvprof=,0.989155, id=,S06, PRDE,actvstrat=,0.068045, actvprof=,0.575827, id=,S07, PRDE,actvstrat=,0.705427, actvprof=,0.712492, id=,S08, PRDE,actvstrat=,0.155966, actvprof=,0.097777, id=,S09, PRDE,actvstrat=,-0.320029, actvprof=,0.004444, id=,S10, PRDE,actvstrat=,-0.107628, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.048471, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.211062, best_B_strat=,0.786246, best_S_id=,S02, best_S_prof=,7.581023, best_S_strat=,0.560354, 
t=,7200, id=,B00, PRDE,actvstrat=,0.870535, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.748477, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.256958, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.590363, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.620207, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.248081, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.913206, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.990648, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.665292, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.397520, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.059371, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.772481, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.094977, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.427577, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.571071, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.744604, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.815435, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.659917, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.966732, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.045782, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.963195, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.051126, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.714165, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.808609, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.870535, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.094977, 
t=,10800, id=,B00, PRDE,actvstrat=,0.870535, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.748477, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.256958, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.590363, actvprof=,0.008055, id=,B04, PRDE,actvstrat=,0.620207, actvprof=,0.046111, id=,B05, PRDE,actvstrat=,-0.248081, actvprof=,0.122221, id=,B06, PRDE,actvstrat=,0.913206, actvprof=,0.976933, id=,B07, PRDE,actvstrat=,-0.990648, actvprof=,1.898311, id=,B08, PRDE,actvstrat=,-0.665292, actvprof=,1.404706, id=,B09, PRDE,actvstrat=,0.397520, actvprof=,4.095230, id=,B10, PRDE,actvstrat=,-0.059371, actvprof=,4.618835, id=,B11, PRDE,actvstrat=,-0.772481, actvprof=,5.401049, id=,S00, PRDE,actvstrat=,-0.094977, actvprof=,6.836865, id=,S01, PRDE,actvstrat=,0.427577, actvprof=,6.492425, id=,S02, PRDE,actvstrat=,-0.571071, actvprof=,2.461638, id=,S03, PRDE,actvstrat=,-0.744604, actvprof=,1.001377, id=,S04, PRDE,actvstrat=,0.815435, actvprof=,2.783301, id=,S05, PRDE,actvstrat=,-0.659917, actvprof=,0.202775, id=,S06, PRDE,actvstrat=,0.966732, actvprof=,0.744158, id=,S07, PRDE,actvstrat=,0.045782, actvprof=,0.030555, id=,S08, PRDE,actvstrat=,0.963195, actvprof=,0.095832, id=,S09, PRDE,actvstrat=,0.051126, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.714165, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.808609, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.401049, best_B_strat=,-0.772481, best_S_id=,S00, best_S_prof=,6.836865, best_S_strat=,-0.094977, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.695790, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.921818, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.171887, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.404776, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.609257, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.917654, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.408952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.990648, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.665292, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.729416, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.112553, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.772481, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.085457, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.320530, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.229996, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.510006, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.216576, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.737064, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.095070, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.705427, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.133011, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.534493, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.714165, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.520392, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.695790, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.085457, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.695790, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.921818, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.171887, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.404776, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.609257, actvprof=,0.088333, id=,B05, PRDE,actvstrat=,-0.917654, actvprof=,0.351667, id=,B06, PRDE,actvstrat=,0.408952, actvprof=,0.782778, id=,B07, PRDE,actvstrat=,-0.990648, actvprof=,2.308056, id=,B08, PRDE,actvstrat=,-0.665292, actvprof=,1.868889, id=,B09, PRDE,actvstrat=,-0.729416, actvprof=,3.116944, id=,B10, PRDE,actvstrat=,0.112553, actvprof=,5.408056, id=,B11, PRDE,actvstrat=,-0.772481, actvprof=,6.144722, id=,S00, PRDE,actvstrat=,0.085457, actvprof=,6.667500, id=,S01, PRDE,actvstrat=,0.320530, actvprof=,5.766389, id=,S02, PRDE,actvstrat=,-0.229996, actvprof=,2.040000, id=,S03, PRDE,actvstrat=,0.510006, actvprof=,2.943889, id=,S04, PRDE,actvstrat=,0.216576, actvprof=,1.133333, id=,S05, PRDE,actvstrat=,0.737064, actvprof=,1.345556, id=,S06, PRDE,actvstrat=,0.095070, actvprof=,0.175833, id=,S07, PRDE,actvstrat=,0.705427, actvprof=,0.174444, id=,S08, PRDE,actvstrat=,-0.133011, actvprof=,0.007500, id=,S09, PRDE,actvstrat=,-0.534493, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.714165, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.520392, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.144722, best_B_strat=,-0.772481, best_S_id=,S00, best_S_prof=,6.667500, best_S_strat=,0.085457, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.695790, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.921818, actvprof=,0.000833, id=,B02, PRDE,actvstrat=,0.171887, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.404776, actvprof=,0.003194, id=,B04, PRDE,actvstrat=,0.609257, actvprof=,0.073056, id=,B05, PRDE,actvstrat=,-0.917654, actvprof=,0.374447, id=,B06, PRDE,actvstrat=,0.408952, actvprof=,0.828199, id=,B07, PRDE,actvstrat=,-0.990648, actvprof=,2.425708, id=,B08, PRDE,actvstrat=,-0.665292, actvprof=,1.899455, id=,B09, PRDE,actvstrat=,-0.729416, actvprof=,3.033768, id=,B10, PRDE,actvstrat=,0.112553, actvprof=,5.351837, id=,B11, PRDE,actvstrat=,-0.772481, actvprof=,6.235175, id=,S00, PRDE,actvstrat=,0.085457, actvprof=,6.756289, id=,S01, PRDE,actvstrat=,0.320530, actvprof=,5.837534, id=,S02, PRDE,actvstrat=,-0.229996, actvprof=,2.056956, id=,S03, PRDE,actvstrat=,0.510006, actvprof=,2.926128, id=,S04, PRDE,actvstrat=,0.216576, actvprof=,1.216674, id=,S05, PRDE,actvstrat=,0.737064, actvprof=,1.365147, id=,S06, PRDE,actvstrat=,0.095070, actvprof=,0.178334, id=,S07, PRDE,actvstrat=,0.705427, actvprof=,0.171807, id=,S08, PRDE,actvstrat=,-0.133011, actvprof=,0.011250, id=,S09, PRDE,actvstrat=,-0.534493, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.714165, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.520392, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.235175, best_B_strat=,-0.772481, best_S_id=,S00, best_S_prof=,6.756289, best_S_strat=,0.085457, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.290342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.150621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.006389, id=,B04, PRDE,actvstrat=,0.256901, actvprof=,0.022223, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.077502, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.274173, id=,B07, PRDE,actvstrat=,0.030268, actvprof=,0.779185, id=,B08, PRDE,actvstrat=,-0.707146, actvprof=,0.975856, id=,B09, PRDE,actvstrat=,-0.463404, actvprof=,2.233663, id=,B10, PRDE,actvstrat=,-1.000000, actvprof=,6.865992, id=,B11, PRDE,actvstrat=,-0.858986, actvprof=,4.082317, id=,S00, PRDE,actvstrat=,0.727216, actvprof=,11.000255, id=,S01, PRDE,actvstrat=,0.372790, actvprof=,6.755990, id=,S02, PRDE,actvstrat=,-0.588504, actvprof=,2.075881, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.407301, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,2.341721, id=,S05, PRDE,actvstrat=,0.072906, actvprof=,0.410009, id=,S06, PRDE,actvstrat=,-0.375339, actvprof=,0.002778, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.020278, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.216449, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.310517, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,6.865992, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,11.000255, best_S_strat=,0.727216, 
t=,28800, id=,B00, PRDE,actvstrat=,0.688398, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.148591, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.150621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.620207, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.448317, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.287224, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.645138, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.772033, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.463404, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.982325, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.300541, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.927765, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.698562, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.495190, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.971624, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.328468, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.737064, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.501462, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.647205, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.006076, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.955367, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.670032, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.808609, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.688398, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.927765, 
t=,32400, id=,B00, PRDE,actvstrat=,0.688398, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.148591, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.150621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,0.620207, actvprof=,0.052223, id=,B05, PRDE,actvstrat=,0.448317, actvprof=,0.151670, id=,B06, PRDE,actvstrat=,-0.287224, actvprof=,0.146392, id=,B07, PRDE,actvstrat=,0.645138, actvprof=,1.245029, id=,B08, PRDE,actvstrat=,0.772033, actvprof=,2.296164, id=,B09, PRDE,actvstrat=,-0.463404, actvprof=,2.061437, id=,B10, PRDE,actvstrat=,0.982325, actvprof=,4.639552, id=,B11, PRDE,actvstrat=,0.300541, actvprof=,6.408204, id=,S00, PRDE,actvstrat=,-0.927765, actvprof=,5.426515, id=,S01, PRDE,actvstrat=,0.698562, actvprof=,8.535475, id=,S02, PRDE,actvstrat=,-0.495190, actvprof=,3.343411, id=,S03, PRDE,actvstrat=,-0.971624, actvprof=,4.481215, id=,S04, PRDE,actvstrat=,-0.328468, actvprof=,1.283919, id=,S05, PRDE,actvstrat=,0.737064, actvprof=,2.608949, id=,S06, PRDE,actvstrat=,0.501462, actvprof=,0.995023, id=,S07, PRDE,actvstrat=,0.647205, actvprof=,0.641404, id=,S08, PRDE,actvstrat=,-0.006076, actvprof=,0.083891, id=,S09, PRDE,actvstrat=,-0.955367, actvprof=,0.055279, id=,S10, PRDE,actvstrat=,0.670032, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.808609, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.408204, best_B_strat=,0.300541, best_S_id=,S01, best_S_prof=,8.535475, best_S_strat=,0.698562, 
t=,36000, id=,B00, PRDE,actvstrat=,0.688398, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.148591, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.150621, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.004306, id=,B04, PRDE,actvstrat=,0.620207, actvprof=,0.052501, id=,B05, PRDE,actvstrat=,0.448317, actvprof=,0.171669, id=,B06, PRDE,actvstrat=,-0.287224, actvprof=,0.168196, id=,B07, PRDE,actvstrat=,0.645138, actvprof=,1.272793, id=,B08, PRDE,actvstrat=,0.772033, actvprof=,2.288776, id=,B09, PRDE,actvstrat=,-0.463404, actvprof=,2.035579, id=,B10, PRDE,actvstrat=,0.982325, actvprof=,4.487691, id=,B11, PRDE,actvstrat=,0.300541, actvprof=,6.367296, id=,S00, PRDE,actvstrat=,-0.927765, actvprof=,5.340062, id=,S01, PRDE,actvstrat=,0.698562, actvprof=,8.615794, id=,S02, PRDE,actvstrat=,-0.495190, actvprof=,3.416290, id=,S03, PRDE,actvstrat=,-0.971624, actvprof=,4.473941, id=,S04, PRDE,actvstrat=,-0.328468, actvprof=,1.305293, id=,S05, PRDE,actvstrat=,0.737064, actvprof=,2.613919, id=,S06, PRDE,actvstrat=,0.501462, actvprof=,1.006539, id=,S07, PRDE,actvstrat=,0.647205, actvprof=,0.604868, id=,S08, PRDE,actvstrat=,-0.006076, actvprof=,0.085140, id=,S09, PRDE,actvstrat=,-0.955367, actvprof=,0.071251, id=,S10, PRDE,actvstrat=,0.670032, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,0.808609, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.367296, best_B_strat=,0.300541, best_S_id=,S01, best_S_prof=,8.615794, best_S_strat=,0.698562, 
