t=,0, id=,B00, PRDE,actvstrat=,-0.009570, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.974232, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.270651, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.283897, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.770772, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.868982, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.499536, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.142818, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.706843, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.990457, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.440319, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.641487, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.073286, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.373401, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.836464, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.749506, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.632781, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.432992, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.158671, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.142224, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.132318, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.903407, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.994565, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.942378, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.009570, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.073286, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.009570, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.974232, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.270651, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.283897, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,0.770772, actvprof=,0.072777, id=,B05, PRDE,actvstrat=,0.868982, actvprof=,0.351663, id=,B06, PRDE,actvstrat=,0.499536, actvprof=,0.589438, id=,B07, PRDE,actvstrat=,0.142818, actvprof=,0.923878, id=,B08, PRDE,actvstrat=,0.706843, actvprof=,2.366362, id=,B09, PRDE,actvstrat=,-0.990457, actvprof=,4.210507, id=,B10, PRDE,actvstrat=,0.440319, actvprof=,4.814944, id=,B11, PRDE,actvstrat=,-0.641487, actvprof=,5.626046, id=,S00, PRDE,actvstrat=,-0.073286, actvprof=,8.947396, id=,S01, PRDE,actvstrat=,-0.373401, actvprof=,5.488825, id=,S02, PRDE,actvstrat=,0.836464, actvprof=,7.491302, id=,S03, PRDE,actvstrat=,-0.749506, actvprof=,2.089698, id=,S04, PRDE,actvstrat=,0.632781, actvprof=,3.497737, id=,S05, PRDE,actvstrat=,-0.432992, actvprof=,0.710825, id=,S06, PRDE,actvstrat=,0.158671, actvprof=,0.656659, id=,S07, PRDE,actvstrat=,0.142224, actvprof=,0.173887, id=,S08, PRDE,actvstrat=,0.132318, actvprof=,0.043055, id=,S09, PRDE,actvstrat=,0.903407, actvprof=,0.023055, id=,S10, PRDE,actvstrat=,0.994565, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.942378, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.626046, best_B_strat=,-0.641487, best_S_id=,S00, best_S_prof=,8.947396, best_S_strat=,-0.073286, 
t=,7200, id=,B00, PRDE,actvstrat=,0.049872, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.814339, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.056425, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.639893, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.590984, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.843124, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.812939, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.577533, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.076088, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.233775, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.980441, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.988817, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.087778, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.537037, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.612187, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.437622, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.689853, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.974428, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.334320, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.636273, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.209027, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.869651, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.013878, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.049872, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.988817, 
t=,10800, id=,B00, PRDE,actvstrat=,0.049872, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.814339, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.056425, actvprof=,0.009444, id=,B04, PRDE,actvstrat=,0.639893, actvprof=,0.021389, id=,B05, PRDE,actvstrat=,0.590984, actvprof=,0.102221, id=,B06, PRDE,actvstrat=,0.843124, actvprof=,0.590549, id=,B07, PRDE,actvstrat=,-0.812939, actvprof=,0.581104, id=,B08, PRDE,actvstrat=,-0.577533, actvprof=,0.637215, id=,B09, PRDE,actvstrat=,0.076088, actvprof=,1.604704, id=,B10, PRDE,actvstrat=,0.233775, actvprof=,2.998854, id=,B11, PRDE,actvstrat=,-0.980441, actvprof=,5.618268, id=,S00, PRDE,actvstrat=,0.988817, actvprof=,12.181248, id=,S01, PRDE,actvstrat=,-0.087778, actvprof=,5.074108, id=,S02, PRDE,actvstrat=,-0.537037, actvprof=,2.596914, id=,S03, PRDE,actvstrat=,-0.612187, actvprof=,1.412484, id=,S04, PRDE,actvstrat=,-0.437622, actvprof=,0.793880, id=,S05, PRDE,actvstrat=,-0.689853, actvprof=,0.427217, id=,S06, PRDE,actvstrat=,-0.974428, actvprof=,0.425273, id=,S07, PRDE,actvstrat=,0.334320, actvprof=,0.187776, id=,S08, PRDE,actvstrat=,-0.636273, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.209027, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,-0.869651, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.013878, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.618268, best_B_strat=,-0.980441, best_S_id=,S00, best_S_prof=,12.181248, best_S_strat=,0.988817, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.296250, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.445466, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.381985, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.770772, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.868982, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.843124, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.243023, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.706843, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.071900, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.882022, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.065588, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.988817, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.635106, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.851815, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.684448, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.528019, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.373346, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.974428, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.907837, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.835133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.677936, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.452859, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.473267, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.296250, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.988817, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.296250, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.445466, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.381985, actvprof=,0.015556, id=,B04, PRDE,actvstrat=,0.770772, actvprof=,0.053889, id=,B05, PRDE,actvstrat=,0.868982, actvprof=,0.280000, id=,B06, PRDE,actvstrat=,0.843124, actvprof=,0.617222, id=,B07, PRDE,actvstrat=,0.243023, actvprof=,0.494167, id=,B08, PRDE,actvstrat=,0.706843, actvprof=,1.600278, id=,B09, PRDE,actvstrat=,-0.071900, actvprof=,1.299167, id=,B10, PRDE,actvstrat=,0.882022, actvprof=,2.872500, id=,B11, PRDE,actvstrat=,-0.065588, actvprof=,3.412222, id=,S00, PRDE,actvstrat=,0.988817, actvprof=,13.210833, id=,S01, PRDE,actvstrat=,-0.635106, actvprof=,4.549444, id=,S02, PRDE,actvstrat=,0.851815, actvprof=,9.740833, id=,S03, PRDE,actvstrat=,-0.684448, actvprof=,2.221389, id=,S04, PRDE,actvstrat=,-0.528019, actvprof=,1.737222, id=,S05, PRDE,actvstrat=,-0.373346, actvprof=,1.018056, id=,S06, PRDE,actvstrat=,-0.974428, actvprof=,0.675556, id=,S07, PRDE,actvstrat=,-0.907837, actvprof=,0.110833, id=,S08, PRDE,actvstrat=,-0.835133, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,0.677936, actvprof=,0.084444, id=,S10, PRDE,actvstrat=,-0.452859, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.473267, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.412222, best_B_strat=,-0.065588, best_S_id=,S00, best_S_prof=,13.210833, best_S_strat=,0.988817, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.296250, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.102563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.445466, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,0.381985, actvprof=,0.012917, id=,B04, PRDE,actvstrat=,0.770772, actvprof=,0.066806, id=,B05, PRDE,actvstrat=,0.868982, actvprof=,0.271807, id=,B06, PRDE,actvstrat=,0.843124, actvprof=,0.606531, id=,B07, PRDE,actvstrat=,0.243023, actvprof=,0.502642, id=,B08, PRDE,actvstrat=,0.706843, actvprof=,1.525842, id=,B09, PRDE,actvstrat=,-0.071900, actvprof=,1.473064, id=,B10, PRDE,actvstrat=,0.882022, actvprof=,2.817655, id=,B11, PRDE,actvstrat=,-0.065588, actvprof=,3.442659, id=,S00, PRDE,actvstrat=,0.988817, actvprof=,13.303133, id=,S01, PRDE,actvstrat=,-0.635106, actvprof=,4.771555, id=,S02, PRDE,actvstrat=,0.851815, actvprof=,9.587555, id=,S03, PRDE,actvstrat=,-0.684448, actvprof=,2.133346, id=,S04, PRDE,actvstrat=,-0.528019, actvprof=,1.750288, id=,S05, PRDE,actvstrat=,-0.373346, actvprof=,1.080284, id=,S06, PRDE,actvstrat=,-0.974428, actvprof=,0.730976, id=,S07, PRDE,actvstrat=,-0.907837, actvprof=,0.080834, id=,S08, PRDE,actvstrat=,-0.835133, actvprof=,0.009028, id=,S09, PRDE,actvstrat=,0.677936, actvprof=,0.097501, id=,S10, PRDE,actvstrat=,-0.452859, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.473267, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.442659, best_B_strat=,-0.065588, best_S_id=,S00, best_S_prof=,13.303133, best_S_strat=,0.988817, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.290987, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.091640, actvprof=,0.001944, id=,B02, PRDE,actvstrat=,-0.126094, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,0.562412, actvprof=,0.235278, id=,B04, PRDE,actvstrat=,-0.395965, actvprof=,0.221667, id=,B05, PRDE,actvstrat=,-0.815750, actvprof=,0.985000, id=,B06, PRDE,actvstrat=,-0.036076, actvprof=,1.901944, id=,B07, PRDE,actvstrat=,0.124516, actvprof=,3.069167, id=,B08, PRDE,actvstrat=,0.004248, actvprof=,4.360000, id=,B09, PRDE,actvstrat=,-0.893293, actvprof=,5.865000, id=,B10, PRDE,actvstrat=,-0.588052, actvprof=,7.225556, id=,B11, PRDE,actvstrat=,0.307864, actvprof=,10.032500, id=,S00, PRDE,actvstrat=,0.861189, actvprof=,7.591667, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.167222, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.558889, id=,S03, PRDE,actvstrat=,0.191558, actvprof=,1.258056, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.449722, id=,S05, PRDE,actvstrat=,-0.463851, actvprof=,0.075000, id=,S06, PRDE,actvstrat=,0.877145, actvprof=,0.538056, id=,S07, PRDE,actvstrat=,-0.350096, actvprof=,0.011667, id=,S08, PRDE,actvstrat=,-0.988278, actvprof=,0.048889, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.106820, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,10.032500, best_B_strat=,0.307864, best_S_id=,S00, best_S_prof=,7.591667, best_S_strat=,0.861189, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.290987, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.091640, actvprof=,0.000972, id=,B02, PRDE,actvstrat=,-0.126094, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,0.562412, actvprof=,0.231668, id=,B04, PRDE,actvstrat=,-0.395965, actvprof=,0.245974, id=,B05, PRDE,actvstrat=,-0.815750, actvprof=,0.927922, id=,B06, PRDE,actvstrat=,-0.036076, actvprof=,1.883900, id=,B07, PRDE,actvstrat=,0.124516, actvprof=,3.138074, id=,B08, PRDE,actvstrat=,0.004248, actvprof=,4.334886, id=,B09, PRDE,actvstrat=,-0.893293, actvprof=,5.882951, id=,B10, PRDE,actvstrat=,-0.588052, actvprof=,7.142264, id=,B11, PRDE,actvstrat=,0.307864, actvprof=,9.954919, id=,S00, PRDE,actvstrat=,0.861189, actvprof=,7.601988, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.146424, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.604465, id=,S03, PRDE,actvstrat=,0.191558, actvprof=,1.307785, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.440564, id=,S05, PRDE,actvstrat=,-0.463851, actvprof=,0.086250, id=,S06, PRDE,actvstrat=,0.877145, actvprof=,0.515420, id=,S07, PRDE,actvstrat=,-0.350096, actvprof=,0.016250, id=,S08, PRDE,actvstrat=,-0.988278, actvprof=,0.060834, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.106820, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,9.954919, best_B_strat=,0.307864, best_S_id=,S00, best_S_prof=,7.601988, best_S_strat=,0.861189, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.101674, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.253539, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.608447, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,0.056425, actvprof=,0.010278, id=,B04, PRDE,actvstrat=,-0.955173, actvprof=,0.310559, id=,B05, PRDE,actvstrat=,-0.242393, actvprof=,0.270559, id=,B06, PRDE,actvstrat=,0.647114, actvprof=,1.408905, id=,B07, PRDE,actvstrat=,0.453964, actvprof=,2.034468, id=,B08, PRDE,actvstrat=,-0.110913, actvprof=,2.430861, id=,B09, PRDE,actvstrat=,-0.893293, actvprof=,4.762277, id=,B10, PRDE,actvstrat=,0.198434, actvprof=,6.033681, id=,B11, PRDE,actvstrat=,-0.814526, actvprof=,6.705355, id=,S00, PRDE,actvstrat=,0.956112, actvprof=,9.283719, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.074515, id=,S02, PRDE,actvstrat=,0.836464, actvprof=,5.432841, id=,S03, PRDE,actvstrat=,0.257754, actvprof=,1.716964, id=,S04, PRDE,actvstrat=,0.632781, actvprof=,1.604463, id=,S05, PRDE,actvstrat=,-0.038639, actvprof=,0.201947, id=,S06, PRDE,actvstrat=,0.877145, actvprof=,0.596674, id=,S07, PRDE,actvstrat=,-0.270945, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,0.011386, actvprof=,0.006111, id=,S09, PRDE,actvstrat=,0.903407, actvprof=,0.010833, id=,S10, PRDE,actvstrat=,-0.261507, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.991451, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.705355, best_B_strat=,-0.814526, best_S_id=,S00, best_S_prof=,9.283719, best_S_strat=,0.956112, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.101674, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.253539, actvprof=,0.000972, id=,B02, PRDE,actvstrat=,-0.608447, actvprof=,0.003889, id=,B03, PRDE,actvstrat=,0.056425, actvprof=,0.010139, id=,B04, PRDE,actvstrat=,-0.955173, actvprof=,0.336113, id=,B05, PRDE,actvstrat=,-0.242393, actvprof=,0.223335, id=,B06, PRDE,actvstrat=,0.647114, actvprof=,1.367786, id=,B07, PRDE,actvstrat=,0.453964, actvprof=,2.002928, id=,B08, PRDE,actvstrat=,-0.110913, actvprof=,2.378625, id=,B09, PRDE,actvstrat=,-0.893293, actvprof=,4.541832, id=,B10, PRDE,actvstrat=,0.198434, actvprof=,6.202258, id=,B11, PRDE,actvstrat=,-0.814526, actvprof=,6.770595, id=,S00, PRDE,actvstrat=,0.956112, actvprof=,9.353387, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,6.228230, id=,S02, PRDE,actvstrat=,0.836464, actvprof=,5.438226, id=,S03, PRDE,actvstrat=,0.257754, actvprof=,1.734871, id=,S04, PRDE,actvstrat=,0.632781, actvprof=,1.567787, id=,S05, PRDE,actvstrat=,-0.038639, actvprof=,0.200140, id=,S06, PRDE,actvstrat=,0.877145, actvprof=,0.551114, id=,S07, PRDE,actvstrat=,-0.270945, actvprof=,0.008611, id=,S08, PRDE,actvstrat=,0.011386, actvprof=,0.009167, id=,S09, PRDE,actvstrat=,0.903407, actvprof=,0.009167, id=,S10, PRDE,actvstrat=,-0.261507, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.991451, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.770595, best_B_strat=,-0.814526, best_S_id=,S00, best_S_prof=,9.353387, best_S_strat=,0.956112, 
