t=,3600, id=,B00, PRDE,actvstrat=,-0.700090, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.653971, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.031203, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,0.487372, actvprof=,0.003056, id=,B04, PRDE,actvstrat=,-0.914158, actvprof=,0.071666, id=,B05, PRDE,actvstrat=,0.925637, actvprof=,0.302774, id=,B06, PRDE,actvstrat=,-0.959317, actvprof=,0.928045, id=,B07, PRDE,actvstrat=,0.831105, actvprof=,1.386095, id=,B08, PRDE,actvstrat=,-0.349910, actvprof=,0.941656, id=,B09, PRDE,actvstrat=,0.493553, actvprof=,2.802745, id=,B10, PRDE,actvstrat=,0.429629, actvprof=,3.871066, id=,B11, PRDE,actvstrat=,0.727800, actvprof=,5.282994, id=,S00, PRDE,actvstrat=,0.062722, actvprof=,8.359070, id=,S01, PRDE,actvstrat=,0.203823, actvprof=,7.276305, id=,S02, PRDE,actvstrat=,0.979046, actvprof=,8.324070, id=,S03, PRDE,actvstrat=,0.284358, actvprof=,4.391616, id=,S04, PRDE,actvstrat=,-0.355432, actvprof=,1.165264, id=,S05, PRDE,actvstrat=,0.258042, actvprof=,1.734980, id=,S06, PRDE,actvstrat=,-0.501402, actvprof=,0.300552, id=,S07, PRDE,actvstrat=,0.751777, actvprof=,1.169153, id=,S08, PRDE,actvstrat=,0.635915, actvprof=,0.313052, id=,S09, PRDE,actvstrat=,0.765064, actvprof=,0.131943, id=,S10, PRDE,actvstrat=,-0.167720, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.549987, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.282994, best_B_strat=,0.727800, best_S_id=,S00, best_S_prof=,8.359070, best_S_strat=,0.062722, 
t=,7200, id=,B00, PRDE,actvstrat=,0.029473, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.613147, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.375754, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.624329, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.137782, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.752289, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.344386, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.224771, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.458464, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.195302, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.146396, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.857657, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.803873, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.064304, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.691042, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.501979, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.841566, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.970358, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.701440, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.850963, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.039395, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.103181, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.949751, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.490342, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.029473, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.803873, 
t=,10800, id=,B00, PRDE,actvstrat=,0.029473, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.613147, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.375754, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.624329, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.137782, actvprof=,0.015555, id=,B05, PRDE,actvstrat=,0.752289, actvprof=,0.193331, id=,B06, PRDE,actvstrat=,-0.344386, actvprof=,0.192220, id=,B07, PRDE,actvstrat=,-0.224771, actvprof=,0.472495, id=,B08, PRDE,actvstrat=,-0.458464, actvprof=,1.278041, id=,B09, PRDE,actvstrat=,0.195302, actvprof=,3.526904, id=,B10, PRDE,actvstrat=,-0.146396, actvprof=,4.094397, id=,B11, PRDE,actvstrat=,-0.857657, actvprof=,4.287450, id=,S00, PRDE,actvstrat=,-0.803873, actvprof=,1.274430, id=,S01, PRDE,actvstrat=,-0.064304, actvprof=,3.336906, id=,S02, PRDE,actvstrat=,-0.691042, actvprof=,1.197208, id=,S03, PRDE,actvstrat=,0.501979, actvprof=,2.663303, id=,S04, PRDE,actvstrat=,-0.841566, actvprof=,0.153887, id=,S05, PRDE,actvstrat=,0.970358, actvprof=,1.595815, id=,S06, PRDE,actvstrat=,0.701440, actvprof=,0.479161, id=,S07, PRDE,actvstrat=,-0.850963, actvprof=,0.008055, id=,S08, PRDE,actvstrat=,0.039395, actvprof=,0.000278, id=,S09, PRDE,actvstrat=,-0.103181, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.949751, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.490342, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.287450, best_B_strat=,-0.857657, best_S_id=,S01, best_S_prof=,3.336906, best_S_strat=,-0.064304, 
t=,14400, id=,B00, PRDE,actvstrat=,0.905343, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.410639, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.031203, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.918473, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.546477, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.847365, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.959317, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.277086, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.656656, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.495481, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.921064, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.857657, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.407572, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.680890, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.071681, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.501979, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.010162, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.814192, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.187810, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.083248, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.635915, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.768400, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.999241, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.406888, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.905343, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.407572, 
t=,18000, id=,B00, PRDE,actvstrat=,0.905343, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.410639, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.031203, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.918473, actvprof=,0.016389, id=,B04, PRDE,actvstrat=,-0.546477, actvprof=,0.014722, id=,B05, PRDE,actvstrat=,-0.847365, actvprof=,0.098333, id=,B06, PRDE,actvstrat=,-0.959317, actvprof=,0.740833, id=,B07, PRDE,actvstrat=,0.277086, actvprof=,1.001111, id=,B08, PRDE,actvstrat=,0.656656, actvprof=,2.535000, id=,B09, PRDE,actvstrat=,-0.495481, actvprof=,2.142222, id=,B10, PRDE,actvstrat=,0.921064, actvprof=,4.361667, id=,B11, PRDE,actvstrat=,-0.857657, actvprof=,5.193611, id=,S00, PRDE,actvstrat=,0.407572, actvprof=,8.709722, id=,S01, PRDE,actvstrat=,-0.680890, actvprof=,2.961111, id=,S02, PRDE,actvstrat=,0.071681, actvprof=,3.921667, id=,S03, PRDE,actvstrat=,0.501979, actvprof=,3.794444, id=,S04, PRDE,actvstrat=,-0.010162, actvprof=,1.359722, id=,S05, PRDE,actvstrat=,0.814192, actvprof=,2.647222, id=,S06, PRDE,actvstrat=,0.187810, actvprof=,0.490000, id=,S07, PRDE,actvstrat=,-0.083248, actvprof=,0.072778, id=,S08, PRDE,actvstrat=,0.635915, actvprof=,0.122778, id=,S09, PRDE,actvstrat=,0.768400, actvprof=,0.048056, id=,S10, PRDE,actvstrat=,-0.999241, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.406888, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.193611, best_B_strat=,-0.857657, best_S_id=,S00, best_S_prof=,8.709722, best_S_strat=,0.407572, 
t=,21600, id=,B00, PRDE,actvstrat=,0.905343, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.410639, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.031203, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.918473, actvprof=,0.015833, id=,B04, PRDE,actvstrat=,-0.546477, actvprof=,0.015278, id=,B05, PRDE,actvstrat=,-0.847365, actvprof=,0.129723, id=,B06, PRDE,actvstrat=,-0.959317, actvprof=,0.771393, id=,B07, PRDE,actvstrat=,0.277086, actvprof=,0.998200, id=,B08, PRDE,actvstrat=,0.656656, actvprof=,2.527376, id=,B09, PRDE,actvstrat=,-0.495481, actvprof=,2.224180, id=,B10, PRDE,actvstrat=,0.921064, actvprof=,4.357386, id=,B11, PRDE,actvstrat=,-0.857657, actvprof=,5.113363, id=,S00, PRDE,actvstrat=,0.407572, actvprof=,8.792968, id=,S01, PRDE,actvstrat=,-0.680890, actvprof=,2.780016, id=,S02, PRDE,actvstrat=,0.071681, actvprof=,3.819050, id=,S03, PRDE,actvstrat=,0.501979, actvprof=,3.839467, id=,S04, PRDE,actvstrat=,-0.010162, actvprof=,1.402230, id=,S05, PRDE,actvstrat=,0.814192, actvprof=,2.660988, id=,S06, PRDE,actvstrat=,0.187810, actvprof=,0.512225, id=,S07, PRDE,actvstrat=,-0.083248, actvprof=,0.093612, id=,S08, PRDE,actvstrat=,0.635915, actvprof=,0.129723, id=,S09, PRDE,actvstrat=,0.768400, actvprof=,0.041806, id=,S10, PRDE,actvstrat=,-0.999241, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.406888, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.113363, best_B_strat=,-0.857657, best_S_id=,S00, best_S_prof=,8.792968, best_S_strat=,0.407572, 
t=,25200, id=,B00, PRDE,actvstrat=,0.371892, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.393118, actvprof=,0.002778, id=,B02, PRDE,actvstrat=,0.680069, actvprof=,0.018334, id=,B03, PRDE,actvstrat=,-0.811159, actvprof=,0.078612, id=,B04, PRDE,actvstrat=,0.430631, actvprof=,0.235281, id=,B05, PRDE,actvstrat=,0.355833, actvprof=,0.622229, id=,B06, PRDE,actvstrat=,-0.363708, actvprof=,0.844176, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,1.616408, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.649498, id=,B09, PRDE,actvstrat=,-0.609597, actvprof=,3.933379, id=,B10, PRDE,actvstrat=,0.512675, actvprof=,6.760356, id=,B11, PRDE,actvstrat=,-0.355516, actvprof=,7.405641, id=,S00, PRDE,actvstrat=,0.920147, actvprof=,9.340941, id=,S01, PRDE,actvstrat=,0.451006, actvprof=,5.288672, id=,S02, PRDE,actvstrat=,-0.295396, actvprof=,1.441128, id=,S03, PRDE,actvstrat=,0.542344, actvprof=,2.593919, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,2.347249, id=,S05, PRDE,actvstrat=,-0.975509, actvprof=,0.971678, id=,S06, PRDE,actvstrat=,0.621102, actvprof=,0.342226, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.253614, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.081112, id=,S09, PRDE,actvstrat=,0.175769, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.800212, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.330739, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.405641, best_B_strat=,-0.355516, best_S_id=,S00, best_S_prof=,9.340941, best_S_strat=,0.920147, 
t=,28800, id=,B00, PRDE,actvstrat=,0.029473, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.613147, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.877004, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.927982, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.914158, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.955936, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.487488, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.564303, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.285827, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.512675, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.085560, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.092437, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.451006, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.071681, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.185289, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.440375, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.970358, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.621102, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.130510, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.731750, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.473428, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.480480, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.330739, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.029473, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.092437, 
t=,32400, id=,B00, PRDE,actvstrat=,0.029473, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.613147, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.877004, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.927982, actvprof=,0.029445, id=,B04, PRDE,actvstrat=,-0.914158, actvprof=,0.070556, id=,B05, PRDE,actvstrat=,-0.955936, actvprof=,0.492506, id=,B06, PRDE,actvstrat=,0.487488, actvprof=,0.680286, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.863899, id=,B08, PRDE,actvstrat=,-0.564303, actvprof=,1.554740, id=,B09, PRDE,actvstrat=,-0.285827, actvprof=,2.450306, id=,B10, PRDE,actvstrat=,0.512675, actvprof=,4.815611, id=,B11, PRDE,actvstrat=,0.085560, actvprof=,5.225894, id=,S00, PRDE,actvstrat=,0.092437, actvprof=,7.098138, id=,S01, PRDE,actvstrat=,0.451006, actvprof=,7.593977, id=,S02, PRDE,actvstrat=,0.071681, actvprof=,4.032269, id=,S03, PRDE,actvstrat=,0.185289, actvprof=,3.264760, id=,S04, PRDE,actvstrat=,-0.440375, actvprof=,0.758064, id=,S05, PRDE,actvstrat=,0.970358, actvprof=,2.690031, id=,S06, PRDE,actvstrat=,0.621102, actvprof=,1.082235, id=,S07, PRDE,actvstrat=,-0.130510, actvprof=,0.137502, id=,S08, PRDE,actvstrat=,-0.731750, actvprof=,0.013889, id=,S09, PRDE,actvstrat=,0.473428, actvprof=,0.030278, id=,S10, PRDE,actvstrat=,0.480480, actvprof=,0.006389, id=,S11, PRDE,actvstrat=,-0.330739, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.225894, best_B_strat=,0.085560, best_S_id=,S01, best_S_prof=,7.593977, best_S_strat=,0.451006, 
t=,36000, id=,B00, PRDE,actvstrat=,0.868656, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.727806, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.840281, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.927982, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.516331, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.620469, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.143442, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.663763, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.043704, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.451006, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.754815, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.534755, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.284269, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.410165, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.218446, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.559183, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.814382, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.622334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.330739, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.868656, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.043704, 
t=,39600, id=,B00, PRDE,actvstrat=,0.868656, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.727806, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.840281, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.927982, actvprof=,0.003611, id=,B04, PRDE,actvstrat=,-0.516331, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.040001, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.469178, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.348897, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,2.375888, id=,B09, PRDE,actvstrat=,-0.620469, actvprof=,1.158360, id=,B10, PRDE,actvstrat=,-0.143442, actvprof=,2.662562, id=,B11, PRDE,actvstrat=,-0.663763, actvprof=,3.626195, id=,S00, PRDE,actvstrat=,0.043704, actvprof=,7.866293, id=,S01, PRDE,actvstrat=,0.451006, actvprof=,7.945462, id=,S02, PRDE,actvstrat=,0.754815, actvprof=,8.165467, id=,S03, PRDE,actvstrat=,-0.534755, actvprof=,1.095303, id=,S04, PRDE,actvstrat=,0.284269, actvprof=,2.212273, id=,S05, PRDE,actvstrat=,0.410165, actvprof=,1.347531, id=,S06, PRDE,actvstrat=,-0.218446, actvprof=,0.068335, id=,S07, PRDE,actvstrat=,0.559183, actvprof=,0.098058, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.155281, id=,S09, PRDE,actvstrat=,0.814382, actvprof=,0.005000, id=,S10, PRDE,actvstrat=,-0.622334, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.330739, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.626195, best_B_strat=,-0.663763, best_S_id=,S02, best_S_prof=,8.165467, best_S_strat=,0.754815, 
