t=,1, id=,B00, PRDE,actvstrat=,0.137462, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.223362, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.549751, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.579419, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.093681, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.015143, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.840728, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.926812, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.445908, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.503493, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.965635, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.023739, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.522845, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.280739, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.114570, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.282673, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.453119, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.911338, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.968485, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.847162, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.758837, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.987134, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.097040, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.693519, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.137462, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.522845, 
t=,3600, id=,B00, PRDE,actvstrat=,0.137462, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.223362, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.549751, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.579419, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.093681, actvprof=,0.013611, id=,B05, PRDE,actvstrat=,0.015143, actvprof=,0.052499, id=,B06, PRDE,actvstrat=,0.840728, actvprof=,0.858869, id=,B07, PRDE,actvstrat=,0.926812, actvprof=,1.382190, id=,B08, PRDE,actvstrat=,0.445908, actvprof=,2.266614, id=,B09, PRDE,actvstrat=,-0.503493, actvprof=,2.166061, id=,B10, PRDE,actvstrat=,-0.965635, actvprof=,4.823777, id=,B11, PRDE,actvstrat=,-0.023739, actvprof=,5.957918, id=,S00, PRDE,actvstrat=,-0.522845, actvprof=,7.177889, id=,S01, PRDE,actvstrat=,-0.280739, actvprof=,5.857087, id=,S02, PRDE,actvstrat=,-0.114570, actvprof=,4.801000, id=,S03, PRDE,actvstrat=,0.282673, actvprof=,3.962131, id=,S04, PRDE,actvstrat=,-0.453119, actvprof=,1.234694, id=,S05, PRDE,actvstrat=,0.911338, actvprof=,2.477998, id=,S06, PRDE,actvstrat=,-0.968485, actvprof=,0.581375, id=,S07, PRDE,actvstrat=,-0.847162, actvprof=,0.050554, id=,S08, PRDE,actvstrat=,-0.758837, actvprof=,0.024999, id=,S09, PRDE,actvstrat=,-0.987134, actvprof=,0.026666, id=,S10, PRDE,actvstrat=,-0.097040, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.693519, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.957918, best_B_strat=,-0.023739, best_S_id=,S00, best_S_prof=,7.177889, best_S_strat=,-0.522845, 
t=,7200, id=,B00, PRDE,actvstrat=,0.597282, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732841, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.220417, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.532025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.193268, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.505034, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.264101, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.504091, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.846419, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.141465, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.995465, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.196504, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.341072, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.315917, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.669586, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.337251, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.143298, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.600008, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.850482, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.762219, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.916490, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.567741, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.644541, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.324505, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.597282, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.341072, 
t=,10800, id=,B00, PRDE,actvstrat=,0.597282, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732841, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.220417, actvprof=,0.001944, id=,B03, PRDE,actvstrat=,0.532025, actvprof=,0.016111, id=,B04, PRDE,actvstrat=,-0.193268, actvprof=,0.055833, id=,B05, PRDE,actvstrat=,-0.505034, actvprof=,0.152778, id=,B06, PRDE,actvstrat=,-0.264101, actvprof=,0.348611, id=,B07, PRDE,actvstrat=,-0.504091, actvprof=,0.776111, id=,B08, PRDE,actvstrat=,-0.846419, actvprof=,1.520278, id=,B09, PRDE,actvstrat=,0.141465, actvprof=,2.869722, id=,B10, PRDE,actvstrat=,0.995465, actvprof=,3.116389, id=,B11, PRDE,actvstrat=,0.196504, actvprof=,5.687222, id=,S00, PRDE,actvstrat=,0.341072, actvprof=,8.761111, id=,S01, PRDE,actvstrat=,-0.315917, actvprof=,4.160556, id=,S02, PRDE,actvstrat=,-0.669586, actvprof=,2.687222, id=,S03, PRDE,actvstrat=,0.337251, actvprof=,4.093333, id=,S04, PRDE,actvstrat=,-0.143298, actvprof=,1.652222, id=,S05, PRDE,actvstrat=,-0.600008, actvprof=,0.712778, id=,S06, PRDE,actvstrat=,-0.850482, actvprof=,0.338333, id=,S07, PRDE,actvstrat=,-0.762219, actvprof=,0.076944, id=,S08, PRDE,actvstrat=,0.916490, actvprof=,1.165000, id=,S09, PRDE,actvstrat=,-0.567741, actvprof=,0.004444, id=,S10, PRDE,actvstrat=,0.644541, actvprof=,0.003611, id=,S11, PRDE,actvstrat=,-0.324505, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.687222, best_B_strat=,0.196504, best_S_id=,S00, best_S_prof=,8.761111, best_S_strat=,0.341072, 
t=,14400, id=,B00, PRDE,actvstrat=,0.597282, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732841, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.220417, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.532025, actvprof=,0.026944, id=,B04, PRDE,actvstrat=,-0.193268, actvprof=,0.047361, id=,B05, PRDE,actvstrat=,-0.505034, actvprof=,0.145417, id=,B06, PRDE,actvstrat=,-0.264101, actvprof=,0.380139, id=,B07, PRDE,actvstrat=,-0.504091, actvprof=,0.761389, id=,B08, PRDE,actvstrat=,-0.846419, actvprof=,1.547361, id=,B09, PRDE,actvstrat=,0.141465, actvprof=,2.834306, id=,B10, PRDE,actvstrat=,0.995465, actvprof=,3.182361, id=,B11, PRDE,actvstrat=,0.196504, actvprof=,5.423472, id=,S00, PRDE,actvstrat=,0.341072, actvprof=,8.538056, id=,S01, PRDE,actvstrat=,-0.315917, actvprof=,4.174583, id=,S02, PRDE,actvstrat=,-0.669586, actvprof=,2.715000, id=,S03, PRDE,actvstrat=,0.337251, actvprof=,4.069028, id=,S04, PRDE,actvstrat=,-0.143298, actvprof=,1.593611, id=,S05, PRDE,actvstrat=,-0.600008, actvprof=,0.757778, id=,S06, PRDE,actvstrat=,-0.850482, actvprof=,0.290000, id=,S07, PRDE,actvstrat=,-0.762219, actvprof=,0.117917, id=,S08, PRDE,actvstrat=,0.916490, actvprof=,1.162639, id=,S09, PRDE,actvstrat=,-0.567741, actvprof=,0.006389, id=,S10, PRDE,actvstrat=,0.644541, actvprof=,0.004583, id=,S11, PRDE,actvstrat=,-0.324505, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.423472, best_B_strat=,0.196504, best_S_id=,S00, best_S_prof=,8.538056, best_S_strat=,0.341072, 
t=,18000, id=,B00, PRDE,actvstrat=,0.597282, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.181761, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.368185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.532025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.019822, actvprof=,0.004444, id=,B05, PRDE,actvstrat=,-0.500910, actvprof=,0.014167, id=,B06, PRDE,actvstrat=,0.480623, actvprof=,0.245281, id=,B07, PRDE,actvstrat=,-0.885248, actvprof=,0.411116, id=,B08, PRDE,actvstrat=,-0.795323, actvprof=,0.563895, id=,B09, PRDE,actvstrat=,-0.498131, actvprof=,1.050012, id=,B10, PRDE,actvstrat=,0.580124, actvprof=,3.087258, id=,B11, PRDE,actvstrat=,0.679335, actvprof=,4.900334, id=,S00, PRDE,actvstrat=,-0.450935, actvprof=,4.984224, id=,S01, PRDE,actvstrat=,-0.891833, actvprof=,1.012234, id=,S02, PRDE,actvstrat=,-0.334005, actvprof=,2.768921, id=,S03, PRDE,actvstrat=,0.296428, actvprof=,3.959490, id=,S04, PRDE,actvstrat=,-0.143298, actvprof=,1.396127, id=,S05, PRDE,actvstrat=,-0.030572, actvprof=,1.286126, id=,S06, PRDE,actvstrat=,-0.968485, actvprof=,0.928622, id=,S07, PRDE,actvstrat=,0.317556, actvprof=,0.471672, id=,S08, PRDE,actvstrat=,0.568410, actvprof=,0.304726, id=,S09, PRDE,actvstrat=,0.583496, actvprof=,0.063056, id=,S10, PRDE,actvstrat=,0.644541, actvprof=,0.006667, id=,S11, PRDE,actvstrat=,0.213788, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.900334, best_B_strat=,0.679335, best_S_id=,S00, best_S_prof=,4.984224, best_S_strat=,-0.450935, 
t=,21600, id=,B00, PRDE,actvstrat=,0.597282, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.181761, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.368185, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.532025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.019822, actvprof=,0.004444, id=,B05, PRDE,actvstrat=,-0.500910, actvprof=,0.008333, id=,B06, PRDE,actvstrat=,0.480623, actvprof=,0.190280, id=,B07, PRDE,actvstrat=,-0.885248, actvprof=,0.455283, id=,B08, PRDE,actvstrat=,-0.795323, actvprof=,0.531395, id=,B09, PRDE,actvstrat=,-0.498131, actvprof=,1.119596, id=,B10, PRDE,actvstrat=,0.580124, actvprof=,3.138509, id=,B11, PRDE,actvstrat=,0.679335, actvprof=,4.708804, id=,S00, PRDE,actvstrat=,-0.450935, actvprof=,4.889362, id=,S01, PRDE,actvstrat=,-0.891833, actvprof=,0.935150, id=,S02, PRDE,actvstrat=,-0.334005, actvprof=,2.348361, id=,S03, PRDE,actvstrat=,0.296428, actvprof=,3.991713, id=,S04, PRDE,actvstrat=,-0.143298, actvprof=,1.403211, id=,S05, PRDE,actvstrat=,-0.030572, actvprof=,1.269598, id=,S06, PRDE,actvstrat=,-0.968485, actvprof=,0.945289, id=,S07, PRDE,actvstrat=,0.317556, actvprof=,0.513617, id=,S08, PRDE,actvstrat=,0.568410, actvprof=,0.292920, id=,S09, PRDE,actvstrat=,0.583496, actvprof=,0.082084, id=,S10, PRDE,actvstrat=,0.644541, actvprof=,0.012361, id=,S11, PRDE,actvstrat=,0.213788, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.708804, best_B_strat=,0.679335, best_S_id=,S00, best_S_prof=,4.889362, best_S_strat=,-0.450935, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.997803, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.341817, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.115253, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.362606, actvprof=,0.012778, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.180560, id=,B06, PRDE,actvstrat=,-0.104984, actvprof=,0.326119, id=,B07, PRDE,actvstrat=,-0.434343, actvprof=,0.538901, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.390634, id=,B09, PRDE,actvstrat=,0.010725, actvprof=,2.408389, id=,B10, PRDE,actvstrat=,0.926344, actvprof=,4.131485, id=,B11, PRDE,actvstrat=,-0.403018, actvprof=,4.828167, id=,S00, PRDE,actvstrat=,0.387013, actvprof=,8.143244, id=,S01, PRDE,actvstrat=,-0.516709, actvprof=,2.418112, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.434061, id=,S03, PRDE,actvstrat=,0.510384, actvprof=,3.604528, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.201185, id=,S05, PRDE,actvstrat=,-0.104485, actvprof=,0.568624, id=,S06, PRDE,actvstrat=,0.086733, actvprof=,0.287229, id=,S07, PRDE,actvstrat=,-0.228894, actvprof=,0.031667, id=,S08, PRDE,actvstrat=,0.442118, actvprof=,0.061390, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.060279, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.828167, best_B_strat=,-0.403018, best_S_id=,S00, best_S_prof=,8.143244, best_S_strat=,0.387013, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.997803, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.341817, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.115253, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,0.362606, actvprof=,0.008889, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.201252, id=,B06, PRDE,actvstrat=,-0.104984, actvprof=,0.300142, id=,B07, PRDE,actvstrat=,-0.434343, actvprof=,0.627646, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,3.258510, id=,B09, PRDE,actvstrat=,0.010725, actvprof=,2.424334, id=,B10, PRDE,actvstrat=,0.926344, actvprof=,4.128103, id=,B11, PRDE,actvstrat=,-0.403018, actvprof=,4.823945, id=,S00, PRDE,actvstrat=,0.387013, actvprof=,8.197873, id=,S01, PRDE,actvstrat=,-0.516709, actvprof=,2.419195, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.535643, id=,S03, PRDE,actvstrat=,0.510384, actvprof=,3.641570, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,3.377400, id=,S05, PRDE,actvstrat=,-0.104485, actvprof=,0.511673, id=,S06, PRDE,actvstrat=,0.086733, actvprof=,0.368476, id=,S07, PRDE,actvstrat=,-0.228894, actvprof=,0.023750, id=,S08, PRDE,actvstrat=,0.442118, actvprof=,0.068612, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.063334, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.823945, best_B_strat=,-0.403018, best_S_id=,S00, best_S_prof=,8.197873, best_S_strat=,0.387013, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.088342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732841, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.159588, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.583852, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.362606, actvprof=,0.053057, id=,B05, PRDE,actvstrat=,0.310478, actvprof=,0.224172, id=,B06, PRDE,actvstrat=,0.512309, actvprof=,0.784740, id=,B07, PRDE,actvstrat=,-0.434343, actvprof=,0.724461, id=,B08, PRDE,actvstrat=,0.506317, actvprof=,2.321720, id=,B09, PRDE,actvstrat=,0.010725, actvprof=,2.806454, id=,B10, PRDE,actvstrat=,0.926344, actvprof=,4.517605, id=,B11, PRDE,actvstrat=,0.196504, actvprof=,6.214866, id=,S00, PRDE,actvstrat=,0.341072, actvprof=,7.624621, id=,S01, PRDE,actvstrat=,-0.315917, actvprof=,2.892567, id=,S02, PRDE,actvstrat=,-0.669586, actvprof=,1.558092, id=,S03, PRDE,actvstrat=,0.337251, actvprof=,3.054237, id=,S04, PRDE,actvstrat=,0.025444, actvprof=,1.544758, id=,S05, PRDE,actvstrat=,0.911338, actvprof=,3.007570, id=,S06, PRDE,actvstrat=,0.101030, actvprof=,0.511956, id=,S07, PRDE,actvstrat=,0.317556, actvprof=,0.318063, id=,S08, PRDE,actvstrat=,0.973819, actvprof=,0.640015, id=,S09, PRDE,actvstrat=,0.505486, actvprof=,0.020278, id=,S10, PRDE,actvstrat=,0.644541, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.912158, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.214866, best_B_strat=,0.196504, best_S_id=,S00, best_S_prof=,7.624621, best_S_strat=,0.341072, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.088342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.732841, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.159588, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.583852, actvprof=,0.003194, id=,B04, PRDE,actvstrat=,0.362606, actvprof=,0.054306, id=,B05, PRDE,actvstrat=,0.310478, actvprof=,0.210973, id=,B06, PRDE,actvstrat=,0.512309, actvprof=,0.768616, id=,B07, PRDE,actvstrat=,-0.434343, actvprof=,0.687921, id=,B08, PRDE,actvstrat=,0.506317, actvprof=,2.383903, id=,B09, PRDE,actvstrat=,0.010725, actvprof=,2.798627, id=,B10, PRDE,actvstrat=,0.926344, actvprof=,4.545304, id=,B11, PRDE,actvstrat=,0.196504, actvprof=,6.245731, id=,S00, PRDE,actvstrat=,0.341072, actvprof=,7.774767, id=,S01, PRDE,actvstrat=,-0.315917, actvprof=,2.934600, id=,S02, PRDE,actvstrat=,-0.669586, actvprof=,1.747093, id=,S03, PRDE,actvstrat=,0.337251, actvprof=,2.986545, id=,S04, PRDE,actvstrat=,0.025444, actvprof=,1.508342, id=,S05, PRDE,actvstrat=,0.911338, actvprof=,2.965989, id=,S06, PRDE,actvstrat=,0.101030, actvprof=,0.480003, id=,S07, PRDE,actvstrat=,0.317556, actvprof=,0.304168, id=,S08, PRDE,actvstrat=,0.973819, actvprof=,0.656532, id=,S09, PRDE,actvstrat=,0.505486, actvprof=,0.019167, id=,S10, PRDE,actvstrat=,0.644541, actvprof=,0.001250, id=,S11, PRDE,actvstrat=,0.912158, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.245731, best_B_strat=,0.196504, best_S_id=,S00, best_S_prof=,7.774767, best_S_strat=,0.341072, 
