t=,0, id=,B00, PRDE,actvstrat=,0.533976, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.694705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.650914, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.507229, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.998626, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.665122, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.298156, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.600834, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.196545, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.510092, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.144863, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.786358, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.284505, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.222034, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.624437, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.741653, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.138903, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.546322, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.984792, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.577892, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.008522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.564125, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.136911, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.879311, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.533976, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.284505, 
t=,3600, id=,B00, PRDE,actvstrat=,0.533976, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.694705, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.650914, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.507229, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.998626, actvprof=,0.071666, id=,B05, PRDE,actvstrat=,0.665122, actvprof=,0.331107, id=,B06, PRDE,actvstrat=,-0.298156, actvprof=,0.237219, id=,B07, PRDE,actvstrat=,0.600834, actvprof=,1.851923, id=,B08, PRDE,actvstrat=,-0.196545, actvprof=,1.800812, id=,B09, PRDE,actvstrat=,-0.510092, actvprof=,3.114964, id=,B10, PRDE,actvstrat=,0.144863, actvprof=,5.281883, id=,B11, PRDE,actvstrat=,0.786358, actvprof=,8.018518, id=,S00, PRDE,actvstrat=,0.284505, actvprof=,7.732688, id=,S01, PRDE,actvstrat=,0.222034, actvprof=,5.594935, id=,S02, PRDE,actvstrat=,-0.624437, actvprof=,1.629981, id=,S03, PRDE,actvstrat=,0.741653, actvprof=,4.224396, id=,S04, PRDE,actvstrat=,0.138903, actvprof=,1.441372, id=,S05, PRDE,actvstrat=,0.546322, actvprof=,1.434150, id=,S06, PRDE,actvstrat=,0.984792, actvprof=,1.039988, id=,S07, PRDE,actvstrat=,-0.577892, actvprof=,0.060277, id=,S08, PRDE,actvstrat=,0.008522, actvprof=,0.079444, id=,S09, PRDE,actvstrat=,0.564125, actvprof=,0.058610, id=,S10, PRDE,actvstrat=,-0.136911, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.879311, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.018518, best_B_strat=,0.786358, best_S_id=,S00, best_S_prof=,7.732688, best_S_strat=,0.284505, 
t=,7200, id=,B00, PRDE,actvstrat=,0.135743, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.613975, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.251975, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.592826, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.590085, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.587781, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.292359, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.609756, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.900094, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.077859, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.084516, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.409254, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.349017, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.641062, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.403115, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.528762, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.989363, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.947639, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.316756, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.930472, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.467658, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.922430, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.328312, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.970116, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.135743, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.349017, 
t=,10800, id=,B00, PRDE,actvstrat=,0.135743, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.613975, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.251975, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.592826, actvprof=,0.010833, id=,B04, PRDE,actvstrat=,0.590085, actvprof=,0.145273, id=,B05, PRDE,actvstrat=,0.587781, actvprof=,0.435263, id=,B06, PRDE,actvstrat=,-0.292359, actvprof=,0.488039, id=,B07, PRDE,actvstrat=,0.609756, actvprof=,2.219367, id=,B08, PRDE,actvstrat=,0.900094, actvprof=,3.025173, id=,B09, PRDE,actvstrat=,0.077859, actvprof=,3.898476, id=,B10, PRDE,actvstrat=,-0.084516, actvprof=,5.007604, id=,B11, PRDE,actvstrat=,-0.409254, actvprof=,6.380890, id=,S00, PRDE,actvstrat=,0.349017, actvprof=,7.608625, id=,S01, PRDE,actvstrat=,-0.641062, actvprof=,2.150759, id=,S02, PRDE,actvstrat=,0.403115, actvprof=,4.465678, id=,S03, PRDE,actvstrat=,0.528762, actvprof=,3.699038, id=,S04, PRDE,actvstrat=,0.989363, actvprof=,2.816291, id=,S05, PRDE,actvstrat=,0.947639, actvprof=,2.553800, id=,S06, PRDE,actvstrat=,-0.316756, actvprof=,0.075275, id=,S07, PRDE,actvstrat=,-0.930472, actvprof=,0.082497, id=,S08, PRDE,actvstrat=,0.467658, actvprof=,0.068331, id=,S09, PRDE,actvstrat=,-0.922430, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.328312, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.970116, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.380890, best_B_strat=,-0.409254, best_S_id=,S00, best_S_prof=,7.608625, best_S_strat=,0.349017, 
t=,14400, id=,B00, PRDE,actvstrat=,0.094479, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.750292, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.545235, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.589614, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.590085, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.417573, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.823640, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.141091, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.669982, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.763250, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.147287, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.409254, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.490523, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.010803, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.658262, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.656085, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.561177, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.798748, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.822596, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.205747, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.395113, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.354821, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.371637, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.074025, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.094479, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.490523, 
t=,18000, id=,B00, PRDE,actvstrat=,0.094479, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.750292, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.545235, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.589614, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.590085, actvprof=,0.006944, id=,B05, PRDE,actvstrat=,-0.417573, actvprof=,0.026944, id=,B06, PRDE,actvstrat=,0.823640, actvprof=,0.374444, id=,B07, PRDE,actvstrat=,0.141091, actvprof=,0.216111, id=,B08, PRDE,actvstrat=,0.669982, actvprof=,1.270278, id=,B09, PRDE,actvstrat=,-0.763250, actvprof=,1.206667, id=,B10, PRDE,actvstrat=,0.147287, actvprof=,2.965833, id=,B11, PRDE,actvstrat=,-0.409254, actvprof=,3.020833, id=,S00, PRDE,actvstrat=,-0.490523, actvprof=,3.445833, id=,S01, PRDE,actvstrat=,0.010803, actvprof=,5.431111, id=,S02, PRDE,actvstrat=,-0.658262, actvprof=,1.265833, id=,S03, PRDE,actvstrat=,-0.656085, actvprof=,0.761944, id=,S04, PRDE,actvstrat=,0.561177, actvprof=,2.996667, id=,S05, PRDE,actvstrat=,-0.798748, actvprof=,0.082500, id=,S06, PRDE,actvstrat=,0.822596, actvprof=,1.543056, id=,S07, PRDE,actvstrat=,-0.205747, actvprof=,0.045000, id=,S08, PRDE,actvstrat=,0.395113, actvprof=,0.077778, id=,S09, PRDE,actvstrat=,-0.354821, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.371637, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.074025, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.020833, best_B_strat=,-0.409254, best_S_id=,S01, best_S_prof=,5.431111, best_S_strat=,0.010803, 
t=,21600, id=,B00, PRDE,actvstrat=,0.094479, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.750292, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.545235, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.589614, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.590085, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,-0.417573, actvprof=,0.018889, id=,B06, PRDE,actvstrat=,0.823640, actvprof=,0.368474, id=,B07, PRDE,actvstrat=,0.141091, actvprof=,0.265002, id=,B08, PRDE,actvstrat=,0.669982, actvprof=,1.319313, id=,B09, PRDE,actvstrat=,-0.763250, actvprof=,1.154312, id=,B10, PRDE,actvstrat=,0.147287, actvprof=,2.904322, id=,B11, PRDE,actvstrat=,-0.409254, actvprof=,3.063212, id=,S00, PRDE,actvstrat=,-0.490523, actvprof=,3.435437, id=,S01, PRDE,actvstrat=,0.010803, actvprof=,5.406281, id=,S02, PRDE,actvstrat=,-0.658262, actvprof=,1.367647, id=,S03, PRDE,actvstrat=,-0.656085, actvprof=,0.829171, id=,S04, PRDE,actvstrat=,0.561177, actvprof=,2.966267, id=,S05, PRDE,actvstrat=,-0.798748, actvprof=,0.090556, id=,S06, PRDE,actvstrat=,0.822596, actvprof=,1.553065, id=,S07, PRDE,actvstrat=,-0.205747, actvprof=,0.042222, id=,S08, PRDE,actvstrat=,0.395113, actvprof=,0.088473, id=,S09, PRDE,actvstrat=,-0.354821, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.371637, actvprof=,0.001389, id=,S11, PRDE,actvstrat=,-0.074025, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.063212, best_B_strat=,-0.409254, best_S_id=,S01, best_S_prof=,5.406281, best_S_strat=,0.010803, 
t=,25200, id=,B00, PRDE,actvstrat=,0.654057, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.654005, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.071730, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-0.705042, actvprof=,0.018334, id=,B05, PRDE,actvstrat=,-0.234448, actvprof=,0.125279, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.846676, id=,B07, PRDE,actvstrat=,0.869568, actvprof=,1.816410, id=,B08, PRDE,actvstrat=,-0.967800, actvprof=,1.618074, id=,B09, PRDE,actvstrat=,0.193335, actvprof=,3.327816, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.403118, id=,B11, PRDE,actvstrat=,0.095824, actvprof=,6.881469, id=,S00, PRDE,actvstrat=,-0.227419, actvprof=,3.444484, id=,S01, PRDE,actvstrat=,0.038074, actvprof=,4.312550, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.996192, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.127004, id=,S04, PRDE,actvstrat=,-0.627854, actvprof=,0.441394, id=,S05, PRDE,actvstrat=,0.470554, actvprof=,1.229181, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.120013, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.694175, id=,S08, PRDE,actvstrat=,0.587839, actvprof=,0.098057, id=,S09, PRDE,actvstrat=,0.845224, actvprof=,0.057501, id=,S10, PRDE,actvstrat=,0.377052, actvprof=,0.003889, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.881469, best_B_strat=,0.095824, best_S_id=,S02, best_S_prof=,6.996192, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.654057, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.654005, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.071730, actvprof=,0.007917, id=,B04, PRDE,actvstrat=,-0.705042, actvprof=,0.021250, id=,B05, PRDE,actvstrat=,-0.234448, actvprof=,0.115278, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.833477, id=,B07, PRDE,actvstrat=,0.869568, actvprof=,1.803205, id=,B08, PRDE,actvstrat=,-0.967800, actvprof=,1.644037, id=,B09, PRDE,actvstrat=,0.193335, actvprof=,3.520159, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,5.164474, id=,B11, PRDE,actvstrat=,0.095824, actvprof=,6.653511, id=,S00, PRDE,actvstrat=,-0.227419, actvprof=,3.516131, id=,S01, PRDE,actvstrat=,0.038074, actvprof=,4.279053, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.945179, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,5.050446, id=,S04, PRDE,actvstrat=,-0.627854, actvprof=,0.401113, id=,S05, PRDE,actvstrat=,0.470554, actvprof=,1.289591, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,1.207229, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.700143, id=,S08, PRDE,actvstrat=,0.587839, actvprof=,0.131529, id=,S09, PRDE,actvstrat=,0.845224, actvprof=,0.059028, id=,S10, PRDE,actvstrat=,0.377052, actvprof=,0.002222, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.653511, best_B_strat=,0.095824, best_S_id=,S02, best_S_prof=,6.945179, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.089796, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.613975, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.654005, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.224521, actvprof=,0.006667, id=,B04, PRDE,actvstrat=,-0.757468, actvprof=,0.030834, id=,B05, PRDE,actvstrat=,-0.117998, actvprof=,0.165837, id=,B06, PRDE,actvstrat=,-0.292359, actvprof=,0.325563, id=,B07, PRDE,actvstrat=,0.055633, actvprof=,1.033635, id=,B08, PRDE,actvstrat=,-0.967800, actvprof=,1.927545, id=,B09, PRDE,actvstrat=,-0.836109, actvprof=,2.276164, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.682863, id=,B11, PRDE,actvstrat=,0.183476, actvprof=,5.830968, id=,S00, PRDE,actvstrat=,-0.227419, actvprof=,3.787032, id=,S01, PRDE,actvstrat=,0.222034, actvprof=,5.104007, id=,S02, PRDE,actvstrat=,0.403115, actvprof=,5.126230, id=,S03, PRDE,actvstrat=,0.528762, actvprof=,3.422857, id=,S04, PRDE,actvstrat=,-0.139446, actvprof=,1.115026, id=,S05, PRDE,actvstrat=,-0.881272, actvprof=,0.261673, id=,S06, PRDE,actvstrat=,0.806603, actvprof=,2.031714, id=,S07, PRDE,actvstrat=,0.613267, actvprof=,0.713628, id=,S08, PRDE,actvstrat=,0.338477, actvprof=,0.170837, id=,S09, PRDE,actvstrat=,0.564125, actvprof=,0.074446, id=,S10, PRDE,actvstrat=,0.328312, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.830968, best_B_strat=,0.183476, best_S_id=,S02, best_S_prof=,5.126230, best_S_strat=,0.403115, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.089796, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.613975, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.654005, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.224521, actvprof=,0.004444, id=,B04, PRDE,actvstrat=,-0.757468, actvprof=,0.024167, id=,B05, PRDE,actvstrat=,-0.117998, actvprof=,0.122363, id=,B06, PRDE,actvstrat=,-0.292359, actvprof=,0.349310, id=,B07, PRDE,actvstrat=,0.055633, actvprof=,0.985845, id=,B08, PRDE,actvstrat=,-0.967800, actvprof=,2.012940, id=,B09, PRDE,actvstrat=,-0.836109, actvprof=,2.441278, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,3.458096, id=,B11, PRDE,actvstrat=,0.183476, actvprof=,5.815345, id=,S00, PRDE,actvstrat=,-0.227419, actvprof=,4.120742, id=,S01, PRDE,actvstrat=,0.222034, actvprof=,5.332840, id=,S02, PRDE,actvstrat=,0.403115, actvprof=,4.929085, id=,S03, PRDE,actvstrat=,0.528762, actvprof=,3.619486, id=,S04, PRDE,actvstrat=,-0.139446, actvprof=,0.987095, id=,S05, PRDE,actvstrat=,-0.881272, actvprof=,0.294587, id=,S06, PRDE,actvstrat=,0.806603, actvprof=,2.122386, id=,S07, PRDE,actvstrat=,0.613267, actvprof=,0.691397, id=,S08, PRDE,actvstrat=,0.338477, actvprof=,0.185697, id=,S09, PRDE,actvstrat=,0.564125, actvprof=,0.074168, id=,S10, PRDE,actvstrat=,0.328312, actvprof=,0.001250, id=,S11, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.815345, best_B_strat=,0.183476, best_S_id=,S01, best_S_prof=,5.332840, best_S_strat=,0.222034, 
