t=,1, id=,B00, PRDE,actvstrat=,-0.102689, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.904496, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.809634, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.420320, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.067883, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.684468, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.883415, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.441973, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.667795, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.801079, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.089827, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.885027, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.534418, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.007293, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.029455, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.441350, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.656378, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.578322, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.805628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.504524, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.212815, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.583542, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.777106, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.088889, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.102689, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.534418, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.102689, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.904496, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.809634, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.420320, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,-0.067883, actvprof=,0.025555, id=,B05, PRDE,actvstrat=,-0.684468, actvprof=,0.075277, id=,B06, PRDE,actvstrat=,-0.883415, actvprof=,0.592771, id=,B07, PRDE,actvstrat=,0.441973, actvprof=,1.233319, id=,B08, PRDE,actvstrat=,0.667795, actvprof=,2.536637, id=,B09, PRDE,actvstrat=,-0.801079, actvprof=,2.092754, id=,B10, PRDE,actvstrat=,0.089827, actvprof=,4.077731, id=,B11, PRDE,actvstrat=,-0.885027, actvprof=,5.413826, id=,S00, PRDE,actvstrat=,0.534418, actvprof=,8.603789, id=,S01, PRDE,actvstrat=,-0.007293, actvprof=,4.881332, id=,S02, PRDE,actvstrat=,-0.029455, actvprof=,3.079687, id=,S03, PRDE,actvstrat=,-0.441350, actvprof=,0.796380, id=,S04, PRDE,actvstrat=,0.656378, actvprof=,2.548582, id=,S05, PRDE,actvstrat=,-0.578322, actvprof=,0.176387, id=,S06, PRDE,actvstrat=,0.805628, actvprof=,0.831101, id=,S07, PRDE,actvstrat=,0.504524, actvprof=,0.135554, id=,S08, PRDE,actvstrat=,-0.212815, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.583542, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.777106, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.088889, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.413826, best_B_strat=,-0.885027, best_S_id=,S00, best_S_prof=,8.603789, best_S_strat=,0.534418, 
t=,7200, id=,B00, PRDE,actvstrat=,0.068480, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.061122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.553584, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.749089, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.373330, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.932821, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.878743, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.022226, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.323696, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.165814, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.920261, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.706033, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.856924, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.827349, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.413661, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.648319, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.485875, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.056238, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.135570, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.528208, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.760411, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.887349, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.149964, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.836026, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.068480, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.856924, 
t=,10800, id=,B00, PRDE,actvstrat=,0.068480, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.061122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.553584, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.749089, actvprof=,0.005555, id=,B04, PRDE,actvstrat=,0.373330, actvprof=,0.013611, id=,B05, PRDE,actvstrat=,0.932821, actvprof=,0.216942, id=,B06, PRDE,actvstrat=,-0.878743, actvprof=,0.413051, id=,B07, PRDE,actvstrat=,0.022226, actvprof=,0.441662, id=,B08, PRDE,actvstrat=,-0.323696, actvprof=,0.658326, id=,B09, PRDE,actvstrat=,-0.165814, actvprof=,1.234986, id=,B10, PRDE,actvstrat=,0.920261, actvprof=,2.849689, id=,B11, PRDE,actvstrat=,0.706033, actvprof=,4.414116, id=,S00, PRDE,actvstrat=,-0.856924, actvprof=,2.765246, id=,S01, PRDE,actvstrat=,0.827349, actvprof=,10.466823, id=,S02, PRDE,actvstrat=,-0.413661, actvprof=,3.152741, id=,S03, PRDE,actvstrat=,-0.648319, actvprof=,1.741924, id=,S04, PRDE,actvstrat=,-0.485875, actvprof=,1.293041, id=,S05, PRDE,actvstrat=,0.056238, actvprof=,1.619426, id=,S06, PRDE,actvstrat=,-0.135570, actvprof=,0.445273, id=,S07, PRDE,actvstrat=,-0.528208, actvprof=,0.253330, id=,S08, PRDE,actvstrat=,0.760411, actvprof=,0.686659, id=,S09, PRDE,actvstrat=,0.887349, actvprof=,0.371662, id=,S10, PRDE,actvstrat=,0.149964, actvprof=,0.007222, id=,S11, PRDE,actvstrat=,-0.836026, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.414116, best_B_strat=,0.706033, best_S_id=,S01, best_S_prof=,10.466823, best_S_strat=,0.827349, 
t=,14400, id=,B00, PRDE,actvstrat=,0.904974, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.436279, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.411521, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281511, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.164776, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.290411, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.924368, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.441973, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.667795, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.681372, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.225969, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.641748, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.111389, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.274538, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.926655, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.648319, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.230418, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.445553, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.691280, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.161443, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.034142, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.750718, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.415079, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.237673, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.904974, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.111389, 
t=,18000, id=,B00, PRDE,actvstrat=,0.904974, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.436279, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.411521, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281511, actvprof=,0.005000, id=,B04, PRDE,actvstrat=,0.164776, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.290411, actvprof=,0.000556, id=,B06, PRDE,actvstrat=,-0.924368, actvprof=,0.132224, id=,B07, PRDE,actvstrat=,0.441973, actvprof=,0.128057, id=,B08, PRDE,actvstrat=,0.667795, actvprof=,0.546951, id=,B09, PRDE,actvstrat=,0.681372, actvprof=,1.136958, id=,B10, PRDE,actvstrat=,0.225969, actvprof=,1.297793, id=,B11, PRDE,actvstrat=,0.641748, actvprof=,2.988646, id=,S00, PRDE,actvstrat=,-0.111389, actvprof=,8.380653, id=,S01, PRDE,actvstrat=,-0.274538, actvprof=,5.222005, id=,S02, PRDE,actvstrat=,-0.926655, actvprof=,0.978622, id=,S03, PRDE,actvstrat=,-0.648319, actvprof=,2.152803, id=,S04, PRDE,actvstrat=,-0.230418, actvprof=,1.963078, id=,S05, PRDE,actvstrat=,-0.445553, actvprof=,1.041123, id=,S06, PRDE,actvstrat=,-0.691280, actvprof=,0.388616, id=,S07, PRDE,actvstrat=,0.161443, actvprof=,0.737509, id=,S08, PRDE,actvstrat=,-0.034142, actvprof=,0.221669, id=,S09, PRDE,actvstrat=,-0.750718, actvprof=,0.005000, id=,S10, PRDE,actvstrat=,0.415079, actvprof=,0.022500, id=,S11, PRDE,actvstrat=,-0.237673, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.988646, best_B_strat=,0.641748, best_S_id=,S00, best_S_prof=,8.380653, best_S_strat=,-0.111389, 
t=,21600, id=,B00, PRDE,actvstrat=,0.904974, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.436279, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.411521, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.281511, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.164776, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.290411, actvprof=,0.002361, id=,B06, PRDE,actvstrat=,-0.924368, actvprof=,0.127918, id=,B07, PRDE,actvstrat=,0.441973, actvprof=,0.142502, id=,B08, PRDE,actvstrat=,0.667795, actvprof=,0.556118, id=,B09, PRDE,actvstrat=,0.681372, actvprof=,1.170569, id=,B10, PRDE,actvstrat=,0.225969, actvprof=,1.288070, id=,B11, PRDE,actvstrat=,0.641748, actvprof=,3.004479, id=,S00, PRDE,actvstrat=,-0.111389, actvprof=,8.208151, id=,S01, PRDE,actvstrat=,-0.274538, actvprof=,5.520342, id=,S02, PRDE,actvstrat=,-0.926655, actvprof=,0.906955, id=,S03, PRDE,actvstrat=,-0.648319, actvprof=,2.047663, id=,S04, PRDE,actvstrat=,-0.230418, actvprof=,2.014746, id=,S05, PRDE,actvstrat=,-0.445553, actvprof=,0.914177, id=,S06, PRDE,actvstrat=,-0.691280, actvprof=,0.415005, id=,S07, PRDE,actvstrat=,0.161443, actvprof=,0.725147, id=,S08, PRDE,actvstrat=,-0.034142, actvprof=,0.229725, id=,S09, PRDE,actvstrat=,-0.750718, actvprof=,0.009028, id=,S10, PRDE,actvstrat=,0.415079, actvprof=,0.022084, id=,S11, PRDE,actvstrat=,-0.237673, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.004479, best_B_strat=,0.641748, best_S_id=,S00, best_S_prof=,8.208151, best_S_strat=,-0.111389, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.285993, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074630, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.902018, actvprof=,0.049168, id=,B05, PRDE,actvstrat=,-0.377914, actvprof=,0.028056, id=,B06, PRDE,actvstrat=,-0.327402, actvprof=,0.088613, id=,B07, PRDE,actvstrat=,0.742255, actvprof=,1.146971, id=,B08, PRDE,actvstrat=,0.262940, actvprof=,1.342253, id=,B09, PRDE,actvstrat=,-0.447535, actvprof=,1.515313, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,4.322600, id=,B11, PRDE,actvstrat=,0.242866, actvprof=,5.360402, id=,S00, PRDE,actvstrat=,-0.058374, actvprof=,6.132364, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,8.230191, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.087386, id=,S03, PRDE,actvstrat=,0.295334, actvprof=,2.923679, id=,S04, PRDE,actvstrat=,-0.689807, actvprof=,0.390842, id=,S05, PRDE,actvstrat=,0.188095, actvprof=,0.847797, id=,S06, PRDE,actvstrat=,-0.329713, actvprof=,0.120003, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.014468, id=,S08, PRDE,actvstrat=,-0.503870, actvprof=,0.004445, id=,S09, PRDE,actvstrat=,-0.554044, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,S11, PRDE,actvstrat=,-0.964559, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.360402, best_B_strat=,0.242866, best_S_id=,S01, best_S_prof=,8.230191, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.285993, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074630, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.902018, actvprof=,0.047084, id=,B05, PRDE,actvstrat=,-0.377914, actvprof=,0.026806, id=,B06, PRDE,actvstrat=,-0.327402, actvprof=,0.090279, id=,B07, PRDE,actvstrat=,0.742255, actvprof=,1.162652, id=,B08, PRDE,actvstrat=,0.262940, actvprof=,1.370016, id=,B09, PRDE,actvstrat=,-0.447535, actvprof=,1.500851, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,4.312550, id=,B11, PRDE,actvstrat=,0.242866, actvprof=,5.421868, id=,S00, PRDE,actvstrat=,-0.058374, actvprof=,5.741039, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,8.413431, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.113416, id=,S03, PRDE,actvstrat=,0.295334, actvprof=,3.086980, id=,S04, PRDE,actvstrat=,-0.689807, actvprof=,0.423199, id=,S05, PRDE,actvstrat=,0.188095, actvprof=,0.775009, id=,S06, PRDE,actvstrat=,-0.329713, actvprof=,0.120835, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,1.019734, id=,S08, PRDE,actvstrat=,-0.503870, actvprof=,0.021111, id=,S09, PRDE,actvstrat=,-0.554044, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.964559, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.421868, best_B_strat=,0.242866, best_S_id=,S01, best_S_prof=,8.413431, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.749388, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.456277, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,B04, PRDE,actvstrat=,0.902018, actvprof=,0.064724, id=,B05, PRDE,actvstrat=,-0.377914, actvprof=,0.021112, id=,B06, PRDE,actvstrat=,-0.655538, actvprof=,0.173893, id=,B07, PRDE,actvstrat=,0.795678, actvprof=,1.296974, id=,B08, PRDE,actvstrat=,-0.754282, actvprof=,1.269474, id=,B09, PRDE,actvstrat=,0.405608, actvprof=,2.534225, id=,B10, PRDE,actvstrat=,0.920261, actvprof=,3.082571, id=,B11, PRDE,actvstrat=,-0.084107, actvprof=,4.168430, id=,S00, PRDE,actvstrat=,0.534418, actvprof=,11.069423, id=,S01, PRDE,actvstrat=,-0.749788, actvprof=,3.148962, id=,S02, PRDE,actvstrat=,0.017128, actvprof=,5.135674, id=,S03, PRDE,actvstrat=,0.476124, actvprof=,4.983171, id=,S04, PRDE,actvstrat=,0.304166, actvprof=,3.173407, id=,S05, PRDE,actvstrat=,-0.363213, actvprof=,0.623348, id=,S06, PRDE,actvstrat=,0.467271, actvprof=,1.394477, id=,S07, PRDE,actvstrat=,-0.610975, actvprof=,0.134448, id=,S08, PRDE,actvstrat=,-0.546054, actvprof=,0.031945, id=,S09, PRDE,actvstrat=,-0.750718, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.708899, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.231547, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.168430, best_B_strat=,-0.084107, best_S_id=,S00, best_S_prof=,11.069423, best_S_strat=,0.534418, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.749388, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924142, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.456277, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.902018, actvprof=,0.061251, id=,B05, PRDE,actvstrat=,-0.377914, actvprof=,0.027778, id=,B06, PRDE,actvstrat=,-0.655538, actvprof=,0.164446, id=,B07, PRDE,actvstrat=,0.795678, actvprof=,1.336543, id=,B08, PRDE,actvstrat=,-0.754282, actvprof=,1.240014, id=,B09, PRDE,actvstrat=,0.405608, actvprof=,2.531835, id=,B10, PRDE,actvstrat=,0.920261, actvprof=,2.931284, id=,B11, PRDE,actvstrat=,-0.084107, actvprof=,4.214493, id=,S00, PRDE,actvstrat=,0.534418, actvprof=,11.008739, id=,S01, PRDE,actvstrat=,-0.749788, actvprof=,2.826977, id=,S02, PRDE,actvstrat=,0.017128, actvprof=,5.010475, id=,S03, PRDE,actvstrat=,0.476124, actvprof=,5.136032, id=,S04, PRDE,actvstrat=,0.304166, actvprof=,3.144620, id=,S05, PRDE,actvstrat=,-0.363213, actvprof=,0.653341, id=,S06, PRDE,actvstrat=,0.467271, actvprof=,1.514740, id=,S07, PRDE,actvstrat=,-0.610975, actvprof=,0.124029, id=,S08, PRDE,actvstrat=,-0.546054, actvprof=,0.031806, id=,S09, PRDE,actvstrat=,-0.750718, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.708899, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.231547, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.214493, best_B_strat=,-0.084107, best_S_id=,S00, best_S_prof=,11.008739, best_S_strat=,0.534418, 
