t=,1, id=,B00, PRDE,actvstrat=,0.912111, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.955941, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.898393, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.082552, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.668950, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.720806, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.156546, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.366052, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.466058, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.632387, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.963977, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.560101, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.239326, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.766836, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.618993, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.447457, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.659384, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.633050, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.479524, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.261544, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.240387, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.485329, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.504263, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.145021, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.912111, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.239326, 
t=,3600, id=,B00, PRDE,actvstrat=,0.912111, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.955941, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.898393, actvprof=,0.007500, id=,B03, PRDE,actvstrat=,0.082552, actvprof=,0.025833, id=,B04, PRDE,actvstrat=,-0.668950, actvprof=,0.034722, id=,B05, PRDE,actvstrat=,-0.720806, actvprof=,0.245275, id=,B06, PRDE,actvstrat=,0.156546, actvprof=,0.620826, id=,B07, PRDE,actvstrat=,-0.366052, actvprof=,0.897767, id=,B08, PRDE,actvstrat=,0.466058, actvprof=,2.394139, id=,B09, PRDE,actvstrat=,-0.632387, actvprof=,2.734968, id=,B10, PRDE,actvstrat=,0.963977, actvprof=,3.118853, id=,B11, PRDE,actvstrat=,0.560101, actvprof=,5.987986, id=,S00, PRDE,actvstrat=,-0.239326, actvprof=,6.433537, id=,S01, PRDE,actvstrat=,0.766836, actvprof=,9.460168, id=,S02, PRDE,actvstrat=,0.618993, actvprof=,7.317138, id=,S03, PRDE,actvstrat=,-0.447457, actvprof=,1.831368, id=,S04, PRDE,actvstrat=,-0.659384, actvprof=,1.190820, id=,S05, PRDE,actvstrat=,-0.633050, actvprof=,0.869712, id=,S06, PRDE,actvstrat=,0.479524, actvprof=,1.631370, id=,S07, PRDE,actvstrat=,-0.261544, actvprof=,0.235553, id=,S08, PRDE,actvstrat=,0.240387, actvprof=,0.224442, id=,S09, PRDE,actvstrat=,0.485329, actvprof=,0.081388, id=,S10, PRDE,actvstrat=,-0.504263, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.145021, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.987986, best_B_strat=,0.560101, best_S_id=,S01, best_S_prof=,9.460168, best_S_strat=,0.766836, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.250013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.460945, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.027781, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.813116, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.622781, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.497180, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.007902, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.296044, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.769426, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.666185, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.553445, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.438760, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.224922, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.487071, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.896326, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.745727, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.283159, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.870842, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.154513, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.770120, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.578043, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.046026, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.046608, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073245, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.250013, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.224922, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.250013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.460945, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.027781, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,-0.813116, actvprof=,0.058890, id=,B04, PRDE,actvstrat=,0.622781, actvprof=,0.260562, id=,B05, PRDE,actvstrat=,0.497180, actvprof=,0.560846, id=,B06, PRDE,actvstrat=,-0.007902, actvprof=,0.852798, id=,B07, PRDE,actvstrat=,0.296044, actvprof=,1.996991, id=,B08, PRDE,actvstrat=,0.769426, actvprof=,3.451191, id=,B09, PRDE,actvstrat=,-0.666185, actvprof=,3.937036, id=,B10, PRDE,actvstrat=,-0.553445, actvprof=,5.327068, id=,B11, PRDE,actvstrat=,0.438760, actvprof=,7.650733, id=,S00, PRDE,actvstrat=,0.224922, actvprof=,6.854048, id=,S01, PRDE,actvstrat=,0.487071, actvprof=,6.730434, id=,S02, PRDE,actvstrat=,0.896326, actvprof=,6.305424, id=,S03, PRDE,actvstrat=,0.745727, actvprof=,4.251210, id=,S04, PRDE,actvstrat=,-0.283159, actvprof=,0.518345, id=,S05, PRDE,actvstrat=,0.870842, actvprof=,2.335332, id=,S06, PRDE,actvstrat=,0.154513, actvprof=,0.355842, id=,S07, PRDE,actvstrat=,-0.770120, actvprof=,0.047779, id=,S08, PRDE,actvstrat=,0.578043, actvprof=,0.074724, id=,S09, PRDE,actvstrat=,-0.046026, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,0.046608, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073245, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.650733, best_B_strat=,0.438760, best_S_id=,S00, best_S_prof=,6.854048, best_S_strat=,0.224922, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.250013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.460945, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.027781, actvprof=,0.002639, id=,B03, PRDE,actvstrat=,-0.813116, actvprof=,0.054167, id=,B04, PRDE,actvstrat=,0.622781, actvprof=,0.256531, id=,B05, PRDE,actvstrat=,0.497180, actvprof=,0.580284, id=,B06, PRDE,actvstrat=,-0.007902, actvprof=,0.898205, id=,B07, PRDE,actvstrat=,0.296044, actvprof=,2.000718, id=,B08, PRDE,actvstrat=,0.769426, actvprof=,3.427123, id=,B09, PRDE,actvstrat=,-0.666185, actvprof=,3.962268, id=,B10, PRDE,actvstrat=,-0.553445, actvprof=,5.308811, id=,B11, PRDE,actvstrat=,0.438760, actvprof=,7.766757, id=,S00, PRDE,actvstrat=,0.224922, actvprof=,6.853274, id=,S01, PRDE,actvstrat=,0.487071, actvprof=,6.546881, id=,S02, PRDE,actvstrat=,0.896326, actvprof=,6.086876, id=,S03, PRDE,actvstrat=,0.745727, actvprof=,4.271577, id=,S04, PRDE,actvstrat=,-0.283159, actvprof=,0.592090, id=,S05, PRDE,actvstrat=,0.870842, actvprof=,2.325166, id=,S06, PRDE,actvstrat=,0.154513, actvprof=,0.348060, id=,S07, PRDE,actvstrat=,-0.770120, actvprof=,0.035556, id=,S08, PRDE,actvstrat=,0.578043, actvprof=,0.088751, id=,S09, PRDE,actvstrat=,-0.046026, actvprof=,0.008056, id=,S10, PRDE,actvstrat=,0.046608, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073245, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.766757, best_B_strat=,0.438760, best_S_id=,S00, best_S_prof=,6.853274, best_S_strat=,0.224922, 
t=,18000, id=,B00, PRDE,actvstrat=,0.276511, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.936763, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.943448, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,-0.813116, actvprof=,0.024445, id=,B04, PRDE,actvstrat=,0.966058, actvprof=,0.192507, id=,B05, PRDE,actvstrat=,-0.216068, actvprof=,0.204452, id=,B06, PRDE,actvstrat=,0.893424, actvprof=,1.297823, id=,B07, PRDE,actvstrat=,0.007478, actvprof=,1.318657, id=,B08, PRDE,actvstrat=,-0.306510, actvprof=,2.040626, id=,B09, PRDE,actvstrat=,-0.666185, actvprof=,3.400118, id=,B10, PRDE,actvstrat=,-0.553445, actvprof=,4.625994, id=,B11, PRDE,actvstrat=,0.438760, actvprof=,7.096080, id=,S00, PRDE,actvstrat=,0.221176, actvprof=,7.163860, id=,S01, PRDE,actvstrat=,0.917718, actvprof=,8.344456, id=,S02, PRDE,actvstrat=,-0.840978, actvprof=,0.930588, id=,S03, PRDE,actvstrat=,0.931162, actvprof=,4.750998, id=,S04, PRDE,actvstrat=,0.852104, actvprof=,3.482621, id=,S05, PRDE,actvstrat=,-0.057244, actvprof=,0.501129, id=,S06, PRDE,actvstrat=,0.607715, actvprof=,0.787250, id=,S07, PRDE,actvstrat=,-0.856701, actvprof=,0.057780, id=,S08, PRDE,actvstrat=,-0.715223, actvprof=,0.021112, id=,S09, PRDE,actvstrat=,0.201398, actvprof=,0.021112, id=,S10, PRDE,actvstrat=,-0.787030, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073245, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.096080, best_B_strat=,0.438760, best_S_id=,S01, best_S_prof=,8.344456, best_S_strat=,0.917718, 
t=,21600, id=,B00, PRDE,actvstrat=,0.276511, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.936763, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.943448, actvprof=,0.004167, id=,B03, PRDE,actvstrat=,-0.813116, actvprof=,0.027223, id=,B04, PRDE,actvstrat=,0.966058, actvprof=,0.188614, id=,B05, PRDE,actvstrat=,-0.216068, actvprof=,0.164031, id=,B06, PRDE,actvstrat=,0.893424, actvprof=,1.289467, id=,B07, PRDE,actvstrat=,0.007478, actvprof=,1.287522, id=,B08, PRDE,actvstrat=,-0.306510, actvprof=,1.990451, id=,B09, PRDE,actvstrat=,-0.666185, actvprof=,3.466588, id=,B10, PRDE,actvstrat=,-0.553445, actvprof=,4.708832, id=,B11, PRDE,actvstrat=,0.438760, actvprof=,6.935537, id=,S00, PRDE,actvstrat=,0.221176, actvprof=,7.276099, id=,S01, PRDE,actvstrat=,0.917718, actvprof=,8.510564, id=,S02, PRDE,actvstrat=,-0.840978, actvprof=,0.894182, id=,S03, PRDE,actvstrat=,0.931162, actvprof=,4.794667, id=,S04, PRDE,actvstrat=,0.852104, actvprof=,3.497977, id=,S05, PRDE,actvstrat=,-0.057244, actvprof=,0.529870, id=,S06, PRDE,actvstrat=,0.607715, actvprof=,0.760152, id=,S07, PRDE,actvstrat=,-0.856701, actvprof=,0.062640, id=,S08, PRDE,actvstrat=,-0.715223, actvprof=,0.013889, id=,S09, PRDE,actvstrat=,0.201398, actvprof=,0.018611, id=,S10, PRDE,actvstrat=,-0.787030, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.073245, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.935537, best_B_strat=,0.438760, best_S_id=,S01, best_S_prof=,8.510564, best_S_strat=,0.917718, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.199897, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.489975, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.075398, actvprof=,0.005278, id=,B03, PRDE,actvstrat=,0.779823, actvprof=,0.038057, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.148896, id=,B05, PRDE,actvstrat=,-0.269815, actvprof=,0.113894, id=,B06, PRDE,actvstrat=,0.467650, actvprof=,0.582805, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.197602, id=,B08, PRDE,actvstrat=,-0.794638, actvprof=,1.694245, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.260382, id=,B10, PRDE,actvstrat=,-0.069995, actvprof=,3.695171, id=,B11, PRDE,actvstrat=,0.095093, actvprof=,5.446641, id=,S00, PRDE,actvstrat=,0.592716, actvprof=,9.806565, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.320432, id=,S02, PRDE,actvstrat=,-0.090919, actvprof=,3.638224, id=,S03, PRDE,actvstrat=,-0.044130, actvprof=,2.837076, id=,S04, PRDE,actvstrat=,-0.110781, actvprof=,1.216167, id=,S05, PRDE,actvstrat=,0.677364, actvprof=,2.725404, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.492569, id=,S07, PRDE,actvstrat=,-0.537613, actvprof=,0.084448, id=,S08, PRDE,actvstrat=,-0.154874, actvprof=,0.026946, id=,S09, PRDE,actvstrat=,-0.914988, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.012223, id=,S11, PRDE,actvstrat=,0.942651, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.446641, best_B_strat=,0.095093, best_S_id=,S00, best_S_prof=,9.806565, best_S_strat=,0.592716, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.199897, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.489975, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.075398, actvprof=,0.002639, id=,B03, PRDE,actvstrat=,0.779823, actvprof=,0.036667, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.137224, id=,B05, PRDE,actvstrat=,-0.269815, actvprof=,0.093196, id=,B06, PRDE,actvstrat=,0.467650, actvprof=,0.622091, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.290582, id=,B08, PRDE,actvstrat=,-0.794638, actvprof=,1.730298, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,2.247804, id=,B10, PRDE,actvstrat=,-0.069995, actvprof=,3.832405, id=,B11, PRDE,actvstrat=,0.095093, actvprof=,5.284506, id=,S00, PRDE,actvstrat=,0.592716, actvprof=,10.161784, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,9.210384, id=,S02, PRDE,actvstrat=,-0.090919, actvprof=,3.628514, id=,S03, PRDE,actvstrat=,-0.044130, actvprof=,2.559752, id=,S04, PRDE,actvstrat=,-0.110781, actvprof=,1.300015, id=,S05, PRDE,actvstrat=,0.677364, actvprof=,2.717393, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,1.552518, id=,S07, PRDE,actvstrat=,-0.537613, actvprof=,0.085001, id=,S08, PRDE,actvstrat=,-0.154874, actvprof=,0.025695, id=,S09, PRDE,actvstrat=,-0.914988, actvprof=,0.006111, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.016945, id=,S11, PRDE,actvstrat=,0.942651, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.284506, best_B_strat=,0.095093, best_S_id=,S00, best_S_prof=,10.161784, best_S_strat=,0.592716, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.250013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.077512, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.023062, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.008993, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.622781, actvprof=,0.048058, id=,B05, PRDE,actvstrat=,0.828761, actvprof=,0.250289, id=,B06, PRDE,actvstrat=,-0.007902, actvprof=,0.257512, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.736191, id=,B08, PRDE,actvstrat=,-0.638333, actvprof=,0.877541, id=,B09, PRDE,actvstrat=,0.164145, actvprof=,2.682624, id=,B10, PRDE,actvstrat=,0.984601, actvprof=,3.544886, id=,B11, PRDE,actvstrat=,0.705854, actvprof=,6.029724, id=,S00, PRDE,actvstrat=,0.202654, actvprof=,8.268716, id=,S01, PRDE,actvstrat=,-0.695732, actvprof=,3.323765, id=,S02, PRDE,actvstrat=,-0.463091, actvprof=,2.627066, id=,S03, PRDE,actvstrat=,0.745727, actvprof=,5.917774, id=,S04, PRDE,actvstrat=,-0.659384, actvprof=,0.845317, id=,S05, PRDE,actvstrat=,0.677364, actvprof=,2.732071, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.738738, id=,S07, PRDE,actvstrat=,-0.537613, actvprof=,0.155007, id=,S08, PRDE,actvstrat=,0.041899, actvprof=,0.168897, id=,S09, PRDE,actvstrat=,-0.204669, actvprof=,0.006667, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.033890, id=,S11, PRDE,actvstrat=,-0.793524, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.029724, best_B_strat=,0.705854, best_S_id=,S00, best_S_prof=,8.268716, best_S_strat=,0.202654, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.250013, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.077512, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.023062, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.008993, actvprof=,0.004583, id=,B04, PRDE,actvstrat=,0.622781, actvprof=,0.050835, id=,B05, PRDE,actvstrat=,0.828761, actvprof=,0.265562, id=,B06, PRDE,actvstrat=,-0.007902, actvprof=,0.285145, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,1.676428, id=,B08, PRDE,actvstrat=,-0.638333, actvprof=,0.948078, id=,B09, PRDE,actvstrat=,0.164145, actvprof=,2.673673, id=,B10, PRDE,actvstrat=,0.984601, actvprof=,3.385078, id=,B11, PRDE,actvstrat=,0.705854, actvprof=,6.046390, id=,S00, PRDE,actvstrat=,0.202654, actvprof=,8.315470, id=,S01, PRDE,actvstrat=,-0.695732, actvprof=,3.268965, id=,S02, PRDE,actvstrat=,-0.463091, actvprof=,2.617838, id=,S03, PRDE,actvstrat=,0.745727, actvprof=,5.743188, id=,S04, PRDE,actvstrat=,-0.659384, actvprof=,0.910160, id=,S05, PRDE,actvstrat=,0.677364, actvprof=,2.720341, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,2.779648, id=,S07, PRDE,actvstrat=,-0.537613, actvprof=,0.122642, id=,S08, PRDE,actvstrat=,0.041899, actvprof=,0.167643, id=,S09, PRDE,actvstrat=,-0.204669, actvprof=,0.008611, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.033473, id=,S11, PRDE,actvstrat=,-0.793524, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.046390, best_B_strat=,0.705854, best_S_id=,S00, best_S_prof=,8.315470, best_S_strat=,0.202654, 
