t=,1, id=,B00, PRDE,actvstrat=,-0.327672, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.216560, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.111785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.263900, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.476805, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.249152, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.723391, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.395338, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.415055, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.800579, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.908893, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.524566, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.872024, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.347448, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.280958, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.336113, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.001716, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.525872, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.660337, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.505813, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.686108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.497230, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.344168, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.806185, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.327672, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.872024, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.327672, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.216560, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.111785, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.263900, actvprof=,0.039444, id=,B04, PRDE,actvstrat=,0.476805, actvprof=,0.121387, id=,B05, PRDE,actvstrat=,0.249152, actvprof=,0.278886, id=,B06, PRDE,actvstrat=,0.723391, actvprof=,1.097765, id=,B07, PRDE,actvstrat=,0.395338, actvprof=,1.309707, id=,B08, PRDE,actvstrat=,-0.415055, actvprof=,1.510260, id=,B09, PRDE,actvstrat=,0.800579, actvprof=,3.310239, id=,B10, PRDE,actvstrat=,0.908893, actvprof=,3.990787, id=,B11, PRDE,actvstrat=,-0.524566, actvprof=,4.835500, id=,S00, PRDE,actvstrat=,0.872024, actvprof=,11.541255, id=,S01, PRDE,actvstrat=,0.347448, actvprof=,7.412414, id=,S02, PRDE,actvstrat=,0.280958, actvprof=,5.860766, id=,S03, PRDE,actvstrat=,-0.336113, actvprof=,1.714980, id=,S04, PRDE,actvstrat=,0.001716, actvprof=,1.939978, id=,S05, PRDE,actvstrat=,-0.525872, actvprof=,0.539438, id=,S06, PRDE,actvstrat=,0.660337, actvprof=,1.511649, id=,S07, PRDE,actvstrat=,0.505813, actvprof=,0.513605, id=,S08, PRDE,actvstrat=,0.686108, actvprof=,0.249442, id=,S09, PRDE,actvstrat=,0.497230, actvprof=,0.028333, id=,S10, PRDE,actvstrat=,0.344168, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.806185, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.835500, best_B_strat=,-0.524566, best_S_id=,S00, best_S_prof=,11.541255, best_S_strat=,0.872024, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.781487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.983725, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234117, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.162019, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.467494, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.916842, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.629462, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.278506, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.575857, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.298124, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.149233, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.384449, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.309751, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.736957, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.336756, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.136649, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.127040, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.637485, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.354346, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.263462, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.676457, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.344991, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.778700, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.724240, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.781487, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.309751, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.781487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.983725, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234117, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.162019, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.467494, actvprof=,0.023611, id=,B05, PRDE,actvstrat=,-0.916842, actvprof=,0.265275, id=,B06, PRDE,actvstrat=,-0.629462, actvprof=,0.361940, id=,B07, PRDE,actvstrat=,-0.278506, actvprof=,0.622771, id=,B08, PRDE,actvstrat=,-0.575857, actvprof=,1.200819, id=,B09, PRDE,actvstrat=,-0.298124, actvprof=,2.236085, id=,B10, PRDE,actvstrat=,-0.149233, actvprof=,2.922744, id=,B11, PRDE,actvstrat=,0.384449, actvprof=,5.429104, id=,S00, PRDE,actvstrat=,-0.309751, actvprof=,4.503837, id=,S01, PRDE,actvstrat=,0.736957, actvprof=,8.038796, id=,S02, PRDE,actvstrat=,-0.336756, actvprof=,1.997755, id=,S03, PRDE,actvstrat=,-0.136649, actvprof=,1.584982, id=,S04, PRDE,actvstrat=,-0.127040, actvprof=,1.033599, id=,S05, PRDE,actvstrat=,-0.637485, actvprof=,0.309719, id=,S06, PRDE,actvstrat=,-0.354346, actvprof=,0.258608, id=,S07, PRDE,actvstrat=,-0.263462, actvprof=,0.068055, id=,S08, PRDE,actvstrat=,0.676457, actvprof=,0.244997, id=,S09, PRDE,actvstrat=,0.344991, actvprof=,0.042777, id=,S10, PRDE,actvstrat=,-0.778700, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.724240, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.429104, best_B_strat=,0.384449, best_S_id=,S01, best_S_prof=,8.038796, best_S_strat=,0.736957, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.788051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.236959, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234117, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.930748, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.970857, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.833815, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.723391, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.984043, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.579903, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.298124, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.149233, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.306241, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.872024, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.683143, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.525031, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.027312, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.127040, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.637485, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.916110, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.505813, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.976058, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.245434, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.016838, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.724240, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.788051, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.872024, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.788051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.236959, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234117, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.930748, actvprof=,0.026667, id=,B04, PRDE,actvstrat=,-0.970857, actvprof=,0.138611, id=,B05, PRDE,actvstrat=,0.833815, actvprof=,0.443889, id=,B06, PRDE,actvstrat=,0.723391, actvprof=,0.881944, id=,B07, PRDE,actvstrat=,-0.984043, actvprof=,2.073333, id=,B08, PRDE,actvstrat=,-0.579903, actvprof=,1.458056, id=,B09, PRDE,actvstrat=,-0.298124, actvprof=,2.783333, id=,B10, PRDE,actvstrat=,-0.149233, actvprof=,4.339167, id=,B11, PRDE,actvstrat=,0.306241, actvprof=,6.662778, id=,S00, PRDE,actvstrat=,0.872024, actvprof=,11.026111, id=,S01, PRDE,actvstrat=,0.683143, actvprof=,7.503889, id=,S02, PRDE,actvstrat=,0.525031, actvprof=,5.290278, id=,S03, PRDE,actvstrat=,0.027312, actvprof=,2.059722, id=,S04, PRDE,actvstrat=,-0.127040, actvprof=,0.642778, id=,S05, PRDE,actvstrat=,-0.637485, actvprof=,0.098611, id=,S06, PRDE,actvstrat=,0.916110, actvprof=,1.279167, id=,S07, PRDE,actvstrat=,0.505813, actvprof=,0.200000, id=,S08, PRDE,actvstrat=,-0.976058, actvprof=,0.177778, id=,S09, PRDE,actvstrat=,0.245434, actvprof=,0.003333, id=,S10, PRDE,actvstrat=,-0.016838, actvprof=,0.001667, id=,S11, PRDE,actvstrat=,-0.724240, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.662778, best_B_strat=,0.306241, best_S_id=,S00, best_S_prof=,11.026111, best_S_strat=,0.872024, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.788051, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.236959, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.234117, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.930748, actvprof=,0.021528, id=,B04, PRDE,actvstrat=,-0.970857, actvprof=,0.135001, id=,B05, PRDE,actvstrat=,0.833815, actvprof=,0.421114, id=,B06, PRDE,actvstrat=,0.723391, actvprof=,0.899866, id=,B07, PRDE,actvstrat=,-0.984043, actvprof=,2.031123, id=,B08, PRDE,actvstrat=,-0.579903, actvprof=,1.389869, id=,B09, PRDE,actvstrat=,-0.298124, actvprof=,2.665015, id=,B10, PRDE,actvstrat=,-0.149233, actvprof=,4.335581, id=,B11, PRDE,actvstrat=,0.306241, actvprof=,6.663511, id=,S00, PRDE,actvstrat=,0.872024, actvprof=,10.852285, id=,S01, PRDE,actvstrat=,0.683143, actvprof=,7.629489, id=,S02, PRDE,actvstrat=,0.525031, actvprof=,5.171280, id=,S03, PRDE,actvstrat=,0.027312, actvprof=,2.093901, id=,S04, PRDE,actvstrat=,-0.127040, actvprof=,0.647087, id=,S05, PRDE,actvstrat=,-0.637485, actvprof=,0.153334, id=,S06, PRDE,actvstrat=,0.916110, actvprof=,1.336397, id=,S07, PRDE,actvstrat=,0.505813, actvprof=,0.200140, id=,S08, PRDE,actvstrat=,-0.976058, actvprof=,0.174584, id=,S09, PRDE,actvstrat=,0.245434, actvprof=,0.005694, id=,S10, PRDE,actvstrat=,-0.016838, actvprof=,0.001528, id=,S11, PRDE,actvstrat=,-0.724240, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.663511, best_B_strat=,0.306241, best_S_id=,S00, best_S_prof=,10.852285, best_S_strat=,0.872024, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.668908, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,0.026999, actvprof=,0.021112, id=,B05, PRDE,actvstrat=,0.373736, actvprof=,0.131392, id=,B06, PRDE,actvstrat=,-0.274622, actvprof=,0.207505, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.675571, id=,B08, PRDE,actvstrat=,0.158994, actvprof=,1.383088, id=,B09, PRDE,actvstrat=,-0.204831, actvprof=,1.907266, id=,B10, PRDE,actvstrat=,-0.134705, actvprof=,2.985902, id=,B11, PRDE,actvstrat=,-0.192230, actvprof=,4.518716, id=,S00, PRDE,actvstrat=,0.092206, actvprof=,6.434038, id=,S01, PRDE,actvstrat=,-0.126478, actvprof=,3.523970, id=,S02, PRDE,actvstrat=,-0.583196, actvprof=,1.420588, id=,S03, PRDE,actvstrat=,0.490453, actvprof=,3.962314, id=,S04, PRDE,actvstrat=,-0.108594, actvprof=,0.706961, id=,S05, PRDE,actvstrat=,0.922045, actvprof=,3.284520, id=,S06, PRDE,actvstrat=,-0.397816, actvprof=,0.052223, id=,S07, PRDE,actvstrat=,-0.574747, actvprof=,0.028056, id=,S08, PRDE,actvstrat=,0.726835, actvprof=,0.078613, id=,S09, PRDE,actvstrat=,0.971716, actvprof=,0.058057, id=,S10, PRDE,actvstrat=,-0.636453, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.174035, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.518716, best_B_strat=,-0.192230, best_S_id=,S00, best_S_prof=,6.434038, best_S_strat=,0.092206, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,B03, PRDE,actvstrat=,0.668908, actvprof=,0.012222, id=,B04, PRDE,actvstrat=,0.026999, actvprof=,0.016528, id=,B05, PRDE,actvstrat=,0.373736, actvprof=,0.136390, id=,B06, PRDE,actvstrat=,-0.274622, actvprof=,0.211252, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,0.668480, id=,B08, PRDE,actvstrat=,0.158994, actvprof=,1.390988, id=,B09, PRDE,actvstrat=,-0.204831, actvprof=,1.933356, id=,B10, PRDE,actvstrat=,-0.134705, actvprof=,2.989896, id=,B11, PRDE,actvstrat=,-0.192230, actvprof=,4.401162, id=,S00, PRDE,actvstrat=,0.092206, actvprof=,6.471186, id=,S01, PRDE,actvstrat=,-0.126478, actvprof=,3.328650, id=,S02, PRDE,actvstrat=,-0.583196, actvprof=,1.477795, id=,S03, PRDE,actvstrat=,0.490453, actvprof=,3.915879, id=,S04, PRDE,actvstrat=,-0.108594, actvprof=,0.721397, id=,S05, PRDE,actvstrat=,0.922045, actvprof=,3.133925, id=,S06, PRDE,actvstrat=,-0.397816, actvprof=,0.055417, id=,S07, PRDE,actvstrat=,-0.574747, actvprof=,0.032917, id=,S08, PRDE,actvstrat=,0.726835, actvprof=,0.082084, id=,S09, PRDE,actvstrat=,0.971716, actvprof=,0.050834, id=,S10, PRDE,actvstrat=,-0.636453, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.174035, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.401162, best_B_strat=,-0.192230, best_S_id=,S00, best_S_prof=,6.471186, best_S_strat=,0.092206, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.781487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.770942, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,B03, PRDE,actvstrat=,0.668908, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.476805, actvprof=,0.073891, id=,B05, PRDE,actvstrat=,-0.916842, actvprof=,0.416121, id=,B06, PRDE,actvstrat=,0.405363, actvprof=,0.618070, id=,B07, PRDE,actvstrat=,0.641713, actvprof=,1.302252, id=,B08, PRDE,actvstrat=,-0.790425, actvprof=,1.575314, id=,B09, PRDE,actvstrat=,0.178073, actvprof=,2.950068, id=,B10, PRDE,actvstrat=,-0.134705, actvprof=,3.644529, id=,B11, PRDE,actvstrat=,0.384449, actvprof=,6.413482, id=,S00, PRDE,actvstrat=,0.574912, actvprof=,8.871039, id=,S01, PRDE,actvstrat=,0.683143, actvprof=,7.773791, id=,S02, PRDE,actvstrat=,-0.335808, actvprof=,1.704484, id=,S03, PRDE,actvstrat=,-0.966384, actvprof=,1.543647, id=,S04, PRDE,actvstrat=,-0.072842, actvprof=,0.872798, id=,S05, PRDE,actvstrat=,0.879621, actvprof=,2.877289, id=,S06, PRDE,actvstrat=,0.660337, actvprof=,0.902521, id=,S07, PRDE,actvstrat=,-0.502893, actvprof=,0.050557, id=,S08, PRDE,actvstrat=,-0.300505, actvprof=,0.030834, id=,S09, PRDE,actvstrat=,-0.651615, actvprof=,0.002500, id=,S10, PRDE,actvstrat=,-0.111426, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.272887, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.413482, best_B_strat=,0.384449, best_S_id=,S00, best_S_prof=,8.871039, best_S_strat=,0.574912, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.781487, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.770942, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.668908, actvprof=,0.004028, id=,B04, PRDE,actvstrat=,0.476805, actvprof=,0.063056, id=,B05, PRDE,actvstrat=,-0.916842, actvprof=,0.400836, id=,B06, PRDE,actvstrat=,0.405363, actvprof=,0.535003, id=,B07, PRDE,actvstrat=,0.641713, actvprof=,1.357230, id=,B08, PRDE,actvstrat=,-0.790425, actvprof=,1.622232, id=,B09, PRDE,actvstrat=,0.178073, actvprof=,2.859600, id=,B10, PRDE,actvstrat=,-0.134705, actvprof=,3.650438, id=,B11, PRDE,actvstrat=,0.384449, actvprof=,6.257397, id=,S00, PRDE,actvstrat=,0.574912, actvprof=,9.060191, id=,S01, PRDE,actvstrat=,0.683143, actvprof=,7.927685, id=,S02, PRDE,actvstrat=,-0.335808, actvprof=,1.550148, id=,S03, PRDE,actvstrat=,-0.966384, actvprof=,1.616676, id=,S04, PRDE,actvstrat=,-0.072842, actvprof=,0.922644, id=,S05, PRDE,actvstrat=,0.879621, actvprof=,2.734877, id=,S06, PRDE,actvstrat=,0.660337, actvprof=,0.994589, id=,S07, PRDE,actvstrat=,-0.502893, actvprof=,0.054445, id=,S08, PRDE,actvstrat=,-0.300505, actvprof=,0.015417, id=,S09, PRDE,actvstrat=,-0.651615, actvprof=,0.001250, id=,S10, PRDE,actvstrat=,-0.111426, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.272887, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.257397, best_B_strat=,0.384449, best_S_id=,S00, best_S_prof=,9.060191, best_S_strat=,0.574912, 
