t=,0, id=,B00, PRDE,actvstrat=,0.606656, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.704564, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.067857, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.081858, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.667619, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.785500, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.741805, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.620167, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.136038, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.256175, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.882167, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.622041, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.468374, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.270323, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.500344, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.131118, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.340206, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.280258, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.016963, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.923478, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.395706, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.667559, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.293540, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.057409, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.606656, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.468374, 
t=,3600, id=,B00, PRDE,actvstrat=,0.606656, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.704564, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.067857, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.081858, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.667619, actvprof=,0.028333, id=,B05, PRDE,actvstrat=,-0.785500, actvprof=,0.077221, id=,B06, PRDE,actvstrat=,-0.741805, actvprof=,0.299441, id=,B07, PRDE,actvstrat=,0.620167, actvprof=,1.139709, id=,B08, PRDE,actvstrat=,0.136038, actvprof=,1.256652, id=,B09, PRDE,actvstrat=,-0.256175, actvprof=,1.781090, id=,B10, PRDE,actvstrat=,0.882167, actvprof=,3.389683, id=,B11, PRDE,actvstrat=,-0.622041, actvprof=,3.571070, id=,S00, PRDE,actvstrat=,-0.468374, actvprof=,4.324394, id=,S01, PRDE,actvstrat=,0.270323, actvprof=,7.025474, id=,S02, PRDE,actvstrat=,0.500344, actvprof=,6.293816, id=,S03, PRDE,actvstrat=,-0.131118, actvprof=,1.783590, id=,S04, PRDE,actvstrat=,0.340206, actvprof=,2.681358, id=,S05, PRDE,actvstrat=,-0.280258, actvprof=,0.562216, id=,S06, PRDE,actvstrat=,-0.016963, actvprof=,0.690548, id=,S07, PRDE,actvstrat=,-0.923478, actvprof=,0.109999, id=,S08, PRDE,actvstrat=,-0.395706, actvprof=,0.016389, id=,S09, PRDE,actvstrat=,-0.667559, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.293540, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.057409, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.571070, best_B_strat=,-0.622041, best_S_id=,S01, best_S_prof=,7.025474, best_S_strat=,0.270323, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.730807, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.020499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.279346, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.080222, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.179333, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.936286, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.884371, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.000656, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.841860, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.310743, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.823468, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.704043, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.092588, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.572586, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.698161, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.836328, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.872259, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.969019, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.159470, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.085394, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.768929, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.316625, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.219834, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.730807, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.704043, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.730807, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.020499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.279346, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.080222, actvprof=,0.016111, id=,B05, PRDE,actvstrat=,-0.179333, actvprof=,0.054166, id=,B06, PRDE,actvstrat=,-0.936286, actvprof=,0.641937, id=,B07, PRDE,actvstrat=,0.884371, actvprof=,1.358873, id=,B08, PRDE,actvstrat=,0.000656, actvprof=,1.237486, id=,B09, PRDE,actvstrat=,0.841860, actvprof=,3.387461, id=,B10, PRDE,actvstrat=,-0.310743, actvprof=,3.399683, id=,B11, PRDE,actvstrat=,-0.823468, actvprof=,4.482726, id=,S00, PRDE,actvstrat=,-0.704043, actvprof=,3.017465, id=,S01, PRDE,actvstrat=,0.092588, actvprof=,5.337160, id=,S02, PRDE,actvstrat=,0.572586, actvprof=,6.045486, id=,S03, PRDE,actvstrat=,-0.698161, actvprof=,0.742769, id=,S04, PRDE,actvstrat=,0.836328, actvprof=,4.126341, id=,S05, PRDE,actvstrat=,0.872259, actvprof=,2.889689, id=,S06, PRDE,actvstrat=,-0.969019, actvprof=,0.269441, id=,S07, PRDE,actvstrat=,0.159470, actvprof=,0.108054, id=,S08, PRDE,actvstrat=,-0.085394, actvprof=,0.008055, id=,S09, PRDE,actvstrat=,-0.768929, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.316625, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.219834, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.482726, best_B_strat=,-0.823468, best_S_id=,S02, best_S_prof=,6.045486, best_S_strat=,0.572586, 
t=,14400, id=,B00, PRDE,actvstrat=,0.529931, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.409266, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.020499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.081858, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.506470, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.937455, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.936286, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.884371, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.539480, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.126879, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.208673, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.317319, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.704043, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.092588, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.390657, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.835564, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.947425, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.640590, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.931823, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.159470, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.745165, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.290628, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.366555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.743721, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.529931, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.704043, 
t=,18000, id=,B00, PRDE,actvstrat=,0.529931, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.409266, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.020499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.081858, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.506470, actvprof=,0.001389, id=,B05, PRDE,actvstrat=,-0.937455, actvprof=,0.035833, id=,B06, PRDE,actvstrat=,-0.936286, actvprof=,0.157778, id=,B07, PRDE,actvstrat=,0.884371, actvprof=,0.615556, id=,B08, PRDE,actvstrat=,0.539480, actvprof=,0.856667, id=,B09, PRDE,actvstrat=,0.126879, actvprof=,1.210833, id=,B10, PRDE,actvstrat=,-0.208673, actvprof=,1.584722, id=,B11, PRDE,actvstrat=,-0.317319, actvprof=,2.832222, id=,S00, PRDE,actvstrat=,-0.704043, actvprof=,2.811667, id=,S01, PRDE,actvstrat=,0.092588, actvprof=,6.450556, id=,S02, PRDE,actvstrat=,-0.390657, actvprof=,2.066389, id=,S03, PRDE,actvstrat=,-0.835564, actvprof=,0.167778, id=,S04, PRDE,actvstrat=,-0.947425, actvprof=,0.410556, id=,S05, PRDE,actvstrat=,-0.640590, actvprof=,0.221389, id=,S06, PRDE,actvstrat=,0.931823, actvprof=,2.004444, id=,S07, PRDE,actvstrat=,0.159470, actvprof=,0.208333, id=,S08, PRDE,actvstrat=,-0.745165, actvprof=,0.004444, id=,S09, PRDE,actvstrat=,-0.290628, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.366555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.743721, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.832222, best_B_strat=,-0.317319, best_S_id=,S01, best_S_prof=,6.450556, best_S_strat=,0.092588, 
t=,21600, id=,B00, PRDE,actvstrat=,0.529931, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.409266, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.020499, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.081858, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.506470, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,-0.937455, actvprof=,0.035000, id=,B06, PRDE,actvstrat=,-0.936286, actvprof=,0.175973, id=,B07, PRDE,actvstrat=,0.884371, actvprof=,0.560420, id=,B08, PRDE,actvstrat=,0.539480, actvprof=,0.849172, id=,B09, PRDE,actvstrat=,0.126879, actvprof=,1.188896, id=,B10, PRDE,actvstrat=,-0.208673, actvprof=,1.640565, id=,B11, PRDE,actvstrat=,-0.317319, actvprof=,2.712793, id=,S00, PRDE,actvstrat=,-0.704043, actvprof=,2.978489, id=,S01, PRDE,actvstrat=,0.092588, actvprof=,6.384065, id=,S02, PRDE,actvstrat=,-0.390657, actvprof=,2.038067, id=,S03, PRDE,actvstrat=,-0.835564, actvprof=,0.230418, id=,S04, PRDE,actvstrat=,-0.947425, actvprof=,0.321530, id=,S05, PRDE,actvstrat=,-0.640590, actvprof=,0.259307, id=,S06, PRDE,actvstrat=,0.931823, actvprof=,2.082095, id=,S07, PRDE,actvstrat=,0.159470, actvprof=,0.186251, id=,S08, PRDE,actvstrat=,-0.745165, actvprof=,0.002222, id=,S09, PRDE,actvstrat=,-0.290628, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.366555, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.743721, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.712793, best_B_strat=,-0.317319, best_S_id=,S01, best_S_prof=,6.384065, best_S_strat=,0.092588, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.638352, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.764888, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.027223, id=,B05, PRDE,actvstrat=,0.203959, actvprof=,0.053890, id=,B06, PRDE,actvstrat=,-0.121636, actvprof=,0.151668, id=,B07, PRDE,actvstrat=,-0.506728, actvprof=,0.328615, id=,B08, PRDE,actvstrat=,-0.255433, actvprof=,0.726953, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,3.028924, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,2.288915, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,3.265038, id=,S00, PRDE,actvstrat=,-0.281724, actvprof=,5.932569, id=,S01, PRDE,actvstrat=,0.372994, actvprof=,9.130106, id=,S02, PRDE,actvstrat=,-0.211010, actvprof=,3.137259, id=,S03, PRDE,actvstrat=,0.610996, actvprof=,6.893413, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.348939, id=,S05, PRDE,actvstrat=,-0.776714, actvprof=,0.703341, id=,S06, PRDE,actvstrat=,-0.113500, actvprof=,0.866677, id=,S07, PRDE,actvstrat=,0.151699, actvprof=,1.065012, id=,S08, PRDE,actvstrat=,-0.306232, actvprof=,0.089723, id=,S09, PRDE,actvstrat=,-0.280142, actvprof=,0.041945, id=,S10, PRDE,actvstrat=,0.319192, actvprof=,0.055278, id=,S11, PRDE,actvstrat=,-0.673552, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.265038, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,9.130106, best_S_strat=,0.372994, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.638352, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.764888, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.001806, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.022361, id=,B05, PRDE,actvstrat=,0.203959, actvprof=,0.041389, id=,B06, PRDE,actvstrat=,-0.121636, actvprof=,0.143751, id=,B07, PRDE,actvstrat=,-0.506728, actvprof=,0.296252, id=,B08, PRDE,actvstrat=,-0.255433, actvprof=,0.718476, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,2.882933, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,2.241541, id=,B11, PRDE,actvstrat=,1.000000, actvprof=,3.357797, id=,S00, PRDE,actvstrat=,-0.281724, actvprof=,5.762117, id=,S01, PRDE,actvstrat=,0.372994, actvprof=,8.822412, id=,S02, PRDE,actvstrat=,-0.211010, actvprof=,3.596965, id=,S03, PRDE,actvstrat=,0.610996, actvprof=,6.911151, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,4.436276, id=,S05, PRDE,actvstrat=,-0.776714, actvprof=,0.679032, id=,S06, PRDE,actvstrat=,-0.113500, actvprof=,0.837783, id=,S07, PRDE,actvstrat=,0.151699, actvprof=,0.998895, id=,S08, PRDE,actvstrat=,-0.306232, actvprof=,0.132223, id=,S09, PRDE,actvstrat=,-0.280142, actvprof=,0.031667, id=,S10, PRDE,actvstrat=,0.319192, actvprof=,0.047361, id=,S11, PRDE,actvstrat=,-0.673552, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.357797, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,8.822412, best_S_strat=,0.372994, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.730807, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.056418, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.590461, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B05, PRDE,actvstrat=,0.203959, actvprof=,0.030834, id=,B06, PRDE,actvstrat=,-0.916138, actvprof=,0.200558, id=,B07, PRDE,actvstrat=,0.398276, actvprof=,0.926122, id=,B08, PRDE,actvstrat=,-0.496892, actvprof=,1.091957, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.059503, id=,B10, PRDE,actvstrat=,-0.993720, actvprof=,4.977002, id=,B11, PRDE,actvstrat=,-0.906309, actvprof=,3.488096, id=,S00, PRDE,actvstrat=,-0.612370, actvprof=,2.184192, id=,S01, PRDE,actvstrat=,-0.611556, actvprof=,1.285015, id=,S02, PRDE,actvstrat=,0.572586, actvprof=,4.596720, id=,S03, PRDE,actvstrat=,-0.002175, actvprof=,1.083901, id=,S04, PRDE,actvstrat=,0.836328, actvprof=,2.372250, id=,S05, PRDE,actvstrat=,0.832694, actvprof=,0.987789, id=,S06, PRDE,actvstrat=,-0.962139, actvprof=,0.017778, id=,S07, PRDE,actvstrat=,0.698660, actvprof=,0.015000, id=,S08, PRDE,actvstrat=,-0.306232, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.177785, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.525100, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.859940, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.059503, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,4.596720, best_S_strat=,0.572586, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.730807, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.329487, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.056418, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.590461, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,0.203959, actvprof=,0.030973, id=,B06, PRDE,actvstrat=,-0.916138, actvprof=,0.221947, id=,B07, PRDE,actvstrat=,0.398276, actvprof=,0.896955, id=,B08, PRDE,actvstrat=,-0.496892, actvprof=,0.999317, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.976169, id=,B10, PRDE,actvstrat=,-0.993720, actvprof=,4.977974, id=,B11, PRDE,actvstrat=,-0.906309, actvprof=,3.333650, id=,S00, PRDE,actvstrat=,-0.612370, actvprof=,2.214748, id=,S01, PRDE,actvstrat=,-0.611556, actvprof=,1.268765, id=,S02, PRDE,actvstrat=,0.572586, actvprof=,4.484357, id=,S03, PRDE,actvstrat=,-0.002175, actvprof=,1.150847, id=,S04, PRDE,actvstrat=,0.836328, actvprof=,2.366000, id=,S05, PRDE,actvstrat=,0.832694, actvprof=,0.919872, id=,S06, PRDE,actvstrat=,-0.962139, actvprof=,0.015972, id=,S07, PRDE,actvstrat=,0.698660, actvprof=,0.011528, id=,S08, PRDE,actvstrat=,-0.306232, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.177785, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.525100, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.859940, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.977974, best_B_strat=,-0.993720, best_S_id=,S02, best_S_prof=,4.484357, best_S_strat=,0.572586, 
