t=,1, id=,B00, PRDE,actvstrat=,-0.227799, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.095340, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.706220, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.536016, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.858186, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.981134, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.213375, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.467736, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.221491, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.183291, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.667737, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.739673, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.145834, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.180284, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.439764, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.717807, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.896117, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.221168, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.441808, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.403299, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.214755, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.091102, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.099325, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.233429, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.227799, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.145834, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.227799, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.095340, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.706220, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.536016, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.858186, actvprof=,0.049443, id=,B05, PRDE,actvstrat=,0.981134, actvprof=,0.120831, id=,B06, PRDE,actvstrat=,0.213375, actvprof=,0.295271, id=,B07, PRDE,actvstrat=,-0.467736, actvprof=,0.432212, id=,B08, PRDE,actvstrat=,0.221491, actvprof=,1.415523, id=,B09, PRDE,actvstrat=,-0.183291, actvprof=,1.923289, id=,B10, PRDE,actvstrat=,0.667737, actvprof=,4.487396, id=,B11, PRDE,actvstrat=,-0.739673, actvprof=,4.094905, id=,S00, PRDE,actvstrat=,-0.145834, actvprof=,5.197935, id=,S01, PRDE,actvstrat=,-0.180284, actvprof=,3.765191, id=,S02, PRDE,actvstrat=,0.439764, actvprof=,5.729312, id=,S03, PRDE,actvstrat=,-0.717807, actvprof=,0.719983, id=,S04, PRDE,actvstrat=,0.896117, actvprof=,4.236569, id=,S05, PRDE,actvstrat=,-0.221168, actvprof=,0.504711, id=,S06, PRDE,actvstrat=,0.441808, actvprof=,0.687484, id=,S07, PRDE,actvstrat=,-0.403299, actvprof=,0.072498, id=,S08, PRDE,actvstrat=,0.214755, actvprof=,0.061110, id=,S09, PRDE,actvstrat=,-0.091102, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.099325, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.233429, actvprof=,0.000000, best_B_id=,B10, best_B_prof=,4.487396, best_B_strat=,0.667737, best_S_id=,S02, best_S_prof=,5.729312, best_S_strat=,0.439764, 
t=,7200, id=,B00, PRDE,actvstrat=,0.859806, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.736131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.921706, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.187186, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.107106, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.273523, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.835951, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.868866, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.155177, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.444541, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.101436, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.240697, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.941707, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.882328, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.659321, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.842355, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.144990, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.745396, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.950827, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.046860, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.162391, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.334649, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.498332, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.122482, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.859806, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.941707, 
t=,10800, id=,B00, PRDE,actvstrat=,0.859806, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.736131, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.921706, actvprof=,0.002778, id=,B03, PRDE,actvstrat=,-0.187186, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,0.107106, actvprof=,0.049444, id=,B05, PRDE,actvstrat=,-0.273523, actvprof=,0.022778, id=,B06, PRDE,actvstrat=,-0.835951, actvprof=,0.471661, id=,B07, PRDE,actvstrat=,-0.868866, actvprof=,1.033877, id=,B08, PRDE,actvstrat=,0.155177, actvprof=,1.072210, id=,B09, PRDE,actvstrat=,-0.444541, actvprof=,1.278874, id=,B10, PRDE,actvstrat=,0.101436, actvprof=,2.114420, id=,B11, PRDE,actvstrat=,-0.240697, actvprof=,2.762190, id=,S00, PRDE,actvstrat=,0.941707, actvprof=,12.336802, id=,S01, PRDE,actvstrat=,-0.882328, actvprof=,0.636937, id=,S02, PRDE,actvstrat=,-0.659321, actvprof=,1.875534, id=,S03, PRDE,actvstrat=,-0.842355, actvprof=,0.415551, id=,S04, PRDE,actvstrat=,-0.144990, actvprof=,1.156653, id=,S05, PRDE,actvstrat=,-0.745396, actvprof=,0.284441, id=,S06, PRDE,actvstrat=,-0.950827, actvprof=,0.149443, id=,S07, PRDE,actvstrat=,-0.046860, actvprof=,0.166665, id=,S08, PRDE,actvstrat=,-0.162391, actvprof=,0.013889, id=,S09, PRDE,actvstrat=,0.334649, actvprof=,0.013611, id=,S10, PRDE,actvstrat=,0.498332, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.122482, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,2.762190, best_B_strat=,-0.240697, best_S_id=,S00, best_S_prof=,12.336802, best_S_strat=,0.941707, 
t=,14400, id=,B00, PRDE,actvstrat=,0.859806, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.694124, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.614342, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.187186, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.107106, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.185716, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.835951, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.548209, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.999402, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.117456, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.121927, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.389900, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.120587, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.762266, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.779079, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.160991, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.368844, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.221168, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.357609, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.317239, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.899386, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.334649, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.498332, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.449941, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.859806, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.120587, 
t=,18000, id=,B00, PRDE,actvstrat=,0.859806, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.694124, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,0.614342, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.187186, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,0.107106, actvprof=,0.029167, id=,B05, PRDE,actvstrat=,-0.185716, actvprof=,0.032778, id=,B06, PRDE,actvstrat=,-0.835951, actvprof=,0.336389, id=,B07, PRDE,actvstrat=,-0.548209, actvprof=,0.376111, id=,B08, PRDE,actvstrat=,-0.999402, actvprof=,2.014167, id=,B09, PRDE,actvstrat=,-0.117456, actvprof=,1.280833, id=,B10, PRDE,actvstrat=,0.121927, actvprof=,2.637222, id=,B11, PRDE,actvstrat=,-0.389900, actvprof=,3.406389, id=,S00, PRDE,actvstrat=,-0.120587, actvprof=,5.471111, id=,S01, PRDE,actvstrat=,0.762266, actvprof=,9.838611, id=,S02, PRDE,actvstrat=,-0.779079, actvprof=,1.103611, id=,S03, PRDE,actvstrat=,-0.160991, actvprof=,1.551667, id=,S04, PRDE,actvstrat=,-0.368844, actvprof=,0.578611, id=,S05, PRDE,actvstrat=,-0.221168, actvprof=,0.379167, id=,S06, PRDE,actvstrat=,-0.357609, actvprof=,0.158056, id=,S07, PRDE,actvstrat=,0.317239, actvprof=,0.316389, id=,S08, PRDE,actvstrat=,-0.899386, actvprof=,0.008889, id=,S09, PRDE,actvstrat=,0.334649, actvprof=,0.015000, id=,S10, PRDE,actvstrat=,0.498332, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.449941, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,3.406389, best_B_strat=,-0.389900, best_S_id=,S01, best_S_prof=,9.838611, best_S_strat=,0.762266, 
t=,21600, id=,B00, PRDE,actvstrat=,0.264873, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.020603, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.800330, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.610210, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.110476, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.774902, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.374992, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.203495, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.831863, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.767420, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.133077, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.967775, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.726848, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.097117, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.653958, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.567049, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.542534, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.288418, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.485586, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.317806, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.264873, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.133077, 
t=,25200, id=,B00, PRDE,actvstrat=,0.264873, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.020603, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.003333, id=,B03, PRDE,actvstrat=,0.800330, actvprof=,0.058334, id=,B04, PRDE,actvstrat=,0.610210, actvprof=,0.127224, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.434172, id=,B06, PRDE,actvstrat=,0.110476, actvprof=,0.458616, id=,B07, PRDE,actvstrat=,0.774902, actvprof=,1.965856, id=,B08, PRDE,actvstrat=,0.374992, actvprof=,2.250582, id=,B09, PRDE,actvstrat=,0.203495, actvprof=,3.571708, id=,B10, PRDE,actvstrat=,0.831863, actvprof=,5.325895, id=,B11, PRDE,actvstrat=,-0.767420, actvprof=,5.840345, id=,S00, PRDE,actvstrat=,0.133077, actvprof=,6.963414, id=,S01, PRDE,actvstrat=,0.967775, actvprof=,8.995104, id=,S02, PRDE,actvstrat=,0.726848, actvprof=,6.660077, id=,S03, PRDE,actvstrat=,0.097117, actvprof=,2.425028, id=,S04, PRDE,actvstrat=,-0.653958, actvprof=,0.462228, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.988634, id=,S06, PRDE,actvstrat=,-0.567049, actvprof=,0.059167, id=,S07, PRDE,actvstrat=,0.542534, actvprof=,0.212225, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.301670, id=,S09, PRDE,actvstrat=,-0.288418, actvprof=,0.001389, id=,S10, PRDE,actvstrat=,0.485586, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.317806, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.840345, best_B_strat=,-0.767420, best_S_id=,S01, best_S_prof=,8.995104, best_S_strat=,0.967775, 
t=,28800, id=,B00, PRDE,actvstrat=,0.264873, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.020603, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.002083, id=,B03, PRDE,actvstrat=,0.800330, actvprof=,0.043889, id=,B04, PRDE,actvstrat=,0.610210, actvprof=,0.131806, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.445003, id=,B06, PRDE,actvstrat=,0.110476, actvprof=,0.480003, id=,B07, PRDE,actvstrat=,0.774902, actvprof=,1.961678, id=,B08, PRDE,actvstrat=,0.374992, actvprof=,2.338486, id=,B09, PRDE,actvstrat=,0.203495, actvprof=,3.461687, id=,B10, PRDE,actvstrat=,0.831863, actvprof=,5.335448, id=,B11, PRDE,actvstrat=,-0.767420, actvprof=,6.080730, id=,S00, PRDE,actvstrat=,0.133077, actvprof=,6.841151, id=,S01, PRDE,actvstrat=,0.967775, actvprof=,8.974635, id=,S02, PRDE,actvstrat=,0.726848, actvprof=,6.579899, id=,S03, PRDE,actvstrat=,0.097117, actvprof=,2.452653, id=,S04, PRDE,actvstrat=,-0.653958, actvprof=,0.525836, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.903483, id=,S06, PRDE,actvstrat=,-0.567049, actvprof=,0.053056, id=,S07, PRDE,actvstrat=,0.542534, actvprof=,0.243751, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.314307, id=,S09, PRDE,actvstrat=,-0.288418, actvprof=,0.000694, id=,S10, PRDE,actvstrat=,0.485586, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.317806, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.080730, best_B_strat=,-0.767420, best_S_id=,S01, best_S_prof=,8.974635, best_S_strat=,0.967775, 
t=,32400, id=,B00, PRDE,actvstrat=,0.899899, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.121563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.571859, actvprof=,0.015556, id=,B04, PRDE,actvstrat=,0.149376, actvprof=,0.040278, id=,B05, PRDE,actvstrat=,-0.875327, actvprof=,0.309448, id=,B06, PRDE,actvstrat=,0.110476, actvprof=,0.576118, id=,B07, PRDE,actvstrat=,-0.291277, actvprof=,0.997512, id=,B08, PRDE,actvstrat=,0.374992, actvprof=,2.694753, id=,B09, PRDE,actvstrat=,0.203495, actvprof=,3.749210, id=,B10, PRDE,actvstrat=,0.831863, actvprof=,5.678955, id=,B11, PRDE,actvstrat=,-0.767420, actvprof=,6.115349, id=,S00, PRDE,actvstrat=,-0.391497, actvprof=,3.581708, id=,S01, PRDE,actvstrat=,0.512300, actvprof=,7.003137, id=,S02, PRDE,actvstrat=,0.726848, actvprof=,6.271184, id=,S03, PRDE,actvstrat=,-0.204673, actvprof=,1.264459, id=,S04, PRDE,actvstrat=,-0.653958, actvprof=,0.524451, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.883355, id=,S06, PRDE,actvstrat=,0.442141, actvprof=,0.657230, id=,S07, PRDE,actvstrat=,0.447743, actvprof=,0.268892, id=,S08, PRDE,actvstrat=,0.576192, actvprof=,0.098057, id=,S09, PRDE,actvstrat=,0.334649, actvprof=,0.009167, id=,S10, PRDE,actvstrat=,-0.938043, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.122482, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.115349, best_B_strat=,-0.767420, best_S_id=,S01, best_S_prof=,7.003137, best_S_strat=,0.512300, 
t=,36000, id=,B00, PRDE,actvstrat=,0.899899, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.121563, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,0.571859, actvprof=,0.016806, id=,B04, PRDE,actvstrat=,0.149376, actvprof=,0.044445, id=,B05, PRDE,actvstrat=,-0.875327, actvprof=,0.307918, id=,B06, PRDE,actvstrat=,0.110476, actvprof=,0.540836, id=,B07, PRDE,actvstrat=,-0.291277, actvprof=,0.905700, id=,B08, PRDE,actvstrat=,0.374992, actvprof=,2.750294, id=,B09, PRDE,actvstrat=,0.203495, actvprof=,3.765855, id=,B10, PRDE,actvstrat=,0.831863, actvprof=,5.563504, id=,B11, PRDE,actvstrat=,-0.767420, actvprof=,5.959340, id=,S00, PRDE,actvstrat=,-0.391497, actvprof=,3.666827, id=,S01, PRDE,actvstrat=,0.512300, actvprof=,6.748928, id=,S02, PRDE,actvstrat=,0.726848, actvprof=,6.285036, id=,S03, PRDE,actvstrat=,-0.204673, actvprof=,1.295285, id=,S04, PRDE,actvstrat=,-0.653958, actvprof=,0.528475, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.955011, id=,S06, PRDE,actvstrat=,0.442141, actvprof=,0.654726, id=,S07, PRDE,actvstrat=,0.447743, actvprof=,0.264863, id=,S08, PRDE,actvstrat=,0.576192, actvprof=,0.122501, id=,S09, PRDE,actvstrat=,0.334649, actvprof=,0.007361, id=,S10, PRDE,actvstrat=,-0.938043, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.122482, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.959340, best_B_strat=,-0.767420, best_S_id=,S01, best_S_prof=,6.748928, best_S_strat=,0.512300, 
