t=,3600, id=,B00, PRDE,actvstrat=,-0.013712, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.338990, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.867079, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.837830, actvprof=,0.007778, id=,B04, PRDE,actvstrat=,-0.919502, actvprof=,0.143887, id=,B05, PRDE,actvstrat=,-0.769967, actvprof=,0.189720, id=,B06, PRDE,actvstrat=,-0.488676, actvprof=,0.321663, id=,B07, PRDE,actvstrat=,0.408812, actvprof=,1.141098, id=,B08, PRDE,actvstrat=,-0.300868, actvprof=,1.081376, id=,B09, PRDE,actvstrat=,0.383124, actvprof=,2.637747, id=,B10, PRDE,actvstrat=,-0.196849, actvprof=,2.888855, id=,B11, PRDE,actvstrat=,0.181840, actvprof=,5.174107, id=,S00, PRDE,actvstrat=,0.037237, actvprof=,8.251293, id=,S01, PRDE,actvstrat=,0.461772, actvprof=,7.873798, id=,S02, PRDE,actvstrat=,-0.976174, actvprof=,2.738302, id=,S03, PRDE,actvstrat=,-0.650833, actvprof=,1.557760, id=,S04, PRDE,actvstrat=,-0.653773, actvprof=,1.177764, id=,S05, PRDE,actvstrat=,-0.112168, actvprof=,0.854990, id=,S06, PRDE,actvstrat=,0.119634, actvprof=,0.609437, id=,S07, PRDE,actvstrat=,-0.944260, actvprof=,0.174442, id=,S08, PRDE,actvstrat=,-0.173818, actvprof=,0.008611, id=,S09, PRDE,actvstrat=,0.277736, actvprof=,0.004722, id=,S10, PRDE,actvstrat=,0.802507, actvprof=,0.007500, id=,S11, PRDE,actvstrat=,-0.331113, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.174107, best_B_strat=,0.181840, best_S_id=,S00, best_S_prof=,8.251293, best_S_strat=,0.037237, 
t=,7200, id=,B00, PRDE,actvstrat=,0.387708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.699103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.666013, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.046991, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.380013, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.184962, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.156528, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.495996, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.015907, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.511843, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.322538, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.066128, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.280488, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.169007, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.670527, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.246630, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.023799, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.776129, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.479841, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.623847, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.776684, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.987842, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.583042, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.108125, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.387708, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.280488, 
t=,10800, id=,B00, PRDE,actvstrat=,0.387708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.699103, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.666013, actvprof=,0.002500, id=,B03, PRDE,actvstrat=,-0.046991, actvprof=,0.008889, id=,B04, PRDE,actvstrat=,0.380013, actvprof=,0.049722, id=,B05, PRDE,actvstrat=,-0.184962, actvprof=,0.061666, id=,B06, PRDE,actvstrat=,0.156528, actvprof=,0.243886, id=,B07, PRDE,actvstrat=,-0.495996, actvprof=,0.491105, id=,B08, PRDE,actvstrat=,0.015907, actvprof=,1.177209, id=,B09, PRDE,actvstrat=,-0.511843, actvprof=,1.729424, id=,B10, PRDE,actvstrat=,0.322538, actvprof=,3.601903, id=,B11, PRDE,actvstrat=,0.066128, actvprof=,4.692723, id=,S00, PRDE,actvstrat=,-0.280488, actvprof=,4.530781, id=,S01, PRDE,actvstrat=,0.169007, actvprof=,5.991320, id=,S02, PRDE,actvstrat=,-0.670527, actvprof=,1.859423, id=,S03, PRDE,actvstrat=,-0.246630, actvprof=,1.341373, id=,S04, PRDE,actvstrat=,0.023799, actvprof=,1.794979, id=,S05, PRDE,actvstrat=,-0.776129, actvprof=,0.229442, id=,S06, PRDE,actvstrat=,0.479841, actvprof=,0.946378, id=,S07, PRDE,actvstrat=,0.623847, actvprof=,0.499994, id=,S08, PRDE,actvstrat=,-0.776684, actvprof=,0.006667, id=,S09, PRDE,actvstrat=,-0.987842, actvprof=,0.161665, id=,S10, PRDE,actvstrat=,0.583042, actvprof=,0.001944, id=,S11, PRDE,actvstrat=,0.108125, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.692723, best_B_strat=,0.066128, best_S_id=,S01, best_S_prof=,5.991320, best_S_strat=,0.169007, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.447984, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.157801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.113108, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.173893, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.714313, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.180801, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.858040, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.305902, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.474887, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.511843, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.737947, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.420171, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.686051, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.169007, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.156468, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.234155, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.613555, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.442213, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.479841, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.668993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.343020, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.981787, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.583042, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.984248, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.447984, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.686051, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.447984, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.157801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.113108, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.173893, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.714313, actvprof=,0.024167, id=,B05, PRDE,actvstrat=,-0.180801, actvprof=,0.053333, id=,B06, PRDE,actvstrat=,-0.858040, actvprof=,0.481111, id=,B07, PRDE,actvstrat=,0.305902, actvprof=,0.926944, id=,B08, PRDE,actvstrat=,0.474887, actvprof=,2.015833, id=,B09, PRDE,actvstrat=,-0.511843, actvprof=,1.865000, id=,B10, PRDE,actvstrat=,-0.737947, actvprof=,2.953333, id=,B11, PRDE,actvstrat=,-0.420171, actvprof=,4.225278, id=,S00, PRDE,actvstrat=,-0.686051, actvprof=,2.723333, id=,S01, PRDE,actvstrat=,0.169007, actvprof=,5.170278, id=,S02, PRDE,actvstrat=,0.156468, actvprof=,3.708333, id=,S03, PRDE,actvstrat=,0.234155, actvprof=,2.674722, id=,S04, PRDE,actvstrat=,-0.613555, actvprof=,0.450833, id=,S05, PRDE,actvstrat=,-0.442213, actvprof=,0.239722, id=,S06, PRDE,actvstrat=,0.479841, actvprof=,0.388611, id=,S07, PRDE,actvstrat=,0.668993, actvprof=,0.128889, id=,S08, PRDE,actvstrat=,0.343020, actvprof=,0.009167, id=,S09, PRDE,actvstrat=,0.981787, actvprof=,0.030000, id=,S10, PRDE,actvstrat=,0.583042, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.984248, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.225278, best_B_strat=,-0.420171, best_S_id=,S01, best_S_prof=,5.170278, best_S_strat=,0.169007, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.447984, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.157801, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.113108, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.173893, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.714313, actvprof=,0.016806, id=,B05, PRDE,actvstrat=,-0.180801, actvprof=,0.066806, id=,B06, PRDE,actvstrat=,-0.858040, actvprof=,0.506392, id=,B07, PRDE,actvstrat=,0.305902, actvprof=,0.961256, id=,B08, PRDE,actvstrat=,0.474887, actvprof=,1.899178, id=,B09, PRDE,actvstrat=,-0.511843, actvprof=,1.807649, id=,B10, PRDE,actvstrat=,-0.737947, actvprof=,2.974739, id=,B11, PRDE,actvstrat=,-0.420171, actvprof=,4.048496, id=,S00, PRDE,actvstrat=,-0.686051, actvprof=,2.931406, id=,S01, PRDE,actvstrat=,0.169007, actvprof=,5.203086, id=,S02, PRDE,actvstrat=,0.156468, actvprof=,3.734049, id=,S03, PRDE,actvstrat=,0.234155, actvprof=,2.526265, id=,S04, PRDE,actvstrat=,-0.613555, actvprof=,0.427364, id=,S05, PRDE,actvstrat=,-0.442213, actvprof=,0.213196, id=,S06, PRDE,actvstrat=,0.479841, actvprof=,0.380697, id=,S07, PRDE,actvstrat=,0.668993, actvprof=,0.177640, id=,S08, PRDE,actvstrat=,0.343020, actvprof=,0.007917, id=,S09, PRDE,actvstrat=,0.981787, actvprof=,0.024722, id=,S10, PRDE,actvstrat=,0.583042, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.984248, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,4.048496, best_B_strat=,-0.420171, best_S_id=,S01, best_S_prof=,5.203086, best_S_strat=,0.169007, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.402951, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.100557, id=,B06, PRDE,actvstrat=,0.078735, actvprof=,0.147779, id=,B07, PRDE,actvstrat=,0.773022, actvprof=,1.139458, id=,B08, PRDE,actvstrat=,0.010372, actvprof=,1.138624, id=,B09, PRDE,actvstrat=,0.178259, actvprof=,2.922256, id=,B10, PRDE,actvstrat=,0.271127, actvprof=,4.749222, id=,B11, PRDE,actvstrat=,-0.230197, actvprof=,5.232561, id=,S00, PRDE,actvstrat=,0.571875, actvprof=,9.586500, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.508698, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,6.282850, id=,S03, PRDE,actvstrat=,-0.408387, actvprof=,1.036956, id=,S04, PRDE,actvstrat=,0.127509, actvprof=,1.369460, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,2.378083, id=,S06, PRDE,actvstrat=,0.152506, actvprof=,0.141391, id=,S07, PRDE,actvstrat=,0.526830, actvprof=,0.063890, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.035556, id=,S09, PRDE,actvstrat=,-0.460655, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.232561, best_B_strat=,-0.230197, best_S_id=,S00, best_S_prof=,9.586500, best_S_strat=,0.571875, 
t=,28800, id=,B00, PRDE,actvstrat=,0.387708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.230159, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.252594, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.919502, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.784541, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.264397, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.408812, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.539174, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.141677, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.616474, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.066128, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.325760, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.891932, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.986888, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.714660, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.877649, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.319650, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.591017, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.797944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.981787, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.466109, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.729175, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.387708, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.325760, 
t=,32400, id=,B00, PRDE,actvstrat=,0.387708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.230159, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.252594, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.047779, id=,B04, PRDE,actvstrat=,-0.919502, actvprof=,0.167784, id=,B05, PRDE,actvstrat=,-0.784541, actvprof=,0.169450, id=,B06, PRDE,actvstrat=,0.264397, actvprof=,0.696135, id=,B07, PRDE,actvstrat=,0.408812, actvprof=,1.651724, id=,B08, PRDE,actvstrat=,0.539174, actvprof=,2.608146, id=,B09, PRDE,actvstrat=,0.141677, actvprof=,3.430952, id=,B10, PRDE,actvstrat=,0.616474, actvprof=,5.486857, id=,B11, PRDE,actvstrat=,0.066128, actvprof=,6.247995, id=,S00, PRDE,actvstrat=,0.325760, actvprof=,7.574152, id=,S01, PRDE,actvstrat=,0.891932, actvprof=,8.392236, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.241918, id=,S03, PRDE,actvstrat=,-0.986888, actvprof=,2.885656, id=,S04, PRDE,actvstrat=,-0.714660, actvprof=,0.301399, id=,S05, PRDE,actvstrat=,0.877649, actvprof=,2.365360, id=,S06, PRDE,actvstrat=,0.319650, actvprof=,0.340567, id=,S07, PRDE,actvstrat=,0.591017, actvprof=,0.271954, id=,S08, PRDE,actvstrat=,-0.797944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.981787, actvprof=,0.060280, id=,S10, PRDE,actvstrat=,-0.466109, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.729175, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.247995, best_B_strat=,0.066128, best_S_id=,S01, best_S_prof=,8.392236, best_S_strat=,0.891932, 
t=,36000, id=,B00, PRDE,actvstrat=,0.387708, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.230159, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.252594, actvprof=,0.000694, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.033889, id=,B04, PRDE,actvstrat=,-0.919502, actvprof=,0.175142, id=,B05, PRDE,actvstrat=,-0.784541, actvprof=,0.218198, id=,B06, PRDE,actvstrat=,0.264397, actvprof=,0.658623, id=,B07, PRDE,actvstrat=,0.408812, actvprof=,1.517526, id=,B08, PRDE,actvstrat=,0.539174, actvprof=,2.535877, id=,B09, PRDE,actvstrat=,0.141677, actvprof=,3.339364, id=,B10, PRDE,actvstrat=,0.616474, actvprof=,5.452178, id=,B11, PRDE,actvstrat=,0.066128, actvprof=,6.174413, id=,S00, PRDE,actvstrat=,0.325760, actvprof=,7.597354, id=,S01, PRDE,actvstrat=,0.891932, actvprof=,8.475147, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,7.368461, id=,S03, PRDE,actvstrat=,-0.986888, actvprof=,2.606851, id=,S04, PRDE,actvstrat=,-0.714660, actvprof=,0.343062, id=,S05, PRDE,actvstrat=,0.877649, actvprof=,2.392403, id=,S06, PRDE,actvstrat=,0.319650, actvprof=,0.386257, id=,S07, PRDE,actvstrat=,0.591017, actvprof=,0.255977, id=,S08, PRDE,actvstrat=,-0.797944, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.981787, actvprof=,0.065140, id=,S10, PRDE,actvstrat=,-0.466109, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.729175, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.174413, best_B_strat=,0.066128, best_S_id=,S01, best_S_prof=,8.475147, best_S_strat=,0.891932, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.156597, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.095580, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.203760, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.190227, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.280190, actvprof=,0.020556, id=,B05, PRDE,actvstrat=,-0.851749, actvprof=,0.075002, id=,B06, PRDE,actvstrat=,-0.742147, actvprof=,0.298618, id=,B07, PRDE,actvstrat=,0.707111, actvprof=,2.266441, id=,B08, PRDE,actvstrat=,0.541665, actvprof=,3.366745, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,4.712887, id=,B10, PRDE,actvstrat=,-0.727608, actvprof=,4.260099, id=,B11, PRDE,actvstrat=,0.142838, actvprof=,7.839348, id=,S00, PRDE,actvstrat=,-0.521878, actvprof=,3.005070, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,7.929906, id=,S02, PRDE,actvstrat=,-0.371865, actvprof=,1.446422, id=,S03, PRDE,actvstrat=,0.716500, actvprof=,3.920369, id=,S04, PRDE,actvstrat=,-0.204910, actvprof=,0.478067, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,1.436144, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.844464, id=,S07, PRDE,actvstrat=,0.733181, actvprof=,0.288340, id=,S08, PRDE,actvstrat=,0.647607, actvprof=,0.088058, id=,S09, PRDE,actvstrat=,0.910442, actvprof=,0.025556, id=,S10, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,7.839348, best_B_strat=,0.142838, best_S_id=,S01, best_S_prof=,7.929906, best_S_strat=,-1.000000, 
