t=,0, id=,B00, PRDE,actvstrat=,0.400695, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.718939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.888709, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.587459, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.308559, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.828922, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.043410, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.039485, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.344337, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.950288, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.060492, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,-0.248696, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.545574, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.906237, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.887891, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.969249, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.647711, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.772970, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.642906, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.407225, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.936284, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.125388, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.363679, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.556715, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.400695, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.545574, 
t=,3600, id=,B00, PRDE,actvstrat=,0.400695, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.718939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.888709, actvprof=,0.007778, id=,B03, PRDE,actvstrat=,-0.587459, actvprof=,0.014722, id=,B04, PRDE,actvstrat=,-0.308559, actvprof=,0.059166, id=,B05, PRDE,actvstrat=,0.828922, actvprof=,0.689714, id=,B06, PRDE,actvstrat=,0.043410, actvprof=,0.542494, id=,B07, PRDE,actvstrat=,0.039485, actvprof=,0.939989, id=,B08, PRDE,actvstrat=,-0.344337, actvprof=,1.409150, id=,B09, PRDE,actvstrat=,0.950288, actvprof=,2.802745, id=,B10, PRDE,actvstrat=,-0.060492, actvprof=,4.019676, id=,B11, PRDE,actvstrat=,-0.248696, actvprof=,5.302439, id=,S00, PRDE,actvstrat=,0.545574, actvprof=,8.777954, id=,S01, PRDE,actvstrat=,-0.906237, actvprof=,0.964156, id=,S02, PRDE,actvstrat=,0.887891, actvprof=,6.862976, id=,S03, PRDE,actvstrat=,-0.969249, actvprof=,1.966922, id=,S04, PRDE,actvstrat=,-0.647711, actvprof=,0.471939, id=,S05, PRDE,actvstrat=,0.772970, actvprof=,2.180253, id=,S06, PRDE,actvstrat=,0.642906, actvprof=,0.856657, id=,S07, PRDE,actvstrat=,-0.407225, actvprof=,0.040277, id=,S08, PRDE,actvstrat=,0.936284, actvprof=,0.386384, id=,S09, PRDE,actvstrat=,0.125388, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.363679, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.556715, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.302439, best_B_strat=,-0.248696, best_S_id=,S00, best_S_prof=,8.777954, best_S_strat=,0.545574, 
t=,7200, id=,B00, PRDE,actvstrat=,0.237682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.751479, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.022933, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225231, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.839596, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.654451, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.408885, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.814238, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.041942, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.856141, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,0.902744, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.238504, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.736662, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.680770, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.654497, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.494240, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.233168, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.131429, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.115587, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.239506, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.604655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.727751, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.758957, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.136205, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.237682, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.736662, 
t=,10800, id=,B00, PRDE,actvstrat=,0.237682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.751479, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.022933, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.225231, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.839596, actvprof=,0.067499, id=,B05, PRDE,actvstrat=,0.654451, actvprof=,0.416940, id=,B06, PRDE,actvstrat=,-0.408885, actvprof=,0.461384, id=,B07, PRDE,actvstrat=,-0.814238, actvprof=,1.225541, id=,B08, PRDE,actvstrat=,-0.041942, actvprof=,1.808868, id=,B09, PRDE,actvstrat=,-0.856141, actvprof=,3.176352, id=,B10, PRDE,actvstrat=,0.902744, actvprof=,4.222729, id=,B11, PRDE,actvstrat=,0.238504, actvprof=,5.906043, id=,S00, PRDE,actvstrat=,-0.736662, actvprof=,3.278295, id=,S01, PRDE,actvstrat=,0.680770, actvprof=,8.089351, id=,S02, PRDE,actvstrat=,0.654497, actvprof=,6.406870, id=,S03, PRDE,actvstrat=,0.494240, actvprof=,4.161063, id=,S04, PRDE,actvstrat=,0.233168, actvprof=,2.031921, id=,S05, PRDE,actvstrat=,-0.131429, actvprof=,0.788046, id=,S06, PRDE,actvstrat=,0.115587, actvprof=,0.766936, id=,S07, PRDE,actvstrat=,-0.239506, actvprof=,0.092777, id=,S08, PRDE,actvstrat=,-0.604655, actvprof=,0.028889, id=,S09, PRDE,actvstrat=,0.727751, actvprof=,0.085832, id=,S10, PRDE,actvstrat=,0.758957, actvprof=,0.015833, id=,S11, PRDE,actvstrat=,-0.136205, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,5.906043, best_B_strat=,0.238504, best_S_id=,S01, best_S_prof=,8.089351, best_S_strat=,0.680770, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.265110, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.162446, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.732453, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.157722, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.839596, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.424204, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.408885, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.566339, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.041942, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.000280, actvprof=,0.000000, id=,B10, PRDE,actvstrat=,-0.990436, actvprof=,0.000000, id=,B11, PRDE,actvstrat=,0.299287, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.751651, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.756436, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.932944, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.525491, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.233168, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.772970, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.080117, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.491074, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.805954, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.492789, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,0.374035, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.136205, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.265110, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.751651, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.265110, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.162446, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.732453, actvprof=,0.006111, id=,B03, PRDE,actvstrat=,-0.157722, actvprof=,0.008333, id=,B04, PRDE,actvstrat=,-0.839596, actvprof=,0.162778, id=,B05, PRDE,actvstrat=,-0.424204, actvprof=,0.166944, id=,B06, PRDE,actvstrat=,-0.408885, actvprof=,0.584444, id=,B07, PRDE,actvstrat=,0.566339, actvprof=,1.990000, id=,B08, PRDE,actvstrat=,-0.041942, actvprof=,1.872778, id=,B09, PRDE,actvstrat=,-0.000280, actvprof=,3.489722, id=,B10, PRDE,actvstrat=,-0.990436, actvprof=,5.785556, id=,B11, PRDE,actvstrat=,0.299287, actvprof=,6.630556, id=,S00, PRDE,actvstrat=,-0.751651, actvprof=,2.013056, id=,S01, PRDE,actvstrat=,0.756436, actvprof=,7.510833, id=,S02, PRDE,actvstrat=,0.932944, actvprof=,6.710556, id=,S03, PRDE,actvstrat=,-0.525491, actvprof=,0.762778, id=,S04, PRDE,actvstrat=,0.233168, actvprof=,1.620000, id=,S05, PRDE,actvstrat=,0.772970, actvprof=,2.135556, id=,S06, PRDE,actvstrat=,0.080117, actvprof=,0.241111, id=,S07, PRDE,actvstrat=,0.491074, actvprof=,0.185000, id=,S08, PRDE,actvstrat=,0.805954, actvprof=,0.200278, id=,S09, PRDE,actvstrat=,0.492789, actvprof=,0.008889, id=,S10, PRDE,actvstrat=,0.374035, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.136205, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.630556, best_B_strat=,0.299287, best_S_id=,S01, best_S_prof=,7.510833, best_S_strat=,0.756436, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.265110, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.162446, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.732453, actvprof=,0.005000, id=,B03, PRDE,actvstrat=,-0.157722, actvprof=,0.005694, id=,B04, PRDE,actvstrat=,-0.839596, actvprof=,0.169307, id=,B05, PRDE,actvstrat=,-0.424204, actvprof=,0.206112, id=,B06, PRDE,actvstrat=,-0.408885, actvprof=,0.545142, id=,B07, PRDE,actvstrat=,0.566339, actvprof=,2.043484, id=,B08, PRDE,actvstrat=,-0.041942, actvprof=,2.095845, id=,B09, PRDE,actvstrat=,-0.000280, actvprof=,3.413214, id=,B10, PRDE,actvstrat=,-0.990436, actvprof=,5.879478, id=,B11, PRDE,actvstrat=,0.299287, actvprof=,6.754622, id=,S00, PRDE,actvstrat=,-0.751651, actvprof=,2.092790, id=,S01, PRDE,actvstrat=,0.756436, actvprof=,7.482404, id=,S02, PRDE,actvstrat=,0.932944, actvprof=,6.584483, id=,S03, PRDE,actvstrat=,-0.525491, actvprof=,0.753615, id=,S04, PRDE,actvstrat=,0.233168, actvprof=,1.542231, id=,S05, PRDE,actvstrat=,0.772970, actvprof=,1.949872, id=,S06, PRDE,actvstrat=,0.080117, actvprof=,0.256251, id=,S07, PRDE,actvstrat=,0.491074, actvprof=,0.210140, id=,S08, PRDE,actvstrat=,0.805954, actvprof=,0.228890, id=,S09, PRDE,actvstrat=,0.492789, actvprof=,0.015695, id=,S10, PRDE,actvstrat=,0.374035, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.136205, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,6.754622, best_B_strat=,0.299287, best_S_id=,S01, best_S_prof=,7.482404, best_S_strat=,0.756436, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.267325, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.125105, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.533331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.939950, actvprof=,0.005556, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.058611, id=,B05, PRDE,actvstrat=,0.264385, actvprof=,0.085000, id=,B06, PRDE,actvstrat=,0.188393, actvprof=,0.361667, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.607778, id=,B08, PRDE,actvstrat=,-0.803385, actvprof=,1.023333, id=,B09, PRDE,actvstrat=,-0.986904, actvprof=,3.022778, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,4.379167, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.322778, id=,S00, PRDE,actvstrat=,0.134782, actvprof=,6.178056, id=,S01, PRDE,actvstrat=,0.407112, actvprof=,5.661667, id=,S02, PRDE,actvstrat=,-0.369501, actvprof=,1.207222, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.399444, id=,S04, PRDE,actvstrat=,0.073229, actvprof=,1.155556, id=,S05, PRDE,actvstrat=,-0.052916, actvprof=,0.324444, id=,S06, PRDE,actvstrat=,-0.847531, actvprof=,0.038611, id=,S07, PRDE,actvstrat=,0.422249, actvprof=,0.141111, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.396389, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.017222, id=,S10, PRDE,actvstrat=,-0.653074, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.566763, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.322778, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.178056, best_S_strat=,0.134782, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.267325, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.125105, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.533331, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.939950, actvprof=,0.007500, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.041250, id=,B05, PRDE,actvstrat=,0.264385, actvprof=,0.086806, id=,B06, PRDE,actvstrat=,0.188393, actvprof=,0.356252, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.548904, id=,B08, PRDE,actvstrat=,-0.803385, actvprof=,0.988756, id=,B09, PRDE,actvstrat=,-0.986904, actvprof=,3.210991, id=,B10, PRDE,actvstrat=,1.000000, actvprof=,4.322803, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.555883, id=,S00, PRDE,actvstrat=,0.134782, actvprof=,6.112396, id=,S01, PRDE,actvstrat=,0.407112, actvprof=,5.693227, id=,S02, PRDE,actvstrat=,-0.369501, actvprof=,1.220563, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,4.329747, id=,S04, PRDE,actvstrat=,0.073229, actvprof=,1.060284, id=,S05, PRDE,actvstrat=,-0.052916, actvprof=,0.312641, id=,S06, PRDE,actvstrat=,-0.847531, actvprof=,0.035000, id=,S07, PRDE,actvstrat=,0.422249, actvprof=,0.147223, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.370835, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.015139, id=,S10, PRDE,actvstrat=,-0.653074, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,-0.566763, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.555883, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.112396, best_S_strat=,0.134782, 
t=,32400, id=,B00, PRDE,actvstrat=,0.237682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.402021, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.570496, actvprof=,0.009445, id=,B03, PRDE,actvstrat=,-0.939950, actvprof=,0.045278, id=,B04, PRDE,actvstrat=,-0.512795, actvprof=,0.019167, id=,B05, PRDE,actvstrat=,0.264210, actvprof=,0.239447, id=,B06, PRDE,actvstrat=,0.076402, actvprof=,0.634730, id=,B07, PRDE,actvstrat=,0.453460, actvprof=,1.767243, id=,B08, PRDE,actvstrat=,0.377962, actvprof=,2.993368, id=,B09, PRDE,actvstrat=,0.209744, actvprof=,4.323106, id=,B10, PRDE,actvstrat=,-0.102824, actvprof=,5.306728, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.126483, id=,S00, PRDE,actvstrat=,0.545574, actvprof=,7.430919, id=,S01, PRDE,actvstrat=,-0.685525, actvprof=,1.805576, id=,S02, PRDE,actvstrat=,0.654497, actvprof=,4.683943, id=,S03, PRDE,actvstrat=,0.494240, actvprof=,2.392528, id=,S04, PRDE,actvstrat=,0.472050, actvprof=,1.299737, id=,S05, PRDE,actvstrat=,0.960836, actvprof=,1.761409, id=,S06, PRDE,actvstrat=,0.833108, actvprof=,0.578340, id=,S07, PRDE,actvstrat=,0.422249, actvprof=,0.041945, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.060556, id=,S09, PRDE,actvstrat=,0.594874, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.653074, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.827333, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.126483, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.430919, best_S_strat=,0.545574, 
t=,36000, id=,B00, PRDE,actvstrat=,0.237682, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.402021, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.570496, actvprof=,0.006250, id=,B03, PRDE,actvstrat=,-0.939950, actvprof=,0.052223, id=,B04, PRDE,actvstrat=,-0.512795, actvprof=,0.042222, id=,B05, PRDE,actvstrat=,0.264210, actvprof=,0.264446, id=,B06, PRDE,actvstrat=,0.076402, actvprof=,0.650143, id=,B07, PRDE,actvstrat=,0.453460, actvprof=,1.799594, id=,B08, PRDE,actvstrat=,0.377962, actvprof=,3.037795, id=,B09, PRDE,actvstrat=,0.209744, actvprof=,4.210024, id=,B10, PRDE,actvstrat=,-0.102824, actvprof=,5.156141, id=,B11, PRDE,actvstrat=,-1.000000, actvprof=,8.422827, id=,S00, PRDE,actvstrat=,0.545574, actvprof=,7.308931, id=,S01, PRDE,actvstrat=,-0.685525, actvprof=,1.691121, id=,S02, PRDE,actvstrat=,0.654497, actvprof=,4.670860, id=,S03, PRDE,actvstrat=,0.494240, actvprof=,2.429459, id=,S04, PRDE,actvstrat=,0.472050, actvprof=,1.277230, id=,S05, PRDE,actvstrat=,0.960836, actvprof=,1.735288, id=,S06, PRDE,actvstrat=,0.833108, actvprof=,0.562503, id=,S07, PRDE,actvstrat=,0.422249, actvprof=,0.036389, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.060000, id=,S09, PRDE,actvstrat=,0.594874, actvprof=,0.000000, id=,S10, PRDE,actvstrat=,-0.653074, actvprof=,0.000000, id=,S11, PRDE,actvstrat=,0.827333, actvprof=,0.000000, best_B_id=,B11, best_B_prof=,8.422827, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,7.308931, best_S_strat=,0.545574, 
